Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,46
Role 2,71
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1846.0114774691497,13.4796621799469,11619.047870874405,352588.1921966076,0.0,0.0,0.0,0.0,35427.32984293194,0.0,205320.0,6766620.0,10.255619319273054,0.07488701211081611,64.55026594930224,1958.8232899811533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Amend Request for Quotation,631.9376101711902,74.26643872261047,1244.5089135169983,103637.76806807518,0.0,0.0,0.0,0.0,12367.317073170732,0.0,158460.0,2028240.0,3.5107645009510566,0.41259132623672484,6.913938408427768,575.7653781559733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164
Analyze Purchase Requisition,388.54132250873636,240.32402276992798,539.4049491882324,151919.6571009159,0.0,0.0,0.0,0.0,8938.46547314578,0.0,158460.0,3494940.0,2.158562902826313,1.3351334598329332,2.996694162156847,843.9980950050884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391
Analyze Quotation Comparison Map,1230.5268181276322,398.3132076263428,2031.005729675293,246105.36362552643,0.0,0.0,0.0,0.0,22499.7,0.0,158460.0,4499940.0,6.836260100709064,2.212851153479682,11.283365164862738,1367.2520201418129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Analyze Request for Quotation,71663.20329064065,626.2576780319214,310529.64029693604,2.6085405997793198E7,70284.18075848543,0.0,309199.02838492393,2.5583441796088696E7,1674404.3406593406,0.0,7288080.0,6.0948318E8,7.661236289751256,0.0059956060515509715,15.351612884468503,2788.690009469457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364
Approve Purchase Order for payment,82369.90961124301,60.0,305025.2988629341,1.6473981922248602E7,82309.90961124301,0.0,304965.2988629341,1.6461981922248602E7,1924676.1,0.0,7165560.0,3.8493522E8,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Authorize Supplier's Invoice payment,6655.050710161924,0.0,30213.60517859459,1331010.1420323849,6655.050710161924,0.0,30213.60517859459,1331010.1420323849,154250.4,0.0,742140.0,3.085008E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Order,177397.91579399825,389.47941851615906,309474.4182229042,3.547958315879965E7,176827.08959354518,0.0,308704.80726742744,3.536541791870904E7,4144086.3,0.0,7291680.0,8.2881726E8,3.1712566691835713,2.0014954845110577,4.326575169298384,634.2513338367143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Requisition,1957.6498388159275,316.7280354499817,3413.892571926117,391529.9677631855,0.0,0.0,0.0,0.0,56674.11565691471,0.0,157346.95623207092,1.1334823131382942E7,10.875832437866261,1.7596001969443427,18.96606984403398,2175.166487573252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Quotation comparison Map,176642.62078295945,8529.747958898544,319996.4604177475,3.532852415659189E7,164397.08205424904,0.0,311001.2403154373,3.287941641084981E7,4136949.0,172980.0,7540260.0,8.273898E8,68.03077071505778,12.668703948126899,121.02835225529141,13606.154143011556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Request for Quotation,332.3112082350254,8.529781818389893,1139.3302171230316,66462.24164700508,0.0,0.0,0.0,0.0,8270.1,0.0,158460.0,1654020.0,3.6923467581669507,0.09477535353766547,12.659224634700351,738.4693516333901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Deliver Goods Services,370540.9459859359,14067.473737001419,1028792.6894421577,7.410818919718719E7,279069.9873532152,0.0,888303.5004673004,5.581399747064304E7,8678466.3,345840.0,2.411226E7,1.73569326E9,508.1719924040036,75.99864436123106,951.6223528928227,101634.39848080072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391
Pay Invoice,4881.394010064602,246.6276822090149,30919.38427710533,976278.8020129204,4314.615690181256,0.0,30195.81343317032,862923.1380362511,105959.1,0.0,742140.0,2.119182E7,3.148768443796367,1.3701537900500826,4.955895064936744,629.7536887592734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Purchase Order,60.0,60.0,60.0,12000.0,0.0,0.0,0.0,0.0,1620.9,0.0,154860.0,324180.0,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Supplier's Invoice,1085.7607415807247,120.50099062919617,24902.38174510002,217152.14831614494,809.489594541788,0.0,24484.523995161057,161897.91890835762,12320.7,0.0,580020.0,2464140.0,1.5348397057718706,0.6694499479399787,2.3285795211791993,306.9679411543741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Invoice,372591.37722539186,0.0,897464.5595583916,7.451827544507837E7,372591.37722539186,0.0,897464.5595583916,7.451827544507837E7,8738931.9,0.0,2.108244E7,1.74778638E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Request for Quotation to Supplier,114725.02923207403,1030.6911978721619,305314.1105940342,2.2945005846414804E7,113272.65542901278,0.0,303598.70320367813,2.2654531085802555E7,2690459.4,0.0,7284420.0,5.3809188E8,8.068743350340258,1.6577508131663004,13.645677740044064,1613.7486700680515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Conditions With Supplier,227818.6886066842,17007.065523147583,354944.11883354187,4.556373772133684E7,195795.7557082665,0.0,306477.5114607811,3.91591511416533E7,5344084.2,378300.0,8422860.0,1.06881684E9,177.9051827689872,79.34440538088481,292.7382436050309,35581.03655379744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Dispute With Supplier,16348.281697962018,102.9816164970398,122087.29465675354,1618479.88809824,5803.244704383792,0.0,30106.543486595154,574521.2257339954,374859.3939393939,0.0,2900100.0,3.711108E7,58.583538853212374,0.43051497671339245,627.2798776480887,5799.770346468025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4010191.6566824913,4.099351785373847E7,5.334671422137356E7
Process Cycle Time excluding out of timetable hours (s),168810.6566824913,1679849.3380815578,2185659.4436757565
Process Waiting Time (s),105754.30288624763,1526832.8280789221,2074792.8515353203
Accumulated Process Duration (s),4010191.6566824913,4.099351785373847E7,5.334671422137356E7
Cost,293.5920762141546,851.9378956159483,1481.3557686421607


Process Cycle Time (s) distribution
From,To,Count
4010191,8943843,8
8943844,13877496,3
13877497,18811149,10
18811150,23744802,7
23744803,28678455,14
28678456,33612108,14
33612109,38545761,11
38545762,43479414,11
43479415,48413067,15
48413068,53346720,107

Process Waiting Time (s) distribution
From,To,Count
105754,302657,9
302658,499561,6
499562,696465,10
696466,893369,7
893370,1090273,14
1090274,1287177,11
1287178,1484081,13
1484082,1680985,12
1680986,1877889,29
1877890,2074793,89

Accumulated Process Duration (s) distribution
From,To,Count
4010191,8943843,8
8943844,13877496,3
13877497,18811149,10
18811150,23744802,7
23744803,28678455,14
28678456,33612108,14
33612109,38545761,11
38545762,43479414,11
43479415,48413067,15
48413068,53346720,107

Process Cost distribution
From,To,Count
293,411,17
412,530,14
531,649,19
650,768,32
769,887,19
888,1006,34
1007,1125,28
1126,1244,25
1245,1363,11
1364,1482,1

In-timetable Cycle time (s) distribution
From,To,Count
168810,370494,8
370495,572179,4
572180,773864,9
773865,975549,7
975550,1177234,14
1177235,1378919,14
1378920,1580604,11
1580605,1782289,11
1782290,1983974,15
1983975,2185659,107



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,4010191.6566824913,168810.6566824913,105754.30288624763,351.0999563786718
2,9780364.34888053,404956.1717772484,207047.95061516762,1100.561067240768
3,4485990.645953178,186294.6060409546,118044.02810788155,382.67962714301217
4,5178626.869383812,215744.40655136108,146573.59968829155,385.562323044406
5,4901699.5117890835,204966.731880188,123242.22193336487,454.8105552752813
6,2.5451245116319656E7,1047806.0264668465,925115.4029929638,683.6129565914472
7,7812444.009485245,319273.9874341488,207465.98808002472,622.0158757421708
8,7882119.411291599,327254.8360710144,166442.67005729675,894.8298798057768
9,8465351.377658844,345071.377658844,231511.99485230446,631.764400874244
10,7168264.262049913,290087.0098044872,218357.25703001022,401.8129890918732
11,1.3444136824596882E7,545580.0542683601,381224.1807484627,916.8208582109877
12,1.611106672850871E7,657927.682697773,477182.00796341896,1005.4037895639739
13,1.5061450474879026E7,612964.8439159393,456503.58139276505,870.3961753461098
14,4.424910150412655E7,1811526.571666956,1685704.2483038902,701.8059189253385
15,1.3994318052355766E7,571754.6984295845,375581.50205135345,1090.8316133817034
16,2.54727160668447E7,1043766.9212443829,862895.8659479618,1008.6918045361837
17,2.0979269500932693E7,858603.6019871235,637966.2280926704,1226.9685529523424
18,1.7410484770631075E7,711892.0126290321,525239.4604907036,1037.906431616677
19,4.1414707335678816E7,1698613.1220552921,1600725.1705596447,544.9762926578522
20,3.025363512779665E7,1240536.248123169,1120711.5589530468,668.3824682977465
21,1.1538537139609814E7,474897.1396098137,341074.3463025093,745.9475310736233
22,2.6956102075987816E7,1101811.232828617,933992.0788323879,932.9909810887443
23,1.700606923933506E7,698243.3362562656,493667.0799405575,1138.6911121050516
24,1.991549103099394E7,815369.070120573,612221.1615505219,1130.869030816025
25,1.6373960661083937E7,670783.3190507889,598505.355618,401.67835561964233
26,1.5913767922673702E7,649691.7792708874,565093.552526474,470.35425083637233
27,2.2944207400027037E7,939138.3069140911,723961.7909252644,1197.8299397269884
28,1.588607825764227E7,649947.0495820045,505367.56625699997,805.5474734783172
29,5.260530078403163E7,2153320.528347969,1946069.437075138,1154.0020266506403
30,2.108794037123227E7,861459.407233715,595264.9829623699,1481.3557686421607
31,5.2578478392110586E7,2154468.873086214,2014017.4056596756,786.6155424647861
32,5.2463743429115534E7,2147500.3893961906,1941319.6085374355,1149.7340585271518
33,2.4727811914091587E7,1012713.9272964001,902984.3171794415,610.4447649319967
34,3.767523501609588E7,1541632.8885586262,1370477.9342842102,957.0257147285673
35,4.068619170448351E7,1666443.8102645874,1557838.255305767,605.8036439776422
36,2.5238088750430584E7,1035436.431812048,826915.2316236496,1160.6984869639077
37,1.8177818845098257E7,744084.1965868473,634097.5414366722,613.8835912148159
38,5.24797136320343E7,2153730.9712023735,1946178.3177621365,1153.503535381953
39,2.0670506988693953E7,847451.37748909,673523.140909195,966.3298007342552
40,2.3580091864732027E7,964661.8969039917,747776.1792001724,1205.3343863421014
41,2.850635638331437E7,1167497.0426261425,1036511.8319869041,728.4328083621132
42,5.268390920830417E7,2158237.818384886,2019460.1037390232,771.7840470353763
43,2.630127417220354E7,1076299.368633747,881132.4715504646,1086.0782715466285
44,2.4732793539856195E7,1013285.4256739616,868136.513698101,809.1526207115915
45,1.987975643767619E7,814450.059309721,735793.7213873863,437.6599335842661
46,1.7893995354777098E7,737650.6180467606,682988.9032161236,303.7235811803076
47,5.230070928965783E7,2144177.47644639,2009861.8801047802,747.5497977190548
48,5.23393287626698E7,2146329.582775831,2074792.8515353203,397.871640627914
49,2.6217481580597878E7,1073145.5211954117,894482.9780762196,992.7136698643368
50,4.055188132227945E7,1663171.9164721966,1464537.4283151627,1107.652433715926
51,5.22439380841403E7,2143408.6932337284,1919994.158107996,1244.4229927976924
52,2.6223011908749104E7,1076771.9087491035,912679.1192514896,914.8181862129106
53,3.93072556159699E7,1609769.839757204,1539875.484363079,388.4385505610042
54,2.9430317210157156E7,1200123.479688406,1015173.132799387,1030.7853394177225
55,5.214226925039101E7,2133900.310193062,2005047.0231280327,717.9336283604305
56,2.4060016894627094E7,980727.0391964912,909685.9218196869,400.03679894341354
57,5.2159664795033455E7,2135979.979641199,2020971.6135988235,643.5147391425239
58,3.0763588927168846E7,1259979.220163107,1074003.6986448765,1038.4557721442648
59,2.376144522615981E7,976283.285232544,911538.8154881,362.4672907299465
60,5.211862316774368E7,2137116.4215712547,2026506.1932263374,615.3811423752045
61,2.8123615423346043E7,1151614.7872025967,1027854.7948336601,688.7351613680523
62,5.247770188078475E7,2149531.8216900826,1983271.0435841084,926.0870563811727
63,2.9046702349355698E7,1191178.8789503574,999970.2079117298,1064.3357811278763
64,3.12890359897089E7,1285840.2482807636,1080205.826606989,1144.2439921273124
65,2.604104142383623E7,1066769.3713185787,1014517.2615318298,293.5920762141546
66,3.1422505517967224E7,1285298.8633737564,1123427.666258812,903.693102587594
67,3.141039989605713E7,1287144.2307860851,1107044.6308848858,1001.9908972263337
68,3.53848556509037E7,1446111.9719495773,1251817.5342063904,1081.653067571587
69,3.295329360488367E7,1348717.0374007225,1187708.180016756,895.7237147953776
70,2.9553685517315626E7,1209019.3032739162,1119877.9726073742,496.4516303910148
71,5.2016615519789696E7,2131500.1273989677,1905113.1895022392,1258.918280726009
72,3.238764555658698E7,1325775.6938874722,1159331.0662128925,929.1281236145231
73,5.199003315191698E7,2129285.6585953236,1915786.4559075832,1189.9884858012197
74,5.1975611751128435E7,2128924.3837008476,1938353.4936068058,1059.8244586282306
75,3.718396684210849E7,1523930.716105938,1335020.0291569233,1050.2648028771082
76,3.798505814387393E7,1557263.8641154766,1326859.7905700207,1281.9873846173284
77,5.193406115575075E7,2129260.994513035,1933799.9801652431,1086.6075788670119
78,5.1045441470220566E7,2090446.160191059,1910875.903459072,997.7655960361163
79,3.2498744902964592E7,1332956.5244226456,1181712.1410326958,841.921684343285
80,3.2275888857599497E7,1325819.979253769,1190246.7854959965,755.8521474930976
81,5.334671422137356E7,2185659.4436757565,1940596.242570877,1363.7698880672453
82,5.236993639860606E7,2148718.592148304,2022150.454203844,706.3027055660884
83,5.179449830976319E7,2120554.8901872635,1914238.1761209965,1149.8164655552969
84,5.096114984128833E7,2086561.5925533772,1949126.4850444794,763.9189909471406
85,3.488745019382644E7,1431586.3821396828,1295492.5199911594,756.3738291290072
86,3.271486840896821E7,1341005.0473103523,1251585.3648834229,496.9361726853582
87,3.277563180409026E7,1343773.653707981,1189794.5301651955,858.2682850016489
88,5.167966646977973E7,2119116.2308990955,1914206.5094647408,1140.8232305791641
89,5.1712212532750845E7,2122432.4570002556,2038511.5659091473,468.07852952745225
90,3.758019189364171E7,1543231.8936417103,1362972.5892896652,1005.9138660391172
91,5.173662172591877E7,2120855.0511157513,1931393.953038454,1054.3451446864342
92,3.686289327349925E7,1509489.1247346401,1330566.408737421,999.0930587569875
93,3.537910800336623E7,1451912.577669382,1346344.9485447407,588.0292614857357
94,3.449211183190131E7,1414825.0973830223,1318986.739609003,533.5065011342366
95,5.1681168135989904E7,2121483.329224825,2001455.7671017647,666.9470020638573
96,5.1614962825671196E7,2112655.869439125,1986551.3290085793,702.7431176212101
97,4.4654249017066E7,1823621.8855125904,1660486.2820837498,909.000960788462
98,3.9885736444080114E7,1633513.675588131,1449569.1130754948,1024.5776679409876
99,4.310585956087899E7,1765810.1828382015,1553616.4612088203,1179.498710629675
100,3.864888716229582E7,1584675.559572935,1449921.8682773113,751.7489519808028
101,3.758641098272443E7,1537802.320416689,1402962.2933459282,750.153149951829
102,5.1582150462364435E7,2113441.966493845,2023039.2476930618,502.4414205630619
103,5.146997856646848E7,2108922.0827679634,1912932.8325371742,1088.9233865406777
104,5.150271216045189E7,2112438.2628409863,1901696.631859541,1175.5302160130605
105,5.154089007602525E7,2114138.995657921,1984512.728855133,723.6301333679094
106,4.079850506935072E7,1671258.288639307,1513435.9963386059,878.2553053021433
107,3.967828328659272E7,1627800.6724903584,1464368.2730846405,908.6176286326515
108,3.9737979978666306E7,1625916.7083842754,1536471.432034254,497.527404569255
109,3.7910154736516E7,1552106.9993178844,1493551.3089215755,329.96432964271963
