Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,22
Role 2,88
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1603.1303356111484,0.6971206665039062,11567.968172550201,219628.85597872734,0.0,0.0,0.0,0.0,33321.459854014596,0.0,407040.0,4565040.0,8.906279642284158,0.003872892591688368,64.26648984750112,1220.1603109929297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
Amend Request for Quotation,597.5595314482848,0.0,1274.1961064338684,71707.14377379417,0.0,0.0,0.0,0.0,14890.5,0.0,158460.0,1786860.0,3.319775174712695,0.0,7.0788672579659355,398.3730209655234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Analyze Purchase Requisition,381.78762760745826,240.49191522598267,539.6365249156952,90483.6677429676,0.0,0.0,0.0,0.0,7692.911392405063,0.0,158460.0,1823220.0,2.1210423755969914,1.3360661956999036,2.9979806939760842,502.68704301648694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
Analyze Quotation Comparison Map,1207.84500449419,364.45353055000305,2012.2986726760864,120784.50044941902,0.0,0.0,0.0,0.0,30046.2,0.0,158460.0,3004620.0,6.71025002496772,2.024741836388906,11.179437070422702,671.025002496772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,11224.73586886471,31.34334897994995,38145.65827155113,2469441.891150236,9786.326942801476,0.0,36877.97359704971,2152991.9274163246,259620.0,0.0,835860.0,5.71164E7,15.982321400702595,0.348259433110555,31.60856058332655,3516.110708154571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
Approve Purchase Order for payment,3914.3102044701577,60.0,41579.97229719162,391431.02044701576,3854.3102044701577,0.0,41519.97229719162,385431.02044701576,92982.6,0.0,997920.0,9298260.0,0.6666666666666659,0.6666666666666666,0.6666666666666666,66.66666666666659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,5288.628049168587,0.0,20298.459872961044,528862.8049168587,5288.628049168587,0.0,20298.459872961044,528862.8049168587,127706.4,0.0,536760.0,1.277064E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,15183.102501208783,367.17523407936096,41188.906521081924,1518310.2501208782,14587.010735170841,0.0,40756.07913637161,1458701.0735170841,356080.8,0.0,1084320.0,3.560808E7,6.623241844866011,4.07972482310401,8.658926147884793,662.3241844866011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1995.7559823679924,304.75888538360596,3383.622341156006,199575.59823679924,0.0,0.0,0.0,0.0,59057.004161243436,0.0,157256.8553826809,5905700.416124344,11.087533235377732,1.6931049187978109,18.797901895311142,1108.7533235377732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,25491.46435123205,2419.2713117599487,56971.79708647728,2549146.435123205,13415.523664083481,0.0,40437.32641005516,1341552.366408348,599001.6,50460.0,1253760.0,5.990016E7,134.1771187460952,26.88079235288832,238.4903371916877,13417.71187460952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,6645.388500974178,23.411329746246338,14985.25071978569,664538.8500974178,6275.1127176857,0.0,14561.72413778305,627511.27176857,152426.4,0.0,417900.0,1.524264E7,4.114175369871986,0.26012588606940373,14.466273742251927,411.4175369871986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,365387.02531794785,22327.31239581108,794216.1274507046,3.653870253179479E7,274872.0838621592,0.0,636247.2141773701,2.7487208386215925E7,8541682.2,421560.0,1.86327E7,8.5416822E8,502.86078586549235,87.34322735203637,972.5168967776829,50286.078586549236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237
Pay Invoice,5426.004196054935,266.2592942714691,20486.586674928665,542600.4196054935,4833.325730118751,0.0,19996.030893087387,483332.57301187515,119859.6,0.0,536760.0,1.198596E7,3.2926581440899123,1.4526980214648777,4.997837291823493,329.2658144089912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1153.2,0.0,72060.0,115320.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,685.7839618682862,129.72435593605042,7191.614017248154,68578.39618682861,412.5035148739815,0.0,6850.738055706024,41250.35148739815,7528.2,0.0,162120.0,752820.0,1.5182247055239158,0.6749630742602878,2.3098791599273683,151.82247055239156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,283255.6205856681,0.0,635877.5040695667,2.832556205856681E7,283255.6205856681,0.0,635877.5040695667,2.832556205856681E7,6650998.8,0.0,1.483194E7,6.6509988E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,13573.014285337926,561.5161440372467,41840.07849788666,1357301.4285337925,12175.054969062805,0.0,41180.80321717262,1217505.4969062805,320272.8,0.0,997920.0,3.202728E7,15.532881291945776,2.6087835126452976,24.736984395980834,1553.2881291945776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,49239.105837225914,14463.146222114563,90904.13957715034,4923910.583722591,16801.310026462077,0.0,41157.30104470253,1680131.0026462078,1157155.8,374700.0,2085900.0,1.1571558E8,360.4199534529314,160.70162469016182,584.0505573511124,36041.99534529314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,15917.851425409317,162.9065454006195,76754.12265634537,827728.2741212845,4232.656713137259,0.0,20290.369265556335,220098.1490831375,352502.3076923077,0.0,1740060.0,1.833012E7,64.91774840151143,0.1972667866282993,421.5473410924276,3375.7229168785943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4431320.294569731,1.9866310022014547E7,2.457448466010952E7
Process Cycle Time excluding out of timetable hours (s),181252.39698696136,814142.017853303,1008613.4880530834
Process Waiting Time (s),111154.40158390999,659501.3848239183,836322.3654818535
Accumulated Process Duration (s),4431320.294569731,1.9866310951266933E7,2.457448466010952E7
Cost,549.072730492221,1137.467362681243,1876.8150388161341


Process Cycle Time (s) distribution
From,To,Count
4431320,6445636,4
6445637,8459953,3
8459954,10474270,3
10474271,12488587,2
12488588,14502904,2
14502905,16517221,3
16517222,18531538,1
18531539,20545855,1
20545856,22560172,75
22560173,24574489,6

Process Waiting Time (s) distribution
From,To,Count
111154,183670,3
183671,256187,5
256188,328704,3
328705,401221,3
401222,473738,0
473739,546255,3
546256,618772,1
618773,691289,17
691290,763806,35
763807,836323,30

Accumulated Process Duration (s) distribution
From,To,Count
4431320,6445636,4
6445637,8459953,3
8459954,10474270,3
10474271,12488587,2
12488588,14502904,2
14502905,16517221,3
16517222,18531538,1
18531539,20545855,1
20545856,22560172,75
22560173,24574489,6

Process Cost distribution
From,To,Count
549,681,9
682,814,7
815,947,13
948,1080,15
1081,1213,18
1214,1346,14
1347,1479,8
1480,1612,7
1613,1745,6
1746,1878,3

In-timetable Cycle time (s) distribution
From,To,Count
181252,263988,4
263989,346725,3
346726,429462,3
429463,512199,2
512200,594936,2
594937,677673,3
677674,760410,1
760411,843147,1
843148,925884,75
925885,1008621,6



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0056761400106668E7,415180.4001066685,292507.63709545135,962.2797299928136
2,8570686.902813196,355246.29514837265,214606.04678702354,1025.917300801807
3,1.3604410587708712E7,561120.762860775,387913.509144783,1296.2540330436495
4,8199582.27806735,336407.28114390373,204194.1057460308,916.3053903924093
5,1.3368262303019762E7,551071.9970290661,380739.15932774544,1210.826615930928
6,1.4557139726287127E7,597572.8720407486,479639.9896695614,1042.9043398976326
7,8058086.48448658,330588.39437532425,209717.32410478592,952.3741842110952
8,1.1673147273190737E7,479521.8684837818,305100.0956413746,1092.5688858363362
9,2.2385206231917143E7,920806.2319171429,722541.3173437119,1403.4147919972736
10,8064559.012059927,328726.4354891777,210043.11737847328,881.8771185093457
11,1.5912942502666712E7,650864.8336715698,530887.7240798473,883.7112321164873
12,4460761.131481171,182646.28640556335,111154.40158390999,605.1831389162276
13,2.188374278862953E7,892802.0512881279,729125.5315358639,1297.9594241102536
14,4431320.294569731,181252.39698696136,111668.06961464882,575.4629643387266
15,1.7668470276596308E7,722400.2117784023,574167.1051998138,1121.1996989250183
16,2.2278310189912558E7,911481.9005773067,715755.8310861588,1340.3164377186033
17,1.138674508516407E7,470672.41621518135,331557.0577468872,995.1956317795647
18,4709412.475464582,191224.43669891357,115436.7214205265,641.6454915020201
19,2.240544169065237E7,918560.8867182732,794015.508908987,1092.3820082028708
20,2.2390377342801094E7,917529.3481280804,791414.5024082661,1087.6458357916938
21,2.121511948219776E7,871159.4821977615,769837.6933317184,926.0110873407788
22,1.5152452277996778E7,621065.6960122585,516495.90707826614,857.435228047106
23,6380033.4249408245,260293.65112638474,194273.997320652,612.0940691404872
24,2.2337138394720316E7,916758.9223368168,830590.5429461002,800.2314541326629
25,2.2320152282416105E7,910272.4803497791,727101.3966491222,1294.9400413354238
26,2.2307395540602684E7,911599.1945674419,638688.1770756245,1876.8150388161341
27,2.212390445354247E7,904187.9373626709,753978.0621116161,1170.0667427062988
28,9333452.986281157,380301.4370689392,267012.56683039665,779.8194631285138
29,2.231141182986784E7,910863.4194962978,652064.4349725246,1811.0684115370113
30,2.224964319702506E7,906420.7185909748,697198.4210076332,1385.0544281442963
31,2.2068493170387983E7,901368.8420841694,696425.6070411205,1322.3391832285456
32,2.2054556786774635E7,901409.07462883,705541.8827447891,1332.6657920426794
33,2.225603067066765E7,911537.3317790031,749076.1563723087,1261.2702589088017
34,2.2240574435506344E7,910047.6640405655,726056.7841758728,1367.9604468888708
35,2.222822496664858E7,911746.3009984493,757429.4175477028,1064.987690779898
36,2.1562837364539623E7,883646.6844756603,723123.2027950287,1061.1459904525016
37,2.2199583938169718E7,911120.6593940258,768180.9131920338,1040.7517072664366
38,2.218448879552245E7,910019.5981650352,766297.253000021,1102.1016185058486
39,2.2123983441887617E7,906788.9961714745,688871.2625255585,1452.7664624240663
40,2.2156814083795547E7,906825.0238788128,807508.3097929955,959.0785601668888
41,2.2143959660178423E7,907979.5129873753,665500.8572871685,1700.2590619709758
42,2.1922492740511894E7,902262.0073857307,692476.9206645489,1398.092257791095
43,2.190885440512681E7,902594.9299886227,797800.7765676975,859.229856718911
44,2.2102394376318455E7,908434.1925635338,742702.9554655552,1226.2657347718875
45,2.3299193270608425E7,959279.8086557388,771449.7952489853,1329.7558089892068
46,1.9362206548450947E7,793824.0317358971,708248.0531685352,642.289718029234
47,2.20592779096694E7,903870.6930539608,703597.964274168,1293.7770057664977
48,2.183742531180978E7,897713.1374766827,836322.3654818535,556.6434158232478
49,2.2343684108326674E7,913626.7592015266,690869.0655224323,1483.238169344266
50,2.201799697650957E7,904381.4387147427,671286.4975287914,1723.524094283581
51,2.205962635635662E7,909564.113956213,777811.9017124176,891.8968506362704
52,2.1988769589179754E7,902669.5891797543,680688.6344752312,1622.5571427318787
53,2.1977013611024857E7,898377.9009459019,654112.3668982983,1742.4577809982832
54,2.175429313626933E7,891387.2326962948,764255.5613780022,944.2655886716312
55,2.190271953429818E7,895347.3625130653,754987.0538556576,1020.6438211295341
56,2.1934848478978395E7,898201.0494272709,661634.3219838142,1668.5077967882157
57,2.2580389132611275E7,927264.4572303295,743241.808876276,1180.2021822479037
58,2.195942770164585E7,900339.4490933418,679888.7050311565,1401.2480488061904
59,2.1844621965303183E7,893301.5112998486,712140.5500924587,1312.8623622483676
60,2.183044793228817E7,893063.6394538879,808125.6950216293,800.9458224919107
61,2.181781183072257E7,894394.3019628525,802357.483975172,703.7478222250938
62,2.180465281274438E7,895257.4366929531,770012.3205106258,1046.1677020139164
63,2.1790587233399153E7,895156.9704554081,786321.5141201019,840.311182261838
64,2.177528863208151E7,893830.9660463333,767374.3670349121,935.0985845168433
65,2.180660461983466E7,892301.789711237,805407.5304641724,726.3583939976163
66,2.2007242508449793E7,901577.490664959,780480.6284921169,997.4648603982396
67,2.178010315764737E7,893788.5158190727,677977.7131817341,1600.7024922715293
68,2.457448466010952E7,1003936.8795726299,780497.0676207542,1549.6376502116518
69,2.214882238276553E7,908708.6716480255,649298.8968861103,1746.195517953237
70,2.169015869252062E7,885631.1023077965,815253.1821792126,549.072730492221
71,2.17230435516901E7,889270.4286925793,820233.6597728729,604.86333357758
72,2.252738168748784E7,918718.089294672,760937.5098760128,1180.2011897537443
73,2.1649855843234777E7,883836.2703669071,734726.2028119564,1071.4250675320625
74,2.207967991419792E7,906016.6889686584,683211.3304274082,1620.3350895086924
75,2.162173512293434E7,883715.8566784859,718178.0982658863,1244.0603695101206
76,2.16082648586545E7,884243.8833024502,775281.9768931866,834.0193580561214
77,2.1594459745578527E7,884441.5249099731,801328.8015170097,663.1759966015817
78,2.162667283183098E7,887415.6566231251,657013.6672296524,1573.938231054942
79,2.156695855183506E7,884947.7943766117,689838.7105586529,1384.0750287890435
80,2.1551458200843334E7,883445.6646068096,737734.8566679955,1190.7852003110777
81,2.1583335077802658E7,886124.4465126991,791838.9849774837,765.7789644810889
82,2.152378602379322E7,883786.6567766666,687557.3918335438,1458.6155878490872
83,2.155580746823597E7,883137.829120636,725189.1610765457,1096.9429546965494
84,2.1541455098388195E7,882806.5979208946,659141.8749251366,1496.2008418560026
85,2.1482579902627945E7,881238.9130365849,739027.3163321018,1111.3593171874682
86,2.182839544080949E7,895193.5106360912,764971.3027899265,1168.4847472217348
87,2.149918177928543E7,882523.3048717976,734519.6289842129,1135.5541320721309
88,2.1484387305617094E7,881797.9345569611,743818.7835788727,992.2272737145424
89,2.4497350734384537E7,1008613.4880530834,779409.8879415989,1610.982031601005
90,2.3224487972723484E7,949547.972723484,714412.9289045334,1598.7008413116137
91,2.139781372800231E7,876890.2696590424,709001.6131312847,1088.0939035932222
92,2.174333912511468E7,890615.2726697922,764341.5773472786,1085.6587656100592
93,2.1370290746748447E7,877462.0325160027,751993.8838875294,919.6306831651264
94,2.1401049954971075E7,878919.6408390999,787136.4790596962,705.2969777888721
95,2.1342062726938963E7,877175.2161803246,741118.1520113945,969.6214550574621
96,2.1374423966140985E7,873207.1107583046,751533.6391966343,933.1406049344275
97,2.1360576958404303E7,873366.7560572624,695293.4229989052,1246.743020673593
98,2.2767664091212273E7,929114.2878556252,766407.2101502419,1266.6769498970775
99,2.133204027248454E7,872901.8993616104,717693.3687798977,1158.2040152960355
100,2.1874406742654085E7,892549.4231743813,747187.7611298561,1174.4969498329692
