Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 3,46
Role 2,73
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1736.2384849481093,71.00179266929626,10285.760100126266,135426.60182595253,0.0,0.0,0.0,0.0,45910.769230769234,0.0,302580.0,3581040.0,9.645769360822825,0.3944544037183126,57.143111667368146,752.3700101441804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
Amend Request for Quotation,626.7190047531593,222.86456155776978,1042.5078058242798,51390.958389759064,0.0,0.0,0.0,0.0,17397.073170731706,0.0,158460.0,1426560.0,3.4817722486286646,1.238136453098721,5.79171003235711,285.5053243875505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
Analyze Purchase Requisition,398.0927471806494,240.0517601966858,539.6851086616516,70860.5089981556,0.0,0.0,0.0,0.0,2349.1011235955057,0.0,97260.0,418140.0,2.211626373225831,1.3336208899815878,2.9982506036758423,393.66949443419793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
Analyze Quotation Comparison Map,1208.3003803539277,362.4734733104706,2004.8695135116577,120830.03803539276,0.0,0.0,0.0,0.0,38075.4,0.0,158460.0,3807540.0,6.712779890855156,2.013741518391503,11.138163963953653,671.2779890855156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41158.592180139414,637.4843838214874,164795.61698794365,7490863.776785374,39740.67816168528,0.0,162481.0062699318,7232803.425426722,952363.1868131869,0.0,3966420.0,1.733301E8,7.879777209968357,0.0,15.367735222975414,1434.119452214241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
Approve Purchase Order for payment,37736.246914601325,60.0,175807.8008658886,3773624.6914601326,37676.246914601325,0.0,175747.8008658886,3767624.6914601326,881129.4,0.0,4215000.0,8.811294E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,996.7402539801598,0.0,8355.83280301094,99674.02539801598,996.7402539801598,0.0,8355.83280301094,99674.02539801598,23311.2,0.0,234180.0,2331120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,82729.69261686325,360.88211822509766,176612.42287921906,8272969.261686325,82159.33991465092,0.0,175908.88428902626,8215933.991465092,1940075.4,0.0,4157400.0,1.9400754E8,3.1686261234018525,2.004900656806098,4.312038298447927,316.86261234018525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1681.7428117251395,340.63146138191223,3245.6285271644592,168174.28117251396,0.0,0.0,0.0,0.0,58814.487161388395,0.0,157742.2490901947,5881448.71613884,9.343015620695219,1.8923970076772902,18.031269595358108,934.3015620695219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,84214.02098381997,5690.352868556976,181848.99547100067,8421402.098381996,72300.95077381135,0.0,161532.15638303757,7230095.077381134,1958313.6,43260.0,4222260.0,1.9583136E8,66.1837233889368,15.120346424314711,120.69795849323273,6618.37233889368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,295.54321016311644,2.0917606353759766,1265.8700127601624,29554.321016311646,0.0,0.0,0.0,0.0,7240.8,0.0,158460.0,724080.0,1.6419067231284243,0.011620892418755425,7.032611182000902,164.19067231284242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,245349.40297102212,13662.263417720795,565114.3330845833,2.4534940297102213E7,152236.1280093646,0.0,453802.58714699745,1.522361280093646E7,5735790.6,374640.0,1.33368E7,5.7357906E8,517.2959720092084,66.46436024771796,980.6908432973755,51729.59720092084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
Pay Invoice,2024.193399720192,243.84647488594055,8771.517689704895,202419.3399720192,1440.680938475132,0.0,8298.388293981552,144068.0938475132,43094.4,0.0,234180.0,4309440.0,3.241735895805888,1.3547026382552252,4.999611519442665,324.1735895805888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,484.17123676776885,129.57155799865723,3756.6762828826904,48417.123676776886,207.8348808979988,0.0,3391.7043821811676,20783.48808979988,3169.8,0.0,158460.0,316980.0,1.535201977054278,0.719841988881429,2.3106853908962672,153.5201977054278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,189277.5155162096,0.0,454964.3621163368,1.892775155162096E7,189277.5155162096,0.0,454964.3621163368,1.892775155162096E7,4454677.2,0.0,1.074294E7,4.4546772E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58370.977254657744,975.1821122169495,175735.59961748123,5837097.725465775,56972.90360338926,0.0,173713.5587053299,5697290.360338926,1380836.4,0.0,4215000.0,1.3808364E8,7.767075840380454,3.1482842167218528,13.276445274882846,776.7075840380454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,126972.60129875183,19902.728223323822,211478.9936361313,1.2697260129875183E7,93098.86285074234,191.44376015663147,173056.71125674248,9309886.285074234,2962249.2,374700.0,4986000.0,2.9622492E8,188.1874358222749,79.68110079367956,287.8871710512373,18818.74358222749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,15166.756606381872,1305.911547422409,49943.877400159836,697670.8038935661,687.7367962702461,0.0,6751.9063358306885,31635.89262843132,355099.5652173913,0.0,1160040.0,1.633458E7,80.43899894506461,3.769258964061737,275.22723957035276,3700.193951472972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4281544.926398039,2.2353545362508956E7,2.9085836871665E7
Process Cycle Time excluding out of timetable hours (s),178858.96620082855,915863.2753475643,1190901.5775725842
Process Waiting Time (s),96120.22998094559,759011.5968366743,1029686.8608007431
Accumulated Process Duration (s),4281544.926398039,2.2353545362508956E7,2.9085836871665E7
Cost,324.25018466446136,871.4027222849394,1348.4486961894563


Process Cycle Time (s) distribution
From,To,Count
4281544,6761973,1
6761974,9242403,4
9242404,11722833,7
11722834,14203263,6
14203264,16683693,3
16683694,19164123,1
19164124,21644553,9
21644554,24124983,9
24124984,26605413,32
26605414,29085843,28

Process Waiting Time (s) distribution
From,To,Count
96120,189476,4
189477,282833,7
282834,376190,4
376191,469547,3
469548,562904,4
562905,656261,2
656262,749618,9
749619,842975,6
842976,936332,38
936333,1029689,23

Accumulated Process Duration (s) distribution
From,To,Count
4281544,6761973,1
6761974,9242403,4
9242404,11722833,7
11722834,14203263,6
14203264,16683693,3
16683694,19164123,1
19164124,21644553,9
21644554,24124983,9
24124984,26605413,32
26605414,29085843,28

Process Cost distribution
From,To,Count
324,426,4
427,529,10
530,632,5
633,735,9
736,838,15
839,941,16
942,1044,14
1045,1147,11
1148,1250,7
1251,1353,9

In-timetable Cycle time (s) distribution
From,To,Count
178858,280062,1
280063,381267,4
381268,482472,7
482473,583677,6
583678,684882,3
684883,786087,1
786088,887292,9
887293,988497,9
988498,1089702,32
1089703,1190907,28



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9108106.501651049,374445.50165104866,188093.29039430618,1035.2900625374577
2,1.1758836599581003E7,484919.4772412777,257534.1862475872,1263.2516166316136
3,1.037165778108859E7,430306.3121562004,200428.8089516163,1277.097240025467
4,1.1989304319901228E7,491385.1569008827,285088.6390552521,1146.0917658090593
5,1.1552198549725294E7,475340.46183395386,342266.9304468632,739.2973965949484
6,4281544.926398039,178858.96620082855,96120.22998094559,459.6596456660164
7,7284622.210074186,299526.3818318844,155789.21143770218,798.5398355232345
8,8044747.912867546,331538.4512310028,167952.61053085327,908.8102261119419
9,1.1659484949725151E7,476984.94972515106,271446.25645303726,1141.8816292895208
10,1.2082264320072412E7,491914.5589699745,351507.91472530365,780.0369124703938
11,6894615.047320366,282655.62486696243,208396.20468497276,412.552334344387
12,2.7178773738283157E7,1112291.7067079544,896462.7212662697,1199.0499191204706
13,1.0999565699414492E7,449149.4586224556,255193.5195865631,1077.532994643847
14,2.7313955955952883E7,1116985.1019632816,918387.151278019,1103.3219482514592
15,1.222643182373166E7,500724.0782496929,377115.1953318119,686.71601621045
16,9847429.261806011,405360.9043352604,250311.9712972641,861.3829613222017
17,2.9085836871665E7,1190901.5775725842,1016994.6688091755,966.1494931300482
18,1.0369963505330801E7,426437.07900857925,339426.6530108452,483.391255542967
19,1.4381956031934261E7,593980.9257082939,471457.75699329376,680.6842706388899
20,9738572.558573008,403053.05007600784,258357.78380393982,803.862590400378
21,1.5772601603487253E7,648821.6034872532,472314.8496630192,980.5930768013001
22,1.3549699529949427E7,553118.5403079987,425400.8925881386,709.542487332556
23,2.2350470861186028E7,916128.6999177933,744858.6963353157,951.5000199026532
24,1.8102045907338142E7,741806.5050837994,531462.379755497,1168.578474046124
25,2.741812018128872E7,1119522.750360489,977635.6816139221,788.2614930364821
26,1.3493140290945292E7,549106.7623665333,455702.92528295517,518.9102060198785
27,1.987251476710725E7,810814.3797125816,694309.4319965839,647.2497095333206
28,1.9255326746589184E7,787699.4757454395,671443.6766471863,646.3163841009141
29,2.0205832562512875E7,822869.0747592449,628835.9718594551,1077.9616827766101
30,2.069722437445712E7,845524.8608727455,670739.3004758358,971.030891093943
31,2.2238600928795338E7,909330.9496293068,787709.7063925266,675.6735735376676
32,2.187607426763749E7,892232.8701002598,667118.1143140793,1250.6375321454473
33,2.0150450472531557E7,823391.0890524387,626845.047640562,1091.9224522882037
34,2.3764711012883663E7,971598.4032008648,760707.8196425438,1171.6143531017833
35,1.5283508663918495E7,624683.1203987598,511221.81581139565,630.3405810409123
36,2.7655769778111458E7,1133006.5007300377,894397.749578476,1325.6041730642319
37,1.9564814547492027E7,801745.2226524353,665236.248716116,758.3831885351075
38,2.80167555923903E7,1147310.73655653,997013.8149552345,834.9828977849749
39,2.195460568807912E7,899379.1655049324,841014.1322653294,324.25018466446136
40,2.695117417605114E7,1104171.083700657,1010985.2696318626,517.698967048857
41,2.6773310084777117E7,1098725.62473917,1016826.9332368374,454.9927305685149
42,2.675953664539671E7,1098975.810740471,921894.926377058,983.7826909078493
43,2.232826411520815E7,914774.9375429153,756419.2482097149,879.7538296288915
44,2.0342534850475073E7,837905.3820121288,733899.8710656166,577.8083941472902
45,2.67184146704638E7,1099730.29108572,944487.6840019226,862.4589282433192
46,2.6866312721982956E7,1103070.9632940292,929316.8760309219,965.3004847950407
47,2.8497428343002796E7,1166766.8883843422,983915.720366478,1015.839822321468
48,2.6883415707480907E7,1101417.1930453777,1017553.8775157928,465.90730849769375
49,2.708246606763482E7,1109190.6670262814,1017294.4858109951,510.53434008492354
50,2.6649175037192106E7,1096882.3347017765,998419.6742343903,547.014780374368
51,1.9377645964042187E7,799569.1358139515,714079.1073102951,474.944602798091
52,2.0387031610570192E7,835671.6105701923,743855.0992069244,510.09172979593274
53,2.6766621618093014E7,1090727.8328108788,1029686.8608007431,339.1165111674203
54,2.5980904082847834E7,1061160.6558423042,922229.6149861813,771.83911586735
55,2.3211398926369667E7,949844.5486235619,845424.7246479988,580.1101331975725
56,2.6771313275165558E7,1094078.8247537613,851358.0594396591,1348.4486961894563
57,2.6758336711642265E7,1095137.902196169,955041.09720397,778.3155832899943
58,2.652829429201722E7,1084409.431820631,895860.3657543659,1047.4948114792505
59,2.3497367375828028E7,963849.0108172894,811289.0289516449,847.5554548091359
60,2.6507146151484013E7,1087600.5044243336,928653.8188464642,883.0371420992745
61,2.5805622241571426E7,1055882.2079036236,897613.1236717701,879.2726901769638
62,2.664133694273615E7,1091413.1579463482,1014619.0525612831,426.6339188059171
63,2.3650062251541376E7,970999.3227603436,797101.4671821594,966.0991976565784
64,2.6715371593035936E7,1099751.554553032,927851.1012918949,955.0025181174279
65,2.6700574708269835E7,1095424.1863002777,954476.4821984768,783.0428005655606
66,2.6424090895579576E7,1085133.0413303375,938076.0538475513,816.9832637932567
67,2.6408654049561977E7,1083671.263568163,896958.9066281319,1037.290871889061
68,2.6557215658766747E7,1084256.8072743416,965285.4207210541,660.952147518264
69,2.6376378510724545E7,1079496.1663739681,996703.183069706,459.96101835701194
70,2.718111849634838E7,1112862.4372127056,885749.4179830551,1261.7389957202804
71,2.6352952457589388E7,1080449.1203353405,932424.8190259933,822.3572294963732
72,2.660146487436962E7,1087198.5822479725,888016.0029408932,1106.5698850393294
73,2.6487788153407812E7,1081251.8560192585,925652.1859452724,864.4426115221448
74,2.6474985748327494E7,1082458.3356719017,937777.0872731209,803.7847133265602
75,2.811086030294895E7,1150791.880699873,975528.4701957703,973.6856139116818
76,2.6282496704200983E7,1076489.8019397259,919540.6477108002,871.9397457162539
77,2.6477802415530443E7,1084093.3793332577,856990.8611590862,1261.6806565231743
78,2.6419281252178192E7,1082831.416827917,916254.8125994205,925.4255790472032
79,2.563118720156932E7,1050830.5453078747,939857.4189338684,616.5173687444794
80,2.643619724450016E7,1084435.7452783585,895500.3623299599,1049.6410163799922
81,2.6634820489986897E7,1091657.7192590237,866006.9315338135,1253.6154873622788
82,2.662084120916128E7,1091672.8469913006,856004.5361559391,1309.268393529786
83,2.6349386157551765E7,1079254.6696939468,874694.8754291534,1136.4433014710742
84,2.6335417488415718E7,1079291.7612662315,865697.9019260406,1186.6325518899491
85,2.6365495429160595E7,1080141.9764344692,945079.1973330975,750.348772785399
86,2.8377997529155016E7,1161265.6538522243,993291.2561278343,933.1910984688336
87,2.6337102732205868E7,1079806.4343914986,883998.7266657352,1087.8205984764627
88,2.6982047190432787E7,1108282.9954538345,987070.7120687962,673.4015743613244
89,2.631023252896142E7,1081009.8148841858,924043.1039953232,872.0372827159034
90,2.625039050488901E7,1075350.5048890114,865216.2869727612,1167.4123217569456
91,2.623480121748185E7,1073210.878670454,862972.1005702019,1167.9932116680675
92,2.665597657499218E7,1090523.51252079,934093.9261345863,869.0532577011321
93,2.6253446661423206E7,1076679.3044791222,845527.5817947388,1284.176237135463
94,2.6031703387593985E7,1070656.904189825,904126.7608160973,925.1674631873767
95,2.622557339210844E7,1076822.5449917316,910966.1478662491,921.4244284749033
96,2.616685226614189E7,1068250.0170516968,892948.6387658119,973.8965460326937
97,2.619955732510805E7,1071632.0202481747,890048.602558136,1008.7967649446595
98,2.6184068095243454E7,1070176.4099941254,934997.2685403824,750.9952302985721
99,2.612364132218647E7,1067029.936670065,907261.3701879978,887.603147122595
100,2.5949514276414633E7,1065379.7507014275,934344.577505827,727.9731844200029
