Resource utilization
Resource,Utilization %
SYSTEM,0
Role 4,0
Role 6,0
Role 3,30
Role 2,46
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1966.7123877981962,1.213315725326538,8473.935092687607,232072.06176018715,224.07916203595823,0.0,1196.9400062561035,26441.341120243073,44150.84745762712,0.0,162120.0,5209800.0,9.6812956986791,0.006740642918480767,45.43594124449624,1142.3928924441338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118
Amend Request for Quotation,16087.560723639885,60.07408881187439,341260.36815333366,1705281.4367058277,15453.321439835261,0.0,340549.9646034241,1638052.0726225376,371173.0188679245,0.0,8044560.0,3.934434E7,3.523551576692355,0.3337449378437466,7.06313359869851,373.49646712938966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Analyze Purchase Requisition,387.7133772766918,240.61348271369934,539.2640841007233,84521.51624631882,0.0,0.0,0.0,0.0,4610.917431192661,0.0,158460.0,1005180.0,2.1539632070927337,1.336741570631663,2.9959115783373513,469.56397914621596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
Analyze Quotation Comparison Map,37669.19738039255,432.5976905822754,438426.54298973083,3766919.738039255,36509.01651420116,0.0,436970.3456835747,3650901.6514201164,877308.6,0.0,1.027104E7,8.773086E7,6.445449256618819,2.0043479217423332,11.310237055354648,644.5449256618818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,42301.39608319408,245.9269242286682,192754.83158397675,8714087.59313798,40889.23421659284,0.0,190743.4740538597,8423182.248618126,992745.1456310679,0.0,4636500.0,2.045055E8,7.8497244842680045,0.0,15.534701953993903,1617.043243759209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Approve Purchase Order for payment,34614.34424189568,60.0,190766.95396614075,3461434.4241895676,34554.34424189568,0.0,190706.95396614075,3455434.4241895676,820165.2,0.0,4470840.0,8.201652E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1150.8203443527223,0.0,8421.471534490585,115082.03443527222,1150.8203443527223,0.0,8421.471534490585,115082.03443527222,30836.4,0.0,248580.0,3083640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,10307.620431232452,0.0,233423.18461847305,1030762.0431232452,10307.620431232452,0.0,233423.18461847305,1030762.0431232452,241156.8,0.0,5393160.0,2.411568E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,86695.48255254985,376.2089829444885,190305.53092765808,8669548.255254984,86125.18078223229,0.0,189721.26867461205,8612518.078223228,2018907.0,0.0,4564440.0,2.018907E8,3.168343168430859,2.0144655929671393,4.322988568411933,316.8343168430859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1986.1722704148292,338.4061391353607,5399.508397579193,198617.22704148293,235.9529368185997,0.0,2266.489597797394,23595.29368185997,63198.04791292906,0.0,157447.76323390007,6319804.791292906,9.723440742201277,1.8800341063075596,18.49428392516242,972.3440742201276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,72918.69124225616,3553.3806426525116,195644.02526283264,7291869.124225616,61039.304534549716,0.0,182050.11966395378,6103930.453454971,1704755.4,43260.0,4542900.0,1.7047554E8,65.99659282059135,15.729173682795631,120.03567454417546,6599.659282059135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,307.6940108680725,33.8040406703949,1007.7778384685516,30769.40108680725,0.0,0.0,0.0,0.0,8035.8,0.0,158460.0,803580.0,3.418822342978582,0.3756004518932766,11.197531538539463,341.8822342978582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,212524.35661253214,12481.208025455475,581186.8985505104,2.1252435661253214E7,120299.6945852852,0.0,440677.65416431427,1.2029969458528519E7,4979847.6,234180.0,1.358904E7,4.9798476E8,512.3592334847054,65.40858302381304,974.1303301254908,51235.92334847055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
Pay Invoice,2138.6246498942373,243.3857774734497,9095.687726259232,213862.46498942375,1585.528648431301,0.0,8412.60149383545,158552.8648431301,51554.4,0.0,248580.0,5155440.0,3.0727555636829793,1.3521432081858318,4.951113670402103,307.27555636829794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,118363.31911847115,60.0,440383.3215289116,1.1836331911847115E7,118303.31911847115,0.0,440323.3215289116,1.1830331911847115E7,2759461.2,0.0,1.018824E7,2.7594612E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,513.165469095707,122.08459544181824,4279.357316732407,51316.546909570694,238.9464115524292,0.0,3930.658955812454,23894.64115524292,1730.4,0.0,43260.0,173040.0,1.5234392085737656,0.6782477524545457,2.3232308162583246,152.34392085737656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,39605.28542427063,0.0,295085.8820133209,3960528.542427063,39605.28542427063,0.0,295085.8820133209,3960528.542427063,941782.2,0.0,6805380.0,9.417822E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,51264.65515029669,1016.3012220859528,188547.19005203247,5126465.515029669,49834.89189134121,0.0,187945.01139211655,4983489.189134121,1202658.0,0.0,4434780.0,1.202658E8,7.943129216419325,3.132906062073178,13.708935044871437,794.3129216419325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,125072.58103376627,19281.61348581314,237066.8547797203,1.2507258103376627E7,90502.72398875952,0.0,190594.92521500587,9050272.398875952,2930257.2,410700.0,5627220.0,2.9302572E8,192.0547613611487,79.99316465457281,288.5147876607047,19205.47613611487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11635.82032272767,207.73740196228027,33340.65810728073,570155.1958136559,1238.854262439572,0.0,8168.5532920360565,60703.85885953903,267041.63265306124,0.0,832200.0,1.308504E7,57.76092255715609,1.1540966775682238,185.22587837378185,2830.2852053006486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3882031.3680529594,2.217134603588186E7,3.1205469864114046E7
Process Cycle Time excluding out of timetable hours (s),162479.12211751938,908193.1879689288,1280371.3460187912
Process Waiting Time (s),93875.3215508461,751776.4250655985,1034519.4063622952
Accumulated Process Duration (s),3882031.3680529594,2.217134603588186E7,3.1205469864114046E7
Cost,268.34974663257594,870.7004517098138,1427.1102871192827


Process Cycle Time (s) distribution
From,To,Count
3882031,6614374,3
6614375,9346718,4
9346719,12079062,8
12079063,14811406,3
14811407,17543750,1
17543751,20276094,6
20276095,23008438,4
23008439,25740782,50
25740783,28473126,18
28473127,31205470,3

Process Waiting Time (s) distribution
From,To,Count
93875,187939,7
187940,282004,3
282005,376069,7
376070,470134,2
470135,564199,2
564200,658264,1
658265,752329,6
752330,846394,21
846395,940459,35
940460,1034524,16

Accumulated Process Duration (s) distribution
From,To,Count
3882031,6614374,3
6614375,9346718,4
9346719,12079062,8
12079063,14811406,3
14811407,17543750,1
17543751,20276094,6
20276095,23008438,4
23008439,25740782,50
25740783,28473126,18
28473127,31205470,3

Process Cost distribution
From,To,Count
268,383,2
384,499,12
500,615,8
616,731,8
732,847,15
848,963,13
964,1079,17
1080,1195,13
1196,1311,6
1312,1427,6

In-timetable Cycle time (s) distribution
From,To,Count
162479,274268,3
274269,386058,4
386059,497848,8
497849,609638,3
609639,721428,1
721429,833218,6
833219,945008,4
945009,1056798,52
1056799,1168588,16
1168589,1280378,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.273480849082613E7,521027.4908261299,369539.19495773315,841.789443939262
2,9773898.96046567,402243.4932358265,213696.12660956383,1049.1182817737263
3,3882031.3680529594,162479.12211751938,93875.3215508461,385.64699937502536
4,5938562.028380394,240903.1834871769,161584.22072672844,441.5870648291376
5,6978316.156444073,289495.6715631485,154788.7194020748,748.9886070940232
6,1.109752636896348E7,456322.4440231323,258170.48575472832,1102.4558019187712
7,7895626.493668079,326971.9563729763,152278.22198319435,972.6958356340728
8,8404801.3137784,345828.61659288406,150543.5687160492,1085.4481188813845
9,6318229.303124428,262189.3031244278,159313.87034893036,571.7364488257301
10,1.1475330810142756E7,465093.1020166874,268248.89099240303,1094.4734904275997
11,1.0856440930153131E7,440278.10734534264,288129.81954598427,847.6658306267527
12,7989295.583558798,325082.30396842957,185724.61589431763,774.9216404504247
13,1.1357325777884722E7,461126.39293527603,295592.746325016,921.6803465260401
14,1.1244810909175158E7,459879.6301574707,283831.9917123318,979.9707093569967
15,2.584412352294588E7,1055471.7839431763,810867.2974042892,1359.1838676465882
16,1.826081457986617E7,749056.0196402073,541553.7948856354,1155.2751623060965
17,1.3721515198427677E7,561323.8206224442,321829.83302021027,1331.6508693840767
18,2.025875480328226E7,829570.6259839535,671054.5462355614,881.7796040230328
19,1.524941541611886E7,629259.5078380108,420158.3722438812,1164.346544212765
20,1.1946509536776543E7,492561.22707629204,359450.1702620983,741.3879658725526
21,2.6710420685576916E7,1095820.6855769157,901769.6081762314,1080.602635582288
22,1.8834925838254213E7,773181.5264968872,629167.6503334045,803.8414169867834
23,2.5373006561517477E7,1038747.902872324,955385.4262132645,464.46510502364896
24,2.7776899906686544E7,1136628.0609865189,941637.0568981171,1085.171575468116
25,1.126598001462841E7,458828.59512901306,369083.21752882004,500.5636280390951
26,1.9330213065101624E7,791465.795416832,555044.2761831284,1317.4442123691242
27,2.5677960574504137E7,1050389.271697998,850904.1692032814,1108.5958529180948
28,3.018690963658476E7,1235769.4364931583,1005828.801523447,1278.9284818808235
29,2.5647822049843073E7,1044694.161342144,803260.7356953621,1341.510969645447
30,2.5710392741878033E7,1049143.372868061,920819.6333239079,713.4004989306134
31,2.052397825628066E7,841123.8821368217,686969.7618436813,857.6182113554744
32,1.3198454949961662E7,540283.0852684975,457679.2282369137,460.1304557389683
33,2.549346755365467E7,1043599.686211586,865381.5446078777,990.7331004010308
34,2.5579414419327736E7,1046335.8669204712,954798.0749135017,510.0220727642378
35,2.5911145059565544E7,1064080.45387578,827492.2639327049,1314.5722680528957
36,2.0454886406843185E7,841898.6999154091,751277.9297802448,505.97721830474
37,1.94887287340858E7,797676.2204170227,712911.2331454754,473.63238962888715
38,2.5522604309699774E7,1045373.4242327213,879258.0667791367,924.2225078701973
39,2.5407676460516214E7,1041764.6856868267,860239.6659455299,1008.7738129297893
40,2.039817967123604E7,837710.6333239079,770575.0106065273,374.4519741866323
41,2.5481422459278345E7,1042691.4807755947,865605.1764559746,984.2210727029376
42,2.5549844557115555E7,1049434.534569025,856124.3060753345,1074.2862548655933
43,2.574362016232729E7,1055469.9848840237,892635.9691693783,905.7566039270827
44,2.5439143762881517E7,1042385.0091509819,888822.5382111073,855.7414622743925
45,2.5323928975524902E7,1038438.0502362251,895338.6616117954,797.079955216249
46,1.883299581513071E7,772441.9790325165,724433.3132493496,268.34974663257594
47,2.5139241820176125E7,1033101.7945318222,845835.2794177532,1041.3490971048673
48,2.5023242791725397E7,1024853.0681347847,858449.2118265629,927.7134705411064
49,2.061351097547841E7,847754.6334867477,735271.7317302227,627.4204920993913
50,2.5437841645318747E7,1045995.5744454861,875627.1320464611,951.8386316008039
51,2.5241299733962297E7,1036534.4073522091,901688.2054297924,749.6271197689904
52,2.66203014964633E7,1095761.4964632988,1007642.962341547,495.1140309466256
53,2.5312612855932236E7,1031515.2580354214,951775.9638597965,444.9825215035014
54,2.5298387222421646E7,1031265.2694606781,885002.3680486679,817.0251990066635
55,2.5182666071773767E7,1026775.5312263966,833403.3391075134,1076.9076271163092
56,2.527145076858139E7,1032303.6834301949,815906.1930351257,1205.3622183269924
57,2.4998585862101793E7,1025597.6718664169,831985.4621663094,1076.6173162102696
58,2.514354009619069E7,1029716.7646734715,834759.0298712254,1085.0091649426354
59,2.5907868302312136E7,1058735.073679924,932943.0719740391,700.4053936812613
60,2.8742171480868816E7,1176268.3205673695,974522.0786249638,1123.1195920056766
61,2.4943415368738174E7,1026498.8569762707,830798.1604704857,1089.2359196093346
62,2.708256763349247E7,1111752.2407073975,1007209.8664214611,581.1164010153876
63,2.5862073835413218E7,1065352.8888559341,952997.945201397,628.2846576730411
64,2.566353475896716E7,1053755.7053191662,845605.6829814911,1156.62621136109
65,2.5143411698881865E7,1026817.6324322224,896807.709123373,724.6851352877087
66,2.6946831406737566E7,1104142.2454943657,1028552.5621511936,420.24306035836537
67,2.5014713773917913E7,1023303.6150274277,917941.382452488,586.1132470581267
68,2.699259985068822E7,1102254.8654768467,880049.3057777882,1237.27144635121
69,2.4831167835046053E7,1019037.7604899406,863614.2780382633,863.7987830930288
70,2.6890306938776255E7,1099987.5099916458,994582.261436224,588.9272030724421
71,2.4803416578662872E7,1019288.5374393463,813949.9914064407,1141.5939876556395
72,2.4945213023495913E7,1016684.4099750519,842467.9784021378,969.4599407076837
73,2.527888887482381E7,1032962.1371304989,816703.2489144802,1204.7510959744452
74,2.828791200736618E7,1155812.019235611,929637.7105383873,1257.2813002785047
75,2.500479648960924E7,1020963.3123776913,835676.4012024403,1032.3953367418712
76,2.4889182991438627E7,1016526.6672480106,823990.5311379433,1070.672275585598
77,2.4976993951427698E7,1021018.2165856361,890019.4487133026,729.0232959800297
78,2.4962497108609676E7,1020498.1576993465,831944.7481646538,1049.8639422416688
79,2.7659214175391674E7,1133728.7476346493,1034519.4063622952,553.786637515492
80,2.483439833503461E7,1017699.4530887604,841862.9143810272,978.0484642386438
81,2.7028250677871704E7,1110794.4197041988,988804.8444302082,678.5195733216075
82,2.4805204370998383E7,1016467.6632292271,878358.383715868,768.3190918392606
83,2.5579772265883923E7,1048523.1091678143,820859.4750287533,1265.8770400842027
84,2.4880567103885174E7,1019055.4005708694,857746.3168087006,897.6653505775664
85,3.1205469864114046E7,1280371.3460187912,1023673.0676953793,1427.1102871192827
86,2.4850570000684023E7,1017067.9555783272,855459.593859911,899.4072702619766
87,2.457678907987547E7,1009386.6607012749,878635.2460551262,727.0333811733459
88,2.6114952469522715E7,1073710.8486549854,930819.4015443325,796.7083508107398
89,2.489336920781827E7,1026207.1992030144,834643.5059928894,1066.0081685013242
90,2.4795373538624763E7,1014553.5386247635,926414.3592376709,490.682592982716
91,2.52851459381485E7,1035332.993005991,879073.4613997936,868.8563258290292
92,2.505920992452693E7,1028653.6043124199,896516.033762455,734.8627131581308
93,2.475272655425787E7,1013599.8253548145,927334.4338212013,480.13725486463966
94,2.463818481679201E7,1010292.6175284386,859839.1387448311,836.6374252690209
95,2.4625892330414057E7,1012092.3710503578,830654.3752856255,1008.6648110204274
96,2.7376024133774757E7,1117676.3705408573,973456.2525379658,804.3265856862068
97,2.4696372384112597E7,1006238.5820615292,922020.6721794605,468.9075493733088
98,2.4683596391554832E7,1007455.0328514576,861671.4600222111,811.852795651224
99,2.7693051699973583E7,1130850.7930943966,965771.5327157974,919.123559999466
100,2.4556062895485878E7,1005184.6507115364,919472.26074934,481.77871000369385
