Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 2,64
Role 5,35

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,2166.9150134928814,11.859400510787964,12341.308157682419,166852.45603895187,0.0,0.0,0.0,0.0,46276.36363636364,0.0,205320.0,3563280.0,12.038416741627117,0.06588555839326647,68.56282309823565,926.958089105288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
Amend Request for Quotation,631.3809840134212,21.741683959960938,1098.4754753112793,66295.00332140923,0.0,0.0,0.0,0.0,17361.14285714286,0.0,158460.0,1822920.0,3.507672133407895,0.12078713311089409,6.102641529507107,368.30557400782897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Analyze Purchase Requisition,395.2463217913094,241.42315769195557,539.7190480232239,69958.59895706177,0.0,0.0,0.0,0.0,8956.949152542373,0.0,158460.0,1585380.0,2.195812898840608,1.3412397649553087,2.998439155684577,388.6588830947876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
Analyze Quotation Comparison Map,1063.5141901564598,362.13800978660583,1996.7434015274048,106351.41901564598,0.0,0.0,0.0,0.0,20535.0,0.0,158460.0,2053500.0,5.908412167535887,2.0118778321478104,11.09301889737447,590.8412167535887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,22154.266593720273,333.2252209186554,76890.5698940754,4541624.651712656,20779.49690441969,0.0,75131.7168135643,4259796.865406036,516440.1951219512,0.0,1894920.0,1.0587024E8,7.637609385003239,0.3999878274069892,18.097093890772925,1565.709923925664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Approve Purchase Order for payment,11350.319085428715,60.0,70859.8426027298,1135031.9085428715,11290.319085428715,0.0,70799.8426027298,1129031.9085428715,271884.0,0.0,1689600.0,2.71884E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,3513.796644346714,0.0,35474.99977350235,351379.6644346714,3513.796644346714,0.0,35474.99977350235,351379.6644346714,81924.0,0.0,882600.0,8192400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,34457.413384196756,378.38585782051086,76092.65469670296,3445741.338419676,33887.297017240526,0.0,75466.33535218239,3388729.7017240524,811483.8,0.0,1837320.0,8.114838E7,3.1673131497568567,2.052356810039944,4.293422865867615,316.7313149756857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2054.1421970367433,338.9518883228302,3395.5007672309875,205414.21970367432,0.0,0.0,0.0,0.0,58692.77949794531,0.0,157811.2655889988,5869277.949794531,11.411901094648572,1.8830660462379456,18.863893151283264,1141.1901094648572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,43390.750230579375,2931.6459703445435,88299.98855543137,4339075.023057938,30961.438739540576,0.0,72985.65363311768,3096143.8739540577,1017918.6,158460.0,2071500.0,1.0179186E8,69.0517305057711,15.58585201104482,120.05399861733119,6905.173050577111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,379.15314138174057,5.926797151565552,1307.720980167389,37915.31413817406,0.0,0.0,0.0,0.0,7603.8,0.0,154860.0,760380.0,4.212812682019338,0.06585330168406169,14.530233112970988,421.28126820193387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,311831.3983503008,23909.952971220016,696176.8207390308,3.118313983503008E7,218730.04240132094,0.0,580763.725208044,2.1873004240132093E7,7295103.0,580020.0,1.631262E7,7.295103E8,517.2297552721103,79.35574595001009,980.1008336398337,51722.975527211034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177
Pay Invoice,3982.8498376917837,251.259605884552,15485.283300638199,398284.9837691784,3399.913730638027,0.0,14812.656769514084,339991.3730638027,79011.6,0.0,331440.0,7901160.0,3.238533928076426,1.3858404265509712,4.995440668529934,323.8533928076426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,432.6,0.0,43260.0,43260.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,4033.9191948103903,120.25370931625366,71008.38145184517,403391.91948103905,3764.8710733652115,0.0,70813.45248413086,376487.10733652115,85309.8,0.0,1689600.0,8530980.0,1.4947117858065497,0.6680761628680759,2.3308890448676216,149.47117858065496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,270864.975928123,0.0,582476.7460114956,2.70864975928123E7,270864.975928123,0.0,582476.7460114956,2.70864975928123E7,6364798.8,0.0,1.36179E7,6.3647988E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,24675.38455173731,1015.4385907649994,75203.8506231308,2467538.455173731,23314.144409496785,0.0,74943.35052466393,2331414.4409496784,575190.6,0.0,1740060.0,5.751906E7,7.562445234669581,0.50196965403027,11.884911100069681,756.2445234669581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,73147.71561711788,22877.564618349075,121160.06619381905,7314771.561711788,38340.013561980726,0.0,73970.90831375122,3834001.3561980724,1716932.4,580020.0,2896440.0,1.7169324E8,193.3761225285398,80.02246069113413,291.93309147755303,19337.61225285398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,16464.7965629454,1034.0896458625793,52723.955162763596,889099.0143990517,5157.736722023399,0.0,35739.93401432037,278517.78298926353,364268.8888888889,0.0,1163700.0,1.967052E7,62.816999116233355,0.8398330887158711,264.760670516226,3392.117952276601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7258089.073947191,2.0554087809095144E7,2.6239994709812164E7
Process Cycle Time excluding out of timetable hours (s),297849.07394719124,842143.6295971989,1074274.9822723866
Process Waiting Time (s),165378.95400357246,683449.9590754342,884720.127063036
Accumulated Process Duration (s),7258089.073947191,2.0554087809095144E7,2.6239994709812164E7
Cost,338.69482121600043,883.7379092397024,1399.4844503588145


Process Cycle Time (s) distribution
From,To,Count
7258089,9156279,9
9156280,11054470,2
11054471,12952661,5
12952662,14850852,1
14850853,16749043,5
16749044,18647234,4
18647235,20545425,1
20545426,22443616,2
22443617,24341807,68
24341808,26239998,3

Process Waiting Time (s) distribution
From,To,Count
165378,237312,9
237313,309247,6
309248,381182,1
381183,453117,2
453118,525052,2
525053,596987,4
596988,668922,3
668923,740857,9
740858,812792,32
812793,884727,32

Accumulated Process Duration (s) distribution
From,To,Count
7258089,9156279,9
9156280,11054470,2
11054471,12952661,5
12952662,14850852,1
14850853,16749043,5
16749044,18647234,4
18647235,20545425,1
20545426,22443616,2
22443617,24341807,68
24341808,26239998,3

Process Cost distribution
From,To,Count
338,444,1
445,551,16
552,658,16
659,765,10
766,872,10
873,979,6
980,1086,5
1087,1193,17
1194,1300,11
1301,1407,8

In-timetable Cycle time (s) distribution
From,To,Count
297849,375491,9
375492,453134,2
453135,530777,5
530778,608420,1
608421,686063,5
686064,763706,4
763707,841349,1
841350,918992,2
918993,996635,68
996636,1074278,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.1816340898289919E7,485159.8982899189,252963.49898147583,1291.1117223792605
2,1.3225428496286869E7,542920.0622336864,302605.96054291725,1337.20924735864
3,1.2101774036997318E7,496062.1225616932,285659.85106539726,1172.0720030347504
4,1.571694580732131E7,641617.2685801983,405292.3504564762,1317.4358570218083
5,2.1392210196591616E7,876521.2813236713,662366.6495068073,1190.7517703652381
6,8675457.560009241,354201.5461165905,165378.95400357246,1050.0674054119324
7,1.0230850683244705E7,417732.88298487663,251784.5042963028,924.9149051414597
8,7698466.6408314705,316662.89382886887,228494.93028616905,491.2421061277389
9,1.1156731863547087E7,460531.8635470867,264608.3104650974,1089.801961806085
10,8063915.633378506,328368.40812563896,236442.34065485,515.0857656704054
11,8002354.3837788105,324074.909170866,239076.12167334557,472.9583024316363
12,1.771040979540229E7,722565.7844700813,632074.7570295334,505.64700093666715
13,2.4303017235888243E7,992196.1019296646,758477.2779057026,1298.9692049225168
14,7714085.189427137,311950.4187819958,223277.36356329918,494.1306691832012
15,7946978.1827709675,324701.3892674446,212680.85279345512,629.6014303008716
16,1.1315687240736008E7,461485.8758749962,351872.495249033,611.2579741623667
17,1.4931545447860241E7,611197.4396579266,515421.88516402245,534.0830000135634
18,9475140.71366477,389015.76809954643,233305.68464374542,865.9749138342011
19,7729180.702376604,321435.6599433422,229081.1280453205,514.3495706571473
20,7923507.491941214,328054.1683819294,185520.25463938713,792.1954147020975
21,7258089.073947191,297849.07394719124,237149.0306904316,338.69482121600043
22,2.422383242171383E7,992347.5022056103,771006.889642477,1230.9026768830086
23,1.6056173296076536E7,656359.6684451103,486637.56190133095,947.4019138124254
24,2.148556192034793E7,879572.4660682678,724175.2988982201,867.4698835094772
25,1.148026050014615E7,467598.71536660194,381197.3933894634,480.68450735939876
26,2.3271822795519114E7,950211.3043692112,819093.9418258667,734.0670013599926
27,2.4155198659956455E7,990142.4878752232,752758.6429862976,1321.1496934890745
28,1.787598615926075E7,730541.1885919571,585867.0925030708,806.8862019856772
29,1.725630210468626E7,701371.6820034981,589203.8023293018,623.1878137297101
30,2.3300081804901123E7,955206.4760034084,807111.1142034531,824.1939650124973
31,1.5629832183460712E7,637499.2745747566,526390.1773159504,618.7425310015678
32,1.5571372912082672E7,636299.7956039906,534826.7300167084,565.1013675835397
33,2.325767013646984E7,954889.7582142353,728967.248529911,1259.6137641933226
34,2.4057901194775343E7,987371.9450666904,773284.766774416,1189.7796942234038
35,2.3995677552291155E7,982463.7455704212,740516.7091927528,1348.088733636008
36,2.4027566227680206E7,985117.4221208096,775897.3119966984,1164.4211201164458
37,1.7749370708956957E7,726548.094697237,643618.568416357,463.1389313883252
38,2.3180234211818695E7,951247.8294732571,768466.9352445602,1016.3201132376989
39,2.3166246331983805E7,951192.595253706,777018.3265423775,968.0869990441535
40,2.3924323137538433E7,977541.0970304012,864536.0440611839,627.9130657487447
41,2.3910942643644094E7,978141.7034883499,778314.6940562725,1110.2793902529609
42,2.4157381479283094E7,990070.0765173435,861042.8607163429,719.1009020606677
43,2.3882638195566177E7,977909.3577766418,856424.1351056099,675.8696713315117
44,1.9737627477170467E7,813384.4108915329,726933.2958540916,485.13163036108017
45,2.5065792743008375E7,1029097.153993845,874811.7156715393,859.402269391219
46,2.384038583185911E7,977774.2700307369,797497.6524243355,1002.0952787121138
47,2.487331972600317E7,1019635.2480769157,791511.8401310444,1269.3895938793814
48,2.386054932182288E7,979178.4891629219,732669.1364922523,1370.472589933872
49,2.384644476689577E7,978979.8769226074,785514.946880579,1076.8938887635866
50,2.378399740593195E7,973807.6538920403,741701.0556657314,1291.5874483187993
51,2.377083384727502E7,974637.9649970531,884720.127063036,500.75353173944677
52,2.3803474784847975E7,977314.7848479748,725546.7983937263,1399.4844503588145
53,2.4179719469812155E7,986436.7564492226,856713.3715994358,720.7832464906905
54,2.416471504705906E7,985421.3930900097,770963.9109420776,1192.7330710636245
55,2.4152539938397646E7,987232.1008374691,845609.6632809639,788.9166629142233
56,2.3703098540721655E7,969629.5965816975,775417.0222697258,1080.3987547728748
57,2.3735261752022266E7,972618.4935078621,862840.1825902462,611.7788795868556
58,2.371889667294669E7,970259.5050961971,846953.7760837078,687.0743107080459
59,2.3707511647173405E7,972802.1071236134,860953.9434366226,623.1717134038608
60,2.3694058633471012E7,973295.3840503693,751215.2614741325,1234.3284552017844
61,2.3679004669392347E7,972223.2843785286,808522.99583745,913.018763156732
62,2.3662957041997194E7,970167.4857649803,870337.1507513523,556.7863434235256
63,2.3651762947762966E7,972999.3536281586,823625.5433866978,832.4455762346585
64,2.363684479456091E7,972100.1743078232,868319.3267159462,579.0801648325391
65,2.3937224783904076E7,980308.6359903812,765529.254676342,1197.7166630294585
66,2.6239994709812164E7,1074274.9822723866,845596.6725840569,1273.8040676024223
67,2.3594079783185005E7,967693.4441635609,762553.7117385864,1143.6693383283082
68,2.353519774263382E7,962518.0164361,749357.3177642822,1184.7813365048833
69,2.3565483572167158E7,963493.2534768581,767267.2795608044,1091.6722327563496
70,2.35508613628273E7,962943.4975099564,874917.353153944,490.0113618652025
71,2.3538611570269585E7,964616.227175951,832400.4428608418,739.143759575155
72,2.3479422537520647E7,959110.8369376659,753220.3312637806,1146.8113364458084
73,2.3464732274620295E7,958356.3721015453,841733.4903125763,648.6621977726618
74,2.3496500552390337E7,960823.3636696339,843791.8718650341,652.551480723752
75,2.3481927333313704E7,960318.6277894974,725919.4372229576,1305.293790388107
76,2.3863095482319355E7,977192.0224349499,744024.8916378021,1296.312282043033
77,2.345544499412775E7,961823.4495630264,830972.6775476933,728.9045696192318
78,2.410124468968749E7,991147.5528078079,844616.8839507103,814.6160441093975
79,2.3380821970656157E7,958465.851167202,757234.7607679367,1121.4716554522513
80,2.3413302178353548E7,961727.2815725803,834017.6762616634,712.5811418255171
81,2.3451401852422476E7,963347.0629909039,793446.6988825798,945.9648997240597
82,2.3440040759730816E7,965909.484525919,832052.7690227032,746.0312123166192
83,2.3324478576040983E7,954554.6629436016,786818.7544317245,934.9836419370441
84,2.33567341832397E7,957510.9413113594,850221.4729673862,598.4299643754961
85,2.334241781949544E7,957196.9534823895,843525.6073813438,633.4560856593981
86,2.3718600174215794E7,972765.4626204967,763398.399379015,1163.4826153172387
87,2.3314646063805103E7,957434.0181765556,831672.0947010517,699.62472930087
88,2.3299753301618814E7,956534.6483888626,869444.9110777378,484.492607916726
89,2.3287571428070307E7,958331.1657862663,864896.9837784767,522.9039133336809
90,2.3273833690261602E7,955633.6902616024,756189.2685184479,1112.663936530219
91,2.3259090546497583E7,954318.7871911526,756664.0959932804,1100.4995232396657
92,2.3556695955824137E7,963364.5222754478,755358.0420458317,1159.0324056969748
93,2.323193687468028E7,955191.5108172894,717199.5535111427,1326.1220664130312
94,2.3218184374504328E7,955455.0444598198,858355.752705574,540.0842409835922
95,2.3157643900895596E7,952164.9655075073,865271.784831047,484.00458939075463
96,2.318769313629818E7,945861.8707091808,726294.1461536884,1220.911730538474
97,2.3176359144529343E7,948473.0317981243,846082.6598639488,568.8879988763067
98,2.3159841341195583E7,945967.422049284,804158.6689887047,789.0756288144325
99,2.314633101411414E7,946495.4777116776,835673.2008605003,619.044874865479
100,2.4134290321702957E7,990094.3305778503,792847.8250305653,1100.4093898137412
