Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,41
Role 2,66
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1473.9573975709768,30.56210160255432,8123.523129701614,114968.6770105362,0.0,0.0,0.0,0.0,21160.76923076923,0.0,169320.0,1650540.0,10.235815260909563,0.212236816684405,56.41335506737232,798.3935903509459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
Amend Request for Quotation,632.5689016776007,25.83095908164978,1356.4318554401398,77173.40600466728,0.0,0.0,0.0,0.0,15207.04918032787,0.0,158460.0,1855260.0,4.392839594983341,0.17938166028923458,9.419665662778748,535.9264305879676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122
Analyze Purchase Requisition,401.69131030929225,242.86562752723694,538.6208956241608,71501.05323505402,0.0,0.0,0.0,0.0,5992.247191011236,0.0,158460.0,1066620.0,2.231618390607179,1.3492534862624275,2.9923383090231153,397.22807352807786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
Analyze Quotation Comparison Map,1245.989204545021,387.8919177055359,2038.4718775749207,124598.9204545021,0.0,0.0,0.0,0.0,29002.8,0.0,158460.0,2900280.0,8.652702809340425,2.6936938729551105,14.156054705381393,865.2702809340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41766.368726044086,573.2266850471497,154602.23629403114,9272133.857181787,40415.096323979866,0.0,154231.44911003113,8972151.38392353,975579.7297297297,0.0,3649440.0,2.165787E8,7.512568982507848,0.0,14.014092481136322,1667.7903141167424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
Approve Purchase Order for payment,34530.37161139727,60.0,156454.32175970078,3453037.1611397266,34470.37161139727,0.0,156394.32175970078,3447037.1611397266,805110.6,0.0,3649440.0,8.051106E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,2231.43274987936,0.0,14534.109180927277,223143.27498793602,2231.43274987936,0.0,14534.109180927277,223143.27498793602,41798.4,0.0,277440.0,4179840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,75157.45072125673,446.83226013183594,151692.13852858543,7515745.072125673,74594.44515230418,0.0,151213.5928118229,7459444.515230417,1757139.0,0.0,3530580.0,1.757139E8,3.1278087164031136,2.0211281074417964,4.322437959247165,312.7808716403114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1673.7899236798287,310.5174322128296,3338.3625218868256,167378.99236798286,0.0,0.0,0.0,0.0,58947.78094920874,0.0,157373.7028837204,5894778.094920874,11.623541136665477,2.156371057033539,23.183073068658512,1162.3541136665476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,80301.5606095004,3252.343720436096,160051.1117386818,8030156.060950041,68252.95979536057,0.0,151229.32818984985,6825295.9795360565,1870804.2,3660.0,3804300.0,1.8708042E8,66.93667118966579,13.68388663397895,118.02401200135549,6693.6671189665785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,344.6025334692001,29.42419958114624,1658.5775344371796,34460.25334692001,0.0,0.0,0.0,0.0,8611.2,0.0,154860.0,861120.0,3.828917038546667,0.3269355509016249,18.42863927152422,382.8917038546667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,241677.1629067254,15957.690890789032,595061.3681967258,2.416771629067254E7,143645.06478576185,0.0,446747.81324982643,1.4364506478576183E7,5655089.4,482760.0,1.392048E7,5.6550894E8,544.6227673386867,85.61635747353236,961.1232655790117,54462.27673386867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178
Pay Invoice,2490.2541796040537,242.35224294662476,15024.971554756165,249025.41796040535,1923.865845003128,0.0,14526.25782418251,192386.5845003128,61712.4,0.0,327900.0,6171240.0,3.14660185889403,1.3464013497034708,4.926744990878635,314.660185889403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3242.4,0.0,158460.0,324240.0,0.4166666666666665,0.4166666666666667,0.4166666666666667,41.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,599.8602625417709,120.36062359809875,14613.066922187805,59986.02625417709,331.53411417245866,0.0,14308.71210360527,33153.411417245865,8431.2,0.0,255840.0,843120.0,1.4907008242739566,0.6686701311005486,2.307549273967743,149.07008242739565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,178260.56899570464,0.0,450460.4941749573,1.7826056899570465E7,178260.56899570464,0.0,450460.4941749573,1.7826056899570465E7,4180165.8,0.0,1.048362E7,4.1801658E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55970.59492923498,809.7796964645386,160220.58605337143,5597059.492923498,54470.00225025654,0.0,158921.64626932144,5447000.225025654,1311237.6,0.0,3804300.0,1.3112376E8,8.336625994324685,2.4639533162117004,14.553141360812717,833.6625994324685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,116291.33529991865,25018.835125684738,194488.7652721405,1.1629133529991865E7,82703.07899603128,0.0,154175.59174275398,8270307.899603128,2734765.8,580020.0,4596900.0,2.7347658E8,186.60142391048538,82.2683868792322,287.0703107966317,18660.14239104854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13164.521951262768,153.91174459457397,57381.02194070816,684555.1414656639,1786.552039219783,0.0,14116.949056625366,92900.70603942871,295155.0,0.0,1412160.0,1.534806E7,63.21094395579438,0.17811775869793361,318.78345522615643,3286.9690857013074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5154956.484803677,2.1784088676225644E7,2.920087216508484E7
Process Cycle Time excluding out of timetable hours (s),212318.33508634567,893038.2952764344,1195860.6880767345
Process Waiting Time (s),131647.3009955883,731533.8451955009,1006317.2983968258
Accumulated Process Duration (s),5154956.484803677,2.1784088676225644E7,2.920087216508484E7
Cost,303.65389829874033,905.9808357601364,1552.6023733655613


Process Cycle Time (s) distribution
From,To,Count
5154956,7559547,3
7559548,9964139,6
9964140,12368731,4
12368732,14773323,8
14773324,17177915,5
17177916,19582507,3
19582508,21987099,3
21987100,24391691,10
24391692,26796283,50
26796284,29200875,8

Process Waiting Time (s) distribution
From,To,Count
131647,219113,7
219114,306580,5
306581,394047,5
394048,481514,6
481515,568981,2
568982,656448,6
656449,743915,2
743916,831382,9
831383,918849,31
918850,1006316,27

Accumulated Process Duration (s) distribution
From,To,Count
5154956,7559547,3
7559548,9964139,6
9964140,12368731,4
12368732,14773323,8
14773324,17177915,5
17177916,19582507,3
19582508,21987099,3
21987100,24391691,10
24391692,26796283,50
26796284,29200875,8

Process Cost distribution
From,To,Count
303,427,4
428,552,10
553,677,13
678,802,12
803,927,13
928,1052,11
1053,1177,15
1178,1302,14
1303,1427,5
1428,1552,3

In-timetable Cycle time (s) distribution
From,To,Count
212318,310672,3
310673,409027,6
409028,507382,4
507383,605737,8
605738,704092,5
704093,802447,3
802448,900802,3
900803,999157,10
999158,1097512,50
1097513,1195867,8



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6084484.916939974,250923.91693997383,159035.8210427761,523.9482602361174
2,8176502.760748863,339443.61663246155,166906.70293021202,976.4127904550895
3,8558169.119692802,356809.87549614906,150106.24044632912,1152.1715750369763
4,9357637.078441381,385129.8375110626,292532.568700552,529.3708867516782
5,1.060608619060278E7,437048.35252952576,224711.8351137638,1187.1684458530613
6,6304934.271551132,260485.8275117874,131647.3009955883,719.5174131347072
7,1.030849103171134E7,423261.66762399673,218836.92520451546,1146.5897890263134
8,1.0510583978816748E7,433967.4746603966,332649.6321566105,573.5071385688252
9,9079107.909022331,375147.90902233124,182774.81489253044,1078.0403783036604
10,8459153.116556406,345354.52060580254,242441.55827403069,575.634392297599
11,1.5259009711081982E7,620583.1827962399,464679.9794239998,873.8469556063413
12,1.4639243743033886E7,594871.1042275429,374310.73863458633,1232.8557214395867
13,1.7752802403199434E7,728642.2991068363,629493.5893549919,558.1351852433548
14,1.5216502521101236E7,620097.6334922314,405761.26872467995,1195.9907426754633
15,1.443666975651288E7,592811.8936929703,414164.8743920326,1000.7407764633496
16,1.3028740531894445E7,531917.5367016792,317924.16401076317,1196.723804953032
17,5154956.484803677,212318.33508634567,138523.1719326973,412.42718377013995
18,1.3394364994704962E7,550817.3012506962,326606.8048272133,1250.4013067202436
19,1.13558036001513E7,467992.511803627,292193.4364709854,983.2049933556056
20,8922302.575586557,368573.7329688072,276062.63680005074,517.7663926386169
21,2.463358584684491E7,1011225.8468449116,786963.9787333012,1259.4698393755486
22,1.4758630134726524E7,602108.6725866795,442693.7081551552,893.2858691139354
23,1.4532487053644896E7,595388.1905217171,433530.9705898762,902.5474072857037
24,2.6670641650615454E7,1096629.5289788246,886130.7328903675,1176.5527376552423
25,1.6103197167606354E7,655866.4135885239,519719.8019785881,763.7275730768839
26,2.049255754594922E7,837012.6354129314,642660.4457120895,1087.457208774487
27,1.3051982446412563E7,532831.7158353329,392112.8921339512,789.7010284178785
28,2.661219548756385E7,1090768.2489836216,997081.4046001434,534.7361355629232
29,1.752818277834797E7,717493.484679699,572344.8300132751,812.804356598523
30,2.6587320424672604E7,1090295.3600969315,838752.3977148533,1419.5647059897583
31,2.751150428920293E7,1124268.6519424915,989045.6325249672,765.9692363238997
32,2.20555221094265E7,902463.4379243851,754546.2375173569,830.2376869148678
33,2.1964093159552813E7,897051.0146787167,618414.1890690327,1552.6023733655613
34,1.44352056061697E7,594519.202008009,458242.9551270008,761.0311025814877
35,2.7278500377471685E7,1116574.182256937,849432.27932024,1497.833249019914
36,1.6379744750108242E7,672142.6680567265,524400.1253528595,827.7856954687171
37,2.2759700478713274E7,934437.3302648067,835978.8586456776,558.2920927282837
38,2.818853971694827E7,1157103.5253708363,958266.971848011,1113.1040930208233
39,2.2227359574118376E7,916357.9202544689,759415.1969943047,878.5074104550812
40,2.920087216508484E7,1195860.6880767345,989500.3403954506,1156.0691599677007
41,2.254150469886875E7,927099.0429317951,822993.5599389076,588.4123104724619
42,2.4257985386636734E7,993287.5934774876,831722.6917557716,904.4642510712146
43,2.6560855847281933E7,1087407.5995235443,879076.881834507,1164.2308313495582
44,2.4130410557136774E7,991093.0391330719,866361.3584184647,698.704035927852
45,2.632308145833087E7,1083074.981527567,980885.8547799587,583.2419214543369
46,2.6518150835947275E7,1086818.4315481186,871202.776633501,1205.1053118894497
47,2.4185771789686203E7,987773.0945739746,759111.0961661339,1275.8446226398148
48,1.6657734220443726E7,686068.0878243446,573761.2923746109,628.6434808863535
49,2.62173849491477E7,1073113.1871845722,925143.9264688492,826.8565690176355
50,2.63061899059577E7,1082224.7611174583,996189.0735795498,485.00100733107996
51,2.6449664228473425E7,1084817.558895588,917408.0023188591,936.2505203962326
52,2.6224924831714153E7,1078684.8317141533,899449.806374073,1010.1796860310767
53,2.6263824024549246E7,1074786.6338238716,858615.878272295,1209.755389508274
54,2.0458960904917717E7,831995.5016055107,727616.2837619781,590.5505321380164
55,2.6234146190102816E7,1073100.1050112247,987375.4981951714,486.99457954963043
56,2.6222562515565395E7,1075475.9696178436,876707.1006429195,1115.3007610168722
57,2.6465341683005095E7,1080162.9945726395,966171.8323345184,646.6167199813658
58,2.619262631503725E7,1073566.9627141953,862307.8511683941,1185.1602001918686
59,2.6180570102294922E7,1075484.5835986137,976149.0067825317,560.0841854138508
60,2.89205836806705E7,1185234.5624058247,948782.0543794632,1323.1100837376382
61,2.6308601805560827E7,1076730.3370063305,819649.1836464405,1435.833594881495
62,2.2667401883303642E7,929640.5544319153,736359.2415914536,1075.5365812622838
63,2.6280948955686092E7,1077094.2210202217,910346.218413353,935.4796809908418
64,1.7372954348466635E7,714043.4698088169,624414.4319639206,502.88195595410144
65,2.8415311741775513E7,1164365.6462826729,978528.0367443562,1042.6154337180985
66,2.6415382373999357E7,1080612.719976902,844844.7014174461,1316.8769488741955
67,2.6068366027015448E7,1071802.9371993542,863689.766989708,1167.8328434083198
68,2.6000630997467518E7,1065019.456699133,923101.3108768463,794.5069222996631
69,2.6197282480588198E7,1070302.1241047382,853401.5222568512,1215.5053694059452
70,2.2297294959064484E7,913012.2957122326,775171.6627504826,768.8912144505315
71,2.6012875965357065E7,1068799.7213714123,872561.7358515263,1099.4601641277472
72,2.599771181179166E7,1064113.0130140781,988793.994146347,426.0789291226201
73,2.598420450418043E7,1064551.9644248486,896787.6968245506,940.0236112296582
74,2.3807869120102167E7,970204.487016201,907614.4669117928,352.31660038563945
75,2.7667387689554214E7,1129398.7016060352,966581.1222674847,929.3025633388096
76,2.5942700261494875E7,1065071.1364712715,907267.0650644302,883.9761378308137
77,2.5873095966695786E7,1059949.925967455,1006317.2983968258,303.65389829874033
78,2.6073446325315714E7,1068966.0649590492,866973.4996929169,1132.7964971631764
79,2.6241071537924528E7,1077529.0365412235,835161.5625939369,1355.4612397597894
80,2.5226598426144123E7,1035350.0950424671,957595.6377897263,441.7059055881368
81,2.602823523590374E7,1065587.4069218636,921655.3453581333,809.5270149091879
82,2.5803999242041826E7,1060676.7196967602,815443.2103581429,1374.0240122046735
83,2.5843435129410982E7,1060046.3334681988,942282.7647993565,668.1902593288156
84,2.5729992534884214E7,1054319.7261326313,914193.2777307034,785.2957784867948
85,2.536859651251483E7,1038416.9932119846,934550.9253299236,588.9254043794341
86,2.5801586778891087E7,1060265.3470520973,925333.1994180679,755.4582149200969
87,2.5788897592411518E7,1061490.31832695,969057.6356973648,519.6597437302271
88,2.577434040557146E7,1060883.2062716484,938399.6241858006,697.3434873286221
89,2.5760032582493544E7,1060567.9259457588,873691.6432709694,1049.090304907494
90,2.903011106127429E7,1189151.06127429,960926.0932922363,1279.2505300604635
91,2.573335496694541E7,1058357.2811698914,958300.7094972134,561.0181359383795
92,2.597828419364381E7,1065204.2649469376,939230.995926857,710.9582694699367
93,2.5860791286162853E7,1059014.417543888,838844.3350343704,1233.8375691741705
94,2.5846441789322138E7,1058652.5038998127,887419.1709451675,960.9154806153641
95,2.5832442168302298E7,1058663.0415172577,896665.5639472008,908.5146572957437
96,2.5662823780714273E7,1050890.077830553,825178.2740283012,1257.3211607459518
97,2.5807543422157764E7,1054709.210823059,959016.3646805286,537.1241142160363
98,2.563468760096574E7,1050797.082615614,898846.9975545406,855.0311084469158
99,2.5619669975569963E7,1049767.5375256538,845388.1312375069,1141.5011647757558
100,2.576282059679103E7,1051944.3919870853,856170.261241436,1094.1209787574078
