Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 2,0
Role 5,0
Role 14,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
Pay Invoice,567.4499878120422,240.11803340911865,868.850165605545,56744.99878120422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.940624915361405,1.6674863431188796,6.033681705594063,394.0624915361405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),240.11803340911865,567.4499878120422,868.850165605545
Process Cycle Time excluding out of timetable hours (s),240.11803340911865,567.4499878120422,868.850165605545
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),240.11803340911865,567.4499878120422,868.850165605545
Cost,1.6674863431188796,3.940624915361405,6.033681705594063


Process Cycle Time (s) distribution
From,To,Count
240,302,9
303,365,8
366,428,11
429,491,9
492,554,11
555,617,7
618,680,11
681,743,14
744,806,10
807,869,10

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
240,302,9
303,365,8
366,428,11
429,491,9
492,554,11
555,617,7
618,680,11
681,743,14
744,806,10
807,869,10

Process Cost distribution
From,To,Count
1,1,17
2,2,23
3,3,24
4,4,28
5,5,8
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0

In-timetable Cycle time (s) distribution
From,To,Count
240,302,9
303,365,8
366,428,11
429,491,9
492,554,11
555,617,7
618,680,11
681,743,14
744,806,10
807,869,10



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,692.5949425697327,692.5949425697327,0.0,4.8096871011786995
2,450.59240317344666,450.59240317344666,0.0,3.129113910926713
3,505.71287989616394,505.71287989616394,0.0,3.5118949992789164
4,675.6649026870728,675.6649026870728,0.0,4.6921173797713385
5,747.7695920467377,747.7695920467377,0.0,5.192844389213456
6,344.27345538139343,344.27345538139343,0.0,2.39078788459301
7,787.2502534389496,787.2502534389496,0.0,5.467015648881595
8,864.8682115077972,864.8682115077972,0.0,6.006029246581925
9,626.2938632965088,626.2938632965088,0.0,4.349262939559089
10,482.88478660583496,482.88478660583496,0.0,3.353366573651632
11,692.2698993682861,692.2698993682861,0.0,4.807429856724209
12,622.8721508979797,622.8721508979797,0.0,4.3255010479026375
13,741.1968574523926,741.1968574523926,0.0,5.147200398974949
14,752.1543393135071,752.1543393135071,0.0,5.223294023010466
15,254.54562258720398,254.54562258720398,0.0,1.7676779346333609
16,569.809919834137,569.809919834137,0.0,3.9570133321815066
17,633.3287398815155,633.3287398815155,0.0,4.398116249177191
18,815.6737232208252,815.6737232208252,0.0,5.664400855700175
19,533.8701491355896,533.8701491355896,0.0,3.7074315912193723
20,684.0952389240265,684.0952389240265,0.0,4.750661381416851
21,701.1142158508301,701.1142158508301,0.0,4.86884872118632
22,720.4781277179718,720.4781277179718,0.0,5.0033203313748045
23,828.3346338272095,828.3346338272095,0.0,5.752323846022288
24,546.8892292976379,546.8892292976379,0.0,3.7978418701224856
25,314.95145320892334,314.95145320892334,0.0,2.187162869506412
26,413.2715916633606,413.2715916633606,0.0,2.8699416087733374
27,385.8300983905792,385.8300983905792,0.0,2.6793756832679114
28,572.4556255340576,572.4556255340576,0.0,3.975386288430956
29,421.88157963752747,421.88157963752747,0.0,2.929733191927274
30,349.0982449054718,349.0982449054718,0.0,2.42429336739911
31,771.4995720386505,771.4995720386505,0.0,5.357635916935073
32,680.5106725692749,680.5106725692749,0.0,4.725768559508854
33,694.2872178554535,694.2872178554535,0.0,4.821439012885094
34,261.60671043395996,261.60671043395996,0.0,1.8167132669024997
35,324.89570593833923,324.89570593833923,0.0,2.2562201801273556
36,772.744550704956,772.744550704956,0.0,5.36628160211775
37,474.2640676498413,474.2640676498413,0.0,3.2935004697905645
38,596.9883186817169,596.9883186817169,0.0,4.145752213067478
39,868.850165605545,868.850165605545,0.0,6.033681705594063
40,571.1293315887451,571.1293315887451,0.0,3.96617591381073
41,542.4203383922577,542.4203383922577,0.0,3.7668079055017896
42,717.7516076564789,717.7516076564789,0.0,4.984386164281103
43,258.5382046699524,258.5382046699524,0.0,1.7954041990968916
44,832.2887573242188,832.2887573242188,0.0,5.7797830369737415
45,456.8842034339905,456.8842034339905,0.0,3.1728069682916007
46,811.9809904098511,811.9809904098511,0.0,5.638756877846188
47,497.06773042678833,497.06773042678833,0.0,3.4518592390749188
48,419.81859827041626,419.81859827041626,0.0,2.9154069324334464
49,390.87557220458984,390.87557220458984,0.0,2.714413695865207
50,708.6586408615112,708.6586408615112,0.0,4.921240561538273
51,736.9973888397217,736.9973888397217,0.0,5.118037422498067
52,785.5055708885193,785.5055708885193,0.0,5.45489979783694
53,388.50660157203674,388.50660157203674,0.0,2.6979625109169216
54,765.1316401958466,765.1316401958466,0.0,5.313414168026712
55,342.32819986343384,342.32819986343384,0.0,2.3772791657182903
56,654.7002410888672,654.7002410888672,0.0,4.546529452006022
57,728.635605096817,728.635605096817,0.0,5.059969479839007
58,540.3371407985687,540.3371407985687,0.0,3.752341255545616
59,240.11803340911865,240.11803340911865,0.0,1.6674863431188796
60,832.4069006443024,832.4069006443024,0.0,5.780603476696545
61,553.7629146575928,553.7629146575928,0.0,3.845575796233283
62,636.3311865329742,636.3311865329742,0.0,4.418966573145655
63,297.6366891860962,297.6366891860962,0.0,2.0669214526812234
64,822.3636429309845,822.3636429309845,0.0,5.71085863146517
65,587.7211854457855,587.7211854457855,0.0,4.081397121151288
66,643.725907087326,643.725907087326,0.0,4.470318799217542
67,409.07516598701477,409.07516598701477,0.0,2.8407997637987137
68,306.15286445617676,306.15286445617676,0.0,2.1260615587234497
69,777.4177114963531,777.4177114963531,0.0,5.3987341076135635
70,634.136025428772,634.136025428772,0.0,4.403722398810917
71,353.19883966445923,353.19883966445923,0.0,2.452769719892078
72,398.9325940608978,398.9325940608978,0.0,2.770365236534013
73,534.0638637542725,534.0638637542725,0.0,3.708776831626892
74,253.2314817905426,253.2314817905426,0.0,1.758551956878768
75,536.3262159824371,536.3262159824371,0.0,3.7244876109891467
76,551.7804777622223,551.7804777622223,0.0,3.831808873348766
77,448.8825888633728,448.8825888633728,0.0,3.1172402004400888
78,274.9981904029846,274.9981904029846,0.0,1.909709655576282
79,704.7267160415649,704.7267160415649,0.0,4.893935528066423
80,294.787086725235,294.787086725235,0.0,2.0471325467030206
81,587.2215640544891,587.2215640544891,0.0,4.077927528156175
82,627.8092269897461,627.8092269897461,0.0,4.359786298539904
83,475.6421558856964,475.6421558856964,0.0,3.303070526984003
84,823.0376965999603,823.0376965999603,0.0,5.715539559721947
85,585.8766293525696,585.8766293525696,0.0,4.068587703837289
86,743.302234172821,743.302234172821,0.0,5.16182107064459
87,446.37451171875,446.37451171875,0.0,3.099822998046875
88,527.6438462734222,527.6438462734222,0.0,3.6641933768987656
89,459.2037651538849,459.2037651538849,0.0,3.1889150357908673
90,420.8380172252655,420.8380172252655,0.0,2.9224862307310104
91,305.84846234321594,305.84846234321594,0.0,2.123947655161222
92,859.3985106945038,859.3985106945038,0.0,5.968045213156277
93,428.7490563392639,428.7490563392639,0.0,2.9774240023559995
94,797.0501389503479,797.0501389503479,0.0,5.535070409377416
95,389.4840278625488,389.4840278625488,0.0,2.7047501934899225
96,787.380443572998,787.380443572998,0.0,5.467919747034709
97,264.01820969581604,264.01820969581604,0.0,1.8334597895542781
98,454.30071568489075,454.30071568489075,0.0,3.154866081145075
99,701.5223989486694,701.5223989486694,0.0,4.871683326032427
100,641.2908110618591,641.2908110618591,0.0,4.453408410151799
