Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,58
Role 2,62
Role 5,7

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1492.969267184707,50.286131143569946,8042.697739839554,129888.3262450695,0.0,0.0,0.0,0.0,28370.344827586207,0.0,205320.0,2468220.0,8.294273706581704,0.2793673952420553,44.681654110219746,721.6018124726082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
Amend Request for Quotation,626.2928581350254,79.54990339279175,1179.3718001842499,66387.0429623127,0.0,0.0,0.0,0.0,13732.641509433963,0.0,158460.0,1455660.0,3.4794047674168076,0.44194390773773196,6.552065556579166,368.8169053461816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Analyze Purchase Requisition,390.90134960827345,241.4128544330597,536.6956152915955,73098.55237674713,0.0,0.0,0.0,0.0,7514.117647058823,0.0,158460.0,1405140.0,2.171674164490408,1.3411825246281095,2.9816423071755302,406.1030687597063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
Analyze Quotation Comparison Map,1234.6644548797608,365.66561460494995,1999.8724179267883,123466.44548797607,0.0,0.0,0.0,0.0,25725.0,0.0,158460.0,2572500.0,6.859246971554227,2.031475636694166,11.11040232181549,685.9246971554227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,45920.79732262046,905.3488311767578,133235.84000706673,9459684.248459816,44532.17357602629,0.0,131123.02826666832,9173627.756661415,1070273.3009708738,0.0,3202680.0,2.204763E8,7.719287140739772,0.0,14.791509244177076,1590.1731509923932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Approve Purchase Order for payment,34353.46995921612,60.0,138632.17646956444,3435346.995921612,34293.46995921612,0.0,138572.17646956444,3429346.995921612,803705.4,0.0,3307140.0,8.037054E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,81.82398300170898,0.0,1605.8536608219147,8182.398300170898,81.82398300170898,0.0,1605.8536608219147,8182.398300170898,720.6,0.0,72060.0,72060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,68954.97826668023,396.2789340019226,141706.22292518616,6895497.826668024,68388.58100082159,0.0,141300.77150964737,6838858.100082159,1622931.0,0.0,3310800.0,1.622931E8,3.1466514769925014,2.016477466954125,4.326484779516856,314.66514769925016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1832.6598392105102,327.93717646598816,3401.0374748706818,183265.98392105103,0.0,0.0,0.0,0.0,59312.531456837656,0.0,158303.31555390358,5931253.145683765,10.181443551169503,1.8218732025888231,18.894652638170456,1018.1443551169502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,80412.55744425059,8432.885397672653,150218.0311050415,8041255.744425058,67857.74094177246,0.0,140617.34990262985,6785774.094177246,1894712.4,205380.0,3480120.0,1.8947124E8,69.74898056932285,14.415811189015706,121.19337248537275,6974.898056932286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,304.15561239242555,0.9717261791229248,997.1187150478363,30415.561239242554,0.0,0.0,0.0,0.0,8179.8,0.0,158460.0,817980.0,3.3795068043602843,0.010796957545810275,11.079096833864847,337.95068043602845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,152222.96686105727,16431.85364460945,315177.6364481449,1.5222296686105728E7,62401.16416077614,0.0,186212.60756635666,6240116.416077614,3553909.2,327900.0,7288140.0,3.5539092E8,748.5150225023431,99.12248655557633,1446.183864738544,74851.5022502343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
Pay Invoice,694.3089253330231,260.0332658290863,2695.472218990326,69430.8925333023,124.07156551599502,0.0,1850.2581532001495,12407.156551599503,21076.8,0.0,158460.0,2107680.0,3.167985332316823,1.444629254606035,4.981923396057553,316.7985332316823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,720.6,0.0,72060.0,72060.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,324.5310223221779,140.11994409561157,806.3129708766937,32453.10223221779,51.55529670715332,0.0,422.88505721092224,5155.529670715332,1982.4,0.0,72060.0,198240.0,1.5165318089723578,0.7145730270279779,2.3095595253838432,151.65318089723579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,72656.13732547521,0.0,187882.11673426628,7265613.732547522,72656.13732547521,0.0,187882.11673426628,7265613.732547522,1724163.0,0.0,4405980.0,1.724163E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58444.20299028635,1127.0739426612854,143013.71559166908,5844420.299028635,57007.3486314702,0.0,141334.97774624825,5700734.86314702,1365103.8,0.0,3382860.0,1.3651038E8,7.982524215645258,2.1128542410002815,13.791653954982758,798.2524215645258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,107294.93566995859,35440.17374134064,175426.03312826157,1.072949356699586E7,74837.16664138317,0.0,139369.19794416428,7483716.664138317,2502665.4,882600.0,4132200.0,2.5026654E8,180.32093904764125,81.49847131437726,292.75961889161005,18032.093904764126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11878.458087215056,307.2769739627838,46050.82673859596,617679.820535183,165.8711495261926,0.0,1569.3557486534119,8625.299775362015,262718.07692307694,0.0,1001580.0,1.366134E7,65.06992743160482,1.7070942997932435,255.83792632553312,3383.6362264434506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7108368.183880091,1.6661913303716693E7,2.1707076979284763E7
Process Cycle Time excluding out of timetable hours (s),292452.3509776592,682338.7722598553,885960.4452068806
Process Waiting Time (s),157544.27131462097,529521.5900705075,723136.8540148735
Accumulated Process Duration (s),7108368.183880091,1.6661913303716693E7,2.1707076979284763E7
Cost,388.61967612240045,1100.188810587128,1810.023656163613


Process Cycle Time (s) distribution
From,To,Count
7108368,8568238,6
8568239,10028109,4
10028110,11487980,4
11487981,12947851,5
12947852,14407722,6
14407723,15867593,4
15867594,17327464,11
17327465,18787335,18
18787336,20247206,35
20247207,21707077,7

Process Waiting Time (s) distribution
From,To,Count
157544,214103,7
214104,270663,5
270664,327223,4
327224,383783,5
383784,440343,6
440344,496903,4
496904,553463,11
553464,610023,17
610024,666583,23
666584,723143,18

Accumulated Process Duration (s) distribution
From,To,Count
7108368,8568238,6
8568239,10028109,4
10028110,11487980,4
11487981,12947851,5
12947852,14407722,6
14407723,15867593,4
15867594,17327464,11
17327465,18787335,18
18787336,20247206,35
20247207,21707077,7

Process Cost distribution
From,To,Count
388,530,6
531,673,8
674,816,12
817,959,13
960,1102,15
1103,1245,8
1246,1388,15
1389,1531,9
1532,1674,7
1675,1817,7

In-timetable Cycle time (s) distribution
From,To,Count
292452,351802,6
351803,411153,5
411154,470504,3
470505,529855,5
529856,589206,6
589207,648557,4
648558,707908,10
707909,767259,16
767260,826610,36
826611,885961,9



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8400815.791466236,344434.7914662361,157544.27131462097,1400.9597370054985
2,9781540.580285788,406139.90622353554,200081.87974715233,1495.7968569656214
3,8215800.565496922,342300.1060729027,190893.80210280418,1068.6928812993895
4,7853902.757986546,318819.491740942,195961.0198817253,767.1163887970979
5,9554233.29234171,390366.1443605423,207837.1731069088,1327.9048737565674
6,1.196100790499878E7,490956.61575078964,387651.53032040596,621.433594463269
7,7108368.183880091,292452.3509776592,191933.28134274483,641.8369979149766
8,1.021913771739769E7,419945.4868505001,238455.01957678795,1322.8691368540126
9,7860236.737563133,319976.73756313324,202083.9003381729,795.8998300068909
10,1.9867136821022034E7,808566.2204370499,723136.8540148735,554.956144976616
11,9048632.304239511,368682.5781764984,249253.90289354324,814.7999521235627
12,1.6454621302949429E7,669957.1391568184,493731.3801188469,1314.5125673009288
13,1.341656028783679E7,545987.3298652172,368004.4665682316,1340.389913425843
14,1.184946544870019E7,484315.228505373,272576.4678401947,1652.4786068499086
15,8550562.273356438,348028.237395525,217953.80919241905,870.0430284096136
16,1.010519026645422E7,410681.52069735527,259873.1630077362,1140.8204925874868
17,1.4932300831082106E7,611606.2278270721,379512.39217591286,1677.5273931754957
18,1.223777664535284E7,503251.58739709854,358342.8943679333,1038.7040371365017
19,1.0570185248955488E7,434782.04282569885,292901.2167439461,1067.3128125554983
20,9134227.561119556,378121.01726055145,220943.76843619347,1081.3006631023354
21,1.1751699847795725E7,482739.84779572487,275716.9942817688,1599.7969528582357
22,1.657338158496809E7,676326.7456371784,492249.2840924263,1404.2679994848038
23,1.0614065673422575E7,433921.63265252113,321226.6535103321,783.5256697601744
24,1.3019030269735813E7,532721.2369368076,398692.0465631485,873.7386954413521
25,1.973946009394908E7,807665.2399637699,639978.6563432217,1279.5150196459556
26,1.3283539684666157E7,544275.9944298267,376858.37018990517,1289.4495272616543
27,1.667994672671485E7,679883.0171289444,463356.1850876808,1591.006102161937
28,1.6593640035215616E7,679651.6349394321,570508.0953090191,799.641989901993
29,2.1707076979284763E7,885960.4452068806,714447.4045343399,1205.2183526847095
30,1.5438835366214037E7,633596.1006393433,408868.4266319275,1625.3002897361912
31,1.4635070952579737E7,596806.4219768047,410358.07883119583,1420.267067731751
32,1.5065792037668705E7,616320.3657641411,511493.24290919304,715.7416631625758
33,2.0227542323542118E7,827774.779968977,694342.3441426754,890.9363067772654
34,2.0824706350242853E7,855293.4070472717,706760.3605487347,1012.2621651285225
35,1.3713132203923464E7,559432.0579299927,420050.516276598,974.2710197958683
36,1.9502911035509825E7,797167.855833292,563197.8830389977,1707.8971333437496
37,1.2911835581679344E7,528154.7508509159,395561.0102841854,991.956579568651
38,1.317034439473176E7,544864.3934569359,382831.46124362946,1194.9765649543865
39,1.885706425158286E7,773278.3855128288,573008.1161682606,1481.5199966556493
40,1.9447806116368055E7,794453.6657936573,596212.5624251366,1526.2373257425095
41,1.6152284384565115E7,665098.8659558296,536114.590918541,934.8793500946629
42,1.9421668992176294E7,796269.1434254646,661900.1742744446,979.8749980608621
43,1.4207788345388174E7,582312.7502257824,486223.5695412159,629.8405656158925
44,1.8529364663052082E7,764069.6294586658,647751.5250663757,783.9613209201232
45,1.7304651518611193E7,713367.2409367561,525616.8891470432,1364.5710867404935
46,1.75488414638443E7,719477.199811697,523573.04645609856,1381.0954491138457
47,1.8820415432832956E7,769437.8575234413,544363.815715313,1682.2759521053897
48,2.028500146050024E7,832177.8301200867,608128.7904675007,1673.5749780654905
49,1.6980215575942755E7,697266.848940134,541711.0547618866,1154.2876469665102
50,2.1625285703963757E7,885446.7105746269,694242.1833441257,1330.6657193859419
51,1.71653224178555E7,704900.9521782398,552302.7868795395,1092.5340254803498
52,1.9281386308130026E7,792310.5053663254,586345.2682993412,1514.8614003519217
53,1.9342712229566336E7,788469.5650391579,661883.6571018696,898.5779504895211
54,1.893731536088562E7,771738.8157868385,585935.5078098774,1389.4163087315028
55,1.958404065593791E7,801987.2837452888,708295.3392345905,577.5920586817793
56,1.8307310200249195E7,749745.9554607868,626505.9287452698,840.1425686677298
57,1.9210654285586596E7,784495.708360672,646683.0419580936,1013.4784343500934
58,1.9195766135712624E7,783666.7414205074,633864.5148320198,1134.1413710766367
59,1.865135458855748E7,761219.3230090141,584931.1973166466,1353.2934239255055
60,1.9167992874570847E7,783854.4583334923,545002.6353275776,1810.023656163613
61,1.6477458056357622E7,679521.465419054,542013.0296981335,1059.0012515299848
62,2.003660671760106E7,823049.9722123146,689992.2110834122,880.7651478522356
63,1.6184177456621647E7,666441.2750525475,568121.7481071949,650.3759360995558
64,2.0925716367753267E7,857530.9170036316,617937.7546417713,1797.7293646633625
65,1.9172191101484776E7,782570.083337307,553022.2146875858,1729.4585865378378
66,1.9762961060016632E7,807318.5409240723,675823.4098768234,783.8359203901556
67,1.975687732348013E7,811659.1510562897,580286.1204526424,1757.6971378472113
68,1.853311052300906E7,758346.8159368038,605639.2481603622,1074.1851578937635
69,1.8124971240790844E7,742460.1031320095,605181.6643269062,974.5251475161976
70,1.8507236125923395E7,760430.7703521252,641058.8452630043,770.5172003991075
71,1.9095403549777508E7,782580.2407941818,686702.566514492,650.8860571185749
72,1.9076746605266333E7,777981.8957920074,652924.6706690788,833.6824291778937
73,1.906973928272295E7,781357.5327234268,674962.4896171093,739.4789716316594
74,1.904599358886814E7,775318.6468281746,589975.8632268906,1449.4695191436342
75,1.9039893764686584E7,779480.1286036968,611706.5277004242,1175.6192118995718
76,1.9189342339142084E7,784505.1639962196,613620.93861413,1273.9013805256948
77,1.680220084322691E7,688189.0879063606,581610.0195214748,724.3558466937807
78,1.7705609393039465E7,723010.876357317,615169.1166276932,784.5131224162049
79,1.898596733708E7,781571.2652676105,688289.5919566154,568.7588042504259
80,1.8888481378857136E7,773784.8205106258,570017.365965128,1518.8398768703141
81,1.947778557990861E7,797154.3845131397,617780.2764658928,1332.1458884961073
82,2.1176831943611145E7,867367.2497041225,655881.989192009,1633.5712524248493
83,1.8847163309880733E7,771044.5229651928,691344.9208137989,504.6357794682184
84,1.8908043844528913E7,773789.567583561,697265.530421257,467.66590429345774
85,1.8294452648234606E7,750603.3802917004,632303.9480242729,849.4780362751749
86,1.8887305984509706E7,777436.242055893,638193.0425674915,942.0058131747777
87,1.9476777585517883E7,800896.4359488487,669211.3630776405,879.4022025962671
88,1.885024989340639E7,772069.4973294735,623369.0568258762,1090.144430498282
89,1.876281073455596E7,770683.9421892166,656150.2934455872,843.4626836955548
90,1.874695104042077E7,766331.0404207706,603796.4544117451,1162.520533729924
91,1.820360075480604E7,743865.9822762012,655698.4862627983,524.9427095744345
92,2.0780858460964203E7,852893.3197507858,685485.670011282,1235.639700095521
93,2.020753953450799E7,830400.8697133064,655381.8062300682,1302.06787661314
94,1.8766858944871902E7,769138.2793467045,698397.0213563442,482.8688496390978
95,1.875205480040264E7,768349.737030983,707592.4216606617,403.13937452501716
96,1.8664637006629467E7,759893.6910755634,552672.9153218269,1601.0159088022178
97,1.899553525479126E7,776897.9428393841,588661.6351850033,1331.8842215882405
98,1.8108209997835875E7,739482.130238533,677761.8977277279,388.61967612240045
99,1.8622081696330786E7,759345.3583981991,621892.8377914429,985.3182254493237
100,1.868294067003894E7,762152.7734196186,633496.6408462524,958.7853257007071
