Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,50
Role 2,80
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1461.0687568088372,15.84144115447998,9792.729489326477,140262.60065364838,0.0,0.0,0.0,0.0,21547.5,0.0,252120.0,2068560.0,8.117048648937983,0.08800800641377766,54.40405271848043,779.2366702980463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Amend Request for Quotation,669.5248191421097,0.0,1123.0316860675812,49544.83661651611,0.0,0.0,0.0,0.0,16358.918918918918,0.0,158460.0,1210560.0,3.7195823285672747,0.0,6.239064922597673,275.24909231397834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
Analyze Purchase Requisition,384.3279483683255,241.91003680229187,538.2677893638611,75328.2778801918,0.0,0.0,0.0,0.0,7903.163265306122,0.0,158460.0,1549020.0,2.13515526871292,1.3439446489016216,2.990376607577006,418.49043266773236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Quotation Comparison Map,1337.6962137055398,364.546147108078,2022.815865278244,133769.62137055397,0.0,0.0,0.0,0.0,29974.8,0.0,158460.0,2997480.0,7.431645631697442,2.0252563728226556,11.237865918212467,743.1645631697443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,38042.838682104804,587.1153764724731,165056.0582358837,6619453.930686235,36654.51436109241,0.0,164498.67397236824,6377885.49883008,887754.8275862068,0.0,3890820.0,1.5446934E8,7.721935425460872,0.0,15.221043863561418,1343.6167640301917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
Approve Purchase Order for payment,36222.43581806183,60.0,175770.8201801777,3622243.581806183,36162.43581806183,0.0,175710.8201801777,3616243.581806183,850648.8,0.0,4218600.0,8.506488E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1004.1969115805626,0.0,8688.721102237701,100419.69115805626,1004.1969115805626,0.0,8688.721102237701,100419.69115805626,25326.6,0.0,162120.0,2532660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,96458.23161676407,368.3046247959137,179117.48400902748,9645823.161676407,95873.97562932491,0.0,178351.17519044876,9587397.562932491,2249652.0,0.0,4222260.0,2.249652E8,3.245866596884198,2.003016482459174,4.32337101565467,324.5866596884198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1574.2190440702439,314.49628710746765,3418.060678958893,157421.90440702438,0.0,0.0,0.0,0.0,59395.67810981274,0.0,158412.7280869484,5939567.810981274,8.7456613559458,1.747201595041487,18.98922599421607,874.5661355945799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,98816.09313126565,5565.077328443527,178340.6604297161,9881609.313126564,86482.5833846569,0.0,165298.93108439445,8648258.33846569,2314819.2,162120.0,4222260.0,2.3148192E8,68.51949859227075,12.79063553015391,120.73278039031558,6851.949859227075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,374.16452931165696,15.376135349273682,1264.0867712497711,37416.452931165695,0.0,0.0,0.0,0.0,3857.4,0.0,97260.0,385740.0,3.1180377442638076,0.12813446124394734,10.534056427081426,311.80377442638076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,298031.90419537545,45099.596245765686,667216.3033292294,2.9803190419537544E7,195440.7663672471,0.0,547470.6977322102,1.954407663672471E7,6960825.0,1066320.0,1.561728E7,6.960825E8,569.950765711824,103.26321400271522,972.2817907359865,56995.076571182406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Pay Invoice,2559.9115926933287,243.32270526885986,9307.996865987778,255991.1592693329,1992.4104880952834,0.0,8688.721102237701,199241.04880952835,46626.6,0.0,234180.0,4662660.0,3.1527839144335856,1.3517928070492216,4.956266371409098,315.27839144335854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1585.2,0.0,154860.0,158520.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,564.6780244493484,126.15476894378662,4589.173758983612,56467.802444934845,304.500354115963,0.0,4195.794033527374,30450.0354115963,43945.8,0.0,162120.0,4394580.0,1.4454315018521415,0.683027736345927,2.322044931517707,144.54315018521416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,233089.0644331956,0.0,541171.4979245663,2.330890644331956E7,233089.0644331956,0.0,541171.4979245663,2.330890644331956E7,5456246.4,0.0,1.259112E7,5.4562464E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,59975.05549705744,606.9011399745941,175164.70217323303,5997505.549705744,58574.56804848194,0.0,174193.6643023491,5857456.804848194,1404477.6,0.0,4060140.0,1.4044776E8,7.780485825419424,1.6446041544278462,13.368023987611135,778.0485825419424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,145205.14591682435,16819.32759165764,219726.70984840393,1.4520514591682434E7,108980.12159102202,0.0,174573.48475432396,1.0898012159102201E7,3409323.6,421560.0,5148120.0,3.4093236E8,201.25013514334626,84.13316380315356,291.7835600376129,20125.013514334627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11335.78666966302,116.693519115448,67338.39454555511,476103.04012584686,750.0351807389941,0.0,8657.540867805481,31501.47759103775,246610.0,0.0,1538340.0,1.035762E7,58.80973049402236,0.6482973284191555,374.1021919197506,2470.0086807489392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5981981.443259239,2.560213217004092E7,3.1865863989771605E7
Process Cycle Time excluding out of timetable hours (s),245680.4432592392,1048876.491931114,1309032.0205039978
Process Waiting Time (s),118665.86773896217,881998.4927899933,1148235.8833620548
Accumulated Process Duration (s),5981981.443259239,2.5602135401893787E7,3.1865863989771605E7
Cost,416.3200908177429,928.172995085193,1470.421673666106


Process Cycle Time (s) distribution
From,To,Count
5981981,8570369,4
8570370,11158758,3
11158759,13747147,4
13747148,16335536,3
16335537,18923925,5
18923926,21512314,4
21512315,24100703,4
24100704,26689092,4
26689093,29277481,19
29277482,31865870,50

Process Waiting Time (s) distribution
From,To,Count
118665,221622,4
221623,324580,5
324581,427538,2
427539,530496,3
530497,633454,5
633455,736412,6
736413,839370,3
839371,942328,5
942329,1045286,32
1045287,1148244,35

Accumulated Process Duration (s) distribution
From,To,Count
5981981,8570369,4
8570370,11158758,3
11158759,13747147,4
13747148,16335536,3
16335537,18923925,5
18923926,21512314,4
21512315,24100703,4
24100704,26689092,4
26689093,29277481,19
29277482,31865870,50

Process Cost distribution
From,To,Count
416,521,8
522,627,10
628,733,13
734,839,8
840,945,13
946,1051,12
1052,1157,8
1158,1263,11
1264,1369,13
1370,1475,4

In-timetable Cycle time (s) distribution
From,To,Count
245680,352015,4
352016,458351,3
458352,564687,4
564688,671023,3
671024,777359,5
777360,883695,4
883696,990031,4
990032,1096367,4
1096368,1202703,23
1202704,1309039,46



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5981981.443259239,245680.4432592392,118665.86773896217,707.7771276699173
2,7883068.996680498,323386.59462332726,197942.20061469078,697.7635300172701
3,3.059158863476491E7,1257239.7567706108,1074195.4359385967,1017.2472975975938
4,8541894.182566166,350877.65702557564,211769.6060335636,773.7348444627393
5,1.3528179508585215E7,552501.4695608616,315571.90831899643,1318.6270048903095
6,9726443.751924276,403356.5964062214,230584.2556476593,960.1149360842176
7,1.1084156758700848E7,456477.7765805721,222828.99453115463,1298.8043470919129
8,7699159.034933329,316990.4415974617,195892.75734734535,673.4381219122146
9,1.2311495950799942E7,505715.950799942,269751.64087605476,1311.0024153265688
10,2.781290697622657E7,1137997.1640644073,882765.5083403587,1419.4068454517255
11,1.3444604525757551E7,545684.9760317802,464148.4026069641,453.1203571173879
12,1.447806036533165E7,591584.7673213482,454646.23423957825,762.2048920492331
13,1.2039267867015839E7,490542.84713220596,392418.7509698868,547.0555305553808
14,3.0339935934767246E7,1242457.8357019424,1148235.8833620548,524.2192588673697
15,2.3511188508042812E7,966341.6694352627,757079.4634544849,1165.4844677984715
16,1.865008304794383E7,763007.0506415367,565845.876786232,1095.463747288121
17,9572598.760779142,396156.1949803829,275941.5496034622,669.0891822821565
18,1.9754699328035116E7,807583.9418869019,602972.9482526779,1138.6272420876555
19,3.0267791274750948E7,1240166.571156025,1106284.5958528519,745.0006913032797
20,3.025367586265087E7,1240077.3151347637,1077355.4272341728,906.2778474311035
21,1.3911120254906178E7,570660.2549061775,358307.21114087105,1180.256402732266
22,1.5466011370352745E7,631492.369464159,513632.46926665306,655.7673694372178
23,3.1865863989771605E7,1309032.0205039978,1091762.0692796707,1207.9387192918193
24,1.7252049185120106E7,705352.6535263062,562435.9387860298,794.9686305297747
25,3.0185184908150196E7,1234316.2212834358,1054472.2264082432,999.3483498500455
26,3.017216936780119E7,1235349.2283945084,980357.7992730141,1416.6798970652949
27,1.84962734558239E7,755914.0776567459,595274.5219891071,892.8573166257806
28,2.997190637149954E7,1225176.827551365,991744.3321914673,1297.771467080381
29,3.012702651194644E7,1228636.3768661022,1050574.3238971233,990.3873210304314
30,2.5927805839120626E7,1060258.1616487503,828634.2830066681,1289.6399180862636
31,2.233882361215973E7,914963.6115033627,724351.4950089455,1061.7994655006462
32,2.5901341262248278E7,1061907.029608488,921084.8028507233,783.5260551028782
33,2.3257058422201872E7,953364.9429380894,776046.6501531601,986.2014106949173
34,3.006023007623768E7,1231865.7879559994,999060.8465056419,1294.1987537860866
35,1.838580512689066E7,753990.7310760021,645000.1821780205,605.6065135333274
36,2.2169779384897232E7,909718.6207170486,721672.7697126865,1044.8965800424417
37,2.0990832685373068E7,861502.9765996933,688857.1632900238,959.2570699075859
38,1.8342047064915657E7,752172.6763212681,627642.8198671341,692.7164523767101
39,2.981891992317438E7,1222603.6966335773,1002523.2348368168,1226.1805843465859
40,1.995060743274498E7,814407.0711522102,658492.9667925835,869.1810430745284
41,2.9791495037777662E7,1219698.807350874,1024551.333827734,1085.5197024418246
42,3.055280378366494E7,1252817.9657506943,1124918.7090682983,711.146736922529
43,2.9977765636031628E7,1228528.8873503208,986390.1713023186,1345.6006106959446
44,2.6043193629380703E7,1065545.9846806526,911791.5055949688,855.2636760446761
45,1.9376834083552122E7,793398.6301248074,689744.4450998306,576.6839752448931
46,2.9891132361935377E7,1227140.086179018,1143776.460247755,463.46704148054124
47,2.9712863103639603E7,1217811.2200248241,1049092.3339977264,938.2716791053614
48,2.986225453042984E7,1222737.9202501774,984748.2783858776,1324.485699570841
49,2.6871465963861227E7,1102785.2943224907,913199.3783838749,1053.4054623040888
50,2.983337442136669E7,1221863.8729074001,1031924.1450073719,1056.3320116420584
51,2.9577287205466032E7,1213998.6332576275,981211.3489694595,1294.7736923754214
52,2.4722742716248035E7,1013616.9397239685,847024.3305175304,926.4803935527802
53,2.962236995859599E7,1207925.3134055138,992793.0843205452,1197.8283857822419
54,3.0137453043967724E7,1228980.4875602722,964466.4731588364,1470.421673666106
55,2.959630132304597E7,1209805.5772268772,1076309.4900667667,741.7966925157442
56,2.950660498745656E7,1206152.3047902584,1046032.2798874378,889.7900554411941
57,2.949335219324875E7,1206940.0585150719,991256.4108815193,1199.4713403933574
58,2.7737321755630255E7,1132924.9519705772,1051853.1120405197,451.2419446369011
59,2.854680742170334E7,1171021.428148508,1019572.5831477642,842.933415294356
60,2.9449589953347206E7,1205192.191561222,1053678.1082763672,843.1866756127941
61,2.9510098565989733E7,1207706.8063476086,970043.4376080036,1322.8744833317066
62,2.96662679684062E7,1215706.0674824715,1061445.9789819717,858.5739910377398
63,2.9408474103024006E7,1206105.6354124546,1024142.1603486538,1012.930176286565
64,2.8871167264513493E7,1187138.5970253944,1051828.058210373,754.0519484202068
65,2.962302305051756E7,1210937.6244134903,1084363.0933423042,704.6086168567339
66,2.9611294685299635E7,1213192.481806755,1085119.644753933,712.0399000161226
67,2.9435524764051676E7,1209969.49081254,1120987.7121210098,495.2135449270407
68,2.9583494448346615E7,1209931.081694603,1086824.836703062,685.2754681626957
69,2.9567641619641066E7,1208119.0260515213,1017431.9453754425,1061.8871522592174
70,2.9391751150624037E7,1204682.0739605427,983382.9066331387,1231.1188931266468
71,2.9376876650240898E7,1203789.946013689,1084254.89889431,664.8362687528135
72,2.957164730905652E7,1207309.6865627766,1099715.4039468765,597.8840899984043
73,2.9349255196667194E7,1200533.5174467564,1098845.1348233223,565.7707114093834
74,2.9336980608042955E7,1202256.3196337223,1014689.5831472874,1044.3407968574097
75,2.932321182480502E7,1202383.9987819195,973066.9059534073,1274.0657138307886
76,2.983196820408511E7,1220812.2965300083,1083718.3961877823,762.1435335550044
77,3.1026242698060513E7,1269050.7230255604,1005197.7349791527,1467.0442765043842
78,2.9443827604169846E7,1206475.6547298431,1100453.577680111,590.9038576152591
79,2.9267098833446026E7,1202176.6935565472,1023145.7538998127,994.8368558585644
80,3.127756683574438E7,1284949.2085716724,1057417.571161747,1265.0749589105444
81,2.940051453457403E7,1205228.3645775318,1042591.0696332455,903.9120445721679
82,2.938586892821002E7,1204506.000001669,1118582.2237846851,477.84953273534774
83,2.9471931431025267E7,1207412.9485826492,1083329.2451298237,689.8204251918528
84,2.9404562036990404E7,1204517.5179915428,1120005.392947197,470.2550816469722
85,2.918213031342888E7,1197888.4216649532,1025885.7024960518,956.8314667609003
86,2.9591046776216984E7,1213769.7014205456,1102597.7268388271,618.6517651776473
87,2.9156126157990456E7,1199905.306391716,1080379.0706086159,664.0773547265266
88,2.9302753820586443E7,1202022.7042655945,1004890.2525780201,1095.9378372814917
89,2.9120890191232443E7,1196306.6631522179,1087325.9515712261,605.5586551997399
90,2.9273143406466722E7,1198003.4064667225,975277.3024289608,1237.9117306457624
91,2.909825465631485E7,1194445.2508103848,1103337.495614767,506.9983933899137
92,2.908393060363841E7,1194096.0984601974,976764.4052026272,1207.6534800423515
93,2.9231353028836012E7,1197073.219323635,1025637.0477347374,953.9521101719803
94,3.025723862063241E7,1239022.3124711514,1014609.7757120132,1249.219185615248
95,2.9036626938244343E7,1192398.4061264992,1083448.0070400238,606.5661929561032
96,2.9238370823948383E7,1195738.095861435,955188.282409668,1336.4462203409935
97,2.9015891561701536E7,1188990.3192858696,1036283.711732626,848.9178390476438
98,2.9161881979510784E7,1190585.2854292393,963731.3661556244,1260.9577947378157
99,2.8987604603541136E7,1188834.968745947,1114012.850471735,416.3200908177429
100,2.8973033137068987E7,1188278.36070323,1018738.2677903175,942.2471976406044
