Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role chief,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,567.4414794230461,366.80162930488586,778.1457254886627,56744.14794230461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9405658293267107,2.547233536839485,5.4037897603379355,394.05658293267106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),366.80162930488586,567.4414794230461,778.1457254886627
Process Cycle Time excluding out of timetable hours (s),366.80162930488586,567.4414794230461,778.1457254886627
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),366.80162930488586,567.4414794230461,778.1457254886627
Cost,2.547233536839485,3.9405658293267107,5.4037897603379355


Process Cycle Time (s) distribution
From,To,Count
366,407,10
408,449,12
450,491,10
492,533,11
534,575,11
576,617,10
618,659,7
660,701,7
702,743,16
744,785,6

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
366,407,10
408,449,12
450,491,10
492,533,11
534,575,11
576,617,10
618,659,7
660,701,7
702,743,16
744,785,6

Process Cost distribution
From,To,Count
2,2,40
3,3,31
4,4,29
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0

In-timetable Cycle time (s) distribution
From,To,Count
366,407,10
408,449,12
450,491,10
492,533,11
534,575,11
576,617,10
618,659,7
660,701,7
702,743,16
744,785,6



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,710.8159935474396,710.8159935474396,0.0,4.936222177412775
2,447.125914812088,447.125914812088,0.0,3.1050410750839443
3,517.0459072589874,517.0459072589874,0.0,3.5905965781874127
4,443.23470163345337,443.23470163345337,0.0,3.0780187613434262
5,566.5317132472992,566.5317132472992,0.0,3.9342480086618
6,624.8836119174957,624.8836119174957,0.0,4.339469527204831
7,424.5843119621277,424.5843119621277,0.0,2.9485021664036646
8,366.80162930488586,366.80162930488586,0.0,2.547233536839485
9,695.6700780391693,695.6700780391693,0.0,4.831042208605343
10,388.8647708892822,388.8647708892822,0.0,2.7004497978422375
11,679.2908051013947,679.2908051013947,0.0,4.717297257648574
12,515.9138469696045,515.9138469696045,0.0,3.582735048400031
13,710.4259166717529,710.4259166717529,0.0,4.933513310220507
14,654.127964258194,654.127964258194,0.0,4.542555307348569
15,709.9324426651001,709.9324426651001,0.0,4.930086407396528
16,752.0289454460144,752.0289454460144,0.0,5.2224232322639885
17,541.5414960384369,541.5414960384369,0.0,3.760704833600256
18,557.8397812843323,557.8397812843323,0.0,3.873887370030085
19,686.4306275844574,686.4306275844574,0.0,4.766879358225399
20,687.4605131149292,687.4605131149292,0.0,4.774031341075897
21,483.14783120155334,483.14783120155334,0.0,3.3551932722330093
22,631.2558364868164,631.2558364868164,0.0,4.383721086714003
23,388.13565468788147,388.13565468788147,0.0,2.695386490888066
24,707.7034232616425,707.7034232616425,0.0,4.914607105983628
25,748.9861078262329,748.9861078262329,0.0,5.2012924154599505
26,610.9287838935852,610.9287838935852,0.0,4.242560999261008
27,464.9736409187317,464.9736409187317,0.0,3.2289836174911923
28,661.5329842567444,661.5329842567444,0.0,4.593979057338503
29,736.5646188259125,736.5646188259125,0.0,5.115032075179948
30,716.1752223968506,716.1752223968506,0.0,4.973439044422573
31,543.5646991729736,543.5646991729736,0.0,3.7747548553678723
32,604.5670981407166,604.5670981407166,0.0,4.198382625977199
33,472.556795835495,472.556795835495,0.0,3.281644415524271
34,576.5172762870789,576.5172762870789,0.0,4.003592196438047
35,375.30236196517944,375.30236196517944,0.0,2.6062664025359683
36,610.7433502674103,610.7433502674103,0.0,4.241273265745905
37,485.43477630615234,485.43477630615234,0.0,3.371074835459391
38,765.5980851650238,765.5980851650238,0.0,5.316653369201554
39,456.8975100517273,456.8975100517273,0.0,3.172899375359217
40,471.4956500530243,471.4956500530243,0.0,3.2742753475904465
41,599.4106087684631,599.4106087684631,0.0,4.162573672003216
42,447.4754796028137,447.4754796028137,0.0,3.107468608352873
43,406.2860016822815,406.2860016822815,0.0,2.8214305672380657
44,740.1594202518463,740.1594202518463,0.0,5.139995973971155
45,441.0771243572235,441.0771243572235,0.0,3.063035585814052
46,500.1094582080841,500.1094582080841,0.0,3.4729823486672506
47,580.0824835300446,580.0824835300446,0.0,4.028350580069754
48,639.0591361522675,639.0591361522675,0.0,4.437910667724079
49,572.8856897354126,572.8856897354126,0.0,3.9783728453848095
50,603.0793824195862,603.0793824195862,0.0,4.188051266802682
51,499.3710730075836,499.3710730075836,0.0,3.467854673663775
52,580.4239776134491,580.4239776134491,0.0,4.030722066760063
53,538.0005931854248,538.0005931854248,0.0,3.736115230454339
54,519.112672328949,519.112672328949,0.0,3.604949113395479
55,632.970844745636,632.970844745636,0.0,4.395630866289139
56,597.7006437778473,597.7006437778473,0.0,4.1506989151239395
57,718.2102434635162,718.2102434635162,0.0,4.987571135163307
58,478.73461866378784,478.73461866378784,0.0,3.3245459629429712
59,397.1138458251953,397.1138458251953,0.0,2.7577350404527454
60,507.87909746170044,507.87909746170044,0.0,3.526938176817364
61,731.1523733139038,731.1523733139038,0.0,5.07744703690211
62,708.6927633285522,708.6927633285522,0.0,4.921477523114946
63,778.1457254886627,778.1457254886627,0.0,5.4037897603379355
64,725.3057744503021,725.3057744503021,0.0,5.036845655904876
65,499.78003191947937,499.78003191947937,0.0,3.4706946661074958
66,443.3219521045685,443.3219521045685,0.0,3.0786246673928366
67,543.6784563064575,543.6784563064575,0.0,3.7755448354615107
68,444.38583612442017,444.38583612442017,0.0,3.086012750864029
69,720.4125061035156,720.4125061035156,0.0,5.002864625718859
70,429.1462745666504,429.1462745666504,0.0,2.9801824622684054
71,507.1589734554291,507.1589734554291,0.0,3.521937315662702
72,414.3321614265442,414.3321614265442,0.0,2.8773066765732236
73,379.4147045612335,379.4147045612335,0.0,2.6348243372307882
74,417.0386846065521,417.0386846065521,0.0,2.8961019764343896
75,381.10555601119995,381.10555601119995,0.0,2.6465663611888885
76,413.6511962413788,413.6511962413788,0.0,2.8725777516762414
77,628.8476703166962,628.8476703166962,0.0,4.366997710532612
78,470.46116828918457,470.46116828918457,0.0,3.2670914464526706
79,492.8990466594696,492.8990466594696,0.0,3.422910046246317
80,580.0271699428558,580.0271699428558,0.0,4.027966457936499
81,475.77905225753784,475.77905225753784,0.0,3.3040211962329016
82,540.943874835968,540.943874835968,0.0,3.756554686360889
83,484.20634031295776,484.20634031295776,0.0,3.3625440299510956
84,742.7773087024689,742.7773087024689,0.0,5.158175754878256
85,504.46476435661316,504.46476435661316,0.0,3.503227530254258
86,635.6595265865326,635.6595265865326,0.0,4.414302267962032
87,727.5219931602478,727.5219931602478,0.0,5.052236063612832
88,746.9184017181396,746.9184017181396,0.0,5.186933345264858
89,422.4831314086914,422.4831314086914,0.0,2.9339106347825794
90,600.6029117107391,600.6029117107391,0.0,4.1708535535468
91,372.92737674713135,372.92737674713135,0.0,2.5897734496328564
92,702.7171666622162,702.7171666622162,0.0,4.879980324043168
93,761.9838721752167,761.9838721752167,0.0,5.2915546678834495
94,714.1460101604462,714.1460101604462,0.0,4.959347292780876
95,736.8117067813873,736.8117067813873,0.0,5.116747963759634
96,681.3835921287537,681.3835921287537,0.0,4.731830500894123
97,399.5876362323761,399.5876362323761,0.0,2.7749141405026116
98,494.2232913970947,494.2232913970947,0.0,3.432106190257602
99,544.9747242927551,544.9747242927551,0.0,3.784546696477466
100,553.3021619319916,553.3021619319916,0.0,3.8423761245277195
