Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,50
Role 2,83
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1652.8542730107026,8.556037664413452,7779.541108131409,140492.61320590973,0.0,0.0,0.0,0.0,39801.882352941175,0.0,205320.0,3383160.0,9.182523738948348,0.047533542580074736,43.21967282295227,780.5145178106096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
Amend Request for Quotation,655.3871861106471,129.74135208129883,1221.9579465389252,62261.782680511475,0.0,0.0,0.0,0.0,13955.368421052632,0.0,158460.0,1325760.0,3.641039922836928,0.7207852893405491,6.788655258549584,345.89879266950817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
Analyze Purchase Requisition,381.2136554305618,240.2019498348236,539.6323828697205,70524.52625465393,0.0,0.0,0.0,0.0,4791.5675675675675,0.0,97260.0,886440.0,2.1178536412808984,1.3344552768601312,2.997957682609558,391.8029236369662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Analyze Quotation Comparison Map,1201.0013637065888,371.4661271572113,2034.7914638519287,120100.13637065887,0.0,0.0,0.0,0.0,27559.8,0.0,158460.0,2755980.0,6.672229798369937,2.0637007064289516,11.304397021399604,667.2229798369937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,35524.27572312722,301.57674622535706,158302.67886972427,6927233.766009808,34193.544339083404,0.0,156107.86348748207,6667741.1461212635,828216.9230769231,0.0,3555840.0,1.615023E8,7.395533932233466,0.0,14.54788719813029,1442.1291167855259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
Approve Purchase Order for payment,36483.71134232521,60.0,161840.68978524208,3648371.134232521,36423.71134232521,0.0,161780.68978524208,3642371.134232521,852847.8,0.0,3757560.0,8.528478E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1496.5120357322694,0.0,9889.201659202576,149651.20357322693,1496.5120357322694,0.0,9889.201659202576,149651.20357322693,45175.2,0.0,169320.0,4517520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,82765.13413890362,389.2140016555786,163373.64477229118,8276513.413890362,82221.08749908447,0.0,162856.05694794655,8222108.749908447,1946013.6,0.0,3887160.0,1.9460136E8,3.022481332328585,2.0704919828308954,4.276471445295546,302.2481332328585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1805.6161686372757,323.76338744163513,3371.1067695617676,180561.61686372757,0.0,0.0,0.0,0.0,59051.13494548321,0.0,157270.22480368614,5905113.494548321,10.031200936873752,1.798685485786862,18.72837094200982,1003.1200936873753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,88699.15958699465,2541.9447827339172,176824.49129486084,8869915.958699465,76642.58384715558,0.0,162992.84624791145,7664258.384715557,2079134.4,0.0,4132200.0,2.0791344E8,66.98097633243933,13.455581238534716,120.9415797551473,6698.097633243932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,315.143593378067,13.652713775634766,1202.6809558868408,31514.3593378067,0.0,0.0,0.0,0.0,4035.6,0.0,154860.0,403560.0,3.5015954819785224,0.15169681972927518,13.363121732076008,350.15954819785225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,262490.3594243908,21093.40767455101,621881.019379139,2.624903594243908E7,164155.63010896684,0.0,467547.6788442135,1.6415563010896683E7,6142088.4,529560.0,1.465536E7,6.1420884E8,546.3040517523551,74.9874676293797,977.4846747994422,54630.405175235515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Pay Invoice,2059.4291082334516,240.08628630638123,8404.78568482399,205942.91082334518,1512.5521879029275,0.0,7594.044595718384,151255.21879029274,44532.6,0.0,172980.0,4453260.0,3.0382051129473577,1.333812701702118,4.998235195212894,303.82051129473575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,720.6,0.0,72060.0,72060.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,411.16270129919053,126.941002368927,992.8213849067688,41116.27012991905,152.85779735565185,0.0,702.7242512702942,15285.779735565186,35617.8,0.0,154860.0,3561780.0,1.4350272441307697,0.7052277909384833,2.3063388771480984,143.50272441307698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,186080.09459970475,0.0,474332.2920291424,1.8608009459970474E7,186080.09459970475,0.0,474332.2920291424,1.8608009459970474E7,4316265.6,0.0,1.107084E7,4.3162656E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56607.17091015816,1048.4362013339996,162139.4171822071,5660717.091015816,55297.05812315941,0.0,161119.40069031715,5529705.812315941,1325543.4,0.0,3807960.0,1.3255434E8,7.27840437221527,2.1172597845395407,13.400438066323598,727.840437221527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,124295.5899486041,14602.036937713623,201021.33258914948,1.242955899486041E7,91808.05739216327,0.0,159314.43201828003,9180805.739216328,2900072.4,331440.0,4640160.0,2.9000724E8,180.48629198022678,79.80638483630287,290.91985205279457,18048.629198022678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13805.417763475862,67.69343662261963,92874.31370568275,773103.3947546482,1477.2544005768639,0.0,8963.928602933884,82726.24643230438,331689.64285714284,0.0,2269620.0,1.857462E7,68.48979646055,9.630401929219564E-4,513.1184772809346,3835.4286017908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3563299.1458907127,2.2559887380696602E7,2.9165281227073193E7
Process Cycle Time excluding out of timetable hours (s),147078.14589071274,924506.2457511234,1190455.3615694046
Process Waiting Time (s),89305.1582531929,763294.818859086,1023499.4827306271
Accumulated Process Duration (s),3563299.1458907127,2.2559887380696602E7,2.9165281227073193E7
Cost,321.3040958272085,897.3748705374663,1731.734031878577


Process Cycle Time (s) distribution
From,To,Count
3563299,6123497,1
6123498,8683696,4
8683697,11243895,5
11243896,13804094,6
13804095,16364293,5
16364294,18924492,5
18924493,21484691,3
21484692,24044890,5
24044891,26605089,43
26605090,29165288,23

Process Waiting Time (s) distribution
From,To,Count
89305,182724,4
182725,276144,4
276145,369564,5
369565,462984,5
462985,556404,6
556405,649824,1
649825,743244,6
743245,836664,4
836665,930084,31
930085,1023504,34

Accumulated Process Duration (s) distribution
From,To,Count
3563299,6123497,1
6123498,8683696,4
8683697,11243895,5
11243896,13804094,6
13804095,16364293,5
16364294,18924492,5
18924493,21484691,3
21484692,24044890,5
24044891,26605089,43
26605090,29165288,23

Process Cost distribution
From,To,Count
321,462,5
463,604,17
605,746,13
747,888,13
889,1030,16
1031,1172,15
1173,1314,11
1315,1456,9
1457,1598,0
1599,1740,1

In-timetable Cycle time (s) distribution
From,To,Count
147078,251415,1
251416,355753,4
355754,460091,5
460092,564429,6
564430,668767,5
668768,773105,4
773106,877443,4
877444,981781,5
981782,1086119,37
1086120,1190457,29



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,3563299.1458907127,147078.14589071274,89305.1582531929,321.3040958272085
2,9437496.902061462,389988.8875377178,185391.72807979584,1141.5648906151453
3,1.036972949131465E7,428373.5503578186,213174.82522678375,1197.0009156412548
4,1.0778241618521214E7,440321.82345700264,209517.77107453346,1282.4491895132594
5,6706069.7948699,272992.38841176033,123707.7218747139,831.9353470524154
6,2.7785308708671093E7,1137644.881670475,1023499.4827306271,637.7900272197194
7,8056848.159181595,329650.54412698746,136190.38830947876,1075.4001623829204
8,7486184.121239662,309790.69372177124,165404.8256289959,804.2226677735646
9,1.1101697657067299E7,455957.6570672989,283730.46938085556,961.5714034981198
10,1.834613287007737E7,750281.0866603851,507898.05781006813,1351.6807117409176
11,7443733.8160710335,302180.8107018471,202130.31197547913,556.34823114872
12,1.534610184482193E7,627778.7632358074,401817.86952733994,1256.0586126380495
13,2.0330485406079292E7,831107.7326757908,737648.6190414429,522.9505615976122
14,2.230766675400281E7,912868.8284721375,692789.5321071148,1222.9834621707596
15,1.2624216164176464E7,520090.8958082199,359577.08339095116,893.4188547333083
16,1.2609004077444315E7,518914.72379398346,381718.61884760857,762.6923739102152
17,1.6215733293635845E7,663223.1605036259,502920.3712608814,891.4341791364882
18,1.016304422766614E7,421111.41163539886,289792.1717028618,732.30728602012
19,1.5506275208577156E7,633877.9829671383,396884.4757950306,1316.90166245434
20,1.8862512975523233E7,776076.9744443893,692314.6171143055,466.27692896922423
21,1.2958460435982227E7,529460.4359822273,414095.16954636574,642.0385489662489
22,2.4618951697522163E7,1008951.8682146072,903338.1603970528,587.624647208055
23,1.1299539982063055E7,464037.3249568939,351689.43334913254,625.5835634721651
24,1.2497436201097488E7,515928.19810056686,365601.6099910736,835.3524372948541
25,1.5164330083699703E7,620928.305989027,477448.3160703182,797.5944312718179
26,1.3887297932820797E7,568355.5114202499,463615.56330037117,583.4205333060688
27,2.567866676560235E7,1050749.509096384,839803.5471837521,1172.5590588556393
28,2.072488716648054E7,848364.5821490288,676259.9522955418,956.5440784427856
29,1.7687505812671185E7,721587.7581732273,530331.8624761105,1064.254579453998
30,2.532189015402484E7,1035128.6362118721,850529.7761590481,1032.0036703427631
31,2.6913648980921507E7,1102504.74209404,887670.0706775188,1195.092386914624
32,2.227014875765848E7,911438.4429695606,778133.1177120209,741.7992236389055
33,1.2371923957903624E7,509347.26957297325,419876.35044384,498.9525915649202
34,2.7032584755199194E7,1105110.2169520855,1017815.5915248394,485.5751682202021
35,2.8069138217951536E7,1154025.4832539558,1007934.9680099487,816.4370305922297
36,2.8865750441575766E7,1182863.297687769,926470.6315820217,1428.471615066793
37,2.19825280942564E7,899306.5152873993,672817.2720506191,1259.2190057595567
38,2.6976379161096334E7,1104887.042831421,875431.9820170403,1277.4897200187045
39,1.8327718899958134E7,752609.1378035545,541645.1185748577,1172.7246201660898
40,2.781373360572195E7,1138103.0782139301,973655.7801790237,918.0293138596747
41,2.6773813750508547E7,1099225.8958408833,933741.6238706112,922.0134976320796
42,2.6678238089781523E7,1093393.3631539345,944110.9478962421,833.7944232251909
43,2.1901611261495113E7,898864.5442841053,727459.6271727085,952.4902233348953
44,2.6731357584398508E7,1098830.0826747417,1021445.4346375465,430.7081630653806
45,2.6104238717229605E7,1069409.8872852325,830863.0536427498,1326.6635961810746
46,1.815269548630762E7,744221.9730186462,583283.4142520428,894.8072617093723
47,2.6690751941138268E7,1096680.532155037,980166.5758349895,648.5943834225337
48,2.6676146898351192E7,1096128.6195454597,886621.0985915661,1167.104543623659
49,2.682214760810089E7,1097673.8772189617,856896.2158668041,1341.4205445501539
50,2.656494396676922E7,1088660.0575187206,996969.4891769886,516.0736072089936
51,2.6551194842028618E7,1088983.5537884235,981850.3904693127,596.6523203492166
52,2.6013798205994606E7,1069278.205994606,900729.8578388691,937.9550291922359
53,2.652353702535534E7,1082286.3883769512,978355.5191574097,578.7842370086246
54,2.779261168238187E7,1133231.712658167,942115.7883584499,1062.6117628296215
55,2.6496393211648226E7,1083056.5707542896,938385.3907501698,806.9089683320788
56,2.6773949810497284E7,1097199.867530346,848584.2476730347,1382.1888366672727
57,2.7416100429501534E7,1122832.8863315582,871432.535487175,1396.7648778412076
58,2.65273797850585E7,1083990.007572651,975782.128023386,602.5635903702843
59,2.6521710954093456E7,1088688.737500906,858420.944186449,1280.3966015762753
60,2.6509169544822693E7,1090044.7922604084,913174.0501301289,985.551017300288
61,2.649270350684929E7,1087639.5580174923,953735.6976923943,744.3864043739108
62,2.6395582101397753E7,1080221.4971222878,880871.4454667568,1107.8242418779266
63,2.1618443736043453E7,885208.5555617809,776188.01770854,606.7073471493192
64,2.6450094221300364E7,1087036.7659285069,967938.6423406601,663.953644279639
65,2.6355906472055674E7,1078999.0087530613,879780.8958830833,1108.0377995623483
66,2.124298609329629E7,872303.3270788193,800529.451884985,399.34365951882467
67,2.7779790390592337E7,1136615.2000374794,962641.4964215755,967.5590496606297
68,2.655663004447198E7,1083953.113521099,914380.1072859764,942.93080647654
69,2.840394182155776E7,1161937.5742211342,850385.5404424667,1731.734031878577
70,2.636801702883649E7,1081832.1104393005,890381.4574611187,1066.646362557676
71,2.7773141454615593E7,1139179.8851003647,990504.0849602222,826.728762389554
72,2.6340578619934797E7,1078849.3664002419,913817.0399794579,917.8079389307235
73,2.9165281227073193E7,1190455.3615694046,992057.5208668709,1104.812733780013
74,2.6228513876192093E7,1070499.5875804424,917570.8131194115,851.6748873353005
75,2.6458131267749786E7,1079972.2416620255,1011182.1406972408,383.48180726899034
76,2.62844739206779E7,1078818.8694169521,962454.5017476082,648.0254873739349
77,2.6269864986856937E7,1078178.8176493645,899313.3402619362,993.7729450066885
78,2.6172801026331425E7,1070780.5985529423,938462.0097630024,738.2991153200469
79,2.6240753035105944E7,1077055.1855361462,942151.4133763313,753.3236733025976
80,2.6387945833518744E7,1079829.283560276,858706.7054672241,1230.6187062912516
81,2.613242885950756E7,1072504.0613775253,859141.072675705,1186.556625833776
82,2.6200910947588205E7,1079305.9198362827,841387.0304467678,1322.3046284251739
83,2.618519949297571E7,1074159.6770076752,982382.9363589287,511.7777100364367
84,2.6332041587067604E7,1076595.733241558,980882.5355005264,532.5437388062478
85,2.6418859927875996E7,1083706.7683548927,975648.2868020535,603.1781303935581
86,2.630402885885811E7,1076549.2711293697,886302.9649431705,1058.70293134186
87,2.61208619397161E7,1069502.4760653973,884746.2452719212,1027.826668572426
88,2.632407807303548E7,1081275.0058529377,967055.047867775,635.4043338139852
89,2.6018626758370638E7,1067264.435881853,985522.6908209324,455.6291588015026
90,2.6296570976569414E7,1078272.4759774208,933429.0817501545,804.9464753495324
91,2.719940970026064E7,1112529.293911457,964306.286895752,824.8867120914991
92,2.6057645271605015E7,1069128.8169283867,934906.0010449886,746.7292173359131
93,2.6044682307757378E7,1070112.1067039967,879438.7999620438,1061.2137579957644
94,2.6799358212995768E7,1100273.756816864,845901.8045713902,1416.3805157131615
95,2.5935256043848515E7,1064340.535217762,971110.1896045208,519.468441371123
96,2.6163771952946186E7,1065641.7281425,979156.5523421764,482.28942821290747
97,2.6858096332856417E7,1100227.4964475632,910799.5170068741,1054.6999089068836
98,2.5977041364309072E7,1065404.605629921,972794.6530957222,514.64681551324
99,2.596109683046651E7,1063408.121526003,881649.2204399109,1011.6705232024195
100,2.5949097830029488E7,1065376.525788784,849901.9399912357,1197.8566538148452
