Resource utilization
Resource,Utilization %
Role 1,5
SYSTEM,0
Role 4,0
Role 6,0
Role 3,109
Role 2,169
Role 5,8

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1565.9201447810601,2.430859088897705,8382.043095827103,170685.29578113556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.699556359894778,0.013504772716098361,46.566906087928345,948.2516432285308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
Amend Request for Quotation,631.2468343927891,104.3774151802063,1298.6654722690582,49868.499917030334,0.0,0.0,0.0,0.0,2.4694273079497906,0.0,195.08475732803345,195.08475732803345,3.5069268577377173,0.5798745287789239,7.214808179272546,277.0472217612797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
Analyze Purchase Requisition,388.5321575796775,241.1750099658966,539.6051075458527,81203.2209341526,0.0,0.0,0.0,0.0,3145.112900471573,0.0,32400.0,657328.5961985588,2.1585119865537634,1.3398611664772033,2.997806153032515,451.1290051897366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Analyze Quotation Comparison Map,1231.2477208065986,397.1605315208435,2038.1456809043884,123124.77208065987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.840265115592214,2.2064473973380196,11.323031560579937,684.0265115592214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1387.2499323730362,0.0,2755.9895219802856,248317.73789477348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.70694406873909,0.0,15.311052899890475,1379.542988304297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,575.4214474821091,369.7827227115631,779.6597084999084,57542.14474821091,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,3.196785819345051,2.054348459508684,4.331442824999491,319.67858193450513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1912.7649480175971,304.5708689689636,3387.6110298633575,191276.49480175972,0.0,0.0,0.0,0.0,4.600025351047516,0.0,459.0025351047516,460.0025351047516,10.626471933431095,1.6920603831609091,18.820061277018652,1062.6471933431094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,11680.267168545723,1219.2638173103333,21684.443591356277,1168026.7168545723,0.0,0.0,0.0,0.0,630.9823468875885,0.0,10338.14292883873,63098.23468875885,64.89037315858735,6.773687873946296,120.46913106309043,6489.0373158587345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,316.1641623711586,20.769436836242676,1132.4359667301178,31616.41623711586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5129351374573177,0.23077152040269638,12.582621852556864,351.2935137457318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,73884.79897821903,1319.928241968155,173233.88372421265,7388479.897821903,216.1826084947586,0.0,14731.804845571518,21618.26084947586,21326.86848177433,-86398.0,82860.0,2132686.848177433,409.2700909429129,7.332934677600861,962.4104651345147,40927.00909429129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Pay Invoice,556.6889729976654,241.69936895370483,898.3519628047943,55668.89729976654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.092716516653697,1.3427742719650269,4.990844237804413,309.2716516653697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,259.54224625110623,132.11008071899414,415.88643527030945,25954.224625110626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4419013680617019,0.7339448928833008,2.3104801959461634,144.1901368061702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,170.23882046461105,0.0,15061.952364683151,17023.882046461105,170.23882046461105,0.0,15061.952364683151,17023.882046461105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1388.1590291285515,321.6312656402588,2209.495093345642,138815.90291285515,0.0,0.0,0.0,0.0,11.351646554470062,0.0,885.403975725174,1135.1646554470062,7.71199460626973,1.7868403646681044,12.274972740809122,771.1994606269731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,25425.99388831377,138.73574829101562,52425.70459103584,2542599.388831377,0.0,0.0,0.0,0.0,8524.692539670468,0.0,40673.16267108917,852469.2539670467,141.25552160174317,0.770754157172309,291.2539143946436,14125.552160174317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11150.02617810028,274.71419525146484,40279.55707168579,624401.4659736156,0.0,0.0,0.0,0.0,269.20499346511707,0.0,12072.141276836395,15075.479634046555,61.944589878334874,1.5261899736192492,223.77531706492107,3468.897033186753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),58469.23652076721,166487.17025367022,272367.47919535637
Process Cycle Time excluding out of timetable hours (s),58468.23652076721,159912.02429168462,254004.53143763542
Process Waiting Time (s),0.0,386.4214289593697,15061.952364683151
Accumulated Process Duration (s),58469.23652076721,166490.54623374224,272367.47919535637
Cost,290.72998966508436,717.7544017834266,1308.4577098237141


Process Cycle Time (s) distribution
From,To,Count
58469,79858,4
79859,101248,6
101249,122638,8
122639,144028,16
144029,165418,20
165419,186808,15
186809,208198,6
208199,229588,12
229589,250978,9
250979,272368,4

Process Waiting Time (s) distribution
From,To,Count
0,1506,96
1507,3013,1
3014,4520,0
4521,6027,0
6028,7534,1
7535,9041,0
9042,10548,0
10549,12055,0
12056,13562,0
13563,15069,2

Accumulated Process Duration (s) distribution
From,To,Count
58469,79858,4
79859,101248,6
101249,122638,8
122639,144028,16
144029,165418,20
165419,186808,15
186809,208198,6
208199,229588,12
229589,250978,9
250979,272368,4

Process Cost distribution
From,To,Count
290,391,7
392,493,11
494,595,13
596,697,23
698,799,14
800,901,6
902,1003,13
1004,1105,6
1106,1207,3
1208,1309,4

In-timetable Cycle time (s) distribution
From,To,Count
58468,78021,5
78022,97575,6
97576,117129,7
117130,136683,17
136684,156237,15
156238,175791,14
175792,195345,11
195346,214899,7
214900,234453,8
234454,254007,10



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,156462.89668250084,156460.89668250084,0.0,573.9158243550195
2,130975.87048721313,130973.87048721313,0.0,602.90952284601
3,141883.3941617012,125241.0500216484,0.0,635.7275158842406
4,177865.72884631157,173934.48759293556,0.0,402.2910722957717
5,142877.66808629036,142875.66808629036,0.0,327.79310139417646
6,92018.29730391502,92017.29730391502,0.0,480.331843788094
7,143517.85358071327,143515.85358071327,0.0,469.75330355167387
8,147718.0746228695,115317.07462286949,0.0,540.4355209271113
9,164393.75897336006,145148.07242965698,0.0,638.9154882709186
10,228408.29816889763,222082.199021101,0.0,1031.7995860762064
11,132376.96766018867,132375.96766018867,0.0,641.303666232692
12,154930.9335103035,154928.9335103035,0.0,739.908668171035
13,153326.0358183384,153324.0358183384,0.0,822.1642932150099
14,120916.96357393265,120914.96357393265,0.0,641.1766395780775
15,157227.37245821953,136028.57272839546,0.0,756.240401588546
16,133561.1485607624,125910.77162742615,0.0,701.1396201796003
17,103093.50600934029,103092.50600934029,0.0,337.5345633586247
18,185112.47899866104,185110.47899866104,0.0,642.6702965762881
19,168760.53447437286,168758.53447437286,0.0,603.3611692931918
20,68366.19316148758,68365.19316148758,0.0,382.3026696350839
21,125918.78028225899,100081.39072704315,0.0,349.9309641268518
22,194017.7893257141,183337.01668858528,0.0,823.135507425997
23,182082.19874453545,182080.19874453545,0.0,990.8177373184097
24,234651.59246253967,234648.59246253967,0.0,1180.201994052198
25,173229.194709301,173227.194709301,0.0,701.6123481088214
26,179858.84548974037,179856.84548974037,0.0,756.2762727300325
27,270534.8604848385,244571.71297073364,0.0,1188.8333152876958
28,156160.67001986504,141470.2989988327,0.0,602.6385049740475
29,129974.57379412651,129973.57379412651,0.0,520.0128954900634
30,241081.89873957634,241078.89873957634,0.0,1289.6404245005713
31,111737.28803634644,111736.28803634644,0.0,569.5721613221698
32,231091.23856925964,231088.23856925964,0.0,1247.5817672146688
33,223226.52913451195,192089.06836986542,0.0,607.7154236608081
34,156979.76947927475,140151.05867123604,0.0,779.7039424618085
35,135831.12011742592,132546.55343413353,0.0,738.6577981034916
36,118455.51398277283,118454.51398277283,0.0,658.3389459715951
37,240706.9950890541,240703.9950890541,0.0,1055.6565546512604
38,181044.6372539997,181042.6372539997,0.0,611.4679578476483
39,232600.34945130348,200300.70435905457,0.0,931.4807095223005
40,266527.62459111214,249073.61559605598,0.0,921.8962522599433
41,102578.35894179344,97980.0453016758,0.0,373.4554751369688
42,67134.15250325203,67133.15250325203,0.0,663.3122812747956
43,151595.94763875008,151593.94763875008,0.0,525.2912635644278
44,186600.59409427643,186598.59409427643,0.0,727.2101476629576
45,152551.60256576538,152549.60256576538,0.0,628.3349512855212
46,219714.3647415638,198663.3003001213,0.0,519.4352470742331
47,130057.73559308052,122241.97605466843,0.0,670.3835812767348
48,174844.55609965324,174842.55609965324,0.0,542.7220664249526
49,187791.63177013397,187789.63177013397,0.0,527.8661345707046
50,140563.51433348656,140561.51433348656,0.0,429.01903765466477
51,166199.89952230453,166197.89952230453,0.0,737.6539024472238
52,170042.33583545685,148225.29902911186,0.0,682.5113333291478
53,82016.01265215874,72788.84372782707,0.0,290.72998966508436
54,97281.98709058762,97280.98709058762,0.0,398.6232935627301
55,155693.0097029209,155691.0097029209,0.0,755.0701590763199
56,159326.58044743538,159324.58044743538,0.0,806.2824715548093
57,189042.35646390915,189039.35646390915,0.0,1032.463954908318
58,197638.77369451523,172011.49088478088,0.0,591.883290040493
59,132999.05065631866,120777.8722987175,0.0,671.5308680401907
60,58469.23652076721,58468.23652076721,0.0,805.4865637964673
61,159049.31290340424,159047.31290340424,0.0,522.5208988957935
62,83659.4611814022,83658.4611814022,0.0,465.35861748456955
63,144861.31426858902,144859.31426858902,0.0,427.45134713252384
64,139106.70168972015,111167.0362174511,0.0,496.55775604910315
65,102282.10870671272,87857.5787730217,0.0,467.743282257186
66,242097.11912560463,241562.91032481194,0.0,1262.272062839402
67,163067.2317521572,163065.2317521572,0.0,417.4530362844467
68,229301.2585697174,229298.2585697174,0.0,944.5395089917715
69,272367.47919535637,241109.87210321426,0.0,1308.4577098237141
70,163945.84610819817,133402.82237124443,0.0,584.2829991936683
71,225488.2208750248,208781.64599704742,0.0,993.4467960079512
72,210534.72526407242,210128.03516244888,0.0,949.5712424265014
73,196020.08154320717,196018.08154320717,1961.929681777954,1010.5025024930636
74,124842.73950481415,124840.73950481415,0.0,657.5221336113083
75,209137.4570391178,209134.4570391178,0.0,1164.9940243191188
76,223758.19899845123,191356.19899845123,0.0,754.2891978277102
77,156076.5541870594,139054.08198857307,15061.952364683151,691.8424472067092
78,259336.10019350052,254004.53143763542,0.0,941.0520170900558
79,238871.2609152794,238868.2609152794,0.0,976.3570389151574
80,240168.82829403877,240165.82829403877,0.0,1049.046373407046
81,225269.0043504238,225266.0043504238,14731.804845571518,1040.1038290474148
82,216591.7882580757,216588.7882580757,6886.456003904343,964.9918224122789
83,142507.04197001457,121689.37806415558,0.0,450.601443766223
84,87230.84988951683,81719.36799764633,0.0,770.6255154212316
85,109579.96908950806,109578.96908950806,0.0,524.1729316698179
86,224998.16556334496,224995.16556334496,0.0,695.0016976449225
87,120521.71570491791,120519.71570491791,0.0,358.7672265224986
88,157796.4999396801,157794.4999396801,0.0,669.4520198120011
89,250315.31153702736,228115.23677062988,0.0,692.4030664841335
90,75782.84811425209,66903.33455204964,0.0,743.4172723902598
91,170439.6781642437,170437.6781642437,0.0,920.8952686190606
92,226105.4116256237,226102.4116256237,0.0,850.7142586231232
93,88421.93111109734,88420.93111109734,0.0,447.1353772785928
94,202915.3953924179,202912.3953924179,0.0,906.4613285912408
95,144407.41577029228,119013.44219875336,0.0,657.4632178690698
96,170927.7099533081,160836.58775925636,0.0,784.7993245893055
97,154295.84625911713,154293.84625911713,0.0,815.3310590558583
98,181556.104773283,181554.104773283,0.0,905.0683770338695
99,173220.1402053833,173218.1402053833,0.0,939.0249790204897
100,130215.05161499977,130213.05161499977,0.0,677.6369136399693
