Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,8
Role 2,11
Role 5,55

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,36512.44755487338,933.837991476059,72627.10733604431,3359145.1750483513,34830.925843189594,0.0,71257.48897147179,3204445.1775734425,851079.1304347826,3660.0,1740060.0,7.829928E7,9.341787287132176,0.15067567163043552,47.571092233392925,859.4444304161602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92
Amend Request for Quotation,30905.814666933482,138.7339551448822,72159.04776406288,2503370.988021612,30302.676608609563,0.0,71240.54471492767,2454516.8052973747,721500.7407407408,0.0,1740060.0,5.844156E7,3.350766990688438,0.7707441952493456,5.82327516078949,271.4121262457635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
Analyze Purchase Requisition,382.75255591298145,241.94037318229675,539.3573966026306,73488.49073529243,1.385848229130109,0.0,166.29906511306763,266.08285999298096,10470.625,0.0,158460.0,2010360.0,2.1187039315769516,1.3441131843460932,2.9964299811257256,406.7911548627747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Analyze Quotation Comparison Map,25043.90217949152,377.49101638793945,72380.16264390945,2504390.217949152,23905.9252228117,0.0,71328.85867977142,2390592.52228117,594713.4,0.0,1740060.0,5.947134E7,6.322094203776787,2.0753545456462437,11.27004284063975,632.2094203776787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,34942.13552391068,135.14629912376404,172107.1757621765,6324526.529827833,33567.85551014789,0.0,169982.4281730652,6075781.847336769,818508.0662983425,0.0,4060140.0,1.4814996E8,7.636084658906384,0.0,14.614841112825605,1382.1313232620555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
Approve Purchase Order for payment,22268.931530590056,60.0,166248.43428373337,2226893.1530590057,22208.931530590056,0.0,166188.43428373337,2220893.1530590057,516795.0,0.0,3898020.0,5.16795E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,67329.5855733943,0.0,229864.78820419312,6732958.55733943,67329.5855733943,0.0,229864.78820419312,6732958.55733943,1578591.6,0.0,5382300.0,1.5785916E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,16179.975645205974,0.0,68851.52646279335,1617997.5645205975,16179.975645205974,0.0,68851.52646279335,1617997.5645205975,374997.0,0.0,1577940.0,3.74997E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,69734.2967753625,369.1774206161499,171416.20093154907,6973429.677536249,69163.31565356493,0.0,170818.12992715836,6916331.565356493,1634068.2,0.0,4016880.0,1.6340682E8,3.172117343319786,2.0509856700897218,4.32512530485789,317.2117343319786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,39449.41154569864,902.4831123352051,74273.4072444439,3944941.1545698643,37667.38787414789,0.0,71255.69764780998,3766738.787414789,919922.990103705,13215.543686628342,1737393.7356271744,9.19922990103705E7,9.900131508615283,2.0714956495496963,18.64539933602015,990.0131508615283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,47801.10392026663,2872.3689048290253,184534.04665398598,4780110.392026663,35860.83959036827,0.0,166864.64047956467,3586083.959036827,1105036.8,3660.0,4308720.0,1.1050368E8,66.33480183276865,13.662546943293677,120.59611362218857,6633.480183276865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,299.0177943611145,15.56579065322876,874.7331681251526,29901.77943611145,0.0,0.0,0.0,0.0,7419.6,0.0,158460.0,741960.0,3.3224199373457166,0.17295322948031955,9.719257423612806,332.2419937345717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,302571.66347881797,28432.04027891159,609454.695895195,3.0257166347881794E7,210080.01882797718,0.0,489334.60435938835,2.1008001882797718E7,7075526.4,630480.0,1.417632E7,7.0755264E8,513.8424702824485,67.91569544739194,970.6282760871782,51384.247028244856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Pay Invoice,52302.611402485374,265.88322043418884,229828.25305604935,5230261.140248537,51736.66970671415,0.0,229199.65669369698,5173666.970671415,1221142.2,0.0,5421900.0,1.2211422E8,3.1441205320623182,1.3579458382394578,4.992965681023068,314.4120532062318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,85.63756815671921,60.0,2204.592976331711,8563.75681567192,25.637568156719208,0.0,2144.592976331711,2563.756815671921,5079.0,0.0,158460.0,507900.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,20692.55042334795,126.92715239524841,209675.99381256104,2069255.042334795,20437.767066845892,0.0,209371.0724480152,2043776.7066845894,532477.8,0.0,4845540.0,5.324778E7,1.4154630916780897,0.6917966577741835,2.328503804736667,141.54630916780897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,242127.4699345684,0.0,486490.91325974464,2.421274699345684E7,242127.4699345684,0.0,486490.91325974464,2.421274699345684E7,5641372.8,0.0,1.136622E7,5.6413728E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,41228.54528267145,506.8711075782776,164484.5752365589,4122854.528267145,39798.24612359762,0.0,163169.12383198738,3979824.612359762,975615.0,0.0,3887160.0,9.75615E7,7.946106439299055,2.8159505976570975,12.999544170167711,794.6106439299056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,97013.13884815693,22052.81311440468,206079.26518964767,9701313.884815693,63752.84347417593,0.0,165244.42472600937,6375284.347417593,2269251.0,529560.0,4802280.0,2.269251E8,184.7794187443389,83.16330133014254,288.8056906991535,18477.94187443389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,68143.24825520515,1062.7289967536926,230046.5765402317,4088594.8953123093,58682.56430243254,0.0,228833.86196947098,3520953.858145952,1584195.0,0.0,5382300.0,9.50517E7,52.559355293181206,2.0321929123666553,186.6161206987169,3153.5613175908725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),9600367.055881023,2.9479156492795724E7,3.793196707564354E7
Process Cycle Time excluding out of timetable hours (s),392107.0558810234,1207619.1026920294,1553782.5126965046
Process Waiting Time (s),255777.61160874367,1052834.2515042543,1447861.1262199879
Accumulated Process Duration (s),9600367.055881023,2.9479156492795724E7,3.793196707564354E7
Cost,361.7517525156339,861.579214106096,1344.3586157374912


Process Cycle Time (s) distribution
From,To,Count
9600367,12433527,4
12433528,15266688,2
15266689,18099849,5
18099850,20933010,11
20933011,23766171,6
23766172,26599332,9
26599333,29432493,6
29432494,32265654,0
32265655,35098815,25
35098816,37931976,32

Process Waiting Time (s) distribution
From,To,Count
255777,374985,4
374986,494194,1
494195,613403,5
613404,732612,11
732613,851821,10
851822,971030,5
971031,1090239,7
1090240,1209448,9
1209449,1328657,26
1328658,1447866,22

Accumulated Process Duration (s) distribution
From,To,Count
9600367,12433527,4
12433528,15266688,2
15266689,18099849,5
18099850,20933010,11
20933011,23766171,6
23766172,26599332,9
26599333,29432493,6
29432494,32265654,0
32265655,35098815,25
35098816,37931976,32

Process Cost distribution
From,To,Count
361,459,6
460,558,12
559,657,9
658,756,12
757,855,10
856,954,13
955,1053,10
1054,1152,5
1153,1251,15
1252,1350,8

In-timetable Cycle time (s) distribution
From,To,Count
392107,508274,4
508275,624442,2
624443,740610,5
740611,856778,11
856779,972946,6
972947,1089114,9
1089115,1205282,6
1205283,1321450,0
1321451,1437618,25
1437619,1553786,32



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9711804.958883762,398123.95888376236,255777.61160874367,791.9988851308823
2,1.5050480859607697E7,617836.2362985611,526046.6835019588,511.7652405487166
3,1.5147939262326479E7,620542.4452803135,396737.285033226,1247.8586281485027
4,2.08241959001503E7,856120.3564636707,700316.1147017479,865.9136766208543
5,2.084723469999051E7,854265.3992760181,679733.9926826954,970.4182138323785
6,9654023.783946514,394839.58178305626,275687.9833152294,662.4666897800234
7,2.4164139781211853E7,988702.508384943,893643.7533783913,531.2972132258947
8,9600367.055881023,392107.0558810234,291908.22675323486,558.4646078798505
9,3.489654572121143E7,1426969.021629095,1207383.528938055,1220.0655881457856
10,1.1752290948457956E7,479730.9484579563,330867.21330332756,830.2349701974127
11,3.7906852692174196E7,1548612.6941566467,1342653.555170536,1148.2591014888549
12,2.8612371613439083E7,1169935.8871769905,1009673.7879245281,894.2639555970828
13,2.1989346602102995E7,901588.5679035187,693647.8721158504,1156.3998508082493
14,2.8562404850908995E7,1168701.105527401,1027614.628772974,784.3571910142899
15,2.289235414580345E7,935679.3593027592,710548.1134824753,1251.4042358610363
16,1.761420354326272E7,721917.7681941986,597620.0429499149,693.2006671865782
17,3.793196707564354E7,1553782.5126965046,1319127.2943422794,1303.7265785826576
18,1.8255284125538588E7,749643.567640543,671661.9678380489,434.37488674720123
19,2.408578890771556E7,988774.6160855293,812266.1120829582,980.9265004926259
20,1.6132765258966446E7,661775.3389191628,503180.36080670357,882.2602869258986
21,1.8217776890168667E7,749294.1794111729,571554.1500813961,988.7066989421845
22,2.447274401274371E7,1004566.8684539795,786737.6508989334,1211.3619738287396
23,1.7602646863144398E7,723013.1264605522,589188.9136106968,743.968227669928
24,3.453133567172599E7,1416219.1914744377,1327649.887294054,493.9788176788224
25,2.0931969439062834E7,857543.0859689713,685210.3544635773,958.9288356939951
26,3.756149048358846E7,1543261.645576954,1417739.7349455357,698.727131597201
27,3.4683144834317684E7,1416787.8424618244,1221391.7709875107,1085.9021877275572
28,2.5791131020168066E7,1056442.041569233,922785.2936069965,742.8271956033176
29,1.747753879714918E7,712676.5999457836,640435.7399041653,401.76642107963556
30,3.7432861600783825E7,1532164.8193895817,1376971.1295669079,864.6018801040121
31,3.449875373863745E7,1412462.9674549103,1339795.2950167656,403.9765606310632
32,2.6777107892426014E7,1095809.8883273602,973132.3871080875,684.6338864194023
33,2.1778447159343243E7,893698.5042045116,677479.2354409695,1203.7508918987378
34,3.468495564717698E7,1417016.703289032,1250720.8814926147,925.4194012429979
35,2.8270870808350086E7,1157224.3472955227,1010182.3460497856,819.3170831945208
36,3.738298787752938E7,1532416.6561381817,1351957.4870159626,1003.4650519596207
37,2.0390634578623056E7,833466.2666335106,722676.9191820621,615.9345919158724
38,3.767039293269706E7,1542634.2609696388,1371547.0413854122,954.3882525920869
39,3.756471511014342E7,1538834.9911475182,1447861.1262199879,506.7015049457549
40,2.825513760648036E7,1158940.4304766655,997668.2162592411,896.4012924936084
41,2.6436411158108234E7,1083414.6543633938,990438.6037755013,516.9133543517854
42,3.4296522299916744E7,1406231.557170391,1193248.5172550678,1184.2509536597463
43,1.7361230886541367E7,711576.4978554249,625832.9788196087,477.25417957703263
44,2.031596099233246E7,834285.4061851501,732223.488515377,570.3174953632883
45,3.455138804723263E7,1412544.0552453995,1190718.6403901577,1235.1665933145414
46,3.452276861626816E7,1414232.4710390568,1282017.2223024368,736.4598647647434
47,3.5204382771650076E7,1443856.4585921764,1246027.958621502,1100.9901971167985
48,2.8158056735539198E7,1154266.3150911331,1046240.4145021439,601.4161989092828
49,2.060872217535925E7,842833.8078842163,741988.113222599,563.7834611150955
50,3.450976945311284E7,1412807.7091867924,1292210.6165463924,674.8434767140283
51,3.750538208880544E7,1537711.0513119698,1374362.1017580032,908.6803018172583
52,2.0467983332318783E7,842283.2950205803,733304.0348727703,607.023212579886
53,3.747081798150182E7,1533787.8745613098,1354734.3242385387,995.2254855341382
54,3.659783235310221E7,1501558.2920279503,1266653.1390988827,1307.8163673970432
55,3.4511793995434284E7,1413184.6926264763,1269272.8869917393,801.0808750324779
56,3.7157564676748276E7,1523868.0486199856,1339943.7317359447,1022.5821525745922
57,2.641426257559371E7,1076700.5294482708,851429.051472187,1251.996124234464
58,3.7399649290952206E7,1527798.1933560371,1287280.6613271236,1338.594365093443
59,3.521240700298309E7,1437688.345942974,1250799.259636879,1042.7059515251055
60,2.104109573914361E7,856736.5341584682,747968.5700759888,606.1949452373717
61,3.441078375466561E7,1405787.5847783089,1308512.8977582455,541.6633142775959
62,3.5221149783394575E7,1441031.8473601341,1227027.5630640984,1190.3510838018524
63,3.703636909104991E7,1516534.9390046597,1387543.1002812386,717.5602760394414
64,3.701105829924798E7,1515938.0585007668,1393974.5075850487,680.3984973841244
65,3.7039645713513374E7,1521508.8509557247,1287660.935587883,1303.2579043202927
66,2.0357541504758358E7,832499.8554811478,763036.1657481194,389.9125047630734
67,3.692992870477891E7,1515032.9080679417,1304429.8579535484,1171.0641368150707
68,2.5266126985179186E7,1039064.6283342838,868016.2538297176,951.397527677483
69,3.716460409275937E7,1524300.2383897305,1310106.5996181965,1190.2019655585289
70,3.395958979548383E7,1394314.623470068,1174612.218865633,1222.6841624286437
71,3.69745320645535E7,1516022.1704969406,1349512.4262492657,927.3939458913273
72,3.42079356425302E7,1401310.4448828697,1187424.9830460548,1188.8466155952876
73,2.0290748968261003E7,830095.8556115627,756711.1906788349,411.4397794127464
74,3.693304116180396E7,1514019.761279583,1369379.2095828056,805.2131775180499
75,2.5178513780224323E7,1032349.5395314693,889798.3749699593,793.4364599002733
76,3.725093259410024E7,1523683.6777129173,1332319.3693902493,1065.8437146412
77,3.707253918534279E7,1517997.2196109295,1349056.4791157246,942.0336577057841
78,2.3336696407053232E7,957566.8499274254,838449.0699539185,663.3149283223682
79,3.6902583844177246E7,1511949.2859811783,1426022.1892552376,477.6876159840159
80,3.417688679846215E7,1395978.246564865,1294651.9094998837,564.3273879541292
81,3.717908611832237E7,1519249.9962313175,1284196.389512539,1306.7712843086983
82,2.583701956070161E7,1058246.4318349361,873981.0955061913,1024.3577628453572
83,3.402972663718724E7,1394560.808797598,1198604.7777650356,1089.3826633161966
84,3.6949579290383816E7,1512801.8483963013,1367100.5109341145,810.5823759529327
85,3.3921642718768835E7,1389976.5477051735,1299929.9256954193,500.9191907352871
86,2.362322089265442E7,969502.9930765629,807916.9069519043,900.0227941936917
87,3.374346938231087E7,1385192.704916954,1263156.2664029598,679.9265829271742
88,3.4001923505675554E7,1393408.9756174088,1151728.966655016,1344.3586157374912
89,3.387576872637582E7,1389010.323447466,1211706.4614202976,985.2680442849796
90,3.6879382692071676E7,1508859.0649938583,1360711.8228373528,824.8404013448292
91,3.687807633167434E7,1508155.2208104134,1361282.3836472034,816.9746443231901
92,3.3937266870562315E7,1389156.3377656937,1303110.328678131,478.71606612337956
93,3.392719973181772E7,1388277.0307219028,1175601.5303311348,1185.0804611722626
94,3.663120535181308E7,1501520.544160366,1400446.4261119366,561.6902156088087
95,3.6909486171145916E7,1511798.8346590996,1349674.726505518,902.9131823155615
96,3.378541075420642E7,1387023.269557476,1153801.441417694,1296.7315165731638
97,3.362030552520347E7,1382619.9765019417,1298085.4019255638,472.2723983460002
98,3.361326076658344E7,1383224.2167675495,1272139.5814754963,618.2724502576723
99,3.360830247807288E7,1379302.4780728817,1314571.7060768604,361.7517525156339
100,3.689010067857456E7,1511546.9429473877,1271957.1941490173,1331.3499403900569
