Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,34
Role 2,56
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1640.7841889103756,58.396180152893066,6552.213485002518,129621.95092391968,0.0,0.0,0.0,0.0,34615.443037974685,0.0,169320.0,2734620.0,9.115467716168755,0.32442322307162813,36.401186027791766,720.1219495773316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
Amend Request for Quotation,637.5352085472382,153.44085812568665,1288.7841765880585,61840.91522908211,0.0,0.0,0.0,0.0,13816.701030927836,0.0,158460.0,1340220.0,3.5418622697068787,0.8524492118093703,7.1599120921558805,343.5606401615672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Analyze Purchase Requisition,392.86883270807107,241.22020292282104,535.9138975143433,70323.52105474472,0.0,0.0,0.0,0.0,6964.3575418994415,0.0,158460.0,1246620.0,2.18260462615595,1.340112238460117,2.9772994306352403,390.6862280819151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Analyze Quotation Comparison Map,1198.826209590435,361.9423897266388,2039.5179381370544,119882.6209590435,0.0,0.0,0.0,0.0,25758.0,0.0,158460.0,2575800.0,6.660145608835751,2.0107910540368823,11.330655211872525,666.0145608835751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,40348.13732758028,762.0978729724884,159057.66340231895,7948583.053533316,38967.55358923147,0.0,156602.97692799568,7676608.0570786,936813.502538071,0.0,3782700.0,1.8455226E8,7.670819677435202,0.0,17.104047709041172,1511.1514764547348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Approve Purchase Order for payment,32460.995669791697,60.0,166005.7566151619,3246099.56697917,32400.995669791697,0.0,165945.7566151619,3240099.56697917,766020.6,0.0,3811560.0,7.660206E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1557.7569457674026,0.0,9780.262573719025,155775.69457674026,1557.7569457674026,0.0,9780.262573719025,155775.69457674026,40924.8,0.0,234180.0,4092480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,78665.38102952718,449.57744574546814,167119.45586442947,7866538.102952719,78104.85756717682,0.0,166699.80041956902,7810485.756717682,1849214.4,0.0,3898020.0,1.8492144E8,3.114019235279826,2.0011386301782395,4.312422308656904,311.4019235279826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1728.3743195581437,319.7911367416382,3330.6203351020813,172837.43195581436,0.0,0.0,0.0,0.0,58751.9470825243,0.0,157898.08195614815,5875194.70825243,9.602079553100799,1.7766174263424344,18.503446306122672,960.2079553100798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,86471.26048846483,5187.208532810211,186698.32252645493,8647126.048846483,74496.2033148837,0.0,166041.0198366642,7449620.331488371,2034132.0,158460.0,4434780.0,2.034132E8,66.52809540878401,13.838947912057241,121.10314314497842,6652.809540878401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,278.0584809207916,20.272772550582886,797.8503675460815,27805.848092079163,0.0,0.0,0.0,0.0,7168.8,0.0,154860.0,716880.0,3.0895386768976856,0.22525302833980984,8.865004083845351,308.9538676897686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,267428.69447378156,13806.42115354538,604007.8374819756,2.674286944737816E7,169836.54923897027,0.0,477680.4242551327,1.6983654923897028E7,6254672.4,277440.0,1.412586E7,6.2546724E8,542.1785846378403,72.86146017975277,971.9668653726578,54217.85846378404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Pay Invoice,2043.8971539139748,250.7849624156952,10038.64535498619,204389.71539139748,1475.7867641067505,0.0,9520.211515903473,147578.67641067505,37504.8,0.0,234180.0,3750480.0,3.156168832262357,1.3932497911983066,4.956375145912171,315.6168832262357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,432.6,0.0,43260.0,43260.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,408.68710454702375,120.82611131668091,1055.647730588913,40868.71045470238,126.95645531654358,0.0,694.8481967449188,12695.645531654358,432.6,0.0,43260.0,43260.0,1.565170273502668,0.6712561739815606,2.324715440803104,156.5170273502668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,206942.9779041815,0.0,481562.38165044785,2.0694297790418148E7,206942.9779041815,0.0,481562.38165044785,2.0694297790418148E7,4866143.4,0.0,1.134456E7,4.8661434E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58826.80726185322,627.4996867179871,168715.6745364666,5882680.726185322,57425.41435784578,0.0,167277.05145287514,5742541.435784578,1370040.0,0.0,3988080.0,1.37004E8,7.785516133374637,1.1724200328191121,15.473334846231673,778.5516133374637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,121559.35185972214,23389.964343309402,213274.01841545105,1.2155935185972214E7,88539.83720360279,0.0,165667.44802117348,8853983.72036028,2850924.0,536760.0,5126460.0,2.850924E8,183.4417480895519,79.39242318736183,287.1415153198772,18344.17480895519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11146.934232473373,1024.8297953605652,49273.274629592896,557346.7116236687,1115.3614072942735,0.0,8949.117865085602,55768.07036471367,231303.6,0.0,1160040.0,1.156518E7,55.7309601398839,0.5169739868905809,270.9049195567767,2786.548006994195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7210049.555598497,2.3123817577507798E7,2.9877422044402838E7
Process Cycle Time excluding out of timetable hours (s),296938.9259631634,947308.2304252672,1222262.0444028378
Process Waiting Time (s),171157.93464446068,788231.0966960764,1049800.2618973255
Accumulated Process Duration (s),7210049.555598497,2.3123817577507798E7,2.9877422044402838E7
Cost,311.165495080418,885.3084161287943,1465.4707052985825


Process Cycle Time (s) distribution
From,To,Count
7210049,9476786,7
9476787,11743524,3
11743525,14010262,3
14010263,16277000,7
16277001,18543738,6
18543739,20810476,0
20810477,23077214,6
23077215,25343952,3
25343953,27610690,50
27610691,29877428,15

Process Waiting Time (s) distribution
From,To,Count
171157,259021,10
259022,346886,0
346887,434751,4
434752,522616,7
522617,610481,4
610482,698346,1
698347,786211,5
786212,874076,4
874077,961941,36
961942,1049806,29

Accumulated Process Duration (s) distribution
From,To,Count
7210049,9476786,7
9476787,11743524,3
11743525,14010262,3
14010263,16277000,7
16277001,18543738,6
18543739,20810476,0
20810477,23077214,6
23077215,25343952,3
25343953,27610690,50
27610691,29877428,15

Process Cost distribution
From,To,Count
311,426,5
427,542,10
543,658,9
659,774,10
775,890,15
891,1006,13
1007,1122,13
1123,1238,15
1239,1354,8
1355,1470,2

In-timetable Cycle time (s) distribution
From,To,Count
296938,389470,7
389471,482003,3
482004,574536,3
574537,667069,7
667070,759602,6
759603,852135,0
852136,944668,7
944669,1037201,2
1037202,1129734,50
1129735,1222267,15



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0004369694266796E7,413248.6942667961,196331.95185112953,1206.0564681609467
2,1.030235219203949E7,422671.1162352562,208308.40358304977,1194.1360396345456
3,8473733.159840584,348109.2805967331,196495.7798986435,843.6295774737996
4,1.842928670563364E7,756416.5476675034,493040.2846081257,1465.4707052985825
5,8528445.186685085,351569.3476572037,171157.93464446068,1002.5649753226174
6,9382488.977387905,387421.01280641556,202523.14774036407,1028.4318058808644
7,7210049.555598497,296938.9259631634,192564.6409277916,580.2143754959108
8,1.142671323682928E7,467438.1179432869,226325.85280632973,1341.2241488668653
9,8636799.89893055,354399.8989305496,205316.57613635063,828.9400437924597
10,7511522.465791225,305434.8462154865,249543.79629921913,311.165495080418
11,1.6571041496800661E7,678675.3181157112,472298.13835573196,1150.9723895973627
12,2.7945974728468895E7,1140907.1219069958,980536.0768604279,892.2697501063348
13,2.232758001672268E7,915118.9050443172,787248.1290740967,712.096152162552
14,1.4054274520219803E7,574401.4646282196,405947.7265865803,939.3233072439831
15,2.790640229695773E7,1143407.0846209526,1011293.1493282318,734.4857865254085
16,1.4241149582232475E7,584049.1143226624,480438.6093144417,577.7983637809755
17,9387537.952418089,384648.4210577011,237929.20687508583,816.5175704254046
18,2.2256358922297955E7,914130.5228421688,792583.4410498142,676.7686506430309
19,1.2827632608510494E7,527554.0463166237,415046.94535946846,626.0855492247476
20,1.3970389104758263E7,574782.4187803268,367829.68487524986,1151.6608872705035
21,1.495197451570797E7,613594.5157079697,411635.7814440727,1123.3285637484655
22,2.2409488722100973E7,918003.0211479664,769204.9261438847,829.1379666659568
23,2.9002188532429457E7,1187780.5289945602,1004260.7657527924,1019.7361870474286
24,1.5522214151743412E7,640718.0273091793,461976.19580721855,995.4651628931365
25,2.7765829375344276E7,1135883.420482874,921285.2733857632,1193.4762522710691
26,1.267757394138813E7,518871.69460487366,447182.1823248863,398.6461024178398
27,1.5295584681039095E7,625556.0527522564,515778.38075208664,612.0563738253381
28,1.6591290649440765E7,677948.9370760918,524476.298525095,853.7654561228223
29,2.2524345440743446E7,918505.5530283451,731584.9668917656,1042.3453997068934
30,2.779705058128357E7,1139864.6170732975,897445.7845196724,1347.262446659141
31,2.310117810348034E7,943303.6456418037,785619.2208352089,876.7024908489652
32,2.689137677438712E7,1098115.1035718918,947719.7729866505,836.9415325535668
33,2.7651251595148087E7,1129851.3871908188,928547.1338875294,1118.9717520064776
34,2.6430565764577866E7,1083230.7702450752,918023.1630115509,918.1668293701279
35,1.6392775578005552E7,671173.2098596096,536022.1808726788,752.1786324911649
36,2.644647785054183E7,1083902.2274916172,942583.8751678467,785.2980992423163
37,1.4728080427240133E7,605291.4357786179,513797.6417295933,508.6403300444285
38,2.8447908143735647E7,1167915.2127029896,994686.922614336,966.569786738025
39,2.195546263124895E7,900419.2476933002,698767.463937521,1120.8097397645313
40,2.678704792658329E7,1098675.4337706566,1000919.7111861706,543.5135102113089
41,1.4677114901843071E7,603135.1517808437,524136.66255545616,440.78913935290444
42,2.152545004281807E7,883568.1767249107,728803.8903253078,860.353142868148
43,2.666316920095277E7,1092524.675833702,1021278.9897444248,396.82287334468623
44,2.8544213163446188E7,1171780.70435071,997825.3043560982,967.5094802154435
45,1.7646679742567062E7,728634.9837956429,589653.2152774334,773.8102392991384
46,2.489031820484233E7,1026021.4156286716,800774.4422206879,1252.5372926897471
47,2.7501386129581213E7,1125734.0651040077,880361.8847100735,1364.2994153552584
48,2.628045650296426E7,1078760.0699028969,862921.3627634048,1199.857690764798
49,2.6049717820637465E7,1067331.577172041,879176.022923708,1046.728724234634
50,2.746090539015889E7,1127118.6632573605,892101.4007453918,1308.2165399962003
51,2.7399826463721514E7,1123290.7147729397,955447.75364995,933.2389165931278
52,1.7548693927069902E7,724453.9270699024,639009.9446980953,475.96931990120146
53,2.7816270311818838E7,1139121.2476353645,896945.371360302,1345.6514919996262
54,2.619737896782565E7,1072570.505538702,952033.001386404,671.2378802206782
55,2.3369650381932497E7,953530.3465979099,886613.6674365997,376.08671653668074
56,2.7430773008154392E7,1123349.6668701172,883044.0122699738,1337.011452847057
57,2.767493862579012E7,1129310.3279130459,968272.7740933895,896.8822082002957
58,2.7304213365944386E7,1118406.6507370472,1022841.7281615734,531.3660369091564
59,2.668224562582922E7,1090405.2900185585,933794.4662044048,870.445600367917
60,2.7276221383800745E7,1118398.9798212051,935132.9282054901,1018.8255664216148
61,2.7262321373785257E7,1118485.8564248085,987845.0513107777,727.0961017714606
62,2.750711469133711E7,1128733.8772625923,918219.5574874878,1171.6775399459732
63,2.7594066489352226E7,1132427.19626832,985379.6262235641,817.6016875823339
64,2.7219638220750093E7,1117866.454518795,1015865.9945323467,567.1912718269563
65,2.7205187259407043E7,1113891.036784649,968861.6362533569,806.2162926634154
66,2.7189187098819733E7,1111948.2747967243,921016.8499634266,1063.4836281259854
67,2.7176367652134895E7,1113111.22890234,990748.2084386349,681.387120804522
68,2.7000562993635893E7,1106258.3076717854,1005467.2821335793,563.6748754991426
69,2.7799679974519014E7,1137524.6774122715,951628.4391543865,1036.954035788112
70,2.7180087287451506E7,1111882.5999469757,963992.1007521152,823.4694700704681
71,2.8085040018418312E7,1148205.6892313957,1015457.008831501,740.3383503741688
72,2.7107067635937452E7,1106521.742468834,904578.5845615864,1123.6428906612923
73,2.7091572099246502E7,1105061.2035691738,1010742.9858086109,526.1247734268507
74,2.7123861230612755E7,1108116.6413872242,889014.1350653172,1218.3621163712605
75,2.7064599608639E7,1106141.5262582302,1013414.8486762047,517.089404671722
76,2.7095853190762043E7,1108103.6841294765,1049800.2618973255,325.2218173053529
77,2.7688592696606636E7,1134853.714268446,981091.8438136578,855.4218921171295
78,2.702256736934185E7,1106079.2599442005,941773.506196022,913.8155403865709
79,2.7053805207797527E7,1108089.5038456917,1016555.7888309956,509.3269249081611
80,2.7353974797993183E7,1119667.131064415,932906.3329780102,1039.5020247684586
81,2.724132762080455E7,1118265.9960989952,891964.8383495808,1257.5892679373421
82,2.6966358458557367E7,1105951.9304130077,896161.8315558434,1166.6682833936477
83,2.6952269305821657E7,1102345.3618307114,967972.637219429,747.7581590705448
84,2.693714779463768E7,1101186.1259860992,1021240.8099730015,447.72947911156547
85,2.6924002877665997E7,1101947.2617456913,892662.7927894592,1163.3451601041686
86,2.6912299614813805E7,1104143.0062847137,919740.9259040356,1025.2101956036356
87,2.6898111100788116E7,1103965.0043404102,1002514.2292199135,566.6607454379401
88,2.6883802571733236E7,1103669.9121701717,940490.5411784649,908.452584388521
89,2.686927195018816E7,1103115.523959875,932151.2693150043,952.5011387705804
90,2.9877422044402838E7,1222262.0444028378,990091.3007440567,1289.9500912851756
91,2.7200667456162453E7,1113148.5301439762,995058.9598002434,657.5640692326758
92,2.8082499587872982E7,1151485.310400486,956979.8455414772,1081.5013892107538
93,2.681186083343196E7,1098135.6017148495,886027.5009424686,1180.750008225441
94,2.679835354008603E7,1098654.0355539322,888955.0003232956,1165.57377491792
95,2.6785804966828585E7,1100044.1951122284,1018471.0274839401,456.558289179537
96,2.6772050643191338E7,1093272.5612351894,889991.6274197102,1130.2421977361041
97,2.6757068677110434E7,1092287.0414252281,953176.9644670486,775.844024113814
98,2.6743595358986855E7,1092862.0893559456,1000925.7844791412,512.9193984919124
99,2.67281035237844E7,1091349.704858303,903652.4529268742,1044.8746970613795
100,2.671520207710409E7,1092388.8107702732,916073.346026659,981.0865158028072
