Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,38
Role 2,52
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1354.9368334419125,24.34570050239563,8511.655612945557,123299.25184321404,0.0,0.0,0.0,0.0,29335.384615384617,0.0,154860.0,2669520.0,7.527426852455067,0.13525389167997573,47.286975627475314,684.9958435734111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
Amend Request for Quotation,279.50802838223655,0.0,817.3486173152924,28789.32692337036,0.0,0.0,0.0,0.0,3881.9417475728155,0.0,158460.0,399840.0,1.5528223799013139,0.0,4.540825651751624,159.94070512983532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
Analyze Purchase Requisition,389.19086089558624,240.74380111694336,539.6762495040894,74335.45443105698,0.0,0.0,0.0,0.0,9412.146596858638,0.0,158460.0,1797720.0,2.162171449419923,1.3374655617607965,2.9982013861338297,412.9747468392053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Analyze Quotation Comparison Map,1184.898432970047,428.83381700515747,2019.4747858047485,118489.8432970047,0.0,0.0,0.0,0.0,27346.8,0.0,158460.0,2734680.0,6.582769072055816,2.382410094473097,11.219304365581936,658.2769072055817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41022.95583397884,0.0,144126.90555167198,8327660.034297705,39568.72803901569,0.0,142502.82003331184,8032451.791920185,953579.4088669951,0.0,3386400.0,1.9357662E8,8.080906723853213,0.0,16.35198305050532,1640.424064942202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
Approve Purchase Order for payment,32085.456128468515,60.0,145575.54767680168,3208545.6128468513,32025.456128468515,0.0,145515.54767680168,3202545.6128468513,758488.8,0.0,3436860.0,7.584888E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,722.7497801470756,0.0,6368.191311836243,72274.97801470757,722.7497801470756,0.0,6368.191311836243,72274.97801470757,21251.4,0.0,252120.0,2125140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,75864.1907525444,423.74677753448486,147004.81786942482,7586419.07525444,75277.25196514367,0.0,146263.50494790077,7527725.196514368,1775541.6,0.0,3480120.0,1.7755416E8,3.2607710411151265,2.1243867291344536,4.297177427344852,326.07710411151265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1836.1128490424155,317.72335624694824,3403.6673164367676,183611.28490424156,0.0,0.0,0.0,0.0,59092.42280776978,788.2448527812958,157227.97233772278,5909242.280776978,10.20062693912453,1.7651297569274902,18.909262869093155,1020.062693912453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,85526.41003386497,4324.933550357819,164203.02789664268,8552641.003386497,73046.76008469105,0.0,143275.43367385864,7304676.008469105,2001100.2,158460.0,3854820.0,2.0011002E8,69.33138860652186,16.31474627388848,121.28208209938474,6933.138860652185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,309.7765332865715,9.86847448348999,1318.479611158371,30977.65332865715,0.0,0.0,0.0,0.0,7027.8,0.0,97260.0,702780.0,3.4419614809619055,0.10964971648322211,14.649773457315233,344.19614809619054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,222834.26446440458,14546.736228704453,526561.6708137989,2.228342644644046E7,137574.1426819563,0.0,403305.1481080055,1.375741426819563E7,5210207.4,277440.0,1.238574E7,5.2102074E8,473.6673432358239,72.2508453461859,960.6593481885062,47366.734323582394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Pay Invoice,1591.9623079848288,243.59117007255554,6695.120189666748,159196.2307984829,1021.147334523201,0.0,6167.77254152298,102114.7334523201,53345.4,0.0,252120.0,5334540.0,3.171194297009044,1.3507726735538907,4.8991798202196755,317.1194297009044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,432.6,0.0,43260.0,43260.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,390.84263001441957,128.27856492996216,943.08704662323,39084.263001441956,126.64841897249222,0.0,650.6210906505585,12664.841897249222,4611.0,0.0,97260.0,461100.0,1.4677456168995955,0.7126586940553453,2.331763962904612,146.77456168995954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,173345.63612780094,0.0,399997.7055258751,1.7334563612780094E7,173345.63612780094,0.0,399997.7055258751,1.7334563612780094E7,4028707.2,0.0,9352380.0,4.0287072E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56940.04673152923,1072.624566078186,145590.6481575966,5694004.673152924,55517.301062362196,0.0,144342.3096921444,5551730.106236219,1333110.6,0.0,3408060.0,1.3331106E8,7.904142606483568,2.245434908072154,13.48192491001553,790.4142606483567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,119883.88648146152,23726.818002700806,196310.64968705177,1.1988388648146152E7,86469.91350612402,0.0,148504.50884342194,8646991.350612402,2815254.6,580020.0,4636500.0,2.8152546E8,185.6331831963194,79.6737260778745,292.04022197458477,18563.31831963194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,14071.342197787528,249.24702501296997,55662.224568128586,717638.4520871639,534.91635890568,0.0,4353.846698760986,27280.734304189682,356998.82352941175,0.0,1412160.0,1.820694E7,75.20236577156582,1.3847056945165,298.85476634899777,3835.3206543498573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4155427.0958940983,2.1127307200577855E7,2.7957976044894934E7
Process Cycle Time excluding out of timetable hours (s),167347.09589409828,865282.9777700853,1144053.7325160503
Process Waiting Time (s),94440.68165755272,715724.3323524332,984914.6264343262
Accumulated Process Duration (s),4155427.0958940983,2.1127317681257114E7,2.7957976044894934E7
Cost,240.3490692271127,832.6643529073267,1406.4809436321257


Process Cycle Time (s) distribution
From,To,Count
4155427,6535681,2
6535682,8915936,4
8915937,11296191,6
11296192,13676446,4
13676447,16056701,4
16056702,18436956,7
18436957,20817211,9
20817212,23197466,4
23197467,25577721,46
25577722,27957976,14

Process Waiting Time (s) distribution
From,To,Count
94440,183487,6
183488,272535,3
272536,361583,2
361584,450631,4
450632,539679,5
539680,628727,9
628728,717775,8
717776,806823,10
806824,895871,32
895872,984919,21

Accumulated Process Duration (s) distribution
From,To,Count
4155427,6535681,2
6535682,8915936,4
8915937,11296191,6
11296192,13676446,4
13676447,16056701,4
16056702,18436956,7
18436957,20817211,9
20817212,23197466,4
23197467,25577721,46
25577722,27957976,14

Process Cost distribution
From,To,Count
240,356,5
357,473,8
474,590,16
591,707,11
708,824,8
825,941,13
942,1058,10
1059,1175,16
1176,1292,7
1293,1409,6

In-timetable Cycle time (s) distribution
From,To,Count
167347,265017,2
265018,362688,4
362689,460359,6
460360,558030,4
558031,655701,4
655702,753372,7
753373,851043,9
851044,948714,4
948715,1046385,46
1046386,1144056,14



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0004174894505262E7,413053.8945052624,166337.58605766296,1372.8781836046112
2,7569283.88238883,312205.6573803425,210695.31438326836,565.3376798682743
3,4239716.233041763,174249.29654741287,94440.68165755272,444.3585070199436
4,7496609.456970453,307314.62810206413,174302.6225399971,739.0104113141696
5,8948701.109012127,364817.2699429989,178700.78717160225,1035.7230055875245
6,1.213680120050621E7,497476.5549776554,377807.35604953766,666.1245028575261
7,7712537.7632808685,316694.96142077446,202109.88687610626,638.7007400340507
8,8144422.531236649,337384.99546432495,168570.53770589828,939.9261823601192
9,4155427.0958940983,167347.09589409828,110836.10499048233,314.0823797133233
10,1.6585544725310087E7,679165.505644083,604713.859454155,414.2519456585248
11,2.580055898914647E7,1053051.0766704082,973710.7421433926,442.34149070050967
12,9556451.921646357,386247.07272815704,239306.37578320503,817.0218673401411
13,1.135876161283207E7,462484.95698714256,384923.06381058693,431.79675692319864
14,1.824139660256481E7,744742.6213850975,544253.573227644,1117.1230678836503
15,2.5317238292657375E7,1036523.8096289635,873202.3230338097,908.0578077660667
16,1.2872929513168812E7,530742.4649112225,344127.2822749615,1039.7178547620772
17,2.5717579889905453E7,1054167.9703183174,864728.6720509529,1053.8395407915114
18,1.7680578775012255E7,726193.6152648926,546972.1335737705,995.902181055811
19,1.0753394511132002E7,445397.93459510803,289119.40623641014,868.6649772259925
20,2.601905464592743E7,1066054.0083155632,813602.136343956,1406.4809436321257
21,1.0988401074435234E7,454321.07443523407,382574.8032143116,400.24970475170346
22,1.5153829056075335E7,622368.7919566631,483118.50327038765,774.7866705947453
23,1.4240902352458954E7,580940.838701725,464962.9647684097,648.1170578320821
24,1.089179285675931E7,448498.1095187664,375416.9764201641,409.1645903905232
25,2.4393698169341803E7,995079.6207566261,879998.732542038,641.1399072792796
26,2.3011850603293896E7,942078.1589920521,755857.0374829769,1036.7087649318908
27,2.592312211835718E7,1061008.8527362347,877213.7815568447,1022.5636831654443
28,2.4453311141641617E7,999430.1318976879,779883.1999359131,1221.5950847758186
29,1.868393623958206E7,763348.8499848843,672006.1131050587,509.2921709087159
30,1.767379913546872E7,721922.9734802246,571569.7748861313,841.4882753610613
31,1.8363656367751837E7,748569.2062923908,617391.8051724434,729.269408106804
32,2.560693772172618E7,1045608.5684170723,948651.1988370419,540.3129252062905
33,1.983729810785222E7,812804.9013004303,580816.8247759342,1291.6325760033394
34,1.882633457905364E7,770543.2469673157,586894.679194212,1020.6541975365745
35,1.442027948334694E7,593462.835875988,480411.2953708172,628.6059347735512
36,2.1610521639140844E7,887939.5376212597,779657.6663646698,603.4139264941215
37,1.878326642146802E7,769526.5371477604,554896.9282457829,1192.8109359794191
38,1.3427026547536135E7,550192.0723333359,450681.7943060398,554.9603861888248
39,1.7892923116475344E7,735706.5769999027,630534.2865154743,589.3076449606153
40,2.557113960276699E7,1046197.4991664886,817158.4439539909,1275.6512092351911
41,2.5379826327715397E7,1038288.2652311325,877858.4667768478,898.6015448080169
42,1.82837432280581E7,747114.4306147099,644098.5348894596,573.6715825094117
43,2.3712993135881186E7,970241.8737235069,852707.2929992676,654.4956554690997
44,1.4022344078215837E7,573974.4339570999,529695.7521338463,246.97099517716305
45,2.0273813574602127E7,833899.9421112537,625800.1156630516,1158.9834562804963
46,2.2463868367756844E7,923246.5966656208,714405.0552997589,1162.9959524022206
47,2.5472158843042374E7,1041941.9303717613,835237.734900713,1153.6046708212957
48,2.4071248706977367E7,984356.2775342464,780857.5577697754,1133.1518300824694
49,2.5267624705349922E7,1034615.9077806473,942208.3081309795,515.3016083584891
50,2.54307885764699E7,1042407.9855873585,932130.8378310204,615.3726681802009
51,2.5422799149242878E7,1044772.868313551,837212.0381572247,1154.0748827656107
52,2.5328954450262785E7,1040174.450262785,831062.5531318188,1163.4296115226214
53,2.1080594407580614E7,859314.4277234077,718136.8942654133,786.380749470658
54,2.519920183603406E7,1029041.1044704914,805675.9440083504,1242.2921901345253
55,1.958290744928837E7,801835.1079993248,706915.6258134842,528.7731735693086
56,1.9827957593705893E7,808779.4025874138,711398.1127562523,542.4667320397166
57,2.5256414065690994E7,1030992.1920490265,944556.0165872574,481.00529465807807
58,2.5142261424996138E7,1028034.071262598,984914.6264343262,240.3490692271127
59,2.3497441693213224E7,964331.9095849991,797902.7948083878,926.1007116370732
60,1.9413776855051517E7,796440.3515746593,681261.1627833843,643.7222802042962
61,2.5546473096090794E7,1049145.6180872917,918821.2719004154,726.1580211930806
62,1.8824593253092527E7,771921.2152905464,661184.4053750038,615.8437103019821
63,2.7063730637668848E7,1110172.7252707481,927201.1180734634,1017.7233945912785
64,2.5058943495640993E7,1028755.2507882118,954767.3146133423,413.4780227157804
65,2.521925183541441E7,1030238.5861270428,796861.5055201054,1297.130005000697
66,2.4872611262957573E7,1021791.9332482815,927062.4903948307,527.0473037984636
67,2.51184955926733E7,1029588.8209860325,977696.3207008839,289.5313272436459
68,2.5002938444152832E7,1021794.846944809,853868.6118810177,936.726200381915
69,2.5164172571623087E7,1027682.3963935375,964814.1250581741,351.90064470900427
70,2.5755597026435852E7,1053182.6534290314,815100.1133627892,1322.9075835982958
71,2.5957606544564724E7,1063830.7290697098,893869.3212108612,944.7322742581368
72,2.7366986801808596E7,1118280.1786429882,891074.2020061016,1264.114351887173
73,2.4933221148020267E7,1018663.6237022877,926878.0187869072,512.3215049862861
74,2.5366097906533718E7,1040395.3408815861,893674.1537761688,816.0189023905331
75,2.6215286435997725E7,1071389.3506860733,875425.6245963573,1092.0757338523865
76,2.5068017506703854E7,1026078.4775164127,937660.027577877,491.49218060043114
77,2.5054497826550722E7,1026583.9428415298,820112.0888078213,1148.0508964035246
78,2.4861158784888744E7,1016590.8603360653,813605.5467853546,1128.1614940457873
79,2.645045399830079E7,1085077.2400665283,890742.748234272,1079.8876604053708
80,2.7957976044894934E7,1144053.7325160503,946573.6979234219,1100.3071235497794
81,2.5164701996818542E7,1030720.6978464127,832421.2463726997,1103.3996141605908
82,2.4981462136291265E7,1023605.7958776951,812446.2727060318,1174.7192741248339
83,2.634743264397478E7,1077913.4450080395,921182.901971817,872.7310031056405
84,2.496093312788248E7,1023887.8072068691,923347.7444782257,559.261625734965
85,2.4941606901065826E7,1022216.4613978863,868487.1607444286,854.1450473560228
86,2.4932327970051765E7,1023313.0581791401,862801.6681935787,895.0554492473605
87,2.4837298474054575E7,1018009.8549864292,923429.5847427845,526.0101564102703
88,2.5113774971014738E7,1031016.4826755524,799540.1915802956,1286.6843340251178
89,2.4885356101566553E7,1021989.6551582813,825238.5332303047,1093.4562130398217
90,2.5139080523074627E7,1030360.8011293411,928424.6404144764,569.8142384661569
91,2.4858048430220366E7,1019152.6722102165,868962.1293485165,836.4334971388182
92,2.5112164371740818E7,1031447.0078492165,921099.3444395065,613.5467697156802
93,2.5255849069444656E7,1034317.8236765862,851877.8080358505,1014.1712172442013
94,2.46382351305573E7,1010761.309766531,930280.9166522026,448.62390635278484
95,2.643801697816491E7,1084493.165760994,836750.501380682,1378.9260701325202
96,2.4793920493934393E7,1014332.5215966702,814173.8032433987,1115.9475919206939
97,2.4943003056711912E7,1018933.3762283325,871930.3699703217,819.9370003567802
98,2.4765158627499342E7,1013574.9105467796,770215.5801053047,1352.4573375556201
99,2.4669700627111435E7,1007821.4733378887,856770.8543615341,839.9969706402886
100,2.4898629762783766E7,1016544.6290733814,859866.5962619781,870.699898197916
