Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,41
Role 2,59
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1594.7836776962718,0.8743364810943604,9077.783128499985,208916.6617782116,0.0,0.0,0.0,0.0,36221.2213740458,0.0,205320.0,4744980.0,8.859909320534841,0.0048574248949686686,50.43212849166658,1160.6481209900642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131
Amend Request for Quotation,611.8252484299416,58.12204122543335,1240.6031267642975,52616.971364974976,0.0,0.0,0.0,0.0,18011.86046511628,0.0,158460.0,1549020.0,3.39902915794412,0.3229002290301853,6.8922395931349865,292.3165075831943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
Analyze Purchase Requisition,391.16463609072036,242.7420437335968,536.3601143360138,90359.0309369564,0.0,0.0,0.0,0.0,6193.2467532467535,0.0,158460.0,1430640.0,2.1731368671706677,1.3485669096310933,2.9797784129778546,501.99461631642424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
Analyze Quotation Comparison Map,1186.9874181222915,391.23543977737427,2026.775863647461,118698.74181222916,0.0,0.0,0.0,0.0,28243.2,0.0,158460.0,2824320.0,6.594374545123844,2.1735302209854126,11.25986590915256,659.4374545123844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,44478.615510582924,518.4887177944183,154414.64673876762,8273022.484968424,43114.444665799856,0.0,152988.4941265583,8019286.707838774,1041094.5161290322,0.0,3685440.0,1.9364358E8,7.57872691546147,1.444621217250824,15.16285547150506,1409.6432062758333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
Approve Purchase Order for payment,39286.332077903746,60.0,147848.4994342327,3928633.2077903748,39226.332077903746,0.0,147788.4994342327,3922633.2077903748,915676.2,0.0,3480120.0,9.156762E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,550.8799094033242,0.0,5737.59162902832,55087.99094033241,550.8799094033242,0.0,5737.59162902832,55087.99094033241,14773.8,0.0,154860.0,1477380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,81041.98291967153,413.7107059955597,149012.92689061165,8104198.291967154,80489.65434149027,0.0,148409.47780299187,8048965.434149027,1895152.8,0.0,3480120.0,1.8951528E8,3.068492101007038,2.0249250504705643,4.305285452471839,306.8492101007038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1865.1657734632493,309.0165469646454,3381.332317829132,186516.57734632492,0.0,0.0,0.0,0.0,58943.436937596794,0.0,157524.5422642231,5894343.69375968,10.362032074795835,1.71675859424803,18.78517954349518,1036.2032074795834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,87670.70836750031,2490.7426795959473,158873.8580982685,8767070.83675003,75767.155280931,0.0,149326.3595471382,7576715.5280931,2050032.0,3660.0,3804300.0,2.050032E8,66.13085048094061,13.191836171680027,120.8331072807312,6613.085048094061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,263.8673114681244,9.920822381973267,904.0166521072388,26386.73114681244,0.0,0.0,0.0,0.0,3928.2,0.0,97260.0,392820.0,2.931859016312492,0.11023135979970296,10.044629467858208,293.1859016312492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,221027.38528161048,19213.040336370468,531687.9985392094,2.210273852816105E7,132369.13470469712,0.0,383492.88983535767,1.3236913470469713E7,5183931.0,482760.0,1.23858E7,5.183931E8,492.54583653840746,70.81981727149751,973.3955858482254,49254.583653840746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
Pay Invoice,1542.9077901625633,271.08415722846985,6035.413290739059,154290.77901625633,962.8818960428238,0.0,5302.321611166,96288.18960428238,28461.6,0.0,205320.0,2846160.0,3.222366078442998,1.3676347970962524,4.8837890174653795,322.2366078442998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,2125.8,0.0,158460.0,212580.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,476.81493255615237,127.8984215259552,4003.741075515747,47681.493255615234,206.09914376020433,0.0,3793.6739768981934,20609.91437602043,13408.2,0.0,154860.0,1340820.0,1.5039766044219334,0.6827767252922058,2.316120994091034,150.39766044219334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,147751.41207566738,0.0,376147.71305823326,1.4775141207566738E7,147751.41207566738,0.0,376147.71305823326,1.4775141207566738E7,3454139.4,0.0,8869620.0,3.4541394E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,61835.717776649,1107.716579914093,152241.39010548592,6183571.7776649,60434.86194008112,0.0,150999.80653357506,6043486.194008112,1437700.8,0.0,3530580.0,1.4377008E8,7.782532425377107,1.5247457689709134,13.398234352800582,778.2532425377107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,124994.30812782049,24077.094693660736,197837.49246001244,1.249943081278205E7,89150.96516320467,0.0,152141.95023488998,8915096.516320467,2926615.2,580020.0,4640160.0,2.9266152E8,199.12968313675464,80.20983649227354,292.46579568650986,19912.968313675465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11591.051046580684,591.3257169723511,42244.90443301201,567961.5012824535,591.3809298203915,0.0,4810.285760879517,28977.66556119919,266744.0816326531,0.0,958320.0,1.307046E7,61.10927842644605,1.061944760216607,234.69391351673337,2994.3546428958566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6476517.906377792,2.1019001673202906E7,2.8731596279845E7
Process Cycle Time excluding out of timetable hours (s),265617.90637779236,861483.2362653088,1177642.8997075558
Process Waiting Time (s),169722.20206165314,707392.0202671814,957865.4652144909
Accumulated Process Duration (s),6476517.906377792,2.1019001673202906E7,2.8731596279845E7
Cost,327.27754771709436,857.5282406088643,1460.5635056204262


Process Cycle Time (s) distribution
From,To,Count
6476517,8702024,4
8702025,10927532,9
10927533,13153040,4
13153041,15378548,3
15378549,17604056,5
17604057,19829564,5
19829565,22055072,5
22055073,24280580,9
24280581,26506088,53
26506089,28731596,3

Process Waiting Time (s) distribution
From,To,Count
169722,248536,9
248537,327351,5
327352,406166,5
406167,484981,1
484982,563796,7
563797,642611,4
642612,721426,3
721427,800241,9
800242,879056,27
879057,957871,30

Accumulated Process Duration (s) distribution
From,To,Count
6476517,8702024,4
8702025,10927532,9
10927533,13153040,4
13153041,15378548,3
15378549,17604056,5
17604057,19829564,5
19829565,22055072,5
22055073,24280580,9
24280581,26506088,53
26506089,28731596,3

Process Cost distribution
From,To,Count
327,440,6
441,554,8
555,668,13
669,782,12
783,896,17
897,1010,15
1011,1124,12
1125,1238,10
1239,1352,4
1353,1466,3

In-timetable Cycle time (s) distribution
From,To,Count
265617,356819,4
356820,448022,10
448023,539225,3
539226,630428,3
630429,721631,5
721632,812834,5
812835,904037,5
904038,995240,9
995241,1086443,53
1086444,1177646,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7583295.676663399,312254.67666339874,180393.99624609947,733.0063734875785
2,8174487.129276276,337351.33412480354,185260.30624604225,846.0552812112703
3,9929686.514986277,409794.8025627136,205035.29913830757,1138.5160128778878
4,1.0954843559729576E7,447488.65442347527,304098.5828125477,797.4142437113657
5,9296134.604387045,380675.31104159355,180526.7994658947,1116.958490154478
6,7296763.722246885,297496.9698896408,176860.59631347656,670.9867084238266
7,1.0577860441631079E7,436604.0803632736,257100.88775920868,999.2517432265812
8,9696338.824445486,401295.93121528625,189447.62925243378,1177.6851893782614
9,6476517.906377792,265617.90637779236,169722.20206165314,532.9562628163234
10,1.3719484607413769E7,558149.1019763947,358080.701220274,1111.910584897465
11,1.007675190799117E7,409487.0041193962,311145.13599824905,547.98997248941
12,2.3814747075790405E7,975859.6218276024,728305.9586262703,1375.5100542134708
13,9789190.48561287,398526.823918581,227569.42763590813,953.3700122952462
14,1.7737471504098415E7,726853.1844124794,548744.6474125385,990.8349243905809
15,8912395.795817614,363982.02478146553,244938.43459916115,661.6326706899539
16,1.705120940871501E7,699087.4395451546,542812.8233470917,868.3405885073875
17,9487963.321511984,387481.8574256897,259418.2922730446,713.7868669337697
18,1.697741498698306E7,696491.3003804684,577568.4461903572,662.2020716746649
19,1.4645148963403463E7,604579.7302536964,399025.6835780144,1144.5788911885684
20,1.0395469460425377E7,429012.79582977295,276253.3671271801,848.8875150110987
21,2.5762113799734592E7,1055433.7997345924,811196.4343419075,1357.3716138945683
22,1.191363705524683E7,487386.9336569309,343595.30255007744,800.4181019332675
23,1.1907517738837004E7,491611.2521138191,338792.21409106255,850.0415880295966
24,2.571934496736908E7,1052632.4517219067,860433.7551152706,1069.8670884225103
25,1.1433992267851591E7,463975.2556192875,355444.53694319725,603.9379674143261
26,1.6702581336622953E7,684940.6190152168,479730.4202234745,1141.3899275938668
27,2.5420283924911976E7,1044215.6604721546,838923.8615224361,1142.7810709410242
28,2.0908482971446514E7,858762.923797369,638560.0892398357,1226.373353046841
29,1.7863614687751293E7,728120.0499191284,605272.7635276318,683.5950763371258
30,2.5636832981232405E7,1047106.6204724312,813024.2757236958,1303.3665882388746
31,1.4422025941100359E7,589236.0201265812,511598.8322939873,432.09091868930386
32,1.6617262867764711E7,680163.532640934,546121.6554541588,745.856774336762
33,2.609847748637128E7,1068125.606811285,898206.320597887,944.569887081782
34,2.0817327986545086E7,851838.7777779102,717914.4089910984,744.3675298319923
35,2.5306005325819016E7,1038521.238184452,802398.2495708466,1312.365345017115
36,2.5292186421404123E7,1038632.1129460335,892879.6652407646,810.5970803101859
37,1.6548763766021729E7,681697.8558926582,560913.6769475937,673.1219486991565
38,1.7663085156241655E7,725697.6626708508,556654.4677753448,941.5670272946359
39,2.3167149505709648E7,951547.5878698826,770396.2236893177,1009.9121249318122
40,2.6182920818342924E7,1074002.971001625,920270.1168348789,855.4976760228476
41,1.8912965979702473E7,778319.7889816761,608506.1251161098,945.3016914155749
42,1.795023344063735E7,737467.5478703976,560773.5012488365,982.7585736751557
43,2.5353524675760508E7,1039653.3573043346,871825.8316545486,935.2644685612786
44,2.5338884360923767E7,1039012.1623413563,776222.3816330433,1460.5635056204262
45,2.308957204827571E7,950775.8185865879,715537.1620624065,1308.228154448668
46,2.531004222032094E7,1038074.3749909401,950670.9534275532,487.9529677987098
47,2.5137557401090622E7,1030866.096621275,856812.3238759041,968.3907246059841
48,2.5382413712173462E7,1037584.8066670895,936887.5303244591,561.647601515717
49,2.5368084738539934E7,1037292.6623139381,925186.023368597,624.563774114185
50,2.051653765752101E7,839897.9608039856,661812.1967885494,990.0400013989872
51,2.6633194851851225E7,1094647.9077606201,950491.843716383,801.3818317598767
52,2.299236677821088E7,947939.0405042171,750745.8866446018,1098.1489433778659
53,2.0719738522159815E7,843859.5972826481,785082.8701825142,327.27754771709436
54,2.262188669380641E7,926237.537361145,854345.8784422874,402.0240930332078
55,2.2949076814508915E7,939614.562693119,763552.3685035706,978.5833759612508
56,2.517204310630822E7,1029519.6448028088,841219.746253252,1046.7715715116926
57,2.4943977134952307E7,1020717.09866786,825172.4916574955,1087.2305383616024
58,2.5141786768420696E7,1027151.243666172,868287.6804890633,885.1360172920757
59,2.530382025589013E7,1033922.7057387829,884389.5314772129,833.435753774643
60,2.4903513051883698E7,1022329.4795227051,824138.2143471241,1101.8842224717137
61,2.0867001128498793E7,854666.5257146358,737195.8824648857,653.5061418904199
62,2.2453802585234642E7,920706.5185348988,830469.8693702221,501.78879643811115
63,2.5171903858252525E7,1030160.5867195129,898537.0572090149,732.6076485090787
64,2.4846598916583776E7,1021400.5571911335,802744.2884669304,1217.48218137953
65,2.5045294770727634E7,1025268.5032715797,858450.1220674515,927.4165782332421
66,2.487205095421338E7,1020937.4611933231,874185.7796187401,816.1949396477806
67,2.5967424274904013E7,1064114.481155157,930645.8255543709,741.7935482025148
68,2.484420287619281E7,1017638.2872095108,848571.2430369854,940.1505224969652
69,2.6803945878850937E7,1096440.7764220238,897894.0215137005,1105.7939584904245
70,2.4974606625454426E7,1021182.6029524803,914026.1424045563,596.4073455346955
71,2.41446311610682E7,990583.3574597836,886234.2124071121,580.1883898443647
72,2.473510736293006E7,1011540.6009893417,817023.8813903332,1082.4545163591702
73,2.4069203512027025E7,982896.7174477577,888199.9647619724,527.7165106799868
74,2.8731596279845E7,1177642.8997075558,938873.3908610344,1329.146603590912
75,2.474452003274536E7,1012508.6214492321,946181.5420398712,369.80001633299725
76,2.489114143648243E7,1018312.6253302097,917419.6197769642,564.0226688782375
77,2.5053382608658075E7,1025219.7141547203,876967.4614672661,827.6824968205558
78,2.4704722530003786E7,1014766.6472101212,893922.844533205,671.6442408720654
79,2.494810664611745E7,1020041.3628587723,868992.8760752678,839.2133755882583
80,2.4623188880650043E7,1011745.2916460037,810546.4854881763,1121.1315647098752
81,2.460928089934802E7,1011813.8782217503,891903.0035879612,668.6564981222153
82,2.5513257117200375E7,1047131.4237844944,892302.2904748917,863.2414340085454
83,2.4635708711756945E7,1012172.4939343929,889212.375585556,686.1205982049307
84,2.495650171542096E7,1022675.5155322552,802065.6399641037,1227.0638471484183
85,2.460769652354479E7,1011978.708999157,828840.8302774429,1018.4763388699956
86,2.4537773512479067E7,1006519.2523534298,935538.0659265518,394.92208490769065
87,2.4911477847322702E7,1019566.6456670761,957865.4652144909,346.21268148819604
88,2.4562540563313484E7,1008901.6646943092,910295.1566579342,548.5437413069939
89,2.4709001949891567E7,1014492.2817699909,933492.2530536652,451.09833133485586
90,2.453577061072874E7,1007070.6107287407,784973.393406868,1235.067660390006
91,2.4521073926638126E7,1005916.3533470631,839281.5635471344,926.5125709878074
92,2.4665240883847713E7,1009214.1202104092,867796.9588201046,785.933627515369
93,2.4493267216016054E7,1006148.1331238747,849992.7603132725,867.909552444352
94,2.463983189847374E7,1011918.574195385,794311.4793994427,1209.4608577304418
95,2.4625748078329325E7,1011893.9198658466,903300.9812746048,603.5568586799833
96,2.44520513379035E7,1000006.7956392765,893589.2214784622,592.4774472011461
97,2.4439172871432543E7,1001086.7848322392,804612.2070858479,1091.6561359670427
98,2.458202774258995E7,1002997.015860796,882320.4829337597,670.7873219596016
99,2.4746595753715277E7,1012339.3672571182,911186.5158829689,564.435764696863
100,2.494571272412753E7,1020083.0698361397,932941.8421332836,487.00015936030275
