Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,10
Role 2,16
Role 5,46

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,36796.471063637495,149.66652154922485,70924.01429986954,3716443.5774273872,35153.00345719923,0.0,69235.19470953941,3550453.349177122,853679.405940594,0.0,1696800.0,8.622162E7,9.130375591323718,0.04714846743477715,46.70681036313375,922.1679347236955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,28479.464141647633,240.90084600448608,69234.76423239708,1851165.169207096,27889.004557972687,0.0,68593.57706570625,1812785.2962682247,663431.0769230769,0.0,1646340.0,4.312302E7,3.2803310204163587,0.10705700450473361,5.893972643216451,213.2215163270633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
Analyze Purchase Requisition,387.5233145661615,240.42633318901062,538.8843636512756,77892.18622779846,0.51570379556115,0.0,103.65646290779114,103.65646290779114,10751.940298507463,0.0,158460.0,2161140.0,2.150042282058891,1.335701851050059,2.9938020202848645,432.1584986938371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,29108.188283979893,404.7348725795746,69870.32557463646,2910818.8283979893,27893.314575645923,0.0,68275.5101749897,2789331.4575645924,673115.4,0.0,1664340.0,6.731154E7,6.749298379633161,2.013169221083323,11.33024441798528,674.9298379633161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,30139.02105354974,240.38071370124817,144001.85782766342,4972938.473835707,28764.034661274247,0.0,142291.75451779366,4746065.7191102505,710543.2727272727,0.0,3404400.0,1.1723964E8,7.638813290419401,0.9372373276286655,14.662580699390835,1260.4041929192013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
Approve Purchase Order for payment,22522.524403078554,60.0,142548.40016531944,2252252.4403078556,22462.524403078554,0.0,142488.40016531944,2246252.4403078556,519648.6,0.0,3228000.0,5.196486E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,68160.28227742673,0.0,206340.13905596733,6816028.227742672,68160.28227742673,0.0,206340.13905596733,6816028.227742672,1593939.6,0.0,4841880.0,1.5939396E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,22286.91690153837,0.0,68116.91463303566,2228691.690153837,22286.91690153837,0.0,68116.91463303566,2228691.690153837,518776.2,0.0,1664340.0,5.187762E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,59318.453802502154,370.08629751205444,142431.8989624977,5931845.3802502155,58759.106829299926,0.0,141789.54598355293,5875910.682929993,1385456.4,0.0,3382860.0,1.3854564E8,3.1074831844568247,2.032777441872491,4.311514854431152,310.74831844568246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,31896.17448555708,1536.6034908294678,68682.22939300537,3189617.448555708,29997.06683401823,0.0,65683.70477747917,2999706.683401823,753905.225410378,5917.063758134842,1683967.6337690353,7.53905225410378E7,10.550598064104715,1.7311986419889662,18.940934903091854,1055.0598064104715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,39798.596765584945,4265.400775909424,129531.87949323654,3979859.6765584946,27837.75926239252,0.0,120064.11885809898,2783775.926239252,930664.8,3660.0,2972160.0,9.306648E7,66.44909723995792,12.68771564828025,120.52518418497509,6644.909723995792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,346.8544260668755,11.52329707145691,1252.7423686981201,34685.442606687546,0.0,0.0,0.0,0.0,6988.2,0.0,158460.0,698820.0,3.8539380674097266,0.128036634127299,13.919359652201335,385.39380674097265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,319642.89489160536,20764.683630228043,674024.8641014099,3.1964289489160538E7,215367.7639999199,0.0,530483.9120585918,2.153677639999199E7,7496552.4,507960.0,1.582266E7,7.4965524E8,579.3062827315857,69.09667313363818,979.5582278993395,57930.628273158574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,48729.79105533361,262.9165709018707,209318.40698814392,4872979.105533361,48127.6335441041,0.0,208705.53621196747,4812763.35441041,1144687.8,0.0,4874340.0,1.1446878E8,3.3453195068306383,1.460647616121504,4.936857620875041,334.5319506830638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,341.8622883629799,60.0,26301.193237543106,34186.22883629799,281.8622883629799,0.0,26241.193237543106,28186.22883629799,8321.4,0.0,580020.0,832140.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,18338.334995245932,174.9536280632019,177698.54224085808,1833833.4995245934,18056.628132765294,0.0,177423.8540277481,1805662.8132765293,418203.6,0.0,4103400.0,4.182036E7,1.5650381248924468,0.6744353704982333,2.317281707127889,156.50381248924467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,256438.45048210383,0.0,531731.4440011978,2.5643845048210382E7,256438.45048210383,0.0,531731.4440011978,2.5643845048210382E7,6009283.8,0.0,1.2483E7,6.0092838E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,30214.389980955122,647.1930482387543,141417.4829864502,3021438.9980955124,28829.391124351023,0.0,138972.86735224724,2882939.1124351025,704490.0,0.0,3310800.0,7.0449E7,7.694438092244996,2.16641855902142,14.098613258202871,769.4438092244997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,88006.04921967507,15276.6748213768,178807.30547738075,8800604.921967506,54658.07929790735,0.0,134868.62816500664,5465807.929790735,2069875.2,277440.0,4215000.0,2.0698752E8,185.26649956537622,79.53204121457206,292.11721628639435,18526.64995653762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,68400.20760673523,1831.3031079769135,208705.53621196747,3420010.3803367615,58912.52899637699,0.0,205180.40472841263,2945626.4498188496,1598551.2,0.0,4874340.0,7.992756E7,52.70932561310135,1.9178206364313761,251.76857086552513,2635.4662806550673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7569752.274255037,2.869617268753976E7,3.715570582318854E7
Process Cycle Time excluding out of timetable hours (s),314681.0000257492,1175534.262129364,1519841.1421284676
Process Waiting Time (s),190144.01499032974,1009707.1246612882,1384874.0383076668
Accumulated Process Duration (s),7569752.274255037,2.869617268753976E7,3.715570582318854E7
Cost,372.11032601330015,923.1888438563478,1581.6457780838014


Process Cycle Time (s) distribution
From,To,Count
7569752,10528347,5
10528348,13486943,3
13486944,16445539,4
16445540,19404135,2
19404136,22362731,14
22362732,25321327,10
25321328,28279923,0
28279924,31238519,1
31238520,34197115,22
34197116,37155711,39

Process Waiting Time (s) distribution
From,To,Count
190144,309617,7
309618,429091,2
429092,548565,4
548566,668039,2
668040,787513,17
787514,906987,4
906988,1026461,2
1026462,1145935,2
1145936,1265409,34
1265410,1384883,26

Accumulated Process Duration (s) distribution
From,To,Count
7569752,10528347,5
10528348,13486943,3
13486944,16445539,4
16445540,19404135,2
19404136,22362731,14
22362732,25321327,10
25321328,28279923,0
28279924,31238519,1
31238520,34197115,22
34197116,37155711,39

Process Cost distribution
From,To,Count
372,492,7
493,613,12
614,734,9
735,855,16
856,976,12
977,1097,17
1098,1218,7
1219,1339,12
1340,1460,7
1461,1581,1

In-timetable Cycle time (s) distribution
From,To,Count
314681,435197,7
435198,555714,1
555715,676231,4
676232,796748,2
796749,917265,14
917266,1037782,10
1037783,1158299,0
1158300,1278816,1
1278817,1399333,19
1399334,1519850,42



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9787176.087918043,401435.08791804314,190144.01499032974,1174.1772666891413
2,9765486.04211545,402189.31452798843,236625.11852312088,920.3860015233358
3,8811548.562289,364295.2165629864,224681.339710474,777.8799679398538
4,7569752.274255037,314681.0000257492,205109.6876423359,610.3026630984413
5,1.711876536884141E7,702063.1233358383,452276.9148654938,1388.3918931550447
6,2.0130945230229616E7,825908.1664714813,600432.7392537594,1255.4267262935637
7,1.055122595961237E7,435045.95961236954,249217.18680644035,1033.4214716328513
8,2.019005368878603E7,826849.8533504009,581189.4150326252,1367.3115829534
9,1.2475226046300173E7,508973.36728978157,308119.73754382133,1116.5962488823466
10,1.462527338583827E7,597431.6571276188,406508.12533688545,1061.4936824573408
11,1.0646411255161524E7,435167.9028761387,363058.85486745834,404.78882234493886
12,2.3723718506605864E7,971437.702435255,775252.6824781895,1094.1256615095667
13,2.004167097742343E7,819101.0948643684,722486.4746725559,537.2174558930926
14,9582379.244439363,392400.68382143974,285778.64649653435,592.5831191115908
15,2.288682045426488E7,939341.9246683121,770121.6495983601,941.9617330061067
16,3.697597524716663E7,1517308.953159809,1295957.4416320324,1230.732329143418
17,2.3442924200425148E7,963076.0498635769,738332.7527940273,1251.0556810511482
18,2.1621393611184597E7,889138.5770838261,697763.2298603058,1065.2412632028265
19,2.006607638339877E7,825804.9759600163,684879.3545310497,785.1066958136029
20,2.4617468912933588E7,1006403.2447607517,917039.9447348118,499.22333275344624
21,3.7123774889172554E7,1519841.1421284676,1343347.5582854748,980.7512692729633
22,3.4867596639391184E7,1429779.0618391037,1172793.5627903938,1429.6044010970327
23,2.000264792147541E7,820092.6920697689,693932.5670080185,701.9771852294605
24,3.476286911090374E7,1419849.8427510262,1328931.4820451736,505.79555743005534
25,3.715570582318854E7,1519709.4802310467,1235132.6788845062,1581.6457780838014
26,1.6263002083578825E7,662414.2176439762,506217.86722278595,871.0638938718373
27,2.1492260090042353E7,879294.0095150471,781368.2072598934,544.7004721045494
28,3.711460638169551E7,1515679.6123085022,1277825.9358420372,1322.4545601897769
29,1.6157695604347706E7,661428.5587997437,542409.5444710255,661.3720985399353
30,1.6145778107893705E7,661752.7480990887,542372.0899913311,663.9537619378834
31,1.9763589480333805E7,809288.4361612797,700487.4568567276,606.9170061747234
32,3.472106782869077E7,1424774.2092220783,1187771.827197075,1319.9927739792397
33,1.9720570005743742E7,810045.4704303741,672222.288068533,767.6220233572856
34,3.669748074266267E7,1505852.8140304089,1347865.8620266914,879.6847963227167
35,2.8573506618255377E7,1169514.1005709171,1029064.2173690796,781.4215164913072
36,3.502868977879763E7,1434039.523806572,1178321.1058716774,1423.5324315190312
37,1.8438250807531595E7,756198.1948804855,668277.1638760567,490.215462009112
38,3.424067433697653E7,1407644.7510564327,1308925.3858821392,549.1143914394909
39,3.448745727877474E7,1415928.6718742847,1227855.0437583923,1046.7596924914253
40,1.9693255571444273E7,807244.2711405754,672123.5541067123,752.4232815199429
41,3.41532858418591E7,1402765.344600439,1305366.955653429,541.58410927852
42,2.1953059139490843E7,900051.2912716866,739275.8651292324,894.983329337173
43,3.414098900291896E7,1403257.382160902,1180386.776242733,1238.2340511957805
44,3.6186055799580336E7,1477933.6533141136,1253915.4367513657,1244.9544758160907
45,2.1995004094537497E7,901975.3567092419,718164.5055568218,1023.6664022021823
46,2.1641859766138554E7,882178.0826175213,732551.5513288975,832.7955617600018
47,2.4943150961206675E7,1022750.9217047691,794512.5817103386,1269.1288978563412
48,3.457258947078633E7,1415582.134575367,1204904.7970142365,1170.8638239661848
49,1.9466569554891348E7,799378.43171525,697045.8525640965,569.3575088421503
50,3.419179886407256E7,1399803.792477131,1173478.8163182735,1260.3967574516932
51,3.6710063551678896E7,1502872.135792017,1252632.4428925514,1391.4142805933952
52,2.4850313887952328E7,1021264.1784124374,830334.3037576675,1064.0786883738303
53,3.421801003575468E7,1399351.6623709202,1314545.6254019737,471.54761216110654
54,3.6354810042411804E7,1490851.931419611,1241028.787860155,1391.194145160251
55,2.29837160239172E7,942956.0239171982,745541.1564757824,1097.1192269033854
56,3.6337448658174515E7,1488268.7165915966,1290961.2272849083,1098.8549508015312
57,3.386475363363814E7,1386611.6463551521,1215897.6455390453,949.472338365184
58,3.628433671866846E7,1486767.2394592762,1313076.605807066,966.7857213020324
59,3.442067081322479E7,1408037.2577795982,1260699.054119587,819.5513650920657
60,3.467017568425536E7,1416756.1066083908,1269473.318392992,820.643257007334
61,2.4823291328760862E7,1016491.869519949,831427.7246801853,1028.8669372200966
62,3.6258163728859425E7,1485072.4558215141,1384874.0383076668,557.2133021553359
63,3.6205893080022335E7,1482731.6823940277,1278944.434789896,1136.6765925380919
64,3.421309698338866E7,1404116.3178703785,1203119.3662731647,1117.540613357226
65,3.40126875997386E7,1387818.4461226463,1190054.9129109383,1100.0343782928255
66,2.382695942014599E7,973366.9932463169,850580.577516079,688.6563741339578
67,3.372713039496875E7,1380635.6810314655,1201276.1167886257,999.7283815794522
68,3.613482334709191E7,1480261.1616592407,1248612.4244670868,1291.395623140865
69,3.4297902271487474E7,1405511.4289886951,1270469.0463955402,751.2495243085755
70,3.421217147598767E7,1399731.5119194984,1225363.9949133396,971.0136641237472
71,3.3606732412691355E7,1376737.451216936,1182618.1856627464,1079.603153802289
72,3.626911277162361E7,1483572.243359089,1294186.999966383,1053.7075253844257
73,3.61076009254961E7,1482706.1150791645,1231295.43875885,1399.105346531338
74,3.574957102017021E7,1463322.106524229,1305936.3034818172,876.5423925121626
75,3.5727960494776726E7,1464327.0245964527,1346249.4974153042,658.825671430429
76,3.6004752037213326E7,1477184.288843155,1372608.6916439533,585.6076484322548
77,3.60273040247972E7,1478224.0247972012,1312680.112733364,922.6319152275723
78,3.618488599072814E7,1481755.6100575924,1301366.5836052895,1005.9465276320775
79,3.3538323265338182E7,1374810.3054833412,1137087.7267868519,1324.0533182819684
80,3.408374016560078E7,1395585.4173321724,1250335.6101112366,807.2194879955717
81,2.4449937327302694E7,1004287.8781497478,918480.757515192,479.7583669278356
82,3.378907293116045E7,1381195.6284120083,1314476.4086287022,372.11032601330015
83,3.5942548494136095E7,1471425.0656876564,1331105.0246317387,781.001916019122
84,3.3515433562924147E7,1372713.8399848938,1257567.3320543766,643.4664927813742
85,3.376878537729478E7,1379292.4208881855,1175917.9755513668,1130.8332835872966
86,3.3994959177987576E7,1387685.7198619843,1302074.8778750896,476.6976535187827
87,3.60547692323935E7,1475494.382503748,1262144.7070827484,1189.7841951462958
88,3.397778421943641E7,1389874.6500382423,1196173.4027028084,1076.8825727754167
89,3.362124850806117E7,1375716.6262550354,1227103.387491703,826.2677153521115
90,3.5768141798224926E7,1465430.6080288887,1325495.134591341,782.5962465749848
91,3.3390494260046005E7,1367158.0853059292,1252277.1426930428,640.4864938629999
92,3.360157117881203E7,1376512.2974221706,1230707.1015381813,810.9043027612898
93,3.598510380759215E7,1475921.4108524323,1252515.7018640041,1241.8491465184425
94,3.355895804907799E7,1374515.1903493404,1260879.010295868,632.7833307358954
95,3.365936291164851E7,1380181.055259943,1232802.950540781,823.4500450756815
96,3.546124759084082E7,1454073.9604041576,1366916.7897222042,484.75012489689715
97,3.4116174958171844E7,1396072.6308846474,1221120.0502431393,978.9184611678124
98,3.367651132517624E7,1377501.051598072,1192927.3457930088,1028.997197839949
99,3.569114979417539E7,1464940.8294517994,1327800.5812296867,763.5837265120613
100,3.356247942537594E7,1371631.791606903,1247124.9808900356,693.091954504119
