Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
I want to add a resource,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Pay Invoice,551.7574961209298,240.53253388404846,891.4657292366028,55175.74961209297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.831649278617566,1.6703648186392255,6.190734230809742,383.1649278617566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),240.53253388404846,551.7574961209298,891.4657292366028
Process Cycle Time excluding out of timetable hours (s),240.53253388404846,551.7574961209298,891.4657292366028
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),240.53253388404846,551.7574961209298,891.4657292366028
Cost,1.6703648186392255,3.831649278617566,6.190734230809742


Process Cycle Time (s) distribution
From,To,Count
240,305,14
306,371,5
372,437,10
438,503,15
504,569,11
570,635,12
636,701,8
702,767,10
768,833,6
834,899,9

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
240,305,14
306,371,5
372,437,10
438,503,15
504,569,11
570,635,12
636,701,8
702,767,10
768,833,6
834,899,9

Process Cost distribution
From,To,Count
1,1,20
2,2,25
3,3,26
4,4,20
5,5,9
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0

In-timetable Cycle time (s) distribution
From,To,Count
240,305,14
306,371,5
372,437,10
438,503,15
504,569,11
570,635,12
636,701,8
702,767,10
768,833,6
834,899,9



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,348.93059182167053,348.93059182167053,0.0,2.423129109872712
2,537.8881301879883,537.8881301879883,0.0,3.7353342374165854
3,769.306572675705,769.306572675705,0.0,5.342406754692395
4,449.765248298645,449.765248298645,0.0,3.1233697798517017
5,462.2091042995453,462.2091042995453,0.0,3.20978544652462
6,750.2462110519409,750.2462110519409,0.0,5.210043132305145
7,875.859780550003,875.859780550003,0.0,6.082359587152799
8,348.6441433429718,348.6441433429718,0.0,2.421139884326193
9,279.59609270095825,279.59609270095825,0.0,1.9416395326455433
10,388.6203899383545,388.6203899383545,0.0,2.6987527079052396
11,730.8913388252258,730.8913388252258,0.0,5.075634297397402
12,429.5333569049835,429.5333569049835,0.0,2.9828705340623856
13,483.6690237522125,483.6690237522125,0.0,3.3588126649459205
14,628.1607012748718,628.1607012748718,0.0,4.36222709218661
15,625.5784282684326,625.5784282684326,0.0,4.344294640753004
16,770.654844045639,770.654844045639,0.0,5.3517697503169375
17,644.1822726726532,644.1822726726532,0.0,4.473488004671203
18,847.1003489494324,847.1003489494324,0.0,5.882641312148836
19,723.92449426651,723.92449426651,0.0,5.02725343240632
20,533.900972366333,533.900972366333,0.0,3.707645641432868
21,618.3268976211548,618.3268976211548,0.0,4.293936789035797
22,784.5303001403809,784.5303001403809,0.0,5.448127084308201
23,400.09958124160767,400.09958124160767,0.0,2.778469314177831
24,529.0295753479004,529.0295753479004,0.0,3.6738164954715304
25,498.2883861064911,498.2883861064911,0.0,3.4603360146284103
26,290.98496866226196,290.98496866226196,0.0,2.0207289490434857
27,457.4476239681244,457.4476239681244,0.0,3.176719610889753
28,519.6104943752289,519.6104943752289,0.0,3.6084062109390893
29,693.9903774261475,693.9903774261475,0.0,4.819377621014913
30,814.0304503440857,814.0304503440857,0.0,5.652989238500595
31,454.6938245296478,454.6938245296478,0.0,3.15759600367811
32,595.1732778549194,595.1732778549194,0.0,4.133147762881385
33,605.8186602592468,605.8186602592468,0.0,4.207074029578103
34,606.5768506526947,606.5768506526947,0.0,4.212339240643713
35,891.4657292366028,891.4657292366028,0.0,6.190734230809742
36,374.60109996795654,374.60109996795654,0.0,2.601396527555254
37,624.1118566989899,624.1118566989899,0.0,4.334110115965207
38,735.5537176132202,735.5537176132202,0.0,5.108011927869585
39,487.7933111190796,487.7933111190796,0.0,3.3874535494380527
40,552.5755324363708,552.5755324363708,0.0,3.8373300863636866
41,301.1716351509094,301.1716351509094,0.0,2.091469688547982
42,241.79785013198853,241.79785013198853,0.0,1.679151737027698
43,537.3103516101837,537.3103516101837,0.0,3.7313218861818314
44,855.8495442867279,855.8495442867279,0.0,5.943399613102277
45,560.8168904781342,560.8168904781342,0.0,3.894561739431487
46,649.5104992389679,649.5104992389679,0.0,4.5104895780483885
47,759.072277545929,759.072277545929,0.0,5.271335260735618
48,587.6871552467346,587.6871552467346,0.0,4.081160800324546
49,852.1486377716064,852.1486377716064,0.0,5.917698873413934
50,296.0200319290161,296.0200319290161,0.0,2.055694666173723
51,815.8855245113373,815.8855245113373,0.0,5.665871697995398
52,555.5310695171356,555.5310695171356,0.0,3.857854649424553
53,331.03554487228394,331.03554487228394,0.0,2.2988579505019717
54,694.8166964054108,694.8166964054108,0.0,4.825115947259797
55,266.9804537296295,266.9804537296295,0.0,1.8540309286779828
56,330.02373480796814,330.02373480796814,0.0,2.291831491722001
57,858.9465267658234,858.9465267658234,0.0,5.964906435873774
58,244.28489112854004,244.28489112854004,0.0,1.696422855059306
59,493.91241216659546,493.91241216659546,0.0,3.4299473067124686
60,467.08983087539673,467.08983087539673,0.0,3.243679381079144
61,335.77711033821106,335.77711033821106,0.0,2.331785488459799
62,664.0924170017242,664.0924170017242,0.0,4.611752895845307
63,410.9591860771179,410.9591860771179,0.0,2.853883236646652
64,468.66286969184875,468.66286969184875,0.0,3.2546032617489495
65,753.1908724308014,753.1908724308014,0.0,5.230492169658343
66,258.39315700531006,258.39315700531006,0.0,1.7943969236479864
67,533.8941514492035,533.8941514492035,0.0,3.707598273952802
68,501.69718980789185,501.69718980789185,0.0,3.4840082625548043
69,600.7116391658783,600.7116391658783,0.0,4.1716086053186
70,707.5994417667389,707.5994417667389,0.0,4.91388501226902
71,885.2772784233093,885.2772784233093,0.0,6.147758877939648
72,762.1113812923431,762.1113812923431,0.0,5.292440147863494
73,869.3506100177765,869.3506100177765,0.0,6.037157014012337
74,772.774795293808,772.774795293808,0.0,5.3664916339847775
75,404.43352222442627,404.43352222442627,0.0,2.8085661265585156
76,554.7435922622681,554.7435922622681,0.0,3.8523860573768616
77,266.21565318107605,266.21565318107605,0.0,1.8487198137574725
78,396.15943241119385,396.15943241119385,0.0,2.7511071695221796
79,469.7314076423645,469.7314076423645,0.0,3.262023664183087
80,240.53253388404846,240.53253388404846,0.0,1.6703648186392255
81,683.5000712871552,683.5000712871552,0.0,4.746528272827466
82,628.7929358482361,628.7929358482361,0.0,4.366617610057195
83,716.9040961265564,716.9040961265564,0.0,4.97850066754553
84,409.73248386383057,409.73248386383057,0.0,2.8453644712766013
85,472.74719429016113,472.74719429016113,0.0,3.282966627015008
86,475.9047656059265,475.9047656059265,0.0,3.304894205596712
87,577.5740947723389,577.5740947723389,0.0,4.010931213696797
88,275.6682026386261,275.6682026386261,0.0,1.9143625183237925
89,497.2796607017517,497.2796607017517,0.0,3.453330977095498
90,691.8908832073212,691.8908832073212,0.0,4.804797800050841
91,260.6278202533722,260.6278202533722,0.0,1.8099154184261959
92,258.60140109062195,258.60140109062195,0.0,1.7958430631293192
93,393.58158326148987,393.58158326148987,0.0,2.7332054393159018
94,643.4014422893524,643.4014422893524,0.0,4.468065571453836
95,569.1552202701569,569.1552202701569,0.0,3.952466807431645
96,250.86663579940796,250.86663579940796,0.0,1.7421294152736664
97,887.671177148819,887.671177148819,0.0,6.164383174644576
98,610.3430922031403,610.3430922031403,0.0,4.238493695855141
99,386.56532764434814,386.56532764434814,0.0,2.68448144197464
100,765.3771624565125,765.3771624565125,0.0,5.3151191837257805
