Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 15,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232
Pay Invoice,560.8418951797486,242.83289194107056,885.0217487812042,56084.18951797485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8947353831926996,1.6863395273685455,6.14598436653614,389.47353831926995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),242.83289194107056,560.8418951797486,885.0217487812042
Process Cycle Time excluding out of timetable hours (s),242.83289194107056,560.8418951797486,885.0217487812042
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),242.83289194107056,560.8418951797486,885.0217487812042
Cost,1.6863395273685455,3.8947353831926996,6.14598436653614


Process Cycle Time (s) distribution
From,To,Count
242,306,11
307,371,12
372,436,9
437,501,9
502,566,12
567,631,11
632,696,6
697,761,7
762,826,10
827,891,13

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
242,306,11
307,371,12
372,436,9
437,501,9
502,566,12
567,631,11
632,696,6
697,761,7
762,826,10
827,891,13

Process Cost distribution
From,To,Count
1,1,24
2,2,24
3,3,18
4,4,20
5,5,14
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0

In-timetable Cycle time (s) distribution
From,To,Count
242,306,11
307,371,12
372,436,9
437,501,9
502,566,12
567,631,11
632,696,6
697,761,7
762,826,10
827,891,13



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,735.315936088562,735.315936088562,0.0,5.106360667281681
2,517.1120638847351,517.1120638847351,0.0,3.591055999199549
3,673.5165133476257,673.5165133476257,0.0,4.677198009358512
4,391.75677394866943,391.75677394866943,0.0,2.7205331524213157
5,446.34646010398865,446.34646010398865,0.0,3.099628195166588
6,771.770913362503,771.770913362503,0.0,5.359520231684049
7,395.3009705543518,395.3009705543518,0.0,2.745145628849665
8,392.94639015197754,392.94639015197754,0.0,2.7287943760553994
9,492.52813029289246,492.52813029289246,0.0,3.4203342381450863
10,258.1449820995331,258.1449820995331,0.0,1.792673486802313
11,298.11307525634766,298.11307525634766,0.0,2.070229689280192
12,460.3876986503601,460.3876986503601,0.0,3.1971367961830564
13,517.6288030147552,517.6288030147552,0.0,3.5946444653802447
14,885.0217487812042,885.0217487812042,0.0,6.14598436653614
15,276.6024248600006,276.6024248600006,0.0,1.9208501726388931
16,433.24862909317017,433.24862909317017,0.0,3.0086710353692374
17,686.7341570854187,686.7341570854187,0.0,4.768987201982075
18,835.6207563877106,835.6207563877106,0.0,5.802921919359101
19,862.967071056366,862.967071056366,0.0,5.992826882335875
20,319.4545478820801,319.4545478820801,0.0,2.218434360292223
21,248.43944787979126,248.43944787979126,0.0,1.7252739436096616
22,368.20878553390503,368.20878553390503,0.0,2.557005455096563
23,562.1716523170471,562.1716523170471,0.0,3.9039698077572718
24,652.1637072563171,652.1637072563171,0.0,4.528914633724424
25,319.2715904712677,319.2715904712677,0.0,2.217163822717137
26,594.3257968425751,594.3257968425751,0.0,4.127262478073438
27,819.1104633808136,819.1104633808136,0.0,5.688267106811206
28,499.9774696826935,499.9774696826935,0.0,3.4720657616853714
29,310.5392587184906,310.5392587184906,0.0,2.156522629989518
30,449.5343110561371,449.5343110561371,0.0,3.121766049000952
31,547.8749980926514,547.8749980926514,0.0,3.8046874867545233
32,477.19249200820923,477.19249200820923,0.0,3.3138367500570087
33,279.8659665584564,279.8659665584564,0.0,1.9435136566559474
34,879.6001741886139,879.6001741886139,0.0,6.108334542976485
35,723.6294162273407,723.6294162273407,0.0,5.025204279356533
36,337.0482738018036,337.0482738018036,0.0,2.340613012512525
37,408.057293176651,408.057293176651,0.0,2.833731202615632
38,731.2885060310364,731.2885060310364,0.0,5.078392402993308
39,528.1311595439911,528.1311595439911,0.0,3.6675774968332715
40,691.7735216617584,691.7735216617584,0.0,4.803982789317767
41,255.71050715446472,255.71050715446472,0.0,1.775767410794894
42,565.8703277111053,565.8703277111053,0.0,3.9296550535493426
43,289.4454460144043,289.4454460144043,0.0,2.010037819544474
44,423.5985527038574,423.5985527038574,0.0,2.94165661599901
45,713.3288888931274,713.3288888931274,0.0,4.953672839535607
46,788.2045893669128,788.2045893669128,0.0,5.473642981714672
47,880.378161907196,880.378161907196,0.0,6.1137372354666395
48,337.9738337993622,337.9738337993622,0.0,2.3470405124955707
49,569.4421708583832,569.4421708583832,0.0,3.954459519849883
50,865.8132956027985,865.8132956027985,0.0,6.012592330574989
51,257.08001136779785,257.08001136779785,0.0,1.7852778567208185
52,838.2433218955994,838.2433218955994,0.0,5.821134179830551
53,593.8392584323883,593.8392584323883,0.0,4.123883739113808
54,515.6706438064575,515.6706438064575,0.0,3.5810461375448437
55,571.9651226997375,571.9651226997375,0.0,3.9719800187481775
56,350.58854961395264,350.58854961395264,0.0,2.4346427056524487
57,337.4393229484558,337.4393229484558,0.0,2.3433286315864987
58,765.4961287975311,765.4961287975311,0.0,5.315945338871744
59,615.6151933670044,615.6151933670044,0.0,4.275105509493086
60,429.3981692790985,429.3981692790985,0.0,2.9819317311048508
61,573.2583107948303,573.2583107948303,0.0,3.980960491630766
62,488.75209045410156,488.75209045410156,0.0,3.394111739264594
63,844.1248211860657,844.1248211860657,0.0,5.8619779249032335
64,837.3530423641205,837.3530423641205,0.0,5.81495168308417
65,476.87325406074524,476.87325406074524,0.0,3.3116198198662863
66,527.2328090667725,527.2328090667725,0.0,3.6613389518525867
67,884.9832055568695,884.9832055568695,0.0,6.145716705256039
68,531.1829278469086,531.1829278469086,0.0,3.6887703322701983
69,390.26051092147827,390.26051092147827,0.0,2.71014243695471
70,836.9334299564362,836.9334299564362,0.0,5.8120377080308065
71,335.29954862594604,335.29954862594604,0.0,2.328469087680181
72,524.5632054805756,524.5632054805756,0.0,3.6428000380595527
73,778.4213271141052,778.4213271141052,0.0,5.40570366051462
74,298.021292924881,298.021292924881,0.0,2.06959231197834
75,727.3498311042786,727.3498311042786,0.0,5.051040493779713
76,470.8624632358551,470.8624632358551,0.0,3.2698782169156604
77,535.2669858932495,535.2669858932495,0.0,3.7171318464808993
78,318.9399411678314,318.9399411678314,0.0,2.2148607025543847
79,776.758707523346,776.758707523346,0.0,5.394157691134347
80,872.9396553039551,872.9396553039551,0.0,6.062080939610799
81,604.0957808494568,604.0957808494568,0.0,4.195109589232339
82,745.1176269054413,745.1176269054413,0.0,5.17442796462112
83,373.57082891464233,373.57082891464233,0.0,2.594241867462794
84,372.20544695854187,372.20544695854187,0.0,2.5847600483232074
85,346.3593077659607,346.3593077659607,0.0,2.405272970596949
86,754.0457901954651,754.0457901954651,0.0,5.2364290985796185
87,675.9460458755493,675.9460458755493,0.0,4.694069763024648
88,620.9688992500305,620.9688992500305,0.0,4.312284022569656
89,773.9678275585175,773.9678275585175,0.0,5.374776580267483
90,274.2851665019989,274.2851665019989,0.0,1.9047581007083256
91,807.8345170021057,807.8345170021057,0.0,5.609961923625734
92,242.83289194107056,242.83289194107056,0.0,1.6863395273685455
93,857.7362611293793,857.7362611293793,0.0,5.956501813398467
94,583.1264481544495,583.1264481544495,0.0,4.049489223294788
95,510.20111632347107,510.20111632347107,0.0,3.5430633078018823
96,575.4688701629639,575.4688701629639,0.0,3.9963115983539157
97,816.5826613903046,816.5826613903046,0.0,5.67071292632156
98,606.0507109165192,606.0507109165192,0.0,4.208685492475827
99,693.8377571105957,693.8377571105957,0.0,4.81831775771247
100,776.7543759346008,776.7543759346008,0.0,5.39412761065695
