Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,6
Role 2,10
Role 5,49

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,43924.57816042656,90.95453953742981,87481.0197403431,5139175.644769907,42291.146863185444,0.0,84177.15922570229,4948064.182992697,1030623.0769230769,0.0,2147100.0,1.205829E8,9.074618318006184,0.03932772212558323,32.45184782610999,1061.7303432067235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117
Amend Request for Quotation,27541.50872461811,226.1931402683258,83999.6244134903,4324016.869765043,26901.433852364302,0.0,83254.6881415844,4223525.114821196,643697.1974522293,0.0,1992240.0,1.0106046E8,3.555971512521149,1.0246748248736064,7.009460892942217,558.2875274658204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157
Analyze Purchase Requisition,395.98534686344834,245.74206590652466,673.9340534210205,89888.67373800278,3.5439946872022183,0.0,330.4174611568451,804.4867939949036,8855.68281938326,0.0,158460.0,2010240.0,2.1802297343124786,1.3652336994806926,2.9805827339490256,494.91214968893263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227
Analyze Quotation Comparison Map,24222.08297965093,365.5997760295868,84954.92586636543,2664429.1277616024,23033.84963072647,0.0,83691.56129837036,2533723.4593799114,558734.1818181818,0.0,1974240.0,6.146076E7,6.60129638291369,2.031109866831038,11.333019812901815,726.1426021205059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Analyze Request for Quotation,36261.92692856842,517.2400019168854,135139.4266717434,9681934.489927769,34861.108401730715,0.0,134181.74071884155,9307915.9432621,846642.0224719101,0.0,3224280.0,2.2605342E8,7.78513287429853,0.0,15.651832462681664,2078.6304774377077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267
Approve Purchase Order for payment,25501.123737382888,60.0,131796.68771338463,2805123.611112118,25441.123737382888,0.0,131736.68771338463,2798523.611112118,592236.0,0.0,3101820.0,6.514596E7,0.3333333333333332,0.3333333333333333,0.3333333333333333,36.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Authorize Supplier's Invoice payment,107095.01030281674,0.0,399705.9460246563,1.1780451133309841E7,107095.01030281674,0.0,399705.9460246563,1.1780451133309841E7,2513142.0,0.0,9435180.0,2.7644562E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Choose best option,18639.86626923301,0.0,84096.26569581032,2050385.289615631,18639.86626923301,0.0,84096.26569581032,2050385.289615631,440402.1818181818,0.0,1945380.0,4.844424E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Purchase Order,57529.05095881766,405.50199937820435,134811.62818336487,6328195.605469942,56960.77002100728,0.0,134205.7354543209,6265684.702310801,1347933.2727272727,0.0,3224280.0,1.4827266E8,3.1571163211687647,2.0127092838287353,4.331817703776889,347.28279532856413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Purchase Requisition,38480.46387374618,402.6559443473816,84744.93317866325,4232851.02611208,36638.996329751884,0.0,81892.33020734787,4030289.596272707,903560.0940221397,18948.01657986641,1947815.7065365314,9.939161034243536E7,10.230375244412757,1.790575369199117,18.848261181513468,1125.3412768854032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Quotation comparison Map,44200.184550027414,2496.31897521019,144834.20492625237,4862020.3005030155,31894.131022175876,0.0,131077.45342612267,3508354.4124393463,1043377.6363636364,3660.0,3325260.0,1.1477154E8,68.36696404361966,13.566778976387448,120.79773306449255,7520.366044798163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Request for Quotation,329.52804847630586,22.450732469558716,1374.9507434368134,36248.085332393646,0.0,0.0,0.0,0.0,10053.818181818182,0.0,158460.0,1105920.0,3.661422760847842,0.24945258299509684,15.277230482631259,402.75650369326263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Deliver Goods Services,308317.79097396246,17076.0192193985,632173.429246664,3.391495700713587E7,214061.51765981372,0.0,477048.0544524193,2.3546766942579508E7,7218121.636363637,421560.0,1.475268E7,7.9399338E8,523.6459628563819,75.66298943890466,974.5861088355382,57601.05591420201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227
Pay Invoice,48695.93515590321,263.40508818626404,387634.3578863144,5356552.867149353,48135.27255037048,0.0,387080.20026540756,5294879.980540752,1134564.0,0.0,9107340.0,1.2480204E8,3.1147922529596275,1.3883523239029778,4.965533155865139,342.627147825559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Release Purchase Order,1253.7588709072634,60.0,60168.02637386322,137913.47579979897,1193.7588709072634,0.0,60108.02637386322,131313.47579979897,26888.18181818182,0.0,1408620.0,2957700.0,0.3333333333333332,0.3333333333333333,0.3333333333333333,36.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Release Supplier's Invoice,34912.27007212205,130.35065245628357,398489.3756570816,3840349.707933426,34639.31211387461,0.0,398122.02310466766,3810324.332526207,790391.4545454546,0.0,9435180.0,8.694306E7,1.5164331013746928,0.673163480228848,2.3280936506059433,166.80764115121622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Send Invoice,221188.5180721218,0.0,477260.4919042587,2.4330736987933397E7,221188.5180721218,0.0,477260.4919042587,2.4330736987933397E7,5208574.363636363,0.0,1.12725E7,5.7294318E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Send Request for Quotation to Supplier,36765.298361045665,696.3439877033234,135165.69829201698,4044182.819715023,35361.25280175209,0.0,133380.56302785873,3889737.80819273,857878.3636363636,0.0,3224280.0,9.436662E7,7.800253107186521,2.5434803114997018,12.706573711501228,858.0278417905173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Settle Conditions With Supplier,92216.08139975287,20805.88459944725,175423.29081249237,1.0143768953972816E7,59119.14073655388,0.0,134529.676060915,6503105.481020927,2157799.090909091,425160.0,4110600.0,2.373579E8,183.87189257332767,79.73683622943031,291.63086202939354,20225.908183066043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Settle Dispute With Supplier,118659.02594511236,844.0595076084137,400014.66913080215,7238200.582651854,107813.86839586789,0.0,397099.45248389244,6576645.972147942,2776489.180327869,0.0,9435180.0,1.6936584E8,60.25087527358032,2.3546952499283686,252.10116582843992,3675.3033916883996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5157463.773270607,3.173160393274675E7,4.213785730442023E7
Process Cycle Time excluding out of timetable hours (s),212751.05883717537,1300012.5659973535,1729185.3077864647
Process Waiting Time (s),120979.62525892258,1141193.0264822873,1600186.9954593182
Accumulated Process Duration (s),5157463.773270607,3.173160393274675E7,4.213785730442023E7
Cost,340.1020336469014,884.1683015789282,1496.0701897700626


Process Cycle Time (s) distribution
From,To,Count
5157463,8855502,2
8855503,12553542,6
12553543,16251582,6
16251583,19949622,2
19949623,23647662,17
23647663,27345702,6
27345703,31043742,9
31043743,34741782,0
34741783,38439822,0
38439823,42137862,62

Process Waiting Time (s) distribution
From,To,Count
120979,268899,4
268900,416820,6
416821,564741,4
564742,712662,11
712663,860583,8
860584,1008504,11
1008505,1156425,4
1156426,1304346,0
1304347,1452267,9
1452268,1600188,53

Accumulated Process Duration (s) distribution
From,To,Count
5157463,8855502,2
8855503,12553542,6
12553543,16251582,6
16251583,19949622,2
19949623,23647662,17
23647663,27345702,6
27345703,31043742,9
31043743,34741782,0
34741783,38439822,0
38439823,42137862,62

Process Cost distribution
From,To,Count
340,455,9
456,571,9
572,687,13
688,803,15
804,919,15
920,1035,10
1036,1151,19
1152,1267,9
1268,1383,7
1384,1499,4

In-timetable Cycle time (s) distribution
From,To,Count
212751,364394,2
364395,516038,6
516039,667682,6
667683,819326,2
819327,970970,18
970971,1122614,5
1122615,1274258,9
1274259,1425902,0
1425903,1577546,0
1577547,1729190,62



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.4633814974570513E7,604253.9745705128,501948.21532535553,568.7048360970286
2,5724159.916813612,233697.8175187111,151470.245429039,457.2776954770089
3,1.0271666066204548E7,419460.6828174591,226733.8884215355,1072.0104500280484
4,1.0259948314321756E7,418566.8868494034,279581.2572965622,772.4323212451405
5,5157463.773270607,212751.05883717537,120979.62525892258,513.8208191050422
6,9314686.049037457,383025.5868322849,252304.52854895592,729.9816018554901
7,2.119304758305049E7,873399.566470623,674396.7295026779,1105.8438950154514
8,1.4509431452538252E7,594553.1055047512,360808.7376368046,1299.3406131082108
9,2.3489942179736614E7,957094.5561463833,814125.8945944309,795.3479049364726
10,1.5960855043831348E7,653578.4608438015,446188.37331199646,1153.989328841368
11,4.1084977940125465E7,1684406.7828314304,1546525.3842532635,768.888506465488
12,2.3705774564995527E7,970010.1323912144,822660.1076672077,821.9181366788016
13,8933246.688143492,367970.7015244961,305039.4901764393,350.50094646612797
14,1.6744521370454311E7,684527.0367603302,587378.6521468163,542.8301401615144
15,2.0969082542007685E7,858084.0836136341,716078.066085577,789.1541789121097
16,4.213785730442023E7,1729185.3077864647,1572154.1656799316,873.3227834118738
17,1.5756395627916574E7,647024.0197412968,419827.77591729164,1262.3371637741723
18,1.74489196750741E7,711932.6410601139,650983.4219431877,340.1020336469014
19,1.4418728521556616E7,588199.4921498299,374805.5921988487,1187.3886611262958
20,9931638.859196901,402455.87285351753,286446.75302290916,649.444604520003
21,4.172727205870223E7,1709817.3229882717,1495188.2656362057,1198.6434467713034
22,4.179433968848729E7,1710684.5392053127,1460490.4398739338,1390.171423575613
23,2.943960040195918E7,1205062.2414019108,990185.3217389584,1194.8777919914985
24,2.3142449485242844E7,945991.264346838,877247.2865054607,382.7979427880711
25,4.065417620376611E7,1666854.0284674168,1506124.1721696854,895.2954406923718
26,2.0757511221960783E7,853339.4337084293,657415.7710051537,1092.3069911373984
27,4.191367199242115E7,1719311.9924211502,1525496.8846349716,1077.9461597508855
28,4.068695222554088E7,1665487.5956144333,1540794.3683302402,698.4286205967268
29,4.06508292859087E7,1664017.6094942093,1527697.7018814087,757.7428893685342
30,2.0689576505366564E7,847195.2713685036,683756.5076158047,911.9153283847703
31,2.303141147324109E7,943805.2507231236,739686.0195012093,1135.277506301138
32,1.4018585382520199E7,579873.2616004944,476662.4098036289,574.6237835539712
33,2.0663214655625105E7,848939.2632153034,614541.4247889519,1303.5426215476457
34,4.182586486233497E7,1715507.8745057583,1510943.939465046,1140.0820267491872
35,4.0617229255943775E7,1669223.5139877796,1551700.7765700817,656.1338863319822
36,2.0472546725831747E7,839853.4500656128,677161.6237523556,904.9216617716684
37,1.0355987785538912E7,423587.7855389118,346983.04900574684,429.25874631537323
38,2.029096976771283E7,834510.8150475025,713944.457108736,671.2158737394545
39,2.0288226012748957E7,834126.7836296558,667300.611030817,927.4217131826614
40,2.9206586294080973E7,1197157.6882646084,1101782.1877896786,531.478798602687
41,4.069870767891145E7,1670435.6174025536,1487999.0729961395,1021.1749730547269
42,4.172929616448641E7,1707916.1644864082,1476479.085290432,1288.3733171449767
43,4.051222604306102E7,1658291.2597692013,1570268.9624316692,491.00294288661735
44,4.16227579710331E7,1702659.2131421566,1600186.9954593182,570.6658602688047
45,2.579413940972519E7,1054026.3076729774,861426.7280828953,1070.3037739515303
46,2.200566347333312E7,901931.3068711758,807196.6145756245,528.7478450947339
47,4.066846050400901E7,1664260.0090873241,1511640.2150671482,849.1343682063952
48,4.036393369746876E7,1651699.1672821045,1566833.8990585804,476.3899143152766
49,4.1643291724056005E7,1703306.2233185768,1590165.6360604763,629.0005625738038
50,2.0460311757795334E7,837640.5325832367,649004.3158559799,1048.9051145447625
51,4.0408000646621704E7,1653687.6797344685,1453187.0680208206,1118.1779873662524
52,2.6102884521802187E7,1070839.80788064,906051.4680643082,917.7584117213885
53,4.123260292388582E7,1694870.9609975815,1468775.2884652615,1258.848248655266
54,2.9020811861730814E7,1188060.138005495,982462.9265179634,1145.8136883205837
55,4.154575093531108E7,1705110.4412879944,1569783.0578918457,752.1373864279853
56,2.743842157342148E7,1123363.4874258041,1014303.0067150593,606.7971295701133
57,2.743076585704851E7,1123856.2523965836,962163.4143462181,899.2628328667747
58,2.2686459018406868E7,926429.5802018642,861516.8096923828,362.42662551932864
59,4.1427113162314415E7,1693444.3106634617,1558291.386986494,754.6648326900271
60,2.5562344236798525E7,1046137.5665066242,969073.8737795353,429.80835498571395
61,4.112753776300359E7,1686053.0966415405,1523600.491657257,903.974194184939
62,4.025052231265879E7,1646826.432194233,1396586.3059575558,1392.2761855098936
63,4.0214422542755365E7,1648566.0390107632,1541627.629112482,596.2457822918892
64,2.1007003503301382E7,860805.2950229645,635057.4700522423,1255.3430701229306
65,4.127684136586261E7,1688746.452536583,1542881.6306698322,811.2925007859867
66,4.002541245438361E7,1641629.1747515202,1440037.1703140736,1122.051919174194
67,2.8777319682244778E7,1180027.142260313,1011013.4941520691,939.7505867203078
68,4.130449182769823E7,1693811.8276982307,1486741.5902411938,1153.1797446290652
69,4.143123896171641E7,1698426.610290289,1531866.143838644,926.1890312314034
70,4.14216755741241E7,1696110.2388484478,1514761.2312095165,1007.9385913954842
71,4.0885517549963E7,1680459.358197689,1497340.358723402,1017.4525011486478
72,4.112825655070877E7,1686896.5507087708,1454894.103352785,1290.8547153313955
73,4.0865627681984186E7,1676387.6819841862,1544760.569520235,732.2029987163014
74,3.9906779406206846E7,1634281.828146696,1446144.8151307106,1047.5223534146942
75,4.1352158365336895E7,1694499.628412962,1506530.6516389847,1046.362691689862
76,2.001947559281063E7,824217.7086184025,689981.2165238857,746.8703374690481
77,4.132342161635852E7,1693005.98792243,1483667.4226367474,1169.6866511848236
78,2.2573852513222218E7,920963.6265664101,726757.6911802292,1079.8268537984952
79,3.971550400947976E7,1623477.1154608727,1444075.4826552868,997.2572161224153
80,3.989253271720719E7,1632372.0578517914,1526225.6472132206,590.570694686307
81,2.921330826118517E7,1193868.0927860737,1059106.0162804127,748.8139596978825
82,3.9849140678050995E7,1629741.3251931667,1557615.5800971985,401.9368171744876
83,3.984310598924804E7,1630931.562650919,1452724.585931778,991.2580346915458
84,3.983224051419854E7,1635100.634039402,1487236.4816823006,823.3387457953561
85,4.064414310501337E7,1666994.1154797077,1587633.9122838974,443.0285942938592
86,4.118946677547169E7,1686733.3186542988,1537364.7377285957,832.3107489479916
87,2.3687127906344414E7,972740.7160904408,768841.3931677341,1133.9517415338094
88,4.100709842172718E7,1684307.7450871468,1546549.4488482475,766.311009256045
89,4.081310240120435E7,1673508.7127370834,1515725.664261818,876.7300190435517
90,4.0910391472281694E7,1677387.724448204,1569424.9047706127,605.0629874547321
91,2.5774889203576565E7,1058101.7465155125,860760.1302454472,1098.641400302781
92,3.95421004439764E7,1619224.1029450893,1455773.8821837902,909.8560408539244
93,4.058591043334389E7,1664142.043063879,1395014.1807498932,1496.0701897700626
94,3.960576605472541E7,1619589.263863802,1417251.1841700077,1124.5121496333015
95,3.948933401996255E7,1616951.2730817795,1455204.9651949406,900.2677326149411
96,4.087386707713127E7,1672231.0269227028,1418851.1037154198,1410.0803576853539
97,3.964013100970888E7,1618694.6890063286,1449773.3290531635,939.2226048429808
98,3.9847604341440916E7,1629621.31782341,1492977.3091974258,760.3807359761663
99,3.960656825862026E7,1619741.6857979298,1478973.3343102932,783.5058860288727
100,2.8703430645675898E7,1172577.1575846672,931347.9580044746,1342.133589711454
101,4.072123768078375E7,1664592.5627527237,1589676.4229450226,418.4562014884419
102,4.095441122752738E7,1674553.1933863163,1475189.8899416924,1109.5423471424313
103,4.07907995908978E7,1671413.698898077,1475131.516808033,1090.7316833284162
104,4.059383581485319E7,1662012.802227974,1538746.2505586147,685.1106803509925
105,4.07576657477932E7,1670328.3229637146,1494402.975953102,979.2332500669692
106,3.953024245836282E7,1621186.7518262863,1379573.7115077972,1342.6848517007295
107,2.884325860672784E7,1185133.2538995743,943152.9392297268,1347.182040982776
108,4.054319608908081E7,1663626.285337925,1547007.872894764,648.7375515805351
109,3.9688414157076836E7,1624908.4165711403,1514061.3409762383,617.297830610805
110,4.066794933170509E7,1667384.085533619,1549238.8265948296,657.1613273223242
