Resource utilization
Resource,Utilization %
Role 1,5
SYSTEM,0
Role 4,0
Role 6,0
Role 3,11
Role 2,19
Role 5,46

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,51796.82324301445,209.02711462974548,90151.69588685036,5749447.379974604,50306.34061918387,0.0,89357.525649786,5584003.80872941,1216314.5945945946,0.0,2147100.0,1.3501092E8,8.280459021280956,0.15052480697631837,62.37335326539146,919.1309513621861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
Amend Request for Quotation,30665.340161218246,75.2295572757721,90521.6663506031,3679840.8193461895,30041.76216006875,0.0,89678.77588105202,3605011.45920825,713559.5,0.0,2114760.0,8.562714E7,3.464322228608309,0.14884265263875326,7.673761863178677,415.71866743299705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Analyze Purchase Requisition,390.85686385579953,240.14305591583252,643.077508687973,90287.9355506897,1.6545423945307216,0.0,188.57143473625183,382.1992931365967,6363.376623376624,0.0,158460.0,1469940.0,2.1622351192292713,1.3341280884212918,2.9936812851164074,499.47631254196165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
Analyze Quotation Comparison Map,27143.954500317574,373.3130519390106,91061.53467106819,3257274.540038109,25908.095489474137,0.0,89620.95001745224,3108971.4587368965,645255.5,0.0,2114760.0,7.743066E7,6.865883393574645,2.07396139966117,11.316553015179105,823.9060072289574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Analyze Request for Quotation,37173.46460601389,0.0,136486.56742811203,8921631.505443335,35776.838356048866,0.0,134520.0271434784,8586441.205451727,873632.5,0.0,3202680.0,2.096718E8,7.761155908245731,0.0,19.029893888367546,1862.6774179789754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
Approve Purchase Order for payment,30380.862692958115,60.0,132684.359644413,3645703.523154974,30320.862692958115,0.0,132624.359644413,3638503.523154974,716404.0,0.0,3152220.0,8.596848E7,0.33333333333333337,0.3333333333333333,0.3333333333333333,40.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Authorize Supplier's Invoice payment,62305.45848106146,0.0,261775.17423415184,7476655.017727375,62305.45848106146,0.0,261775.17423415184,7476655.017727375,1455905.0,0.0,6077640.0,1.747086E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Choose best option,20230.799368600052,0.0,89837.98713946342,2427695.924232006,20230.799368600052,0.0,89837.98713946342,2427695.924232006,467109.5,0.0,2071500.0,5.605314E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Purchase Order,67061.368767488,430.6568920612335,133225.7506814003,8047364.25209856,66483.52832211256,0.0,132577.32981729507,7978023.398653507,1570499.5,0.0,3224280.0,1.8845994E8,3.210224696530235,2.06465198331409,4.314577939775255,385.2269635836282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Purchase Requisition,43928.27036317786,627.0844492912292,91519.64253091812,5271392.443581343,41956.8712512811,0.0,90165.5010535717,5034824.550153732,1038216.8985611101,0.0,2219628.766880989,1.2458602782733321E8,10.952217288315303,1.7652430084016588,18.997927571667564,1314.2660745978365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Quotation comparison Map,58568.268923509124,3922.4567029476166,151788.23950743675,7028192.2708210945,46235.00848743518,0.0,134829.14571332932,5548201.018492222,1364101.5,50460.0,3530580.0,1.6369218E8,68.51811353374411,14.38182895316018,120.33605272637473,8222.173624049294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Request for Quotation,308.1587870736917,6.348945617675781,1408.5888862609863,36979.054448843,0.0,0.0,0.0,0.0,9606.5,0.0,158460.0,1152780.0,3.423986523041021,0.07054384019639758,15.65098762512207,410.8783827649225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Deliver Goods Services,332608.4978266716,35782.86759138107,744236.3909282684,3.991301973920059E7,233802.45745359064,0.0,578024.4954559803,2.8056294894430876E7,7779084.0,832200.0,1.74006E7,9.3349008E8,548.9224465171167,82.49591810570823,970.4946408139335,65870.693582054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231
Pay Invoice,56711.51186339259,263.2172176837921,262681.25508499146,6805381.423607111,56148.022016682226,0.0,262292.71976852417,6737762.642001867,1328432.5,0.0,6128100.0,1.594119E8,3.130499148390912,1.4623178760210673,4.974313769075605,375.65989780690944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Release Purchase Order,459.3732758780321,60.0,47984.793105363846,55124.793105363846,399.3732758780321,0.0,47924.793105363846,47924.793105363846,11768.5,0.0,1160040.0,1412220.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,40.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Release Supplier's Invoice,17969.342361019055,129.01867485046387,261795.5288965702,2156321.0833222866,17707.014963394402,0.0,261623.40137410164,2124841.7956073284,433068.5,0.0,6056040.0,5.196822E7,1.4573744312480654,0.6691386461257934,2.3268700970543756,174.88493174976784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Send Invoice,261284.74642581344,0.0,581313.9610509872,3.1354169571097612E7,261284.74642581344,0.0,581313.9610509872,3.1354169571097612E7,6107707.5,0.0,1.37475E7,7.329249E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Send Request for Quotation to Supplier,42206.34761255582,643.4699971675873,135423.8333554268,5064761.713506699,40803.91935780843,0.0,133905.58432221413,4896470.322937012,983662.0,0.0,3224280.0,1.1803944E8,7.791268081929946,2.678015985753801,13.377909961011675,934.9521698315936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Settle Conditions With Supplier,96390.16122129162,15756.81054353714,180468.27158141136,1.1566819346554995E7,65055.41947690248,0.0,134815.33544397354,7806650.337228298,2259552.5,374640.0,4229460.0,2.711463E8,174.08189857993963,81.7930730289883,291.85933129257626,20889.827829592756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Settle Dispute With Supplier,79195.92118072105,540.9532220363617,262292.71976852417,4672559.349662542,69448.78460635574,0.0,261163.35824751854,4097478.291774988,1840145.0847457626,0.0,6128100.0,1.0856856E8,54.150758746474025,1.4357542236646017,315.57381253772314,3194.8947660419676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6429281.451570749,3.1983447692114107E7,4.1635144384818316E7
Process Cycle Time excluding out of timetable hours (s),267820.4515707493,1310170.7935529926,1707188.146198988
Process Waiting Time (s),139805.15143418312,1150919.2184334716,1632918.5554728508
Accumulated Process Duration (s),6429281.451570749,3.19834487459484E7,4.1635144384818316E7
Cost,323.62124337090387,886.4530631551478,1493.021397663487


Process Cycle Time (s) distribution
From,To,Count
6429281,9949867,3
9949868,13470454,6
13470455,16991041,3
16991042,20511628,9
20511629,24032215,11
24032216,27552802,9
27552803,31073389,5
31073390,34593976,8
34593977,38114563,0
38114564,41635150,66

Process Waiting Time (s) distribution
From,To,Count
139805,289116,4
289117,438428,5
438429,587740,5
587741,737052,11
737053,886364,12
886365,1035676,5
1035677,1184988,8
1184989,1334300,4
1334301,1483612,38
1483613,1632924,28

Accumulated Process Duration (s) distribution
From,To,Count
6429281,9949867,3
9949868,13470454,6
13470455,16991041,3
16991042,20511628,9
20511629,24032215,11
24032216,27552802,9
27552803,31073389,5
31073390,34593976,8
34593977,38114563,0
38114564,41635150,66

Process Cost distribution
From,To,Count
323,439,6
440,556,13
557,673,9
674,790,18
791,907,14
908,1024,17
1025,1141,24
1142,1258,12
1259,1375,4
1376,1492,3

In-timetable Cycle time (s) distribution
From,To,Count
267820,411756,4
411757,555693,5
555694,699630,3
699631,843567,9
843568,987504,11
987505,1131441,9
1131442,1275378,5
1275379,1419315,8
1419316,1563252,0
1563253,1707189,66



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6429281.451570749,267820.4515707493,139805.15143418312,712.6059759153261
2,1.814622626170802E7,745626.2617080212,556069.7890610695,1053.8575558569696
3,1.1179102449108839E7,461302.44910883904,307286.229426384,858.7917681654295
4,3.1131409027176857E7,1275695.8001492023,1120161.6676826477,864.9450508462061
5,1.2327846606592655E7,503425.84458851814,247849.16958594322,1420.5765162348748
6,9719196.408583403,397032.3836917877,220124.23755455017,983.547681385941
7,1.0116482822066307E7,416118.47269797325,301874.03604507446,637.0264667299059
8,1.0289583526386023E7,421373.45055413246,313079.26247882843,603.7968979120255
9,2.7034096580069065E7,1106176.580069065,1000518.7652819157,588.0003515283267
10,1.6844318890940666E7,686704.4438664913,466937.84565377235,1220.9608175463147
11,9579450.202311516,389025.9882924557,299346.73997330666,500.10034470425705
12,1.2273712180055618E7,500332.3366782665,394546.6890707016,589.486675380336
13,1.687991753747058E7,687524.4978523254,482095.53742837906,1141.373553395271
14,1.583151046396923E7,646808.3009967804,442217.17247986794,1137.5715577562648
15,1.0032777622057676E7,408669.7681365013,271166.055380106,764.3446320586734
16,1.799429305390954E7,735591.7810943127,474174.8881905079,1453.5824041565256
17,1.9276187732765436E7,788926.9089918137,636748.0581538677,846.7274784617955
18,1.925960454320264E7,790931.087038517,657356.3839929104,744.0449075380961
19,4.1189740606141806E7,1685990.918254137,1549199.0336108208,761.4563147915735
20,2.10592939500072E7,865548.9319484234,713572.7416288853,845.1914838671686
21,2.6258426461502552E7,1075545.329155922,978299.5800702572,542.1069483107992
22,2.9822732664016247E7,1220335.869067192,1099617.1210255623,672.7237329800924
23,3.3020320018618107E7,1349653.2614417076,1165327.2867143154,1026.8712672763402
24,1.9085664959939003E7,779081.2219872475,675686.2078311443,575.3443281014761
25,2.3135179595252037E7,941781.9536142349,756121.9426739216,1032.5130251341398
26,2.466790824096489E7,1006849.1779019833,796726.46712327,1169.203013940652
27,2.3886510370558262E7,976707.435906887,827961.4763224125,827.5802332017156
28,4.1629775957381725E7,1703373.6177613735,1489532.4056892395,1189.8239327934052
29,2.1885434161334515E7,894553.8657200336,685099.311353445,1166.0220793975723
30,2.2272209753169775E7,909939.9164378643,797735.4827346802,623.7141821357941
31,1.771855674817252E7,725297.9150457382,611666.8573846817,632.7134793678921
32,3.9822323475109816E7,1632552.491029501,1483132.4297406673,831.9062580598726
33,4.0572175001007795E7,1661908.8357338905,1479902.0996198654,1013.123807088534
34,4.15723284352057E7,1705808.435205698,1510932.3773069382,1086.5152410070102
35,3.188725318690443E7,1308789.7936096191,1238520.6023421288,392.99152009222246
36,2.702983521630144E7,1110233.6151115894,914406.9254767895,1088.5441042224566
37,1.8885585064282656E7,776081.7732200623,640235.7136838436,756.2190868549878
38,4.151753195153642E7,1703778.6714878082,1530612.7494785786,963.9870768533813
39,3.1236874144975185E7,1283632.3723275661,1065051.3474166393,1217.073360484176
40,2.9571817157796144E7,1212440.0927755833,1016060.7944552898,1091.8043883800506
41,2.187157761402917E7,898014.8501391411,687678.397257328,1169.254037638505
42,2.9651240601486206E7,1217592.7194316387,1055234.8130414486,903.041374499268
43,4.1635144384818316E7,1707188.146198988,1621124.6254701614,480.45114789936275
44,4.1417726031663895E7,1699140.9895906448,1632918.5554728508,370.02357561720737
45,4.0259525504538774E7,1651860.9752521515,1549722.018395424,568.6218752185505
46,4.0257698691043615E7,1652328.1917450428,1457681.5347034931,1083.4226637416411
47,4.0578528678967476E7,1666691.919066906,1577767.935332775,501.20108510785633
48,2.1740358384003878E7,889137.8963599205,700336.6246912479,1049.2666681130725
49,4.038217022910333E7,1653187.7203335762,1462098.2627301216,1062.452997501691
50,3.974507219754648E7,1630531.5351698399,1496898.018222332,745.1172347731061
51,4.1289422639009476E7,1689602.6390094757,1488963.7068200111,1115.436425183879
52,1.8737500645171642E7,764638.4480535984,669124.749778986,531.5861485189863
53,2.175740154436469E7,886762.1543536186,691858.0802593231,1084.9943941248787
54,2.539194397109127E7,1037867.2232069969,979909.4972968102,323.62124337090387
55,3.982594495630121E7,1627931.4656820297,1403273.093076229,1250.4140192972288
56,2.167869356997013E7,881600.3507409096,754057.0567893982,709.335836063491
57,3.043318269772792E7,1243525.699514389,1149727.2185223103,521.6034846557511
58,4.130244143321252E7,1690414.81053257,1445802.547768116,1360.7867457734212
59,4.12223782448411E7,1691294.2730805874,1450406.582202673,1338.5635293563205
60,3.2518677727683067E7,1332678.63133049,1162807.4345328808,945.3333220269946
61,3.2514002233542442E7,1332380.893835783,1185863.3906583786,816.6846176783246
62,3.25092549092288E7,1331635.0229363441,1210132.045058012,682.8420375810731
63,4.137258959210658E7,1694480.9943368435,1526316.135461092,935.6467554807664
64,2.1574242925730467E7,882610.3012413979,755228.3661880493,709.7572628564305
65,3.953431834728694E7,1618790.7064528465,1551289.1930775642,376.16728473371916
66,4.031830105656481E7,1655430.745418787,1453023.3400552273,1126.6955818308725
67,4.133852687738395E7,1691846.8773839474,1488798.6673710346,1128.506687584188
68,4.1118051131567955E7,1683002.6468520164,1500420.6120533943,1015.28131534391
69,4.009489563585591E7,1639697.8292911053,1507637.8830287457,734.9859676983622
70,4.00221095854218E7,1636558.9725313187,1450248.314069748,1037.1444480405917
71,2.5083809214453697E7,1026739.8812057972,849401.8606479168,989.0394249942568
72,3.9514301944137335E7,1616647.8898832798,1417643.026925087,1107.359172240893
73,3.957497151302481E7,1622515.6542220116,1482010.955294609,781.7264491995177
74,3.983599152096462E7,1632385.560632944,1495429.7235133648,763.9204746842385
75,2.545178242313075E7,1042162.3618247509,869113.2114129066,962.0035443358952
76,4.116744544281387E7,1685247.3713057041,1556508.1400721073,716.3744465708731
77,3.979410663817716E7,1633776.2407383919,1461598.6228590012,957.668878959285
78,3.978891775925851E7,1635173.7446658611,1545355.8084676266,499.4235937807295
79,2.5430885273561478E7,1043044.222006321,857407.3026561737,1033.4149061494404
80,3.950700082132769E7,1621803.0449488163,1493698.0744798183,713.6278762910101
81,2.0148296380528927E7,830981.6147556305,763527.5072731972,375.6121544573042
82,3.9403106003834486E7,1612378.4066655636,1480448.816325903,734.4900738994281
83,4.094261463747144E7,1681269.5997321606,1461691.6534116268,1221.1841282804805
84,3.911893603311467E7,1606663.4555709362,1413132.4463834763,1076.1652734438576
85,3.910567382379317E7,1606972.850785017,1425617.6425802708,1011.569168578254
86,2.594492134153962E7,1064843.685242653,865906.9220194817,1109.8082534379428
87,3.905546865446091E7,1605795.821647644,1454212.8290777206,845.1041548424297
88,3.118876371404457E7,1281007.3071508408,1196492.8590967655,473.4290228856935
89,3.904275465934348E7,1601792.8596122265,1451080.336491108,838.554436727365
90,4.083707261696625E7,1676100.5899059772,1587793.7266337872,491.5599519451458
91,3.9343410959609985E7,1612556.129754305,1392520.5100848675,1222.6989515264827
92,3.923480997225785E7,1606314.4511117935,1436664.9042794704,943.0470038069619
93,3.896724052691722E7,1594081.3833596706,1453248.4620449543,784.217952779929
94,4.005798737753296E7,1636063.1944303513,1440669.2648415565,1086.7444790310333
95,3.924980986261535E7,1606000.6985263824,1379207.029690504,1263.2621417721111
96,3.9517034934686184E7,1618970.2338147163,1530370.8041613102,494.207912393411
97,3.906835264437628E7,1599853.8616597652,1362549.7073574066,1318.9992653674547
98,4.071247662117267E7,1669336.6673407555,1500608.4017686844,938.593873094188
99,2.230419019363928E7,915256.4646377563,825357.3897106647,500.6713395648532
100,4.096345612794423E7,1675610.5772867203,1463862.825876236,1177.0105855570898
101,3.942721590000248E7,1617339.5162818432,1450823.5467457771,929.5254339721467
102,3.921575775526047E7,1609688.878874302,1464971.4687654972,804.5777305934164
103,4.0916156465678215E7,1674459.0644073486,1583565.661530733,507.97470631069604
104,3.9168092071965694E7,1603955.1602492332,1421154.6110816002,1017.9927351448272
105,3.907807158620882E7,1600805.5724058151,1356283.446710825,1359.7607151627537
106,4.062595074008727E7,1670204.6117596626,1519475.3695378304,838.1979897896449
107,3.914558319877386E7,1605471.2173855305,1399505.401520729,1149.3967977285383
108,3.895866580287981E7,1593659.3978350163,1459663.2447121143,747.9067987137371
109,3.939233312966776E7,1615100.603366375,1541201.539844513,411.90684229665334
110,3.0302829238746643E7,1244955.58954525,1062468.9928629398,1014.277054421107
