Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,9
Role 2,13
Role 5,43

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,70096.68103907991,1113.5791256427765,113271.14840340614,8902278.491963148,68445.65382278436,230.02352619171143,110931.96570158005,8692598.035493612,1643924.409448819,43260.0,2727120.0,2.087784E8,9.172373423864206,0.18121645450592042,65.92246777878867,1164.8914248307542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127
Amend Request for Quotation,48068.49530154228,126.88974785804749,111603.21159124374,6008561.912692785,47470.06176889229,0.0,110783.57628822327,5933757.721111536,1124358.24,0.0,2644260.0,1.4054478E8,3.3266286216206025,0.0,7.0710573554039,415.82857770257533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Analyze Purchase Requisition,383.6111984678677,242.2311794757843,538.4438419342041,96670.02201390266,1.5087036225530837,0.0,187.1543254852295,380.1933128833771,7863.571428571428,0.0,158460.0,1981620.0,2.122791638029526,1.3457287748654683,2.991354677412245,534.9434927834405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
Analyze Quotation Comparison Map,37612.60703819275,372.81527638435364,112358.59795975685,4701575.879774094,36350.036375623706,0.0,110990.66244840622,4543754.546952963,874341.12,0.0,2647920.0,1.0929264E8,7.014281458716919,2.071195979913076,11.28631873925527,876.7851823396148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Analyze Request for Quotation,43083.01918468666,98.90665912628174,208879.0641374588,1.0770754796171665E7,41704.56254779911,0.0,207079.66465091705,1.0426140636949778E7,1008903.6,0.0,4942740.0,2.522259E8,7.65809242715306,0.4059477104081048,14.625800104935964,1914.523106788265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
Approve Purchase Order for payment,26598.058678609847,60.0,203840.53947877884,3324757.334826231,26538.058678609847,0.0,203780.53947877884,3317257.334826231,616453.92,0.0,4841880.0,7.705674E7,0.3333333333333335,0.3333333333333333,0.3333333333333333,41.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Authorize Supplier's Invoice payment,100212.32721886826,0.0,288349.19193840027,1.2526540902358532E7,100212.32721886826,0.0,288349.19193840027,1.2526540902358532E7,2346646.08,0.0,6787260.0,2.9333076E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Choose best option,21280.19448841095,0.0,80343.76738190651,2660024.3110513687,21280.19448841095,0.0,80343.76738190651,2660024.3110513687,505429.44,0.0,1909380.0,6.317868E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Purchase Order,89879.27139186097,364.1337163448334,207296.23949861526,1.123490892398262E7,89317.30674196433,0.0,206842.3914399147,1.1164663342745543E7,2096896.32,0.0,4845480.0,2.6211204E8,3.1220258327590096,2.001169161001841,4.255035400390625,390.2532290948762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Purchase Requisition,56811.04411276436,3046.0814502239227,112232.7651693821,7101380.514095545,54869.44511633301,0.0,111240.00713849068,6858680.639541626,1320222.2043772526,33360.366585969925,2672221.366685152,1.6502777554715657E8,10.786661091285284,2.081188366148207,18.968739129437342,1348.3326364106604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Quotation comparison Map,57999.54181606293,2974.796761035919,221446.24572396278,7249942.727007866,46318.66578281021,0.0,202040.3392689228,5789833.222851276,1359247.68,0.0,5220180.0,1.6990596E8,64.8937557402929,13.29429992834727,121.2827127761311,8111.719467536614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Request for Quotation,305.54578766441347,5.744670391082764,1320.0764048099518,38193.22345805168,1.4003754405975342,0.0,175.04693007469177,175.04693007469177,3890.88,0.0,154860.0,486360.0,3.3793934691535115,0.06382967101203071,14.667515608999464,422.42418364418893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Deliver Goods Services,405674.8810932503,14098.795486211777,762744.3063774109,5.0709360136656284E7,315239.8007769489,0.0,630256.5822722912,3.9404975097118616E7,9495984.48,255840.0,1.78113E7,1.18699806E9,502.4171128683409,72.56592304176755,980.3503099030919,62802.139108542615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
Pay Invoice,69186.42355938912,260.25307178497314,284235.0029449463,8648302.94492364,68589.4606550045,0.0,283897.7144653797,8573682.581875563,1616136.96,0.0,6585600.0,2.0201712E8,3.316460579914517,1.3660886433389452,4.960657461484273,414.5575724893146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Release Purchase Order,60.677997400283814,60.0,144.74967503547668,7584.749675035477,0.6779974002838135,0.0,84.74967503547668,84.74967503547668,1238.88,0.0,154860.0,154860.0,0.3333333333333335,0.3333333333333333,0.3333333333333333,41.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Release Supplier's Invoice,20999.940515808106,122.80002903938293,288931.8913254738,2624992.564476013,20737.672715341567,0.0,288719.6674449444,2592209.089417696,508476.48,0.0,6884520.0,6.355956E7,1.4570433359252077,0.6822223835521274,2.323766920301649,182.13041699065096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Send Invoice,325270.33972672274,0.0,636404.3554000854,4.065879246584034E7,325270.33972672274,0.0,636404.3554000854,4.065879246584034E7,7604532.96,0.0,1.487514E7,9.5056662E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Send Request for Quotation to Supplier,51693.30782756805,650.9406971931458,207225.98928070068,6461663.478446007,50290.11657961464,0.0,205945.50403046608,6286264.57245183,1220762.4,0.0,4892280.0,1.525953E8,7.795506933074526,2.1333695477909513,14.236481640073988,974.4383666343157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Settle Conditions With Supplier,116904.36915729713,27833.934210538864,251450.88603568077,1.4613046144662142E7,83218.22470928382,0.0,203744.4540696144,1.0402278088660479E7,2732825.28,652080.0,5843460.0,3.4160316E8,187.14524693340726,80.43129778305689,291.42118796507515,23393.15586667591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Settle Dispute With Supplier,102292.33865063307,322.1014277935028,292510.70330643654,6239832.657688618,94045.82155816282,0.0,284853.14671468735,5736795.115047932,2404414.426229508,0.0,6888180.0,1.4666928E8,45.81398384705702,0.4192945784992642,202.40479267305798,2794.653014670478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),1.3349637129968643E7,3.9941317878212124E7,4.7813841742352724E7
Process Cycle Time excluding out of timetable hours (s),546553.6774253845,1636632.9538348694,1960248.7695364952
Process Waiting Time (s),468097.8740849495,1484551.1015537032,1876807.4937484264
Accumulated Process Duration (s),1.3349637129968643E7,3.994131823783136E7,4.7813841742352724E7
Cost,308.0632901933458,846.5928718437405,1420.2237042268114


Process Cycle Time (s) distribution
From,To,Count
13349637,16796057,6
16796058,20242478,0
20242479,23688899,2
23688900,27135320,12
27135321,30581741,7
30581742,34028162,9
34028163,37474583,9
37474584,40921004,0
40921005,44367425,0
44367426,47813846,80

Process Waiting Time (s) distribution
From,To,Count
468097,608967,6
608968,749838,0
749839,890709,6
890710,1031580,13
1031581,1172451,8
1172452,1313322,8
1313323,1454193,4
1454194,1595064,0
1595065,1735935,24
1735936,1876806,56

Accumulated Process Duration (s) distribution
From,To,Count
13349637,16796057,6
16796058,20242478,0
20242479,23688899,2
23688900,27135320,12
27135321,30581741,7
30581742,34028162,9
34028163,37474583,9
37474584,40921004,0
40921005,44367425,0
44367426,47813846,80

Process Cost distribution
From,To,Count
308,419,7
420,531,14
532,643,16
644,755,16
756,867,16
868,979,15
980,1091,7
1092,1203,15
1204,1315,12
1316,1427,7

In-timetable Cycle time (s) distribution
From,To,Count
546553,687922,6
687923,829292,0
829293,970662,2
970663,1112032,12
1112033,1253402,7
1253403,1394772,9
1394773,1536142,9
1536143,1677512,0
1677513,1818882,0
1818883,1960252,80



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,2.6122707484630585E7,1072766.4846305847,969237.843216896,577.7133700966837
2,4.6686828349075556E7,1916207.9824895859,1850977.5456318855,362.865861415863
3,4.7813841742352724E7,1960248.7695364952,1750742.8715238571,1166.257224231296
4,2.5334802279494524E7,1039211.4393382072,917986.0476515293,674.3265397548677
5,4.7500170527722836E7,1949162.9727973938,1745546.2342345715,1131.7904856284458
6,1.6050435529344082E7,660467.9744710922,504513.5599427223,867.5306763953633
7,1.5833408480277538E7,648838.4068257809,522479.1703264713,705.9580339696672
8,1.4020556411243916E7,576046.3429603577,468097.8740849495,601.4866045938599
9,4.660226602366066E7,1909028.1442666054,1682784.1162295341,1257.9657091485126
10,4.7284418112481594E7,1939100.2330875397,1707130.1342122555,1289.748324698872
11,2.7333420555054903E7,1125102.6778957844,954295.9220964909,951.414119802581
12,1.3990465750772E7,576459.2247686386,475144.4625246525,566.551620537705
13,4.60420501459384E7,1887818.0267751217,1726694.6852765083,895.6142519394557
14,1.3349637129968643E7,546553.6774253845,474630.5498151779,400.9674533791012
15,2.5368869867585182E7,1037454.8118374348,876518.8659262657,894.6930833935738
16,3.2105292170786142E7,1317937.115038395,1123203.2047920227,1083.704232564237
17,1.360597166062665E7,562543.5885117054,480582.8955357075,459.51656988064445
18,4.6580735306836605E7,1909030.5358247757,1739262.1732227802,946.4181583431033
19,2.73933786895082E7,1123875.1315038204,907020.0768668652,1204.8666073958075
20,3.2232087936513662E7,1322424.3812441826,1125830.6325621605,1095.0509130636851
21,4.7181723218646765E7,1933679.663377285,1849696.438894987,467.5678726818826
22,4.674606933965492E7,1915949.5264923573,1806315.5382328033,611.15778788858
23,4.6583823672682524E7,1912193.8468225002,1748260.074709177,911.7349942869611
24,4.5980005854926586E7,1888401.1715548038,1684185.1088540554,1136.5525915371045
25,3.3272965410077333E7,1365447.64239645,1149327.664273262,1201.6647736522884
26,3.585919732773566E7,1470557.1893343925,1241771.4962098598,1271.208146925767
27,2.7391421691180468E7,1123068.95890069,1034789.6488344669,493.06335600746996
28,2.9035735956325054E7,1189545.7902724743,1106551.5366847515,461.83442994885974
29,3.2067028529515266E7,1318768.7479727268,1154977.6054253578,912.1508000453315
30,2.3409797690159082E7,958337.6901590824,851656.1549303532,593.6682606220246
31,4.6569440489934444E7,1907900.4899344444,1840004.9516599178,377.4006123476558
32,4.656762392402291E7,1906083.924022913,1800832.1571614742,587.0032180176842
33,4.71666286040926E7,1928728.604092598,1853150.6544873714,420.47557678752463
34,4.743570790345168E7,1941967.9034516811,1703019.8359467983,1329.8155643383661
35,4.595433541189718E7,1876666.8785786629,1804884.9946160316,401.30511895418164
36,2.3502035692207098E7,957172.6922881603,832440.3417303562,696.1682930429778
37,4.596189245205569E7,1880577.3090724945,1731702.2958438396,828.6663224803078
38,4.596387697096062E7,1882582.7212347984,1664984.6625041962,1209.0766178501976
39,3.4289274788522005E7,1401345.924709797,1271320.6225409508,729.6965476314227
40,4.594082962905145E7,1877698.4083678722,1793137.243001461,470.8738284601106
41,4.594107535975933E7,1878685.7898936272,1777435.0704238415,563.2478564964401
42,2.4156597337973833E7,985449.875872612,882849.5002601147,570.4973358829816
43,4.645954105992961E7,1899717.9885091782,1694402.9529435635,1140.9177007661924
44,2.518965607960987E7,1028293.1587414742,909035.1011767387,662.6652112444243
45,3.3229843574033022E7,1359120.4691169262,1173668.8753187656,1031.3570090678004
46,4.756694941702914E7,1945795.833901167,1738209.0632784367,1155.282881532775
47,4.650701369728398E7,1902793.749908924,1792468.8284626007,615.9070682340199
48,4.7717753202201605E7,1954010.9113526344,1725068.4407820702,1272.0341232405767
49,2.534638724537325E7,1039724.9654653072,878015.1553177834,903.9583679861494
50,4.764072140623593E7,1950110.942300558,1843374.3606524467,595.8714147779677
51,4.642925331257796E7,1898682.8486499786,1767561.9986639023,729.0284088505641
52,2.594265184474826E7,1060701.4889569283,889804.4518117905,950.3690125332938
53,4.76320264373641E7,1947346.4484746456,1769489.8942124844,990.1598503284985
54,3.372354450793791E7,1379324.5507340431,1258077.3744924068,675.6083608706792
55,4.666705464341164E7,1908241.5778644085,1817926.784264803,505.4234669155545
56,3.621361200788903E7,1486449.1556136608,1301855.6638565063,1028.4493912829291
57,3.681613978906345E7,1510154.9162068367,1304764.5057296753,1147.4496128572355
58,4.75171949612391E7,1943875.757187605,1859817.1846761703,467.63277952935954
59,4.770082389564347E7,1954876.561198473,1746197.8455421925,1160.8461061305468
60,4.770138075174379E7,1956444.8651208878,1741270.1745171547,1200.1428340355553
61,4.588499818461871E7,1880164.1521878242,1778478.2511484623,567.0319100671345
62,2.5140025620901346E7,1029055.5020506382,926447.123786211,570.1479799244139
63,3.499414398718047E7,1433534.0808837414,1227319.9832966328,1146.3242859827144
64,4.5886638695141315E7,1882012.376548767,1746388.1973330975,755.0032053060004
65,4.761801697830939E7,1949052.0294528008,1728466.7228822708,1228.1606244564057
66,3.2574982080262423E7,1334457.1561558247,1195476.011013031,772.5645964013207
67,4.769075691151762E7,1951811.2823188305,1784193.285434246,936.2458128624494
68,4.675222195775676E7,1917476.4635648727,1662000.657519102,1420.2237042268114
69,4.604431679359484E7,1883311.4469804764,1790262.2843689919,517.3212135738796
70,4.640681189733386E7,1900396.7442014217,1684237.2015140057,1201.724606733852
71,4.735746349512696E7,1943131.9768812656,1748138.7458629608,1083.579683715767
72,2.588871240407729E7,1061535.6050453186,908134.4713423252,853.5898084335859
73,4.6374818644319296E7,1899021.8453037739,1832769.1131784916,371.49027418560445
74,4.748485442237973E7,1946277.6233651638,1841827.979373932,581.0232441491551
75,4.585264012926769E7,1881594.648755312,1800269.4261181355,451.9116265243954
76,3.678113458697581E7,1511523.23854208,1368089.5082206726,796.8859721766578
77,4.505892846715832E7,1847847.4003968239,1617681.2475669384,1281.5723495364186
78,3.676365008225703E7,1510692.368443966,1367523.4318861961,797.633634630839
79,2.724602480290413E7,1115226.0938544273,961343.5331373215,857.5727515406079
80,4.574695230093169E7,1875825.9420645237,1639126.156333685,1316.0741975744565
81,4.7300605321198225E7,1941538.962486267,1780653.227855444,894.6875671585402
82,2.4652913529262066E7,1010640.8979713917,946899.2876861095,355.7209933929973
83,4.6594694536514044E7,1909728.8441650867,1706668.0756824017,1129.4353386521339
84,3.570394807544613E7,1462956.4484152794,1357976.292494297,584.8662562979592
85,4.728349983072996E7,1939997.6621191502,1824246.4076740742,646.8083851695061
86,4.573059533094382E7,1875033.3274197578,1699453.0332932472,976.5526637633642
87,2.57658143072958E7,1058154.066368103,924902.4755442142,740.9272992584441
88,4.640194629173303E7,1901704.6398689747,1663493.5745744705,1325.940769320064
89,4.641134406581998E7,1907480.2056109905,1802381.0042128563,585.3873071511588
90,3.7256334338026285E7,1528501.858498335,1404414.6097130775,691.4947113500702
91,4.657292312943506E7,1910618.516526699,1756219.1664562225,858.7961934712198
92,4.743410944894338E7,1943969.4489433765,1739232.5592865944,1140.0235200047491
93,4.540861566657877E7,1863855.6665787697,1690221.722477436,965.2891971389453
94,4.7531933697987795E7,1944758.4442129135,1796494.4516820908,824.8153521643745
95,4.743062507885146E7,1940709.876921177,1724057.1233165264,1204.3680035577877
96,4.640543472400236E7,1902620.1211242676,1759926.5922074318,793.6435490767162
97,4.666864404718661E7,1913668.7529764175,1767575.5580322742,812.863907178243
98,4.501373046695113E7,1843956.0245468616,1753670.3865618706,501.6364934616618
99,4.632426465073967E7,1897385.1007680893,1739887.5193214417,877.3215938276716
100,4.760893490765715E7,1949968.1037957668,1703340.098532915,1370.6672698550751
101,4.753037353439164E7,1943469.9369385242,1820535.5050487518,684.8189763757919
102,4.579120741687846E7,1875791.2967784405,1642057.717657566,1298.557231970628
103,4.761088127252555E7,1951770.8189582825,1792321.3919103146,886.7253831254112
104,4.7267460440013885E7,1938274.3874185085,1813297.958532095,694.4240201897093
105,4.760964373967457E7,1952643.746453762,1765180.8445444107,1043.9044549345972
106,3.3093045057251215E7,1356525.0640304089,1120270.7869069576,1314.2953037858006
107,2.5027273371260166E7,1026401.9145424366,947409.7461724281,440.4933263368077
108,2.8826973209435225E7,1179600.319738388,1006446.0413136482,968.8509170267318
109,4.679386033979201E7,1915207.4500997066,1798729.000187397,647.9326722621919
110,4.537488511206436E7,1861592.9421474934,1766157.1582045555,532.2940076973704
111,4.696966660895538E7,1924407.226594448,1730500.0886764526,1078.180716421869
