Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,7
Role 2,10
Role 5,50

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,66651.27196950707,335.0097587108612,128572.7002313137,9264526.803761482,65005.27834478042,0.0,123127.9524629116,9035733.689924479,1557443.309352518,0.0,2943360.0,2.1648462E8,9.144409026259138,0.04583706723319159,53.280152911610074,1271.0728546500202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139
Amend Request for Quotation,42992.7807020215,114.11848473548889,122743.8239209652,5202126.464944601,42333.69277117075,0.0,121915.80302453041,5122376.825311661,1013699.0082644628,0.0,2900100.0,1.2265758E8,3.6615996158374795,0.6339915818638272,7.411763314406077,443.053553516335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121
Analyze Purchase Requisition,385.9583004433869,243.00036573410034,627.0342137813568,103822.78281927109,1.8928317208272374,0.0,154.6102225780487,509.17173290252686,10485.055762081784,0.0,158460.0,2820480.0,2.133697048458665,1.350002031856113,2.9890865193472966,573.9645060353809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269
Analyze Quotation Comparison Map,45577.64457740417,363.67740964889526,124395.11798119545,5925093.795062542,44416.13758954818,0.0,123280.23579621315,5774097.886641264,1070191.8461538462,0.0,2950560.0,1.3912494E8,6.452816599199916,2.0204300536049735,11.189181015226577,838.8661578959891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Analyze Request for Quotation,52586.43367032416,377.1088945865631,235509.08777737617,1.3199194851251364E7,51179.29558056379,0.0,233669.51127314568,1.2846003190721512E7,1224790.517928287,0.0,5594820.0,3.0742242E8,7.817433832002028,0.35386762883928086,17.784876510832046,1962.175891832509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251
Approve Purchase Order for payment,23711.860898058232,60.0,212748.56301808357,3082541.91674757,23651.860898058232,0.0,212688.56301808357,3074741.91674757,555467.5384615385,0.0,4917600.0,7.221078E7,0.3333333333333336,0.3333333333333333,0.3333333333333333,43.333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Authorize Supplier's Invoice payment,115891.89235251317,0.0,352589.7666454315,1.5065946005826712E7,115891.89235251317,0.0,352589.7666454315,1.5065946005826712E7,2709302.769230769,0.0,8192340.0,3.5220936E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Choose best option,25431.402589664092,0.0,98458.65127849579,3306082.336656332,25431.402589664092,0.0,98458.65127849579,3306082.336656332,589724.3076923077,0.0,2320080.0,7.666416E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Purchase Order,99130.81033827341,391.2203514575958,233610.10520982742,1.2887005343975544E7,98566.37344339628,0.0,233112.81653690338,1.2813628547641516E7,2319721.3846153845,0.0,5468760.0,3.0156378E8,3.1357605270952247,2.0086304280492993,4.319239060084025,407.6488685223792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Purchase Requisition,56388.940144421504,822.3835647106171,122682.29481220245,7330562.2187747955,54416.07802156485,0.0,121098.82085251808,7074090.142803431,1306084.3743164483,33050.27279686928,2772218.612490654,1.697909686611383E8,10.96034512698141,2.2417254739337498,18.92725993262397,1424.8448665075834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Quotation comparison Map,36123.384476533305,3211.626981973648,245907.88215136528,4696039.981949329,24811.873316348516,0.0,224837.1604528427,3225543.531125307,837417.6923076923,3660.0,5728140.0,1.088643E8,62.84172866769326,13.044091391563416,120.06862541304695,8169.424726800124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Request for Quotation,291.5605272769928,17.64487385749817,1176.4662988185883,37902.868546009064,0.0,0.0,0.0,0.0,8811.23076923077,0.0,158460.0,1145460.0,3.2395614141888114,0.19605415397220188,13.07184776465098,421.1429838445455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Deliver Goods Services,412474.5643695574,28529.520753145218,837009.2311594486,5.362169336804247E7,320849.692432167,0.0,697281.4895544052,4.171046001618171E7,9652026.0,652080.0,1.956582E7,1.25476338E9,509.027066318836,76.17322948641247,970.215581799878,66173.51862144867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269
Pay Invoice,103679.53071822386,247.18476104736328,359229.87446808815,1.3478338993369102E7,103130.76441812699,0.0,358475.17572307587,1.3406999374356508E7,2421232.6153846155,0.0,8444460.0,3.1476024E8,3.0487016672048814,1.3433237698343066,4.9934956616825525,396.3312167366346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Release Purchase Order,63.42220776081085,60.0,390.2383270263672,8244.88700890541,3.422207760810852,0.0,330.2383270263672,444.88700890541077,2410.153846153846,0.0,158460.0,313320.0,0.3333333333333336,0.3333333333333333,0.3333333333333333,43.333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Release Supplier's Invoice,24875.469820849714,156.08848237991333,356738.5553188324,3233811.0767104626,24604.3263486312,0.0,356471.75640273094,3198562.425322056,622812.9230769231,0.0,8289600.0,8.096568E7,1.5063526234361868,0.702874747912089,2.303140727678935,195.82584104670428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Send Invoice,374216.2287444243,0.0,707328.8058919907,4.864810973677516E7,374216.2287444243,0.0,707328.8058919907,4.864810973677516E7,8720719.384615384,0.0,1.66152E7,1.13369352E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Send Request for Quotation to Supplier,35599.04164169018,550.2592647075653,226656.73974466324,4627875.4134197235,34191.87921358622,0.0,224996.7707440853,4444944.297766209,840289.8461538461,0.0,5223840.0,1.0923768E8,7.817569045022003,0.5520510951677958,13.37408425807953,1016.2839758528604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Settle Conditions With Supplier,125600.46341067828,21971.058762311935,276771.7759745121,1.6328060243388176E7,93359.37745067707,0.0,230064.75078320503,1.2136719068588018E7,2944214.3076923075,482760.0,6538680.0,3.8274786E8,179.1171442222289,84.47759833600786,291.6267875062095,23285.228748889756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Settle Dispute With Supplier,97758.05543566107,265.3894798755646,357014.5639567375,6549789.714189291,88103.56374685088,0.0,325894.59547781944,5902938.771039009,2305712.23880597,0.0,8444460.0,1.5448272E8,53.63606493783433,0.5364945729573568,451.61719805929397,3593.6163508349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),1.5030966345699549E7,4.252707705741811E7,5.168644597813654E7
Process Cycle Time excluding out of timetable hours (s),618082.7956552505,1743052.067717068,2119935.3225684166
Process Waiting Time (s),454966.2770860195,1590676.398632079,2016863.7431907654
Accumulated Process Duration (s),1.5030966345699549E7,4.252707705741811E7,5.168644597813654E7
Cost,303.82006784545047,848.1512756237003,1579.902992892265


Process Cycle Time (s) distribution
From,To,Count
15030966,18696513,2
18696514,22362061,6
22362062,26027609,3
26027610,29693157,14
29693158,33358705,7
33358706,37024253,8
37024254,40689801,3
40689802,44355349,0
44355350,48020897,12
48020898,51686445,75

Process Waiting Time (s) distribution
From,To,Count
454966,611155,2
611156,767345,6
767346,923535,2
923536,1079725,16
1079726,1235915,8
1235916,1392105,6
1392106,1548295,3
1548296,1704485,0
1704486,1860675,38
1860676,2016865,49

Accumulated Process Duration (s) distribution
From,To,Count
15030966,18696513,2
18696514,22362061,6
22362062,26027609,3
26027610,29693157,14
29693158,33358705,7
33358706,37024253,8
37024254,40689801,3
40689802,44355349,0
44355350,48020897,12
48020898,51686445,75

Process Cost distribution
From,To,Count
303,430,8
431,558,9
559,686,22
687,814,24
815,942,19
943,1070,19
1071,1198,16
1199,1326,8
1327,1454,4
1455,1582,1

In-timetable Cycle time (s) distribution
From,To,Count
618082,768267,2
768268,918453,6
918454,1068639,3
1068640,1218825,14
1218826,1369011,7
1369012,1519197,8
1519198,1669383,3
1669384,1819569,0
1819570,1969755,13
1969756,2119941,74



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5.168644597813654E7,2117204.9781365395,1893877.7616431713,1242.5370871742566
2,2.85438634845531E7,1174153.2117562294,1041429.4654202461,737.709067405595
3,3.5457521546411514E7,1455411.273614645,1281951.2659084797,964.3938200553259
4,1.9469803790483713E7,800393.5176868439,701813.6977992058,548.4802094446289
5,2.4469907604441643E7,1001877.3316447735,793725.2044632435,1156.974167056878
6,2.752162272432995E7,1131680.1418697834,947780.2645404339,1024.6434616764386
7,4.908497300097203E7,2016366.9703450203,1897908.2203376293,659.4419844640627
8,1.598150154898882E7,657076.0271122456,465684.0251610279,1065.933113602797
9,1.5030966345699549E7,618082.7956552505,454966.2770860195,906.8235710144044
10,4.907730053072977E7,2013977.0045001507,1900563.5078232288,632.7795447972087
11,4.8733453406534195E7,2002887.9746792316,1870104.0207383633,740.3782973607383
12,5.165658886755705E7,2119643.5701208115,1931700.7255821228,1044.9806293964384
13,4.867920134911132E7,1999096.081127882,1919521.5310339928,445.7142889420191
14,5.148688290623522E7,2112059.026545763,1908537.1486575603,1130.9830281058946
15,5.1309370626972914E7,2103867.5559499264,1989172.2542541027,637.5054392311309
16,2.7465241947916508E7,1129098.8802127838,1015663.2885074615,633.0235699852308
17,1.964749798726797E7,808489.2328622341,701823.3393206596,593.9290259228814
18,2.0857483167755842E7,858448.2132043839,712654.7924861908,810.31791634957
19,5.1656206514745E7,2119935.3225684166,1835582.224394083,1579.902992892265
20,2.746211195472288E7,1126661.658905983,1021251.8671314716,585.939589893818
21,4.905982659082985E7,2009879.4791944027,1881791.1625628471,714.6296945929528
22,2.4075657959067106E7,986854.4868662357,801282.2876849174,1034.244407408767
23,2.0822725214961052E7,855300.3502440453,723918.9983081818,730.3173597812654
24,5.16191494791286E7,2114235.1581811905,1891600.7215402126,1237.7733060359956
25,5.1277013821502924E7,2097337.686408043,1896485.5309944153,1116.69115263621
26,3.442411837419534E7,1409282.2391004562,1247970.3415138721,896.285909734832
27,5.1519184936023474E7,2107806.643438101,1963735.0766217709,801.138560962677
28,3.3202276422683E7,1357062.4858539104,1275296.7527329922,455.58895622226925
29,5.127145315301895E7,2097699.355821371,1871481.0112380981,1258.3160635034242
30,1.9507997768939734E7,798734.5844810009,723610.048479557,419.87770942317115
31,2.731809564842081E7,1115311.4883921146,991214.1672551632,692.6759468158086
32,4.85345381961534E7,1987993.066264391,1933537.0460379124,303.82006784545047
33,4.8535649945771694E7,1989340.107192278,1837414.1687362194,844.5779492100081
34,2.7361730098287106E7,1119206.9154160023,987433.3553519249,733.33034440279
35,4.856823631184721E7,1991566.055412054,1819852.1719651222,955.2204949378969
36,2.1823989512021303E7,894086.4649755955,754885.374622345,774.3233993026946
37,5.1212805253774166E7,2096102.5748398304,1888361.0831742287,1155.3460729347335
38,5.129539967627549E7,2102977.076636791,1892522.9947280884,1169.9286814186305
39,4.879559032449746E7,1998967.7788267136,1836621.7698209286,902.9459445781179
40,5.1090341806173086E7,2095620.2870194912,1903641.957034111,1067.2885484430526
41,4.867004058749795E7,1995416.1672132015,1834235.529462099,896.742927380403
42,4.866846706208205E7,1993968.9202842712,1886667.1320066452,596.6833659397232
43,4.86675333833766E7,1994690.1381850243,1866735.9191935062,711.4422906027901
44,5.127173151578951E7,2105842.21349144,1991865.9263494015,636.7339779204793
45,4.824758678229642E7,1982290.457406044,1792301.5917742252,1059.9342811928852
46,5.107629930964661E7,2092444.6199383736,2016863.7431907654,420.3854026171896
47,5.11797316159451E7,2098846.106471777,1915214.3581869602,1021.3762125783496
48,2.7639248919188023E7,1130792.1286818981,959399.3130159378,954.1462081604534
49,4.8714601239578724E7,1996240.1087908745,1914196.2483549118,458.0926666776339
50,2.5369834615892887E7,1038073.4851055145,958158.9816594124,445.43118643363306
51,4.817801609422755E7,1974384.0692813396,1819326.3413965702,864.3830729987889
52,2.7224835177075624E7,1116523.153491497,969247.1358110905,818.8318910916647
53,3.8928658922499895E7,1594646.9091742039,1473206.467397213,675.9826893568039
54,4.8167196565536976E7,1970976.5655369759,1856519.9577994347,637.3120923903255
55,2.7005403197562456E7,1107928.2031021118,996721.7469758987,617.9812993566196
56,2.7147869984224796E7,1110934.0358831882,1006125.2818098068,587.3229569421875
57,4.873770353745389E7,1994631.620954752,1839638.7620396614,863.140678633584
58,4.866265109562516E7,1993164.9292142391,1775392.4467196465,1211.120910000801
59,4.805797907195783E7,1968512.9056334496,1824275.9752602577,803.0954790022639
60,3.1389176528040886E7,1288336.3348534107,1087734.581829071,1114.694486713409
61,4.865090346472502E7,1990179.2643270493,1779569.3622422218,1170.916172550784
62,3.1118555806168318E7,1274752.6222724915,1047414.3728346825,1263.9843618432678
63,2.7912681832463264E7,1141968.49314332,1033514.8585906029,603.3171385579641
64,4.865152382125974E7,1990833.5927505493,1853576.2818980217,763.1477220733962
65,4.80550287871902E7,1970751.929945469,1846473.644033432,692.8145883123082
66,4.8652393125249386E7,1991756.2680046558,1814862.9081265926,983.1968617399534
67,2.79045210539639E7,1142572.4235813618,1014706.3196246624,711.590766284201
68,4.802994570672917E7,1969812.3874735832,1841781.7146422863,711.8470180895595
69,4.829261003841901E7,1980296.9254119396,1825143.5548827648,862.2779995388456
70,5.104793129498029E7,2091359.5431268215,1886584.1408286095,1139.277849667602
71,3.1357848055217028E7,1287665.0325477123,1086002.2496623993,1122.9953888071907
72,4.855038768246603E7,1987525.0483195782,1860749.0727427006,704.8798188567163
73,5.086064727351117E7,2084122.7470743656,1950490.4068841934,742.5176557977995
74,5.103777849922776E7,2091933.9727914333,1897490.2601342201,1082.205518737104
75,5.070263892800808E7,2081144.4913377762,1885376.9544780254,1087.798528942797
76,4.8179661185908556E7,1971966.7555184364,1842592.0762600899,721.1872199813525
77,5.096095302361512E7,2087339.440973997,1898536.8862478733,1050.4754547251596
78,5.104232844600034E7,2093016.8430655003,1925554.6707587242,932.305672674709
79,3.2455866382130623E7,1328714.829317093,1117364.2444922924,1176.6833643012576
80,3.0479016520405293E7,1250384.9675917625,1131757.044445753,665.5799413601559
81,5.120587154875994E7,2098114.291033268,1944364.0184254646,857.6464261333148
82,2.8049232527065754E7,1153257.2825846672,1047022.3453016281,593.0959910353025
83,4.8268543876426935E7,1979741.8870875835,1874336.854347229,588.2583927644624
84,4.834032784288621E7,1981920.3185169697,1817806.9441456795,911.9244966016875
85,5.085225029448819E7,2082675.493555069,1897592.1915130615,1028.9257323185602
86,4.833118980264521E7,1978955.0019791126,1903388.992960453,421.0747464378674
87,4.7911031751588345E7,1965972.9202589989,1875411.4212839603,503.6771874626477
88,3.339542025113368E7,1370841.421447277,1192079.5066399574,994.3252542270556
89,5.092791811124945E7,2086890.5674796104,1956778.6060044765,724.3827518754536
90,4.863866561091924E7,1994871.8312311172,1796924.120536089,1100.7728410681088
91,4.8133137476365566E7,1975796.8220944405,1882013.0615258217,524.097058359782
92,4.837875001786184E7,1979255.2235810757,1860990.62210536,657.8848170267213
93,2.7286765947092533E7,1115911.1612091064,1049340.4525187016,373.39423315127686
94,4.84550618825438E7,1983507.096661806,1779585.9116544724,1137.379151019785
95,4.785849716030073E7,1963430.1316668987,1897049.4424757957,369.95898184908754
96,4.801993167565584E7,1967291.5097994804,1799532.5451951027,932.8960371679732
97,4.862055869668627E7,1992227.5063815117,1865994.9711520672,701.6397365185951
98,4.826251896678114E7,1976018.0972850323,1757364.510244131,1215.2870101716783
99,4.844667796440554E7,1987246.078870535,1887763.0385844707,552.8685186598036
100,4.8441469608947754E7,1986481.1642267704,1912746.6971263885,410.3049334499571
101,3.388400543176603E7,1391043.9525692463,1234132.4420723915,871.8286409484015
102,5.082220445376277E7,2086374.0206494331,1845420.262064457,1341.7230761845904
103,5.081087548012042E7,2081973.8939492702,1968165.7908129692,633.0938315775661
104,3.3278728630320787E7,1367890.0239884853,1202321.9967651367,923.4766118089359
105,4.800152917433047E7,1968954.6336112022,1792916.0902338028,980.840671087636
106,4.799865947138405E7,1968527.533774376,1807810.3778703213,895.8135146511926
107,5.0783117603559494E7,2076917.841919899,1901940.438153267,974.9731285744244
108,4.775848913217592E7,1952389.3705363274,1741679.7865593433,1171.543120484882
109,3.427341717340183E7,1400633.857642889,1214327.2251143456,1036.3970225956705
110,4.828315227703476E7,1972648.9617710114,1741276.1469202042,1287.2128047823905
111,4.7956416900691986E7,1966445.678678751,1832920.655842781,744.9476093742584
112,4.827499133689785E7,1975409.3142089844,1736600.3064115047,1329.1771957543158
