Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,50
Role 2,82
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1822.3301961522002,12.71254014968872,8460.378989696503,260593.21804976463,0.0,0.0,0.0,0.0,38071.88811188811,0.0,248580.0,5444280.0,10.124056645289999,0.07062522305382622,47.0021054983139,1447.7401002764698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143
Amend Request for Quotation,625.1642940422845,0.0,1219.0934150218964,78770.70104932785,0.0,0.0,0.0,0.0,12152.857142857143,0.0,158460.0,1531260.0,3.4731349669015814,0.0,6.772741194566091,437.6150058295993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126
Analyze Purchase Requisition,390.18143377938776,240.397465467453,538.8012187480927,114323.16009736061,0.0,0.0,0.0,0.0,7132.013651877133,0.0,158460.0,2089680.0,2.1676746321077114,1.3355414748191834,2.9933401041560703,635.1286672075594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293
Analyze Quotation Comparison Map,1212.7125830396017,362.0057978630066,2015.337975025177,181906.88745594025,0.0,0.0,0.0,0.0,24381.6,0.0,158460.0,3657240.0,6.737292127997789,2.0111433214611476,11.196322083473206,1010.5938191996684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,58412.25908035818,850.3157572746277,240368.74295949936,1.6121783506178856E7,57070.31374015497,0.0,239554.8444671631,1.5751406592282772E7,1365651.956521739,0.0,5566020.0,3.7691994E8,7.455547955771385,0.0,14.7397537416882,2057.731235792902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
Approve Purchase Order for payment,55957.79814696312,60.0,257671.59704566002,8393669.722044468,55897.79814696312,0.0,257611.59704566002,8384669.722044468,1312069.2,0.0,6124380.0,1.9681038E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,3574.068360004425,0.0,17278.981553554535,536110.2540006638,3574.068360004425,0.0,17278.981553554535,536110.2540006638,77888.4,0.0,417900.0,1.168326E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,132901.01457200685,373.8591413497925,256449.14010548592,1.993515218580103E7,132331.50367914836,0.0,255815.52392935753,1.9849725551872253E7,3099666.8,0.0,6102780.0,4.6495002E8,3.163949404769476,2.0040064149432713,4.327662294440799,474.59241071542135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1882.0930605125427,326.40947699546814,3413.6100714206696,282313.9590768814,0.0,0.0,0.0,0.0,58861.91647628466,0.0,158460.0,8829287.4714427,10.456072558403012,1.8133859833081563,18.964500396781496,1568.4108837604517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,132850.4761821572,2430.3738708496094,262696.202521801,1.992757142732358E7,120490.94011418978,0.0,255171.88172125816,1.8073641017128468E7,3109985.6,0.0,6174840.0,4.6649784E8,68.66408926648562,13.044253064526451,120.78308716615041,10299.613389972843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,314.2290091355642,5.710731744766235,1554.9976048469543,47134.351370334625,0.0,0.0,0.0,0.0,3074.8,0.0,154860.0,461220.0,3.491433434839602,0.06345257494184706,17.27775116496616,523.7150152259403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,352906.46490061126,19262.54872584343,903325.7933990955,5.2935969735091686E7,254878.19467369874,0.0,776704.6498470306,3.823172920105481E7,8265027.2,327900.0,2.11293E7,1.23975408E9,544.6015012606244,78.92657119168176,980.1723333597183,81690.22518909367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293
Pay Invoice,4528.445345182419,249.89704585075378,17773.32831811905,679266.8017773628,3976.3224252049126,0.0,17382.867924928665,596448.3637807369,93003.2,0.0,417900.0,1.395048E7,3.0673495554305883,1.388073111904992,4.962885185082754,460.10243331458827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,1729.6,0.0,154860.0,259440.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,649.567021745046,123.73032402992249,8128.816595315933,97435.0532617569,378.9929370419184,0.0,8007.421444892883,56848.940556287766,75582.0,0.0,169320.0,1.13373E7,1.5031893594618184,0.6709337459670173,2.3169468733999463,225.47840391927275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,329038.71379188536,0.0,780688.7229819298,4.935580706878281E7,329038.71379188536,0.0,780688.7229819298,4.935580706878281E7,7659716.0,0.0,1.835526E7,1.1489574E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,90530.68549307664,980.2109382152557,242863.87065935135,1.3579602823961496E7,89100.30606077988,0.0,241651.2503209114,1.3365045909116983E7,2122130.0,0.0,5641740.0,3.183195E8,7.946552401648623,2.887353195084466,13.04781340095732,1191.9828602472935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,180502.9975678714,39054.39353466034,297193.2066683769,2.707544963518071E7,146956.84274991672,0.0,254060.0547554493,2.2043526412487507E7,4232654.4,835860.0,6960240.0,6.3489816E8,186.36752676641493,80.64015329281489,292.9059816228019,27955.12901496224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,13407.833702659607,34.782984495162964,77279.94138932228,1005587.5276994705,2513.2589578437805,0.0,17246.546967983246,188494.42183828354,300896.0,0.0,1783320.0,2.25672E7,60.52541524897681,0.19323880275090535,350.237961935997,4539.406143673261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4485542.384762287,3.426356891578906E7,4.4401712094495535E7
Process Cycle Time excluding out of timetable hours (s),185826.80839586258,1404115.7993127806,1818526.6585607529
Process Waiting Time (s),108917.91685700417,1242889.6896996403,1657802.5805575848
Accumulated Process Duration (s),4485542.384762287,3.426356943659764E7,4.4401712094495535E7
Cost,283.2969925244649,897.4497638212754,1486.2674176626736


Process Cycle Time (s) distribution
From,To,Count
4485542,8477158,6
8477159,12468775,6
12468776,16460392,4
16460393,20452009,9
20452010,24443626,6
24443627,28435243,8
28435244,32426860,7
32426861,36418477,11
36418478,40410094,4
40410095,44401711,89

Process Waiting Time (s) distribution
From,To,Count
108917,263805,10
263806,418694,3
418695,573583,6
573584,728472,6
728473,883361,7
883362,1038250,10
1038251,1193139,5
1193140,1348028,9
1348029,1502917,26
1502918,1657806,68

Accumulated Process Duration (s) distribution
From,To,Count
4485542,8477158,6
8477159,12468775,6
12468776,16460392,4
16460393,20452009,9
20452010,24443626,6
24443627,28435243,8
28435244,32426860,7
32426861,36418477,11
36418478,40410094,4
40410095,44401711,89

Process Cost distribution
From,To,Count
283,403,6
404,524,14
525,645,15
646,766,13
767,887,25
888,1008,22
1009,1129,17
1130,1250,21
1251,1371,9
1372,1492,8

In-timetable Cycle time (s) distribution
From,To,Count
185826,349095,6
349096,512365,6
512366,675635,4
675636,838905,8
838906,1002175,7
1002176,1165445,8
1165446,1328715,7
1328716,1491985,10
1491986,1655255,5
1655256,1818525,89



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8746838.722170591,359017.72217059135,193394.7108259201,923.8797146254117
2,1.3573118254323006E7,559167.2776002884,409516.15788269043,831.8856614973811
3,4485542.384762287,185826.80839586258,108917.91685700417,427.976649555895
4,8359910.88538909,341932.14661073685,195197.9947602749,817.9429445134268
5,8691842.365180016,356436.2010188103,220154.88967728615,757.6660410232014
6,8779582.107928991,364417.1897549629,187175.55292248726,985.0368428839577
7,6680127.297566175,274905.8472263813,177806.85439920425,541.4844697197279
8,7194772.031158686,295567.33903980255,189790.79243063927,588.267187333107
9,1.1705871229977608E7,480111.2299776077,292896.2041563988,1040.8745544022981
10,7849020.872237682,318575.21457481384,247261.0028808117,398.3065408759647
11,1.388208195936346E7,565435.4770071507,460595.3354110718,583.0459864364731
12,2.0184820518066168E7,826148.3794937134,583597.6639695168,1348.3090405305227
13,1.3676997841052055E7,557675.3320367336,442990.0756292343,638.9349228713248
14,9876669.127854824,406334.1982769966,240359.60717105865,923.2376047823166
15,4.2856793262257576E7,1755205.0053629875,1553083.62734437,1123.8565892934798
16,1.9425302223800182E7,796289.7708449364,617434.0387294292,994.93168678946
17,2.61083694294405E7,1069931.5119748116,955627.569437027,636.0685272587671
18,2.044280575965786E7,840257.2743809223,577021.6420443058,1464.6977786699929
19,7722539.025172472,318105.12236595154,235032.80560278893,463.99463813304897
20,2.1011898183109045E7,860977.1271760464,709936.1649699211,840.8309490455523
21,2.6971477934426308E7,1104757.9344263077,889480.7256133556,1196.7526975565486
22,1.1524279884934187E7,472813.33261728287,383646.8924417496,497.23482574224465
23,1.9761525550549746E7,809136.544462204,588122.3469848633,1228.7875639584329
24,1.689218526611209E7,691799.5296709538,582199.3388888836,610.6946349634065
25,1.6710890507763624E7,683038.2303833961,496018.51130223274,1047.0231789443226
26,4.271062371761155E7,1752247.0003638268,1539332.1044933796,1184.1039788736234
27,2.5968554410056353E7,1063003.3168170452,901364.233638525,901.4256447580126
28,2.6773161008566856E7,1096229.2660794258,879612.9499564171,1204.7614940272435
29,1.6868210259361982E7,687403.9604241848,529526.4077205658,878.1471242494055
30,4.257023390138364E7,1739997.612705946,1499516.0691952705,1337.934830628501
31,2.864401721076846E7,1168313.0167758465,979982.7604620457,1047.00391381979
32,2.3479855039781094E7,960925.8333511353,767234.1897318363,1078.594196685155
33,4.260425715273023E7,1744016.7745404243,1549793.3913369179,1079.7888797746764
34,2.9454399167437553E7,1206512.6463551521,992692.5136334896,1189.0554182993042
35,2.1622685281499624E7,885795.8218491077,826817.4002149105,328.57110476626286
36,1.7166266277287245E7,705243.2758026123,546183.2118504047,887.5330712185967
37,2.830075173908305E7,1161190.967854023,1009784.1033592224,843.1832083410687
38,1.3774835364466429E7,569781.5515446663,479113.2429640293,504.6802781833542
39,4.252582603868008E7,1746027.520443678,1500374.7035689354,1367.0907644020185
40,4.2673722995503664E7,1745790.008945465,1585951.1477434635,888.2889584845968
41,2.819264774858117E7,1155974.5552492142,923701.99269557,1291.9120052430364
42,4.264696565574193E7,1747052.5925209522,1574449.3285095692,959.2399692654611
43,2.7007253107076645E7,1108090.6703863144,939385.0772588253,940.1232865850133
44,4.266450887755513E7,1749328.2831254005,1552488.7735836506,1093.9014674398636
45,2.3006673522285223E7,943531.991740942,775894.650172472,931.9565114325948
46,2.3337965615346193E7,960965.7090322971,851125.6901595592,610.5769996139738
47,3.557985759228706E7,1458013.081025362,1371564.3665077686,480.3890579912398
48,2.104873809130764E7,861421.792627573,747573.3419809341,632.6839965184531
49,4.238658758719182E7,1739602.9403822422,1528781.2541236877,1171.7643489837644
50,2.041795763011813E7,838573.8579006195,757989.0816853046,449.1663352701398
51,4.227704071038842E7,1733712.60634017,1514598.3705956936,1218.6295246216985
52,4.234332424207616E7,1738264.2420761585,1600408.443735361,769.2194040020307
53,2.979239942105055E7,1216283.697017908,1018355.7796580791,1101.3639752917818
54,4.231065180402064E7,1730210.924339056,1495240.043829918,1305.7397342761353
55,3.2620261662034273E7,1334114.766509056,1153563.4828882217,1003.4865008791288
56,4.22055515868423E7,1725153.1689198017,1621584.841325283,577.1759011401072
57,2.8527157898186207E7,1166934.2042050362,1046655.0998463631,668.4343694647154
58,4.24224425922904E7,1735836.3250341415,1617927.8402278423,657.4351337896453
59,2.9808552363877296E7,1222699.8639786243,1060331.2622942924,907.2165480573973
60,3.186762212241125E7,1303620.4152040482,1176334.2097287178,710.1530630694497
61,4.221913790667915E7,1733077.7306456566,1596638.6003353596,758.0638159208828
62,2.8295052199198008E7,1163459.0873806477,1028903.5004575253,748.4862277547521
63,4.21821307665863E7,1727756.9920978546,1654678.8000488281,406.24144548310176
64,3.362829462461591E7,1380263.2624723911,1235260.1315033436,808.039099220435
65,3.637715053434706E7,1491606.1058638096,1284393.2357037067,1151.7970391710599
66,4.214957455550361E7,1730001.8822448254,1506058.8157846928,1244.4613452355065
67,3.408743576894307E7,1395121.8636174202,1251568.6490983963,801.9527576314078
68,3.502678372700739E7,1433539.056880474,1271314.819271803,904.3410906089678
69,4.210608133431339E7,1725182.5285375118,1498096.4015426636,1262.0335027641718
70,4.209357686183858E7,1726663.496581316,1631796.9910435677,529.198241229852
71,2.9539556104556322E7,1208636.3504416943,1121439.0570936203,486.42753847440076
72,3.462443057182908E7,1415267.0789265633,1265533.452939272,832.3660499784683
73,3.5919840205919266E7,1467350.1520006657,1307744.2747569084,890.9758703390759
74,3.520151229238677E7,1440292.0448129177,1288243.0814778805,845.4985633691152
75,3.778034504492164E7,1543679.568559885,1332538.8819248676,1173.9218158549731
76,4.200108107883167E7,1718279.0700900555,1657802.5805575848,338.5237701482243
77,4.215504779940915E7,1724179.8626425266,1489089.5803852081,1307.860403815905
78,4.197261553438854E7,1717821.6062090397,1534767.061444044,1017.3307636711334
79,3.452713543570757E7,1415905.951177597,1284761.7766423225,729.1807542350557
80,4.211391801099229E7,1725041.5677099228,1474200.605524063,1393.7685970690513
81,4.193150060252261E7,1718727.8726167679,1581188.0633029938,772.7489273256725
82,4.192346692821479E7,1721036.089930296,1574453.8909709454,815.1134961750774
83,4.207130266978145E7,1720889.7158026695,1512873.0250000954,1156.3795288827682
84,3.765442996479249E7,1540274.4432270527,1392841.9674611092,819.6726497464709
85,4.188178688544893E7,1717817.6578652859,1550651.668179512,929.9750123871698
86,4.247489696652174E7,1744935.1780514717,1486300.4241621494,1438.0166075984637
87,4.184865783690119E7,1716468.455854416,1574824.042067051,788.0207887848219
88,3.639612326022339E7,1494487.8556985855,1392856.7510724068,566.2483832147386
89,4.182805144659114E7,1720278.7463476658,1639642.6629383564,450.4422287344932
90,4.181357975398779E7,1716479.7539877892,1510265.7572631836,1148.605761559804
91,4.101067415257239E7,1680409.4140572548,1517722.5634109974,907.2641155971421
92,4.3806975041624546E7,1795981.8301661015,1539777.190265894,1424.3946275167996
93,4.17695765640924E7,1714318.4918093681,1647412.4500963688,373.32201506031885
94,3.773168970887542E7,1548877.4054841995,1404333.512302637,803.2908962461684
95,4.113688869885993E7,1689585.3796525002,1502914.0299699306,1038.1865295648577
96,4.314571880828762E7,1763604.470720768,1500300.6438019276,1465.197371221913
97,4.197879060373616E7,1720270.8483917713,1503990.6698207855,1205.1016779912843
98,4.170040832416153E7,1708038.24741292,1478643.064816475,1275.9193184918824
99,4.18473064804306E7,1710448.0123529434,1511742.151448965,1105.4164605630767
100,4.16728755388248E7,1708419.3891353607,1461383.8830461502,1374.4519908613627
101,4.1866471399208784E7,1714335.7346322536,1619497.2454948425,527.5837066067592
102,4.164417084243226E7,1707757.5648703575,1534121.103127718,966.5345155172878
103,4.154784609849787E7,1701190.5715837479,1479879.9421563148,1230.692297559314
104,4.1610410844112635E7,1705689.6310713291,1515325.3568015099,1058.05791634851
105,4.160416632139349E7,1709705.4508440495,1587090.6090829372,682.0196186357074
106,4.1582600380922794E7,1705756.9720215797,1495207.1726818085,1170.9633024626305
107,4.1575671223219156E7,1709160.6293661594,1556489.2346439362,853.4317604660988
108,4.4401712094495535E7,1818526.6585607529,1597681.1164186,1228.1399287051622
