Resource utilization
Resource,Utilization %
Role 1,6
SYSTEM,0
Role 4,0
Role 6,0
Role 3,12
Role 2,13
Role 5,66

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,48211.34405736015,177.52864742279053,74601.66423606873,5062191.126022816,46377.88988264402,0.0,72264.77826356888,4869678.437677622,1127409.7142857143,0.0,1740060.0,1.1837802E8,10.185856526200734,0.1554064220852322,52.150969129138524,1069.514935251077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Amend Request for Quotation,28753.210934309045,139.98089170455933,72747.62768912315,2846567.8824965954,28134.990441069458,0.0,71971.51660776138,2785364.0536658764,673687.8787878788,0.0,1740060.0,6.66951E7,3.4345582957754766,0.710557774702708,6.175026921431224,340.02127128177216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Analyze Purchase Requisition,388.03822894794183,241.15638399124146,723.3651349544525,79547.83693432808,2.36925686859503,0.0,201.92665100097656,485.6976580619812,17378.048780487807,0.0,158460.0,3562500.0,2.142605400440816,1.3397576888402303,2.9933467004034253,439.23410709036733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Analyze Quotation Comparison Map,31500.458821017743,399.2401428222656,73969.52715492249,3150045.882101774,30277.335210101606,0.0,72113.91176390648,3027733.5210101604,733024.2,0.0,1740060.0,7.330242E7,6.7951311717563145,2.213954618242052,11.155649473932055,679.5131171756315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,33119.26472117673,216.4827914237976,163416.75247573853,6590733.67951417,31770.241612755475,0.0,161540.7069630623,6322278.080938339,768480.6030150753,0.0,3735960.0,1.5292764E8,7.494572824562546,0.8664459175533719,15.472310320536296,1491.4199920879466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Approve Purchase Order for payment,29014.312929327487,60.0,152890.49479079247,2901431.292932749,28954.312929327487,0.0,152830.49479079247,2895431.292932749,675997.8,0.0,3530580.0,6.759978E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,36096.35241286755,0.0,185637.60717988014,3609635.2412867546,36096.35241286755,0.0,185637.60717988014,3609635.2412867546,845747.4,0.0,4265520.0,8.457474E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,23376.21516638279,0.0,72679.95512723923,2337621.516638279,23376.21516638279,0.0,72679.95512723923,2337621.516638279,552095.4,0.0,1740060.0,5.520954E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,55246.75951149702,378.71501326560974,156035.7931060791,5524675.951149702,54690.511065089704,0.0,155615.9164121151,5469051.10650897,1290564.0,0.0,3573840.0,1.290564E8,3.090269146707323,2.0033013330565557,4.333199151357015,309.0269146707323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,34766.21208908558,1335.4656448364258,73295.17104649544,3476621.208908558,32849.40239648342,0.0,69999.16214680672,3284940.239648342,808948.5625413656,30338.99381661415,1722209.2510361671,8.089485625413656E7,10.648942736678658,1.7392322368092008,18.960918891429902,1064.8942736678657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,27682.44140361309,2282.2973861694336,92767.37564516068,2768244.140361309,15705.021475131512,0.0,74560.3173570633,1570502.1475131512,636908.4,0.0,2157960.0,6.369084E7,66.54122182489765,12.67942992316352,121.037828540802,6654.122182489765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,253.50407385110856,9.363531827926636,991.2986762523651,25350.407385110855,0.0,0.0,0.0,0.0,5152.2,0.0,158460.0,515220.0,2.8167119316789844,0.10403924253251817,11.01442973613739,281.6711931678984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,175706.29382816554,11926.000665426254,379255.842215538,1.7570629382816553E7,80528.5738596487,0.0,214330.69081544876,8052857.38596487,4112989.8,234180.0,8797560.0,4.1129898E8,528.7651109362048,66.25555925236807,974.2703016943402,52876.51109362048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Pay Invoice,34403.83801806927,264.0008473396301,191937.39628314972,3440383.8018069267,33830.81115848065,0.0,191626.59764051437,3383081.1158480644,807450.6,0.0,4434840.0,8.074506E7,3.1834825532701285,1.3495164076487223,4.983535787794325,318.34825532701285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,855.5031231641769,60.0,39986.98588991165,85550.3123164177,795.5031231641769,0.0,39926.98588991165,79550.3123164177,20246.4,0.0,911460.0,2024640.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,23235.48346150875,139.14638996124268,183375.4999165535,2323548.346150875,22965.5909852767,0.0,183019.2768573761,2296559.09852767,542653.8,0.0,4312320.0,5.426538E7,1.4994026457336214,0.6967306666904025,2.3112306118011476,149.94026457336213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,86935.04708803177,0.0,210121.4243428707,8693504.708803177,86935.04708803177,0.0,210121.4243428707,8693504.708803177,2036454.6,0.0,4971600.0,2.0364546E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,29542.26395815849,651.7079546451569,143765.72048902512,2954226.3958158493,28116.98863312006,0.0,142603.2420873642,2811698.863312006,701497.8,0.0,3382860.0,7.014978E7,7.918196250213515,2.4552578078375924,14.717730654610527,791.8196250213515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,90030.1701200223,15898.464234113693,199114.13944888115,9003017.01200223,56477.90214973927,0.0,153621.58617210388,5647790.214973927,2106195.6,374700.0,4712220.0,2.1061956E8,186.40148872379464,80.73529965877533,292.50735688077077,18640.148872379465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,54480.627515276276,885.3243916034698,190071.7918293476,2615070.120733261,43203.920553545155,0.0,175171.15708327293,2073788.1865701675,1285898.75,0.0,4434840.0,6.172314E7,62.64837200961731,0.614770257472992,300.5127305454678,3007.121856461631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6524827.154133797,2.075937652500314E7,2.8731368286104202E7
Process Cycle Time excluding out of timetable hours (s),269001.1399309635,850585.9624617744,1175658.6552433968
Process Waiting Time (s),129709.03639531136,692115.512217946,1065859.9564125538
Accumulated Process Duration (s),6524827.154133797,2.075937652500314E7,2.8731368286104202E7
Cost,285.7154069860776,881.7997462093302,1473.0711253179443


Process Cycle Time (s) distribution
From,To,Count
6524827,8745481,1
8745482,10966136,8
10966137,13186791,3
13186792,15407446,12
15407447,17628101,4
17628102,19848756,19
19848757,22069411,9
22069412,24290066,0
24290067,26510721,19
26510722,28731376,25

Process Waiting Time (s) distribution
From,To,Count
129709,223324,3
223325,316940,7
316941,410556,5
410557,504172,6
504173,597788,18
597789,691404,11
691405,785020,6
785021,878636,10
878637,972252,24
972253,1065868,10

Accumulated Process Duration (s) distribution
From,To,Count
6524827,8745481,1
8745482,10966136,8
10966137,13186791,3
13186792,15407446,12
15407447,17628101,4
17628102,19848756,19
19848757,22069411,9
22069412,24290066,0
24290067,26510721,19
26510722,28731376,25

Process Cost distribution
From,To,Count
285,403,5
404,522,7
523,641,13
642,760,13
761,879,16
880,998,7
999,1117,14
1118,1236,10
1237,1355,8
1356,1474,7

In-timetable Cycle time (s) distribution
From,To,Count
269001,359666,1
359667,450332,8
450333,540998,3
540999,631664,12
631665,722330,6
722331,812996,18
812997,903662,8
903663,994328,0
994329,1084994,19
1084995,1175660,25



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9006003.420640707,369602.420640707,212221.32783055305,877.6600949366888
2,1.0156081359687567E7,415324.24288129807,240543.04083919525,971.0586976329486
3,6524827.154133797,269001.1399309635,129709.03639531136,774.612481297387
4,1.0327300145244837E7,427058.86812114716,275268.52253746986,847.1717520872752
5,1.0326176235087633E7,426607.39503979683,221539.74674272537,1140.7986377610098
6,1.860730803745556E7,763568.9671323299,645222.353194952,659.9530341850389
7,1.8600120762985945E7,762141.7691693306,528034.8916790485,1301.6592284745639
8,1.813328422776842E7,738002.9498128891,548477.061571598,1053.6797517206935
9,9274551.782010794,377105.11043572426,262046.65806007385,639.6575943470002
10,9046375.819723368,370161.26309108734,274097.9641752243,535.0687484569021
11,2.8659275347558737E7,1173946.385472536,926487.4438328743,1376.4310155524145
12,1.0439926387061596E7,426200.10480976105,271981.70910024643,857.2154208646881
13,2.00806374047184E7,821933.2214770317,731208.9094893932,507.69628704256485
14,1.3018700250816345E7,531296.4547553062,301310.39026236534,1278.233611702919
15,2.8731368286104202E7,1175658.6552433968,966823.2620522976,1160.6306709461742
16,1.8013126732014656E7,736441.8926565647,678834.0575940609,321.54061327113044
17,9958183.77391982,407387.0525035858,299338.35411572456,600.6848452369373
18,1.8254245994671106E7,751600.5273118019,522460.01210689545,1275.2609916157194
19,2.8681527409710646E7,1172419.9723260403,986715.7091648579,1032.5475166545975
20,1.8221375558466196E7,749191.6792137623,657171.8493773937,513.1609387901094
21,1.8526540152875423E7,755720.4165079594,629943.9598486423,699.2832480973669
22,2.840316516898322E7,1163138.1641595364,944388.3327672482,1215.5230730109743
23,1.5910409873929024E7,650987.2456963062,518908.52178812027,735.1931514236663
24,2.8451164790642977E7,1166410.1107487679,1025365.829893589,783.7706245660783
25,1.805967630199623E7,736664.0062038898,489441.08353734016,1374.6130013452637
26,2.7128363492809057E7,1110305.0625751019,929956.3474447727,1004.0647359384432
27,1.9858623948649883E7,811683.9486498833,709823.5659012794,566.9525118072827
28,1.7988573441756487E7,734758.4692738056,621279.866489172,631.9814542094866
29,1.8421349393722773E7,751853.6332137585,556766.7716991901,1084.6465080340702
30,2.749419165195799E7,1124672.3874092102,996419.8781678677,714.7039734548993
31,2.626001889491701E7,1079364.7715642452,942542.9017362595,760.606280790435
32,1.5785990861680508E7,646418.9960494041,414483.28364276886,1289.1371738963655
33,2.7435736765311718E7,1125173.3827648163,910519.0503864288,1195.656762769487
34,2.8305684477427244E7,1162208.7608573437,923963.3838179111,1325.6677832325297
35,1.767669335670781E7,724997.2531421185,596072.6579563618,718.9069571932157
36,1.4546258973348618E7,597965.1419453621,369701.8911995888,1271.8436682515671
37,1.2282517990724325E7,509137.9907243252,375672.4079697132,741.6316349718306
38,1.485703632084465E7,607020.0981414318,392386.87203907967,1192.6779803435006
39,2.8252936500231266E7,1160335.1477160454,1000396.1597352028,889.307670847575
40,1.34578812107656E7,554017.8587889671,379878.18813729286,971.1231288075447
41,2.052670380626893E7,840164.6429173946,662089.8013780117,990.232003622585
42,2.575711460529518E7,1058289.0484457016,874800.6345555782,1019.555183377531
43,2.068448872027278E7,847673.126752615,710516.7811524868,762.4995147625605
44,2.0676580188913107E7,846742.0622808933,744227.5526964664,570.1500142031246
45,2.814618177390313E7,1156843.18203187,902855.7443366051,1411.8259461601572
46,2.0674503938786983E7,849869.8242132664,708353.2535467148,791.7103852377999
47,2.8187572999945402E7,1157648.0945682526,904523.2556586266,1410.0473079522446
48,1.4783625940345287E7,608032.9858319759,483342.8763012886,693.0724727736579
49,1.244246304107976E7,514163.0410797596,391547.98895287514,681.7596462938521
50,1.3591524992808104E7,555803.0681450367,464289.1481986046,509.009215745661
51,2.6203162075950146E7,1073977.2174150944,978894.8216211796,529.6148738145828
52,2.058463313838339E7,843824.0653541088,742289.5387818813,564.8698415928418
53,2.805555075881934E7,1152951.884839058,1039463.8520481586,631.5000747733646
54,2.057738461159444E7,845710.1701610088,650488.9237685204,1085.4283092445796
55,2.797644796379304E7,1143363.8966739178,1004364.0750901699,775.0811817487082
56,1.7682541156963825E7,719778.4882864952,555232.4242396355,916.072831290298
57,2.8062531453986168E7,1150163.742568493,963931.3051931858,1035.208432904879
58,1.5298997346518993E7,623854.6723713875,479695.1699330807,803.484404610263
59,1.8030068326244116E7,733254.2532329559,648836.8314311504,469.703614200486
60,1.7719897061560154E7,727617.992429018,532346.4862406254,1085.9775526457363
61,1.4227824994134903E7,581841.4169709682,530462.2743003368,285.7154069860776
62,1.4572011396192074E7,596730.6940848827,493150.16297984123,577.5860707349248
63,1.783585185265827E7,729266.6285057068,540284.971306324,1050.5701382610532
64,1.420219775864005E7,582442.8826999664,510641.1733248234,399.0782517751058
65,1.4533152958500624E7,598095.3787670135,519465.4607541561,437.42660857174127
66,2.8092483198702097E7,1152002.0118410587,920918.1357319355,1284.714103172885
67,1.780382800656104E7,732168.3269839287,534560.3956127167,1098.2494762089516
68,2.5432904917254686E7,1042408.3903894424,929379.1221847534,628.5194215602346
69,2.581524624822998E7,1059215.1399230957,816617.6852340698,1348.5371568044027
70,1.452492556364584E7,595427.6684405804,529927.0193839073,364.5838888261053
71,2.8038861062996387E7,1149488.9957649708,884742.8101518154,1473.0711253179443
72,2.691796413586521E7,1099148.1103072166,950264.1192858219,827.2975378870964
73,2.567770895837736E7,1050574.4864196777,900694.840241909,834.1730809410413
74,2.574593582433009E7,1057255.8243300915,850310.7943601608,1152.6316450701818
75,2.661024524335718E7,1090156.9265854359,956046.5572714806,745.4764458444384
76,2.5891780601287603E7,1055258.3121864796,847033.9182491302,1157.3839759416048
77,2.571031523449111E7,1048657.3749403954,909054.6451339722,778.6497231708632
78,1.523500220803523E7,621996.4566035271,540368.3840506077,454.05118490722447
79,1.773255140731001E7,722178.224978447,541059.2592158318,1007.9592430618075
80,2.769575964180541E7,1134284.9862120152,1065859.9564125538,380.83567707008785
81,1.7625506978644848E7,720436.051836729,578325.0441248417,789.860100652112
82,2.582107774737668E7,1055814.0776286125,848603.5242183208,1154.1513750778302
83,2.0173884765472412E7,827295.8983297348,670212.8071148396,873.4659758528076
84,2.7694343246985197E7,1136720.4181525707,924969.3297731876,1177.7108526057668
85,2.559925260888934E7,1049243.6495130062,919503.4688973427,724.6735527886286
86,1.8832813730506897E7,771049.8390622139,612376.0827913284,883.384611911244
87,2.5551217650737762E7,1048050.6076231003,834568.5036468506,1188.1827924158836
88,2.5143556024419785E7,1032559.9124741554,848609.3419518471,1024.245598611567
89,2.6652707623948574E7,1092783.1749420166,997017.4218859673,532.6425764163337
90,2.773951817551613E7,1138626.082811594,888754.1592614651,1388.3654676357903
91,2.7507070328545094E7,1128730.3285450935,941203.9271240234,1043.9913964470227
92,1.7249878154593945E7,710669.5920639038,583379.549008131,707.9152097728518
93,2.7473860700380325E7,1126419.856906414,1008632.4906520844,655.1109309660065
94,2.505500554822278E7,1029330.7111167908,950054.6706073284,440.7117727292908
95,2.5432563888169527E7,1044041.8011574745,940661.3223958015,579.6015831549963
96,2.5431581502820015E7,1043588.7745864391,889839.8876936436,857.5570502930219
97,2.6182074688239336E7,1074276.2578036785,816120.8155100346,1434.9792983492214
98,2.5546995950336933E7,1042982.0772738457,846317.3319396973,1093.9416081653696
99,2.5382669273088455E7,1038940.6301453114,876772.9358439445,903.1260872311065
100,1.8720339140550375E7,761229.8895142078,615293.2027628422,811.0305552191206
