Resource utilization
Resource,Utilization %
SYSTEM,0
Role 4,0
Role 6,0
Role 3,31
Role 2,45
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1695.1309241966535,26.262030839920044,8322.413651943207,157647.17595028877,81.95638950153064,0.0,1421.254860162735,7621.944223642349,38701.290322580644,0.0,252120.0,3599220.0,8.962080748306231,0.14590017133288913,46.23563139968448,833.4735095924796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Amend Request for Quotation,626.6412558349563,87.9101071357727,2201.342225551605,50757.941722631454,38.14762785699632,0.0,1090.909850358963,3089.9578564167023,11253.333333333334,0.0,154860.0,911520.0,3.269409044322,0.4883894840876261,6.5102310048209295,264.822132590082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
Analyze Purchase Requisition,389.5670996169352,241.2967722415924,539.1708946228027,75186.4502260685,0.0,0.0,0.0,0.0,5844.870466321244,0.0,154860.0,1128060.0,2.164261664538529,1.3405376235644022,2.9953938590155706,417.70250125593606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Analyze Quotation Comparison Map,23974.620746278764,375.0309178829193,380879.36696124077,2397462.0746278763,22748.37499548912,0.0,379972.5751092434,2274837.499548912,559342.8,0.0,8952420.0,5.593428E7,6.812476393275793,2.083505099349552,11.315477793746524,681.2476393275792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,36818.31393527853,395.700475692749,171359.40320777893,6664114.822285414,35426.21534001498,0.0,170412.73997950554,6412144.976542711,857424.861878453,0.0,3988080.0,1.551939E8,7.733881084797498,0.590202616320716,14.126870557996963,1399.8324763483472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
Approve Purchase Order for payment,40361.30439651489,60.0,172026.35130548477,4036130.4396514893,40301.30439651489,0.0,171966.35130548477,4030130.4396514893,942480.6,0.0,4060140.0,9.424806E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,2029.8251116943359,0.0,8144.767206430435,202982.5111694336,2029.8251116943359,0.0,8144.767206430435,202982.5111694336,37041.0,0.0,201720.0,3704100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,6636.053723721504,0.0,352898.32936000824,663605.3723721504,6636.053723721504,0.0,352898.32936000824,663605.3723721504,159412.8,0.0,8372400.0,1.594128E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,91398.41880481005,369.9663908481598,173339.2764441967,9139841.880481005,90824.85864114523,0.0,172735.555696249,9082485.864114523,2135917.2,0.0,4060140.0,2.1359172E8,3.186445353693433,2.021301472187042,4.325660139984555,318.6445353693433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1933.6982272982598,317.62221097946167,3929.9159648418427,193369.82272982597,152.98299784183502,0.0,1526.0319292545319,15298.299784183502,60751.79435246229,0.0,158460.0,6075179.435246229,9.892862385869027,1.764567838774787,18.981267423099943,989.2862385869026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,90536.68852767229,3206.4655618667603,182307.63939023018,9053668.85276723,78402.18684455872,0.0,172443.21415114403,7840218.684455872,2133817.8,3660.0,4233120.0,2.1338178E8,67.41389823951987,13.813086489836374,120.40617083708445,6741.389823951987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,328.6621288537979,25.903767108917236,1117.659353017807,32866.21288537979,0.0,0.0,0.0,0.0,7206.0,0.0,154860.0,720600.0,3.6518014317088654,0.2878196345435248,12.41843725575341,365.18014317088654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,198913.39175675632,15998.207243919373,538048.8606288433,1.989133917567563E7,111691.04778239728,0.0,378432.60739183426,1.1169104778239727E7,4659211.2,327900.0,1.266672E7,4.6592112E8,484.56857763532776,80.06029195917978,981.1884111801784,48456.857763532775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Pay Invoice,2633.2906519937515,240.95800638198853,10486.75836467743,263329.06519937515,2029.7941348052025,0.0,9874.339465618134,202979.41348052025,74245.2,0.0,252180.0,7424520.0,3.3527584288252728,1.3386555910110474,4.955815125836266,335.2758428825273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,96891.62371520758,60.0,383341.803385973,9689162.371520758,96831.62371520758,0.0,383281.803385973,9683162.371520758,2282029.8,0.0,9046140.0,2.2820298E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,430.735210955143,121.27907919883728,1121.3585171699524,43073.5210955143,163.2784880924225,0.0,838.650230884552,16327.848809242249,5872.2,0.0,154860.0,587220.0,1.4858706825706696,0.6700843016306559,2.2993195123142667,148.58706825706696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,34019.69388660908,0.0,319856.7793376446,3401969.3886609077,34019.69388660908,0.0,319856.7793376446,3401969.3886609077,798193.8,0.0,7468200.0,7.981938E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58027.86573571443,972.9882161617279,173270.2683057785,5802786.573571444,56533.574655296805,0.0,171553.3173043728,5653357.46552968,1354941.6,0.0,4060140.0,1.3549416E8,8.301617113431297,2.3791006565093995,13.995775388346779,830.1617113431297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,135367.68562037707,16670.156852006912,224693.38752675056,1.3536768562037706E7,101634.2555034852,0.0,173153.9067184925,1.016342555034852E7,3159996.6,410700.0,5220180.0,3.1599966E8,187.40794509384367,79.95065874258677,292.69117339981926,18740.794509384366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13481.180157325098,164.09428763389587,36837.835713386536,754946.0888102055,1857.9839227029256,0.0,9988.247283697128,104047.09967136383,290668.9285714286,0.0,785400.0,1.627746E7,64.57331241456761,0.9116349312994215,204.65464285214742,3616.1054952157865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5554464.157426596,2.1002072077386867E7,2.9521060653059483E7
Process Cycle Time excluding out of timetable hours (s),228863.1574265957,860510.0830344033,1209899.0242083073
Process Waiting Time (s),88099.95091104507,709267.8946598006,983390.565759182
Accumulated Process Duration (s),5554464.157426596,2.1002072077386867E7,2.9521060653059483E7
Cost,342.39550561639993,842.060280574759,1455.9407842927508


Process Cycle Time (s) distribution
From,To,Count
5554464,7951123,2
7951124,10347783,7
10347784,12744443,5
12744444,15141103,5
15141104,17537763,6
17537764,19934423,4
19934424,22331083,3
22331084,24727743,51
24727744,27124403,12
27124404,29521063,5

Process Waiting Time (s) distribution
From,To,Count
88099,177628,2
177629,267158,9
267159,356688,2
356689,446218,5
446219,535748,5
535749,625278,5
625279,714808,3
714809,804338,18
804339,893868,38
893869,983398,13

Accumulated Process Duration (s) distribution
From,To,Count
5554464,7951123,2
7951124,10347783,7
10347784,12744443,5
12744444,15141103,5
15141104,17537763,6
17537764,19934423,4
19934424,22331083,3
22331084,24727743,51
24727744,27124403,12
27124404,29521063,5

Process Cost distribution
From,To,Count
342,453,5
454,565,14
566,677,19
678,789,9
790,901,12
902,1013,12
1014,1125,6
1126,1237,12
1238,1349,8
1350,1461,3

In-timetable Cycle time (s) distribution
From,To,Count
228863,326966,2
326967,425070,7
425071,523174,5
523175,621278,5
621279,719382,6
719383,817486,4
817487,915590,3
915591,1013694,52
1013695,1111798,11
1111799,1209902,5



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5554464.157426596,228863.1574265957,88099.95091104507,782.687632195155
2,8832385.67477107,364738.3590989113,195319.25334620476,942.3167483528456
3,1.3212715962847233E7,544100.7075166702,442330.10468411446,567.0406325128343
4,7252323.406223536,297126.64306378365,208687.6101386547,495.56241008970466
5,8344015.354102373,340114.2148499489,218500.76317477226,675.9208245038986
6,1.153023684991312E7,470934.36405706406,229795.36850571632,1341.5140621741612
7,8500525.3079288,351741.60622525215,235293.47631168365,651.8895335303412
8,1.0463308994341135E7,429941.03145217896,208494.2019226551,1231.399543544981
9,8077682.465813637,332042.4658136368,163918.79760670662,937.0863932172458
10,8981812.231910467,363465.6929616928,256183.54710316658,599.1975032223596
11,1.7432729450926304E7,708077.331964016,562246.7174885273,813.1192064391244
12,2.4147335844667435E7,984404.8340344429,846853.5529122353,765.2773412810432
13,1.4726301189940453E7,601885.724776268,416394.12449359894,1031.035002671348
14,1.194827323201108E7,485808.6936650276,324963.7751634121,896.4274117469788
15,1.5647771681123495E7,643453.0134599209,411122.3610520363,1291.1503240042261
16,8797807.33697033,360676.8109462261,264081.1561701298,539.5307967702549
17,2.0617970131750107E7,842978.0441954136,694692.6261167526,826.1121239092616
18,8768805.76446724,359678.6186146736,251505.40776991844,603.4465770019426
19,2.4220376606921434E7,993313.455448389,840126.135279417,852.6915406862895
20,2.430855350484562E7,1001721.1171810627,827783.1111199856,966.6982991774877
21,2.847106831090164E7,1166868.3109016418,958923.7342031002,1161.4568669531077
22,2.4781112073633194E7,1012519.3454036713,774425.7771840096,1323.655036746131
23,1.0353698530961752E7,425846.06045389175,304732.19863057137,672.9986977246075
24,1.3915281933853626E7,571767.3376092911,499345.36156892776,403.6147702972094
25,1.4112273172615767E7,573854.5427536964,436141.07735800743,766.8335668961208
26,1.7729497960059166E7,724918.5864903927,559547.123064518,921.3186541265914
27,1.8318320348442078E7,747666.9485507011,608345.2220568657,774.7243995057213
28,1.7270980996364355E7,705101.7997055054,565884.2869181633,774.3769891407755
29,2.433979556159687E7,993496.4431385994,896983.4268658161,538.3149996850225
30,2.416827564387417E7,990853.2194590569,842019.217451334,828.1857723090385
31,2.0421867266988516E7,832276.831223011,682036.3110039234,836.8410156965256
32,1.7383793754021406E7,708185.4570071697,526343.5062849522,1011.5942360493874
33,1.5389160040318727E7,629739.2687354088,524176.42292547226,591.1941613303292
34,1.1669840140192032E7,476527.6142616272,384194.5802536011,513.9999639418389
35,2.425377595448613E7,991344.3227360249,811781.5757036209,999.1088385489252
36,2.0612785403874397E7,844520.6871359348,734718.8699407578,610.5062780128586
37,2.4572843400853395E7,1006953.8856239319,762360.1795880795,1361.527887948354
38,1.8955212796577215E7,782035.5517675877,588362.9921579361,1081.7953217678598
39,2.6406624936079264E7,1085449.297217846,852607.7660968304,1293.9980138699211
40,2.678022173188901E7,1094718.4990434647,983390.565759182,619.3970462375217
41,2.417208737895751E7,989943.2698504925,908042.836104393,458.3035546753141
42,1.4059281282019138E7,578520.3121285439,499139.46757030487,441.2338621285226
43,1.940770834152651E7,796444.8684923649,706361.4410989285,502.1277644422318
44,2.4128691668987274E7,988524.3249559402,846197.0283071995,792.6092773172592
45,1.6093324200701952E7,662238.8298959732,527493.2258388996,749.6676046133042
46,2.410149649761653E7,989391.7620351315,927409.3750050068,345.3030443840557
47,2.6294326722909212E7,1077850.3313999176,867507.5328025818,1168.8220566431678
48,2.4073596223540306E7,985790.400384903,883953.8434550762,570.499319559998
49,2.3900621434292555E7,981661.9785263538,818056.4712667465,909.4851156949998
50,2.4045264393062353E7,985504.1981916428,875504.7841131687,612.4773528271253
51,2.4031927582964182E7,986115.6558496952,858272.6283788681,711.2740296694968
52,2.3805776338345766E7,979265.4478113651,786194.0616197586,1073.140024399757
53,2.4002938851064444E7,977934.8885061741,809587.9130299091,936.5229369163513
54,2.40917140885458E7,983446.7138142586,732895.0162057877,1396.9507579008741
55,2.3763248559730053E7,971573.0289123058,777349.9130055904,1081.7158576210338
56,2.3804309895445347E7,976156.9040753841,870331.2782850266,589.118359790908
57,2.378949871975684E7,975274.9189190865,885552.0276055336,499.68278050952483
58,2.3932453272531033E7,977370.49593997,805936.265857935,952.8679573125311
59,2.3761995175483227E7,975739.1130251884,884107.0174274445,511.65425213310454
60,2.72768138710804E7,1118245.698734045,902501.3583364487,1200.064341669612
61,2.3733021662083387E7,974795.5832419395,891190.9118900299,465.55546601480904
62,2.3375538757683277E7,959197.1472804546,887694.4190509319,400.43237874507895
63,2.6071228974420786E7,1071358.4848828316,847475.0078730583,1244.303812423017
64,2.369128697319317E7,975025.1322610378,748256.6375617981,1259.9726531916192
65,2.383604448409176E7,975382.6626212597,802616.1938037872,960.6940837396517
66,2.4214929055621862E7,993649.2450680733,788873.0951368809,1138.5061773671046
67,2.6015081900271654E7,1067660.862076521,911900.8307340145,866.7181278361217
68,2.358234964525962E7,965483.3127830029,760249.7416124344,1141.864535741011
69,2.6039016200715065E7,1065574.1111650467,952815.5615842342,627.1543353146977
70,2.3766855491933346E7,972683.150365591,855807.7392754555,652.2229922162163
71,2.748194679381442E7,1124406.2942433357,893325.6332039833,1287.0506731788316
72,2.7367074511717558E7,1117250.7230684757,955569.7306258678,901.0613516542647
73,2.3900557454994917E7,975548.261744976,845505.7132995129,724.058265121778
74,2.622877131244397E7,1069716.1783006191,854158.6186823845,1201.7294089410038
75,2.3538988316453695E7,966175.5894966125,863391.6057772636,573.1183301289877
76,2.3468885550074577E7,960613.9902329445,875719.7121901512,473.1231087181303
77,2.345634023291135E7,962049.3861341476,779713.3368952274,1014.4318245490391
78,2.365276840188241E7,967143.9785749912,832816.4321599007,747.053107852406
79,2.3822736459447622E7,978091.0254108906,747247.4325504303,1282.6535971773994
80,2.3466261294503212E7,963440.2540857792,787175.0862839222,980.8994892716408
81,2.3786817985414743E7,973851.8342707157,812885.4362268448,896.2153732246825
82,2.359655253550148E7,966874.895332098,846077.4667983055,672.7751897388036
83,2.3767457193453074E7,975228.5099878311,758573.5235555172,1204.3685934649573
84,2.3359308986045837E7,959284.6842679977,874366.3121449947,473.1079669223891
85,2.3398339943306923E7,961820.7660028934,740502.703618288,1230.0528134624162
86,2.3331234665391445E7,959114.7714231014,809735.6359491348,833.5288618564605
87,2.3369769849895716E7,961196.0907354355,764437.0798618793,1094.7284505407013
88,2.5776071983050585E7,1061486.4971923828,858879.5567309856,1128.2786857565245
89,2.3499277130591154E7,963901.6100995541,794218.6752746105,943.8245864510536
90,2.6350856499564648E7,1082096.4995646477,867224.8307490349,1194.0600039376152
91,2.9521060653059483E7,1209899.0242083073,948450.6800234318,1455.9407842927508
92,2.3635918070729017E7,969538.5806839466,763225.9644603729,1147.7177483267253
93,2.354580590100932E7,965515.4367468357,871091.2183177471,525.721538819207
94,2.3607008188768625E7,968650.3892519474,879199.9749996662,499.4929867916637
95,2.351711324928236E7,964844.6524164677,806911.5476076603,878.6575471374724
96,2.3242411071485758E7,949471.0714857578,853220.1020503044,536.285053604179
97,2.338917638068819E7,955037.2888860703,893944.4095811844,342.39550561639993
98,2.5581453211728096E7,1046632.1058454514,944364.463000536,569.9130896502071
99,2.3201883960308075E7,950770.2138233185,833087.4915184975,654.0332744240761
100,2.621110720084977E7,1073844.9707586765,969783.2317187786,583.2596102462875
