Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 3,38
Role 2,64
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1563.691905836041,25.677680730819702,12869.991202354431,139168.57961940765,0.0,0.0,0.0,0.0,25631.460674157304,0.0,331440.0,2281200.0,8.68717725464467,0.14265378183788724,71.49995112419128,773.1587756633756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Amend Request for Quotation,615.3887287163344,0.0,1196.268048286438,75077.42490339279,0.0,0.0,0.0,0.0,18987.049180327867,0.0,158460.0,2316420.0,3.418826270646301,0.0,6.645933601591322,417.0968050188487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122
Analyze Purchase Requisition,381.5365120519406,243.07820987701416,538.6474981307983,72110.40077781677,0.0,0.0,0.0,0.0,9608.253968253968,0.0,158460.0,1815960.0,2.1196472891774483,1.3504344993167454,2.9924861007266577,400.6133376545377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Analyze Quotation Comparison Map,1247.605235671997,363.0245244503021,2037.7038743495941,124760.5235671997,0.0,0.0,0.0,0.0,36963.6,0.0,158460.0,3696360.0,6.9311401981777605,2.0168029136127896,11.320577079719968,693.114019817776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,47995.80661129092,649.7118315696716,141828.09196925163,1.0655069067706585E7,46603.51301778866,0.0,139230.18951511383,1.0345979889949083E7,1122553.5135135136,0.0,3318000.0,2.4920688E8,7.741996656505907,0.0,15.776732227537368,1718.7232577443112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
Approve Purchase Order for payment,29227.861107554436,60.0,129920.83929276466,2922786.1107554436,29167.861107554436,0.0,129860.83929276466,2916786.1107554436,691695.6,0.0,2975820.0,6.916956E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,525.8411221003532,0.0,5199.079121589661,52584.112210035324,525.8411221003532,0.0,5199.079121589661,52584.112210035324,17469.6,0.0,205320.0,1746960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,68317.41477484703,366.75062561035156,140976.5191218853,6831741.477484703,67784.5057010436,0.0,140521.89674520493,6778450.570104361,1608808.8,0.0,3404400.0,1.6088088E8,2.9606059655745827,2.0040133674939473,4.312670740816328,296.06059655745827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2067.1494973683357,332.6144597530365,3395.3976197242737,206714.94973683357,0.0,0.0,0.0,0.0,59006.4467111063,0.0,157371.66337490082,5900644.67111063,11.484163874268525,1.8478581097390916,18.8633201095793,1148.4163874268525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,76569.3770363593,2917.6849880218506,160543.34536623955,7656937.703635931,64744.654639575485,0.0,139390.02773594856,6474465.463957548,1784335.8,0.0,3728700.0,1.7843358E8,65.69290220435461,12.786366656091477,119.37686140404807,6569.2902204354605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,364.67005243778226,17.304256916046143,1979.702577829361,36467.00524377823,0.0,0.0,0.0,0.0,7242.6,0.0,158460.0,724260.0,2.025944735765457,0.09613476064470079,10.99834765460756,202.59447357654568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,272076.7201230121,14712.890753269196,604026.4909501076,2.7207672012301207E7,171804.49253496886,0.0,439243.59540367126,1.7180449253496885E7,6359907.6,277440.0,1.416906E7,6.3599076E8,557.0679310446845,72.05519378185272,979.1980777806706,55706.79310446846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Pay Invoice,1130.7092776608467,242.4118835926056,5218.271001815796,113070.92776608467,606.7722974920273,0.0,4825.095386266708,60677.22974920273,39916.8,0.0,205320.0,3991680.0,2.910761000937886,1.3467326866255867,4.923185224003262,291.0761000937886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,36.6,0.0,3660.0,3660.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,404.10022075414656,120.26994228363037,1085.8543994426727,40410.02207541466,140.46131960868834,0.0,712.0649683475494,14046.131960868835,109.8,0.0,3660.0,10980.0,1.4646605619192128,0.6681663460201688,2.2932781325446236,146.46605619192127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,186194.29077189445,0.0,434031.2061741352,1.8619429077189445E7,186194.29077189445,0.0,434031.2061741352,1.8619429077189445E7,4342951.8,0.0,1.016292E7,4.3429518E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,52650.3056920886,1097.1283786296844,139944.00173521042,5265030.56920886,51249.36069342852,0.0,138072.486171484,5124936.069342852,1231443.6,0.0,3245940.0,1.2314436E8,7.783027770333816,2.8525113662083945,13.393573719925351,778.3027770333816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,106538.18397119045,18864.643614530563,178424.02051186562,1.0653818397119045E7,72786.77033257962,0.0,137811.1734263897,7278677.033257961,2484544.2,374700.0,4110600.0,2.4845442E8,187.507853547838,80.8748158507877,292.49780274894505,18750.785354783802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12312.969966711,195.2858374118805,36304.68745136261,529457.708568573,547.0941057149754,0.0,5094.816158771515,23525.046545743942,300019.5348837209,0.0,911460.0,1.290084E7,65.36597700553347,0.0026786115434434678,201.69270806312562,2810.737011237939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5448963.224529266,2.2261728732401665E7,3.059622755620122E7
Process Cycle Time excluding out of timetable hours (s),225123.22452926636,912082.8856905603,1253777.0140237808
Process Waiting Time (s),151172.138348341,748700.0598851943,1013253.3621327877
Accumulated Process Duration (s),5448963.224529266,2.2261728907409802E7,3.059622755620122E7
Cost,379.418002210723,907.6989494437111,1432.9017117434075


Process Cycle Time (s) distribution
From,To,Count
5448963,7963689,5
7963690,10478416,3
10478417,12993143,7
12993144,15507870,4
15507871,18022597,6
18022598,20537324,2
20537325,23052051,8
23052052,25566778,9
25566779,28081505,52
28081506,30596232,4

Process Waiting Time (s) distribution
From,To,Count
151172,237380,9
237381,323589,3
323590,409798,4
409799,496007,4
496008,582216,4
582217,668425,5
668426,754634,3
754635,840843,11
840844,927052,29
927053,1013261,28

Accumulated Process Duration (s) distribution
From,To,Count
5448963,7963689,5
7963690,10478416,3
10478417,12993143,7
12993144,15507870,4
15507871,18022597,6
18022598,20537324,2
20537325,23052051,8
23052052,25566778,9
25566779,28081505,52
28081506,30596232,4

Process Cost distribution
From,To,Count
379,484,11
485,590,9
591,696,11
697,802,8
803,908,8
909,1014,12
1015,1120,10
1121,1226,14
1227,1332,10
1333,1438,7

In-timetable Cycle time (s) distribution
From,To,Count
225123,327988,5
327989,430854,3
430855,533720,7
533721,636586,4
636587,739452,5
739453,842318,3
842319,945184,8
945185,1048050,9
1048051,1150916,52
1150917,1253782,4



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6586558.403951645,270237.4039516449,172342.16832304,543.8624201589162
2,6747905.454546452,276272.92411470413,165446.49396276474,615.7023897329967
3,8557822.951267004,356493.52957582474,171472.25894975662,1027.8959479226007
4,1.1225190524246216E7,462095.93727612495,301813.6677443981,890.4570529540381
5,6632596.381126404,271520.89227437973,159999.97481417656,619.5606525566843
6,8071887.284894466,330645.5214138031,176380.9814271927,857.0252221478357
7,1.0918551327891827E7,449640.4308812618,229222.14551639557,1224.5460298048124
8,6275892.9711101055,259469.86114692688,152441.43867635727,594.6023470587199
9,5448963.224529266,225123.22452926636,151172.138348341,410.83936767180757
10,1.0088691658170938E7,407824.01669692993,227534.8271305561,1001.6066087020769
11,1.4653351521045923E7,594932.2070310116,417216.073759079,987.3118515107367
12,2.959728513436675E7,1210854.5625097752,993477.2906832695,1207.6515101472535
13,1.3675974289069891E7,557033.844638586,374404.28264927864,1014.6086777183747
14,2.1971685073506594E7,901302.927533865,729104.9587414265,956.655382180214
15,1.2017723353574514E7,493831.4854424,282072.0787990093,1176.4411480188369
16,1.7261996509761095E7,704956.6611769199,487017.3813381195,1210.7737768822246
17,1.2252956565160751E7,504995.80018401146,324356.22077155113,1003.553218958113
18,1.1974220047308445E7,492528.64599990845,251522.57494354248,1338.9226169798108
19,2.6997053488070488E7,1104643.2499027252,962431.7210376263,790.0640492505497
20,1.720550073615265E7,704650.3881237507,532949.94794631,953.8913343191147
21,1.7983231453164577E7,741091.4531645775,552910.24487257,1045.4511571778191
22,1.123269647082448E7,459120.5408689976,352136.66916394234,594.3548428058624
23,1.1823042946028233E7,483363.53354144096,391313.971919775,511.38645345369974
24,2.6827414714333296E7,1098432.5044660568,960423.1560902596,766.7186020877627
25,1.5422446845995665E7,626980.9815442562,485463.75832152367,786.2067956818474
26,2.516266356953168E7,1028814.3531963825,819166.7103765011,1164.7091267771189
27,1.4083706107928991E7,573536.7261838913,452675.41891264915,671.4517070624565
28,2.1775177217014313E7,893530.2865407467,678564.2590548992,1194.255708254708
29,2.7102884288009405E7,1105336.7855625153,1008102.2912561893,540.191635035144
30,2.6742511069375515E7,1090394.031913042,889604.1400184631,1115.4993994143274
31,2.0471326509702206E7,838731.7136118412,634189.0019454956,1136.3483981463644
32,2.198024173473835E7,899004.3486206532,715424.753383398,1019.8866402069727
33,1.857945973692465E7,758249.3110358715,540422.9603719711,1210.1463925772243
34,1.7799217565868616E7,730422.0651657581,554175.2031702995,979.1492333081034
35,2.4357291848664284E7,997972.7071204185,806713.3846755028,1062.551791360643
36,2.7050978031965733E7,1108172.2670457363,895659.9953863621,1180.6237314409677
37,1.6812128525224686E7,693184.2713634968,614033.9194185734,439.7241774717966
38,2.068624644681239E7,849082.6079461575,654342.3789293766,1081.890161204338
39,2.1565896236473083E7,885289.6051402092,657701.8072443008,1264.3766549772683
40,2.5183767887284517E7,1033503.230907917,858950.2625522614,969.7387130869761
41,2.4618136522871494E7,1011450.7443361282,791631.0049467087,1221.220774385664
42,3.059622755620122E7,1253777.0140237808,995854.7059099674,1432.9017117434075
43,1.7667816599262714E7,725147.9372270107,654664.3128223419,391.5756911370489
44,2.6389354031584024E7,1084544.2399141788,894167.4414637089,1057.6488802803888
45,2.55026405689106E7,1047694.0835132599,804982.0901663303,1348.3999630384974
46,2.6520027416082382E7,1088382.4285461903,863599.9333171844,1248.791640161143
47,2.28764664946208E7,935431.9732682705,817181.6426360607,656.9462812900543
48,2.649084894668746E7,1083635.2911028862,857998.8961634636,1253.6327541841401
49,2.505759735380745E7,1029760.7381978035,837367.8848845959,1068.8491850733753
50,2.6307141515669107E7,1082851.966621399,1013253.3621327877,386.65891382561784
51,2.9658915560587883E7,1220657.3277773857,976261.2303440571,1357.7560968518255
52,2.6781300487766743E7,1098300.4877667427,977016.9601781368,673.7973754922551
53,2.5314495894943476E7,1033123.8913872242,881449.0382347107,842.6380730695195
54,2.6248595486047506E7,1073408.453461647,915689.0984640121,876.2186388757494
55,2.6183076538100958E7,1072368.154752493,970017.8964750767,568.6125459856459
56,2.638036621344161E7,1078374.693222046,875278.0764276981,1128.3145377463763
57,2.6205969935128927E7,1072836.1331112385,851619.5550837517,1228.9809890415931
58,2.6191954317501783E7,1072827.7766151428,849531.4098491669,1240.5353709220885
59,2.6942597851570845E7,1102615.0927519798,994737.1428482533,599.3219439095922
60,2.616392072562766E7,1072878.675838232,842525.7635240555,1279.738401745425
61,2.6311155365394592E7,1079231.1341753006,939261.9225535393,777.6067312320074
62,2.3619018740129232E7,969732.5160074234,890306.1094698906,441.2578140974045
63,2.1441920996337652E7,878165.0222039223,805415.4969251156,404.16402932670377
64,2.524045114546871E7,1037584.0375916958,936941.8470358849,559.1232808656163
65,2.6252780176352262E7,1073259.3288505077,931984.0861976147,784.8624591827394
66,2.6082293426460743E7,1071598.089756012,947726.0224399567,688.1781517558628
67,2.6226314400327682E7,1074796.0781941414,994954.4354789257,443.56468175119824
68,2.6817952861401558E7,1096831.45475173,957584.2158575058,773.5957716345788
69,2.6903166134830713E7,1098762.1483807564,860436.4137997627,1324.0318587832978
70,2.2343497251569748E7,915868.3574001789,847573.1170022488,379.418002210723
71,2.5959215345618725E7,1065480.849202633,842851.215990305,1236.8312956240438
72,2.5995851133646727E7,1062171.280544281,952194.6823792458,610.9811009168625
73,2.805577066955614E7,1143926.1092681885,951077.6866641045,1071.3801255782446
74,2.596822186856723E7,1062551.0731446743,890036.1689581871,958.4161343693735
75,2.6213608299722433E7,1069799.614088297,895238.1179683208,969.7860895554226
76,2.6199492887284994E7,1069639.0634570122,972187.7720561028,541.3960633383857
77,2.6185126381411552E7,1069282.5771811008,963381.2734382153,588.3405763493644
78,2.591319886768484E7,1063489.4519603252,876884.9380614758,1036.6917438824971
79,2.6059252935548306E7,1068752.8901166916,910057.6829068661,881.6400400545863
80,2.614461067888856E7,1070843.110168457,920207.5967342854,836.8639635231762
81,2.8627018212487936E7,1175148.8305401802,959159.3493950367,1201.1515106717743
82,2.585850466517687E7,1064892.5371570587,814625.3131234646,1390.7246771905154
83,2.600286358352399E7,1064798.5393264294,854344.6445634365,1169.188304238849
84,2.5828325129417658E7,1059127.245830536,898985.3588831425,889.6771497077411
85,2.5814540799472094E7,1059429.4001321793,914950.6095957756,802.6599474244649
86,2.613481100205326E7,1069516.8783712387,823430.0345733166,1367.1491322106783
87,2.578693033467126E7,1059772.2595083714,964072.315507412,531.6663555608856
88,2.6032372234909296E7,1067045.6584632397,837645.5617518425,1274.4449817299842
89,2.6364004836619854E7,1084755.833214283,909419.8060820103,974.0890396237373
90,2.728917510942912E7,1116215.109429121,890294.3589606285,1255.115280380514
91,2.598893774310398E7,1062031.5908982754,854167.8059711456,1154.7988051507207
92,2.6324067795583725E7,1083192.3506112099,931009.99873209,845.457510439555
93,2.570283412675762E7,1056053.499600172,979741.7716283798,423.9540442877345
94,2.6293577808384657E7,1080693.1970934868,916111.259000063,914.3441005190215
95,2.6226495298841476E7,1078066.2892258167,821133.0512189865,1427.4068778157232
96,2.582119316927457E7,1054401.5058996677,943508.6350317001,616.0715048220424
97,2.58065274360826E7,1053702.7994053364,958516.1691493988,528.8146125329866
98,2.579364266087413E7,1054801.629869461,971647.4932706356,461.9674255490302
99,2.5877852426844835E7,1055703.7868583202,918934.8754398823,759.8272856579887
100,2.5764713178424597E7,1053841.498399496,972826.4162249565,450.0837898585531
