Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,51
Role 2,81
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1661.099252488203,1.5805578231811523,9016.491825342178,260792.5826406479,0.0,0.0,0.0,0.0,35341.91082802548,0.0,324180.0,5548680.0,9.228329180490022,0.008780876795450846,50.09162125190099,1448.8476813369334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157
Amend Request for Quotation,634.2407515831576,110.2698221206665,1104.4649930000305,83085.53845739365,0.0,0.0,0.0,0.0,14244.274809160306,0.0,158460.0,1866000.0,3.523559731017543,0.6126101228925916,6.135916627777947,461.58632476329814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131
Analyze Purchase Requisition,394.1678865235481,240.21617937088013,539.5572969913483,121009.54116272926,0.0,0.0,0.0,0.0,8425.99348534202,0.0,158460.0,2586780.0,2.1898215917974886,1.3345343298382228,2.997540538840824,672.275228681829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307
Analyze Quotation Comparison Map,1183.4601564995448,378.11918449401855,2034.1565811634064,177519.02347493172,0.0,0.0,0.0,0.0,24017.6,0.0,158460.0,3602640.0,6.574778647219693,2.1006621360778808,11.300869895352257,986.2167970829539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,57535.32289141947,523.6078560352325,284206.78192973137,1.616742573248887E7,56173.78442248755,0.0,283015.4056992531,1.5784833422719002E7,1339394.946619217,0.0,6553200.0,3.7636998E8,7.56410260517732,0.3042712913619147,15.927756412823994,2125.512832054827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281
Approve Purchase Order for payment,59335.1243959109,60.0,287177.4631214142,8900268.659386635,59275.1243959109,0.0,287117.4631214142,8891268.659386635,1387799.6,0.0,6708120.0,2.0816994E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,4460.498461926778,0.0,21510.940195322037,669074.7692890167,4460.498461926778,0.0,21510.940195322037,669074.7692890167,107093.2,0.0,504300.0,1.606398E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,140592.56013038952,427.4037067890167,290301.19173669815,2.108888401955843E7,140039.94200615087,0.0,289890.6270728111,2.1005991300922632E7,3296963.6,0.0,6758520.0,4.9454454E8,3.070100690214721,2.0129394544495476,4.281420878569285,460.5151035322081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1948.4195155159632,345.7117295265198,3382.2374958992004,292262.9273273945,0.0,0.0,0.0,0.0,57857.368111869495,0.0,157341.8780555725,8678605.216780424,10.824552863977578,1.9206207195917766,18.790208310551115,1623.6829295966368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,129161.53499631563,3888.837124109268,305275.7289249897,1.9374230249447346E7,117338.26666785558,0.0,291536.3631091118,1.7600740000178337E7,3032003.2,43260.0,7212420.0,4.5480048E8,65.68482404700033,13.610493973890941,120.68725531366137,9852.72360705005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,332.7096827681859,5.782332420349121,1155.2221624851227,49906.45241522789,0.0,0.0,0.0,0.0,8814.4,0.0,158460.0,1322160.0,3.696774252979844,0.06424813800387913,12.835801805390252,554.5161379469766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,340111.02538593294,14763.23869729042,870242.5159733295,5.101665380788994E7,244777.52299892108,0.0,709051.1575498581,3.671662844983816E7,7960657.6,407040.0,2.045916E7,1.19409864E9,529.6305688167328,69.3452518304189,972.2348017864757,79444.58532250991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307
Pay Invoice,3923.607541440328,243.76777577400208,21654.970756053925,588541.1312160492,3368.1622513214747,0.0,21297.636497974396,505224.3376982212,94361.6,0.0,421560.0,1.415424E7,3.0858071673269625,1.3542654209666782,4.913878851466709,462.8710750990444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,1633.2,0.0,158460.0,244980.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,703.9101599359512,124.9185791015625,21594.27418899536,105586.52399039268,433.6295998398463,0.0,21217.69596171379,65044.439975976944,21825.6,0.0,421560.0,3273840.0,1.5015586672005832,0.6737614048851861,2.332648436228434,225.23380008008746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,315030.9082835293,0.0,712229.3574745655,4.725463624252939E7,315030.9082835293,0.0,712229.3574745655,4.725463624252939E7,7343311.6,0.0,1.666572E7,1.10149674E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,83180.46366730213,785.6043043136597,289345.01876688004,1.247706955009532E7,81772.62882088502,0.0,288706.75702548027,1.2265894323132753E7,1948741.6,0.0,6708060.0,2.9231124E8,7.821304702317269,1.382656787501441,13.20296376016405,1173.1957053475903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,189225.2096276792,30297.214270591736,344678.252938509,2.838378144415188E7,155264.39653764406,0.0,294047.1516120434,2.328965948064661E7,4420477.2,828600.0,8120280.0,6.6307158E8,188.6711838335284,80.52618784772025,290.34115040832097,28300.67757502926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,12947.96284043358,16.259427070617676,46054.396719932556,1074680.9157559872,3214.850843567446,0.0,20504.512441158295,266832.620016098,346867.9518072289,0.0,1156380.0,2.879004E7,54.07284442703407,0.09033015039232042,255.85775955518088,4488.046087443828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6665870.00683856,3.386059662885371E7,4.345591638009381E7
Process Cycle Time excluding out of timetable hours (s),274578.06674814224,1387296.0607418506,1777314.8711977005
Process Waiting Time (s),175911.4105758667,1228772.1869755522,1601775.5466957092
Accumulated Process Duration (s),6665870.00683856,3.386059662885371E7,4.345591638009381E7
Cost,311.75865846872324,882.5365747170359,1455.934619087643


Process Cycle Time (s) distribution
From,To,Count
6665870,10344874,4
10344875,14023879,9
14023880,17702884,8
17702885,21381889,0
21381890,25060894,10
25060895,28739899,5
28739900,32418904,10
32418905,36097909,10
36097910,39776914,10
39776915,43455919,84

Process Waiting Time (s) distribution
From,To,Count
175911,318497,10
318498,461084,3
461085,603671,8
603672,746258,1
746259,888845,8
888846,1031432,7
1031433,1174019,10
1174020,1316606,10
1316607,1459193,26
1459194,1601780,67

Accumulated Process Duration (s) distribution
From,To,Count
6665870,10344874,4
10344875,14023879,9
14023880,17702884,8
17702885,21381889,0
21381890,25060894,10
25060895,28739899,5
28739900,32418904,10
32418905,36097909,10
36097910,39776914,10
39776915,43455919,84

Process Cost distribution
From,To,Count
311,425,7
426,540,10
541,655,22
656,770,19
771,885,19
886,1000,20
1001,1115,11
1116,1230,22
1231,1345,13
1346,1460,7

In-timetable Cycle time (s) distribution
From,To,Count
274578,424851,3
424852,575125,10
575126,725399,8
725400,875673,0
875674,1025947,10
1025948,1176221,5
1176222,1326495,10
1326496,1476769,10
1476770,1627043,9
1627044,1777317,85



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.2477247806652546E7,515586.8066525459,282523.4174077511,1296.7093992458447
2,1.211863834838581E7,498834.63136458397,287027.58710741997,1179.0481964535181
3,1.234784361172986E7,507781.356910944,286540.3615574837,1230.4782197223767
4,2.4084435947683334E7,985865.5604588985,900381.1831226349,475.0049766858418
5,7580793.233581305,311671.2137892246,212627.4041724205,551.4583669781686
6,1.0537952634528399E7,433212.92659926414,245484.8283150196,1046.069235285123
7,1.0735457675863266E7,439405.01947164536,226896.7250378132,1180.8381453341906
8,6665870.00683856,274578.06674814224,175911.4105758667,548.6280331399706
9,2.264523035605383E7,928650.3560538292,794250.9159164429,752.8150275879436
10,1.2005035979336262E7,486725.0472970009,342502.73313355446,802.0941055125662
11,1.536078433530736E7,628550.5739557743,501877.26458644867,707.7397818538878
12,1.3261626592011452E7,539323.021766901,324291.8462460041,1195.3773928006487
13,1.6096170199069738E7,657098.915646553,497805.83316612244,886.2474343763458
14,8008374.03618145,328862.8574502468,215291.59364390373,633.1384072197807
15,1.6169026026755095E7,660602.5240747929,511055.4562461376,834.0886566572719
16,1.0397911799631596E7,426251.5147714615,287438.17736053467,772.2538144985836
17,3.972829434797096E7,1626985.9637403488,1523852.2067661285,575.4617503656283
18,3.0887376235955954E7,1266099.2558944225,1153025.3944797516,631.2382990625171
19,1.1567560770126581E7,477673.205214262,359080.404337883,663.8276344921854
20,1.0341114581591606E7,425309.9208831787,262361.9570925236,905.7722926272287
21,2.626410996812105E7,1074669.9681210518,873404.1074457169,1121.999485900667
22,4.016121126815534E7,1643606.282238245,1442017.971274376,1120.7180827021598
23,2.3389469962735176E7,957039.2394149303,848457.5562689304,608.5276682244408
24,1.6992620660942793E7,698643.621635437,569918.4683361053,716.4321641551124
25,1.6978332740777493E7,694748.004897356,494551.39634537697,1115.1228147970303
26,1.5492848420200348E7,635564.8722605705,531707.0608050823,578.2304082843992
27,2.213267004731679E7,909127.1795477867,828250.4939873219,450.81068087683775
28,1.627760126345539E7,666503.5109558105,489265.25643086433,987.1802640769217
29,2.4440207902155638E7,996814.9840652943,928818.2072613239,381.25075876712793
30,4.160462430347085E7,1700498.9970591068,1587164.9373521805,631.0670160479015
31,4.159133891806507E7,1701213.8829350471,1478219.7292821407,1239.1381519529555
32,4.339122929466963E7,1775038.1574447155,1552186.811199665,1238.5350036528373
33,4.156329974206591E7,1701206.9845261574,1550868.3354866505,837.5773141913945
34,2.437000049509549E7,996632.1478853226,767237.4201705456,1275.5050486180517
35,3.3326264076472044E7,1363910.6227078438,1254398.1879897118,610.3783547772302
36,4.1521166701719284E7,1701172.2423467636,1562486.3843581676,772.1280055258011
37,2.3621818382128954E7,967936.8475453854,737588.585246563,1280.6801147951019
38,1.679587916684842E7,691125.6444780827,592646.589048624,549.2053461909295
39,4.131733688708019E7,1697929.2367956638,1601775.5466957092,534.3422429177498
40,4.146491122570562E7,1697514.9612665176,1521043.4365193844,985.077563238144
41,4.1289731974158525E7,1694725.6286232471,1538042.991515398,871.5418163749906
42,3.972151976700592E7,1628432.3658633232,1434239.7686066628,1080.2783557799128
43,3.339708211256194E7,1370419.5538730621,1243889.3936343193,703.0303086519242
44,3.480149922790313E7,1427093.521528244,1289997.001698494,764.7746381878853
45,2.5927422710488558E7,1062072.4121768475,924215.5867965221,768.9404967241817
46,2.933139181535721E7,1205228.6779601574,958647.5491027832,1371.8027371777428
47,2.4187659783581734E7,989635.9358930588,880080.5349111557,612.3781567136448
48,4.118370898066473E7,1687067.2872185707,1478161.529045105,1160.6240501138898
49,2.561351436451292E7,1049234.552798748,847160.4816172123,1124.3836901466052
50,4.132436171382952E7,1693498.399968624,1496207.2698304653,1098.0135875463484
51,2.3426392043642044E7,961561.3111231327,863149.351077795,549.0391506089105
52,2.3586760865857363E7,965980.8658573627,889499.2939109802,429.74201006889336
53,4.1282229200959206E7,1686266.659936905,1549155.7857091427,764.3804952833389
54,4.12687508159945E7,1686799.5696105957,1438307.6033992767,1381.1243639005554
55,2.5529219309034586E7,1041764.0227630138,927399.5264866352,636.2066900173824
56,3.1393489550833702E7,1281923.5761852264,1137964.2797026634,800.2644871698486
57,3.2860688118086338E7,1347272.2636096478,1130283.0224659443,1207.5122639563344
58,3.032748574152088E7,1241870.8179807663,1031926.7747519016,1167.1843882110384
59,3.127672701388812E7,1279186.1526920795,1096960.5312120914,1013.5494005295966
60,2.9526207992578506E7,1210668.9900491238,1050054.8755702972,893.199033179548
61,4.101020416856456E7,1684656.333536625,1522165.4188511372,904.8220987333193
62,4.159401297262311E7,1706066.2554585934,1504719.724370718,1119.0964346435335
63,3.388673797899294E7,1390896.4430031776,1147448.5868854523,1354.5743838932776
64,2.766251323441744E7,1139316.657512188,984651.8277285099,859.6792866335975
65,2.962398519832325E7,1212728.7648456097,1110342.9761829376,572.1707973082861
66,4.093303931477332E7,1677559.4089269638,1490073.6090614796,1043.689504447248
67,3.090584798397708E7,1268865.9820353985,1149775.207050085,663.284687072701
68,4.091245455157113E7,1677805.25669384,1507023.8726112843,949.5172675887744
69,4.1057977489751816E7,1678808.1841208935,1496537.5530414581,1013.7973863032129
70,4.088288363146782E7,1676199.667031765,1575059.4818618298,563.3540242645475
71,4.103087005605292E7,1679737.460107088,1455598.3556685448,1247.8420908199414
72,3.904045943130207E7,1598359.5845770836,1336987.788946867,1455.934619087643
73,3.445128315135622E7,1411174.7256264687,1230768.0844073296,1004.086447090573
74,4.098816126441145E7,1675635.9138383865,1439792.8367831707,1313.656133617295
75,3.8654742600634575E7,1582573.0537555218,1424635.8558895588,878.8488616598978
76,3.769264743364096E7,1542370.8798217773,1297621.9677305222,1360.607191815641
77,4.078536350347948E7,1673226.0704214573,1456688.8154900074,1206.568471823798
78,2.980302060180378E7,1220969.0453932285,1158607.9067032337,347.95982053809695
79,4.0756854792183876E7,1672702.8189835548,1511483.5030918121,896.2159321440591
80,4.090371989848423E7,1675182.7096993923,1588246.8499863148,489.3948993086815
81,4.072770039046502E7,1671642.4767053127,1501525.636648178,945.8492205553583
82,3.327495724643588E7,1366058.3895478249,1193973.1594405174,959.5413397868475
83,4.086292864223099E7,1672843.6362543106,1439675.9495141506,1296.7166742655963
84,3.0926596789180517E7,1265079.0145664215,1179677.0598669052,474.5845921370718
85,3.539235298204136E7,1450452.8125884533,1230251.9201951027,1223.3704151431718
86,3.9005525495800495E7,1597430.9137032032,1423866.2001736164,967.8492943127951
87,3.3303183926448107E7,1363418.0275716782,1282396.3021576405,451.3974669271045
88,3.276111351244259E7,1343286.225805521,1243366.674186945,557.9674688961773
89,3.664662267887139E7,1506842.3138754368,1382002.8289649487,696.33229531712
90,4.2075754120361805E7,1726474.120361805,1500879.4660727978,1254.6210389375683
91,4.05902260816741E7,1666966.5182199478,1532458.5839064121,747.7885833382608
92,4.049313954770613E7,1659642.8584852219,1497626.1858234406,901.0693156666227
93,3.9613287350311756E7,1625994.89579916,1493073.785905838,739.6836032218403
94,4.2352145441654205E7,1734628.289346695,1526744.3184392452,1155.954420975844
95,3.682186494231391E7,1510596.9378068447,1398609.1127979755,622.6391504062548
96,4.0519618638002634E7,1659396.7599470615,1438088.2879841328,1231.5850561963186
97,4.049599809811711E7,1653439.347419262,1524204.687319994,719.0618635707432
98,3.883779648279309E7,1587127.578578949,1503018.4027495384,468.6438402997122
99,4.039473894985676E7,1652110.121112585,1564699.3751444817,486.7238981339666
100,4.0455401759020805E7,1654783.9523251057,1485134.8950469494,945.9396651691862
101,4.044989090040469E7,1659620.2096223831,1595785.7181577682,354.98552797900305
102,4.0436374050380945E7,1660118.362138033,1513039.7623722553,817.5967412034671
103,4.0583401081585884E7,1662721.285564661,1456854.9640700817,1143.978636519114
104,4.082756310146332E7,1672312.1350989342,1497666.1912910938,970.6273266527387
105,4.038454328117013E7,1654075.7391879559,1526617.2676124573,708.6598277727763
106,4.037235069929981E7,1655882.4695577621,1490540.8057334423,919.8672183513643
107,4.052716039155221E7,1662537.4979288578,1543057.414073944,665.6022224214342
108,4.0351507874653816E7,1655791.4002449512,1485869.6961188316,945.0963604384
