Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,8
Role 2,11
Role 5,44

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,43859.80631883718,373.1466290950775,77258.00262522697,4736859.082434416,42275.56482211528,0.0,74688.24615097046,4565761.00078845,1023610.0,0.0,1837320.0,1.1054988E8,8.801341648455017,0.008711600303649902,47.81258347431819,950.5448980331419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
Amend Request for Quotation,28999.95826227081,0.0,74739.85537743568,2841995.9097025394,28331.589945289554,0.0,73919.7913415432,2776495.8146383762,672107.7551020408,0.0,1740060.0,6.586656E7,3.713157316562541,0.0,7.9494110001458065,363.889417023129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
Analyze Purchase Requisition,392.9872225413629,240.9592719078064,658.9662351608276,85671.2145140171,1.331217161012352,0.0,123.46903109550476,290.20534110069275,8792.477064220184,0.0,158460.0,1916760.0,2.1758666965575033,1.3386626217100355,2.9975353373421565,474.3389398495357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
Analyze Quotation Comparison Map,26717.931612389737,366.373738527298,75185.11125230789,2938972.477362871,25544.9112984809,0.0,73902.7082092762,2809940.242832899,620731.6363636364,0.0,1894920.0,6.828048E7,6.51677952171576,2.0047878755463495,11.216080992751651,716.8457473887336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Analyze Request for Quotation,42525.15305215694,267.4047167301178,181793.99335741997,8845231.834848642,41160.40548062095,0.0,180370.4782357216,8561364.339969158,1000328.8213911859,0.0,4312260.0,2.0806839484936666E8,7.585289015831095,0.0,14.773973394764795,1577.7401152928678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208
Approve Purchase Order for payment,23816.80752433647,60.0,177248.34696102142,2619848.8276770115,23756.80752433647,0.0,177188.34696102142,2613248.8276770115,561740.1818181818,0.0,4132200.0,6.179142E7,0.3333333333333332,0.3333333333333333,0.3333333333333333,36.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Authorize Supplier's Invoice payment,85830.19121771943,0.0,319875.2792198658,9441321.033949137,85830.19121771943,0.0,319875.2792198658,9441321.033949137,2007571.6363636365,0.0,7540260.0,2.2083288E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Choose best option,19860.635769690165,0.0,74502.03288984299,2184669.9346659184,19860.635769690165,0.0,74502.03288984299,2184669.9346659184,464146.9090909091,0.0,1740060.0,5.105616E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Purchase Order,71562.26265534488,389.868266582489,181399.6502585411,7871848.892087936,70981.75822950927,0.0,180659.285677433,7807993.405246019,1671349.0909090908,0.0,4312260.0,1.838484E8,3.225024587975607,2.014957943227556,4.331125662061903,354.7527046773168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Purchase Requisition,37970.49509724704,1158.482313632965,76297.31513762474,4176754.460697174,36203.21976654313,0.0,73986.94728159904,3982354.174319744,887406.847467947,10445.36866903305,1789345.2841243744,9.761475322147417E7,9.818196281688385,1.6913537912898593,18.93371078305774,1080.0015909857223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Quotation comparison Map,45775.74162584218,3867.6250445842743,196570.6561408043,5035331.57884264,33929.14328163971,0.0,180171.61609649658,3732205.7609803677,1068535.6363636365,50460.0,4589700.0,1.1753892E8,65.8144352455693,12.714873161580828,120.61635317669975,7239.587877012623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Create Request for Quotation,327.27498924515464,3.000837802886963,1424.0851473808289,36000.24881696701,0.20948933037844572,0.0,23.04382634162903,23.04382634162903,9039.272727272728,0.0,158460.0,994320.0,3.6340611101641813,0.03334264225429959,15.823168304231432,399.74672211805995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Deliver Goods Services,327632.5579203562,31316.141481637955,652596.0689091682,3.6039581371239185E7,234688.6280764103,0.0,534105.809276104,2.5815749088405132E7,7663442.181818182,673740.0,1.53291E7,8.4297864E8,516.3551657996995,92.82561185095045,979.8780677901374,56799.068237966945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
Pay Invoice,54130.18610920256,241.004328250885,320755.54302573204,5954320.472012281,53571.17298771685,0.0,320292.1757619381,5892829.028648853,1261307.4545454546,0.0,7540260.0,1.3874382E8,3.10562845269839,1.338912934727139,4.970582205719418,341.6191297968229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Release Purchase Order,603.8496968897906,60.0,33167.00212430954,66423.46665787697,543.8496968897906,0.0,33107.00212430954,59823.46665787697,15621.818181818182,0.0,785400.0,1718400.0,0.3333333333333332,0.3333333333333333,0.3333333333333333,36.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Release Supplier's Invoice,27452.64897085103,146.09561800956726,317092.924574852,3019791.3867936134,27189.15822344693,0.0,316726.13431191444,2990807.4045791626,621817.6363636364,0.0,7338540.0,6.839994E7,1.4638374855783256,0.6692640622456868,2.311628618505266,161.02212341361582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Send Invoice,269748.5155332023,0.0,534410.188519001,2.9672336708652258E7,269748.5155332023,0.0,534410.188519001,2.9672336708652258E7,6340971.818181818,0.0,1.23858E7,6.975069E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Send Request for Quotation to Supplier,40879.69590103843,797.1796782016754,181021.64650273323,4496766.549114227,39490.49077648683,0.0,179907.89443588257,4343953.985413551,951123.2727272727,0.0,4312260.0,1.0462356E8,7.717806247508886,2.017139560646481,12.257713466220432,848.9586872259774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Settle Conditions With Supplier,106752.83609699552,23694.25616335869,224667.92749404907,1.1742811970669508E7,72169.72455620766,0.0,176596.71393346786,7938669.701182842,2508884.1818181816,507960.0,5292240.0,2.7597726E8,192.12839744882146,79.56724981996749,289.6255428565873,21134.12371937036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Settle Dispute With Supplier,96871.55110056911,1134.454707145691,320254.7844772339,5424806.86163187,87475.78349053433,0.0,306875.23268795013,4898643.875469923,2265600.0,0.0,7540260.0,1.268736E8,52.19870894463762,0.6261427084604899,276.43593358596166,2923.1277008997067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7861543.050127745,3.265829296413737E7,4.1061239967158556E7
Process Cycle Time excluding out of timetable hours (s),321394.6937201023,1338465.5712148882,1684270.9254162312
Process Waiting Time (s),192819.2103126049,1182622.554938583,1565945.1987333298
Accumulated Process Duration (s),7861543.050127745,3.2658294475938268E7,4.1061239967158556E7
Cost,373.0884488383929,867.62455403989,1378.539392240842


Process Cycle Time (s) distribution
From,To,Count
7861543,11181512,5
11181513,14501482,1
14501483,17821452,3
17821453,21141422,4
21141423,24461392,11
24461393,27781362,9
27781363,31101332,14
31101333,34421302,0
34421303,37741272,0
37741273,41061242,63

Process Waiting Time (s) distribution
From,To,Count
192819,330131,3
330132,467444,5
467445,604757,3
604758,742070,7
742071,879383,10
879384,1016696,5
1016697,1154009,12
1154010,1291322,2
1291323,1428635,11
1428636,1565948,52

Accumulated Process Duration (s) distribution
From,To,Count
7861543,11181512,5
11181513,14501482,1
14501483,17821452,3
17821453,21141422,4
21141423,24461392,11
24461393,27781362,9
27781363,31101332,14
31101333,34421302,0
34421303,37741272,0
37741273,41061242,63

Process Cost distribution
From,To,Count
373,473,7
474,574,10
575,675,10
676,776,18
777,877,10
878,978,20
979,1079,7
1080,1180,14
1181,1281,6
1282,1382,8

In-timetable Cycle time (s) distribution
From,To,Count
321394,457681,5
457682,593969,1
593970,730257,3
730258,866545,4
866546,1002833,11
1002834,1139121,9
1139122,1275409,14
1275410,1411697,0
1411698,1547985,0
1547986,1684273,63



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8792436.129797935,361355.1297979355,242519.68071198463,661.2994010753102
2,1.4772213507395983E7,607108.1387269497,400137.1418836117,1152.2710250284933
3,3.999877093683195E7,1641730.9368319511,1501167.821795702,781.3211048020257
4,7861543.050127745,321394.6937201023,192819.2103126049,715.7773496667545
5,1.0780808113382101E7,439386.74868130684,337394.15302467346,568.1113676627477
6,2.2264130519243956E7,910197.3129491806,734975.7581517696,975.1710765269067
7,9736429.66830802,398994.74005723,281571.65538454056,652.9542703204686
8,2.994891971059847E7,1230080.9806256294,1104256.6081140041,701.2243562234773
9,3.996545019288349E7,1641153.6738054752,1496284.4259459972,806.3686380412844
10,1.2061415330389977E7,494867.17987012863,365061.8853702545,724.05773440467
11,2.208274701742339E7,909748.9439198971,701625.8938834667,1157.6340005649458
12,4.011507688158083E7,1645803.8017597198,1414974.3921864033,1282.766610378689
13,1.8404761997384787E7,753742.4779336452,531686.449939251,1235.217142922348
14,1.718681190377903E7,701522.1240990162,568127.041621685,742.433676481247
15,2.7185620767652273E7,1114336.8263647556,941194.4363427162,961.9807468891145
16,1.6755223170750618E7,686491.9725501537,447965.27249479294,1326.5302442855307
17,2.972658104338503E7,1219881.3005406857,1083050.9587900639,761.6834299802781
18,2.2772662694256067E7,931852.8964323997,743467.9151213169,1048.3982078644963
19,4.099694674477863E7,1682811.3389322758,1546134.3114190102,763.8852516889573
20,2.281683895135355E7,936962.5269641876,736661.5605533123,1113.1382544888393
21,1.0529734687119246E7,429527.59115719795,335963.0477669239,521.7155015071232
22,2.5822872546540737E7,1056083.6367492676,840905.6795670986,1195.9435963816113
23,4.0142329500735044E7,1643258.4768595695,1468485.4033555984,972.7682349430191
24,1.8355231198096275E7,749311.1980962753,653887.4122672081,532.4942155241966
25,2.1795270302115202E7,894799.5219731331,691279.7337620258,1132.6395032511814
26,2.6972125963481665E7,1106685.3018996716,932366.2881290913,971.2609032233557
27,2.1786104819717646E7,894008.4122343063,815708.991266489,436.3360613955391
28,2.6359646734976053E7,1082513.0193874836,918733.3795528412,913.3953065805968
29,4.0835210347813606E7,1669509.3723118305,1536405.5980713367,739.4820837683149
30,4.0839852747852564E7,1673612.8389165401,1457884.9969656467,1199.9822150852942
31,4.1061239967158556E7,1684270.9254162312,1449194.3844356537,1310.1382082396083
32,1.8234711108328104E7,745203.2286286354,554159.1291160583,1061.9921921809514
33,4.098644882771444E7,1678900.6062614918,1542377.2991671562,759.5460875166788
34,4.095090205637908E7,1679330.617558241,1502542.8255574703,982.8976137571865
35,3.969312938816261E7,1626672.0637812614,1489519.6064488888,765.577934106191
36,4.071867535081005E7,1671735.9913213253,1514978.8574225903,872.1105028708779
37,3.966939604522824E7,1627516.6723799706,1494104.925884962,742.8550827357506
38,2.9722265807394266E7,1214803.2721152306,1052224.4818599224,904.7471146861715
39,3.998920959405708E7,1636234.3479909897,1508019.1174192429,714.9033837331667
40,4.082236005791736E7,1673654.0467832088,1512844.0636165142,894.2831731518111
41,1.9478283990151405E7,799478.5348320007,701570.2229192257,544.5066218945715
42,2.942006821182561E7,1207255.4591860771,1065736.9475405216,786.7978899677595
43,4.091161982466984E7,1679283.9778442383,1431600.381812334,1378.539392240842
44,2.244654955446601E7,919614.676968813,708588.7207369804,1172.5073529177241
45,2.244210333373618E7,918605.3895716667,776019.4272956848,793.5914605524805
46,2.1494784504840136E7,883919.2523796558,767446.4856219292,649.2892824530602
47,4.049073316733861E7,1658600.5462276936,1420850.0963799953,1321.6451556483903
48,2.9287228056998968E7,1201573.9051804543,1134690.9739468098,373.0884488383929
49,2.933208082297206E7,1204302.8548822403,1092579.7512218952,625.6519604961079
50,2.1460790484750748E7,882743.5507190228,771093.7125909328,622.2755645049943
51,4.075528875314975E7,1673656.4910607338,1474160.3269357681,1109.9774573458565
52,3.975534457966328E7,1631802.8805680275,1436456.223123312,1088.6158244689304
53,2.931256678849435E7,1205561.1138772964,1116620.5127046108,495.3400056468115
54,4.069652266966939E7,1668250.4681639671,1439077.4735610485,1276.6248630060088
55,3.955518425660491E7,1618683.7469046116,1457877.8195881844,894.5947268300587
56,4.0466291588982105E7,1654497.3604662418,1565945.1987333298,492.9499247670173
57,4.045128518742657E7,1656062.5359995365,1483429.0103106499,966.9867268681527
58,3.965470196466732E7,1621456.8858661652,1504492.3095209599,653.5452403863272
59,4.0357641386027575E7,1651004.7159032822,1435381.1184678078,1200.733505472872
60,4.0857628762862444E7,1671146.3261828423,1491977.210897684,997.979801846875
61,3.1020473257735252E7,1271301.8790125847,1191135.1700589657,447.4773097515106
62,4.06379015064373E7,1669225.6754527092,1541380.701940775,712.4138434237905
63,2.524389454844284E7,1033748.1736803055,826044.9065673351,1154.8838672426011
64,2.3941175540053606E7,980503.0720257759,823701.4754252434,871.9886548823782
65,2.5819533529782772E7,1060128.0734188557,850799.7529056072,1165.0675105889636
66,2.986681664658475E7,1224282.9987466335,1154563.4468972683,389.3158186674118
67,2.5815929940718174E7,1060742.2022960186,872946.8822405338,1044.604373708036
68,4.024550413254976E7,1649029.4642279148,1439687.3191082478,1165.3392459061408
69,4.0581128613394976E7,1667157.8354654312,1535048.335007906,734.2107045491539
70,3.925515360429478E7,1604303.2522082329,1454570.9215700626,832.8639709631603
71,4.028040721514106E7,1646724.7702009678,1415780.617073536,1283.7675457557043
72,4.0204563320384264E7,1645141.173031807,1469595.6565976143,976.4378190318744
73,3.933314321877694E7,1612385.9368507862,1411117.947066307,1118.6859068314232
74,4.026287132417607E7,1646207.002409935,1478462.129755497,936.4458144466082
75,4.042553961391544E7,1653353.0679225922,1438021.7237815857,1197.9926868915556
76,3.920140641510725E7,1602178.765333891,1513278.966805458,495.01055267254515
77,2.5020435233884335E7,1022537.9453673363,883723.8170657158,771.3952203008864
78,3.921340390586877E7,1604065.3854727745,1496456.5332028866,599.2058956742287
79,2.5008266271784306E7,1021960.4657936096,894291.2836275101,714.2462235305045
80,3.918385789374137E7,1605564.5780434608,1424262.9087269306,1008.7447014662955
81,3.923299842899847E7,1609460.386733055,1475519.742517233,747.546721857124
82,2.8943792009542227E7,1187115.5292758942,1027885.0093140602,886.1265627728569
83,4.031995200795722E7,1655385.9191961288,1502030.8062331676,853.7077902078629
84,4.03672638867085E7,1657311.9722292423,1478940.2557377815,994.3784199780888
85,3.908817201553655E7,1601133.7581374645,1521569.2360196114,442.8804731819365
86,3.9135092431878805E7,1603843.4651942253,1499725.8337020874,581.7471237169372
87,4.006527929071903E7,1639993.4249119759,1523767.3975718021,646.5415957159469
88,3.9047744305167675E7,1602543.5890624523,1438984.764276266,911.0279022283027
89,4.0251729260750055E7,1652931.1778225899,1490747.31697011,901.8848268495667
90,2.871545825185442E7,1178173.1413488388,1042958.2485518456,753.1013679848777
91,4.0135633858763695E7,1645991.2800235748,1504170.2320086956,788.7856166508462
92,2.9652572948764324E7,1215814.4150443077,1049794.154380083,925.2203008029197
93,4.009869060458422E7,1644450.0956368446,1479642.2520022392,916.7784638351865
94,3.990755437141371E7,1632298.2879931927,1398990.9870538712,1299.4412855558924
95,3.9168229050148964E7,1601583.2656757832,1405562.9944953918,1089.816762819555
96,3.906420620454717E7,1598017.0503168106,1490494.2875988483,599.1976203627058
97,3.904718456702447E7,1599325.0155756474,1354044.7422003746,1363.5797771917446
98,3.981574654426718E7,1635173.5674774647,1470909.9384348392,914.584508269363
99,3.980582052996731E7,1633793.3918364048,1549036.9920771122,471.4612989955478
100,3.996594450636411E7,1637040.253737688,1538410.1836559772,549.9641384310191
101,3.901370625540066E7,1597575.255138874,1426256.5165793896,952.3867684986857
102,3.880329155461717E7,1592514.67319417,1448908.3351986408,798.5140299095049
103,3.885054249881768E7,1595558.5880396366,1525890.9035403728,392.38225178056285
104,4.000162960669875E7,1639469.6160469055,1478082.2213773727,902.0776015228696
105,3.976267595190787E7,1631611.445037365,1424464.0905179977,1152.3948109573787
106,3.8788831830412865E7,1592284.0511410236,1431485.3423564434,895.8907562202879
107,3.894266670882988E7,1594903.6445701122,1501855.9039239883,517.1928231133356
108,2.926376090324378E7,1199979.8008186817,1076315.1208598614,687.6524736232228
109,3.97216706280663E7,1629008.7432291508,1418621.4222626686,1170.7380884157285
110,2.8734176037185907E7,1171830.753061533,1080289.5978114605,509.06710656483966
