Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,9
Role 2,13
Role 5,45

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,63777.544145747146,354.138596534729,108115.09220862389,8673746.003821611,62094.304510856375,0.0,106840.94378447533,8444825.413476467,1485865.1470588236,0.0,2489400.0,2.0207766E8,9.35133130494871,0.02530176904466417,37.959102153778076,1271.7810574730245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
Amend Request for Quotation,37664.85143761697,167.23644423484802,107177.93577003479,5762722.269955397,37051.36565670936,0.0,106511.78522777557,5668858.945476532,882377.6470588235,0.0,2482200.0,1.3500378E8,3.408254338375623,0.48762047423256766,6.223917558458116,521.4629137714703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153
Analyze Purchase Requisition,389.4490821335627,240.2791678905487,539.1918339729309,107487.9466688633,0.0,0.0,0.0,0.0,8381.739130434782,0.0,158460.0,2313360.0,2.163606011853127,1.334884266058604,2.995510188738505,597.155259271463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
Analyze Quotation Comparison Map,37274.8006556562,407.67773509025574,107723.5571243763,5218472.091791868,35990.036827886106,0.0,107029.93826460838,5038605.155904055,881088.0,0.0,2482200.0,1.2335232E8,7.137576820944978,2.2648763060569763,11.250605811013116,999.2607549322969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Analyze Request for Quotation,43356.01778208599,192.8010778427124,216267.68387579918,1.2703313210151196E7,42003.978476381955,0.0,214703.76739954948,1.2307165693579912E7,1015543.2081911262,0.0,5126460.0,2.9755416E8,7.51132947613355,0.8532626734839546,15.489929494592879,2200.81953650713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293
Approve Purchase Order for payment,33354.43957527365,60.0,204315.9218659401,4669621.540538311,33294.43957527365,0.0,204255.9218659401,4661221.540538311,781892.1428571428,0.0,4643820.0,1.094649E8,0.3333333333333337,0.3333333333333333,0.3333333333333333,46.66666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Authorize Supplier's Invoice payment,98347.42311896596,0.0,351132.17737698555,1.3768639236655235E7,98347.42311896596,0.0,351132.17737698555,1.3768639236655235E7,2302428.4285714286,0.0,8278740.0,3.2233998E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Choose best option,27329.029825069225,0.0,106583.09592652321,3826064.1755096912,27329.029825069225,0.0,106583.09592652321,3826064.1755096912,630513.8571428572,0.0,2482200.0,8.827194E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Create Purchase Order,81466.03758989743,360.418981552124,214505.27643179893,1.140524526258564E7,80900.21737277848,0.0,213867.46104002,1.1326030432188988E7,1910924.5714285714,0.0,5126460.0,2.6752944E8,3.1434456506608015,2.002327675289578,4.304679130183326,440.08239109251224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Create Purchase Requisition,49930.30230174405,877.7400498390198,108480.18851184845,6990242.322244167,47990.92167711769,0.0,106835.23185348511,6718729.034796476,1167856.458517606,1721.3680772781372,2549988.2307140827,1.6349990419246483E8,10.774336803479805,1.72460169394811,18.73886112239626,1508.4071524871727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Create Quotation comparison Map,46010.91957041706,3479.1375584602356,225314.880317688,6441528.739858389,33575.72480541127,0.0,213801.06618976593,4700601.472757578,1068105.0,72060.0,5220180.0,1.495347E8,69.0844153611433,13.862376825014751,121.30503553416995,9671.818150560062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Create Request for Quotation,350.6419712679727,25.115687608718872,1184.6052703857422,49089.875977516174,0.0,0.0,0.0,0.0,10497.857142857143,0.0,158460.0,1469700.0,3.896021902977474,0.27906319565243193,13.162280782063801,545.4430664168464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Deliver Goods Services,371003.4062583259,12301.96795630455,737675.188220501,5.194047687616563E7,278079.5882404804,0.0,589566.1611866951,3.893114235366726E7,8675575.285714285,248580.0,1.719888E7,1.21458054E9,516.243433432475,65.24665128919813,963.182920814885,72274.0806805465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276
Pay Invoice,58418.473693214146,265.3141734600067,350491.8632247448,8178586.31704998,57853.29050648042,0.0,350159.5793507099,8099460.670907259,1371123.0,0.0,8278740.0,1.9195722E8,3.139906592965126,1.3948427306281195,4.982336888048384,439.5869230151177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Release Purchase Order,3314.8600259695736,60.0,76090.68203282356,464080.4036357403,3254.8600259695736,0.0,76030.68203282356,455680.4036357403,78357.0,0.0,1837320.0,1.096998E7,0.3333333333333337,0.3333333333333333,0.3333333333333333,46.66666666666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Release Supplier's Invoice,25422.49677354608,121.034658908844,348246.7761082649,3559149.5482964516,25163.55125111001,0.0,348116.1704764366,3522897.175155401,645050.5714285715,0.0,8278740.0,9.030708E7,1.4385862357559662,0.6724147717158,2.3323203510708277,201.40207300583526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Send Invoice,289619.7685380731,0.0,593682.1992726326,4.054676759533024E7,289619.7685380731,0.0,593682.1992726326,4.054676759533024E7,6730699.714285715,0.0,1.392048E7,9.4229796E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Send Request for Quotation to Supplier,48699.2018748641,722.6145598888397,215811.25162386894,6817888.262480974,47283.95189255987,0.0,214436.57195997238,6619753.264958382,1145341.2857142857,0.0,5126460.0,1.6034778E8,7.862499901690177,3.7313820322354636,14.462860740555657,1100.7499862366249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Settle Conditions With Supplier,114114.15059952396,17622.68118929863,249181.500592947,1.5975981083933353E7,79489.40698304516,0.0,213886.09222722054,1.1128516977626324E7,2680771.714285714,410700.0,5800200.0,3.7530804E8,192.35968675821547,81.6905288139979,292.21780942810904,26930.356146150167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
Settle Dispute With Supplier,109983.95399035513,949.7517921924591,351268.80876111984,7038973.055382729,99678.15188774094,0.0,336976.4316780567,6379401.72081542,2562815.625,0.0,8123940.0,1.640202E8,57.25445612563443,0.6370075477494134,211.2567641231749,3664.2851920406033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7031858.418367863,3.733099085721783E7,4.8775562198097706E7
Process Cycle Time excluding out of timetable hours (s),290377.4183678627,1529557.6844145213,1999339.362900257
Process Waiting Time (s),122543.12784075737,1372459.723306995,1895238.4477152824
Accumulated Process Duration (s),7031858.418367863,3.733099085721783E7,4.8775562198097706E7
Cost,272.7539577126503,874.7144615488584,1418.7381378014877


Process Cycle Time (s) distribution
From,To,Count
7031858,11206228,7
11206229,15380599,7
15380600,19554970,4
19554971,23729341,2
23729342,27903712,16
27903713,32078083,10
32078084,36252454,12
36252455,40426825,2
40426826,44601196,0
44601197,48775567,80

Process Waiting Time (s) distribution
From,To,Count
122543,299812,8
299813,477082,7
477083,654352,4
654353,831622,1
831623,1008892,19
1008893,1186162,10
1186163,1363432,9
1363433,1540702,2
1540703,1717972,10
1717973,1895242,70

Accumulated Process Duration (s) distribution
From,To,Count
7031858,11206228,7
11206229,15380599,7
15380600,19554970,4
19554971,23729341,2
23729342,27903712,16
27903713,32078083,10
32078084,36252454,12
36252455,40426825,2
40426826,44601196,0
44601197,48775567,80

Process Cost distribution
From,To,Count
272,386,7
387,501,7
502,616,16
617,731,16
732,846,14
847,961,23
962,1076,20
1077,1191,18
1192,1306,14
1307,1421,5

In-timetable Cycle time (s) distribution
From,To,Count
290377,461273,7
461274,632170,7
632171,803067,4
803068,973964,2
973965,1144861,16
1144862,1315758,11
1315759,1486655,11
1486656,1657552,2
1657553,1828449,0
1828450,1999346,80



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7031858.418367863,290377.4183678627,122543.12784075737,933.7337409814199
2,9433897.698122025,390608.5781979561,159392.2394938469,1286.0516421384282
3,1.2449229782581806E7,515946.32062387466,300814.6144144535,1196.336252093315
4,8962564.822205067,365704.1940140724,222275.8778307438,798.6730342361662
5,8905380.7234869,364880.05165457726,134076.11060738564,1283.0074708475006
6,4.859607313202119E7,1991031.7639439106,1787105.4045040607,1133.6078445156413
7,8119065.490488291,330157.30670523643,197137.70147824287,741.7043870078194
8,8831507.858722448,358367.7314224243,227111.00580382347,730.998971576161
9,1.7035189496221304E7,694136.9920964241,442827.83945417404,1399.0231053935154
10,2.729008617888069E7,1116314.1312522888,941707.2979047298,971.3196442312665
11,4.81942202980752E7,1973442.511084795,1824234.7578184605,829.4123278035058
12,4.8775562198097706E7,1999339.362900257,1795514.9877400398,1132.884872106711
13,2.7245003914796114E7,1115652.2246074677,958307.1324398518,874.5747642040253
14,7975887.327591419,331034.8786330223,269236.8107829094,344.7085666153166
15,1.2198955643651962E7,503657.89437770844,290199.69344353676,1186.6372501360045
16,1.1329296921218395E7,467376.92121839523,358446.8945028782,607.252539267805
17,1.2192141100992441E7,502495.4098453522,378890.0503435135,690.4978482789464
18,2.8651334400700092E7,1173590.024878502,1009257.2898492813,914.3934530589316
19,1.2633930713804483E7,513439.2284729481,383315.5856876373,724.6291848129696
20,2.7138921359517336E7,1108893.9508411884,876411.1715111732,1294.3002590351632
21,1.4518480773005247E7,595076.6714327335,407476.0129637718,1044.1977256072894
22,3.4714502344934225E7,1417448.1880066395,1178917.3707606792,1325.7393412695988
23,2.8742717817406654E7,1174324.7307517529,1002068.5779538155,958.5170282324157
24,4.831159324642682E7,1977303.1938245296,1796024.884878397,1010.5444076736768
25,1.4823637128885508E7,603401.1666798592,439740.52924633026,910.6006020598942
26,3.2182117248471737E7,1313513.7327113152,1099602.7829008102,1192.1451182179978
27,4.706502990479374E7,1927642.192665577,1832252.7406458855,531.3600453986063
28,3.617160467826176E7,1480382.9270868301,1360250.1340868473,667.6359347065292
29,1.7469102693259954E7,718389.5693502426,528338.718423605,1057.4554240584375
30,2.6791226992788315E7,1094059.541926384,931028.5188341141,906.2232629034255
31,3.767237645110321E7,1542257.1252593994,1387526.8430917263,859.9158218158617
32,2.382881264216757E7,975133.5476653576,905736.4701144695,388.0494100729624
33,4.86209773238225E7,1990291.4546778202,1795322.153081417,1085.2417725046475
34,2.5632323277034283E7,1052102.0345902443,949802.4559688568,573.4015765984853
35,4.825228257554698E7,1981097.5888712406,1762447.7497110367,1216.897605497307
36,4.703857137885857E7,1932258.2231702805,1736872.9646644592,1090.7113613751198
37,4.789291977542758E7,1962415.4043707848,1785137.1796178818,991.4601667960485
38,1.954013451733923E7,800948.301014185,642461.0751032829,880.8388569831849
39,2.377275347172308E7,974261.2547850609,909174.9709627628,362.58904755380416
40,4.7285226676297665E7,1939202.5937130451,1769193.493901968,946.247382897801
41,4.7007407821348906E7,1926031.3109333515,1849794.8887896538,425.9629193862279
42,1.750688904790306E7,715188.768777132,556068.5466692448,885.997803273466
43,2.0073734992282867E7,827483.974041462,623283.3271427155,1135.5447963158288
44,2.6717112834587336E7,1095536.0584478378,927703.7810404301,932.9535278280576
45,4.665672977706599E7,1918417.6483912468,1855288.9617526531,352.92757103575593
46,2.5645258271427155E7,1050464.9393577576,965763.4820048809,471.2668574015299
47,4.720038676277757E7,1933879.1319360733,1801043.9844925404,741.2723231156667
48,4.804855494029403E7,1971134.9402940273,1861615.317569971,609.9495429807239
49,4.681789266977644E7,1916079.9347155094,1823166.0405614376,518.9390087697242
50,3.4365134531862736E7,1404900.2905955315,1193776.161730051,1174.7053473353385
51,2.194182495146799E7,896969.4115300179,697885.411511898,1109.5239716980193
52,3.434282207799554E7,1403978.742803812,1217488.3736803532,1039.3484287473889
53,3.484801575409484E7,1426615.3041229248,1263497.2187199593,907.0626872287856
54,3.578749526601648E7,1464983.4117367268,1248368.1381835938,1204.2289865732191
55,4.763057185146904E7,1950023.9145066738,1835596.8278901577,639.4144357297156
56,2.633309768376088E7,1079619.0414288044,891207.7835793495,1047.6736542622248
57,4.787460312672353E7,1963962.0556168556,1750441.1241137981,1190.2117539445558
58,4.6654946332235575E7,1912911.0524187088,1829355.0386185646,465.05435400009156
59,4.701778888246298E7,1926546.2121958733,1783033.4592123032,799.7002491513889
60,4.8051276060787916E7,1971485.5190074444,1716157.1700787544,1418.7381378014877
61,4.700554071435189E7,1925855.251467228,1782458.5306735039,798.1360602127181
62,4.640579827757192E7,1903418.9945583344,1704226.8116118908,1110.3360831379887
63,4.782124352759886E7,1958605.3150126934,1858033.242382288,562.3128812087908
64,4.660683759903264E7,1911574.537482977,1761352.3141064644,834.987704205513
65,2.39990392958951E7,987121.4312913418,895788.6811656952,507.7467280520333
66,3.569428901871824E7,1462024.825839758,1347156.191776991,640.894145585431
67,4.69756410008986E7,1926317.8376252651,1753544.414810419,962.9235055711534
68,4.779052502178097E7,1961019.9962608814,1757386.5748546124,1132.4505760855145
69,4.6516537279186726E7,1904132.0712618828,1700400.1230840683,1135.3415776583881
70,4.676905775728655E7,1912544.9614861012,1829915.8805429935,463.33374482128346
71,2.8197225624765396E7,1153839.9592301846,920985.3251931667,1294.6170558744004
72,4.683588968967056E7,1915202.546863079,1802443.9801876545,628.5373318725162
73,3.644836979856157E7,1490645.7725074291,1393115.9043383598,544.2486972888312
74,2.435297343297434E7,996179.0034673214,937761.9247734547,326.7155743188328
75,4.6406497442508936E7,1899441.1279084682,1785035.5817291737,638.405808295144
76,4.710547407515788E7,1930701.802945137,1767706.5905923843,907.3343383193017
77,4.649534771183205E7,1906470.2814860344,1720238.601211071,1035.301217528184
78,4.7695860857657194E7,1954680.160433054,1788579.9320333004,923.4859681818222
79,4.67434696553936E7,1913857.897051096,1732017.96210742,1011.5195132692655
80,4.658374750971961E7,1911339.9561421871,1814038.301630497,542.10097275575
81,2.8435084664900064E7,1167994.3733010292,957342.8532347679,1172.9608727945222
82,4.788842478792143E7,1963541.3215882778,1864032.163061142,557.9811412188743
83,4.7281316619137526E7,1938567.0028831959,1756889.9793629646,1009.5520439624787
84,4.667266258881378E7,1913357.4713237286,1727171.534753561,1035.6008739749589
85,4.794194361481595E7,1962552.5853099823,1787013.2308764458,977.3829778763985
86,4.786654901445389E7,1959324.377812624,1895238.4477152824,356.85569743182924
87,4.6335130144715786E7,1898275.042190075,1715602.7003023624,1016.6955765989093
88,4.67090623619194E7,1913928.9121847153,1809516.9381518364,580.749874675274
89,4.623634602690625E7,1896368.3144507408,1749360.598452568,818.006238228745
90,4.784569706975675E7,1961162.3996739388,1765504.6747496128,1088.31230426232
91,4.6452606473870516E7,1903428.8486523628,1819328.0370531082,469.7065951413578
92,4.763073305089402E7,1951542.6447467804,1794322.3226776123,874.1697007616361
93,2.498314617928791E7,1026359.4676194191,952772.1914896965,410.6179027583864
94,2.5943136675322294E7,1062968.3018465042,939549.6347236633,688.0838429318535
95,4.614207664244223E7,1893156.2520012856,1750054.5131893158,799.5062945816253
96,4.739490884673834E7,1943753.9940972328,1785526.1763932705,883.4779894855288
97,4.623705250369191E7,1898820.9686543941,1783286.6578950882,642.1740088555548
98,4.740195951477766E7,1941847.060648203,1769649.505514145,960.5225687238905
99,4.730228476790476E7,1936200.2664425373,1792856.414765358,799.3925426602365
100,4.6179432203395605E7,1893644.6238546371,1723644.232903242,946.2268906222448
101,4.771838821177316E7,1955240.9129693508,1724477.7621474266,1283.9843477315371
102,4.737687204835129E7,1942575.3341619968,1743525.478276968,1107.697013382117
103,4.639119104237008E7,1898752.3743758202,1659230.4779641628,1332.0742342617775
104,4.612312458701038E7,1892736.6425130367,1800297.9089827538,514.3603260835011
105,2.407981491502881E7,986305.1574578285,937666.4692714214,272.7539577126503
106,4.645622251546264E7,1902601.6828110218,1797741.226490736,583.90413424174
107,4.6257241238348484E7,1895933.0728209019,1738058.677941084,877.9602327770658
108,4.763061009289169E7,1950951.701886177,1801793.712851286,830.8856647531192
109,4.7283994510223866E7,1942966.967146635,1766417.1677889824,982.7072978576025
110,3.154872742958951E7,1295180.7149059772,1103171.6239347458,1068.0196569985812
111,2.7211654553993225E7,1113842.7880039215,989820.8768861294,690.9369532081815
112,4.6392010918246746E7,1900205.821779728,1657167.8626542091,1350.8415971239406
