Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,48
Role 2,72
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1471.9638603019143,9.845984697341919,10078.242782115936,245817.9646704197,0.0,0.0,0.0,0.0,29859.880239520957,0.0,248580.0,4986600.0,8.177577001677305,0.054699914985232884,55.99023767842187,1365.65535928011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167
Amend Request for Quotation,617.1107298152087,0.0,1296.321890115738,90098.16655302048,0.0,0.0,0.0,0.0,12387.945205479453,0.0,158460.0,1808640.0,3.4283929434178275,0.0,7.201788278420766,500.5453697390028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146
Analyze Purchase Requisition,388.78171243201297,240.40089464187622,539.8608117103577,123243.8028409481,0.0,0.0,0.0,0.0,7218.359621451104,0.0,158460.0,2288220.0,2.159898402400072,1.3355605257882013,2.9992267317242094,684.6877935608228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317
Analyze Quotation Comparison Map,1212.816038980484,362.89506220817566,1993.4281556606293,181922.4058470726,0.0,0.0,0.0,0.0,26659.2,0.0,158460.0,3998880.0,6.737866883224916,2.0160836789343093,11.074600864781274,1010.6800324837374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,60120.03915464475,618.5808353424072,231532.88462471962,1.7795531589774847E7,58783.6006511184,0.0,230989.84906435013,1.7399945792731047E7,1401991.2162162163,0.0,5472300.0,4.149894E8,7.435816402039728,0.0,14.410392314857907,2201.0016550037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296
Approve Purchase Order for payment,60637.62218720118,60.0,231503.48172688484,9095643.328080177,60577.62218720118,0.0,231443.48172688484,9086643.328080177,1420244.0,0.0,5472300.0,2.130366E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,3200.155476311048,0.0,15961.961056947708,480023.3214466572,3200.155476311048,0.0,15961.961056947708,480023.3214466572,65737.6,0.0,378300.0,9860640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,128909.69351427397,373.21060514450073,236753.27180099487,1.9336454027141094E7,128326.39849320093,0.0,236219.30741477013,1.924895977398014E7,3021818.8,0.0,5522760.0,4.5327282E8,3.240527894850132,2.0028598374790616,4.3209668887986075,486.07918422751976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1868.3659914366403,337.3055500984192,3400.969045639038,280254.89871549606,0.0,0.0,0.0,0.0,57792.76655455907,0.0,157208.23369264603,8668914.98318386,10.379811063536886,1.8739197227689954,18.894272475772432,1556.9716595305329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,128447.09471892197,7633.719022512436,245306.2945432663,1.9267064207838297E7,116828.90902909914,0.0,230364.61064767838,1.7524336354364872E7,3006520.8,162120.0,5641740.0,4.5097812E8,64.54547605457131,13.268713882234362,120.22361820141474,9681.821408185697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,337.942223666509,8.892956018447876,1418.8297235965729,50691.33354997635,0.0,0.0,0.0,0.0,10950.4,0.0,158460.0,1642560.0,3.7549135962945455,0.09881062242719862,15.764774706628588,563.2370394441818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,305268.1696852652,12317.457649230957,777489.2039337158,4.579022545278978E7,213915.6670875756,0.0,649031.3975269794,3.208735006313634E7,7133363.2,205380.0,1.82292E7,1.07000448E9,507.51390332049795,65.24227333731122,977.5452567352189,76127.0854980747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317
Pay Invoice,3529.5163327741625,243.87345242500305,16032.95964550972,529427.4499161243,2963.8490635236103,0.0,15313.701228141785,444577.35952854156,88356.4,0.0,378300.0,1.325346E7,3.1425959402808417,1.3548525134722391,4.968787489997016,471.38939104212625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,1873.2,0.0,158460.0,280980.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,753.0381737454733,125.34900569915771,16048.576357364655,112955.72606182098,481.8220349740982,0.0,15716.527721643448,72273.30524611473,7781.2,0.0,378300.0,1167180.0,1.5067563265076394,0.6710719015863207,2.2727035522460937,226.0134489761459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,273422.4853205983,0.0,657606.8297581673,4.101337279808974E7,273422.4853205983,0.0,657606.8297581673,4.101337279808974E7,6406022.8,0.0,1.542636E7,9.6090342E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,86329.40683362485,854.0276851654053,232116.1521487236,1.2949411025043726E7,84878.25174569289,0.0,230862.8199403286,1.2731737761853933E7,2024638.4,0.0,5472360.0,3.0369576E8,8.061972710733055,3.061596026685503,15.242026334338718,1209.2959066099584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,176069.2870856603,20381.116517066956,278898.6891283989,2.6410393062849045E7,141773.21079726378,0.0,230999.75504279137,2.1265981619589567E7,4129452.0,536760.0,6581940.0,6.194178E8,190.53375715775854,79.37213022179074,289.96641915374335,28580.06357366378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,12690.987019256183,163.80827355384827,49347.830758333206,888369.0913479328,2565.324515560695,0.0,15949.828822612762,179572.71608924866,298751.14285714284,0.0,1160040.0,2.091258E7,56.25368057608604,0.26945949263042873,274.15461532407335,3937.7576403260227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6358308.005417347,3.166544627143977E7,4.161920326149511E7
Process Cycle Time excluding out of timetable hours (s),263303.80533862114,1297665.9048852094,1703184.0355956554
Process Waiting Time (s),164887.4401910305,1143565.1612942426,1526590.0488214493
Accumulated Process Duration (s),6358308.005417347,3.166544636423827E7,4.161920326149511E7
Cost,281.347008105119,858.0152330676538,1480.9356050954925


Process Cycle Time (s) distribution
From,To,Count
6358308,9884397,6
9884398,13410487,11
13410488,16936577,6
16936578,20462667,2
20462668,23988757,6
23988758,27514847,14
27514848,31040937,9
31040938,34567027,7
34567028,38093117,17
38093118,41619207,72

Process Waiting Time (s) distribution
From,To,Count
164887,301057,9
301058,437228,6
437229,573399,8
573400,709570,4
709571,845741,5
845742,981912,10
981913,1118083,11
1118084,1254254,10
1254255,1390425,22
1390426,1526596,65

Accumulated Process Duration (s) distribution
From,To,Count
6358308,9884397,6
9884398,13410487,11
13410488,16936577,6
16936578,20462667,2
20462668,23988757,6
23988758,27514847,14
27514848,31040937,9
31040938,34567027,7
34567028,38093117,17
38093118,41619207,72

Process Cost distribution
From,To,Count
281,400,5
401,520,19
521,640,16
641,760,18
761,880,24
881,1000,16
1001,1120,15
1121,1240,26
1241,1360,6
1361,1480,5

In-timetable Cycle time (s) distribution
From,To,Count
263303,407291,6
407292,551280,11
551281,695269,6
695270,839258,2
839259,983247,6
983248,1127236,14
1127237,1271225,9
1271226,1415214,7
1415215,1559203,10
1559204,1703192,79



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8401934.570557356,345553.5705573559,169853.37893795967,977.4405434833634
2,6672262.976891518,272632.05121302605,164887.4401910305,601.7133422586653
3,9423134.4566226,389477.64455127716,199526.67584753036,1055.8000323613483
4,7543910.81452322,311242.2127459049,215361.64496850967,534.2206335451868
5,1.257861364482665E7,514491.35976338387,300707.00529432297,1187.8814312352076
6,6358308.005417347,263303.80533862114,181196.6130311489,460.8023157993952
7,1.1526545261271715E7,477619.92603588104,299006.14786982536,994.691117948956
8,1.2882661159918785E7,529140.8249919415,290198.9735124111,1330.8514519969622
9,1.1313938826018572E7,462878.82601857185,307359.2920024395,864.9096982333396
10,2.6602099941006184E7,1087505.756119728,862544.7227525711,1252.8149658626978
11,7832285.542808771,316040.5769562721,228035.69004750252,489.9156998965475
12,1.2481836670260191E7,508739.0637226105,320795.7164437771,1046.1881856772634
13,3.986604326899719E7,1633156.5023303032,1460465.4438054562,961.6999989880458
14,1.1636514492537737E7,476886.4942405224,375470.9941031933,563.7907501856487
15,2.4106651717619896E7,986024.5770366192,822819.511300087,908.3311007645395
16,1.1608784557348728E7,477252.4410479069,343695.3670897484,745.2170191393959
17,1.3406684218734264E7,549101.8839299679,338730.87842798233,1170.0052935891679
18,2.1913959374735355E7,899601.6059966087,683838.0207674503,1199.111890068319
19,1.298669593581295E7,531774.1227147579,356838.0769546032,974.1024881243706
20,1.4964417436117887E7,614061.7523567677,443703.7338311672,947.8214744567872
21,3.975389564322972E7,1631035.643229723,1486992.2830851078,801.1348028408156
22,1.5107409738272905E7,619382.6919379234,504921.85049295425,637.0038054717911
23,1.5534000304611206E7,638355.3014895916,505949.8508424759,737.4421060217751
24,3.3220792842083454E7,1360117.4348139763,1154266.0360205173,1145.8406205243537
25,2.423808458868599E7,994488.9899790287,914778.9513282776,445.39380774895346
26,1.851091393447733E7,757314.9062845707,526058.4568772316,1286.8227814078327
27,1.667951761901617E7,679974.1951749325,601062.3331012726,440.84113292031816
28,1.3046008132015228E7,536958.2444682121,484033.66709542274,300.3375806861453
29,3.980398807736635E7,1626048.1802299023,1417266.5587363243,1162.3833707173662
30,1.5959033876895428E7,650103.4894676208,551373.8337056637,550.1142220656078
31,2.6519246571695328E7,1086515.2794027328,939612.593998909,817.3857048537997
32,2.050881779599166E7,839844.9094350338,688061.3892176151,843.9679004920855
33,1.4103407081877708E7,576508.3080265522,516287.7923178673,337.625971923934
34,2.1638987976270914E7,888394.3416051865,801559.4945840836,484.00168667236954
35,3.947614708876467E7,1616463.390563488,1409797.5967495441,1149.3631483210456
36,2.2818708704834938E7,936120.5938577652,812231.3333287239,688.7317439450159
37,3.969288745875764E7,1627007.7231554985,1518700.2479600906,602.0202594478924
38,2.22411308367002E7,916103.2474794388,650733.0924921036,1480.9356050954925
39,1.305477630452609E7,537755.1024603844,487149.5017464161,281.347008105119
40,2.6786818671470404E7,1098318.4206373692,1010737.3764548302,488.648826236195
41,3.947459687731767E7,1619695.8551831245,1522875.0098760128,539.2708695663347
42,2.6920336879179716E7,1101363.7037189007,1020367.3106319904,451.1869929393133
43,2.0355269750233173E7,836816.3803796768,716173.6754155159,672.8874161097739
44,3.943230723373699E7,1619391.0285367966,1516909.251262188,572.4642574018903
45,3.957955565596676E7,1622191.7102704048,1442918.112957716,997.2197812027401
46,2.63621421646266E7,1085400.823896408,875284.2539403439,1168.5820283558633
47,2.5084236504896402E7,1028481.1795396805,880955.7262020111,820.8142073379622
48,2.3814760487383842E7,976308.6676180363,831658.5379152298,805.1317719830408
49,2.6821896134694338E7,1097402.4461963177,906545.2986381054,1062.021831395891
50,4.115446445411277E7,1685556.7261359692,1483771.856765747,1121.2057406955294
51,2.6239027276188612E7,1079251.9851396084,953995.7188749313,697.1791749583351
52,3.9483373713266134E7,1619953.7132661343,1455699.297675848,914.5069005211195
53,3.9306984960431814E7,1609371.0689504147,1402480.7915780544,1156.9932640049192
54,3.929380815250659E7,1610169.537355423,1461775.7406351566,827.5219522807334
55,2.5577849317118645E7,1046950.5667495728,891471.2346944809,864.5835530983078
56,4.1080120184832335E7,1684418.3076825142,1480920.9183998108,1131.3381120443344
57,3.941135017324495E7,1611224.0512855053,1514148.089148283,540.2715147614477
58,3.923711403700566E7,1609443.835410595,1391780.8099470139,1213.1449641956222
59,3.938530820399237E7,1613178.8351595402,1464438.8796138763,828.0592509018052
60,4.161920326149511E7,1703184.0355956554,1497426.6562533379,1150.8346981869802
61,2.9173907211614847E7,1196541.0798053741,1015235.1959447861,1013.5669076999029
62,2.7896380322901726E7,1143477.9490528107,935227.4579148293,1157.4749911281795
63,2.4643711255680323E7,1010327.449401617,882501.2458035946,712.4524961564275
64,3.915254761381626E7,1609046.0530776978,1401337.9507920742,1156.9639482895532
65,2.8068917858832836E7,1149288.288245201,983645.9322733879,922.0252521793049
66,2.8155894570822716E7,1153041.9215259552,1010902.3532280922,791.1281697233518
67,3.9271625808115244E7,1608239.6107747555,1475060.7455279827,740.2767525090112
68,3.925911649205327E7,1606229.311110735,1421759.6033582687,1028.2536081817416
69,3.302776897173071E7,1351114.0749471188,1175694.4887390137,977.2038068228298
70,3.906716061569977E7,1600671.9564170837,1509493.7967362404,507.03976158301026
71,2.7118995492904663E7,1108553.7634863853,1018243.5165007114,501.93206577830836
72,3.2984450380580187E7,1346452.865068674,1121642.4391784668,1251.8738840699195
73,3.400270554958296E7,1387956.0453855991,1171883.2109920979,1200.8243973149192
74,3.917481936863303E7,1602485.4304134846,1429250.3021724224,964.015299141407
75,3.0792734183751106E7,1260936.335791111,1122500.2373554707,770.401911351416
76,2.791353645094824E7,1141000.3494307995,1019899.0789220333,673.9122863835759
77,3.897135540150571E7,1599463.470052719,1444446.812866211,862.0449494361878
78,2.9442644409376383E7,1206581.4403803349,1067061.9938755035,776.3759834143851
79,3.936342051757264E7,1612415.2643897533,1393015.1500062943,1219.0921645879746
80,3.072326116268015E7,1261402.4152302742,1071419.0330691338,1056.588387386004
81,3.907647506828761E7,1602095.5189032555,1424203.8918027878,990.0785722030535
82,2.88281869904778E7,1184902.9685118198,1043942.4070851803,784.5339517553649
83,2.7312652807749987E7,1117281.0720481873,1047486.4234597683,389.2243621852662
84,3.9035096226718664E7,1599237.5646193027,1345218.5296049118,1412.0737524085573
85,3.9019199966873646E7,1597359.5216853619,1526590.0488214493,395.91670607858225
86,3.961030340307069E7,1622531.8108701706,1491961.3675255775,727.6356520175935
87,3.899257512653065E7,1598813.8741927147,1366135.1490147114,1293.9888206005096
88,3.881538772382021E7,1594088.8627223969,1481378.9009690285,627.1347965134515
89,3.896417408763099E7,1598343.6221308708,1349453.975918293,1384.1774747106763
90,3.895026150358105E7,1594923.36126256,1424826.4241883755,947.1915878521073
91,3.8936059214249134E7,1594742.6518654823,1413092.9820270538,1009.4160026934413
92,3.892318668738198E7,1595817.8099956512,1505051.0184521675,509.7930521541171
93,3.511882487873721E7,1444056.09020257,1235905.5013074875,1159.016970653004
94,3.389252921236634E7,1391813.2043731213,1189139.5079314709,1126.6913410597376
95,3.8926534278562546E7,1597916.9160609245,1458411.0232262611,776.3896279533705
96,3.5077038465548754E7,1437130.2318561077,1227932.3353688717,1162.8973964889842
97,3.808489895881772E7,1558918.9493997097,1390911.3573846817,934.4937988268005
98,3.928103008585143E7,1608991.8976118565,1450754.296946764,883.1784549633663
99,3.2606948293259382E7,1332801.6097695827,1212774.1645133495,667.482704366578
100,3.881007432734656E7,1587556.8648574352,1513505.3611955643,412.0845436202155
101,3.274770365291524E7,1339339.707196474,1245837.2384727001,523.3972670237223
102,3.878270111350727E7,1588084.7775862217,1373146.6475832462,1195.0117620971466
103,3.876724356617141E7,1586616.380209446,1514699.7911407948,403.66002182033327
104,3.879951023462534E7,1589633.8194739819,1342419.9554469585,1373.9871513671344
105,3.857892613635731E7,1584836.2332251072,1428099.5820477009,872.3285948408975
106,3.795936686426997E7,1559165.5350942612,1406316.2860684395,853.3386559777791
107,3.7946479651911974E7,1560204.0135703087,1375488.166933775,1026.4720128205088
