Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,9
Role 2,14
Role 5,51

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,43522.66469064067,5380.018032550812,77823.82125043869,4047607.816229582,42035.31683183229,4031.2871508598328,75159.3074684143,3909284.465360403,1028097.4193548387,162120.0,1898520.0,9.561306E7,8.263043660046524,0.00889089239968194,31.411115206612482,768.4630603843267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Amend Request for Quotation,22516.92380383371,240.74657344818115,75849.44775867462,1958972.3709335327,21894.13634320511,0.0,74895.67822694778,1904789.8618588448,535664.8275862068,0.0,1898520.0,4.660284E7,3.4599303368255407,0.4095498906241523,6.795843002531264,301.01393930382204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
Analyze Purchase Requisition,393.11547165460536,240.05283975601196,814.5590529441833,75871.28602933884,3.343025730063878,0.0,316.7564220428467,645.2039659023285,6346.321243523316,0.0,158460.0,1224840.0,2.165402477358564,1.3336268875333999,2.991826232274373,417.9226781302029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Analyze Quotation Comparison Map,26796.419701879026,371.37815833091736,75912.56138896942,2679641.9701879025,25646.465674543382,0.0,74626.45206522942,2564646.567454338,630132.6,0.0,1740060.0,6.301326E7,6.38863348519802,2.0632119907273188,11.274670292271509,638.863348519802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41629.12634151377,91.3776798248291,157879.24719548225,7784646.625863075,40239.85972134315,0.0,156819.75357604027,7524853.767891169,969528.1283422459,0.0,3714300.0,1.8130176E8,7.7181478898367954,0.5076537768046061,14.724954877959357,1443.2936553994807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
Approve Purchase Order for payment,20424.033930897713,60.0,107854.52727532387,2042403.3930897713,20364.033930897713,0.0,107794.52727532387,2036403.3930897713,474068.4,0.0,2622660.0,4.740684E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,88788.8175062561,0.0,300513.304104805,8878881.75062561,88788.8175062561,0.0,300513.304104805,8878881.75062561,2083277.4,0.0,7118700.0,2.0832774E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,17307.863631129265,0.0,71039.74957251549,1730786.3631129265,17307.863631129265,0.0,71039.74957251549,1730786.3631129265,403890.0,0.0,1689600.0,4.0389E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,61478.142002658846,488.7345085144043,155770.04625868797,6147814.200265884,60924.071187741756,0.0,155349.15571928024,6092407.118774176,1440357.0,0.0,3649440.0,1.440357E8,3.07817119398382,2.003394975927141,4.317106306552887,307.817119398382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,38931.66754108906,2658.505793571472,76907.83654904366,3893166.754108906,36972.68878172159,0.0,75075.38433885574,3697268.878172159,908217.446572051,33136.28229689598,1798072.4304447174,9.08217446572051E7,10.883215329819258,2.037674417760637,18.900573253631592,1088.3215329819259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,41108.873123636244,2577.902534723282,128179.87253904343,4110887.3123636246,28871.880412602426,0.0,114999.29010987282,2887188.0412602425,961570.8,0.0,2972160.0,9.615708E7,67.98329283907678,14.321680748462677,120.83850164148542,6798.329283907678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,311.8575987958908,25.45453119277954,1378.1004412174225,31185.75987958908,0.0,0.0,0.0,0.0,10375.8,0.0,158460.0,1037580.0,3.465084431065453,0.2828281243642171,15.312227124638028,346.5084431065453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,313569.24054344656,12542.657456874847,644817.3447415829,3.1356924054344654E7,220491.10292727948,0.0,491697.8889205456,2.2049110292727947E7,7339739.4,331440.0,1.508052E7,7.3397394E8,517.1007645342615,69.68143031597137,944.2162944316864,51710.076453426154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Pay Invoice,64227.86042090416,401.0300896167755,281644.2150313854,6422786.042090416,63669.172804954054,0.0,281331.0776388645,6366917.280495405,1497825.0,0.0,6581940.0,1.497825E8,3.10382008861171,1.371230517493354,4.975348950756921,310.382008861171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,72.05473622322083,60.0,1122.4634923934937,7205.4736223220825,12.054736223220825,0.0,1062.4634923934937,1205.4736223220825,2341.8,0.0,158460.0,234180.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,27990.897494995595,121.91648697853088,300315.4009306431,2799089.7494995594,27726.227493345737,0.0,299996.0613358021,2772622.7493345737,699823.2,0.0,7003500.0,6.998232E7,1.4703888980547586,0.6708840330441793,2.329346998532613,147.03888980547586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,246960.04427357196,0.0,491602.0385773182,2.4696004427357197E7,246960.04427357196,0.0,491602.0385773182,2.4696004427357197E7,5739876.6,0.0,1.152834E7,5.7398766E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,47360.56124463797,255.76153540611267,158905.95154762268,4736056.124463797,45924.31540315628,0.0,156524.76489448547,4592431.540315628,1108489.2,0.0,3732240.0,1.1084892E8,7.979143563787143,1.4208974189228483,13.22881473965115,797.9143563787143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,97441.67298114777,32741.576816558838,182855.58341050148,9744167.298114777,63210.15778702259,0.0,155299.40993642807,6321015.778702259,2278360.8,832140.0,4312260.0,2.2783608E8,190.1750844118065,80.46649191114638,292.72493672106003,19017.50844118065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,91459.3559939354,179.99159789085388,302992.24099707603,4298589.731714964,80527.10834582309,0.0,300119.7675206661,3784774.092253685,2136039.574468085,0.0,7161960.0,1.0039386E8,60.734709156179534,0.6675360427962409,320.2677287048764,2854.531330340438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),1.000329017326808E7,3.110413593161103E7,3.809511769475269E7
Process Cycle Time excluding out of timetable hours (s),412393.8909711838,1274426.8850389742,1559682.6773512363
Process Waiting Time (s),328231.40813183784,1118112.3704637457,1472557.8773338795
Accumulated Process Duration (s),1.000329017326808E7,3.110413593161103E7,3.809511769475269E7
Cost,277.897882648309,870.1465120779145,1508.9077201419404


Process Cycle Time (s) distribution
From,To,Count
10003290,12812472,1
12812473,15621655,2
15621656,18430838,0
18430839,21240021,17
21240022,24049204,11
24049205,26858387,5
26858388,29667570,3
29667571,32476753,0
32476754,35285936,0
35285937,38095119,61

Process Waiting Time (s) distribution
From,To,Count
328231,442663,2
442664,557096,1
557097,671529,7
671530,785962,16
785963,900395,6
900396,1014828,5
1014829,1129261,2
1129262,1243694,0
1243695,1358127,30
1358128,1472560,31

Accumulated Process Duration (s) distribution
From,To,Count
10003290,12812472,1
12812473,15621655,2
15621656,18430838,0
18430839,21240021,17
21240022,24049204,11
24049205,26858387,5
26858388,29667570,3
29667571,32476753,0
32476754,35285936,0
35285937,38095119,61

Process Cost distribution
From,To,Count
277,400,3
401,524,11
525,648,8
649,772,14
773,896,15
897,1020,17
1021,1144,14
1145,1268,13
1269,1392,4
1393,1516,1

In-timetable Cycle time (s) distribution
From,To,Count
412393,527121,1
527122,641850,2
641851,756579,0
756580,871308,17
871309,986037,11
986038,1100766,5
1100767,1215495,3
1215496,1330224,0
1330225,1444953,0
1444954,1559682,61



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,2.0286068669581413E7,834607.6695814133,709643.669834137,694.8192603031794
2,1.000329017326808E7,412393.8909711838,328231.40813183784,469.89027658700934
3,2.030883997301531E7,835478.7807409763,718804.7082910538,649.3606737799115
4,2.046041863677025E7,836998.6367702484,616765.2244148254,1226.8035911069974
5,1.3988095465324163E7,575339.8742854595,424283.36509132385,841.1641863716974
6,2.0192661654670954E7,826991.282074213,614413.1531307697,1181.2511017176837
7,1.5101352959342718E7,617563.640165329,494965.913087368,683.4188945452373
8,2.0180889325291395E7,825102.9839754105,737888.4179191589,485.961937089761
9,3.807795629070473E7,1559682.6773512363,1374530.688706398,1028.9635952221024
10,2.0165792168807745E7,826108.9013316631,612984.8006238937,1185.162533144156
11,2.02082489243536E7,828494.4759907722,719168.5128231049,607.9167295694351
12,2.0507021491401434E7,839997.8634800911,625013.7341895103,1195.9951393379104
13,2.6013663498024702E7,1067545.7928938866,943360.0854978561,691.2906081967884
14,2.0231318901826143E7,832604.7006070614,723823.0227167606,608.9859820670553
15,2.032714412891531E7,828970.2676656246,594050.2459704876,1307.0293441547287
16,3.7040081221971035E7,1517895.50050354,1302951.870181799,1196.1578186856375
17,2.009784850500393E7,823233.8802387714,746363.730656147,427.4812781121996
18,3.7075909351041555E7,1521874.7628285885,1472557.8773338795,277.897882648309
19,2.8501187475029707E7,1165485.8363661766,1026005.401349783,776.592972776625
20,2.0131760764694452E7,826779.7817606926,636400.8721966743,1058.9282472888626
21,3.740002901234245E7,1531081.5374131203,1366733.6454935074,913.6349616156685
22,2.0057518439900637E7,822076.3555247784,695232.2147796154,705.3476803474955
23,2.5888865595640182E7,1058676.992216587,902926.5230989456,867.3023195253479
24,3.7177528664824724E7,1524121.8690524101,1436853.345134735,485.32071289088987
25,3.77785429802289E7,1550476.068426609,1406537.1914699078,801.7987050930659
26,2.3236908525456667E7,948863.5702090263,868327.8147790432,448.23868145280414
27,3.690650358809018E7,1514072.815470457,1432729.2140688896,453.40351901849107
28,3.6950321028877735E7,1517773.6022434235,1373593.6262607574,801.936100924015
29,2.2934458002474308E7,936958.002474308,877807.8360774517,331.02722460958694
30,3.789324016117811E7,1553700.161178112,1463168.2755730152,510.61103359063463
31,3.809511769475269E7,1559423.613350153,1393251.371346712,928.3236570186085
32,2.9073570500513077E7,1190193.7418057919,1010277.7887299061,999.9373488876556
33,3.72594027203064E7,1526998.1088411808,1451495.3008856773,420.60320897897077
34,3.725016605963588E7,1522706.5834627151,1304485.6127214432,1215.6892951899104
35,3.724766032306838E7,1525510.9574074745,1327759.618815422,1099.405486153232
36,2.1520980050731897E7,882100.2471351624,672051.168567419,1167.0984246995713
37,1.99577373773427E7,817077.377342701,692675.2225446701,696.4332340068288
38,3.704803987143636E7,1513969.9192125797,1362786.4406208992,842.5668743226264
39,3.773436758584905E7,1541689.9244084358,1471793.24792552,389.4694000548786
40,1.981390753071904E7,810463.5123708248,703372.5411829948,595.6513550837835
41,3.6984721432697296E7,1514852.6812472343,1340779.0649597645,969.7939171049331
42,2.8951980020848513E7,1187145.0781741142,1052533.8442678452,750.0274685634507
43,3.675740947878957E7,1506679.6780779362,1318500.9233651161,1047.4528424898783
44,3.774823296412492E7,1546064.013424158,1274681.4968993664,1508.9077201419404
45,3.713786467055726E7,1522411.8745274544,1324157.4631023407,1104.2084585057362
46,3.704429160329294E7,1517527.0656518936,1386527.4964299202,731.599389825927
47,2.286865085319805E7,941145.0676198006,741790.5588517189,1109.5793582426177
48,1.982985878420782E7,815508.1344559193,722821.6682064533,518.8566985925038
49,2.2812985253327847E7,936494.5850269794,767872.3144855499,938.7258815699155
50,3.697387609746194E7,1511594.7604765892,1373022.039176464,770.0612501197393
51,3.667123955108023E7,1505918.3872349262,1334030.5367996693,957.040375521448
52,2.2760263745841503E7,936139.3580935001,744653.2789034843,1067.391700828075
53,1.9724751820092678E7,814161.1351547241,667670.0105991364,814.1263573355146
54,3.665087873034191E7,1504560.910859108,1313625.6743574142,1061.0736391650305
55,3.7757136163595915E7,1550086.270159483,1370923.9353125095,997.6754980140263
56,3.6884806764730215E7,1509604.6158630848,1366703.9991168976,794.6130737106006
57,2.5455308282210827E7,1041625.8553137779,901732.848464489,777.6456346127723
58,2.269878054881096E7,933353.0726652145,736195.9460294247,1096.6470084614223
59,3.775650300855398E7,1548085.8522906303,1363470.0605669022,1029.7203742159736
60,2.2077413990234613E7,909046.6196744442,746097.8134806156,907.9187840302786
61,3.764668453944492E7,1537215.704473257,1339740.2676587105,1098.4354542626274
62,3.7683497323117495E7,1543101.4773731232,1299248.9292292595,1359.332548856735
63,3.763336971824932E7,1536631.9104635715,1323150.6858928204,1188.0691250191792
64,3.678355248372269E7,1504029.3831665516,1320723.1666629314,1018.8456425878737
65,2.5338788657287836E7,1034143.8137097359,883291.8340687752,841.3660804284943
66,2.30731481597116E7,942995.018157959,818965.4333724976,689.4948835121262
67,3.679886631824374E7,1504561.586190462,1332212.1290724277,957.638398051262
68,3.756823763856554E7,1539849.7688932419,1401056.0800132751,772.2038696156609
69,3.739647114092851E7,1531272.4103963375,1433704.5701897144,542.5780983832149
70,2.1938760964845896E7,902556.4487121105,822592.1470985413,444.4446104632483
71,3.737716079703498E7,1533091.6657164097,1322339.414765358,1172.86067971256
72,2.6046988907200575E7,1068541.2670915127,924386.1993689537,804.1581212427882
73,3.724148582647109E7,1522412.2564218044,1410255.475833416,625.7475340631273
74,3.722205824854636E7,1523698.19195652,1347245.433049202,982.1117926597595
75,3.660742170503783E7,1498676.0272209644,1328665.0048696995,947.186956304974
76,3.742616043693638E7,1530879.90235281,1347627.977232933,1019.632876692878
77,3.7413828256706E7,1531252.0299358368,1368985.1113898754,902.5763206164042
78,3.662750543956947E7,1498465.4395694733,1259398.917501688,1329.1621840026642
79,3.713853292913866E7,1518028.77775383,1335866.5368943214,1012.8790240486463
80,3.719985647533035E7,1520086.2176623344,1414446.905473709,587.6408688783645
81,3.740889111181688E7,1529816.7306175232,1382552.0633063316,818.5151487059064
82,3.719010660255337E7,1523234.9950482845,1398104.948826313,696.0185677621101
83,3.657082139944816E7,1494802.0562648773,1296208.2775728703,1104.0818694657748
84,3.716786016123366E7,1519077.1191358566,1367481.986698866,843.1157387468551
85,3.6229750385066986E7,1486790.3205821514,1369820.6368649006,650.5760103662809
86,3.6351468762250185E7,1488411.5979101658,1263413.5433392525,1252.8974404692647
87,3.733104999230504E7,1530788.6554529667,1327041.4022712708,1132.5256956246162
88,3.702525600467825E7,1516180.7478072643,1398956.5275084972,651.8306810869112
89,3.631815300126243E7,1488133.6808629036,1324500.2499465942,911.1549065497187
90,3.630573528103042E7,1487482.6718680859,1362980.1639380455,693.2813549319903
91,3.7266454391926765E7,1528383.1303875446,1368410.3708291054,890.2955387857226
92,3.6360272358841896E7,1487130.4370889664,1272533.4208362103,1195.4297552095516
93,2.311245350916338E7,951328.355660677,868928.946823597,459.52525299257707
94,3.7021628838136196E7,1520590.5578594208,1315970.3176338673,1137.6790408717259
95,3.716427509409714E7,1524589.2475774288,1300523.8605942726,1245.7086862100498
96,3.690401249428558E7,1515054.2392952442,1365798.9562819004,830.8703500601981
97,3.603199719843221E7,1480777.957980156,1245172.0396893024,1309.5369828992418
98,3.695198631578612E7,1512753.8853414059,1337765.0452151299,972.9143778536056
99,3.694500018432188E7,1514522.422419548,1306457.4369328022,1156.962644065751
100,3.692267505196977E7,1518259.22239995,1420858.9560289383,543.4293885098564
