Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,44
Role 2,72
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1581.8778429777935,15.014681816101074,8141.568504571915,156605.90645480156,0.0,0.0,0.0,0.0,31918.18181818182,0.0,169320.0,3159900.0,8.788210238765519,0.0834148989783393,45.230936136510635,870.0328136377864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Amend Request for Quotation,620.9691956476731,53.363975524902344,1054.3736600875854,61475.950369119644,0.0,0.0,0.0,0.0,12590.90909090909,0.0,158460.0,1246500.0,3.4498288647092963,0.2964665306939019,5.85763144493103,341.5330576062203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Analyze Purchase Requisition,396.7721789937523,241.04275393486023,539.1767179965973,78957.6636197567,0.0,0.0,0.0,0.0,6682.311557788945,0.0,154860.0,1329780.0,2.2042898832986237,1.3391264107492236,2.995426211092207,438.6536867764261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Analyze Quotation Comparison Map,1163.130041472912,362.66439390182495,2026.528302192688,116313.00414729118,0.0,0.0,0.0,0.0,23597.4,0.0,158460.0,2359740.0,6.461833563738399,2.014802188343472,11.258490567737155,646.1833563738398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41969.51534918085,118.25137376785278,158611.3643052578,8351933.55448699,40533.337140953125,0.0,156394.35260677338,8066134.091049671,980673.1658291457,0.0,3714300.0,1.9515396E8,7.9787678234873995,0.656952076488071,16.02517537938224,1587.7747968739925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Approve Purchase Order for payment,32334.841585855484,60.0,150708.745855093,3233484.1585855484,32274.841585855484,0.0,150648.745855093,3227484.1585855484,756045.6,0.0,3634980.0,7.560456E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,2322.242905716896,0.0,16703.465584516525,232224.2905716896,2322.242905716896,0.0,16703.465584516525,232224.2905716896,61134.0,0.0,504300.0,6113400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,77076.98090594768,430.5615360736847,157655.05680179596,7707698.0905947685,76526.56971828699,0.0,156888.19252991676,7652656.971828699,1802133.6,0.0,3714300.0,1.8021336E8,3.057839931448301,2.0437298734982807,4.3238282707002424,305.7839931448301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1889.1926005506516,353.9821033477783,3374.935000181198,188919.26005506516,0.0,0.0,0.0,0.0,58902.036466302874,0.0,158347.406591177,5890203.646630287,10.49551444750362,1.9665672408209907,18.749638889895547,1049.551444750362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,85475.80769779206,2999.146363735199,170445.41401839256,8547580.769779205,72986.2645845151,0.0,150616.86675095558,7298626.4584515095,2002329.0,0.0,4009680.0,2.002329E8,69.38635062931648,16.109033445517223,120.41595807207955,6938.635062931648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,356.0874072241783,20.114898681640625,1339.195200920105,35608.74072241783,0.0,0.0,0.0,0.0,6666.0,0.0,158460.0,666600.0,3.956526746935317,0.2234988742404514,14.879946676890055,395.6526746935317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,248827.92279232503,16019.688257455826,600052.9716336727,2.4882792279232502E7,154640.3309294796,0.0,442179.0282487869,1.546403309294796E7,5819367.0,345840.0,1.41258E7,5.819367E8,523.26439923803,70.54348573022419,980.4142574429512,52326.439923803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Pay Invoice,3754.9007562756537,247.4655680656433,18110.65593791008,375490.0756275654,3207.0932869410517,0.0,17813.44392132759,320709.32869410515,89201.4,0.0,507960.0,8920140.0,3.04337482963668,1.374808711475796,4.90676306883494,304.337482963668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,972.6,0.0,97260.0,97260.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,567.5143778562546,126.35370588302612,12188.575038909912,56751.43778562546,291.4938437485695,0.0,11879.85950088501,29149.38437485695,3458.4,0.0,345840.0,345840.0,1.5334474117093624,0.6877834545241461,2.304609431160821,153.34474117093623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,188911.97906133175,0.0,449700.48787999153,1.8891197906133175E7,188911.97906133175,0.0,449700.48787999153,1.8891197906133175E7,4434656.4,0.0,1.051242E7,4.4346564E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,53781.73499316692,1545.6906559467316,152112.12301301956,5378173.499316692,52383.07177721262,0.0,150806.70483636856,5238307.177721262,1261810.8,0.0,3634980.0,1.2618108E8,7.770351199746131,2.840798384613461,13.862849513689676,777.0351199746132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,124342.064067173,27707.948526382446,200368.19857740402,1.24342064067173E7,92183.11840130806,0.0,160334.714687109,9218311.840130806,2914509.0,623280.0,4640160.0,2.914509E8,178.6608092548053,82.02717502514521,291.7103501664268,17866.080925480528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,15952.562773981874,44.44524669647217,95836.89565968513,781675.5759251118,2318.4963176591054,0.0,16289.000819206238,113606.31956529617,372699.1836734694,0.0,2248020.0,1.826226E7,75.7448136462376,0.24691803720262315,529.4247158924738,3711.4958686656423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6187523.642822504,2.234147812216755E7,2.945367028692913E7
Process Cycle Time excluding out of timetable hours (s),249139.56797599792,915170.8857012462,1203849.1950023174
Process Waiting Time (s),163489.67564702034,757524.4102005458,1016476.8160104752
Accumulated Process Duration (s),6187523.642822504,2.234147812216755E7,2.945367028692913E7
Cost,321.7943514731195,877.7920161551369,1513.9804648531808


Process Cycle Time (s) distribution
From,To,Count
6187523,8514137,5
8514138,10840752,6
10840753,13167367,5
13167368,15493982,1
15493983,17820597,5
17820598,20147212,5
20147213,22473827,6
22473828,24800442,4
24800443,27127057,56
27127058,29453672,7

Process Waiting Time (s) distribution
From,To,Count
163489,248787,10
248788,334086,4
334087,419385,1
419386,504684,5
504685,589983,3
589984,675282,3
675283,760581,5
760582,845880,11
845881,931179,29
931180,1016478,29

Accumulated Process Duration (s) distribution
From,To,Count
6187523,8514137,5
8514138,10840752,6
10840753,13167367,5
13167368,15493982,1
15493983,17820597,5
17820598,20147212,5
20147213,22473827,6
22473828,24800442,4
24800443,27127057,56
27127058,29453672,7

Process Cost distribution
From,To,Count
321,440,7
441,560,7
561,680,15
681,800,11
801,920,18
921,1040,13
1041,1160,9
1161,1280,9
1281,1400,9
1401,1520,2

In-timetable Cycle time (s) distribution
From,To,Count
249139,344609,5
344610,440080,5
440081,535551,6
535552,631022,1
631023,726493,5
726494,821964,5
821965,917435,6
917436,1012906,4
1012907,1108377,55
1108378,1203848,8



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8586568.610063791,357207.6100637913,195407.16614031792,902.1138351559641
2,6413011.435254574,265522.6001791954,164513.64787244797,562.3869283464219
3,7953337.692941427,332017.91510272026,163489.67564702034,937.5417355047332
4,9669728.224955559,394550.5582089424,226134.06273317337,937.486266899109
5,6714095.033972502,277246.343439579,174498.55074119568,575.9776118795078
6,8938028.223455906,368080.1463985443,217546.48394227028,838.2341039366194
7,1.083858589375782E7,445349.3934292793,226552.76221609116,1217.75751308865
8,8092419.405271769,335811.2343323231,187098.471026659,831.7870650079515
9,1.176012723391676E7,483907.2339167595,302678.6875555515,1008.5094142609173
10,1.2955561195812225E7,529203.5770392418,367239.92382121086,902.0690880934399
11,6187523.642822504,249139.56797599792,173882.03185153008,419.3394222233031
12,2.7097641259146452E7,1106684.212105751,877216.1549646854,1281.856527396043
13,1.8962036342917204E7,777455.8550987244,641765.094455719,755.6474568910071
14,1.1689804812896252E7,479385.6961271763,316327.5748054981,911.7157387680479
15,1.6773885025578499E7,685206.5449237823,510083.7496843338,980.3443913353815
16,9500921.030623198,386475.9635322094,239063.91145849228,820.2887693829009
17,1.1201248506171942E7,457962.75491547585,250826.88104867935,1152.1684064202839
18,2.701175190655899E7,1104745.1506898403,944673.0151567459,891.6891383608183
19,2.7000571164823532E7,1107571.105842352,963972.17167449,800.9964466836718
20,9527581.73861599,393449.2752943039,272032.3018460274,675.2605752799245
21,2.1268804244767904E7,874384.2447679043,664811.0399472713,1167.074801834424
22,2.7562723459318638E7,1128193.7576441765,914068.3232095242,1190.7344552993775
23,1.81176384660151E7,743214.9155879021,523631.1818654537,1222.8323584914208
24,1.6890723079583645E7,690348.7886104584,497338.5282666683,1072.6572197781668
25,1.7313098604498386E7,705200.596511364,502896.28389930725,1125.5391470988593
26,1.7299945742964506E7,706068.1968681812,502986.42148542404,1128.854214521249
27,2.360519942417407E7,969268.3979668617,799737.0529313087,944.0803638829127
28,1.754221782736993E7,720463.3316440582,576350.3846843243,801.5524942331845
29,2.0207628194909096E7,824036.8885338306,707215.4492769241,651.1920105351343
30,2.6845336051527977E7,1095554.4717946053,946689.6651360989,828.8410007397334
31,2.233859253034544E7,915045.4409022331,683775.7985663414,1285.4643722626897
32,2.6891863056600094E7,1098008.2740914822,887575.968306303,1169.395840636889
33,2.6877383818122387E7,1097539.9801344872,962987.454170227,748.3423948619101
34,1.866846526938796E7,767012.5505714417,709185.9790561199,321.7943514731195
35,2.6775494734239817E7,1095677.6796987057,900760.8197834492,1088.8369975209234
36,2.6502139325051308E7,1088551.0842187405,1016476.8160104752,400.86954733928036
37,1.351852735555005E7,555164.4506735802,464052.88413882256,506.5901871403058
38,1.2463990719612122E7,512539.8169224262,445131.8675200939,375.2747413648499
39,2.7065056037610292E7,1113392.1685562134,963708.6798131466,834.9824002650051
40,2.497268270141816E7,1023748.3163635731,792651.1402127743,1285.2718624459371
41,1.8570360431975365E7,763372.1373949051,675594.161302805,491.0356651544571
42,2.2082836167360306E7,903452.438154459,763551.2043101788,777.785779631138
43,2.6664409128385782E7,1092978.119584322,911419.8734633923,1013.5851165625785
44,2.275984957546544E7,934607.6135532856,777346.5111515522,874.4878552741475
45,1.946115153709984E7,802155.594825983,625596.0021133423,981.6722220897674
46,2.6620620310424566E7,1091107.3764827251,923240.4407167435,933.1253436909783
47,2.660833960687542E7,1089233.503363371,1001507.952552557,492.4692457742162
48,2.6335458934738398E7,1082509.3171703815,964711.2645254135,654.616926964124
49,2.6654225289132833E7,1091034.7223596573,925212.3925817013,921.8488478673829
50,2.6565423430576086E7,1088260.5352652073,883433.3448040485,1139.3800330625638
51,2.6239848975135326E7,1079274.285123825,960876.5406537056,659.9748048146566
52,2.6539137655129194E7,1089970.226906538,881106.5379459858,1162.6777513040436
53,2.7419340355537653E7,1119579.9766235352,858866.5226361752,1452.2854434039855
54,2.1140412484480858E7,860330.9253783226,754276.3242838383,589.303977739811
55,2.7176922494044065E7,1110642.0784535408,879235.8041481972,1287.183541768127
56,2.6120747845464945E7,1066402.8242471218,907278.0775547028,884.7302216529846
57,2.636820921015048E7,1079309.6186435223,951919.3993153572,710.0018221206135
58,2.6453668802089453E7,1081498.8425660133,989812.7674574852,510.18368293841684
59,2.1891026547892332E7,895667.5361001492,794177.4327292442,564.6448745449384
60,2.6425841516680717E7,1081790.687454462,906814.7033753395,974.0512665139305
61,2.2782667051294565E7,932793.4592030048,814033.7935819626,661.8023342967033
62,2.6396540251541138E7,1080539.7010138035,924872.8947966099,866.5061708516546
63,2.491324928617859E7,1023375.442984581,840466.008074522,1017.6142826848561
64,2.3085170582054615E7,949348.0603246689,820946.1618545055,714.4671235442163
65,2.945367028692913E7,1203849.1950023174,955204.1164610386,1383.5376316401691
66,2.6081846339625835E7,1070360.469593048,874462.8939869404,1088.9680560350419
67,2.606717994766164E7,1069636.5834207535,838578.7743601799,1284.414152170552
68,2.7211712050023794E7,1114968.6889219284,936681.8046090603,992.2821223417918
69,2.6300915139317274E7,1075718.2566423416,950063.328400135,699.2781585322487
70,2.6360945789396048E7,1077657.5535337925,916619.6169905663,896.4811292118496
71,2.6272132846771955E7,1074876.1676580906,939080.2368500233,758.183291984929
72,2.918128563139105E7,1191695.5008180141,949004.9450891018,1349.7842660042975
73,2.5984828481607676E7,1064210.5481843948,903531.9125466347,894.172459977203
74,2.6314061892553806E7,1079607.6556389332,877181.0886409283,1125.74883348412
75,2.621727179030466E7,1072599.8411900997,1000493.6595182419,405.8425019542376
76,2.6201939502594948E7,1071237.6982369423,837563.4192168713,1300.6665715985825
77,2.5874857695261717E7,1060743.3790295124,871062.0110681057,1054.5649036990271
78,2.6174770503103018E7,1072112.088702917,909972.603335619,904.542028093338
79,2.6240739336892605E7,1076302.6416890621,947743.2307319641,714.4882274389267
80,2.6146555810562372E7,1071897.245669365,923600.7435479164,824.3120881120365
81,2.613223883802986E7,1071519.190395832,895785.2559473515,979.4435038606327
82,2.6018527756299973E7,1069047.9386732578,994316.8471000195,417.03763825760944
83,2.6608454789894342E7,1089426.837237358,877345.0740909576,1180.7228623668354
84,2.616349954884267E7,1069172.25527668,857794.8795883656,1179.7023901277119
85,2.6075255698978186E7,1067041.6474499702,904670.6885428429,904.1293511946997
86,2.595942499212289E7,1062465.2776560783,984320.8319458961,434.6175209588474
87,2.6130389704871416E7,1074390.1780991554,917451.6366970539,873.4864549689823
88,2.6034136793850422E7,1067872.0387935638,952585.286003828,641.3141528116334
89,2.5918070514955044E7,1063005.843219757,951847.0014865398,619.2087524824674
90,2.6005182244363785E7,1064322.2443637848,843859.7575025558,1225.64491588672
91,2.5990882772656202E7,1062991.485376358,943822.3490796089,663.9733819339011
92,2.5976514901655197E7,1062668.817688942,926072.6556913853,762.1066483894986
93,2.586115114190626E7,1058534.70808959,958538.3067579269,556.6351857013173
94,2.7765622278521776E7,1139698.7148935795,867765.3243529797,1513.9804648531808
95,2.678525353044772E7,1099171.7864806652,849438.9389841557,1388.024506635136
96,2.592183213071561E7,1056804.7241244316,956685.4263157845,556.6812710245451
97,2.6197728816892624E7,1069257.2492015362,961568.056914568,599.8504476308825
98,2.589535219634819E7,1058367.9735834599,951782.2775096893,594.7079225566652
99,2.587964987431097E7,1056672.3483054638,964665.4804594517,511.4887164049679
100,2.5866534154762506E7,1057562.683428049,947950.3868787289,610.3935742987527
