Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 15,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Amend Request for Quotation,607.3473038498415,88.28388500213623,1037.5352873802185,66200.85611963272,0.0,0.0,0.0,0.0,0.01834862385321101,0.0,1.0,2.0,4.217689610068345,0.6130825347370572,7.205106162362629,459.72816749744965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),0.0,662.0285611963272,6352.324021577835
Process Cycle Time excluding out of timetable hours (s),0.0,662.0085611963273,6352.324021577835
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),0.0,662.0285611963272,6352.324021577835
Cost,0.0,4.597281674974495,44.11336126095719


Process Cycle Time (s) distribution
From,To,Count
0,635,62
636,1271,17
1272,1907,9
1908,2543,7
2544,3179,2
3180,3815,2
3816,4451,0
4452,5087,0
5088,5723,0
5724,6359,1

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
0,635,62
636,1271,17
1272,1907,9
1908,2543,7
2544,3179,2
3180,3815,2
3816,4451,0
4452,5087,0
5088,5723,0
5724,6359,1

Process Cost distribution
From,To,Count
0,4,69
5,9,13
10,14,8
15,19,7
20,24,2
25,29,0
30,34,0
35,39,0
40,44,1
45,49,0

In-timetable Cycle time (s) distribution
From,To,Count
0,635,62
636,1271,17
1272,1907,9
1908,2543,7
2544,3179,2
3180,3815,2
3816,4451,0
4452,5087,0
5088,5723,0
5724,6359,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,0.0,0.0,0.0,0.0
2,438.9147686958313,438.9147686958313,0.0,3.048019227054384
3,1907.6800246238708,1907.6800246238708,0.0,13.24777794877688
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,661.7394723892212,661.7394723892212,0.0,4.595413002702925
7,1931.7111086845398,1931.7111086845398,0.0,13.41466047697597
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,866.1744871139526,866.1744871139526,0.0,6.015100604958004
11,819.6400418281555,819.6400418281555,0.0,5.6919447349177466
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,396.20551109313965,396.20551109313965,0.0,2.7514271603690252
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,6352.324021577835,6352.324021577835,0.0,44.11336126095719
21,1984.8400464057922,1984.8400464057922,0.0,13.783611433373558
22,510.2545471191406,510.2545471191406,0.0,3.543434354994032
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,1179.9399161338806,1179.9399161338806,0.0,8.19402719537417
26,3496.501158952713,3496.501158952713,0.0,24.281258048282726
27,1146.1064567565918,1145.1064567565918,0.0,7.952128171920776
28,670.556077003479,670.556077003479,0.0,4.656639423635271
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,3201.623512506485,3200.623512506485,0.0,22.226552170183925
34,0.0,0.0,0.0,0.0
35,2767.6371643543243,2767.6371643543243,0.0,19.219702530238365
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,2249.309761762619,2249.309761762619,0.0,15.620206678907078
41,0.0,0.0,0.0,0.0
42,714.2958836555481,714.2958836555481,0.0,4.960388080941306
43,0.0,0.0,0.0,0.0
44,919.3059668540955,919.3059668540955,0.0,6.384069214264552
45,1212.3549094200134,1212.3549094200134,0.0,8.41913131541676
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,329.1608474254608,329.1608474254608,0.0,2.2858392182323666
50,1337.5236592292786,1337.5236592292786,0.0,9.288358744647768
51,2309.311100959778,2309.311100959778,0.0,16.036882645554012
52,702.7325661182404,702.7325661182404,0.0,4.880087264710003
53,1653.86483168602,1653.86483168602,0.0,11.485172442264027
54,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,1313.8095037937164,1313.8095037937164,0.0,9.123677109678587
57,985.3870897293091,985.3870897293091,0.0,6.84296590089798
58,0.0,0.0,0.0,0.0
59,642.4518735408783,642.4518735408783,0.0,4.461471344033877
60,638.1934292316437,638.1934292316437,0.0,4.431898814108637
61,0.0,0.0,0.0,0.0
62,527.8370258808136,527.8370258808136,0.0,3.6655349019500942
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0
66,2413.2658116817474,2413.2658116817474,0.0,16.758790358901024
67,551.4024410247803,551.4024410247803,0.0,3.8291836182276406
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,844.6333141326904,844.6333141326904,0.0,5.865509125921461
71,0.0,0.0,0.0,0.0
72,2667.1227040290833,2667.1227040290833,0.0,18.52168544464641
73,0.0,0.0,0.0,0.0
74,1607.66304063797,1607.66304063797,0.0,11.164326671097013
75,1595.458470582962,1595.458470582962,0.0,11.079572712381681
76,0.0,0.0,0.0,0.0
77,1421.8481440544128,1421.8481440544128,0.0,9.873945444822313
78,0.0,0.0,0.0,0.0
79,1475.9523167610168,1475.9523167610168,0.0,10.24966886639595
80,2263.8254058361053,2263.8254058361053,0.0,15.721009762750729
81,0.0,0.0,0.0,0.0
82,2167.939501285553,2167.939501285553,0.0,15.055135425594116
83,875.3779666423798,875.3779666423798,0.0,6.0790136572387485
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,656.2181808948517,656.2181808948517,0.0,4.557070700658692
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,329.6083266735077,329.6083266735077,0.0,2.28894671301047
92,0.0,0.0,0.0,0.0
93,1683.5929999351501,1683.5929999351501,0.0,11.69161805510521
94,0.0,0.0,0.0,0.0
95,871.0207226276398,871.0207226276398,0.0,6.0487550182474985
96,0.0,0.0,0.0,0.0
97,576.7707612514496,576.7707612514496,0.0,4.005352508690622
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,333.7692470550537,333.7692470550537,0.0,2.317841993437873
