Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,41
Role 2,40
Role 5,6

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1470.9019848731848,1.7413275241851807,8555.705392837524,191217.25803351402,0.0,0.0,0.0,0.0,35530.153846153844,0.0,252120.0,4618920.0,8.17167769373992,0.009674041801028781,47.53169662687514,1062.3181001861894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Amend Request for Quotation,638.5381253552887,0.0,1111.6985864639282,67685.0412876606,0.0,0.0,0.0,0.0,13083.962264150943,0.0,158460.0,1386900.0,3.5474340297516043,0.0,6.176103258132935,376.02800715367005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Analyze Purchase Requisition,394.16949998192166,240.41417813301086,538.8344964981079,90658.98499584198,0.0,0.0,0.0,0.0,4794.521739130435,0.0,158460.0,1102740.0,2.1898305554551203,1.3356343229611716,2.993524980545044,503.66102775467766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
Analyze Quotation Comparison Map,1174.451109442711,368.23013496398926,2033.3960511684418,117445.11094427109,0.0,0.0,0.0,0.0,24247.8,0.0,158460.0,2424780.0,6.524728385792834,2.0457229720221624,11.296644728713565,652.4728385792833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,46265.9124914454,0.0,156974.48244452477,9530777.973237753,44864.77851422551,0.0,155145.01632475853,9242144.373930454,1083984.4660194174,0.0,3728700.0,2.233008E8,7.784805814007209,0.0,14.02805929713779,1603.669997685485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Approve Purchase Order for payment,36537.11894325972,60.0,158390.98036050797,3653711.8943259716,36477.11894325972,0.0,158330.98036050797,3647711.8943259716,844601.4,0.0,3681840.0,8.446014E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,574.777748413086,0.0,5454.561771392822,57477.774841308594,574.777748413086,0.0,5454.561771392822,57477.774841308594,15991.8,0.0,158460.0,1599180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,73292.85610240937,459.2226629257202,155245.86082530022,7329285.610240936,72730.50194094419,0.0,154755.80123090744,7273050.1940944195,1718913.0,0.0,3555840.0,1.718913E8,3.124189785917601,2.063472643163469,4.326904086271922,312.4189785917601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1880.4637901830674,336.098021030426,3416.093092441559,188046.37901830673,0.0,0.0,0.0,0.0,59082.91064057112,0.0,157656.53716373444,5908291.064057112,10.447021056572591,1.8672112279468112,18.97829495800866,1044.7021056572592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,78369.84074050188,5088.552419900894,167577.4907028675,7836984.074050188,66172.40763504266,0.0,153087.3085269928,6617240.763504267,1834305.0,201720.0,3984420.0,1.834305E8,67.7635172525512,14.524500619040595,119.93680888414383,6776.351725255119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,354.87109353542326,23.335591554641724,1103.5761427879333,35487.10935354233,0.0,0.0,0.0,0.0,5944.8,0.0,158460.0,594480.0,3.943012150393591,0.2592843506071303,12.261957142088148,394.3012150393591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,163983.33828531028,14271.209906101227,333954.3013894558,1.6398333828531027E7,74497.96928132772,0.0,199362.25328564644,7449796.928132772,3842142.0,374640.0,7792440.0,3.842142E8,745.7114083665208,118.92674921751022,1436.0847110132377,74571.14083665208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
Pay Invoice,1030.322020626068,242.2504584789276,6226.075258255005,103032.20206260681,429.01995154380796,0.0,5494.688928604126,42901.9951543808,18917.4,0.0,201720.0,1891740.0,3.3405670504570004,1.3458358804384867,4.998501723342471,334.0567050457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3098.4,0.0,158460.0,309840.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,352.88048884868624,120.2748396396637,1770.4248232841492,35288.04888486862,77.67332057476044,0.0,1399.3644807338715,7767.332057476044,11490.6,0.0,158460.0,1149060.0,1.5289287126329216,0.6681935535536871,2.3220200432671443,152.89287126329216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,78646.2202116561,0.0,194647.65838599205,7864622.021165609,78646.2202116561,0.0,194647.65838599205,7864622.021165609,1832334.0,0.0,4568100.0,1.832334E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,54010.988843717576,1155.7318613529205,158897.18053674698,5401098.8843717575,52642.63743700504,0.0,156859.53498148918,5264263.743700504,1260121.8,0.0,3728700.0,1.2601218E8,7.601952259514065,0.4725325451956855,12.935700337092081,760.1952259514065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,116342.12452809811,19175.081883907318,201193.16603899002,1.163421245280981E7,82594.24100691557,2530.7389686107635,155512.39615130424,8259424.100691557,2717844.6,378300.0,4643820.0,2.7178446E8,187.48824178434748,81.30567450788286,290.08579540517593,18748.82417843475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12317.83723869232,119.78924298286438,62810.853615522385,640527.5364120007,351.0321304523028,0.0,5348.369317770004,18253.670783519745,290149.6153846154,0.0,1567080.0,1.508778E7,66.48225060133342,0.021539984809027777,323.05957093901105,3457.077031269338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3869547.5187499523,1.735582382812204E7,2.269496713657117E7
Process Cycle Time excluding out of timetable hours (s),159326.78971147537,711816.9174814677,931917.3975212574
Process Waiting Time (s),90108.77817416191,557446.5479238224,755421.1592366695
Accumulated Process Duration (s),3869547.5187499523,1.7355825832486242E7,2.269501330602622E7
Cost,398.6093715091546,1108.1677751118607,1999.732850746976


Process Cycle Time (s) distribution
From,To,Count
3869547,5752088,1
5752089,7634630,3
7634631,9517172,2
9517173,11399714,8
11399715,13282256,7
13282257,15164798,4
15164799,17047340,5
17047341,18929882,13
18929883,20812424,50
20812425,22694966,7

Process Waiting Time (s) distribution
From,To,Count
90108,156639,2
156640,223171,5
223172,289703,5
289704,356235,6
356236,422767,5
422768,489299,2
489300,555831,7
555832,622363,20
622364,688895,25
688896,755427,23

Accumulated Process Duration (s) distribution
From,To,Count
3869547,5752093,1
5752094,7634640,3
7634641,9517187,2
9517188,11399734,8
11399735,13282281,7
13282282,15164828,4
15164829,17047375,5
17047376,18929922,13
18929923,20812469,50
20812470,22695016,7

Process Cost distribution
From,To,Count
398,558,11
559,719,10
720,880,9
881,1041,14
1042,1202,13
1203,1363,13
1364,1524,15
1525,1685,8
1686,1846,6
1847,2007,1

In-timetable Cycle time (s) distribution
From,To,Count
159326,236585,1
236586,313845,3
313846,391105,2
391106,468365,9
468366,545625,6
545626,622885,4
622886,700145,4
700146,777405,13
777406,854665,50
854666,931925,8



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8190601.174982786,339540.1749827862,180360.04343366623,1130.2532069464523
2,1.851010735111451E7,762294.1377325058,531789.5031189919,1726.4156960394646
3,1.0579789244878769E7,436695.270485878,219327.79543447495,1659.260988798406
4,7332643.4636006355,301916.26093029976,156046.22161388397,1018.1690228607921
5,6706204.934447527,273157.4719848633,192783.31909561157,524.5112763186297
6,1.153911508111453E7,476349.63213801384,229423.94981217384,1818.9368114769459
7,3869547.5187499523,159326.78971147537,90108.77817416191,495.4943275266223
8,2.1104492422905207E7,865098.5464725494,744836.9209411144,720.5908660524422
9,8129292.573168039,333192.5731680393,186615.8240096569,1042.95685314801
10,1.1088452898081064E7,452923.6351225376,274027.84403300285,1323.6030656112562
11,1.0865734148659468E7,445881.8072140217,256950.63449525833,1398.8594027274185
12,1.7666692344191074E7,722130.0124657154,499319.99985814095,1711.063782187965
13,1.2308672850464344E7,504645.4618821144,338462.58637166023,1085.260111884276
14,1.0982562262697935E7,446299.190148592,264029.51953053474,1410.1840320891804
15,1.3488901492485762E7,552875.367528677,372670.30345225334,1256.1318972137237
16,1.1660400091823578E7,478481.79590916634,320393.06213212013,1198.9671042992009
17,1.0781548242841244E7,445762.52334427834,294717.7030842304,1097.8568430688645
18,6742001.936783314,278525.69076037407,189070.67610621452,545.6268783364031
19,1.6717653399487495E7,685242.0694522858,408788.7101409435,1999.732850746976
20,2.1889105547513247E7,902583.4222445488,720319.9935736656,1348.3329535285632
21,1.1590571900859118E7,476471.9008591175,324487.1724627018,1076.8921005447703
22,1.1130844993282318E7,454322.6807255745,304723.21231889725,1101.8413663135634
23,1.1562594496354818E7,474843.5889081955,282281.24596214294,1496.5761634641224
24,1.0943837099974632E7,450134.18291664124,370605.8720200062,547.5011397772366
25,1.6715210556113243E7,683998.2168369293,604117.5967810154,556.2873439007336
26,1.0916017358627558E7,446853.6377828121,355791.8440799713,592.1049868908194
27,2.1946699992031097E7,896344.3110198975,740879.2074604034,969.0203106098706
28,1.9094223863482E7,784917.4087641239,622515.570882082,1188.0339674982758
29,2.0498522272933483E7,837886.4516875744,712874.6237838268,779.8443417025939
30,1.9669469008285046E7,804646.6594369411,573928.9212126732,1656.4802738395001
31,2.0470448240683556E7,837962.4851984978,641856.2129058838,1454.4685638003878
32,1.1436499754067421E7,467844.6269724369,378045.2105896473,607.0633072707388
33,2.044235083826995E7,837890.4638478756,705540.1600425243,931.9762142850294
34,1.477633729757452E7,607744.6604087353,471768.1676957607,926.5610360589294
35,2.0413011193030834E7,836504.5716052055,662471.078412056,1338.1464231040743
36,2.045287332328987E7,839888.9769866467,711922.8725571632,880.3057578086854
37,2.0177160281466246E7,830309.2209234238,653170.6953363419,1294.774043359359
38,1.9161006336343527E7,786468.3102114201,569242.1038839817,1578.3259903854794
39,1.3758353301642418E7,567506.3587086201,404502.94666290283,1254.1872944600052
40,1.7980066694519997E7,739566.8554611206,551774.8153414726,1382.2430513011082
41,1.812165499804783E7,740329.0277431011,509144.5043053627,1763.355781690942
42,2.0105608910922766E7,825165.977134943,738274.3421885967,594.8909083571699
43,2.0256451985741377E7,831526.5317788124,650047.7831015587,1325.4798419349722
44,1.2983578166851997E7,532891.1339533329,462174.7180595398,446.75841390622975
45,1.7040144754854202E7,701835.29773736,536110.6668374538,1251.8364347378413
46,1.6685238699009657E7,688825.6842782497,493929.71262192726,1510.0501011451083
47,1.787905041110611E7,733131.1254839897,567750.8625643253,1240.1931864572894
48,2.0230134918091297E7,828621.539755106,594129.0850896835,1770.3893966615199
49,2.0216302529066324E7,828802.4469122887,633077.1502857208,1498.3834899617564
50,1.4761412184735537E7,608114.322488308,532331.2771196365,461.74419763618044
51,2.0504483967062235E7,842457.0149614811,656704.5978081226,1374.4098713987403
52,1.8414565889708757E7,758125.8897087574,573178.8199548721,1376.4650952630573
53,1.977054382611537E7,806705.349468708,591907.6534414291,1557.0356755117573
54,1.9939712836421728E7,816870.3151466846,728848.2148647308,593.444628485044
55,2.0132810567910433E7,822271.0833249092,709368.2595524788,724.8879484534264
56,1.86952433708148E7,764171.7185673714,576374.947770834,1365.942097900311
57,2.0710695029592752E7,848248.6943917274,691671.4432628155,1013.1349658721025
58,2.0092634436190605E7,824208.6602590084,721950.719265461,713.7592925290268
59,1.5795664920583725E7,644621.7378566265,580066.055505991,427.15967864924005
60,1.7958145565526724E7,735263.2726221085,600808.758723259,964.6090168913206
61,1.9153563533316612E7,784630.4999611378,621259.427759409,1138.5016467544765
62,2.0036466178939104E7,824091.1817054749,725780.069132328,613.4870679252678
63,1.7991201923700333E7,738289.6827824116,622601.2753062248,733.7119536704487
64,2.0062317205632925E7,827480.4784798622,695737.8605685234,978.3344493283166
65,1.8490785563505888E7,754346.455630064,602634.4907076359,1112.4146627061896
66,1.7512619123645544E7,716021.882330656,609682.9878263474,742.9943287498422
67,2.0363043210657835E7,838755.0494701862,613496.4218845367,1635.6270472652377
68,2.0004513321450233E7,818474.5496785641,626135.5792701244,1366.7188399083084
69,1.97202487307868E7,804071.0246624947,649294.543235302,1124.3142824007405
70,1.9923404128039837E7,815877.0689926147,755421.1592366695,398.6093715091546
71,1.744286137096572E7,712622.7743668556,612335.5687236786,698.5412709150049
72,2.236936811754465E7,915702.0292928219,725014.0963220596,1448.4998356401918
73,1.967171523148465E7,804253.9126472473,679694.400169611,850.3968082328638
74,1.986795520886469E7,812664.6633965969,647732.4812796116,1223.171973764234
75,1.9645855591203213E7,806262.4142003059,633348.6886017323,1254.3574873606362
76,1.9839818638416767E7,812470.982683897,742953.3534522057,449.2508303768104
77,1.982562396779442E7,812356.0301923752,672871.7695479393,1012.807890660233
78,2.00249824575665E7,820333.2778425217,680759.62429142,959.5145508805911
79,1.9850151023819447E7,814385.3357815742,613150.9587597847,1461.4103955282105
80,1.9575500184488297E7,805924.6054706573,589907.5610363483,1659.678497164779
81,1.972363885560894E7,809540.6807761192,726951.7281630039,553.8436059554417
82,2.0749903143359423E7,851773.4298655987,703773.5893647671,996.8554832034642
83,1.9742431318989754E7,809425.4830076694,584530.2036368847,1705.6084771792093
84,2.09924036070745E7,862879.7973234653,668751.4059720039,1520.831367886729
85,1.890069343031764E7,777419.8405675888,674765.4387564659,745.6556808822687
86,1.948255718813443E7,796923.5958383083,680075.9656543732,809.4486490527789
87,1.9477360135754347E7,802074.0246343613,589283.44059968,1605.6371013224125
88,2.269496713657117E7,931917.3975212574,725335.4719905853,1440.181570823325
89,1.9711444188045025E7,812057.6516246796,659585.7117190361,1033.4938144498403
90,1.9643632541573286E7,805552.541573286,664760.8493659496,1018.3514230436749
91,1.9629396511533022E7,804934.9427781105,701831.4004437923,629.1863185995155
92,2.0011700382103443E7,822978.79601717,644558.9830346107,1275.1449212133884
93,2.086465494672966E7,857706.2054469585,711893.5229632854,1010.0221863018143
94,2.079732878011489E7,854885.0814664364,714587.9728524685,938.2008473058542
95,1.957346818799591E7,805033.0763998032,623229.6752419472,1312.3893131898508
96,1.9559141619143486E7,797585.0819797516,682532.4454481602,745.4607070704302
97,1.960097908569646E7,802980.6886844635,579209.050185442,1619.6675615323916
98,2.0135901138754606E7,822333.5806849003,675710.9561963081,1095.3858957403231
99,1.9519186208884478E7,799677.4186952114,640660.7124125957,1145.0490335318775
100,1.9815903942819595E7,807784.3071799278,712421.460142374,655.2486914800274
