Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,49
Role 2,77
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1577.8564281685408,14.058341026306152,9652.213901042938,203543.47923374176,0.0,0.0,0.0,0.0,30668.837209302324,0.0,162120.0,3956280.0,8.765869045380782,0.07810189459058973,53.62341056134966,1130.797106854121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129
Amend Request for Quotation,610.5854495593479,0.0,1226.3651540279388,64111.47220373154,0.0,0.0,0.0,0.0,5664.0,0.0,97260.0,594720.0,3.392141386440824,0.0,6.813139744599661,356.1748455762865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Analyze Purchase Requisition,385.853380025214,240.85636353492737,537.4083926677704,88360.424025774,0.0,0.0,0.0,0.0,6671.266375545852,0.0,158460.0,1527720.0,2.1436298890289676,1.3380909085273742,2.9856021814876135,490.89124458763354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
Analyze Quotation Comparison Map,1247.8580505633354,380.5426003932953,2022.0308103561401,124785.80505633354,0.0,0.0,0.0,0.0,24069.6,0.0,158460.0,2406960.0,6.932544725351866,2.1141255577405293,11.233504501978556,693.2544725351866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41502.71245509706,514.5778489112854,142550.93654179573,8508056.053294897,40144.05665008266,0.0,140726.96417617798,8229531.613266945,975885.9512195121,0.0,3476460.0,2.0005662E8,7.551819105090169,0.0,15.757716854413351,1548.1229165434845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Approve Purchase Order for payment,32492.520768580438,60.0,139150.3647632599,3249252.0768580437,32432.520768580438,0.0,139090.3647632599,3243252.0768580437,757306.2,0.0,3307140.0,7.573062E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1447.6577477741241,0.0,9545.435574769974,144765.7747774124,1447.6577477741241,0.0,9545.435574769974,144765.7747774124,38220.6,0.0,324180.0,3822060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,78567.75235015393,360.32693362236023,144146.9012105465,7856775.235015392,78005.78968748331,0.0,143699.9514157772,7800578.968748331,1839097.2,0.0,3404400.0,1.8390972E8,3.1220147926145136,2.001816297902001,4.322092535760667,312.20147926145137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1843.0789010548592,304.30379843711853,3384.9256794452667,184307.89010548592,0.0,0.0,0.0,0.0,58852.96655066728,0.0,157949.4928290844,5885296.655066729,10.23932722808255,1.6905766579839918,18.805142663584814,1023.9327228082549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,88166.09931972504,10077.310040712357,158813.34966516495,8816609.931972504,76084.69848221063,0.0,148498.80088567734,7608469.848221064,2064869.4,252180.0,3685440.0,2.0648694E8,67.11889354174667,13.493716696898142,121.18477679755952,6711.889354174667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,303.18425602436065,9.130257368087769,1153.7085332870483,30318.425602436066,0.0,0.0,0.0,0.0,4216.2,0.0,154860.0,421620.0,2.5265354668696727,0.07608547806739807,9.61423777739207,252.65354668696727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,246299.99022584915,13299.308666944504,579792.2519800663,2.4629999022584915E7,153115.82084682703,0.0,412267.2796070576,1.5311582084682703E7,5777534.4,255840.0,1.364304E7,5.7775344E8,517.6898298834562,73.88504814969168,932.4465792483753,51768.98298834562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
Pay Invoice,2248.407794253826,242.07876110076904,9997.554561376572,224840.7794253826,1691.6950348711014,0.0,9530.187429904938,169169.50348711014,56920.8,0.0,324180.0,5692080.0,3.0928486632373597,1.3448820061153837,4.9705767432848615,309.28486632373597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,720.6,0.0,72060.0,72060.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,502.80755278587344,120.00339913368225,8184.050485610962,50280.75527858734,231.1106541323662,0.0,7943.239127159119,23111.065413236618,3386.4,0.0,169320.0,338640.0,1.509427214741707,0.6666855507426792,2.3120140115420025,150.9427214741707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,180567.87105268,0.0,416105.62978053093,1.8056787105268E7,180567.87105268,0.0,416105.62978053093,1.8056787105268E7,4209845.4,0.0,9701880.0,4.2098454E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,60979.36245787144,511.2748694419861,143019.38044261932,6097936.245787144,59635.68415565729,0.0,142164.2025487423,5963568.415565729,1428650.4,0.0,3382860.0,1.4286504E8,7.464879456745256,2.840415941344367,13.133143231603835,746.4879456745256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,120934.32107138872,27549.227365493774,191887.5962831974,1.2093432107138872E7,87071.32166914463,5706.476516962051,147730.7002506256,8707132.166914463,2833231.8,673740.0,4564440.0,2.8332318E8,188.12777445691165,80.20132766829596,291.86101914776697,18812.777445691165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12681.626136419725,609.7058751583099,45131.599699020386,621399.6806845665,1571.6519050598145,0.0,9519.927008867264,77010.94334793091,324726.1224489796,0.0,1109580.0,1.591158E7,61.722079063110606,3.358705292807685,248.04461186197068,3024.38187409242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4768653.240363836,2.222790668104393E7,2.8359141875504255E7
Process Cycle Time excluding out of timetable hours (s),194466.77089381218,910515.5144932604,1158430.0511376858
Process Waiting Time (s),135841.77099227905,753349.5956655097,991006.1748487949
Accumulated Process Duration (s),4768653.240363836,2.22279067891938E7,2.8359141875504255E7
Cost,322.881450717979,873.9944219729633,1397.8324899395307


Process Cycle Time (s) distribution
From,To,Count
4768653,7127701,1
7127702,9486750,5
9486751,11845799,4
11845800,14204848,4
14204849,16563897,3
16563898,18922946,8
18922947,21281995,4
21281996,23641044,10
23641045,26000093,38
26000094,28359142,23

Process Waiting Time (s) distribution
From,To,Count
135841,221357,8
221358,306874,3
306875,392391,1
392392,477908,3
477909,563425,6
563426,648942,7
648943,734459,3
734460,819976,7
819977,905493,29
905494,991010,33

Accumulated Process Duration (s) distribution
From,To,Count
4768653,7127701,1
7127702,9486750,5
9486751,11845799,4
11845800,14204848,4
14204849,16563897,3
16563898,18922946,8
18922947,21281995,4
21281996,23641044,10
23641045,26000093,38
26000094,28359142,23

Process Cost distribution
From,To,Count
322,429,6
430,537,7
538,645,12
646,753,13
754,861,6
862,969,12
970,1077,16
1078,1185,17
1186,1293,10
1294,1401,1

In-timetable Cycle time (s) distribution
From,To,Count
194466,290862,1
290863,387259,5
387260,483656,4
483657,580053,4
580054,676450,2
676451,772847,9
772848,869244,4
869245,965641,9
965642,1062038,35
1062039,1158435,27



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9710461.429308176,396780.42930817604,205235.1215622425,1065.4661251213815
2,1.0905858348380566E7,446204.9563381672,264114.6300675869,1012.1432671335009
3,8765766.647227049,362695.1563732624,196798.87673974037,922.1198232988518
4,1.0521260037077904E7,431797.1553468704,220659.60104370117,1174.1186271700594
5,1.000001308241558E7,410876.3768122196,210367.36761641502,1114.102326010333
6,1.6797506524775505E7,687277.886756897,435740.50832796097,1397.8324899395307
7,9021443.520745516,368203.17729616165,191153.01847743988,983.9050030416913
8,2.178495680222082E7,893250.3858175278,675145.3882353306,1212.1734488738907
9,1.5937998339948416E7,652098.3399484158,522953.31641435623,718.2910398112404
10,7250013.0926737785,296136.97827768326,217290.65716147423,439.7287830220328
11,8361050.609890699,336881.9796397686,228034.72552990913,605.1604029787914
12,1.6556185177830696E7,677795.8810565472,509710.9039669037,934.8151750193703
13,1.3070862298617125E7,531734.1328904629,301656.8779182434,1279.3769327720006
14,4768653.240363836,194466.77089381218,135841.77099227905,327.26969771716324
15,1.3823947135835648E7,563565.8204016685,350430.0060608387,1184.3022124946117
16,8972035.341834784,365729.1410114765,197624.74589204788,934.0747325407136
17,2.0457730684726954E7,841384.0016446114,617120.4666111469,1246.437531136804
18,2.466854610416293E7,1009734.3765702248,876940.0813651085,739.1282523426745
19,2.639435044946575E7,1081501.6103565693,885398.6941230297,1090.3594771471287
20,1.678521548069191E7,690960.1610348225,574816.9055433273,646.1761830031872
21,1.2095745508826733E7,495345.50882673264,396548.3758814335,550.3607551157476
22,2.301519155150962E7,943540.1166217327,741091.6648569107,1125.2122978581322
23,1.7264666647763014E7,704600.7756178379,506914.9156010151,1099.6061694747868
24,2.0567304016222E7,843686.3722631931,620301.3527350426,1241.3251466559036
25,1.6923821947378397E7,690685.961961031,626645.2777614594,356.7274153093497
26,2.7192177774080753E7,1112659.9681608677,975925.9708874226,759.8157503690983
27,1.4430972264713526E7,589219.2548737526,463493.613724947,699.1585888332792
28,1.7097241111615896E7,700862.024992466,542329.7470123768,882.3356873359945
29,2.6331506885689974E7,1075992.0181229115,990202.3515563011,477.04370822972714
30,2.8300370559273243E7,1156676.1442549229,971256.8269081116,1030.3967691481114
31,2.0468981371180534E7,836254.2192411423,639521.0587887764,1094.3244521651002
32,2.6289518562148333E7,1075950.6268191338,955061.9775164127,672.7178590721555
33,2.6275422803231E7,1075846.2514765263,868285.8027658463,1153.9565061138737
34,2.6789781026070833E7,1096241.6645321846,874541.0753347874,1233.2631580313043
35,2.046714087905717E7,839922.718047142,624781.4009132385,1195.368450343609
36,2.6760972677405834E7,1095420.567400217,890829.6964144707,1137.3979475299516
37,1.796719832599473E7,738512.2633340359,658806.5974390507,443.05743746625046
38,1.3772579127146006E7,567618.3611879349,509749.2216863632,322.881450717979
39,1.7939981181285143E7,739351.9969172478,554758.0043375492,1025.7976281245549
40,2.6175598389668226E7,1070513.2987542152,891937.201592207,992.4727998177211
41,2.1927687974203587E7,896681.9193089008,784700.9213197231,623.4553812815085
42,2.251828429962635E7,921277.4849276543,710354.5490982533,1172.3584061841168
43,2.6141454789741755E7,1074600.2656741142,879395.8406488895,1084.5907098571458
44,1.878685976606965E7,769903.6040430069,633009.1513473988,760.7967169834509
45,2.611251786093211E7,1073669.349060297,938200.9788646698,753.1112573358748
46,2.652206697859621E7,1090257.9907710552,962977.0706524849,707.3929964654975
47,2.608449537753725E7,1070198.3564033508,916926.4899597168,852.995821251472
48,2.3254169499216795E7,952279.0888538361,762787.8425190449,1053.479351096683
49,2.355614936709714E7,965681.3914892673,810705.2657375336,861.2145574384266
50,2.5961618820092678E7,1065083.0549221039,874579.578233242,1061.0246107439198
51,2.2663558906437874E7,933224.3837099075,769768.063119173,908.7113224950102
52,2.6223003287483692E7,1076763.2874836922,883086.6576955318,1076.3326871693134
53,2.6001242157739878E7,1063996.5803625584,947804.0481855869,647.0574497163298
54,2.3170007791401386E7,945192.3851215839,816680.5280866623,715.175081309345
55,2.5971884788007736E7,1062738.659611702,862314.0492260456,1114.9760668396948
56,2.6557259783667088E7,1085758.6113345623,952370.8217465878,741.5214915785525
57,2.5862437994522095E7,1057058.8418233395,873096.4102053642,1023.5351244694657
58,2.5327018629426718E7,1039920.2430205345,880377.0503001213,887.9681373556456
59,2.5915704199432135E7,1062590.92278409,868777.8302562237,1077.2059252235622
60,2.5894859491204977E7,1059352.0944883823,952868.3114616871,592.2004442241458
61,2.5888097176655293E7,1062943.403931141,958551.6059920788,581.1766248318885
62,2.586703236343026E7,1059477.8194217682,935475.6509196758,689.2770256592169
63,2.6068340916181564E7,1069373.9499299526,883083.9925460815,1035.6860135402944
64,2.152962146920848E7,882182.210057497,781612.2257113457,558.8698867036237
65,2.5750935157464266E7,1053773.9990358353,884110.1497609615,944.1127116176816
66,2.641554717119503E7,1080264.2925703526,934005.1605422497,812.6693581647343
67,2.5804977338691473E7,1060055.665593624,928265.2704360485,732.9156182818944
68,2.5790484086990595E7,1056006.2821729183,855315.6851928234,1115.904560615619
69,2.577117887178278E7,1054323.7387526035,991006.1748487949,354.26019693613046
70,2.575709069554782E7,1054281.891610384,908161.8214006424,813.4873582939307
71,2.5749149692163944E7,1056718.4117250443,872321.6194725037,1024.451985451248
72,2.5653798264433384E7,1047588.5134520531,847688.641728878,1111.3239040401245
73,2.571416135622096E7,1049892.321646452,837745.216119051,1178.6603327804141
74,2.570671203286624E7,1052871.9024357796,883251.9953691959,942.6012152757911
75,2.5691546656159878E7,1051669.521945238,941804.0228390694,611.1639318558905
76,2.3422633452367544E7,958349.3571090698,896422.7280993462,347.24157375759546
77,2.56635245738132E7,1051636.5954241753,873034.618334055,992.2631998942959
78,2.56423518946352E7,1048072.9674897194,880715.9953052998,929.8448517064254
79,2.555405372234392E7,1045877.906778574,972830.826769352,406.30533240569963
80,2.561539582500124E7,1049148.4979364872,936629.391960144,625.2480926838188
81,2.5603477698453188E7,1051191.2746458054,963620.6579020023,487.5662976245085
82,2.636132654281807E7,1080901.9348318577,909234.6911466122,954.2638145711688
83,2.558147495848632E7,1049934.546301365,829215.8732938766,1226.4566568738883
84,2.5484614363377333E7,1042823.9252865314,913262.970559597,720.3431591272355
85,2.554622298221445E7,1046319.7709159851,944751.8569674492,565.9610655970046
86,2.5701463736785173E7,1053442.6569595337,827608.3143439293,1255.3395354674922
87,2.552409037138176E7,1048547.3968138695,921964.2496552467,706.1081035719978
88,2.5721588794812918E7,1058278.87494874,842521.4609069824,1198.8497002674471
89,2.8076715561535835E7,1150618.0527534485,956395.1956028938,1080.9380235479937
90,2.5401101889017105E7,1040261.8890171051,949203.803006649,506.70705971386695
91,2.606686313294506E7,1067342.1299655437,908334.3586461544,885.0079644958179
92,2.5447253494063854E7,1041729.2746567726,870258.9016184807,953.4594250910811
93,2.5358783455620766E7,1039298.8497672081,924165.489887476,639.9498781906235
94,2.5425718684026003E7,1044503.9922955036,855667.7231543064,1051.1954858952097
95,2.7228435584327936E7,1121154.8484318256,938895.5051383972,1013.7972713748615
96,2.5397796616891384E7,1037467.1240622997,942080.7724432945,530.0211093207199
97,2.5593806579075098E7,1045661.7577168941,930709.497439146,639.4897876189817
98,2.5364809029699802E7,1036143.4979538918,942609.1453137398,520.4620037125218
99,2.535704131531167E7,1038787.0054709911,830795.3292303085,1156.0212789860036
100,2.8359141875504255E7,1158430.0511376858,930833.7209200859,1264.735754444864
