Resource utilization
Resource,Utilization %
Role 1,23
SYSTEM,0
Role 4,2
Role 6,1
Role 3,87
Role 2,99
Role 5,75

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1589.1488599261722,31.275395393371582,6163.2655618190765,117597.01563453674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.828604777367625,0.17375219662984212,34.240364232328204,653.3167535252043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
Amend Request for Quotation,640.6164150238037,52.213067054748535,2582.2915318012238,74311.50414276123,47.302619592896825,0.0,2026.0334346294403,5487.1038727760315,0.0,0.0,0.0,0.0,3.296187752393928,0.290072594748603,6.721624195575714,382.3577792776956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
Analyze Purchase Requisition,398.860574567455,242.8242347240448,536.3303792476654,69401.73997473717,0.0,0.0,0.0,0.0,0.005747126436781609,0.0,1.0,1.0,2.215892080930306,1.3490235262446932,2.9796132180425854,385.5652220818733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
Analyze Quotation Comparison Map,1208.3898604774474,393.209876537323,2761.445285797119,120838.98604774475,36.56988415718079,0.0,1076.1691715717316,3656.9884157180786,0.0,0.0,0.0,0.0,6.510110979557034,2.184499314096239,11.14254545238283,651.0110979557033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,20995.74461079306,159.90033650398254,67058.02312326431,4535080.835931301,19607.007992639585,0.0,65403.000950336456,4235113.7264101505,62922.60546229283,0.0,280800.0,1.3591282779855251E7,7.723931217451151,0.0,16.705755771531,1668.3691429694486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
Approve Purchase Order for payment,23767.307858953474,60.0,67776.86354589462,2376730.7858953476,23707.307858953474,0.0,67716.86354589462,2370730.7858953476,101422.53369793892,0.0,313230.7364218235,1.0142253369793892E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,12417.556987352371,0.0,69346.54964089394,1241755.6987352371,12417.556987352371,0.0,69346.54964089394,1241755.6987352371,4120.221457622051,0.0,53770.222720623016,412022.1457622051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,66.48135477304459,0.0,2225.4134414196014,6648.135477304459,66.48135477304459,0.0,2225.4134414196014,6648.135477304459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,26600.719987025263,401.54442143440247,58526.59800696373,2660071.998702526,26047.152095048426,0.0,57913.829298734665,2604715.2095048428,76572.0,0.0,280800.0,7657200.0,3.0753771776490755,2.0161815034018624,4.304720193809933,307.53771776490754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1875.5275491547584,311.65279173851013,3974.7796256542206,187552.75491547585,32.788794374465944,0.0,1259.7406520843506,3278.8794374465942,13.700982823371888,0.0,1369.0982823371887,1370.0982823371887,10.237437526557182,1.7314043985472785,18.79745339287652,1023.7437526557183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,36949.134648115636,2646.7481520175934,82912.60348892212,3694913.4648115635,25087.42797542572,0.0,64516.554891347885,2508742.797542572,102816.0,0.0,334800.0,1.02816E7,65.89837040383286,14.704156400097741,121.04383619626363,6589.837040383285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,325.76282457351687,22.99641442298889,1002.019369840622,32576.282457351685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6195869397057434,0.2555157158109877,11.133548553784689,361.95869397057436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,68141.40926422119,3342.5436503887177,172814.6188735962,6814140.926422119,308.26695068120955,0.0,19745.87770628929,30826.695068120956,22819.356894385815,-49507.875247716904,57364.75492620468,2281935.6894385815,376.8507906307778,18.569686946603987,960.0812159644233,37685.07906307778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174
Pay Invoice,9092.138764228821,317.2376585006714,70083.64274978638,909213.8764228821,8526.828394429684,0.0,69346.54964089394,852682.8394429684,2720.7475418138506,0.0,39368.96112322807,272074.75418138504,3.1406131655507603,1.369717268149058,4.99294077290429,314.061316555076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,6835.283075819016,122.228280544281,65544.38980841637,683528.3075819016,6570.178393366336,0.0,65135.21181321144,657017.8393366337,7.1216473960876465,0.0,712.1647396087646,712.1647396087646,1.4728037914037702,0.6668570876121521,2.2901127881473964,147.28037914037702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,262.3483972644806,0.0,26234.83972644806,26234.83972644806,262.3483972644806,0.0,26234.83972644806,26234.83972644806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,25769.243299512862,1024.0065531730652,62984.69282865524,2576924.3299512863,24294.9275796628,0.0,61595.99974656105,2429492.75796628,61992.0,0.0,280800.0,6199200.0,8.190642888055905,3.0150955054495068,13.469704555140602,819.0642888055904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,58881.23942483663,16803.565005540848,111283.85689282417,5888123.942483664,26046.1438994956,0.0,62955.22967886925,2604614.38994956,157343.0570098734,0.0,388800.0,1.5734305700987339E7,182.41719736300564,81.19904910458459,288.8482557124562,18241.719736300565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,20912.130015125982,144.6899447441101,82438.36458849907,1129255.020816803,9872.121351431917,0.0,56906.13176870346,533094.5529773235,5485.42216512892,0.0,53894.50009703636,296212.79691696167,61.333381464967026,0.8038330263561673,203.99175686571334,3312.0025991082193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),197683.31188726425,1000210.7094608855,1859707.2647035122
Process Cycle Time excluding out of timetable hours (s),100191.052516222,356431.702907896,621649.1611831188
Process Waiting Time (s),0.0,201140.9323975873,403147.80154919624
Accumulated Process Duration (s),197683.31188726425,1000210.7094608855,1859707.2647035122
Cost,285.55232367780474,726.0957125023868,1329.8728229973049


Process Cycle Time (s) distribution
From,To,Count
197683,363885,6
363886,530088,15
530089,696291,6
696292,862494,6
862495,1028697,12
1028698,1194900,17
1194901,1361103,19
1361104,1527306,12
1527307,1693509,4
1693510,1859712,3

Process Waiting Time (s) distribution
From,To,Count
0,40314,13
40315,80629,8
80630,120944,5
120945,161259,6
161260,201574,12
201575,241889,9
241890,282204,22
282205,322519,15
322520,362834,7
362835,403149,3

Accumulated Process Duration (s) distribution
From,To,Count
197683,363885,6
363886,530088,15
530089,696291,6
696292,862494,6
862495,1028697,12
1028698,1194900,17
1194901,1361103,19
1361104,1527306,12
1527307,1693509,4
1693510,1859712,3

Process Cost distribution
From,To,Count
285,389,8
390,494,15
495,599,17
600,704,10
705,809,14
810,914,9
915,1019,10
1020,1124,9
1125,1229,4
1230,1334,4

In-timetable Cycle time (s) distribution
From,To,Count
100191,152336,5
152337,204482,10
204483,256628,9
256629,308774,10
308775,360920,9
360921,413066,25
413067,465212,12
465213,517358,14
517359,569504,5
569505,621650,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,315957.361767292,198940.6545200348,4518.301966905594,801.8250466571914
2,325496.6987502575,239160.59213495255,11697.83152604103,1084.4213284386526
3,298630.9410583973,214207.42797136307,8552.844833135605,862.2494061575997
4,222121.2596988678,100191.052516222,0.0,562.183732700348
5,306502.180993557,241001.09570288658,16165.664776802063,989.5251654532221
6,512279.36578965187,254667.9663145542,22638.625873565674,1012.0381050864855
7,509804.3171043396,235559.45427775383,37231.51497030258,1141.36853449742
8,458944.65924048424,155597.86737585068,13341.470257043839,527.7404805739721
9,473439.3157298565,266881.99635982513,34961.677498579025,1329.8728229973049
10,463592.612169981,264823.6338586807,36392.63792872429,1021.8370904008548
11,197683.31188726425,143682.31188726425,15608.718034029007,712.057382698854
12,496645.5305593014,107845.53055930138,23984.598944425583,466.0218223849932
13,486793.6641879082,177428.0959239006,46328.38467144966,533.0520762734943
14,398647.6471233368,262746.753105402,48205.71130204201,1059.4174936784636
15,692422.5331394672,347347.27654004097,91786.42516183853,1273.4077155815228
16,451772.6537282467,143044.4154469967,40022.53865933418,318.87448082367575
17,655905.8288164139,306656.263150692,91890.96659708023,1046.935896115833
18,516633.68066716194,181832.68066716194,45224.34387207031,787.9850109285779
19,508828.1904129982,184656.92664170265,59793.999322891235,382.67569088406026
20,654293.8062391281,234064.31003546715,61541.099107027054,684.963059282303
21,477569.5807878971,179579.26477098465,62779.35657119751,803.6666268693077
22,546702.2814862728,203086.37436437607,61238.89894652367,589.011574957106
23,449395.2526028156,103965.38213634491,50274.262993097305,298.87677027251976
24,997042.5805749893,369796.66179418564,213984.8807799816,621.4999995946885
25,627436.8227360249,293000.3171520233,82142.62360405922,931.0038431856367
26,1859707.2647035122,621649.1611831188,392608.7252817154,1100.8706508252353
27,957359.3270440102,350286.51522779465,163146.92066073418,1139.8197346581353
28,959079.6561186314,437738.1840951443,195634.87170124054,1182.6338071809873
29,923835.8834331036,344513.5868895054,178827.98069524765,921.3126767542626
30,918073.8356165886,362220.54427576065,182651.27540493011,765.7300357845095
31,914274.0602624416,334893.3258395195,195935.10738015175,586.2853471279144
32,511562.37396264076,201518.994225502,125566.72289848328,422.8422621832954
33,1393559.7755844593,394893.63622045517,196590.627253294,803.2335335599053
34,883027.5332598686,269137.01777887344,181368.53863716125,487.94039724800314
35,536683.6911933422,201452.54758238792,128378.00349521637,408.7852988468276
36,871281.8457334042,362499.34812116623,191161.60597729683,953.1250457843146
37,864698.6707575321,359420.4063155651,198699.4836988449,895.7073538647759
38,494002.6758723259,189639.01208996773,114630.00286078453,417.16602528889973
39,753663.2813351154,314044.89306139946,219141.0540792942,531.4380545245276
40,893597.9508059025,373152.4456176758,140550.73056435585,1132.2919432176482
41,901793.7855532169,397546.03295969963,168167.89979171753,1081.1660938620566
42,709092.9584829807,218243.80253005028,131167.84034109116,485.23699309031167
43,703250.0893237591,260449.08932375908,120025.952003479,506.4581033587455
44,793326.8899223804,244634.14462661743,151477.31014561653,519.7167508999507
45,1407368.498853922,492966.4988539219,342666.26035284996,774.3178936428495
46,1274731.411340952,505898.49303483963,245518.43113088608,1295.2310701224537
47,762094.3791499138,244955.85066699982,159193.00319218636,478.8696346335941
48,1231470.3690829277,411351.4930753708,248047.77058911324,907.989856643147
49,1431459.4477760792,515828.90958857536,311230.0245206356,906.1360308845838
50,802157.4776732922,348407.71972823143,161972.02187633514,858.582652115822
51,1225053.6017119884,425083.7694811821,272357.5287556648,560.1539180106588
52,1789732.1217529774,551074.4597527981,385257.5475358963,608.7792665759723
53,1110242.1529712677,371896.7188446522,188354.46201229095,787.0509163445897
54,1187651.7174289227,496698.1689443588,269574.628323555,1072.3099950499004
55,1307137.1335082054,481628.4671664238,273101.2644312382,948.3675010866589
56,1180821.791016817,386159.0086247921,263971.4732890129,476.5996547407574
57,1173179.951426506,340591.0990102291,252454.57367920876,490.98453727563225
58,1174857.7554671764,395169.40296673775,246400.68988251686,827.5282095816401
59,1228208.3744089603,387081.0664665699,221032.34840726852,626.7428080505796
60,1539030.034352541,426629.03435254097,296282.22172641754,727.8505570239491
61,1102259.683814764,364171.2985506058,250777.4906923771,349.45198342005403
62,1198707.9950575829,346379.08918476105,250920.64367485046,532.0237348993618
63,1612678.7298874855,509079.68145895004,403147.80154919624,342.83422227700544
64,1173628.7202677727,416880.220233202,235596.99690580368,791.4623169091013
65,1158829.8226630688,392454.89410328865,227984.89403104782,709.8488295316696
66,1230936.2056546211,399335.2056546211,236084.80497670174,648.859145781729
67,1704373.7825272083,433037.7089469433,311494.3838541508,677.8316498716674
68,1553350.3464200497,545482.1083843708,346220.6531882286,985.7943717175061
69,1119101.1966586113,301070.3004980087,245668.27890515327,309.1015606906678
70,1217446.84567976,385447.47610735893,239838.2544901371,541.8691425495678
71,1551189.7768695354,550875.1619012356,329061.8535563946,1248.6381196300188
72,1168095.8143262863,392138.7615725994,286584.442892313,550.9875752541753
73,1043684.9399960041,301296.40405106544,250211.63418293,285.55232367780474
74,1503593.4048957825,558753.1437945366,349830.9293680191,1033.0807899223435
75,1139397.0170640945,401108.13281702995,252063.14239740372,543.6820291426449
76,1022888.1387007236,364888.08700728416,260959.2830364704,425.2332688013712
77,1127049.6749958992,415848.18919062614,267739.7677965164,643.5384642693733
78,1080807.219669342,378624.82088184357,269655.388430357,356.4091339124574
79,1296826.6635315418,386925.81059741974,237349.06073355675,832.7629356476996
80,1103838.9871308804,401001.1011610031,281501.833640337,488.6082801222801
81,1081512.2864665985,377625.47132086754,267290.8020851612,614.5112262023821
82,1387581.4949069023,491172.7475221157,313294.29329681396,714.5475965778033
83,1378359.3873887062,508987.5191669464,314076.41804790497,1083.751196624173
84,1365770.1680943966,463700.4253926277,330172.3237142563,539.2150261004766
85,1457887.4607617855,541334.0522260666,318045.5673336983,948.0900238765611
86,1360866.3833692074,481301.8130762577,327890.60799598694,854.5936210023034
87,1441106.8470640182,501257.18142700195,276600.3555109501,931.8562683158451
88,1373268.636499405,459617.4557979107,321295.5588414669,453.3077467666731
89,1411893.9459497929,489251.80346918106,292820.37558579445,787.1754516601563
90,1429094.2071127892,456817.30662226677,282319.05226802826,683.3390209277472
91,1155679.9006664753,300269.7324614525,230060.39572024345,390.8679425994555
92,1289117.1435792446,431338.2569658756,278102.1624388695,617.5852752632567
93,1286525.6506216526,391277.0154440403,290940.5818891525,558.0431204782592
94,1280986.9685239792,485926.22919487953,297494.61663889885,798.6058245115812
95,1282685.077069044,431120.8051395416,275714.2423479557,550.9383947134019
96,1268315.6881904602,475207.3123283386,290021.3041982651,900.4429264280532
97,1318879.229080677,485328.96534752846,265964.3110508919,929.9404586725766
98,1219653.5185081959,421807.13282203674,292226.887465477,570.9145131164129
99,1208775.850310564,373084.11137247086,291313.2285909653,458.11017282671395
100,1202816.2919740677,402830.2038652897,332306.33566212654,394.39979920917096
