Resource utilization
Resource,Utilization %
Role 1,43
SYSTEM,0
Role 4,6
Role 6,3
Role 3,103
Role 2,151
Role 5,85

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1519.2180963039398,7.281982898712158,7728.793563604355,159517.90011191368,13.318995037532988,0.0,1136.1015267372131,1398.4944789409637,9.060816955566406,0.0,884.5932519435883,951.3857803344727,8.366106118146705,0.04045546054840088,42.937742020024196,878.441142405404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Amend Request for Quotation,648.2919443158003,9.5777108669281,1566.6923508644104,67422.36220884323,23.723260808449524,0.0,1163.2686228752136,2467.2191240787506,7.522152579747713,0.0,401.4558539390564,782.3038682937622,3.469826019485283,0.053209504816267225,6.471360476811727,360.86190602646946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
Analyze Purchase Requisition,386.24301778165307,240.19664239883423,538.0186233520508,79179.81864523888,0.0,0.0,0.0,0.0,0.28662493635968467,0.0,58.75811195373535,58.75811195373535,2.145794543231407,1.3344257911046347,2.9889923519558375,439.8878813624384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Analyze Quotation Comparison Map,1328.5407667613028,373.3839690685272,2031.5121700763702,132854.0766761303,8.907220718860627,0.0,657.1382195949554,890.7220718860626,8.672511677742005,0.0,867.2511677742004,867.2511677742004,7.331297478013571,2.0743553837140403,11.2861787226465,733.1297478013571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1368.7123822417914,139.6948266029358,2840.0634644031525,279217.32597732544,3.7711761792500815,0.0,434.04553055763245,769.3199405670166,0.004901960784313725,0.0,1.0,1.0,7.58300670034745,0.77608237001631,15.778130357795291,1546.9333668708798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1920.4324812483787,0.0,38941.99757575989,192043.24812483788,1920.4324812483787,0.0,38941.99757575989,192043.24812483788,0.04,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,8.995257918834687,0.0,538.5858438014984,899.5257918834686,8.995257918834687,0.0,538.5858438014984,899.5257918834686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,567.2979790234566,360.9485640525818,900.1392643451691,56729.79790234566,5.017371072769165,0.0,314.2978672981262,501.7371072769165,0.01,0.0,1.0,1.0,3.1237811552815957,2.005269800292121,4.264227742618985,312.3781155281596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1699.8285975265503,233.58385229110718,3314.897871494293,169982.85975265503,0.0,0.0,0.0,0.0,41.27869879007339,0.0,2099.5562002658844,4127.8698790073395,9.443492208480837,1.2976880682839287,18.416099286079408,944.3492208480836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,11493.47664037943,669.3836958408356,21813.66863298416,1149347.664037943,0.0,0.0,0.0,0.0,1288.8422977423668,0.0,17589.44514608383,128884.22977423668,63.85264800210794,3.7187983102268642,121.18704796102313,6385.264800210794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,355.15563622236255,11.703299045562744,1037.5676894187927,35515.56362223625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.946173735804028,0.13003665606180828,11.52852988243103,394.6173735804028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,77792.81561856031,1640.805111169815,168674.72383522987,7779281.561856031,1424.1811358094214,0.0,38712.496064186096,142418.11358094215,17179.79024651289,-7078.0,82860.0,1717979.024651289,424.27019157083834,9.115583950943417,937.0817990846105,42427.019157083836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Pay Invoice,3439.9307387447357,240.16615271568298,39806.86545062065,343993.0738744736,2876.7331760621073,0.0,39231.276424884796,287673.3176062107,0.03,0.0,1.0,3.0,3.128875348236826,1.3342564039760165,4.99940157201555,312.8875348236826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,78.28363966941833,60.0,1570.0731167793274,7828.3639669418335,18.283639669418335,0.0,1510.0731167793274,1828.3639669418335,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,2119.6857086133955,122.01157975196838,32296.576168060303,211968.57086133957,1861.0373948526383,0.0,32133.97832775116,186103.73948526382,1000.5290964794159,0.0,36060.0,100052.90964794159,1.4369350764486517,0.6778421097331577,2.2917875793245104,143.69350764486518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,1562.1417780709266,0.0,38866.7650039196,156214.17780709267,1562.1417780709266,0.0,38866.7650039196,156214.17780709267,304.99757542610166,0.0,16064.576607704163,30499.75754261017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1439.7235984253884,61.680394411087036,6256.835549354553,143972.35984253883,76.21597625255585,0.0,4180.892328977585,7621.597625255585,53.7147772026062,0.0,1837.0741097927094,5371.47772026062,7.575042345404625,0.3426688578393724,13.894258840878804,757.5042345404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,29732.085026614666,2788.374353170395,52054.25218153,2973208.5026614666,2.114853436946869,0.0,177.45365834236145,211.4853436946869,3626.515631542206,0.0,46097.31046676636,362651.5631542206,165.16650096209835,15.490968628724415,289.1902898973889,16516.650096209836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9540.486763486495,258.01057410240173,39080.42097449303,496105.31170129776,2191.8706536522277,0.0,34653.81228017807,113977.27398991585,912.296034849607,0.0,37574.35292482376,47439.393812179565,40.82564505463482,1.4333920783466763,116.16020798020892,2122.9335428410104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),71575.47632026672,168409.56990532635,304788.8817811012
Process Cycle Time excluding out of timetable hours (s),71574.47632026672,166760.15023972988,303955.2753036022
Process Waiting Time (s),0.0,10950.183360447883,86485.16776919365
Accumulated Process Duration (s),71575.47632026672,168409.56990532635,304788.8817811012
Cost,266.0862585345904,743.4321829444438,1250.4769191847906


Process Cycle Time (s) distribution
From,To,Count
71575,94896,6
94897,118218,12
118219,141540,13
141541,164862,14
164863,188184,19
188185,211506,18
211507,234828,11
234829,258150,5
258151,281472,1
281473,304794,1

Process Waiting Time (s) distribution
From,To,Count
0,8648,72
8649,17297,11
17298,25946,4
25947,34595,1
34596,43244,1
43245,51893,3
51894,60542,2
60543,69191,1
69192,77840,0
77841,86489,5

Accumulated Process Duration (s) distribution
From,To,Count
71575,94896,6
94897,118218,12
118219,141540,13
141541,164862,14
164863,188184,19
188185,211506,18
211507,234828,11
234829,258150,5
258151,281472,1
281473,304794,1

Process Cost distribution
From,To,Count
266,364,4
365,463,12
464,562,11
563,661,16
662,760,15
761,859,6
860,958,12
959,1057,10
1058,1156,7
1157,1255,7

In-timetable Cycle time (s) distribution
From,To,Count
71574,94812,6
94813,118051,12
118052,141290,15
141291,164529,15
164530,187768,18
187769,211007,17
211008,234246,10
234247,257485,5
257486,280724,0
280725,303963,2



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,236394.3035235405,236391.3035235405,0.0,1163.4468301998243
2,176502.66778564453,176500.66778564453,6854.433347225189,697.3284926772118
3,167526.1609466076,167524.1609466076,6538.035978078842,677.219259206454
4,101629.97764205933,101628.97764205933,0.0,518.9528809481196
5,218582.35419082642,218580.35419082642,0.0,1250.4769191847906
6,143852.06760954857,143850.06760954857,0.0,266.0862585345904
7,229264.201659441,229261.201659441,1163.2686228752136,968.2310933444236
8,156438.49215960503,156436.49215960503,0.0,449.44633081621583
9,175652.90304470062,175650.90304470062,0.0,656.1859517945184
10,123250.24422836304,123248.24422836304,0.0,434.3331517590417
11,192955.1032807827,192953.1032807827,0.0,961.1518143759833
12,245879.61727166176,218160.02671813965,12776.977472543716,993.3166439692181
13,144533.66008210182,144531.66008210182,0.0,800.391515394052
14,175148.14972805977,139087.14972805977,12706.921087503433,702.8197195053101
15,167688.32339930534,132010.71540880203,4895.6566426754,706.9283609668415
16,304788.8817811012,303955.2753036022,86330.8033926487,1005.549315320121
17,126156.1804227829,126154.1804227829,9921.29654431343,439.54727617502203
18,281289.482773304,281286.482773304,65191.6581261158,1061.1061243560578
19,250213.1851978302,250210.1851978302,43484.1109290123,919.0518913004134
20,248999.24706745148,248996.24706745148,49019.03451371193,1110.9360187609989
21,215760.267121315,199693.69051361084,79563.78854990005,562.6725596984228
22,209762.6839132309,196156.1094558239,86485.16776919365,494.801209505399
23,234316.2684519291,234313.2684519291,44267.60331487656,674.6813672913447
24,204244.37546396255,204241.37546396255,79959.45309686661,409.242446023888
25,209451.57585024834,209448.57585024834,59871.70100593567,611.8684584087797
26,237790.41089606285,237787.41089606285,15032.658729553223,1026.077697061168
27,193914.7906308174,177998.93262314796,80012.05302548409,546.634233962165
28,193429.75726771355,193427.75726771355,43180.12058663368,758.8792183823057
29,207595.4292702675,207593.4292702675,20403.71675300598,1035.9867594268587
30,184574.75897741318,184572.75897741318,56411.522141218185,622.3842209537825
31,194822.98553681374,177394.79534316063,20872.95134663582,869.898984515667
32,174364.3846564293,174362.3846564293,33340.38079047203,730.9534764144157
33,220424.22536611557,220421.22536611557,9232.136172533035,1144.9787152647968
34,147707.94034409523,147705.94034409523,0.0,612.8447759482596
35,107134.70428204536,107133.70428204536,0.0,577.2955455740293
36,230087.92630124092,230085.92630124092,10718.091437339783,1200.5657388382483
37,102864.85450291634,102863.85450291634,0.0,421.6643204463852
38,208245.59032988548,208243.59032988548,0.0,1148.887148618698
39,100417.50566792488,100416.50566792488,0.0,460.4330365366406
40,160638.63394403458,160636.63394403458,10562.969700574875,616.656498597728
41,170120.33987760544,170118.33987760544,13792.076081991196,636.4625681307581
42,148097.0435681343,148096.0435681343,14565.113212108612,560.8341197782092
43,84093.63221240044,84092.63221240044,0.0,355.2000350342856
44,207265.51501965523,207262.51501965523,0.0,803.0670073986054
45,94606.93008112907,94605.93008112907,3283.4715492725372,474.0716771231757
46,104602.40764069557,104601.40764069557,0.0,373.9552051941553
47,149994.55364751816,149993.55364751816,228.32340359687805,692.8443531513216
48,159602.3646080494,159600.3646080494,0.0,840.4484526448782
49,108540.10241651535,108539.10241651535,0.0,556.5305372940171
50,196703.0620522499,196701.0620522499,0.0,1045.644882445865
51,176819.89976620674,176817.89976620674,2315.8188309669495,962.4004802478686
52,80390.76978206635,80389.76978206635,0.0,447.8089556508594
53,106529.8243637085,106527.8243637085,262.3929522037506,590.7941362155808
54,205439.60493254662,205437.60493254662,286.2768201828003,1180.395831105444
55,108242.00329709053,108241.00329709053,1044.6598055362701,597.7516242424648
56,133450.29694271088,133449.29694271088,166.53138136863708,741.9727777269151
57,188075.62024331093,187478.90913939476,2848.1410455703735,869.775568705135
58,182684.97440433502,182681.97440433502,330.0994288921356,918.6553711030218
59,226972.87116622925,226969.87116622925,259.29069566726685,1228.6989402598804
60,179599.3937675953,179597.3937675953,0.0,1013.5660974144937
61,227425.13459658623,227422.13459658623,0.0,799.5227737506231
62,71575.47632026672,71574.47632026672,0.0,386.02293771637807
63,102327.11492919922,102325.11492919922,0.0,294.5645142608218
64,134435.56251335144,134434.56251335144,0.0,491.31952153974106
65,221723.95997953415,221720.95997953415,19589.52798986435,1091.5506867898835
66,175051.7405884266,175049.7405884266,0.0,992.2302438192899
67,140937.31698155403,140936.31698155403,0.0,783.5657329863974
68,206305.5427441597,206303.5427441597,14347.098550319672,1089.6106728249126
69,101140.42377400398,101139.42377400398,0.0,562.8061892867088
70,212616.83230566978,212614.83230566978,0.0,722.311951769723
71,143870.1121776104,143868.1121776104,17499.473496437073,476.08477710617905
72,99627.76866149902,99626.76866149902,0.0,554.9880054036777
73,135686.57072377205,135684.57072377205,16105.489231824875,358.6752708011203
74,140747.21075844765,140746.21075844765,161.31091856956482,589.8933369821973
75,132228.2535085678,132227.2535085678,7953.2790195941925,637.7434074083966
76,132325.1429257393,132323.1429257393,0.0,374.8258246011204
77,135266.54753303528,135264.54753303528,0.0,612.4752249744204
78,199276.7469239235,199274.7469239235,660.8160989284515,927.6147003213564
79,194959.70398569107,194957.70398569107,6412.326003074646,915.5650731775498
80,207596.9297993183,207594.9297993183,1510.0731167793274,1175.0572977516383
81,158770.17466783524,158768.17466783524,970.0443127155304,605.4340654532116
82,162248.46510744095,162246.46510744095,0.0,721.1591141210662
83,132891.1274175644,132890.1274175644,0.0,629.9385175440048
84,161176.4963271618,161174.4963271618,0.0,861.7909406926899
85,149305.25499272346,149303.25499272346,187.43923997879028,667.6375278419919
86,156090.85474443436,156088.85474443436,2340.97954082489,684.9666520569061
87,210114.9471924305,210112.9471924305,2073.473363161087,1072.0058824022608
88,80691.15896010399,80690.15896010399,1451.7986748218536,379.8817890776528
89,165218.51123523712,164350.26006746292,233.58385229110718,913.9407174229623
90,174515.09154224396,174513.09154224396,1458.1201045513153,956.8060068832503
91,168077.9423942566,168075.9423942566,4843.060065984726,899.9994405521287
92,174177.27709960938,174175.27709960938,1145.7048885822296,956.3864732291966
93,203303.61783599854,203301.61783599854,423.16311621665955,1166.966281167666
94,111598.01384449005,111597.01384449005,0.0,622.9378984981114
95,222833.35252261162,222831.35252261162,915.4393756389618,799.4545472966302
96,122548.4314250946,122547.4314250946,6387.9893481731415,648.985624060366
97,164897.65792775154,164895.65792775154,0.0,710.8301436755393
98,184108.25756645203,184106.25756645203,0.0,900.427837003602
99,128322.28112530708,128321.28112530708,0.0,668.1176505406698
100,78818.50251460075,78818.50251460075,169.43945217132568,438.332160727183
