Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,1
Role 6,0
Role 3,110
Role 2,166
Role 5,9

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1642.7058146532845,8.191365480422974,8045.017505407333,139629.99424552917,0.0,0.0,0.0,0.0,79.3911991371828,0.0,3737.6989126205444,6748.251926660538,9.126143414740469,0.04550758600234985,44.69454169670741,775.7221902529398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
Amend Request for Quotation,613.95744613714,0.0,1065.9081630706787,52800.34036779404,0.0,0.0,0.0,0.0,2.8508774762929874,0.0,245.1754629611969,245.1754629611969,3.410874700761888,0.0,5.921712017059326,293.33522426552236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
Analyze Purchase Requisition,397.49785907719587,240.9395408630371,539.960925579071,73537.10392928123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2083214393177553,1.3385530047946506,2.999782919883728,408.53946627378474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Analyze Quotation Comparison Map,1215.2962214136123,367.8931815624237,2026.1757395267487,121529.62214136124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.751645674520066,2.043851008680132,11.256531886259715,675.1645674520066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1378.7014884192456,56.09219193458557,2800.73695397377,256438.4768459797,0.0,0.0,0.0,0.0,9.576636772001944,0.0,1781.2544395923615,1781.2544395923615,7.659452713440249,0.3116232885254754,15.559649744298722,1424.6582046998863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,7.868363289833069,0.0,137.8359785079956,786.8363289833069,7.868363289833069,0.0,137.8359785079956,786.8363289833069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,577.930984647274,363.08810567855835,778.8352916240692,57793.0984647274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2107276924848542,2.0171561426586573,4.326862731244829,321.07276924848543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1883.0816199707986,302.19216418266296,3275.631327867508,188308.16199707985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.461564555393325,1.6788453565703498,18.197951821486154,1046.1564555393325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,11006.413519971371,1027.200040102005,21615.135835647583,1100641.351997137,0.0,0.0,0.0,0.0,1031.0422905445098,0.0,20608.198926210403,103104.22905445099,61.14674177761871,5.706666889455583,120.08408797581991,6114.674177761871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,339.1827923536301,21.29521942138672,1538.7343275547028,33918.27923536301,0.0,0.0,0.0,0.0,0.7234026718139649,0.0,71.34026718139648,72.34026718139648,3.76869769281811,0.2366135491265191,17.097048083941143,376.869769281811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,77425.30005981684,4016.238303422928,170256.1954805851,7742530.005981684,48.35900395870209,0.0,4835.900395870209,4835.900395870209,13434.46698130846,-86398.0,76755.17524027824,1343446.698130846,429.8718947547674,22.312435019016267,945.8677526699172,42987.18947547674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Pay Invoice,612.8983609485626,258.61510014533997,990.8525321483612,61289.83609485626,7.207092566490173,0.0,146.71852803230286,720.7092566490173,540.0,0.0,54000.0,54000.0,3.364951491011513,1.4367505563629999,4.896021082666185,336.4951491011513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,287.9766021323204,120.9321026802063,661.0924994945526,28797.66021323204,7.855180480480194,0.0,252.97543096542358,785.5180480480194,44572.162276961804,0.0,226133.84341311455,4457216.22769618,1.5562301202880002,0.671845014890035,2.316886905829112,155.62301202880002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,5.811243629455566,0.0,581.1243629455566,581.1243629455566,5.811243629455566,0.0,581.1243629455566,581.1243629455566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1387.7201658797264,336.64240622520447,2304.668576002121,138772.01658797264,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,7.709556477109593,1.8702355901400247,12.803714311122894,770.9556477109593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,30434.10284467697,2438.1141600608826,52313.18435239792,3043410.284467697,0.0,0.0,0.0,0.0,4507.3706204795835,0.0,35327.08263087273,450737.0620479584,169.07834913709434,13.545078667004903,290.6288019577662,16907.834913709434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10248.857582503177,178.69802236557007,34604.56296634674,481696.3063776493,12.424211441202367,0.0,170.29175877571106,583.9379377365112,9421.27659574468,0.0,226800.0,442800.0,56.869074283677634,0.8421405262417263,192.24757203525968,2672.846491332849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),66776.63737082481,203944.7852661705,486360.4887752533
Process Cycle Time excluding out of timetable hours (s),66775.63737082481,156132.04180207252,260224.64536213875
Process Waiting Time (s),0.0,82.9402633023262,4835.900395870209
Accumulated Process Duration (s),66776.63737082481,203946.12738665103,486360.4887752533
Cost,257.056452565723,753.3380418080222,1392.5332065131927


Process Cycle Time (s) distribution
From,To,Count
66776,108734,12
108735,150693,17
150694,192652,21
192653,234611,20
234612,276570,14
276571,318529,8
318530,360488,3
360489,402447,3
402448,444406,0
444407,486365,2

Process Waiting Time (s) distribution
From,To,Count
0,483,98
484,967,1
968,1451,0
1452,1935,0
1936,2419,0
2420,2903,0
2904,3387,0
3388,3871,0
3872,4355,0
4356,4839,1

Accumulated Process Duration (s) distribution
From,To,Count
66776,108734,12
108735,150693,17
150694,192652,21
192653,234611,20
234612,276570,14
276571,318529,8
318530,360488,3
360489,402447,3
402448,444406,0
444407,486365,2

Process Cost distribution
From,To,Count
257,370,7
371,484,15
485,598,18
599,712,9
713,826,14
827,940,10
941,1054,7
1055,1168,11
1169,1282,4
1283,1396,5

In-timetable Cycle time (s) distribution
From,To,Count
66775,86119,8
86120,105464,12
105465,124809,12
124810,144154,13
144155,163499,12
163500,182844,9
182845,202189,10
202190,221534,13
221535,240879,7
240880,260224,4



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,134962.87353944778,134960.87353944778,0.0,1076.9389870855541
2,230599.96473264694,230596.96473264694,0.0,1242.3149262825646
3,113280.64999198914,113279.64999198914,0.0,590.022079410818
4,113951.73243021965,113950.73243021965,0.0,439.12618325683803
5,165995.4094967842,137120.6930720806,0.0,598.154889702797
6,86049.00509142876,86048.00509142876,0.0,358.46321387026035
7,224012.15077757835,224009.15077757835,0.0,893.4976631217534
8,210069.26100683212,207470.0624370575,0.0,1000.1518717328707
9,486360.4887752533,260224.64536213875,170.29175877571106,1334.6177652531198
10,181693.1988105774,152173.33028197289,0.0,748.7590795636178
11,167898.1309044361,120546.61194610596,0.0,616.8990268045001
12,84783.99417901039,84782.99417901039,0.0,410.95298937559124
13,399288.15869116783,233092.08581018448,35.81373596191406,1272.4347031619811
14,471742.1347975731,243630.29015231133,8.783949136734009,1392.5332065131927
15,111850.53618240356,111849.53618240356,0.0,945.1448357383409
16,117925.14664816856,117924.14664816856,0.0,896.6995042509504
17,353974.4893012047,143219.83323907852,46.580251932144165,796.6718576431276
18,329058.48050785065,135564.94359469414,33.520283460617065,474.001862472958
19,315354.5733523369,148580.3630645275,82.26287484169006,505.6687146849102
20,309812.5466299057,228701.3050172329,74.43114280700684,1070.836973423428
21,304233.24692606926,157182.9410982132,63.020389795303345,673.0316258642409
22,273239.2101480961,148059.53679847717,158.60583353042603,808.0691548996501
23,259630.96355509758,133765.16305279732,164.58915281295776,631.6595475660431
24,245227.0394909382,156481.63028645515,87.65616345405579,366.0664094434844
25,231936.9480342865,169280.0595395565,255.64347958564758,460.34487648672524
26,228492.32010483742,96619.03458452225,35.344388008117676,496.38923229508924
27,203349.50674009323,73907.87319278717,222.59897470474243,409.60055814451636
28,275515.6740665436,221513.67406654358,0.0,1167.8876927349302
29,175049.070217371,91893.31312918663,24.24586510658264,315.4335293650627
30,258791.58877134323,214457.88839626312,0.0,1071.8062814964187
31,154763.59372258186,153482.04730272293,344.81039214134216,782.173410627577
32,145301.44020485878,139052.39869999886,276.11276483535767,748.411142317454
33,120028.20676732063,78816.47541999817,344.80478262901306,428.2353307803471
34,215516.29418873787,215514.29418873787,0.0,1217.7907384673751
35,91902.34703373909,91901.34703373909,447.88538789749146,848.6075486765969
36,184189.49042320251,184187.49042320251,0.0,608.5643462512229
37,156660.97492027283,126283.35306954384,0.0,704.6491268608306
38,222602.4931564331,192889.83267617226,0.0,823.4679261194336
39,122306.71332144737,111894.05012989044,0.0,377.72188314066983
40,211426.4849267006,211424.4849267006,0.0,1026.3456282509699
41,180813.322483778,126812.322483778,0.0,651.1795563300451
42,108374.69659280777,108373.69659280777,0.0,463.781621781985
43,160330.86407065392,113851.03626585007,0.0,583.5493215812577
44,137953.64031744003,129709.27764749527,0.0,326.7683443930414
45,296755.1343591213,247902.71257019043,0.0,1328.3946631153424
46,216401.85878896713,216399.85878896713,0.0,1209.3089762727418
47,192016.3488175869,190336.9366621971,0.0,997.2706782884069
48,269633.941498518,215631.941498518,0.0,689.1269340448911
49,76735.99314594269,76734.99314594269,0.0,363.29821929534273
50,233283.17993545532,220615.4612710476,0.0,860.7390913036136
51,134756.16838932037,95809.85543942451,0.0,512.3604741003778
52,215819.85146427155,215817.85146427155,0.0,991.0109605246121
53,184992.99002552032,162380.72643089294,0.0,858.1287981298236
54,93595.63938093185,93594.63938093185,0.0,456.0394098361333
55,90399.77495002747,90398.77495002747,0.0,471.35754155317943
56,171858.82870149612,171856.82870149612,0.0,1080.2241351511746
57,66776.63737082481,66775.63737082481,0.0,360.7963197867075
58,376207.1293349266,131263.63125181198,0.0,729.7126650810243
59,100992.69859290123,98152.69444346428,0.0,550.0699342992572
60,364830.73807144165,186211.3489561081,0.0,1075.6034913924007
61,332374.0400147438,177273.21335220337,0.0,559.6733564482796
62,318342.00026869774,200449.14804935455,0.0,793.0147221737438
63,304080.2146322727,199363.42039251328,0.0,823.1600846290589
64,291614.7771515846,151069.5323791504,0.0,715.8428489340677
65,276325.85175156593,161123.85175156593,0.0,889.5147571020657
66,267416.3893954754,232651.5848760605,0.0,1285.580468151304
67,256314.44975948334,186320.78784036636,0.0,748.3841158191365
68,234101.1069893837,111645.87472486496,0.0,590.4840930541359
69,220229.10062408447,168122.23854279518,0.0,693.9065825025241
70,206467.73372340202,95401.97202682495,0.0,257.056452565723
71,197450.17697119713,150189.23612737656,0.0,790.5682565450669
72,201114.11035823822,201112.11035823822,581.1243629455566,1011.544207669629
73,259926.13663601875,206957.3332517147,0.0,1044.5268228636849
74,255840.1370522976,201891.18493032455,0.0,1081.108474542035
75,154687.0522198677,154685.0522198677,0.0,816.858118930128
76,122033.62069773674,84899.86237835884,0.0,477.13179562356726
77,287794.2340197563,245428.8716788292,0.0,1383.9727522187761
78,191070.50651454926,191068.50651454926,0.0,1083.337591641479
79,166332.4513475895,163925.68547344208,0.0,932.2883636593818
80,242811.01201677322,208504.48337244987,0.0,909.7539448698363
81,224986.97615146637,205406.4909658432,4835.900395870209,913.9988447586696
82,131908.10679745674,97248.776491642,0.0,545.8782212469313
83,140444.86713290215,140443.86713290215,0.0,465.8031843834453
84,269069.7250878811,215067.7250878811,0.0,1133.7636888186137
85,170897.80501270294,168818.5339462757,0.0,377.1552106817562
86,177457.90373158455,177455.90373158455,0.0,571.6410034312142
87,234218.29671525955,221822.61971449852,0.0,860.8440410494806
88,154589.12645983696,154587.12645983696,0.0,666.9512656450272
89,200923.89892554283,179797.42897987366,0.0,791.4341033352748
90,122798.77202796936,122797.77202796936,0.0,521.5408300863371
91,101997.41897511482,101996.41897511482,0.0,553.1715934965346
92,157659.50092053413,115950.8564004898,0.0,492.95739294555443
93,166299.065980196,166297.065980196,0.0,534.932355761528
94,240322.90946125984,240319.90946125984,0.0,1124.5664979285662
95,115711.9195356369,113005.40821623802,0.0,582.1251412643329
96,101325.6809873581,84689.68872070312,0.0,446.557856256432
97,92678.77337265015,92677.77337265015,0.0,474.71632868316436
98,160150.3387067318,126522.09814667702,0.0,593.8766277048323
99,146099.04610323906,103996.11174464226,0.0,533.1458563499982
100,137257.3235282898,137255.3235282898,0.0,1072.1688676317533
