Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,0
Role 6,0
Role 3,106
Role 2,142
Role 5,8

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1763.180640750153,6.3664867877960205,9020.05868268013,151633.53510451317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.795448004167516,0.035369371043311226,50.11143712600072,842.4085283584064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
Amend Request for Quotation,645.6506571071317,0.0,1525.8856117725372,63919.41505360603,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,1.0,1.0,3.586948095039621,0.0,8.477142287625206,355.1078614089225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Analyze Purchase Requisition,380.8073508201107,240.95848894119263,538.016021490097,70830.16725254059,0.0,0.0,0.0,0.0,3762.8241784252145,0.0,32400.0,699885.2971870899,2.11559639344506,1.3386582718955147,2.9889778971672056,393.50092918078116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
Analyze Quotation Comparison Map,1158.5373970508576,86.39840197563171,2037.4766070842743,115853.73970508575,0.0,0.0,0.0,0.0,14.26351705312729,0.0,923.5359742641449,1426.3517053127289,6.436318872504765,0.47999112208684286,11.319314483801524,643.6318872504766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1427.9444589818543,0.0,2863.381940841675,284160.947337389,0.0,0.0,0.0,0.0,7.988693964541258,0.0,1170.1620831489563,1589.7500989437103,7.933024772121408,0.0,15.907677449120415,1578.6719296521603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,563.2038940358162,110.62924551963806,774.8883469104767,56320.38940358162,0.0,0.0,0.0,0.0,7.7161304163932805,0.0,401.7586135864258,771.613041639328,3.1289105224212017,0.6146069195535447,4.304935260613759,312.89105224212017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1809.3985753369332,332.9124834537506,3385.6815140247345,180939.8575336933,0.0,0.0,0.0,0.0,7.693012232780457,0.0,768.3012232780457,769.3012232780457,10.052214307427406,1.849513796965281,18.809341744581857,1005.2214307427405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,10706.130591967107,190.90429139137268,21629.796424388885,1070613.0591967106,0.0,0.0,0.0,0.0,618.7466592741013,0.0,14918.698620796204,61874.665927410126,59.47850328870616,1.0605793966187371,120.16553569104937,5947.850328870616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,297.8575174951553,13.833302974700928,1665.1667783260345,29785.751749515533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3095279721683926,0.15370336638556586,18.501853092511496,330.95279721683926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,68216.70743831396,822.2493944168091,170411.04358577728,6821670.743831396,70.83651404857636,0.0,7083.6514048576355,7083.6514048576355,16730.3375903821,-82678.0,79320.0,1673033.75903821,378.58817180147423,4.568052191204495,946.7280199209849,37858.817180147424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186
Pay Invoice,556.7464449810982,240.3090786933899,894.445431470871,55674.64449810982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.093035805450545,1.3350504371854994,4.969141285949283,309.3035805450545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,272.03811440467837,124.42911219596863,414.8255500793457,27203.811440467834,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,1.511322857803768,0.691272845533159,2.3045863893296983,151.1322857803768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,78.73429587364197,0.0,7289.7091274261475,7873.429587364197,78.73429587364197,0.0,7289.7091274261475,7873.429587364197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1387.9853281259536,233.23860597610474,2371.625749349594,138798.53281259537,0.0,0.0,0.0,0.0,6.658503801822662,0.0,665.8503801822662,665.8503801822662,7.711029600699743,1.295770033200582,13.175698607497745,771.1029600699743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,25676.692319788934,1782.498373746872,52307.73259019852,2567669.2319788933,0.0,0.0,0.0,0.0,10516.47668009758,0.0,41108.428008556366,1051647.668009758,142.6482906654941,9.902768743038177,290.59851438999175,14264.82906654941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11495.197851998466,328.14553928375244,32497.280154943466,563264.6947479248,0.0,0.0,0.0,0.0,965.7410523453538,0.0,20937.59985947609,47321.31156492233,63.86221028888036,1.8230307737986247,180.5404453052415,3129.2483041551377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),43371.86604118347,157565.75995728493,291914.91862535477
Process Cycle Time excluding out of timetable hours (s),43370.86604118347,150565.17698541403,272166.761030674
Process Waiting Time (s),0.0,149.57080992221833,7289.7091274261475
Accumulated Process Duration (s),43371.86604118347,157571.99519410133,291914.91862535477
Cost,243.38226126829784,679.6133678883713,1248.6445864068137


Process Cycle Time (s) distribution
From,To,Count
43371,68225,1
68226,93080,10
93081,117935,14
117936,142790,12
142791,167645,25
167646,192500,12
192501,217355,14
217356,242210,7
242211,267065,3
267066,291920,2

Process Waiting Time (s) distribution
From,To,Count
0,728,98
729,1457,0
1458,2186,0
2187,2915,0
2916,3644,0
3645,4373,0
4374,5102,0
5103,5831,0
5832,6560,0
6561,7289,2

Accumulated Process Duration (s) distribution
From,To,Count
43371,68225,1
68226,93080,10
93081,117935,14
117936,142790,12
142791,167645,25
167646,192500,12
192501,217355,14
217356,242210,7
242211,267065,3
267066,291920,2

Process Cost distribution
From,To,Count
243,343,5
344,444,12
445,545,15
546,646,19
647,747,17
748,848,10
849,949,5
950,1050,9
1051,1151,4
1152,1252,4

In-timetable Cycle time (s) distribution
From,To,Count
43370,66249,3
66250,89129,8
89130,112009,16
112010,134889,15
134890,157769,17
157770,180649,9
180650,203529,15
203530,226409,12
226410,249289,4
249290,272169,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,147039.1944694519,147037.1944694519,0.0,504.61530161433745
2,160393.28508019447,128431.2987229824,0.0,499.9145443267292
3,230535.828404665,211897.72253227234,0.0,564.7544296900431
4,161375.9054529667,158962.99271130562,0.0,592.7398430652089
5,81321.47791028023,81320.47791028023,0.0,312.00296423170295
6,102824.07100200653,102823.07100200653,0.0,472.57505320443045
7,74995.93303894997,74994.93303894997,0.0,386.76872668133836
8,153958.84345650673,121614.93424129486,0.0,535.4086058431202
9,229459.9072959423,210151.85541582108,0.0,1039.5341873009995
10,68462.38209486008,63030.79399085045,0.0,293.1620395051109
11,199380.10437464714,199378.10437464714,0.0,975.1239777723948
12,151201.96100401878,151199.96100401878,0.0,730.8582288622857
13,127198.02904653549,127196.02904653549,0.0,629.1764629615678
14,154340.15653681755,121939.15653681755,0.0,678.7517032795482
15,124758.3417172432,102655.04696655273,0.0,572.6403588626121
16,223317.5602300167,213296.76755452156,0.0,745.2789006471635
17,181751.08330583572,181749.08330583572,0.0,570.0427286267283
18,92689.83952879906,92688.83952879906,0.0,515.9046619084146
19,213049.94760012627,213046.94760012627,0.0,826.4134469774036
20,211453.0659866333,211450.0659866333,0.0,1040.694988675912
21,191760.83883428574,167809.1126894951,0.0,788.0266916685634
22,199789.87666416168,188278.84130573273,0.0,468.9072445339626
23,155177.2604022026,155175.2604022026,0.0,742.2948030630748
24,121227.865493536,121226.865493536,0.0,624.8640157302221
25,217179.92779755592,217176.92779755592,0.0,968.6182841300966
26,132088.41492033005,132086.41492033005,0.0,644.1150489025646
27,115452.32054901123,88859.5953195095,0.0,472.4776495787832
28,162190.5832078457,147613.08194589615,0.0,819.4548933823903
29,237969.65570139885,237193.00195002556,0.0,1178.952889547083
30,150652.48266983032,150650.48266983032,0.0,747.4859627962112
31,189647.76301670074,189645.76301670074,0.0,1045.1141438325246
32,188522.942609787,156962.5717177391,0.0,873.8264023356967
33,150434.99584317207,120970.13497138023,0.0,672.7936355630559
34,184573.7540822029,169114.23919463158,0.0,959.7803348753188
35,105529.53792095184,104704.07743859291,0.0,586.0953133119478
36,111082.89715719223,111081.89715719223,0.0,617.8861035466194
37,101352.27760577202,101351.27760577202,0.0,565.8967469904157
38,107638.04297995567,107636.04297995567,0.0,374.1957292622989
39,132951.19337415695,101507.73377370834,0.0,336.5939836091465
40,186432.13667678833,167901.47070980072,0.0,1248.6445864068137
41,191195.92886161804,186782.82510590553,0.0,660.2847900218435
42,106362.74606323242,106361.74606323242,0.0,546.0940271125899
43,85410.2913813591,85409.2913813591,0.0,355.20605605178406
44,99389.53612327576,99388.53612327576,0.0,516.7872604846954
45,138833.27281188965,138831.27281188965,0.0,512.8139552884631
46,95244.35342288017,75186.41270756721,0.0,848.5790818558798
47,102756.94594240189,96733.1439397335,0.0,333.47296537823144
48,76783.95897650719,76782.95897650719,0.0,406.90673984818983
49,184538.95659327507,184536.95659327507,0.0,496.0312659780184
50,202441.09861779213,202438.09861779213,0.0,698.7524506674872
51,155330.20891022682,155328.20891022682,0.0,759.1768723977937
52,152110.47359490395,130167.2605240345,0.0,696.1822150746982
53,141359.04460048676,132672.0218412876,0.0,603.4086381276448
54,104049.4354557991,104048.4354557991,0.0,400.13977256615954
55,92801.57576799393,92800.57576799393,0.0,393.2459988209937
56,138068.94323587418,138066.94323587418,0.0,761.7967275513543
57,223874.86328864098,223871.86328864098,0.0,1247.1357869916492
58,91268.82152271271,64887.31339263916,0.0,361.0818323466513
59,138707.50004696846,126220.71778321266,0.0,703.0495471093391
60,187721.57104611397,187719.57104611397,0.0,637.7943653331864
61,203977.41674470901,203975.41674470901,0.0,722.9329741173322
62,176081.18489217758,176079.18489217758,0.0,575.6455538352332
63,43371.86604118347,43370.86604118347,0.0,243.38226126829784
64,226089.7864627838,197505.11943650246,0.0,1006.1814176731639
65,126027.74677062035,111321.7816195488,0.0,618.6355272293091
66,209891.5373866558,209160.51772379875,0.0,1130.9100261198148
67,93938.03187561035,93937.03187561035,0.0,347.31744512849383
68,125798.42652654648,125796.42652654648,0.0,614.2078263256286
69,208337.68744635582,208334.68744635582,0.0,948.8833980414604
70,275544.9199373722,245763.08051633835,0.0,1157.7635608620114
71,146821.62901711464,131239.47318148613,0.0,710.9627272990016
72,211568.8258407116,209166.02281355858,0.0,983.1588656981788
73,164925.84331536293,164923.84331536293,0.0,766.3071806973884
74,156261.3672697544,156259.3672697544,0.0,732.2130961722798
75,94018.31112909317,94017.31112909317,0.0,521.4435410433346
76,117472.22504234314,117470.22504234314,0.0,651.4380401995446
77,291914.91862535477,272166.761030674,7289.7091274261475,1113.7707309855355
78,118842.43900942802,114606.03596019745,0.0,637.589722152551
79,153579.71627521515,153577.71627521515,0.0,428.4602081325318
80,246099.94844341278,246096.94844341278,0.0,1052.6183641937043
81,153135.63309264183,153133.63309264183,0.0,515.697533627351
82,148382.93592834473,148380.93592834473,0.0,624.5643026709557
83,223852.06704711914,201260.82084417343,0.0,920.0651102026305
84,200760.78680992126,192414.85802960396,0.0,872.2741012679207
85,175499.67693042755,175497.67693042755,583.7204599380493,429.7700134436289
86,196413.58058404922,196411.58058404922,0.0,671.1994682894813
87,164309.6864118576,164307.6864118576,0.0,656.7939088900885
88,157510.40122270584,157508.40122270584,0.0,528.0611608359549
89,243007.74189710617,217771.83287024498,0.0,628.608972132206
90,143353.1037683487,132210.11350488663,0.0,597.2526920066939
91,200256.51791596413,200254.51791596413,7083.6514048576355,539.9938146326278
92,79967.70351529121,79966.70351529121,0.0,421.0900891754362
93,243012.72413611412,243009.72413611412,0.0,1060.6420567075413
94,80911.16353654861,80910.16353654861,0.0,421.1425020827187
95,164809.60961604118,138293.87654995918,0.0,699.7886292431091
96,209115.24226045609,198077.75192260742,0.0,915.3249027967454
97,143210.8217151165,143209.8217151165,0.0,771.3544782307413
98,145256.32547569275,145254.32547569275,0.0,748.5174054927296
99,167253.56040906906,167251.56040906906,0.0,837.0973103417291
100,186581.67409658432,186579.67409658432,0.0,977.9499034815366
