Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,42
Role 2,92
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1730.797071705262,15.523193597793579,6189.822268247604,166156.51888370514,0.0,0.0,0.0,0.0,11.967278761168322,0.0,914.7020337581635,1148.8587610721588,9.615539287251458,0.08623996443218655,34.38790149026447,923.09177157614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Amend Request for Quotation,658.1411946748985,0.0,1271.2830381393433,89507.20247578621,0.0,0.0,0.0,0.0,2.977103461237515,0.0,404.886070728302,404.886070728302,3.656339970416104,0.0,7.062683545218574,497.26223597659015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
Analyze Purchase Requisition,379.9239211277086,240.29262733459473,539.4491899013519,74465.08854103088,0.0,0.0,0.0,0.0,0.08337991213311954,0.0,16.34246277809143,16.34246277809143,2.1106884507094925,1.3349590407477485,2.9969399438963995,413.6949363390605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Quotation Comparison Map,1142.1230650043487,291.6751706600189,2028.8365359306335,114212.30650043488,0.0,0.0,0.0,0.0,21.800440506935118,0.0,1633.6364569664001,2180.044050693512,6.345128138913049,1.6204176147778828,11.27131408850352,634.5128138913049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1340.4582710569189,0.0,2532.398056268692,316348.15196943283,0.0,0.0,0.0,0.0,3.573272655575962,0.0,795.6230826377869,843.2923467159271,7.446990394760656,0.0,14.068878090381622,1757.4897331635148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,2435.197524898052,0.0,13539.885178804398,243519.75248980522,2435.197524898052,0.0,13539.885178804398,243519.75248980522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,571.9606969642639,376.58099913597107,779.7933459281921,57196.06969642639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1775594275792445,2.092116661866506,4.332185255156623,317.75594275792446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1735.6437734436988,134.65312314033508,3363.4331085681915,173564.3773443699,0.0,0.0,0.0,0.0,32.11581365585327,0.0,2821.6701426506042,3211.581365585327,9.642465408020554,0.7480729063351949,18.68573949204551,964.2465408020554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,10462.733508634567,619.501868724823,21422.876790761948,1046273.3508634567,0.0,0.0,0.0,0.0,1455.3158838438987,0.0,20698.218498945236,145531.58838438988,58.12629727019202,3.441677048471239,119.0159821708997,5812.629727019202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,349.1995778250694,9.58643627166748,1539.7843203544617,34919.95778250694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.879995309167439,0.10651595857408312,17.10871467060513,387.9995309167439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,361706.4431089544,27736.029423713684,711156.7619655132,3.617064431089544E7,262814.15378068684,0.0,545262.5541636944,2.6281415378068686E7,978987.2227413249,54000.0,1879200.0,9.789872227413249E7,549.4016073792644,99.94752544959387,972.9570464981927,54940.16073792644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Pay Invoice,3522.0548438382148,243.26234221458435,14387.910588264465,352205.4843838215,2948.908731534481,0.0,13638.749548435211,294890.8731534481,0.0,0.0,0.0,0.0,3.1841450683540766,1.351457456747691,4.958594128820631,318.4145068354077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,463.30511726140975,122.09971880912781,1189.5330083370209,46330.511726140976,199.3396690559387,0.0,814.6716074943542,19933.966905593872,0.0,0.0,0.0,0.0,1.4664747122526174,0.6783317711618212,2.326199428240458,146.64747122526174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,249514.8853322768,0.0,548350.3795208931,2.4951488533227682E7,249514.8853322768,0.0,548350.3795208931,2.4951488533227682E7,734292.0,0.0,1609200.0,7.34292E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1458.9433186769486,307.60987281799316,2429.1705939769745,145894.33186769485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10524065931638,1.70894373787774,13.49539218876097,810.524065931638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,28025.822327709197,536.3290011882782,52629.85215687752,2802582.23277092,0.0,0.0,0.0,0.0,5698.800219855309,0.0,48932.593623161316,569880.0219855309,155.69901293171776,2.979605562157101,292.3880675382084,15569.901293171775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12879.374547367095,41.31303548812866,72577.61071777344,643968.7273683548,2354.625979142189,0.0,13584.920793771744,117731.29895710945,953.0877222108841,0.0,47653.386110544205,47654.386110544205,58.47082537902727,0.229516863822937,403.20894843207464,2923.5412689513632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),128996.89493536949,2395399.5965872337,3180835.8546710014
Process Cycle Time excluding out of timetable hours (s),74996.89493536949,682119.6638459086,905691.3838551044
Process Waiting Time (s),0.0,519089.7980280232,768960.3929634094
Accumulated Process Duration (s),128996.89493536949,2395400.7018445753,3180835.8546710014
Cost,312.82550198104644,864.845392431511,1770.4087369534702


Process Cycle Time (s) distribution
From,To,Count
128996,434179,3
434180,739363,4
739364,1044547,0
1044548,1349731,5
1349732,1654915,2
1654916,1960099,7
1960100,2265283,0
2265284,2570467,26
2570468,2875651,28
2875652,3180835,25

Process Waiting Time (s) distribution
From,To,Count
0,76896,7
76897,153793,0
153794,230690,4
230691,307587,5
307588,384484,4
384485,461381,1
461382,538278,18
538279,615175,31
615176,692072,20
692073,768969,10

Accumulated Process Duration (s) distribution
From,To,Count
128996,434179,3
434180,739363,4
739364,1044547,0
1044548,1349731,5
1349732,1654915,2
1654916,1960099,7
1960100,2265283,0
2265284,2570467,26
2570468,2875651,28
2875652,3180835,25

Process Cost distribution
From,To,Count
312,457,9
458,603,12
604,749,16
750,895,17
896,1041,15
1042,1187,15
1188,1333,10
1334,1479,5
1480,1625,0
1626,1771,1

In-timetable Cycle time (s) distribution
From,To,Count
74996,158065,5
158066,241135,2
241136,324205,0
324206,407275,3
407276,490345,4
490346,573415,7
573416,656485,3
656486,739555,30
739556,822625,23
822626,905695,23



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,594200.4874167442,205399.48741674423,49702.07064294815,857.4098186744584
2,1360558.7745125294,420957.7745125294,227458.74418973923,1077.9679527865517
3,128996.89493536949,74996.89493536949,0.0,418.1245668199327
4,279377.25206518173,120499.62532949448,29028.59640097618,511.31577654679614
5,1393495.6922111511,430849.31600403786,210380.17357707024,1091.5893655591537
6,1302163.2574703693,407412.8934829235,234563.20028042793,943.8523940391011
7,234443.57590055466,126442.57590055466,26546.85114812851,470.449957385328
8,489034.6918206215,154233.6918206215,50395.4824886322,575.8146466281681
9,474512.41284275055,139712.41284275055,46752.87554144859,516.7565294464431
10,1262716.2178001404,404663.8387928009,224371.75197672844,734.4629764318466
11,1317056.8100588322,426971.50241947174,256428.9764957428,840.1130452434223
12,1820995.0068414211,540198.990165472,301847.8905875683,1202.913819641537
13,504989.9313967228,160197.92023134232,55630.8929772377,545.1385376440155
14,1178196.7956094742,341735.40856814384,234744.19348955154,587.1656470828586
15,1250185.931036234,364585.9310362339,229999.3529984951,748.6561150074006
16,1750393.7513086796,507382.1204319,303487.1110126972,1134.8914310044709
17,1750683.9216797352,521626.0447130203,325127.66613793373,1092.3693183859189
18,2842056.3210778236,790055.3210778236,544603.14686203,1364.5940598474608
19,1809115.9887974262,534298.0251421928,354025.8813905716,1002.3839041948319
20,2501973.9608848095,730772.9608848095,512931.58549427986,1210.3685510224764
21,1781426.3865978718,507026.3865978718,336898.4208533764,945.8103565692901
22,2470051.5074272156,708547.206130743,517242.3568265438,1064.5443816330699
23,2462242.16764307,713088.5667791367,527624.8911373615,1031.4660478366748
24,1738881.3842058182,497845.6504018307,370855.8430945873,604.9921965175205
25,1733676.0399854183,505029.80486798286,408477.06604623795,422.1549826145171
26,2986723.2562630177,830563.7878768444,654606.9108293056,965.6034399694867
27,2985465.793755293,865352.5418596268,655996.3868653774,1162.5562897629209
28,2704072.7867672443,758475.0801610947,634361.0256192684,693.3754495435292
29,2966279.466219902,865148.9042451382,678267.6488921642,886.2377456929948
30,2939333.3619356155,850095.2652583122,687595.8169424534,764.7881392916044
31,2938443.3618381023,849182.3180844784,687604.9284975529,828.9198901613554
32,3180835.8546710014,905691.3838551044,669809.8058068752,1256.8373735772238
33,2911235.719989538,859731.9052584171,709179.1374261379,822.2643020868302
34,3152299.9547076225,885299.6992697716,685813.0152227879,1110.6318157990772
35,3119960.9835681915,873326.2502543926,727784.6929898262,809.3441818277041
36,2701756.8294599056,804968.7371115685,721244.9560651779,465.32843578788965
37,2854766.6079342365,862048.0342140198,752917.2589013577,609.4616977506214
38,3091239.736778021,877238.7367780209,763330.0073590279,636.4961523784532
39,3074607.3788273335,860606.3788273335,655853.2593369484,1140.1169835408525
40,3085879.449698448,891355.071534872,676495.7564964294,1202.217218659984
41,3046951.987679243,855866.179618597,693622.0435533524,902.3632329424224
42,3040635.711078882,876622.7360219955,768960.3929634094,486.1291163656447
43,3028033.830640793,850096.918391943,708524.779897213,753.8180161250962
44,3018983.3559105396,853314.6399805546,663310.661762476,978.78975540532
45,3010525.1059839725,854632.9943814278,611836.3571767807,1346.3876485453711
46,2978930.3441832066,833684.3377625942,604017.1706786156,1276.7538864003284
47,2964518.7383122444,834107.7859201431,728057.847643137,414.8771052559216
48,2955928.635549307,823339.5466575623,639991.2148890495,841.966607828935
49,2942334.2337958813,829355.964209795,659171.8585066795,898.7711999575298
50,2924523.981525421,818522.9815254211,564498.916478157,1350.545457288954
51,2914348.1149919033,808347.1149919033,693632.0533850193,637.3473689251477
52,2896584.897699833,804335.0491552353,568796.8107702732,1310.737683722708
53,2886801.417583227,785814.3961660862,659999.2183973789,702.8115841613876
54,2869002.016265154,795342.2927408218,562940.0091178417,1131.1893876632053
55,2854587.102857113,802586.1028571129,669574.1053631306,730.3119093047248
56,2842075.310897112,792004.6509332657,540765.0378689766,1364.9961887955665
57,2831340.5459518433,779339.5459518433,572894.7065865993,1110.638990688324
58,2817146.031320095,774569.1523044109,573316.4637691975,1122.6737184087438
59,2797794.7744128704,745794.7744128704,689916.2398924828,312.82550198104644
60,2785446.8898670673,750925.4880130291,578127.8425149918,964.5108481208484
61,2776080.154410124,775929.4072606564,658281.4039034843,655.3454651673635
62,2756463.6449611187,758462.6449611187,611750.7346889973,815.8914272758697
63,2742775.005189419,744774.0051894188,664916.8403301239,444.5968520323435
64,2733801.5218451023,735800.5218451023,594859.1748769283,783.6717385636437
65,2715380.0460674763,717380.0460674763,542670.1062135696,970.8658416310947
66,2704929.358256817,744401.0885899067,616460.1494379044,512.2913907143804
67,2688803.1694316864,707562.4110898972,550643.8311197758,872.0385211149853
68,2678272.035262823,757198.4202020168,583169.6519896984,868.3592308772936
69,2662642.3195016384,736264.9263892174,613028.8197455406,618.2992269608711
70,2645608.2737374306,722161.02090621,581789.0862739086,784.2125251942211
71,2632614.9141612053,752593.8837189674,539316.5582194328,925.3086774945258
72,2621819.0388436317,710882.1281912327,507792.7747347355,1130.6125401722059
73,2604034.6260187626,720643.3171770573,608459.5355651379,480.85564968585965
74,2627989.6086308956,769130.8488242626,626322.2938992977,451.35934155517145
75,2576896.6303839684,724736.9958417416,496525.90860009193,1248.0968709720503
76,2564544.3389470577,710552.2787520885,530389.7925775051,996.6553603609404
77,2554611.2214052677,727204.8287930489,489325.4868180752,1321.851318874624
78,2533635.293255329,707151.0692451,583602.5325591564,689.7170947180855
79,2523104.7439353466,718514.4785614014,580855.7684762478,767.8273282739851
80,2513127.3523385525,736152.0799381733,512649.41175985336,1243.1399945669702
81,2498693.017934084,727492.0179340839,482030.7872765064,1367.6547633647917
82,2479672.082207918,708471.0822079182,514305.9684817791,1079.4834461874432
83,2472349.090251446,712855.0211839676,525549.0878167152,1042.0304858777258
84,2450455.8407964706,695756.8209960461,582482.7388055325,630.7913088997205
85,2439358.334027767,694644.6743886471,580455.6099205017,465.9548609746827
86,2423483.925069809,694887.4091193676,521802.3025701046,870.458033545812
87,2739810.0084278584,860608.0084278584,537806.7214245796,1770.4087369534702
88,2395427.021122694,678226.021122694,594524.1572844982,470.88616153664054
89,2382714.1343431473,665514.1343431473,540002.0773291588,698.0635247389476
90,2367229.7706472874,651833.4986178875,582675.9564974308,386.5515216178364
91,2353262.4002563953,676336.4922268391,578339.4030616283,336.74944853385284
92,2339652.1041009426,656470.7990589142,576164.0821535587,367.3210272325409
93,2433488.620503664,710753.9584801197,543858.4522199631,900.8995062602892
94,2382442.5846676826,665241.5846676826,545262.5541636944,666.0570904612542
95,2628870.2800576687,749670.2800576687,532608.3344144821,1207.803799870279
96,2351934.2035064697,651356.4519197941,535839.4981002808,643.756922294034
97,2443437.206490755,693588.8897540569,537648.240550518,867.1803135964607
98,2514755.7649400234,739976.4991261959,538475.8913090229,1014.5815428574882
99,2500314.037979126,729113.037979126,537231.450502634,1067.3993475900754
100,2554657.204363346,729456.2043633461,537167.2670145035,1061.5803022702532
