Resource utilization
Resource,Utilization %
Role 1,6
SYSTEM,0
Role 4,0
Role 6,0
Role 3,88
Role 2,130
Role 5,6

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1804.559947347099,21.58969473838806,18087.784254789352,158801.27536654472,0.0,0.0,0.0,0.0,1225.4446812407537,0.0,54000.0,107839.13194918633,10.025333040817218,0.11994274854660034,100.4876903043853,882.2293075919152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
Amend Request for Quotation,623.3860615575036,7.744359016418457,1287.6208493709564,80416.80194091797,0.0,0.0,0.0,0.0,7637.668445553891,0.0,226800.0,985259.2294764519,3.4632558975416856,0.04302421675788032,7.15344916317198,446.76001078287743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129
Analyze Purchase Requisition,384.5029984040463,241.204927444458,539.0952370166779,72286.56369996071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.136127768911369,1.3400273746914333,2.9949735389815437,401.59202055533734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Analyze Quotation Comparison Map,1188.2988610243797,373.01544761657715,2024.84121632576,118829.88610243797,0.0,0.0,0.0,0.0,29264.58969982624,0.0,219746.99703526497,2926458.969982624,6.601660339024332,2.0723080423143174,11.249117868476445,660.1660339024332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,5319.4962964484785,129.44139862060547,31845.150789499283,1218164.6518867016,3947.554224663947,0.0,30905.905715942383,903989.9174480438,119.62460079359695,0.0,27394.033581733704,27394.033581733704,7.6219003988029534,0.719118881225586,16.22635692887836,1745.4151913258763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
Approve Purchase Order for payment,1733.8118358492852,60.0,30451.100217819214,173381.1835849285,1673.8118358492852,0.0,30391.100217819214,167381.1835849285,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.9826960277557373,0.0,67.36945056915283,98.26960277557373,0.9826960277557373,0.0,67.36945056915283,98.26960277557373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,2432.9910006141663,350.5374572277069,19864.34776377678,243299.10006141663,1874.952428712845,0.0,19261.30306005478,187495.24287128448,136.31890824317932,0.0,6930.128609657288,13631.890824317932,3.1002142883406747,1.124541323714786,4.332082348399692,310.0214288340675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1888.5596942901611,321.7736105918884,3419.8437445163727,188855.9694290161,11.4,0.0,120.0,1140.0,48019.65201887369,0.0,219878.19027209282,4801965.201887369,10.428664968278675,1.7876311699549357,18.99913191397985,1042.8664968278674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,16633.682732481957,386.8729524612427,37758.55161309242,1663368.2732481956,4334.656008019448,0.0,27709.136070728302,433465.60080194473,626.4909126901626,0.0,16933.87640929222,62649.091269016266,68.32792624701396,2.1492941803402372,120.72989896933238,6832.792624701396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,284.7144398975372,8.72550630569458,875.9203202724457,28471.443989753723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.163493776639301,0.09695007006327311,9.732448003027175,316.3493776639301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,86561.61249732733,773.0842580795288,214339.80852675438,8656161.249732733,8795.371176996232,0.0,64306.67293691635,879537.1176996231,15369.725356853009,-86398.0,80130.61033248901,1536972.5356853008,432.0346740018396,4.294912544886271,952.371746026145,43203.46740018396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Pay Invoice,561.9518406558037,15.46256947517395,883.3070042133331,56195.18406558037,0.19432222366333007,0.0,7.4891626834869385,19.432222366333008,3.6147125363349915,0.0,361.47125363349915,361.47125363349915,3.120875102400782,0.08590316375096639,4.907261134518517,312.0875102400782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,65.4,60.0,180.0,6540.0,5.4,0.0,120.0,540.0,59876.35544322252,0.0,226746.59621047974,5987635.544322252,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,274.505758972168,124.20605993270874,419.59912037849426,27450.575897216797,0.0420605993270874,0.0,4.20605993270874,4.20605993270874,0.0,0.0,0.0,0.0,1.524798324293561,0.6900336662928264,2.331106224324968,152.4798324293561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,7258.710423767567,0.0,38976.14752912521,725871.0423767567,7258.710423767567,0.0,38976.14752912521,725871.0423767567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,4593.898367118835,748.4534864425659,22589.740871429443,459389.83671188354,3190.711474277973,0.0,20998.40259027481,319071.1474277973,311.7160517144203,0.0,26010.523895978928,31171.605171442032,7.7954827380047895,2.9985635293854607,12.520544056097666,779.5482738004789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,31341.138722474574,3165.0760333538055,73171.31428194046,3134113.8722474575,2649.8139780306815,0.0,26957.532201766968,264981.39780306816,3953.5119156932833,0.0,41067.5376803875,395351.1915693283,159.39624858024382,14.155212473869323,291.840210044384,15939.624858024383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11379.868183628041,221.57028102874756,45144.76604247093,534853.804630518,9.180414397665794,0.0,192.5026240348816,431.47947669029236,385.0090912808763,0.0,18093.427290201187,18095.427290201187,63.17048760683543,1.2309460057152641,250.80425579150517,2969.012917521265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),78910.89030337334,344413.3430883765,578747.5305080414
Process Cycle Time excluding out of timetable hours (s),78909.89030337334,193945.56477882623,376490.5162498951
Process Waiting Time (s),0.0,38840.26037375212,138215.21197223663
Accumulated Process Duration (s),78910.89030337334,344413.3430883765,578747.5305080414
Cost,253.56312534809115,760.610799510519,1400.0743798653282


Process Cycle Time (s) distribution
From,To,Count
78910,128893,2
128894,178877,6
178878,228861,12
228862,278845,12
278846,328829,13
328830,378813,15
378814,428797,13
428798,478781,12
478782,528765,9
528766,578749,6

Process Waiting Time (s) distribution
From,To,Count
0,13821,30
13822,27643,7
27644,41465,19
41466,55287,15
55288,69109,11
69110,82931,10
82932,96753,3
96754,110575,2
110576,124397,1
124398,138219,2

Accumulated Process Duration (s) distribution
From,To,Count
78910,128893,2
128894,178877,6
178878,228861,12
228862,278845,12
278846,328829,13
328830,378813,15
378814,428797,13
428798,478781,12
478782,528765,9
528766,578749,6

Process Cost distribution
From,To,Count
253,367,7
368,482,13
483,597,12
598,712,17
713,827,13
828,942,11
943,1057,10
1058,1172,5
1173,1287,7
1288,1402,5

In-timetable Cycle time (s) distribution
From,To,Count
78909,108667,11
108668,138426,12
138427,168185,12
168186,197944,16
197945,227703,17
227704,257462,18
257463,287221,11
287222,316980,2
316981,346739,0
346740,376498,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,283633.6015114784,235869.60151147842,0.0,1307.9286245783169
2,135291.7318432331,95624.0653655529,0.0,508.14974500868055
3,325243.2604982853,251479.27544999123,0.0,1177.8078100562097
4,196362.0858039856,190639.02794885635,0.0,596.2462828516962
5,251984.47783017159,197578.75513339043,0.0,941.2581608162985
6,78910.89030337334,78909.89030337334,0.0,285.2460358275307
7,223729.790674448,141545.1113269329,0.0,707.9566275119782
8,488217.23295640945,237177.48949551582,0.0,1312.3416113230915
9,196030.21370697021,131560.44158506393,0.0,699.5179297606151
10,229824.66216731071,221674.82755970955,1576.2135484218597,1189.248198097282
11,167894.53325128555,97608.03406310081,0.0,544.8029750360383
12,153736.70560240746,87512.74554491043,0.0,487.3525050467915
13,174294.25356125832,121816.64170718193,0.0,677.0088813993667
14,385378.146132946,137968.262403965,0.0,724.6828304224546
15,371253.71750354767,230672.61428165436,0.0,842.3421970089278
16,123614.93118047714,113002.55702757835,0.0,629.9439482529959
17,343005.21774077415,131596.6371500492,0.0,732.6514354334938
18,329235.90826535225,115502.97388935089,0.0,591.231745546394
19,320461.7413647175,186165.3660824299,847.3689391613007,562.7357997695605
20,307757.5657379627,97100.21287488937,0.0,466.38053335613677
21,332245.9229860306,184575.25127530098,0.0,1005.7084458589554
22,277231.4681265354,108762.77611494064,0.0,406.5975691689385
23,275768.8826684952,186730.24158740044,60.0,1054.9746963328785
24,535217.8867936134,265567.0128643513,34839.200065135956,1299.641483435366
25,524608.4783070087,282323.5139801502,56497.750324487686,1261.4257358590762
26,426736.19211244583,159226.95237326622,61197.07747888565,464.8519946972529
27,432819.9993157387,217179.5290799141,103478.47211289406,599.5498772435717
28,479366.58233833313,227278.48267745972,50590.305980443954,850.1887369963857
29,385047.77919983864,178481.0722577572,47738.25428843498,726.2297643052209
30,453088.784825325,220178.96007919312,65557.37657189369,677.901665820016
31,505279.7731614113,314060.96925258636,77273.15167570114,935.7931778457429
32,449039.3383491039,230524.1359820366,58517.179641246796,832.2015297346645
33,477356.236730814,237202.3342461586,76643.61500310898,815.4571285075613
34,463170.4661285877,272223.3260126114,81619.96932458878,943.5992836938964
35,301308.31908869743,182663.20583295822,65041.08245611191,253.56312534809115
36,368519.14486408234,241313.37652111053,40203.48502397537,935.382637688849
37,353169.080794096,217962.88583755493,35998.42138838768,1054.5025033209058
38,339444.5122745037,239820.83207535744,36610.995379686356,920.5195424556733
39,402111.9358999729,272333.32758522034,71502.57298493385,1116.8633464919194
40,379410.08402991295,261647.0953092575,91989.73966264725,732.7029608395367
41,403689.9053783417,376490.5162498951,127451.37679171562,1049.7572023219534
42,285447.1336238384,211770.13052415848,138215.21197223663,287.1027774333954
43,188725.68814468384,167634.85818958282,50894.898215055466,470.6113990439309
44,255158.46517896652,163849.89592552185,50858.56557273865,567.5556039677726
45,556624.4073102474,252569.568069458,78450.68958830833,968.5050116287338
46,550702.1731617451,275087.54285621643,37386.851306438446,1247.88908270465
47,532325.2499866486,194843.06548714638,55968.02833080292,771.7455299112531
48,267672.7590897083,183598.07812023163,90156.21029853821,377.61116496324536
49,212804.88046479225,143953.67771315575,40487.796590805054,576.3292202830315
50,254445.03079152107,166175.2403485775,43542.84759902954,683.259291874038
51,225631.7499549389,131860.940056324,35755.886343955994,867.8514482047824
52,212087.81115174294,141942.05613994598,46370.837773799896,533.1773170471192
53,444733.86427783966,277812.20050144196,76797.29040336609,818.425627011723
54,433343.10212659836,214768.00496816635,63453.06739401817,550.0780432330238
55,416723.1564671993,162138.1026623249,34312.451206207275,710.4457948194611
56,436865.45385837555,214830.94339036942,50366.435022592545,629.8127069393793
57,388617.43194770813,197376.00046253204,18802.81288957596,982.8829482833545
58,376152.4071338177,101945.78184437752,18968.590312242508,411.9760204540358
59,360544.58329844475,103969.00064349174,17292.96446800232,370.9133179174529
60,364216.64942884445,237058.95065522194,13444.117047548294,1077.4587964706952
61,333267.8523142338,208366.00289654732,16865.835450410843,916.2425767554179
62,320630.35283231735,113920.93543624878,11110.445996046066,374.0388601660728
63,578747.5305080414,275836.7505745888,27798.812330961227,1400.0743798653282
64,293342.42513489723,211861.3914718628,5948.082204818726,1164.2125704420935
65,297032.4699265957,226724.95264434814,11400.276968717575,1204.749727004104
66,262769.03308033943,101886.2543694973,7386.033024787903,363.0520405583911
67,522538.9054365158,264518.1787919998,49684.063005685806,775.9652973691624
68,514015.67878198624,242503.3705432415,19383.341153621674,1262.4493381261825
69,439967.3737308979,125246.98868775368,65647.96851110458,332.82298744387094
70,424007.9840195179,162758.947586298,49588.83329248428,629.3805705838734
71,563227.3430936337,192921.5840806961,41462.123214006424,841.8209253735014
72,524669.1816270351,265023.514482975,82411.26530122757,729.5123316698605
73,449788.1409137249,206561.3447458744,84284.47704410553,388.913459028138
74,448784.7353234291,268066.62848472595,118760.76672005653,657.7082431819705
75,417310.0114848614,231017.89215803146,65193.98432946205,635.9432486017546
76,334333.0548117161,212579.82795739174,42964.01433348656,821.4396356609133
77,321958.87794303894,160265.67064905167,41997.75166344643,525.100585231516
78,373828.3956825733,252662.84565353394,54197.05526852608,958.4503174357945
79,426251.3995974064,230743.16794514656,69727.94008564949,856.2744981116718
80,340411.39196395874,209634.94462013245,54367.41117477417,687.0657803111607
81,289056.5550107956,237332.79040932655,69740.05485677719,783.979127709071
82,155616.21566843987,117864.53925585747,20911.79113149643,395.08980027834565
83,236235.53244447708,190505.49986839294,98524.40892028809,419.6594553762012
84,222366.3478205204,212534.64130806923,50453.259664297104,811.1724456773866
85,342195.2621357441,196085.85553455353,76129.39056897163,668.1253883481027
86,328555.6683835983,221321.05022358894,41824.05489945412,671.8966436213918
87,242272.9010667801,157157.76571202278,55533.079518318176,462.1837457391951
88,326472.36458182335,256128.9199707508,38423.92142748833,1149.9471861388945
89,229829.78332948685,178724.36086130142,39528.218564510345,666.7449177914195
90,206209.935018301,157086.5581316948,36046.34493494034,626.1169547888967
91,517782.9167788029,302199.1872975826,58127.19859671593,1399.5046548472505
92,254575.80910396576,168219.48118305206,33784.410338401794,747.2309885952209
93,489557.65697813034,225807.06023049355,32335.2829349041,1115.8761011693211
94,216434.2608036995,118288.8007004261,31534.181720018387,486.83632944822307
95,202092.76631498337,90524.6540658474,33510.107917547226,318.2660363647673
96,188499.79417467117,106620.35472178459,25666.56405520439,452.42005494303174
97,433257.2110629082,243048.72832536697,33425.31449556351,1204.8590924117298
98,160145.07596874237,106340.2954852581,28315.669412612915,347.34623959064476
99,408665.38883662224,250734.54484128952,8916.990263938904,997.4002820425563
100,391317.28674149513,174195.82951831818,4356.151103258133,985.3297459880512
