,ubicacion,support_rate_rodolfo,tasa_aumento_pib,tasa_aumento_desempleo,support_rate_rodolfo_real
0,Antioquia,0.5206391478029294,0.18912791246899957,-0.17283950617283944,0.66
1,Atlántico,0.42291666666666666,0.17320846020556555,-0.12264150943396217,0.32
2,Cundinamarca,0.4251968503937008,0.0,0.0,0.4
3,Bolívar,0.4444444444444444,0.2039388694175922,-0.02040816326530623,0.38
4,Boyacá,0.5208333333333334,0.16306469192446177,-0.1166666666666667,0.59
5,Caldas,0.46788990825688076,0.17111002458888397,-0.2694610778443114,0.59
6,Caldas,0.46788990825688076,0.17111002458888397,-0.2694610778443114,0.59
7,Casanare,0.4594594594594595,0.2725229088056498,-0.1383647798742139,0.72
8,Cauca,0.4246575342465753,0.1602708407065434,-0.21323529411764708,0.19
9,Cesar,0.41139240506329117,0.31229623232688697,-0.1383647798742139,0.46
10,Chocó,0.6,0.09730568821439423,0.01724137931034492,0.17
11,Córdoba,0.48427672955974843,0.1477659261987602,-0.13157894736842105,0.38
12,Guaviare,0.14285714285714285,0.13299856634523805,-0.1383647798742139,0.54
13,Huila,0.3384615384615385,0.171660341001048,-0.3741007194244605,0.59
14,La Guajira,0.6428571428571429,0.7151227361334823,0.21153846153846145,0.34
15,Magdalena,0.44516129032258067,0.17589697084885025,-0.051724137931034454,0.39
16,Meta,0.49857278782112274,0.2549928062004711,-0.10396039603960386,0.63
17,Nariño,0.13333333333333333,0.14813515254266515,-0.13253012048192778,0.18
18,Norte de Santander,0.5536723163841808,0.1664173252561284,-0.13397129186602857,0.79
19,Putumayo,0.3442622950819672,0.219547824096713,-0.1383647798742139,0.19
20,Quindío,0.3935483870967742,0.18039622670506614,-0.17452830188679241,0.57
21,Risaralda,0.4628099173553719,0.1673786523147012,-0.1079136690647482,0.52
22,San Andrés y Providencia,0.1111111111111111,0.0,0.0,0.54
23,Santander,0.491701244813278,0.19451083824059023,-0.2,0.74
24,Sucre,0.3565217391304348,0.1537554261201081,-0.041379310344827565,0.35
25,Tolima,0.2261904761904762,0.17185547615720445,-0.20283018867924532,0.61
26,Valle del Cauca,0.4200743494423792,0.15209207894258298,-0.11518324607329856,0.35
27,Vaupés,1.0,0.12482956622143813,-0.1383647798742139,0.25
