,ubicacion,support_rate_rodolfo,tasa_aumento_pib,tasa_aumento_desempleo,support_rate_rodolfo_real
0,Amazonas,0.5,0.14589333670326593,-0.1383647798742139,0.44
1,Antioquia,0.5343980343980343,0.18912791246899957,-0.17283950617283944,0.66
2,Atlántico,0.46702317290552586,0.17320846020556555,-0.12264150943396217,0.32
3,Cundinamarca,0.42758620689655175,0.0,0.0,0.4
4,Bolívar,0.5370370370370371,0.2039388694175922,-0.02040816326530623,0.38
5,Boyacá,0.5735294117647058,0.16306469192446177,-0.1166666666666667,0.59
6,Caldas,0.539568345323741,0.17111002458888397,-0.2694610778443114,0.59
7,Caldas,0.539568345323741,0.17111002458888397,-0.2694610778443114,0.59
8,Casanare,0.5853658536585366,0.2725229088056498,-0.1383647798742139,0.72
9,Cauca,0.5189873417721519,0.1602708407065434,-0.21323529411764708,0.19
10,Cesar,0.4791666666666667,0.31229623232688697,-0.1383647798742139,0.46
11,Chocó,0.75,0.09730568821439423,0.01724137931034492,0.17
12,Córdoba,0.483695652173913,0.1477659261987602,-0.13157894736842105,0.38
13,Guaviare,0.2222222222222222,0.13299856634523805,-0.1383647798742139,0.54
14,Huila,0.37037037037037035,0.171660341001048,-0.3741007194244605,0.59
15,La Guajira,0.65,0.7151227361334823,0.21153846153846145,0.34
16,Magdalena,0.44324324324324327,0.17589697084885025,-0.051724137931034454,0.39
17,Meta,0.5554642563681184,0.2549928062004711,-0.10396039603960386,0.63
18,Nariño,0.15,0.14813515254266515,-0.13253012048192778,0.18
19,Norte de Santander,0.5698324022346368,0.1664173252561284,-0.13397129186602857,0.79
20,Putumayo,0.4090909090909091,0.219547824096713,-0.1383647798742139,0.19
21,Quindío,0.4550898203592814,0.18039622670506614,-0.17452830188679241,0.57
22,Risaralda,0.4632352941176471,0.1673786523147012,-0.1079136690647482,0.52
23,San Andrés y Providencia,0.25,0.0,0.0,0.54
24,Santander,0.5129224652087475,0.19451083824059023,-0.2,0.74
25,Sucre,0.424,0.1537554261201081,-0.041379310344827565,0.35
26,Tolima,0.26595744680851063,0.17185547615720445,-0.20283018867924532,0.61
27,Valle del Cauca,0.4939965694682676,0.15209207894258298,-0.11518324607329856,0.35
28,Vaupés,1.0,0.12482956622143813,-0.1383647798742139,0.25
