Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,56
Role 2,80
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1669.2006923050137,0.6473824977874756,8821.893762111664,332170.93776869774,0.0,0.0,0.0,0.0,36808.34170854271,0.0,252120.0,7324860.0,9.273337179472307,0.003596569432152642,49.01052090062036,1845.3940987149892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Amend Request for Quotation,630.7212576192001,64.64200258255005,1120.7732908725739,91454.58235478401,0.0,0.0,0.0,0.0,15032.689655172413,0.0,158460.0,2179740.0,3.5040069867733328,0.3591222365697225,6.226518282625411,508.08101308213327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
Analyze Purchase Requisition,396.76260423045443,240.007315158844,538.871089220047,138470.1488764286,0.0,0.0,0.0,0.0,6587.449856733524,0.0,154860.0,2299020.0,2.204236690169192,1.3333739731046887,2.9937282734447055,769.278604869048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349
Analyze Quotation Comparison Map,1154.8402848974863,382.3661217689514,2032.1894917488098,173226.04273462296,0.0,0.0,0.0,0.0,27042.8,0.0,158460.0,4056420.0,6.415779360541592,2.12425623204973,11.28994162082672,962.3669040812388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,67509.68294455804,341.0218708515167,234962.05159783363,1.991535646864462E7,66167.24700146368,0.0,234173.91045451164,1.9519337865431786E7,1576711.5254237289,0.0,5476020.0,4.651299E8,7.458975771703733,0.0,18.184879577159883,2200.397852652601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295
Approve Purchase Order for payment,55391.01342181206,60.0,228515.98470520973,8308652.013271809,55331.01342181206,0.0,228455.98470520973,8299652.013271809,1294850.0,0.0,5425500.0,1.942275E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,2667.5970354652404,0.0,13447.524063110352,400139.5553197861,2667.5970354652404,0.0,13447.524063110352,400139.5553197861,65946.0,0.0,327840.0,9891900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,125453.37130398909,389.468537569046,230699.93833851814,1.8818005695598364E7,124879.6218630759,0.0,230016.69308543205,1.8731943279461384E7,2944334.4,0.0,5472300.0,4.4165016E8,3.187496893962223,2.0324457380506726,4.325329705079397,478.1245340943334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1867.6376606416702,304.14399886131287,3396.0958983898163,280145.64909625053,0.0,0.0,0.0,0.0,58849.99027574539,0.0,158460.0,8827498.541361809,10.375764781342617,1.6896888825628493,18.86719943549898,1556.3647172013925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,130626.44633097807,4424.864124298096,249171.74955749512,1.959396694964671E7,118495.07372598966,0.0,229938.312830925,1.777426105889845E7,3056335.2,43260.0,5800200.0,4.5845028E8,67.39651447215789,14.171989896562364,121.16457618077597,10109.477170823684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,314.5638153441747,26.308366537094116,1272.5902540683746,47184.572301626205,0.0,0.0,0.0,0.0,5932.0,0.0,154860.0,889800.0,3.4951535038241643,0.2923151837454902,14.13989171187083,524.2730255736246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,320903.1975686359,15254.369048118591,755565.7706708908,4.813547963529539E7,232915.98768990993,0.0,613110.3283827305,3.493739815348649E7,7508872.4,410700.0,1.765644E7,1.12633086E9,488.8178326595889,67.61317236158582,980.8844663262367,73322.67489893833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349
Pay Invoice,3614.285290657679,243.69689989089966,14210.026712656021,542142.7935986519,3017.89757800738,0.0,13494.758299827576,452684.636701107,86004.8,0.0,331440.0,1.290072E7,3.3132650702794413,1.3538716660605536,4.998095452785492,496.9897605419162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,24.4,0.0,3660.0,3660.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,617.6369756714503,121.02448153495789,3380.491182565689,92645.54635071754,350.50966719945274,0.0,3211.562634706497,52576.45007991791,27126.0,0.0,158460.0,4068900.0,1.4840406026222084,0.6723582307497661,2.3243101477622985,222.60609039333124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,262285.6780211703,0.0,609251.290282011,3.9342851703175545E7,262285.6780211703,0.0,609251.290282011,3.9342851703175545E7,6111352.8,0.0,1.432752E7,9.1670292E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,89762.40933199406,950.8196063041687,229710.95734071732,1.3464361399799109E7,88423.03913312595,0.0,228352.1127331257,1.3263455869968891E7,2104497.2,0.0,5389500.0,3.1567458E8,7.440945549267311,1.890474502245585,12.368731105327607,1116.1418323900966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,172375.6393583727,14782.656300544739,276735.86033797264,2.5856345903755903E7,136984.29063112737,0.0,231434.63585877419,2.0547643594669104E7,4029856.8,277440.0,6430680.0,6.0447852E8,196.61860404025182,80.04315950340695,292.80577875508203,29492.79060603777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,11714.673859847735,94.81621026992798,49248.388844013214,855171.1917688847,1860.0583334099756,0.0,13138.280906677246,135784.25833892822,283555.8904109589,0.0,1160040.0,2.069958E7,54.74786403576535,0.08276828130086263,266.6344656361474,3996.594074610871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5108739.99121666,3.194789059553812E7,4.125278139048767E7
Process Cycle Time excluding out of timetable hours (s),212739.99121665955,1309311.805262386,1691746.1489522457
Process Waiting Time (s),128700.40885949135,1156384.856258688,1508702.8427124023
Accumulated Process Duration (s),5108739.99121666,3.194789059553812E7,4.125278139048767E7
Cost,346.8206797467337,851.3437012267019,1463.8176306843754


Process Cycle Time (s) distribution
From,To,Count
5108739,8723143,5
8723144,12337548,8
12337549,15951953,4
15951954,19566358,6
19566359,23180763,5
23180764,26795168,8
26795169,30409573,8
30409574,34023978,10
34023979,37638383,21
37638384,41252788,75

Process Waiting Time (s) distribution
From,To,Count
128700,266700,7
266701,404701,7
404702,542702,3
542703,680703,6
680704,818704,8
818705,956705,7
956706,1094706,6
1094707,1232707,8
1232708,1370708,32
1370709,1508709,66

Accumulated Process Duration (s) distribution
From,To,Count
5108739,8723143,5
8723144,12337548,8
12337549,15951953,4
15951954,19566358,6
19566359,23180763,5
23180764,26795168,8
26795169,30409573,8
30409574,34023978,10
34023979,37638383,21
37638384,41252788,75

Process Cost distribution
From,To,Count
346,457,9
458,569,23
570,681,22
682,793,18
794,905,14
906,1017,19
1018,1129,15
1130,1241,11
1242,1353,12
1354,1465,7

In-timetable Cycle time (s) distribution
From,To,Count
212739,360639,5
360640,508540,8
508541,656441,4
656442,804342,6
804343,952243,5
952244,1100144,8
1100145,1248045,8
1248046,1395946,10
1395947,1543847,23
1543848,1691748,73



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.2214395920597792E7,504914.9205977917,249373.12332749367,1421.2490862780144
2,1.0546728536798239E7,432797.1921219826,257134.73335552216,977.2818046066498
3,5449068.854831696,223479.66827368736,128700.40885949135,530.1902765327031
4,2.6504152284524918E7,1085560.0493206978,1023403.2564017773,346.8206797467337
5,1.155191499061656E7,474856.7692017555,275865.0122411251,1106.6193965461518
6,7828369.336596012,321182.43102788925,201531.6327240467,664.8786609437731
7,1.5920919154263735E7,653293.5168299675,444801.999186039,1160.395479824808
8,1.9288975655071974E7,789470.6916630268,631262.7061104774,881.1698011014198
9,5108739.99121666,212739.99121665955,130371.56739115715,457.9608136720127
10,1.7795596677421093E7,729113.8595838547,628948.1890177727,556.9909389270678
11,1.294280204025197E7,530465.0282614231,393769.44236922264,760.856060881085
12,1.0406677678203583E7,422203.71225667,284445.60941529274,766.5442333896956
13,1.5231544285867691E7,620944.4205179214,518684.26115870476,569.1662454101776
14,1.910734003224659E7,782005.0489633083,672434.0787141323,611.3951579716471
15,8651487.342308283,355339.7559108734,253352.47793269157,568.4122035543124
16,1.3737116200337887E7,562699.0933625698,371587.4933068752,1062.3046131372453
17,1.1594860005310774E7,477099.6513159275,299605.07070708275,986.6524052222571
18,1.1633047917687416E7,478842.44290041924,311471.9337439537,932.5751423054271
19,2.4479694289409876E7,1004235.2585265636,763800.2518634796,1338.8948428339424
20,7976774.430843592,330679.53221583366,232267.53038454056,549.325782971912
21,1.2141884231431961E7,498224.23143196106,436254.6677789688,347.09929565456173
22,2.1597084089737177E7,887220.2425119877,747869.4454469681,775.503300146262
23,1.030128832450962E7,424063.8160932064,338098.58381199837,478.5454785850313
24,1.6389527067946434E7,675666.4532084465,553145.1583838463,682.9379183106953
25,1.7740549921049356E7,722244.7860453129,573185.7390906811,829.5907996733985
26,3.484555904317927E7,1427704.6190550327,1249197.566050291,991.9363497429425
27,3.92281558901999E7,1605705.9186389446,1440468.2071352005,920.2465421173307
28,3.018784067419505E7,1236365.493282795,1117520.523872614,660.9870322187742
29,2.0205874231590033E7,822627.8163189888,700906.9117958546,678.5978410257235
30,3.581599933760524E7,1463531.8570296764,1249347.2909059525,1191.7248084796797
31,2.8387417483059883E7,1164012.2756142616,921053.3159046173,1353.6497360467908
32,2.952896160775423E7,1209901.2680485249,976594.3177452087,1296.7216914428602
33,2.1100904876871347E7,865671.5900065899,739200.6508200169,702.8869128492144
34,2.3847184422810316E7,978073.2404820919,808267.4802849293,944.776915992631
35,2.6414506023557425E7,1080797.8005404472,818151.8619027138,1463.8176306843754
36,2.1997022380538464E7,899635.3604044914,804897.6285974979,527.2655576480761
37,3.4351095478300095E7,1411501.2880470753,1278796.9524419308,737.763375887606
38,3.9075044232402325E7,1603000.365682602,1434529.6720283031,937.4342606584231
39,1.8933916751226187E7,778595.7173886299,662979.5359873772,642.4638791852527
40,2.7916324669508457E7,1143239.996364355,907564.3542282581,1311.1958402103849
41,2.3957619205182314E7,981227.2195987701,859745.6067461967,675.2697020000883
42,3.962323807310772E7,1623543.6076626778,1431068.554624796,1070.636417004797
43,3.8231050405512094E7,1567488.7629170418,1431962.2195618153,753.8838695115514
44,3.398410339999199E7,1394645.7331736088,1144514.1895017624,1390.2801913976668
45,2.0833179866152763E7,856019.3028047085,741168.2474200726,640.119158592489
46,3.3620275037676334E7,1382963.057712555,1283427.9456176758,555.1648217360178
47,3.0235233232938528E7,1236404.3643767834,1129023.0176734924,597.4971744206215
48,2.628105031605196E7,1078957.8525912762,939487.9417908192,776.1357300056353
49,3.8918779562799215E7,1593618.6329996586,1382495.3507926464,1173.426540007856
50,2.6044849944185495E7,1072526.4686040878,857590.6529734135,1195.4817284186681
51,3.954518193341541E7,1624709.1751303673,1395195.5462520123,1276.9321105294757
52,3.4297165232754946E7,1405345.2327549458,1267989.8384478092,765.2327888660961
53,3.869610459270835E7,1581952.427139759,1475921.358716011,592.319272254573
54,3.0986501309732437E7,1264490.966177702,1083417.8278915882,1011.3147451321285
55,3.0469905289436817E7,1248186.8835670948,1031391.7164463997,1205.6413616710238
56,3.261097878922248E7,1335354.1881985664,1176866.118629694,880.9423765195742
57,3.44131934526999E7,1411570.0687675476,1148488.2641046047,1462.5757921867898
58,3.8794852184248924E7,1588638.644840002,1491416.448613882,544.1412046326533
59,2.512757626657605E7,1027160.1481890678,869730.8939044476,875.5220355974305
60,3.860523821803546E7,1585408.897904873,1452857.306139946,737.587426785628
61,2.796670658081174E7,1149014.8270201683,953495.7695207596,1089.4370694067745
62,3.873661587623739E7,1586249.4440660477,1383580.172677517,1126.966244812806
63,2.7937075388544083E7,1147290.5797154903,1010940.9735691547,760.918702671263
64,3.854955609546161E7,1585582.5685601234,1500675.9703409672,473.5317520181338
65,3.033017480675125E7,1244794.1964759827,1045303.1823503971,1111.7323157747587
66,3.8521737896312E7,1582256.2299392223,1471403.7858936787,616.8103671100405
67,3.0642554682409048E7,1257296.2616128922,1125712.2018516064,731.5369064331056
68,3.8699242469820976E7,1582418.9168772697,1436134.789784193,813.4895547191302
69,3.3454517138588667E7,1366581.779863596,1199950.5068516731,929.0249422060119
70,3.846487858323407E7,1577803.5046522617,1374215.5902132988,1132.1303194814257
71,3.524078985928321E7,1440792.4786446095,1241756.2394311428,1107.8763358751933
72,3.84377037356503E7,1575024.4858961105,1380596.7515101433,1082.1335989528231
73,3.862925675241208E7,1578856.845646143,1399761.526169777,995.1508084628318
74,3.840878700567007E7,1574189.2066209316,1408753.103981018,922.2794791870648
75,3.4159343455112934E7,1398880.4499263763,1262660.7732675076,757.7398425843983
76,3.7776457136446476E7,1549889.43836689,1358320.5900831223,1065.037036632167
77,3.0923263022059202E7,1263838.6055247784,1172981.4978125095,508.1319870763354
78,3.851442959948254E7,1577303.924845934,1443765.4844594002,744.383285133044
79,3.22888340575037E7,1324380.9630270004,1235850.9184801579,492.6217113878991
80,3.848536976626229E7,1576235.9463465214,1361484.7366621494,1194.164290715588
81,4.125278139048767E7,1691746.1489522457,1475903.193309307,1199.7882354021071
82,3.8457760147429705E7,1576706.0854847431,1481157.5351502895,531.7521830015713
83,3.82820914997375E7,1569966.7293207645,1454549.5789051056,645.2334302809504
84,3.7662734688486576E7,1544726.1479992867,1360017.045980692,1027.3983195212154
85,3.841745964423156E7,1574960.9249346256,1327291.5233082771,1377.5287312560608
86,3.840048772694898E7,1571973.0088362694,1396075.8617699146,978.970954987738
87,3.838800625358772E7,1573517.2577061653,1508702.8427124023,360.5244435138172
88,3.363720687127662E7,1383164.2680933475,1302677.854397297,447.34356541766056
89,3.499001387947893E7,1435135.2023777962,1330041.1800909042,586.8978447318078
90,3.697615048747134E7,1519210.487471342,1364494.153920412,861.6254308647581
91,3.817170778240228E7,1568159.8188562393,1354811.3070838451,1187.5144567039276
92,3.8365190331943035E7,1573970.3000085354,1405385.739811182,939.2036170283955
93,4.116665008996439E7,1691043.0489542484,1465839.1247236729,1251.7023980127437
94,3.8128601427913666E7,1567067.854262352,1445159.359571457,678.6474452270403
95,3.4476784076199055E7,1412954.1425673962,1309478.3178880215,575.1266823199061
96,3.826186740084052E7,1562763.75558424,1405069.8510479927,879.0385937796699
97,3.808459682699299E7,1557932.8458399773,1410141.4698905945,824.5196507122782
98,4.1088526337699175E7,1679454.836630106,1450165.6172719002,1276.0870170513788
99,3.805877563492346E7,1560229.306188345,1465531.3273611069,527.3681671248542
100,3.820572012159777E7,1562644.86713171,1450969.917026043,622.7291207022137
101,3.8031343222572565E7,1560745.210952282,1440636.5323381424,667.4165943370926
102,3.761920613932896E7,1540876.9148247242,1365141.1763784885,977.2768082141877
103,3.816402410539651E7,1562950.121323824,1409830.395326376,852.9806165337563
104,3.8148692629234314E7,1561595.3480465412,1375469.5605340004,1035.1872082630791
105,3.737098671230698E7,1536356.9300980568,1411862.900967598,693.0435502065553
106,3.8122248576183796E7,1563162.648139,1458859.9561920166,580.9202920794487
107,3.8812452309010506E7,1593687.5975961685,1356514.9965353012,1319.159011983871
108,3.8095430571223736E7,1560842.691748619,1463531.3060064316,542.4554107242159
