Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,37
Role 2,56
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1518.129980181393,15.848936796188354,12290.83915901184,288444.69623446465,0.0,0.0,0.0,0.0,31498.105263157893,0.0,331440.0,5984640.0,8.434055445452186,0.08804964886771308,68.282439772288,1602.4705346359153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
Amend Request for Quotation,632.014611946138,122.82055687904358,1256.1962158679962,113130.61553835869,0.0,0.0,0.0,0.0,13525.474860335196,0.0,158460.0,2421060.0,3.511192288589655,0.6823364271057977,6.978867865933312,628.5034196575483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179
Analyze Purchase Requisition,393.0202548503876,242.39300918579102,539.1806530952454,133626.88664913177,0.0,0.0,0.0,0.0,6739.764705882353,0.0,158460.0,2291520.0,2.1834458602799294,1.34662782880995,2.9954480727513633,742.3715924951761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340
Analyze Quotation Comparison Map,1198.2642431497575,361.69407057762146,2036.3612625598907,179739.6364724636,0.0,0.0,0.0,0.0,35926.4,0.0,158460.0,5388960.0,6.65702357305421,2.0094115032090083,11.313118125332727,998.5535359581315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Analyze Request for Quotation,57009.71547096334,763.4759013652802,238551.56493282318,1.8756196389946938E7,55628.0605015146,0.0,236833.65318465233,1.8301631904998302E7,1331883.829787234,0.0,5548020.0,4.3818978E8,7.67598355416711,0.0,15.560505904091729,2525.398589320979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329
Approve Purchase Order for payment,59542.20158577124,60.0,241412.14973926544,8931330.237865686,59482.20158577124,0.0,241352.14973926544,8922330.237865686,1395120.0,0.0,5749740.0,2.09268E8,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Authorize Supplier's Invoice payment,1633.0818705940246,0.0,14541.730631113052,244962.2805891037,1633.0818705940246,0.0,14541.730631113052,244962.2805891037,35165.2,0.0,331440.0,5274780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Order,123726.3496692578,417.89145946502686,244070.08093881607,1.855895245038867E7,123154.81405682722,0.0,243333.21445274353,1.8473222108524084E7,2896856.8,0.0,5645340.0,4.3452852E8,3.1751978468365136,2.0478172726101347,4.310636452833811,476.27967702547704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Purchase Requisition,1787.9878149731953,339.4876592159271,3391.6166999340057,268198.1722459793,0.0,0.0,0.0,0.0,58228.3748265028,0.0,157990.422447443,8734256.22397542,9.933265638739977,1.886042551199595,18.842314999633366,1489.9898458109965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Quotation comparison Map,120360.1055016756,2937.896300792694,259289.8025496006,1.805401582525134E7,108271.0299103419,0.0,240508.57111811638,1.6240654486551285E7,2816520.8,3660.0,6052320.0,4.2247812E8,67.16153106296501,13.911936920218997,120.52161979013019,10074.229659444753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Create Request for Quotation,311.227881603241,5.443225860595703,1201.8019621372223,46684.182240486145,0.0,0.0,0.0,0.0,6053.6,0.0,158460.0,908040.0,3.4580875733693417,0.060480287339952254,13.353355134858026,518.7131360054012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Deliver Goods Services,308804.7180919584,14416.068344831467,782112.7184941769,4.6320707713793755E7,214105.3054446141,0.0,625531.8206057549,3.2115795816692114E7,7230290.4,255840.0,1.835526E7,1.08454356E9,526.1078480408014,68.2484251221021,971.8235356675254,78916.1772061202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340
Pay Invoice,3377.461589043935,243.01886653900146,15015.306359291077,506619.2383565903,2812.6645229895908,0.0,14541.730631113052,421899.67844843864,76188.4,0.0,374700.0,1.142826E7,3.1377614780796903,1.3501048141055636,4.98496661318673,470.66422171195353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Purchase Order,60.0,60.0,60.0,9000.0,0.0,0.0,0.0,0.0,480.4,0.0,72060.0,72060.0,0.33333333333333387,0.3333333333333333,0.3333333333333333,50.00000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Release Supplier's Invoice,531.9949951775869,122.22619485855103,9303.581907987595,79799.24927663803,281.08083398183186,0.0,9105.479445457458,42162.12509727478,5259.2,0.0,205380.0,788880.0,1.3939675621986387,0.679034415880839,2.2797782633039687,209.0951343297958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Invoice,263737.3417192221,0.0,618615.9478914738,3.956060125788331E7,263737.3417192221,0.0,618615.9478914738,3.956060125788331E7,6185023.6,0.0,1.45005E7,9.2775354E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Send Request for Quotation to Supplier,86010.59862693786,665.1848795413971,243587.39244270325,1.290158979404068E7,84581.720471646,0.0,241784.6294851303,1.2687258070746899E7,2010591.6,0.0,5749740.0,3.0158874E8,7.938211973843752,2.1033586038483514,12.74966275691986,1190.731796076563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Conditions With Supplier,166034.46295744102,15771.565859556198,283520.5732104778,2.490516944361615E7,132303.63414426646,0.0,241489.43079900742,1.9845545121639967E7,3882245.6,345840.0,6632400.0,5.8233684E8,187.39349340652535,83.59468482865228,292.1047040806876,28109.024010978803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
Settle Dispute With Supplier,14768.535064308082,615.820169210434,60817.621547460556,1004260.3843729496,1550.6571306060341,0.0,13987.911718606949,105444.68488121033,334260.0,0.0,1333020.0,2.272968E7,73.43265518723358,2.4938899026976693,337.87567526366973,4993.420552731884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4168303.1641364098,3.1050481764524918E7,4.287932228875947E7
Process Cycle Time excluding out of timetable hours (s),172062.16413640976,1272420.189698418,1759169.2777810097
Process Waiting Time (s),80317.87496948242,1113076.7184927845,1513535.0991809368
Accumulated Process Duration (s),4168303.1641364098,3.1050481764524918E7,4.287932228875947E7
Cost,220.2900293628375,886.9708194153574,1525.0850740591682


Process Cycle Time (s) distribution
From,To,Count
4168303,8039404,4
8039405,11910506,8
11910507,15781608,10
15781609,19652710,6
19652711,23523812,8
23523813,27394914,4
27394915,31266016,15
31266017,35137118,11
35137119,39008220,67
39008221,42879322,17

Process Waiting Time (s) distribution
From,To,Count
80317,223638,6
223639,366960,8
366961,510282,9
510283,653604,4
653605,796926,8
796927,940248,3
940249,1083570,11
1083571,1226892,12
1226893,1370214,28
1370215,1513536,61

Accumulated Process Duration (s) distribution
From,To,Count
4168303,8039404,4
8039405,11910506,8
11910507,15781608,10
15781609,19652710,6
19652711,23523812,8
23523813,27394914,4
27394915,31266016,15
31266017,35137118,11
35137119,39008220,67
39008221,42879322,17

Process Cost distribution
From,To,Count
220,350,4
351,481,10
482,612,22
613,743,13
744,874,22
875,1005,22
1006,1136,22
1137,1267,20
1268,1398,11
1399,1529,4

In-timetable Cycle time (s) distribution
From,To,Count
172062,330772,4
330773,489483,8
489484,648194,10
648195,806905,6
806906,965616,8
965617,1124327,4
1124328,1283038,15
1283039,1441749,13
1441750,1600460,67
1600461,1759171,15



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,4168303.1641364098,172062.16413640976,80317.87496948242,511.6499037941296
2,9440335.771211386,392683.2695109844,180970.2649052143,1176.9764286438622
3,8767586.654708147,364385.13837480545,172019.1558456421,1069.6104970375693
4,1.2769585733529806E7,522001.6280016899,349552.20260739326,958.7471088528634
5,1.3890458969853878E7,568929.1726818085,305037.30293631554,1466.350106783708
6,9113210.981692314,373886.2769649029,165243.2905638218,1164.2291643261908
7,5034505.710598707,207128.17870998383,104797.85027575493,570.7504623492559
8,1.936495411099744E7,793265.145914793,713511.9947600365,446.4216838465796
9,4760989.703134537,192889.70313453674,126230.16366744041,375.4655648734834
10,9932353.677833319,406078.87855529785,297790.7147693634,603.602537294229
11,1.0679052012751102E7,431965.2245192528,245357.37978839874,1037.045320031378
12,3.1677209448708296E7,1298315.0673995018,1103195.7411501408,1084.88665310012
13,8076651.249481201,332497.93972349167,245870.92239665985,484.3532316022449
14,1.4661501419429302E7,601565.4547474384,363043.6940841675,1327.8435756948256
15,1.3992892661998987E7,570195.6550450325,412472.3765492439,877.3995669987466
16,3.938115458651805E7,1611584.2638840675,1472716.1821391582,773.3511006805633
17,3.941633413984966E7,1617583.5413033962,1512200.3867189884,592.0022169894643
18,1.4394112513003826E7,591957.5275628567,419363.8261640072,960.382468279203
19,3.8489243161022425E7,1576091.4860901833,1363700.2302324772,1181.7761833058462
20,1.9808579172348738E7,814305.0533807278,573065.1126730442,1341.8772479348709
21,7700622.316359043,318822.3163590431,224992.2298002243,524.8714612192578
22,1.329031674758482E7,542358.6127183437,367139.52359724045,975.4285612225533
23,1.1300563328390598E7,465128.35019373894,324204.1887397766,784.0320753402182
24,3.98759242093842E7,1635137.8019394875,1369850.3379540443,1475.1154379884401
25,1.7319619150315285E7,708452.4355921745,475487.5419919491,1295.5968661586444
26,3.934175415277958E7,1611648.3079369068,1468230.9151353836,797.6908501823744
27,2.3259607412353516E7,951887.7455253601,711234.3721756935,1339.5699212272962
28,1.5068270624991179E7,617391.2160749435,401906.0399594307,1198.1746332963305
29,1.5442859456413269E7,627844.2542674541,533531.4112985134,527.7918814818064
30,1.3785113092050314E7,562098.4338903427,490132.24219441414,401.3532993541823
31,1.1451491521728754E7,468843.8352549076,417440.30691194534,287.4264527453317
32,1.7214617204679012E7,701571.4168250561,554603.3136224747,817.1042028983435
33,3.919005663856363E7,1604946.905514717,1417198.5248482227,1043.3123587303692
34,3.9176803577474594E7,1605606.555050373,1445883.3246805668,891.2935928146046
35,1.4754827875978708E7,603834.8440430164,431046.4019088745,960.8882961591086
36,1.7159790450594187E7,702743.5682680607,501302.95253777504,1120.545521840784
37,3.913537889397168E7,1606257.5152261257,1413162.2419464588,1072.9785072525342
38,1.713314540300846E7,704054.8915851116,541205.4955973625,907.2897004776531
39,2.316694108870077E7,951684.3566732407,751007.0484240055,1115.404843925105
40,3.430652050867629E7,1405572.443476677,1217511.4178454876,1045.2930494242248
41,3.9077004023478985E7,1600293.8543117046,1416535.4130265713,1023.4835688127413
42,2.575853132660103E7,1056322.7279770374,848191.2537589073,1156.914928922388
43,3.905212124727988E7,1603446.6070888042,1352801.9111907482,1393.4990261342791
44,4.287932228875947E7,1759169.2777810097,1485154.3748469353,1525.0850740591682
45,2.995235473406148E7,1231837.2340152264,1125514.1897227764,590.9433825121988
46,3.1098563320686102E7,1275233.1572203636,1138975.7304360867,758.0445022000207
47,2.9529027928525686E7,1207557.8349587917,1094544.3683390617,629.5736556847891
48,2.8700877500110626E7,1178655.2807638645,1057177.6155381203,675.808413696289
49,2.2950740004951954E7,940099.4908797741,732388.4091539383,1160.62713159985
50,3.1044915928071976E7,1273785.0562279224,1066691.5699489117,1153.0139277564153
51,2.256396823605609E7,927089.4928915501,694264.6510801315,1295.8499395370482
52,3.887772056713915E7,1594320.5671391487,1373739.4416484833,1226.0913470334476
53,3.886483120726895E7,1588366.866768837,1460156.3424563408,713.9617171009382
54,2.2173472117758036E7,902996.4954323769,751917.7561171055,843.8952763756117
55,3.041731720844698E7,1245810.5403037071,1053240.4805135727,1072.1050452801915
56,4.1240109668857574E7,1685507.26475358,1437046.026585102,1380.5568332420455
57,2.8785764545797586E7,1176998.5214447975,970181.852313757,1150.3892910957336
58,3.884065729150224E7,1590903.489413023,1492507.1808354855,547.1367285357583
59,3.8781237912380695E7,1588710.1021461487,1386905.3476798534,1122.5173023555014
60,3.886554690540266E7,1593243.2986602783,1446754.1587872505,815.5195257915392
61,1.9152251771998167E7,782535.0053796768,693474.2235751152,501.3797660430272
62,3.6577873964920044E7,1498878.1768290997,1294913.7609274387,1134.4723921312225
63,3.877170959928799E7,1591927.5018360615,1422949.0391464233,940.7003818458983
64,2.2211163144248486E7,911306.922595501,822185.9034953117,497.23051016065807
65,3.450913087296462E7,1413922.520795107,1271549.5047318935,792.6063362267283
66,3.868315946826124E7,1585095.5331947803,1513535.0991809368,399.82946697208615
67,3.87679415750525E7,1590118.0773816109,1435759.731552124,858.7529466205174
68,2.7769520241792917E7,1136272.9165742397,999043.8458557129,763.5179165628222
69,3.889944409759951E7,1591254.5141205788,1468202.4106881618,684.9327340099546
70,4.044007829289079E7,1654398.4951834679,1409223.766979456,1366.3605033251972
71,4.086194634049606E7,1672313.543380499,1459083.4336366653,1187.7750822676553
72,3.864670524831247E7,1582262.816655159,1484142.2763397694,545.1443530069457
73,3.9018300180710554E7,1593200.0568928719,1458243.965945959,750.8764012628131
74,3.840681408736467E7,1572061.8152296543,1375142.395373106,1094.8011521312926
75,3.860479351327014E7,1582352.1877849102,1400174.4131822586,1012.4071185032527
76,3.837904684582114E7,1572324.0448029041,1392504.1794569492,1000.3298365672431
77,3.0160651149480104E7,1235974.213108778,1059553.9277772903,981.2690469927259
78,3.851448101990414E7,1577239.811403513,1484121.846912384,519.0476000891791
79,2.1320866303661108E7,872403.0174052715,787544.5367012024,472.1525945570733
80,2.7599471081121206E7,1130525.5576488972,978686.6659734249,844.7065176447232
81,2.4562032343310356E7,1007252.4281229973,939012.0877621174,381.9914448579152
82,2.8276620949995995E7,1162059.5117430687,997164.9631288052,916.9987720065649
83,2.5185376252509594E7,1031822.3281764984,969253.761998415,350.2657396581438
84,3.0063426093131542E7,1233272.9520154,1101324.6669108868,735.4544728835425
85,2.839318175445962E7,1162220.252522707,1019646.127830267,792.6088384959435
86,3.8448976079110146E7,1576948.2102117538,1374806.8592443466,1123.3583976480695
87,3.848730696371961E7,1578908.1379098892,1451876.329858303,707.7934180908734
88,3.8473737561193466E7,1579381.0396113396,1383038.6856164932,1091.5106483366756
89,2.5101259214076757E7,1031839.2093288898,956218.3906259537,420.4068181448512
90,3.8345693999640465E7,1570253.9996404648,1397412.257933855,960.4605186515385
91,3.833121091685343E7,1569055.5990388393,1379084.9421656132,1057.3490135497514
92,3.39239338927269E7,1394348.0295960903,1169108.420634985,1252.0460621701345
93,3.8403798247092485E7,1575882.3480741978,1407492.7153859138,936.2715562608507
94,3.1997466084990025E7,1311646.7553648949,1161903.2900984287,832.420883843634
95,3.958565494436216E7,1625717.0710520744,1376714.039190054,1386.3783173680304
96,3.810041170801854E7,1559621.2855710983,1383712.7767443657,979.2678434146775
97,3.29053446344409E7,1346625.3065180779,1211292.2648713589,752.091317302651
98,3.8334819101891994E7,1569877.6134417057,1394701.9261260033,973.2850903709732
99,3.011179936395192E7,1229118.4835076332,1148482.5193452835,448.9873039801915
100,3.743982327469754E7,1535143.109250784,1272973.9880769253,1457.115683122476
101,3.819108909355569E7,1561935.7710969448,1502934.3185846806,329.05108234087623
102,3.8176878736788034E7,1561677.022620678,1444868.0830657482,650.2630864871874
103,3.5576476837935925E7,1457483.7500274181,1274101.5608787537,1020.1765493843291
104,3.819589995752287E7,1565456.6739423275,1417620.1462659836,823.3708263172044
105,3.2740557585475206E7,1344380.9987008572,1220096.4025321007,692.9523350172574
106,3.795864630613923E7,1557970.573029995,1334123.5529837608,1244.746248037285
107,3.8155403855199814E7,1566975.69971776,1404056.034274578,908.4487134310936
108,3.914005737649083E7,1603804.1405055523,1393545.9126374722,1173.2208022594455
