Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,49
Role 5,72

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1516.985591682819,7.252986907958984,6909.478264331818,165351.42949342728,0.0,0.0,0.0,0.0,28331.559633027522,0.0,205320.0,3088140.0,8.427697731571216,0.040294371710883244,38.38599035739899,918.6190527412625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
Amend Request for Quotation,620.6710918662704,222.25803065299988,1060.6414322853088,66411.80682969093,0.0,0.0,0.0,0.0,13770.280373831776,0.0,158460.0,1473420.0,3.4481727325903915,1.2347668369611104,5.892452401585049,368.9544823871719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Analyze Purchase Requisition,391.01925946879044,241.68819785118103,539.3664691448212,81723.0252289772,0.0,0.0,0.0,0.0,7051.866028708134,0.0,154860.0,1473840.0,2.1723292192710577,1.342712210284339,2.9964803841378953,454.01680682765107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Analyze Quotation Comparison Map,1243.6506408166886,393.60613489151,2011.0166015625,124365.06408166885,0.0,0.0,0.0,0.0,33540.0,0.0,158460.0,3354000.0,6.909170226759381,2.1867007493972777,11.172314453125,690.917022675938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,42254.35221070829,377.2448847293854,147252.0229177475,8746650.907616615,40897.20990822511,0.0,145746.4253797531,8465722.451002598,987290.7246376812,0.0,3480120.0,2.0436918E8,7.540377439994421,0.0,15.14895931482315,1560.858130078845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Approve Purchase Order for payment,37341.935758993626,60.0,144379.93396043777,3734193.5758993626,37281.935758993626,0.0,144319.93396043777,3728193.5758993626,875505.0,0.0,3382860.0,8.75505E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,22440.914730579854,0.0,124510.95929265022,2244091.4730579853,22440.914730579854,0.0,124510.95929265022,2244091.4730579853,528751.2,0.0,2943360.0,5.287512E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,72597.92502946615,443.3498430252075,145828.95467996597,7259792.502946615,72046.15206653357,0.0,145453.79403829575,7204615.206653357,1687752.0,0.0,3476460.0,1.687752E8,3.065405349625481,2.013506919807858,4.307800719473097,306.5405349625481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1850.9918695092201,329.382933139801,3419.47105383873,185099.186950922,0.0,0.0,0.0,0.0,58735.15053094387,0.0,157304.2895822525,5873515.053094387,10.283288163940115,1.8299051841100058,18.997061410215167,1028.3288163940115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,81105.56875789643,4038.029566526413,152287.8551645279,8110556.875789642,69689.97355818987,0.0,146081.37624669075,6968997.355818987,1902244.2,43260.0,3483780.0,1.9022442E8,63.41997333170307,16.641404581069946,121.28479610549078,6341.997333170307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,327.83624814987184,5.008049964904785,962.602296590805,32783.62481498718,0.0,0.0,0.0,0.0,7600.8,0.0,154860.0,760080.0,3.642624979443018,0.05564499961005317,10.695581073231168,364.2624979443018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,137440.61613168954,15373.438508749008,305550.38880991936,1.3744061613168955E7,50209.73386973619,0.0,145351.04543542862,5020973.386973619,3224514.6,378300.0,7212420.0,3.2245146E8,484.6160125664073,71.6327833003468,952.5975794288847,48461.60125664073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Pay Invoice,15253.46939875841,276.70893239974976,124512.68818569183,1525346.9398758411,14699.489433495999,0.0,124183.5413172245,1469948.9433495998,364978.2,0.0,2900100.0,3.649782E7,3.077666473680071,1.3411133819156222,4.977394751707712,307.7666473680071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3025.8,0.0,154860.0,302580.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,51946.05641254425,135.6892604827881,143852.524589777,5194605.641254425,51682.4599489069,0.0,143727.80796527863,5168245.99489069,1211554.2,0.0,3310800.0,1.2115542E8,1.4644247979852887,0.6690782838397555,2.2874234782324896,146.44247979852886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,66239.12862835884,0.0,144723.62340283394,6623912.862835884,66239.12862835884,0.0,144723.62340283394,6623912.862835884,1552148.4,0.0,3429660.0,1.5521484E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56317.44531621933,675.4281849861145,146748.65674185753,5631744.531621933,54833.15593250036,0.0,145877.19297361374,5483315.593250036,1314054.0,0.0,3480120.0,1.314054E8,8.24605213177204,3.4141381833288404,13.379442698425716,824.6052131772038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,109067.26485712052,17070.260927677155,191810.40107274055,1.0906726485712051E7,75445.60564946412,0.0,143972.94356274605,7544560.564946413,2555692.2,327900.0,4470840.0,2.5556922E8,186.786995598091,79.7129494574335,292.2739469793108,18678.6995598091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,47750.74652159711,1164.0249717235565,127342.21456766129,2292035.833036661,32653.40859234333,0.0,123375.58903193474,1567363.6124324799,1127311.25,0.0,2950560.0,5.411094E7,83.87409960696542,0.8548342863718669,279.8935836063491,4025.95678113434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),2730513.484037876,1.87320054843331E7,2.195866176751566E7
Process Cycle Time excluding out of timetable hours (s),115444.28320813179,766754.5338021565,899449.2888729572
Process Waiting Time (s),67626.66623044014,614899.4102111101,781512.1638064384
Accumulated Process Duration (s),2730513.484037876,1.87320054843331E7,2.195866176751566E7
Cost,266.0618667867448,845.4623328177663,1349.2051927725472


Process Cycle Time (s) distribution
From,To,Count
2730513,4653327,1
4653328,6576142,0
6576143,8498957,6
8498958,10421772,7
10421773,12344587,1
12344588,14267402,3
14267403,16190217,0
16190218,18113032,1
18113033,20035847,3
20035848,21958662,78

Process Waiting Time (s) distribution
From,To,Count
67626,139014,3
139015,210403,6
210404,281792,1
281793,353181,6
353182,424570,1
424571,495959,2
495960,567348,0
567349,638737,7
638738,710126,39
710127,781515,35

Accumulated Process Duration (s) distribution
From,To,Count
2730513,4653327,1
4653328,6576142,0
6576143,8498957,6
8498958,10421772,7
10421773,12344587,1
12344588,14267402,3
14267403,16190217,0
16190218,18113032,1
18113033,20035847,3
20035848,21958662,78

Process Cost distribution
From,To,Count
266,374,4
375,483,9
484,592,8
593,701,11
702,810,13
811,919,15
920,1028,12
1029,1137,12
1138,1246,8
1247,1355,8

In-timetable Cycle time (s) distribution
From,To,Count
115444,193844,1
193845,272245,1
272246,350646,5
350647,429047,7
429048,507448,1
507449,585849,3
585850,664250,0
664251,742651,1
742652,821052,3
821053,899453,78



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7368271.486906052,302610.48690605164,120346.65451788902,1014.8332317590713
2,9093571.807918549,373829.44866609573,173519.74035143852,1113.5239068163762
3,7508423.09079361,308502.8235564232,135604.4293730259,961.9273106866414
4,8458800.32148385,343420.69354987144,166269.1171965599,988.5649376259911
5,1.0506042374224186E7,430471.4560406208,284799.71584939957,811.0236966080136
6,2730513.484037876,115444.28320813179,67626.66623044014,266.0618667867448
7,6603736.875645399,270505.59803056717,165042.29971671104,586.6000726805794
8,9512940.722496271,390892.76092529297,209923.29478287697,1008.4867880238428
9,7258048.439938068,297808.4399380684,160552.89196395874,763.7902320994273
10,7846192.463427544,315859.370680809,195369.10468029976,669.9301414079137
11,2.166891209133649E7,884198.3574056625,650024.7204768658,1304.858303705851
12,1.0238415277786732E7,416007.54201579094,334323.96445155144,454.3206787493493
13,1.6273329957891941E7,664690.2301886082,472127.2536532879,1070.4889192210305
14,2.1312019402712822E7,871853.0161921978,723302.5502798557,826.6782624721527
15,1.3221547712937355E7,541002.565928936,438575.4803390503,569.2448544197613
16,1.321191470949483E7,541658.2250111103,360441.54391765594,1008.6758930391736
17,1.0168184936361074E7,415689.79403948784,266621.8907108307,832.9793081151115
18,1.3179269007260323E7,540704.747010231,322469.18712091446,1213.683183148172
19,1.0309299712962389E7,422672.8680343628,305964.08292770386,649.0107527573905
20,9736075.982457876,400258.43090415,320274.98960900307,447.08626385529834
21,2.152815274660039E7,881612.7466003895,719456.5464441776,901.0347146378623
22,1.0021061487217426E7,407102.6705775261,300070.9280796051,596.7880265222656
23,1.932722936322856E7,792772.3324103355,675748.861779213,652.1002541939417
24,2.0359481103656054E7,837412.7248885632,753261.7172970772,467.7270558291011
25,2.0609191578250885E7,845429.011247158,738243.4685270786,600.1003619737096
26,1.9329571396045923E7,790348.631670475,622971.4577133656,930.933361389902
27,2.09163928059299E7,856475.2510135174,655204.5099551678,1118.353876018524
28,2.0909415223274708E7,859847.3944470882,643423.5289599895,1207.3694377236895
29,2.081100378268814E7,847633.0929431915,763549.9611456394,468.28639746374546
30,2.1402715328227043E7,873363.6387946606,757884.6512496471,646.8977213422459
31,2.0857611607838154E7,850245.8020100594,666080.4377856255,1026.1001117123499
32,2.0845617999390364E7,852264.5574607849,753778.65280056,550.6520108713046
33,2.125928245164728E7,869227.824051857,663240.0776479244,1145.2923453701865
34,2.1420537775663137E7,875140.3567547798,657760.1013050079,1208.798442553149
35,2.1333669948387623E7,874289.6739137173,770111.5502121449,580.8448233922323
36,2.1317974239667177E7,872701.2060477734,682014.6628391743,1059.4467297143406
37,2.1204274155478E7,870209.9208652973,767068.7997722626,575.7122501757411
38,2.0684226110646248E7,846937.5062727928,763803.7237203121,463.25400103198155
39,1.914799732424164E7,787353.0056643486,653595.3877220154,744.0972824613256
40,2.1262260921163797E7,869440.3454566002,734756.6157381535,749.7453961213431
41,2.124693540922022E7,868049.8298034668,714017.7041211128,857.79528127114
42,2.1308123472057104E7,871213.5910253525,643681.2132980824,1264.6002965913876
43,2.096091407058263E7,862184.9821801186,715573.4106211662,816.7928237583903
44,2.1290212348217964E7,877680.3421945572,644162.8181102276,1301.0199071884153
45,2.0931895315258503E7,861137.1160130501,738550.0298914909,682.6528568545979
46,2.117769608795309E7,868886.3337311745,676829.5630941391,1068.3045081019402
47,2.116257059487629E7,864262.3077104092,670912.2998702526,1075.8662446882986
48,2.1442055728135586E7,880354.2635371685,752699.5218701363,711.0255232718255
49,2.1135053908289433E7,864807.9613037109,667407.6619791985,1101.208012412654
50,2.102206067520213E7,863043.7551071644,728377.3661646843,748.483015300168
51,2.1109242361951828E7,866950.750585556,636880.8803725243,1279.8251347104708
52,2.1094261744134426E7,865621.7441344261,759330.8248400688,590.8545101364455
53,2.108091171404457E7,859540.718298912,691720.014390707,932.7575810233753
54,2.1147060534967422E7,864069.705873251,671443.5930850506,1071.1778891815077
55,2.0952299636095524E7,856366.435587883,723042.6978313923,742.3391660822764
56,2.111186793179059E7,860596.8857734203,695991.554312706,915.8225949393378
57,2.102225132714176E7,856991.8965210915,705667.3178460598,842.9718717071747
58,2.195866176751566E7,899449.2888729572,662211.9808728695,1319.6474564962914
59,2.099718099378729E7,859881.5945112705,644940.1135218143,1195.3375747376017
60,2.0881489154110193E7,855438.2162837982,724094.4465744495,730.0462897565629
61,2.0967200240396738E7,857904.4134266376,732457.7123682499,701.0018051240179
62,2.0348390702976942E7,833051.3704292774,771354.2660446167,343.5646191848649
63,2.0838257817497253E7,854127.6504724026,646599.9598975182,1154.9781569030547
64,2.127027499125099E7,875015.1280581951,641805.0163354874,1298.205850346883
65,2.098636763418722E7,857411.4518136978,712809.8940610886,804.4458127551609
66,2.089693912724352E7,854070.7950849533,680988.1893837452,961.8760785275038
67,2.088367398648715E7,854762.3064436913,708155.3594200611,818.4706631541253
68,2.087149900877142E7,853072.1189241409,725016.225394249,713.4446165495449
69,2.0929643769356728E7,853151.1646978855,610462.7766125202,1349.2051927725472
70,2.1527734949590683E7,881529.6935579777,682501.2422008514,1108.3244172440636
71,2.0829266272702694E7,852846.6000208855,703245.1323955059,831.1470870852472
72,2.055529451916504E7,841471.6617569923,692406.609559536,829.7391183376313
73,2.0874868912828445E7,850928.4122622013,701653.3208825588,830.4120606488653
74,2.05277588489542E7,842066.7351448536,760588.5861327648,453.6137043820487
75,2.051077906695676E7,839096.7133872509,762385.290292263,427.9329465044869
76,2.0832518442406893E7,850626.1493713856,749637.2422478199,561.7453536616432
77,2.0744600876963615E7,848804.020352602,665822.8929853439,1018.3280120637683
78,2.0629217670326233E7,844681.7844331264,781512.1638064384,353.8437955141067
79,2.0717328972934723E7,849551.223749876,737771.9646639824,622.4338172422515
80,2.0775643692984104E7,849757.350810051,707071.2683908939,792.8650113556121
81,2.0588453374623537E7,845861.2751765251,751007.3189015388,530.8378236876595
82,2.0672932380278587E7,847028.9319946766,685342.1318128109,899.07332779434
83,2.090594410325718E7,856424.8223116398,707226.7349848747,829.2594243076113
84,2.0644007858443737E7,842733.4592785835,775642.718988657,375.20001974238284
85,2.0631567289015293E7,844364.7516551018,627142.1868395805,1206.887952140967
86,2.0692866109102964E7,847639.8841710091,667361.5478479862,1006.3745980368722
87,2.0677552557115316E7,846365.093142271,661774.1344823837,1030.0455541054405
88,2.0587981317497015E7,842827.7184484005,640781.0777087212,1127.111023469766
89,2.0650587665266514E7,847428.4136052132,610043.0559911728,1320.9811283151307
90,2.106374764529395E7,860368.0784976482,743461.0994942188,649.9143331593938
91,2.0622200719449043E7,843502.4316849709,729786.674072504,633.8460247940486
92,2.053422554148388E7,841588.907197237,678825.2872946262,905.1016715433864
93,2.0205249585529327E7,829153.8841328621,769298.0009565353,332.8758129172855
94,2.057952528840494E7,842790.5857799053,688775.7140836716,859.6975079072847
95,2.049194370206213E7,841186.9128274918,757072.9923739433,469.9138822078704
96,2.047899694641304E7,835192.6568307877,632188.7211947441,1130.9780409031443
97,2.0537965463285446E7,836136.7905445099,707509.3196983337,716.2193144294952
98,2.0794388470692635E7,850746.7569611073,629582.9254746437,1229.5686109873982
99,2.0436720243942738E7,835018.1567602158,653070.2823910713,1014.2019108891487
100,2.110051068552351E7,860750.5746452808,717063.7519319057,798.7354583938917
