Resource utilization
Resource,Utilization %
Role 1,0
Role 10,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Amend Request for Quotation,607.7779606472362,0.0,1159.4801571369171,60170.018104076385,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,1.0,1.0,4.220680282272474,0.0,8.051945535673035,417.8473479449749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),0.0,600.2372693824768,3210.2992520332336
Process Cycle Time excluding out of timetable hours (s),0.0,600.2272693824768,3210.2992520332336
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),0.0,601.7101810407638,3210.2992520332336
Cost,0.0,4.178473479449749,22.293744805786343


Process Cycle Time (s) distribution
From,To,Count
0,321,55
322,643,14
644,965,6
966,1287,3
1288,1609,8
1610,1931,5
1932,2253,3
2254,2575,1
2576,2897,1
2898,3219,4

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
0,321,54
322,643,15
644,965,6
966,1287,3
1288,1609,8
1610,1931,5
1932,2253,3
2254,2575,1
2576,2897,1
2898,3219,4

Process Cost distribution
From,To,Count
0,2,59
3,5,15
6,8,4
9,11,9
12,14,6
15,17,2
18,20,1
21,23,4
24,26,0
27,29,0

In-timetable Cycle time (s) distribution
From,To,Count
0,321,55
322,643,14
644,965,6
966,1287,3
1288,1609,8
1610,1931,5
1932,2253,3
2254,2575,1
2576,2897,1
2898,3219,4



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,3210.2992520332336,3210.2992520332336,0.0,22.293744805786343
4,2013.0383937358856,2013.0383937358856,0.0,13.979433289832539
5,0.0,0.0,0.0,0.0
6,760.6720662117004,760.6720662117004,0.0,5.28244490424792
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,1355.2267141342163,1355.2267141342163,0.0,9.411296625932058
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,3166.001192331314,3166.001192331314,0.0,21.986119391189682
17,483.83058977127075,483.83058977127075,0.0,3.35993465118938
18,3087.22407746315,3087.22407746315,0.0,21.4390560934941
19,0.0,0.0,0.0,0.0
20,1587.5180478096008,1587.5180478096008,0.0,11.024430887566673
21,0.0,0.0,0.0,0.0
22,1485.885854959488,1485.885854959488,0.0,10.318651770552
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,578.5306987762451,578.5306987762451,0.0,4.017574297057258
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,608.1634955406189,608.1634955406189,0.0,4.223357607920964
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,579.1227288246155,579.1227288246155,0.0,4.021685616837607
39,2373.3870615959167,2373.3870615959167,0.0,16.481854594416088
40,0.0,0.0,0.0,0.0
41,1763.511596918106,1763.511596918106,0.0,12.246608311931293
42,274.38439178466797,274.38439178466797,0.0,2.9283024834262
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,665.7176814079285,665.7176814079285,0.0,4.6230394542217255
46,0.0,0.0,0.0,0.0
47,327.91117906570435,327.91117906570435,0.0,2.277160965734058
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,1169.4721050262451,1169.4721050262451,0.0,8.121334062682259
52,1451.6196599006653,1451.6196599006653,0.0,10.080692082643509
53,1033.4716596603394,1033.4716596603394,0.0,7.176886525419023
54,1900.681625843048,1900.681625843048,0.0,13.19917795724339
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,1384.309799194336,1384.309799194336,0.0,9.61326249440511
59,1561.7376127243042,1561.7376127243042,0.0,10.845400088363224
60,1137.8453977108002,1137.8453977108002,0.0,7.901704150769445
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,2748.234580039978,2747.234580039978,0.0,19.078017916944294
65,1675.6459202766418,1675.6459202766418,0.0,11.636430001921124
66,532.8607494831085,532.8607494831085,0.0,3.7004218714104757
67,3089.5543100833893,3089.5543100833893,0.0,21.45523826446798
68,278.48237442970276,278.48237442970276,0.0,1.933905377984047
69,0.0,0.0,0.0,0.0
70,762.7304832935333,762.7304832935333,0.0,5.296739467316204
71,953.2559244632721,953.2559244632721,0.0,6.619832808772723
72,375.66236305236816,375.66236305236816,0.0,2.60876641008589
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,424.71355390548706,424.71355390548706,0.0,2.9493996798992157
77,0.0,0.0,0.0,0.0
78,1341.394463300705,1341.394463300705,0.0,9.315239328477118
79,529.1465225219727,529.1465225219727,0.0,3.67462862862481
80,63.71687054634094,63.71687054634094,0.0,0.4424782676829232
81,370.49526834487915,370.49526834487915,0.0,2.5728838079505496
82,1367.068725824356,1367.068725824356,0.0,9.493532818224695
83,0.0,0.0,0.0,0.0
84,123.8457579612732,123.8457579612732,0.0,0.860039985842175
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,1796.5318081378937,1796.5318081378937,0.0,12.475915334290928
89,0.0,0.0,0.0,0.0
90,860.6358354091644,860.6358354091644,0.0,5.9766377458969755
91,2208.177775144577,2208.177775144577,0.0,15.334567882948452
92,0.0,0.0,0.0,0.0
93,550.0322976112366,550.0322976112366,0.0,3.819668733411365
94,1775.0853068828583,1775.0853068828583,0.0,12.326981297797627
95,488.8789014816284,488.8789014816284,0.0,3.3949923714001975
96,0.0,0.0,0.0,0.0
97,2127.2295298576355,2127.2295298576355,0.0,14.772427290678024
98,709.2266774177551,709.2266774177551,0.0,4.925185259845522
99,447.91279554367065,447.91279554367065,0.0,3.110505524608824
100,463.64526081085205,463.64526081085205,0.0,3.219758755630917
