Resource utilization
Resource,Utilization %
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 6789,1
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105
Analyze Purchase Requisition,389.8331125372822,242.87991404533386,535.4012403488159,80305.62118268013,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,1.0,1.0,3.79004414966802,2.361332497662968,5.205289836724599,780.7490948316122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),247.74342560768127,803.0662118268014,3102.1542246341705
Process Cycle Time excluding out of timetable hours (s),247.74342560768127,803.0562118268012,3102.1542246341705
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),247.74342560768127,803.0662118268014,3102.1542246341705
Cost,2.408616637852457,7.807490948316122,30.15983273949888


Process Cycle Time (s) distribution
From,To,Count
247,532,52
533,818,11
819,1104,16
1105,1390,8
1391,1676,6
1677,1962,0
1963,2248,1
2249,2534,2
2535,2820,1
2821,3106,3

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
247,532,52
533,818,11
819,1104,16
1105,1390,8
1391,1676,6
1677,1962,0
1963,2248,1
2249,2534,2
2535,2820,1
2821,3106,3

Process Cost distribution
From,To,Count
2,4,52
5,7,13
8,10,15
11,13,7
14,16,6
17,19,1
20,22,1
23,25,2
26,28,2
29,31,1

In-timetable Cycle time (s) distribution
From,To,Count
247,532,52
533,818,11
819,1104,16
1105,1390,8
1391,1676,6
1677,1962,0
1963,2248,1
2249,2534,2
2535,2820,1
2821,3106,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,269.66700291633606,269.66700291633606,0.0,2.6217625283532673
2,247.74342560768127,247.74342560768127,0.0,2.408616637852457
3,1386.981584072113,1386.981584072113,0.0,13.484543178478877
4,775.1054985523224,775.1054985523224,0.0,7.535747902592023
5,260.52485179901123,260.52485179901123,0.0,2.532880503601498
6,505.37329387664795,505.37329387664795,0.0,4.913351468245188
7,293.5147588253021,293.5147588253021,0.0,2.8536157108015483
8,589.0325009822845,589.0325009822845,0.0,5.7267048706611
9,1514.7542316913605,1514.7542316913605,0.0,14.726777252554893
10,872.6585488319397,872.6585488319397,0.0,8.484180335866082
11,297.6252462863922,297.6252462863922,0.0,2.8935787833399242
12,401.62559032440186,401.62559032440186,0.0,3.904693239265018
13,526.7655611038208,526.7655611038208,0.0,5.121331844064924
14,746.3455762863159,746.3455762863159,0.0,7.256137547228072
15,695.1588108539581,695.1588108539581,0.0,6.758488438857926
16,510.5312693119049,510.5312693119049,0.0,4.96349845164352
17,570.5380480289459,570.5380480289459,0.0,5.546897689170308
18,3013.4344894886017,3013.4344894886017,0.0,29.29727975891696
19,431.25578331947327,431.25578331947327,0.0,4.192764560050435
20,449.02705550193787,449.02705550193787,0.0,4.3655408173799515
21,2429.796412706375,2429.796412706375,0.0,23.62302067908976
22,512.7489314079285,512.7489314079285,0.0,4.98505905535486
23,689.454756975174,689.454756975174,0.0,6.703032359480858
24,343.7530725002289,343.7530725002289,0.0,3.3420437604188917
25,781.3301792144775,781.3301792144775,0.0,7.596265631251865
26,497.26894187927246,497.26894187927246,0.0,4.834559157159593
27,435.7903609275818,435.7903609275818,0.0,4.236850731240379
28,930.5473139286041,930.5473139286041,0.0,9.046987774305872
29,971.0731966495514,971.0731966495514,0.0,9.440989411870639
30,1135.0510959625244,1135.0510959625244,0.0,11.035218988524543
31,911.7898170948029,911.7898170948029,0.0,8.864623221755027
32,255.92777013778687,255.92777013778687,0.0,2.4881866541173725
33,392.07855772972107,392.07855772972107,0.0,3.8118748668167326
34,890.5142226219177,890.5142226219177,0.0,8.657777164379755
35,760.1037604808807,760.1037604808807,0.0,7.389897671341895
36,309.56921887397766,309.56921887397766,0.0,3.0097007390525605
37,965.7098877429962,965.7098877429962,0.0,9.388846130834686
38,670.2966921329498,670.2966921329498,0.0,6.516773395737012
39,499.47647166252136,499.47647166252136,0.0,4.856021252274513
40,495.40938329696655,495.40938329696655,0.0,4.816480115387175
41,285.58943700790405,285.58943700790405,0.0,2.7765639709101784
42,443.17764806747437,443.17764806747437,0.0,4.308671578433779
43,2316.369322538376,2316.369322538376,0.0,22.520257302456432
44,833.6127002239227,833.6127002239227,0.0,8.104567918843694
45,1655.4949388504028,1655.4949388504028,0.0,16.095089683267805
46,1271.706801891327,1271.706801891327,0.0,12.36381612949901
47,358.57185888290405,358.57185888290405,0.0,3.4861152946949003
48,285.45579528808594,285.45579528808594,0.0,2.7752646764119464
49,250.42566013336182,250.42566013336182,0.0,2.43469391796324
50,265.4432945251465,265.4432945251465,0.0,2.5806986967722576
51,353.87433075904846,353.87433075904846,0.0,3.4404448823796376
52,342.8009624481201,342.8009624481201,0.0,3.332787134912279
53,368.3131229877472,368.3131229877472,0.0,3.580822029047542
54,1633.9795327186584,1633.9795327186584,0.0,15.885912123653625
55,507.79006266593933,507.79006266593933,0.0,4.93684783147441
56,259.60165762901306,259.60165762901306,0.0,2.5239050047265157
57,849.9759466648102,849.9759466648102,0.0,8.263655037018989
58,2592.7019658088684,2592.7019658088684,0.0,25.20682466758622
59,954.4217240810394,954.4217240810394,0.0,9.279100095232327
60,472.99560809135437,472.99560809135437,0.0,4.5985684119992785
61,911.4590048789978,911.4590048789978,0.0,8.861406991879145
62,899.1819701194763,899.1819701194763,0.0,8.74204693171713
63,478.4222893714905,478.4222893714905,0.0,4.6513278133339355
64,970.964681148529,969.964681148529,0.0,9.43021217783292
65,349.42433738708496,349.42433738708496,0.0,3.3971810579299926
66,1202.113911151886,1202.113911151886,0.0,11.687218580643336
67,926.7748844623566,926.7748844623566,0.0,9.010311376717356
68,315.7318060398102,315.7318060398102,0.0,3.069614780942599
69,749.9055559635162,749.9055559635162,0.0,7.290748460756408
70,1217.3876693248749,1217.3876693248749,0.0,11.835713451769617
71,1489.8358900547028,1489.8358900547028,0.0,14.484515597754054
72,336.05205821990967,336.05205821990967,0.0,3.267172788249122
73,425.02840518951416,425.02840518951416,0.0,4.132220606009166
74,276.13905143737793,276.13905143737793,0.0,2.684685222307841
75,476.3950614929199,476.3950614929199,0.0,4.631618653403388
76,369.49714159965515,369.49714159965515,0.0,3.5923333211077586
77,1282.6934840679169,1282.6934840679169,0.0,12.470631095104748
78,342.46247696876526,342.46247696876526,0.0,3.3294963038629954
79,429.89594888687134,429.89594888687134,0.0,4.179543947511249
80,451.8981158733368,451.8981158733368,0.0,4.393453904324108
81,2987.133281469345,2987.133281469345,0.0,29.04157356984085
82,936.9053227901459,936.9053227901459,0.0,9.10880174934864
83,296.4837119579315,296.4837119579315,0.0,2.882480532924334
84,357.81222915649414,357.81222915649414,0.0,3.4787300056881376
85,1259.770846605301,1259.770846605301,0.0,12.24777211977376
86,302.590532541275,302.590532541275,0.0,2.9418523997068404
87,1316.58815741539,1316.58815741539,0.0,12.800162641538513
88,257.6246511936188,257.6246511936188,0.0,2.504684108826849
89,420.5837366580963,420.5837366580963,0.0,4.089008550842603
90,893.3634829521179,893.3634829521179,0.0,8.685478306478924
91,1572.5281796455383,1572.5281796455383,0.0,15.28846841322051
92,466.1632037162781,466.1632037162781,0.0,4.532142258352703
93,753.6849296092987,753.6849296092987,0.0,7.327492371201515
94,362.96266198158264,362.96266198158264,0.0,3.528803658154276
95,962.1255192756653,962.1255192756653,0.0,9.353998104068967
96,1658.9255285263062,1658.9255285263062,0.0,16.1284426384502
97,3102.1542246341705,3102.1542246341705,0.0,30.15983273949888
98,375.4560420513153,375.4560420513153,0.0,3.6502670754988986
99,532.5399851799011,532.5399851799011,0.0,5.177472078137928
100,2052.3056688308716,2052.3056688308716,0.0,19.95297178030014
