Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,37
Role 2,61
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1508.2884521853064,2.7428715229034424,7650.457967996597,146303.97986197472,0.0,0.0,0.0,0.0,29344.329896907217,0.0,201720.0,2846400.0,8.379380289918373,0.015238175127241347,42.50254426664776,812.7998881220822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Amend Request for Quotation,628.0948829382993,62.776705741882324,1089.6647651195526,55900.44458150864,0.0,0.0,0.0,0.0,9558.7762747052,0.0,158460.0,850731.0884487629,3.489416016323885,0.3487594763437907,6.05369313955307,310.5580254528258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Analyze Purchase Requisition,398.3103952976653,240.10702991485596,538.3931245803833,78467.14787364006,0.0,0.0,0.0,0.0,8211.776649746193,0.0,154860.0,1617720.0,2.2128355294314734,1.333927943971422,2.991072914335463,435.9285992980003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Analyze Quotation Comparison Map,1157.3831795668602,367.0184645652771,2008.09574508667,115738.31795668602,0.0,0.0,0.0,0.0,26371.8,0.0,158460.0,2637180.0,6.429906553149222,2.038991469807095,11.156087472703721,642.9906553149223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41258.80617649341,0.0,140190.03086042404,7797914.367357254,39854.29965906042,0.0,138521.49214577675,7532462.63556242,965423.8095238095,0.0,3177540.0,1.824651E8,7.818320806260535,0.0,17.336149493853252,1477.662632383241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Approve Purchase Order for payment,30680.164098660945,60.0,149318.21553444862,3068016.4098660946,30620.164098660945,0.0,149258.21553444862,3062016.4098660946,724192.8,0.0,3480120.0,7.241928E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,808.1797814822197,0.0,4636.826141357422,80817.97814822197,808.1797814822197,0.0,4636.826141357422,80817.97814822197,34792.8,0.0,154860.0,3479280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,76699.72916537046,435.3470251560211,145300.54976677895,7669972.916537046,76130.03129481792,0.0,144892.327095747,7613003.129481792,1798782.0,0.0,3436860.0,1.798782E8,3.164988169736331,2.021691625648075,4.31844786008199,316.4988169736331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1831.9564062166214,313.0592694282532,3374.929488658905,183195.64062166214,0.0,0.0,0.0,0.0,59026.26630964041,0.0,158460.0,5902626.630964041,10.17753559009234,1.7392181634902955,18.74960827032725,1017.753559009234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,86147.60803928137,2894.536870241165,170441.52418780327,8614760.803928137,74282.27383450032,0.0,151503.4739997387,7428227.383450031,2028478.2,0.0,3984420.0,2.0284782E8,65.91852335989472,13.732078833050197,119.77538285387887,6591.852335989472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,342.38152983427045,9.374256372451782,1229.552706003189,34238.15298342705,0.0,0.0,0.0,0.0,3317.4,0.0,154860.0,331740.0,3.804239220380782,0.10415840413835313,13.661696733368768,380.4239220380782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,269828.3265486073,14997.834549427032,618927.1466767788,2.6982832654860735E7,170711.1624649477,0.0,493982.1766395569,1.707111624649477E7,6308784.6,374700.0,1.45005E7,6.3087846E8,550.6509115758868,72.11266442802217,976.3710079100397,55065.09115758868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Pay Invoice,1727.3163242912292,253.08119106292725,5495.939785003662,172731.63242912292,1158.2086055088043,0.0,4985.225168466568,115820.86055088043,50574.0,0.0,252120.0,5057400.0,3.1617095487912503,1.3905680312050714,4.974355894989437,316.170954879125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1548.6,0.0,154860.0,154860.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,483.6726747465134,121.33227729797363,4128.416280031204,48367.26747465134,202.3894726705551,0.0,3792.5330345630646,20238.94726705551,17503.2,0.0,158460.0,1750320.0,1.5626844559775457,0.6740682072109646,2.3278462992774114,156.26844559775458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,214376.98313200474,0.0,504858.3290169239,2.1437698313200474E7,214376.98313200474,0.0,504858.3290169239,2.1437698313200474E7,4982713.2,0.0,1.185258E7,4.9827132E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,57794.9232929492,1391.3297650814056,134312.2157919407,5779492.32929492,56313.72373820782,0.0,133847.68796753883,5631372.373820782,1347451.8,0.0,3105420.0,1.3474518E8,8.228886415229901,2.407937590281169,15.248956414063771,822.88864152299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,117086.67335304737,16175.101427555084,192048.74591517448,1.1708667335304737E7,84109.0037763834,0.0,151711.08747553825,8410900.37763834,2734923.6,374640.0,4438440.0,2.7349236E8,183.20927542591104,79.84288898309072,292.51432699362437,18320.927542591104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,8705.108236900965,192.9792721271515,26466.513082027435,391729.87066054344,566.4173758188883,0.0,4048.706696510315,25488.781911849976,245438.66666666666,0.0,580020.0,1.104474E7,45.21494922823377,0.7431605882114835,124.55630680322648,2034.6727152705196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4112339.6869950294,2.3050434439072058E7,2.9700649368290186E7
Process Cycle Time excluding out of timetable hours (s),168641.53664422035,943730.7727624201,1214921.6806342602
Process Waiting Time (s),82711.7401330471,784291.6343739271,1052236.7639679909
Accumulated Process Duration (s),4112339.6869950294,2.3050435632823534E7,2.9700649368290186E7
Cost,233.28028185764953,887.6915455869832,1459.491073805756


Process Cycle Time (s) distribution
From,To,Count
4112339,6671169,2
6671170,9230000,6
9230001,11788831,4
11788832,14347662,2
14347663,16906493,6
16906494,19465324,6
19465325,22024155,3
22024156,24582986,3
24582987,27141817,45
27141818,29700648,23

Process Waiting Time (s) distribution
From,To,Count
82711,179663,3
179664,276616,7
276617,373569,4
373570,470522,1
470523,567475,8
567476,664428,4
664429,761381,3
761382,858334,4
858335,955287,36
955288,1052240,30

Accumulated Process Duration (s) distribution
From,To,Count
4112339,6671169,2
6671170,9230000,6
9230001,11788831,4
11788832,14347662,2
14347663,16906493,6
16906494,19465324,6
19465325,22024155,3
22024156,24582986,3
24582987,27141817,45
27141818,29700648,23

Process Cost distribution
From,To,Count
233,355,2
356,478,11
479,601,7
602,724,11
725,847,16
848,970,10
971,1093,12
1094,1216,17
1217,1339,8
1340,1462,6

In-timetable Cycle time (s) distribution
From,To,Count
168641,273269,2
273270,377898,6
377899,482527,4
482528,587156,2
587157,691785,5
691786,796414,7
796415,901043,3
901044,1005672,3
1005673,1110301,43
1110302,1214930,25



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7638721.275854349,317220.27585434914,170740.89149832726,815.0017272485628
2,1.8768424133769512E7,768397.0779988766,511269.49753546715,1429.4548823343382
3,9760883.6956985,403083.6692249775,196522.08811044693,1148.95785955588
4,2.789026879379058E7,1142425.71591568,1013319.559476614,717.7399068488015
5,4112339.6869950294,168641.53664422035,82711.7401330471,479.0147783531083
6,1.1702332063726425E7,480901.1106014252,251598.70319652557,1275.6382490158078
7,1.2943545616092682E7,532859.1293516159,300034.5952885151,1295.5745875729453
8,9010026.80408144,370841.7050998211,219823.10601520538,839.9956887510087
9,1.0884158228415012E7,443798.22841501236,269937.303358078,966.8091305732728
10,8014714.019505739,322240.58429050446,237295.2971110344,474.6430017338858
11,1.5518974698589325E7,631744.0450313091,388527.13985419273,1352.5874369555047
12,1.831677548945594E7,748663.1366479397,661934.1774506569,487.21926450861815
13,1.1650581153845549E7,476638.00467944145,298432.50991749763,990.9510952538915
14,8999331.737097979,364861.02848625183,262594.4898645878,569.352234143681
15,7702170.563167334,313803.2557492256,239406.28114700317,418.36234151654776
16,1.5022311750110865E7,615648.3007388115,371922.8771162033,1354.4556091348327
17,6204456.091531992,256216.20243120193,152906.11394381523,574.239945532216
18,1.7336539896891356E7,709842.5672624111,519137.8322200775,1066.3015986018709
19,8939056.351082087,370883.8288435936,301721.4216501713,384.8953679588106
20,2.395964569076872E7,980667.1522901058,820794.5747439861,890.3969192186993
21,2.765117035312271E7,1132370.3531227112,929207.7666823864,1131.2150566776593
22,1.6920413655027866E7,692031.901955843,609227.3361093998,461.06130249367817
23,2.1240485145539522E7,872290.3938109875,736009.3144505024,758.9397745913931
24,1.6893550357963562E7,693259.7541847229,561886.9753599167,731.8957140657637
25,1.6710577918759584E7,682789.7782914639,505430.9103176594,988.9462564031284
26,2.750648594161415E7,1124356.578867197,1045161.2993166447,440.60954255527923
27,1.871315207831049E7,767835.599193573,559729.671077013,1160.4669571306968
28,2.755324587239027E7,1126952.0840678215,1022493.4338614941,581.8734411968126
29,2.554888714417386E7,1042408.9611177444,928013.0595459938,637.6513803164164
30,2.7450715014045715E7,1120938.2858555317,945091.4098682404,978.5613814844027
31,2.5017067000344276E7,1021316.1212008,882909.565230608,770.1629018452433
32,2.2222860191123247E7,907001.6126861572,672048.03647542,1307.3073080738386
33,2.7308167559821367E7,1117505.3011462688,946246.8496181965,953.7399454977779
34,1.9823951193838596E7,812763.9021089077,691552.1073896885,673.5771647161907
35,1.4756809906785727E7,605124.5217440128,526447.3918070793,437.1747189627753
36,1.8797939547024727E7,769451.8371369839,583921.7730090618,1034.0353722519344
37,2.67473012152102E7,1095193.4912655354,960793.2237610817,746.7202320045897
38,2.7239550910244703E7,1118632.7105314732,924802.4488515854,1077.449447045061
39,2.1277227884324074E7,873227.0968973637,610765.514882803,1459.491073805756
40,2.705266757550025E7,1110954.731928587,875270.0171616077,1310.9452452818553
41,2.7298134364923477E7,1118258.642055273,864109.5745897293,1412.9731341110335
42,2.8569370210406065E7,1171429.3818051815,957207.6097435951,1192.2800726744863
43,2.70096311015985E7,1110014.7997009754,906977.6744325161,1129.6274148570167
44,1.6449535315484762E7,676442.5114934444,543876.042855978,738.5395737939411
45,1.4178609618174076E7,581055.7353823185,523511.988853693,320.03701306449034
46,2.4807326948602438E7,1017651.1609790325,826077.8256027699,1068.4224498112994
47,2.503662361212206E7,1023307.0525388718,829914.0821549892,1076.576757027043
48,2.719804403565669E7,1112902.9633393288,965754.161203146,819.0049321664706
49,2.6925908271668673E7,1106949.6424570084,1015262.8198091984,510.9329311860932
50,2.7169527654118538E7,1112461.3525710106,1028757.3735547066,468.72691309716964
51,2.2317054341875315E7,914167.9290864468,786070.6474411488,712.6747853226133
52,2.7217647787062645E7,1116512.726257801,1026422.1430101395,502.86571987867353
53,2.7203786368978024E7,1109625.7031030655,999888.7064256668,609.8923794839119
54,2.7114374664659977E7,1106262.0050477982,888949.9402966499,1211.6971093244022
55,2.7000954677325964E7,1104133.5683541298,890193.1252067089,1189.5370760705734
56,2.698546868733406E7,1102592.183776617,989696.2159895897,630.508539847533
57,2.7149058190534115E7,1110790.8647136688,866087.6711597443,1361.367285303275
58,2.7133269666327477E7,1108980.8133516312,991394.9117293358,657.9409925513798
59,2.7549085782851696E7,1128093.6893167496,932640.5036959648,1085.9320022371082
60,2.6930603667405605E7,1103639.3620774746,933605.443434,948.9790437367228
61,2.70988412039032E7,1112939.1282112598,952764.457474947,891.2605164382193
62,2.7078444362612963E7,1110201.8981721401,910918.5786001682,1108.2272341344087
63,2.6987036099110365E7,1104824.3415853977,905686.235948801,1107.686796462536
64,2.7578348344243765E7,1130059.82969594,912714.5681531429,1209.740412852499
65,2.945361542054653E7,1203670.6423602104,1035424.2863943577,936.6718229757415
66,2.6947161176053286E7,1103428.2185695171,978547.6967790127,697.3657183183566
67,2.72242417100749E7,1117055.0857453346,899945.5172040462,1210.4276692628857
68,2.6992927650289774E7,1101528.44186759,970042.6945416927,733.2530628323556
69,2.680396940686226E7,1095840.1522336006,1021278.9221427441,415.6287086407344
70,2.697192719019699E7,1104768.093524456,953298.5246319771,843.4572797629569
71,2.6952636555050135E7,1103104.867575407,949759.2261250019,852.9719682547782
72,2.720789484554243E7,1113044.490847826,890553.2051968575,1236.467497531573
73,2.692389297223258E7,1098896.3060779572,1001912.0279140472,538.8838061160512
74,2.6908813768523693E7,1097837.150940895,869950.2345654964,1266.4367286695372
75,2.689535980428791E7,1098383.1436011791,885814.1003236771,1182.094272289011
76,2.6707413230911493E7,1093768.2630565166,1052236.7639679909,233.28028185764953
77,2.713721189909506E7,1112401.3729875088,954215.9678912163,882.8582952671583
78,2.9700649368290186E7,1214921.6806342602,982911.2466597557,1292.7427656756508
79,2.6766179220810413E7,1097274.9005198479,887454.6693401337,1166.3832082059648
80,2.6826384821877003E7,1099403.743206501,892122.1528623104,1153.767678436968
81,2.673491180675721E7,1093976.8998560905,960390.8818016052,744.4916317807305
82,2.6799473233600855E7,1100452.4276344776,896654.3565354347,1133.8725741346675
83,2.67081045436337E7,1091646.7784731388,897421.711277008,1079.4522677659986
84,2.669608514188218E7,1093582.5532751083,1025451.437369585,379.80354849100104
85,2.6679369857068777E7,1090769.4424419403,977495.8764503002,630.2164767053392
86,2.6667886164311647E7,1093303.0312504768,873901.7907738686,1220.7962278127668
87,2.8812369911480665E7,1183847.5711767673,985144.7438361645,1105.265030186706
88,2.671448844000101E7,1095920.1574618816,954992.9162340164,784.820132109854
89,2.747385606189847E7,1127118.945506096,987936.0494141579,773.9117946200901
90,2.8424776281115532E7,1163836.281115532,1005092.5189378262,885.3444325817956
91,2.667192357153797E7,1091754.8641226292,877959.5697526932,1189.95249269406
92,2.665666786264062E7,1090518.060317278,897515.6009254456,1076.6642148282792
93,2.646872534456253E7,1085927.4678137302,1013658.362082243,403.676921055052
94,2.655554768836546E7,1089437.2302565575,955495.8181788921,749.9905643873745
95,2.6615396519102335E7,1091129.5596141815,956083.5929210186,750.827213670148
96,2.66027195475955E7,1085499.547595501,912058.2305061817,966.0599095927346
97,2.6513127031522036E7,1081677.50395298,943193.2197773457,769.8090577390459
98,2.64980019789536E7,1080547.7305893898,970224.8765251637,613.8681526462238
99,2.656083225185895E7,1085320.6706531048,962777.1937096119,681.810005513827
100,2.6974732446056604E7,1102405.1416435242,914126.8480696678,1046.9842196398313
