Resource utilization
Resource,Utilization %
Role 1,4
SYSTEM,0
Role 4,1
Role 6,0
Role 3,97
Role 2,129
Role 5,8

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1613.2029114411428,7.641931772232056,8231.251860141754,209716.37848734856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.962238396895236,0.04245517651240031,45.72917700078752,1165.0909915963807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Amend Request for Quotation,588.7595400044947,141.6867859363556,1037.8487632274628,47689.522740364075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2708863333583045,0.7871488107575311,5.765826462374793,264.9417930020227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
Analyze Purchase Requisition,383.3272578965063,240.38485836982727,536.8582439422607,88165.26931619644,0.0,0.0,0.0,0.0,21820.087360938734,0.0,224649.92350792885,5018620.093015909,2.129595877202811,1.3354714353879293,2.9825457996792264,489.80705175664656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
Analyze Quotation Comparison Map,1244.7531364607812,360.155704498291,2024.4554975032806,124475.31364607811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.915295202559893,2.000865024990506,11.246974986129336,691.5295202559893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,3045.927303343188,0.0,31734.986121416092,551312.841905117,1674.1290493419815,0.0,30480.54752755165,303017.35793089867,0.0,0.0,0.0,0.0,7.621819419821325,0.0,16.338663755522834,1379.5493149876597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
Approve Purchase Order for payment,322.792637488842,60.0,12089.17425251007,32279.2637488842,262.792637488842,0.0,12029.17425251007,26279.2637488842,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,3544.72953476429,361.1778612136841,18826.310220718384,354472.953476429,2973.6911425113676,0.0,18341.641474723816,297369.1142511368,575.0376143217087,0.0,20801.776291131973,57503.76143217087,3.172435512516233,2.0014383024639555,4.3132099204593235,317.24355125162333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1822.9889360547065,280.6978917121887,3398.3659200668335,182298.89360547066,0.0,0.0,0.0,0.0,37.04441068649292,0.0,2982.1565902233124,3704.441068649292,10.127716311415037,1.5594327317343817,18.879810667037965,1012.7716311415037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,14927.366193852424,3021.126160144806,38373.225182294846,1492736.6193852425,2668.7889369654654,0.0,25913.056591272354,266878.89369654655,1036.7121990251542,0.0,28490.32867693901,103671.21990251541,68.10320698270534,6.186997000376383,120.67338908910752,6810.320698270534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,384.7140903687477,31.229894161224365,1051.165706396103,38471.40903687477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.274601004097196,0.34699882401360405,11.679618959956699,427.46010040971964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,74523.25914437532,5743.663387537003,188917.95471644402,7452325.914437532,9303.667960805893,0.0,43654.85337686539,930366.7960805893,20829.600580830574,-86338.0,90826.38791251183,2082960.0580830574,362.33106213094135,13.944009013970692,962.3604067113664,36233.106213094135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
Pay Invoice,571.7781402993202,245.2587161064148,898.2863330841064,57177.81402993202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.176545223885112,1.3625484228134155,4.990479628245036,317.6545223885112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,264.85032378673554,126.28845834732056,418.470498085022,26485.032378673553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4713906877040863,0.7016025463740031,2.324836100472344,147.13906877040864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,9465.554937963485,0.0,46713.94740796089,946555.4937963486,9465.554937963485,0.0,46713.94740796089,946555.4937963486,3931.7084176325798,0.0,62379.912278175354,393170.841763258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,3993.9360469818116,432.58975410461426,30984.406113624573,399393.60469818115,2553.067957046032,0.0,30962.03858280182,255306.7957046032,750.7879140090943,0.0,28168.424373149872,75078.79140090942,8.004822721865443,0.12426406012641059,13.822487677468194,800.4822721865443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,26736.866949572563,3641.7186675071716,75931.99847579002,2673686.6949572563,3421.8829191303253,0.0,29914.87961626053,342188.29191303253,12802.474981632233,0.0,43090.17532014847,1280247.4981632233,129.5276890580124,20.231770375039844,292.609047167831,12952.76890580124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11917.182253373752,239.33807802200317,79278.74503135681,655445.0239355564,0.0,0.0,0.0,0.0,348.2455206177451,-3539.0,11328.667698144913,19153.503633975983,66.20656807429863,1.3296559890111288,440.43747239642676,3641.3612440864244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),48913.89924478531,243724.65761797904,477583.84387922287
Process Cycle Time excluding out of timetable hours (s),48913.89924478531,183553.0615692091,322576.960021019
Process Waiting Time (s),0.0,33679.6200712204,135057.05738306046
Accumulated Process Duration (s),48913.89924478531,243727.98252045154,477583.84387922287
Cost,239.35438948207437,667.1789354566602,1572.695601301723


Process Cycle Time (s) distribution
From,To,Count
48913,91779,2
91780,134646,12
134647,177513,15
177514,220380,11
220381,263247,21
263248,306114,17
306115,348981,6
348982,391848,7
391849,434715,3
434716,477582,6

Process Waiting Time (s) distribution
From,To,Count
0,13505,41
13506,27011,5
27012,40517,12
40518,54023,11
54024,67529,15
67530,81035,9
81036,94541,3
94542,108047,1
108048,121553,1
121554,135059,2

Accumulated Process Duration (s) distribution
From,To,Count
48913,91779,2
91780,134646,12
134647,177513,15
177514,220380,11
220381,263247,21
263248,306114,17
306115,348981,6
348982,391848,7
391849,434715,3
434716,477582,6

Process Cost distribution
From,To,Count
239,372,12
373,506,18
507,640,25
641,774,16
775,908,8
909,1042,9
1043,1176,7
1177,1310,4
1311,1444,0
1445,1578,1

In-timetable Cycle time (s) distribution
From,To,Count
48913,76279,2
76280,103646,8
103647,131013,10
131014,158380,9
158381,185747,19
185748,213114,24
213115,240481,13
240482,267848,7
267849,295215,5
295216,322582,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,274735.90572309494,227511.18208265305,0.0,675.4520326720344
2,247287.6876730919,216764.34253668785,0.0,564.4954041136637
3,158384.29465341568,139776.7801887989,0.0,571.789344382286
4,163065.61189842224,160394.7150697708,0.0,286.44883904192176
5,48913.89924478531,48913.89924478531,0.0,272.50350635449087
6,140173.0839471817,140171.0839471817,0.0,265.8154962672127
7,271003.110503912,222724.58766245842,0.0,1077.2292382664148
8,138193.15956664085,105331.21567511559,0.0,411.04520842631655
9,112565.88813567162,92230.65303635597,0.0,334.68193555540506
10,103297.8077905178,96032.70390105247,0.0,370.18629542324277
11,141843.68965291977,141841.68965291977,0.0,710.1638837708367
12,179284.66756629944,179282.66756629944,0.0,963.3295921550858
13,211502.6369330883,159284.23856139183,0.0,927.0388118770389
14,236525.3576142788,198375.43068385124,0.0,1144.5324317627483
15,136721.19420194626,113504.16787576675,0.0,631.4357665737472
16,109727.154722929,99600.49630737305,0.0,555.838405093882
17,154790.5042564869,154788.5042564869,0.0,420.61266715129216
18,137130.61839175224,137128.61839175224,0.0,454.6379060467084
19,155131.49805283546,101654.09231066704,0.0,536.238374139203
20,124293.6465716362,84910.51446509361,0.0,441.6148855858378
21,179218.75627970695,154949.37230038643,0.0,781.1718645903802
22,126426.57883834839,113946.7440059185,0.0,422.4185501509242
23,202742.97858834267,202740.97858834267,0.0,1049.0186010413697
24,105777.75421404839,105776.75421404839,0.0,551.2551459802521
25,173120.46596097946,173118.46596097946,0.0,563.2432208273148
26,477583.84387922287,198621.5608997345,75088.2421207428,684.4338010854193
27,456901.9013059139,207513.06558585167,26124.99057650566,1026.2032069749303
28,357909.2986166477,160425.872092247,56897.033680677414,514.4767768436008
29,415930.7881705761,189399.59521579742,42657.51687526703,547.4687275767326
30,436294.9630639553,265763.91723561287,72066.0377292633,664.1053503765002
31,386476.3225736618,227554.6425895691,114932.06025123596,505.9376649419467
32,342137.5920035839,205789.3645222187,68394.73292636871,765.2125015960798
33,398980.9233529568,284057.62124466896,76380.78271579742,1095.62999528514
34,439114.1918413639,318281.41341114044,66915.3970489502,1032.0265696406366
35,269422.7090165615,169542.598757267,53515.72390913963,549.656064151393
36,281875.0719461441,206012.75574827194,51679.7877266407,306.4605021278063
37,367464.309766531,308270.0440630913,89561.68780016899,1200.5237775550945
38,235168.74516677856,170755.31664419174,64165.02219700813,592.4581584586037
39,238826.25656747818,205135.26721978188,57362.27938914299,349.32788854704955
40,218915.48805260658,196552.73055958748,63002.740849494934,548.3066568348142
41,248069.62820529938,186183.16464853287,68111.37905955315,626.9513473033907
42,269068.6941931248,258761.8693599701,135057.05738306046,373.32113217115403
43,222280.54640841484,160352.8761587143,79637.87793540955,449.7087438967492
44,245248.09488677979,196985.18474960327,54433.52035331726,472.9785990926955
45,299866.5704317093,259596.741096735,56493.87998318672,884.4225832952395
46,227319.23536658287,205655.1507730484,55564.7598760128,673.5893359197512
47,233501.81910347939,227331.02416563034,48689.20867276192,725.0435707728069
48,222035.30268359184,222033.30268359184,43191.45388960838,719.5189820739959
49,205264.6417350769,205262.6417350769,34608.631428956985,652.5248782555262
50,285708.02594590187,233958.84006476402,33813.90051651001,996.9826930496429
51,249517.92487883568,213416.88339853287,32502.188890457153,796.829842654864
52,220415.80372357368,197016.2088611126,32017.970263957977,720.9077370815808
53,252728.621134758,244149.38789081573,27452.363719940186,1046.8861716654565
54,105006.7187948227,93084.41108632088,25387.045830965042,379.283599336942
55,107730.87340903282,98880.61388897896,34892.44375824928,358.05153440501954
56,245823.13287067413,193823.86463618279,0.0,771.3512909240193
57,256616.01899933815,217167.4569864273,0.0,819.073560406102
58,127267.32075762749,100440.35768079758,0.0,559.4884089231492
59,182815.08996844292,170144.69689774513,0.0,938.6320925209259
60,118526.39880871773,118525.39880871773,0.0,660.7866491357487
61,58362.46191215515,58361.46191215515,0.0,325.0532530175315
62,313147.4550693035,259144.4550693035,0.0,1280.6870524631606
63,172066.95346999168,130000.41154623032,0.0,616.4751486566333
64,214422.75243973732,185906.04105973244,0.0,900.3771635426416
65,132734.87907028198,118064.11110925674,0.0,519.2493757751253
66,119038.34380793571,119037.34380793571,0.0,550.9748289545377
67,165484.13418912888,165482.13418912888,0.0,809.2412159932984
68,427047.57395625114,202395.6504483223,54944.67605090141,285.1564404461118
69,470697.27139139175,196898.31693577766,39643.7730050087,574.4040933026208
70,369161.7996239662,165398.24423384666,39265.55421614647,514.6928962734011
71,385397.67667245865,197391.65754628181,61037.42055416107,239.35438948207437
72,312610.82857751846,121467.06891560555,46249.054792404175,418.95655187235934
73,437634.16119623184,266954.0686926842,107614.40159106255,498.3576068639755
74,325009.07735180855,149966.77829933167,45733.45171189308,580.3331964545782
75,303945.73080801964,166353.9956510067,40749.04789733887,1179.0990354471735
76,289477.13807058334,163013.34060573578,63165.76901292801,466.17236814763805
77,370579.24761343,203150.50962781906,69159.16484618187,554.7654667509926
78,258747.54471063614,168005.77473044395,52061.231014966965,378.3717498170005
79,247900.88651299477,163832.6246123314,73821.63995242119,500.8592771516906
80,335454.85264730453,272855.3056344986,44656.04437494278,807.8639386706883
81,300860.2422430515,187955.9304242134,74898.57866239548,596.8530428131421
82,290933.03409576416,229837.8661751747,39213.65440440178,1083.8942868550616
83,298401.2251160145,250241.14926838875,67146.04128265381,1011.1489989956222
84,308944.0303814411,272836.53950834274,88293.89399003983,1051.5476330770389
85,295868.87045645714,279806.8760485649,125445.21493816376,458.465240143405
86,265304.34516596794,222028.53288030624,56293.24699091911,505.9302866432402
87,262116.91682243347,211412.2516629696,91314.41894578934,431.5037469479773
88,271305.22959685326,178245.32539582253,31316.125641584396,745.1201543503338
89,234141.17401504517,209473.02730751038,60276.03349113464,387.0678617186016
90,280221.0472793579,270151.7346944809,56017.72005414963,858.5312263316579
91,272895.3169877529,223137.8834514618,38404.29094743729,1031.5488578107622
92,216065.34127044678,160438.91608810425,28408.87585425377,646.2215552621417
93,178316.66807103157,178314.66807103157,45087.370035648346,579.7244814236959
94,362615.8198287487,322576.960021019,23067.39269208908,1572.695601301723
95,173683.71073269844,139446.33922934532,20474.297560691833,664.3161222206222
96,223680.6656279564,205979.52095746994,26572.370490550995,1238.1296306504141
97,216652.47155499458,216650.47155499458,8443.2492852211,1012.0164716442426
98,140708.71845531464,140706.71845531464,8590.285476207733,571.475599079662
99,236843.62297821045,183298.77495861053,0.0,654.3630746377839
100,154315.72341513634,111887.63629388809,0.0,626.1368225455284
