Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,79
Role 2,109
Role 5,10

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1347.1020644407595,4.071624279022217,5332.023722410202,119892.08373522758,0.0,0.0,0.0,0.0,4.760258283507958,0.0,422.66298723220825,423.66298723220825,7.48390035800422,0.02262013488345676,29.622354013390012,666.0671318623756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
Amend Request for Quotation,607.5127767189493,12.6096830368042,1198.5612468719482,64396.35433220863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375070981771942,0.07005379464891222,6.658673593733046,357.75752406782584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Analyze Purchase Requisition,396.0200415515395,157.73811078071594,539.5226647853851,74847.78785324097,0.0,0.0,0.0,0.0,2.1772537925255993,0.0,265.7697751522064,411.50096678733826,2.200111341952997,0.8763228376706441,2.997348137696584,415.8210436291165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Analyze Quotation Comparison Map,1202.304527876377,379.9764382839203,2032.6047167778015,120230.45278763771,0.0,0.0,0.0,0.0,9.868099720478059,0.0,985.8099720478058,986.8099720478058,6.6794695993132045,2.110980212688446,11.292248426543342,667.9469599313204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1393.1462668712857,363.72304582595825,2863.3495573997498,286988.13097548485,0.0,0.0,0.0,0.0,1.6695103818930468,0.0,342.91913866996765,343.91913866996765,7.7397014826182575,2.02068358792199,15.907497541109722,1594.378505419361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,5.894887969493866,0.0,245.96425819396973,589.4887969493866,5.894887969493866,0.0,245.96425819396973,589.4887969493866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,560.3088934755325,360.58879351615906,772.5562217235565,56030.88934755325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1128271859751804,2.0032710750897724,4.291979009575314,311.28271859751806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1707.4726839399339,318.5642967224121,3372.6766600608826,170747.26839399338,0.0,0.0,0.0,0.0,6.755579538345337,0.0,675.5579538345337,675.5579538345337,9.485959355221857,1.7698016484578452,18.737092555893792,948.5959355221856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,12505.494732213021,794.7449235916138,21669.856265306473,1250549.473221302,0.0,0.0,0.0,0.0,835.92997661829,0.0,18640.22379732132,83592.997661829,69.4749707345168,4.415249575508965,120.38809036281374,6947.49707345168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,327.1541887879372,6.6628663539886475,1274.4347760677338,32715.418878793716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.635046542088189,0.07403184837765164,14.160386400752598,363.5046542088189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,70354.78236388922,4246.580954313278,161434.75291538239,7035478.236388922,0.0,0.0,0.0,0.0,17185.74329128742,-43138.0,82860.0,1718574.3291287422,390.85990202160684,23.592116412851546,896.859738418791,39085.99020216068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189
Pay Invoice,590.4462999248505,241.26307559013367,948.4882419109344,59044.62999248505,3.893621962070465,0.0,245.96425819396973,389.3621962070465,0.0,0.0,0.0,0.0,3.2586259886821125,1.340350419945187,4.85597933795717,325.86259886821125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,261.2738700151443,120.20059132575989,487.02833008766174,26127.387001514435,2.697966332435608,0.0,139.16721606254578,269.7966332435608,46208.95866631985,0.0,226226.93287968636,4620895.866631985,1.4365327982372706,0.6677810629208882,2.3047273119290668,143.65327982372708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1344.1498131251335,182.9097466468811,2346.078633546829,134414.98131251335,0.0,0.0,0.0,0.0,25.035088348388673,0.0,1494.6626195907593,2503.508834838867,7.467498961806294,1.0161652591493395,13.033770186371273,746.7498961806294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,27479.23489083767,1589.8510506153107,51879.354998111725,2747923.489083767,0.0,0.0,0.0,0.0,6072.475315647125,0.0,45324.281650066376,607247.5315647125,152.66241606020927,8.832505836751725,288.21863887839845,15266.241606020927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10687.945582133074,269.9001295566559,95371.36208319664,555773.1702709198,4.936232805252075,0.0,131.73701000213623,256.6841058731079,15992.307692307691,0.0,280800.0,831600.0,59.35005194071012,1.4994451642036437,529.8409004622035,3086.202700916926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),73000.66577839851,206150.04927213193,600528.3959445953
Process Cycle Time excluding out of timetable hours (s),61752.13030171394,152311.01917154551,289333.55943727493
Process Waiting Time (s),0.0,15.053317322731019,424.47802996635437
Accumulated Process Duration (s),73000.66577839851,206150.04927213193,600528.3959445953
Cost,278.0171757949723,709.9421849732796,1341.1862800015344


Process Cycle Time (s) distribution
From,To,Count
73000,125752,13
125753,178505,32
178506,231258,28
231259,284011,11
284012,336764,8
336765,389517,4
389518,442270,2
442271,495023,1
495024,547776,0
547777,600529,1

Process Waiting Time (s) distribution
From,To,Count
0,42,93
43,85,3
86,128,0
129,171,2
172,214,0
215,257,0
258,300,0
301,343,0
344,386,0
387,429,2

Accumulated Process Duration (s) distribution
From,To,Count
73000,125752,13
125753,178505,32
178506,231258,28
231259,284011,11
284012,336764,8
336765,389517,4
389518,442270,2
442271,495023,1
495024,547776,0
547777,600529,1

Process Cost distribution
From,To,Count
278,384,6
385,491,13
492,598,22
599,705,14
706,812,13
813,919,10
920,1026,10
1027,1133,5
1134,1240,4
1241,1347,3

In-timetable Cycle time (s) distribution
From,To,Count
61752,84510,8
84511,107269,12
107270,130028,14
130029,152787,17
152788,175546,19
175547,198305,12
198306,221064,10
221065,243823,4
243824,266582,3
266583,289341,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,224011.0774371624,174141.87054681778,0.0,724.9187654852868
2,207551.0158777237,203705.81987810135,0.0,936.1403446700838
3,137688.8649687767,137687.8649687767,0.0,537.9055391920938
4,92675.18157458305,74062.23919677734,0.0,374.924553879102
5,251763.7778763771,201643.00981640816,0.0,561.0865581366752
6,258101.71318936348,225437.58162283897,0.0,934.9911622285844
7,223393.8197965622,177655.1424126625,0.0,603.0974614395036
8,126766.14476919174,81472.89158964157,0.0,450.54857535759606
9,113614.99916672707,69548.76042461395,0.0,386.90556521945524
10,198461.69890260696,156792.53825569153,0.0,842.2675234013135
11,173094.2575378418,119093.2575378418,0.0,633.5377218868997
12,157676.4333770275,114303.0103187561,0.0,572.8018447809751
13,403341.0980710983,177112.16519141197,0.0,880.4422458913591
14,149854.53216052055,149852.53216052055,0.0,1067.4336945335067
15,371156.56103515625,216466.27093338966,34.15512824058533,1242.595219589604
16,122730.28583073616,122729.28583073616,0.0,683.805564110809
17,347361.57915377617,147199.51279473305,8.103271722793579,429.632277490033
18,347664.9437224865,232461.9437224865,1.911745309829712,1037.3640176415445
19,315694.440887928,155063.86651086807,398.8884160518646,582.2342038684423
20,301010.90114951134,94411.61837363243,11.275960206985474,524.9542927794987
21,287094.56688165665,201906.40639686584,57.50380802154541,889.4949283440909
22,273135.41366529465,179410.9843533039,37.991692304611206,1003.2887667126126
23,259208.2283835411,120459.77399349213,19.560922145843506,506.79778107139794
24,257903.66846323013,252258.53885102272,171.36812567710876,1015.2283461226357
25,318216.4328882694,264213.4328882694,0.0,1218.4665729443232
26,217263.92303872108,94742.38552188873,30.99426007270813,520.2030694696639
27,209165.68128585815,198289.31878972054,19.758904933929443,1052.5657790872788
28,190148.78786349297,152295.18217110634,54.434465408325195,647.663168697887
29,178323.417447567,93843.8828485012,131.73701000213623,400.3403421812587
30,160998.25190901756,118611.84823679924,38.98950409889221,549.3296658542422
31,147526.16372156143,142815.66147708893,424.47802996635437,790.4201964497566
32,219510.32925462723,169986.2440018654,0.0,880.2458523180751
33,118849.44224214554,91720.23701834679,64.18048810958862,509.70411892069694
34,191767.15781998634,179350.90801882744,0.0,537.3960243900617
35,207898.29192519188,207896.29192519188,0.0,695.1413725972176
36,163037.83723425865,148915.87946939468,0.0,847.9614621003469
37,160287.6380021572,160285.6380021572,0.0,575.7608181410365
38,221812.20167684555,213818.48870563507,0.0,925.0268570131727
39,236388.15505957603,236385.15505957603,0.0,1238.07476416164
40,197179.78806185722,145574.7178220749,0.0,597.0021087103421
41,188998.39798045158,134997.39798045158,0.0,635.6983711944686
42,92047.56721520424,92046.56721520424,0.0,329.3599827157126
43,153620.30200481415,153618.30200481415,0.0,859.14315262768
44,600528.3959445953,289333.55943727493,0.0,1341.1862800015344
45,211103.587348938,194587.34577560425,0.0,853.5752180496853
46,199756.1234357357,196643.27222394943,0.0,1003.3212411297693
47,194695.69749712944,140694.69749712944,0.0,651.7231727785536
48,260679.79636979103,206677.79636979103,0.0,1167.8520482116273
49,154801.01322507858,150566.41666722298,0.0,482.9303437948226
50,153639.98562169075,153637.98562169075,0.0,559.1374437610309
51,483791.1980025768,256988.19800257683,0.0,1244.045432480176
52,112880.52158021927,94693.3374812603,0.0,332.71166676547784
53,185057.72577118874,152204.39323925972,0.0,602.5766972753737
54,174821.6575601101,122820.69479227066,0.0,622.1397632267742
55,175379.10875582695,149133.01881432533,0.0,666.0110518362789
56,156482.06431937218,148671.0251569748,0.0,810.9074832850034
57,128723.62505459785,110092.65328192711,0.0,612.2081122226186
58,133624.8280441761,133623.8280441761,0.0,743.6328260964817
59,101016.41227984428,100436.43964242935,0.0,561.5948179099296
60,346081.16571068764,194680.6519124508,0.0,1122.5576487912072
61,333249.72207570076,117656.51106452942,0.0,657.4411080108749
62,88799.26352620125,88798.26352620125,0.0,494.4286354422568
63,309219.3328061104,103695.88775205612,0.0,579.245006688436
64,289687.03289699554,128458.09667038918,0.0,528.8302457822695
65,276283.42022562027,166256.7990782261,0.0,763.2628151191606
66,263488.00165867805,133289.06064891815,0.0,734.193573363622
67,248062.1751358509,183262.55863547325,0.0,868.8632029943997
68,235569.39928364754,163251.47382760048,0.0,882.003843208154
69,219865.70470380783,141025.1687965393,0.0,521.3900536285508
70,229160.1769182682,200060.30250668526,0.0,989.4905758659044
71,202139.21066594124,167672.0044541359,0.0,691.01155775653
72,178120.60317397118,95259.08281087875,0.0,278.0171757949723
73,169267.77845954895,169265.77845954895,0.0,773.4685185286735
74,161205.4717991352,161203.4717991352,0.0,854.8943863193194
75,145864.2875547409,145862.2875547409,0.0,766.1905001534357
76,126342.3156478405,79878.21536803246,0.0,443.94711221456527
77,203999.9364206791,180153.48690152168,0.0,1021.9861062394249
78,180482.1388680935,128033.16772890091,0.0,712.7125141832564
79,166500.20436406136,113491.0543563366,0.0,632.7656651722061
80,172125.56688451767,172123.56688451767,0.0,560.3880103813278
81,138630.97353363037,84629.97353363037,0.0,476.3292678183979
82,153208.00469183922,153206.00469183922,0.0,710.1137792454825
83,285955.2114658356,232153.86249876022,0.0,1191.1765948586992
84,209710.24245595932,209708.24245595932,0.0,1102.4588043570518
85,107396.54161214828,107395.54161214828,0.0,417.92215158144626
86,159984.38855552673,159982.38855552673,0.0,462.54517738024384
87,161155.74765729904,161153.74765729904,0.0,576.1868816892305
88,129863.12582564354,88861.42589354515,0.0,449.7631936324968
89,224165.75662732124,171679.94994783401,0.0,754.617808508873
90,198450.3512020111,120015.93215632439,0.0,569.1154201997651
91,170939.57080745697,154514.72573328018,0.0,289.82983943091494
92,80457.50625109673,80456.50625109673,0.0,389.1547717915641
93,229093.85340189934,186188.726698637,0.0,734.8039061056243
94,73000.66577839851,72999.66577839851,0.0,405.72222740252806
95,216470.37777113914,213096.93035507202,0.0,987.0876170555752
96,101290.36823511124,61752.13030171394,0.0,344.83020338747235
97,197850.9078192711,166380.92263531685,0.0,766.1505600889525
98,418472.44036245346,194013.58893752098,0.0,976.6479127234884
99,79660.31854701042,79659.31854701042,0.0,429.7966014358732
100,132758.95451068878,114786.35529065132,0.0,595.4232907626364
