Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,45
Role 2,90
Role 5,2

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1893.564798238801,20.275523900985718,9154.367823123932,155272.31345558167,0.0,0.0,0.0,0.0,65.20939961584602,0.0,5347.170768499374,5347.170768499374,10.519804434660005,0.11264179944992066,50.85759901735518,862.6239636421203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
Amend Request for Quotation,606.8073492357046,0.0,1279.0108811855316,61287.54227280617,0.0,0.0,0.0,0.0,1.2529655801187647,0.0,126.54952359199524,126.54952359199524,3.371151940198359,0.0,7.105616006586287,340.48634596003427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Analyze Purchase Requisition,385.90053804235146,240.04787302017212,539.731837272644,70233.89792370796,0.0,0.0,0.0,0.0,1.0970328941450014,0.0,198.65998673439026,199.65998673439026,2.143891878013065,1.3335992945565118,2.9985102070702445,390.1883217983778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
Analyze Quotation Comparison Map,1162.4684315395355,364.4395170211792,2037.2516014575958,116246.84315395355,0.0,0.0,0.0,0.0,2.562772281169891,0.0,241.89618825912476,256.27722811698914,6.4581579529974205,2.0246639834509956,11.318064452542199,645.815795299742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1398.4712948668655,0.0,2461.238209962845,281092.73026824,0.0,0.0,0.0,0.0,5.095027063616473,0.0,1023.100439786911,1024.100439786911,7.769284971482585,0.0,13.673545610904693,1561.6262792679995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Approve Purchase Order for payment,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1280.4523188209535,0.0,7872.485124588013,128045.23188209534,1280.4523188209535,0.0,7872.485124588013,128045.23188209534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,558.4662110471726,363.88503980636597,768.4136152267456,55846.621104717255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1025900613731814,2.021583554479811,4.268964529037476,310.2590061373181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1754.453385014534,311.0611939430237,3379.709562778473,175445.3385014534,0.0,0.0,0.0,0.0,6.509178793430328,0.0,650.9178793430328,650.9178793430328,9.746963250080741,1.7281177441279094,18.776164237658183,974.696325008074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,12013.973824884892,1590.3701207637787,21426.52406859398,1201397.3824884892,0.0,0.0,0.0,0.0,640.1588647699356,0.0,17901.293790578842,64015.88647699356,66.74429902713828,8.83538955979877,119.0362448255221,6674.429902713829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,305.935202395916,3.7526233196258545,1086.7428104877472,30593.5202395916,0.0,0.0,0.0,0.0,2.50556343793869,0.0,158.95712757110596,250.55634379386902,3.3992800266212893,0.041695814662509496,12.074920116530524,339.9280026621289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,335210.9289888263,16746.543127298355,642204.7975952625,3.3521092898882627E7,240292.46370020867,0.0,515358.33918237686,2.4029246370020866E7,914092.1095793605,19023.466501951218,1771200.0,9.140921095793605E7,527.3248071589865,70.29975222216711,977.506183301078,52732.48071589865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182
Pay Invoice,2238.037444262505,17.256670713424683,9012.013481378555,223803.74442625046,1699.40600877285,0.0,8114.644726037979,169940.600877285,8.7378191781044,0.0,873.7819178104401,873.7819178104401,2.9923968638314142,0.09587039285235935,4.985381974114312,299.2396863831414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,506.9518019938469,124.55963730812073,4614.664519309998,50695.18019938469,245.02903072595598,0.0,4384.323175191879,24502.903072595596,0.0,0.0,0.0,0.0,1.4551265070438384,0.671613789929284,2.3223860727416143,145.51265070438384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,240786.62922614336,0.0,519373.4312415123,2.4078662922614336E7,240786.62922614336,0.0,519373.4312415123,2.4078662922614336E7,615168.0,0.0,1382400.0,6.15168E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,1380.4973966217042,162.2992386817932,2146.0175926685333,138049.7396621704,0.0,0.0,0.0,0.0,27.94525562763214,0.0,1626.7109353542328,2794.525562763214,7.669429981231691,0.9016624371210734,11.922319959269629,766.9429981231691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,29382.842993927003,2244.815512895584,52499.47162079811,2938284.2993927,0.0,0.0,0.0,0.0,5669.367755227089,0.0,40807.99534010887,566936.7755227089,163.23801663292778,12.471197293864357,291.6637312266562,16323.801663292777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9758.500694730546,192.37887120246887,43233.29181575775,439132.5312628746,1112.8484965165455,0.0,7575.91041970253,50078.18234324455,598.0597017394172,0.0,26912.686578273773,26912.686578273773,48.03140110118889,1.0687715066803827,240.1849545319875,2161.4130495535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),96901.01437330246,2172720.5413506245,2927648.7784867287
Process Cycle Time excluding out of timetable hours (s),74231.24712562561,643459.7517712641,881780.3073613644
Process Waiting Time (s),0.0,484804.76210810425,744650.2849998474
Accumulated Process Duration (s),97314.75959396362,2172725.8258389547,2927648.7784867287
Cost,261.91619815429044,845.9611137311196,1437.4951867368486


Process Cycle Time (s) distribution
From,To,Count
96901,379975,5
379976,663050,3
663051,946125,0
946126,1229200,3
1229201,1512275,3
1512276,1795350,6
1795351,2078425,4
2078426,2361500,23
2361501,2644575,29
2644576,2927650,24

Process Waiting Time (s) distribution
From,To,Count
0,74465,8
74466,148931,0
148932,223397,2
223398,297863,7
297864,372329,5
372330,446795,3
446796,521261,21
521262,595727,23
595728,670193,21
670194,744659,10

Accumulated Process Duration (s) distribution
From,To,Count
97314,380347,5
380348,663381,3
663382,946415,0
946416,1229449,3
1229450,1512483,3
1512484,1795517,6
1795518,2078551,4
2078552,2361585,23
2361586,2644619,29
2644620,2927653,24

Process Cost distribution
From,To,Count
261,378,4
379,496,12
497,614,13
615,732,8
733,850,13
851,968,11
969,1086,15
1087,1204,11
1205,1322,9
1323,1440,4

In-timetable Cycle time (s) distribution
From,To,Count
74231,154985,8
154986,235740,0
235741,316495,1
316496,397250,2
397251,478005,7
478006,558760,6
558761,639515,3
639516,720270,36
720271,801025,20
801026,881780,17



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1194827.48976326,363226.4897632599,179030.2973394394,948.9614113754697
2,233184.18197345734,125183.18197345734,21971.52138185501,576.353793794579
3,219124.66318249702,113918.14208078384,4481.123317241669,608.8067590832711
4,110775.65615415573,74231.24712562561,0.0,413.42706527312595
5,190862.4574561119,134263.41262245178,0.0,601.8474600235621
6,1125069.8234343529,345049.90830254555,176004.0256743431,912.9034224563177
7,502532.0620214939,153943.7955005169,29079.69812107086,641.7662802788947
8,1356959.6865873337,417358.6865873337,243355.0057246685,939.8684259361693
9,463629.04848980904,131325.6317601204,24407.061696767807,598.0445645080674
10,1827526.9562325478,545509.4646832943,285383.79163718224,1273.4022334151796
11,1379931.7390606403,417797.18777275085,247623.93230223656,801.6050728294585
12,96901.01437330246,77876.54787135124,0.0,351.2204471680853
13,1359654.1362922192,416820.8701131344,264101.599401474,848.8838085068597
14,1620155.506518364,454331.69339871407,252762.20547747612,1122.2221219499904
15,404056.558457613,123256.55845761299,29341.42240214348,521.7716037710508
16,1584185.0636782646,432952.7870094776,282607.34443068504,835.5886045296987
17,1901769.9894316196,545848.113420248,339949.0205748081,1147.246690914366
18,1556379.6828157902,438587.78260207176,307935.5729982853,727.8685325966941
19,1873535.7546682358,536544.331515789,329923.86937975883,1148.8798260807991
20,1092365.6468384266,314764.6468384266,235255.49996638298,442.1062932676739
21,1859421.8417682648,531873.9934988022,343442.0851314068,1048.769456601143
22,2369680.9836144447,662182.5194461346,460600.50982761383,1121.702400975757
23,2710267.816109419,750264.2791440487,526126.6821722984,1046.832562447919
24,2270549.8154108524,636534.6995532513,457336.4034216404,839.9372316002847
25,1789387.5238747597,519816.12644934654,374532.95410871506,740.1349895106421
26,1604849.5873577595,423469.91571617126,351836.1333799362,382.1055854505962
27,2882049.917342186,807995.2570188046,583411.3822684288,1246.3002450784047
28,1747339.025045395,507031.26108026505,429584.21570777893,431.5088029132949
29,2615032.1367185116,713528.5478286743,574848.1786408424,771.1789384563764
30,2248595.195574045,708805.8039934635,542051.924932003,698.972427573469
31,2927648.7784867287,881780.3073613644,661412.8528373241,1125.163296818733
32,2743749.922339201,784122.0699262619,628757.7904787064,864.7830929650202
33,2906858.3483667374,876676.7853431702,630835.2666323185,1363.6860416372613
34,2892067.5446989536,850173.786036253,652425.6435477734,1100.1599183532924
35,2879388.694037676,858992.4808323383,624613.886008501,1306.5290940682091
36,2857720.132108927,870276.9057912827,682416.9361236095,1045.6362835420503
37,2851166.6704530716,863965.6704530716,636551.0432446003,1265.7303716858228
38,2837888.3582139015,850687.3582139015,655976.6766963005,1082.9546086788177
39,2815409.076315403,828208.076315403,690412.2970991135,766.526116710239
40,2809423.263469696,825799.3897287846,617378.6428341866,1159.0292400691242
41,2813184.5391595364,844858.3232953548,726534.2214312553,658.7920056210625
42,2787950.0318512917,854749.0318512917,652782.6025121212,1037.8679739567965
43,2768128.1105201244,811511.5300860405,701099.3244497776,560.9306423929003
44,2754362.8976888657,802922.1722941399,744650.2849998474,261.91619815429044
45,2746337.4896171093,813136.4896171093,680492.6961624622,736.1622484975392
46,2731320.773995161,798120.773995161,588378.9207463264,1170.9667483819853
47,2723684.91623497,839657.3287320137,571636.1998093128,1362.170280792978
48,2704433.872875452,801459.3060028553,692635.3234112263,378.1159074611134
49,2689933.5542726517,785800.2377800941,573672.4708306789,1069.8381787591509
50,2675439.390810013,796238.3908100128,687114.3568024635,608.5916179736456
51,2656990.5290403366,777789.5290403366,619977.6043055058,877.8456727120612
52,2652720.463073969,796591.6301517487,623545.5236051083,961.6821741700173
53,2627571.948194504,776384.5603892803,642551.8223040104,521.2879026624893
54,2629275.3130557537,771934.5485696793,677619.6912622452,526.0960705306794
55,2600315.973113537,775114.9731135368,672684.7360303402,457.0569692956076
56,2592002.324504614,749424.7708008289,561690.3815226555,975.8282263120017
57,2576078.1322808266,750877.1322808266,569189.0917685032,982.3649794101716
58,2558382.8177115917,733182.8177115917,631372.8106188774,566.0864877767034
59,2545755.6501631737,742769.5420885086,638176.8258183002,581.3856341454718
60,2534358.84685874,734261.2466001511,548308.5129165649,1035.4550219787488
61,2519991.1812295914,733480.9120385647,568933.6728937626,915.16574281719
62,2505682.9491164684,725955.0379374027,637497.3020584583,494.13630028433266
63,2494676.0269813538,717931.9180428982,540843.6993174553,986.4508044640224
64,2478427.9691855907,726022.203015089,592433.8827834129,743.9521100918454
65,2463731.4006056786,709874.8716645241,629597.380907774,446.4170615845256
66,2452888.385631323,734623.5753457546,472067.4667403698,1378.264275738928
67,2437204.346035719,711310.6043255329,510886.28317785263,1033.6173415409191
68,2424268.343522072,695175.3664476871,586996.7579631805,518.2690538525582
69,2408985.3289027214,699704.0514903069,539932.1114788055,853.932346309556
70,2396408.1570613384,673826.4036340714,614378.6145431995,325.7832129001617
71,2382528.5108246803,709751.6778950691,630216.3569149971,445.25571021106504
72,2368092.666288376,708220.2156851292,474774.5630669594,1299.8306441956097
73,2359561.87880826,692191.8694255352,463824.03577303886,1269.3949292937912
74,2338843.7399306297,716565.3614332676,533371.3616185188,944.9972436189653
75,2323898.4367129803,713697.4571094513,612461.530143261,478.88631709416694
76,2310749.7678005695,711620.2958099842,630327.4428842068,446.433063952128
77,2298901.0878157616,717461.0659062862,533248.1274163723,1024.8497691750526
78,2283709.8190615177,702901.7011084557,472730.5608458519,1279.5648498482174
79,2271385.0549583435,682901.80219841,614296.9610733986,381.44444071584275
80,2255105.347785473,707540.8511981964,586231.1761496067,676.3145661897131
81,2266602.9906260967,722201.9906260967,463917.5390019417,1437.4951867368486
82,2228898.0339221954,684497.0339221954,592953.4928512573,508.7686800744798
83,2222255.5533173084,683115.8320786953,538573.6097123623,803.5087022291291
84,2201137.4873039722,662275.3238646984,443299.3660261631,1218.5873708552783
85,2186533.7763843536,671972.3185477257,515346.8826215267,739.6411614378294
86,2171681.0261688232,649244.2980647087,533402.0027902126,646.2696302546395
87,2159434.5076179504,659361.7224774361,524204.74625229836,728.1050570474731
88,2143245.1938943863,652844.1938943863,519930.37513422966,724.632936000824
89,2157183.094097376,666782.0940973759,466603.9113249779,1107.9045993897648
90,2115748.9707608223,637303.1308267117,472941.5956070423,914.3653091814783
91,2103285.738974333,632551.6520526409,488954.08372473717,798.2969974795978
92,2087684.840199232,651283.8401992321,557424.9956479073,426.8637778480848
93,2405167.057526827,674048.4086894989,485854.2853536606,1031.1721423334548
94,2474683.840898752,703482.8408987522,480329.4649679661,1238.5430324700142
95,2373632.663003683,667066.3301694393,486685.652769804,1002.1813992579779
96,2441775.3670425415,688048.7772269249,486933.49843001366,1117.689132041401
97,2452152.502350092,710768.0220661163,487057.9699165821,1039.20032189952
98,2420122.226940632,702921.2269406319,515358.33918237686,968.969675954183
99,2320906.711920023,643945.3093428612,492204.89735627174,794.2284955528049
100,2484732.83009696,719743.5410883427,501572.3161621094,1205.8719173073766
