Resource utilization
Resource,Utilization %
Role 1,6
SYSTEM,0
Role 4,0
Role 6,0
Role 3,87
Role 2,141
Role 5,6

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1770.2479000811775,7.211629390716553,8184.250425815582,169943.79840779305,0.0,0.0,0.0,0.0,1125.0,0.0,54000.0,108000.0,9.834710556006545,0.04006460772620307,45.468057921197676,944.1322133766283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Amend Request for Quotation,661.9633880138397,248.37618613243103,1033.8424561023712,66196.33880138397,0.0,0.0,0.0,0.0,6258.727255437374,0.0,226215.1747021675,625872.7255437374,3.677574377854665,1.3798677007357278,5.743569200568729,367.7574377854665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Purchase Requisition,382.5836198634031,240.03635787963867,534.9573831558228,74986.389493227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1254645547966837,1.3335353215535481,2.971985461976793,416.59105274015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Quotation Comparison Map,1124.3524169397353,372.22759079933167,2024.6558544635773,112435.24169397354,0.0,0.0,0.0,0.0,26009.95715498686,0.0,226800.0,2600995.715498686,6.246402316331864,2.0679310599962872,11.248088080353208,624.6402316331863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,5258.190337742567,241.01445960998535,31684.266669988632,1051638.0675485134,3923.991336015463,0.0,30491.73684644699,784798.2672030926,0.0,0.0,0.0,0.0,7.4122166762616875,0.014639222621917724,15.36478675338957,1482.4433352523374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Approve Purchase Order for payment,784.7503441357612,60.0,11772.651536464691,78475.03441357613,724.7503441357612,0.0,11712.651536464691,72475.03441357613,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,2264.769483003616,363.0040473937988,15433.201138734818,226476.94830036163,1709.3685622119904,0.0,14940.979569673538,170936.85622119904,273.72966163873673,0.0,10564.546376943588,27372.966163873672,3.085560671064587,1.194732035530938,4.330258707205455,308.5560671064587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1895.8560456466676,440.1397259235382,3475.3896226882935,189585.60456466675,10.2,0.0,120.0,1020.0,47585.55534976482,0.0,218856.71497774124,4758555.534976482,10.475866920259264,2.4452206995752124,18.974386792712743,1047.5866920259264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,14628.644680781365,2841.9125311374664,38451.043677806854,1462864.4680781364,2667.8260966563225,0.0,19451.52909564972,266782.60966563225,703.2586555433273,0.0,17529.07300043106,70325.86555433273,66.448992134028,10.961010518338945,121.20103231668472,6644.8992134028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,298.708854804039,18.362428665161133,1534.9929299354553,29870.8854804039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.318987275600433,0.20402698516845702,17.05547699928284,331.8987275600433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,89910.14476840972,8512.01300907135,177957.1973118782,8991014.476840973,7380.555602221489,0.0,50688.26474261284,738055.5602221489,17571.70409451246,-86398.0,105823.63647150993,1757170.4094512463,458.49771758993467,8.682244120703803,965.0052023066414,45849.77175899347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Pay Invoice,577.5414563632012,254.90004134178162,898.0803005695343,57754.145636320114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2085636464622285,1.4161113407876758,4.989335003164079,320.85636464622286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,64.8,60.0,120.0,6480.0,4.8,0.0,60.0,480.0,59100.15055301905,0.0,223328.49790501595,5910015.055301905,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,274.4856160497665,124.1579327583313,416.86072516441345,27448.561604976654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5249200891653691,0.6897662931018406,2.315892917580075,152.49200891653692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,6645.695283925534,0.0,35751.502094984055,664569.5283925533,6645.695283925534,0.0,35751.502094984055,664569.5283925533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,4539.18385992527,361.40119218826294,26379.85124540329,453918.385992527,3118.991896429062,0.0,25246.36860728264,311899.1896429062,6.808777422904968,0.0,680.8777422904968,680.8777422904968,7.889955352756712,1.2239003592067295,14.149341612392002,788.9955352756713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,29109.0243989563,1236.5178663730621,60618.24293589592,2910902.43989563,3086.9989996385575,0.0,25941.7575404644,308699.89996385574,7038.278769612312,0.0,37936.27279829979,703827.8769612312,144.56680777398748,2.0363595883051553,289.9310361319118,14456.680777398748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9795.366308784485,185.65029859542847,33193.70858120918,440791.4838953018,0.0,0.0,0.0,0.0,1422.0856979793973,0.0,35597.806171417236,63993.856409072876,54.41870171546934,1.0313905477523804,184.4094921178288,2448.8415771961204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),93369.25901317596,336421.6268264318,577511.3547432423
Process Cycle Time excluding out of timetable hours (s),71868.81810259819,194342.87870124818,349512.01686906815
Process Waiting Time (s),0.0,33197.16945724964,126255.07523393631
Accumulated Process Duration (s),93369.25901317596,336421.6268264318,577511.3547432423
Cost,247.26626289420662,762.5280965997641,1382.826580748293


Process Cycle Time (s) distribution
From,To,Count
93369,141783,5
141784,190198,6
190199,238613,9
238614,287028,14
287029,335443,16
335444,383858,14
383859,432273,16
432274,480688,8
480689,529103,9
529104,577518,3

Process Waiting Time (s) distribution
From,To,Count
0,12625,34
12626,25251,10
25252,37877,21
37878,50503,8
50504,63129,6
63130,75755,8
75756,88381,9
88382,101007,1
101008,113633,2
113634,126259,1

Accumulated Process Duration (s) distribution
From,To,Count
93369,141783,5
141784,190198,6
190199,238613,9
238614,287028,14
287029,335443,16
335444,383858,14
383859,432273,16
432274,480688,8
480689,529103,9
529104,577518,3

Process Cost distribution
From,To,Count
247,360,7
361,474,14
475,588,16
589,702,8
703,816,11
817,930,11
931,1044,12
1045,1158,9
1159,1272,9
1273,1386,3

In-timetable Cycle time (s) distribution
From,To,Count
71868,99632,9
99633,127397,5
127398,155162,10
155163,182927,14
182928,210692,22
210693,238457,14
238458,266222,19
266223,293987,4
293988,321752,2
321753,349517,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,235074.26735544205,187311.26735544205,0.0,1042.275157707267
2,209372.94848799706,172916.83723974228,0.0,828.6254675070446
3,226670.21245121956,194680.9307808876,0.0,1089.619287800789
4,93369.25901317596,87688.71644806862,0.0,736.6130126953126
5,174606.94177246094,157295.13940882683,0.0,247.26626289420662
6,151590.20311832428,91349.11692094803,0.0,303.67051575183865
7,483630.9055547714,223415.94570684433,0.0,1031.6213706321187
8,143447.01855945587,107382.83351778984,0.0,410.9840418497721
9,111735.07895803452,89643.8431391716,0.0,302.00460581382106
10,200646.17829990387,162522.2345237732,0.0,795.4013883286054
11,426816.5416929722,223387.07189035416,0.0,1076.6679513083561
12,415757.09992933273,203222.44070005417,0.0,1168.7198005066975
13,139620.8724064827,71868.81810259819,0.0,400.9754613651169
14,385332.87097358704,223200.7714304924,0.0,1280.4438829845853
15,112039.30463290215,78620.9933757782,0.0,437.7626840485467
16,97452.59221982956,87052.75202226639,0.0,819.3304651459059
17,353728.8764305115,251180.6552274227,60.0,1382.826580748293
18,328963.06794142723,126307.99057912827,0.0,503.3202262851927
19,314955.16284298897,201466.64405465126,0.0,1040.418784534931
20,319790.31580877304,246189.92577552795,60.0,1193.6411280579034
21,300539.54968237877,106088.62615394592,0.0,378.7866444150606
22,275012.3218100071,197389.43649077415,60.0,1007.4644990669358
23,259535.51780962944,209085.6543006897,60.0,983.7822561687894
24,245287.12097859383,149229.30905532837,0.0,685.1942198223538
25,532454.5974245071,256795.1918272972,27417.53862428665,1294.7210972348848
26,418107.5949494839,201852.57325387,36576.64927268028,531.1700767848228
27,404368.45048832893,191743.36855983734,35613.612895965576,888.8583037760523
28,390273.95705103874,136977.17988038063,60471.5433511734,332.51079199181663
29,424111.80309414864,239261.83865070343,44734.598814964294,1097.942602119181
30,525203.133985281,285902.72632336617,70016.97208237648,920.8592885626688
31,419379.81247234344,271023.8696322441,66262.2721221447,1062.8598917656473
32,361388.9229750633,218262.22066164017,47956.82734131813,909.2155598282814
33,325458.3709373474,186855.2111685276,51291.06965661049,326.41400068865875
34,381021.9739239216,206622.85909438133,62043.350910663605,425.302097831832
35,364342.6367845535,247061.94607901573,28334.29825091362,751.8696197337575
36,349003.02359318733,198640.96559643745,88284.13531923294,614.0657766077254
37,334961.732247591,176717.08425307274,52129.260665893555,359.1909941938188
38,284845.75468850136,203537.56987023354,87588.95448422432,637.9925295074781
39,241238.69926142693,202989.05547904968,35556.781656980515,950.2606958919102
40,222200.2338359356,183634.37162327766,58825.79853653908,442.0039859493573
41,317094.70119667053,245352.8421356678,70339.82689380646,564.0762110431991
42,193818.22118878365,129256.11004543304,79097.29223489761,279.6189310921563
43,359012.05877542496,260908.37307667732,30759.698624134064,1130.4498934017288
44,238134.40537405014,149484.52417087555,29226.16065788269,555.6215018643275
45,317740.9279098511,246075.6697165966,34323.54951429367,1015.591392838955
46,282746.8208434582,206088.6682882309,30733.544091701508,976.519906045331
47,194772.66468024254,145633.99432730675,37952.490544080734,594.5107257975473
48,254353.76562428474,194740.67432928085,20107.104261636734,971.0910582304002
49,499673.6585345268,222433.12786889076,34280.929473400116,862.1046739406057
50,486213.2070696354,261424.51275968552,39182.73042726517,892.2711125148668
51,471518.0748221874,172235.4799182415,17467.540841817856,863.0480271220209
52,198516.7089598179,166398.96552562714,26988.628868341446,598.2035179416339
53,184844.83417344093,127964.42094278336,32381.309368610382,539.5450250228247
54,177974.56897330284,142583.7420361042,24128.859996795654,538.4228709883159
55,163419.36491274834,132176.80539798737,21981.086896657944,516.2151791016261
56,406308.3905212879,241620.5084989071,36070.26273036003,783.1520460459922
57,396082.6136982441,231880.42727422714,60.0,1237.5526678813826
58,373640.33524775505,230618.05254721642,32959.855085372925,750.5757495840392
59,360172.0704240799,223951.8711361885,8901.217225790024,1186.173814499378
60,345969.107465744,90555.53777909279,3437.500111579895,488.6219179749488
61,332078.2055914402,111381.99920654297,871.923681974411,405.9164418816566
62,512326.44277238846,185627.5679409504,27667.586292505264,849.6046290530098
63,303955.0598742962,177656.16144037247,2033.9870011806488,409.6302213231722
64,289850.08551335335,149353.8328576088,4722.310015439987,804.3029834495651
65,276003.48630309105,80932.75391340256,115.87237071990967,409.3681402643522
66,348137.96708130836,110745.04686045647,8357.616183042526,550.1313955412971
67,247735.3949790001,81208.56256985664,5507.39987206459,371.72770283619565
68,453117.88811683655,240052.41557765007,18277.687942028046,1252.8830699880916
69,509873.266497612,225047.8257341385,69211.5870873928,742.0127473778194
70,436049.787091732,214295.26248335838,64757.746833086014,669.6713002363842
71,577511.3547432423,317307.2051985264,113120.94359397888,832.3759390619066
72,385031.42545080185,208280.9655497074,26350.788459300995,603.5051447855102
73,436001.41654229164,165784.27063703537,97085.32694673538,383.880416601234
74,349668.9509792328,171924.56754040718,81574.15191936493,479.99257545073823
75,339153.9940290451,157499.9480419159,39165.43122673035,542.3629465036921
76,334790.92411613464,160275.9049165249,46422.94714283943,491.1437067071597
77,406404.71205735207,290039.6139924526,59309.19222998619,1217.0321365051798
78,330784.001891613,237939.53756022453,31009.367992162704,474.882613523801
79,278866.83398246765,150173.3467104435,67266.48591399193,431.926550745964
80,268871.61277890205,204167.53525733948,20111.04763650894,513.1920436633957
81,254887.17340016365,204116.6259009838,23704.703087091446,588.5602593183517
82,425387.9712896347,295606.9337141514,82817.54564023018,1075.4548465556568
83,307653.574911356,227764.66368460655,33620.35354375839,1009.4036988695462
84,282230.1184720993,162770.81505155563,78947.10161828995,466.8077668348948
85,380635.2740368843,263077.6585621834,111316.50451183319,576.8030894425182
86,364287.86055731773,349512.01686906815,126255.07523393631,878.1084523095027
87,572950.5082197189,253422.550481081,79674.19115829468,569.8215450286865
88,243048.28350234032,162863.29865646362,38317.983070373535,684.8997534036638
89,321022.9064552784,235858.45677375793,78767.78753089905,704.8261139816709
90,312159.23513126373,252784.5800127983,78253.18594789505,808.8317760838404
91,527344.7989735603,254380.4111814499,28008.146527290344,1125.7470468057527
92,502532.02430057526,257881.4265346527,33858.20966434479,1205.5907967236303
93,488868.8881866932,242833.79351329803,22949.11891722679,1262.4097384320366
94,474760.3378946781,278437.3838582039,72309.6373989582,942.8166954663067
95,460389.0343616009,202448.9243540764,19182.860600948334,1058.4477906280092
96,449663.10329151154,195540.15940999985,23241.95744085312,996.971165072918
97,436573.364593029,168617.95633983612,39564.621792793274,718.9096642944548
98,418725.29899406433,243190.16500735283,63160.490721940994,793.9606075670985
99,405197.78573799133,221127.60731840134,11936.797772407532,1202.993581887086
100,392290.90310287476,244597.82498311996,27168.0213701725,1109.8833349320623
