Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,8
Role 2,11
Role 5,49

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,38138.028341884514,135.55538725852966,71284.17506408691,3737526.7775046825,36481.87880689757,0.0,69458.65421748161,3575224.123075962,894473.8775510204,0.0,1689600.0,8.765844E7,9.200830749927468,0.014210293028089736,48.23102285861969,901.6814134928918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
Amend Request for Quotation,30849.629776008926,115.68008923530579,70530.52742934227,2776466.679840803,30186.86773425473,0.0,69840.43293356895,2716818.096082926,728722.6666666666,0.0,1696800.0,6.558504E7,3.6820113430788486,0.6426671624183655,6.921035631497701,331.3810208770964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
Analyze Purchase Requisition,386.7217397954729,242.34851169586182,621.5028882026672,76570.90447950363,1.6714986466398143,0.0,137.89172792434692,330.9567320346832,7587.878787878788,0.0,158460.0,1502400.0,2.1391680063824055,1.3463806205325657,2.9967001663313972,423.5552652637163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Analyze Quotation Comparison Map,27560.1285580492,393.56300377845764,70723.39439535141,2756012.85580492,26409.723359987736,0.0,70164.06959056854,2640972.3359987736,652248.6,0.0,1646340.0,6.522486E7,6.391139989230367,2.1864611321025427,11.328755040963491,639.1139989230367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,30931.586856311245,398.40704464912415,172478.43323802948,5877001.502699137,29585.221481913013,0.0,171353.7507250309,5621192.081563473,717647.3684210526,0.0,4060140.0,1.36353E8,7.4798076355457335,0.6552794615427653,14.706379187107085,1421.1634507536894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
Approve Purchase Order for payment,22380.821780228616,60.0,166866.24958896637,2238082.1780228615,22320.821780228616,0.0,166806.24958896637,2232082.1780228615,528211.8,0.0,3905280.0,5.282118E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,79440.69515646696,0.0,260591.63230323792,7944069.515646696,79440.69515646696,0.0,260591.63230323792,7944069.515646696,1859130.0,0.0,6124380.0,1.85913E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,18897.720648527145,0.0,65807.2163131237,1889772.0648527145,18897.720648527145,0.0,65807.2163131237,1889772.0648527145,443303.4,0.0,1570740.0,4.433034E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,66143.50280745984,384.01290106773376,167474.9674141407,6614350.280745983,65558.14383737325,0.0,166851.54991436005,6555814.383737326,1546026.0,0.0,3905280.0,1.546026E8,3.251994278258747,2.0163704024420843,4.326282870769501,325.1994278258747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,32123.119737024306,313.059889793396,72145.9711689949,3212311.9737024307,30375.41468346596,0.0,70614.48136138916,3037541.4683465958,749779.5195108986,12857.475473165512,1661604.190819025,7.497795195108986E7,9.709472519768608,1.6737022174729241,18.86539726389779,970.9472519768609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,42266.03796439886,2717.431589603424,171421.3595573902,4226603.796439886,30338.380427520275,0.0,151572.40915560722,3033838.0427520275,996296.4,43260.0,4009680.0,9.962964E7,66.26476409376994,13.254037521945106,120.08136767016516,6626.476409376994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,304.2242788004875,9.77544379234314,1325.9822623729706,30422.427880048752,0.3516643261909485,0.0,35.16643261909485,35.16643261909485,5295.0,0.0,158460.0,529500.0,3.3763623830477396,0.108616042137146,14.733136248588561,337.63623830477394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,270817.8414946461,15179.80223608017,542944.7012488842,2.7081784149464607E7,182688.10883728266,0.0,438440.98179244995,1.8268810883728266E7,6338858.4,255840.0,1.275678E7,6.3388584E8,489.60962587424126,65.26775741179785,980.3946648279826,48960.962587424125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198
Pay Invoice,51380.6022873044,249.33846139907837,261819.12898612022,5138060.22873044,50798.808071656225,0.0,261345.32384991646,5079880.807165623,1199884.8,0.0,6174840.0,1.1998848E8,3.232190086934303,1.3852136744393242,4.96191439098782,323.2190086934303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,469.3220456266403,60.0,40035.22118425369,46932.20456266403,409.3220456266403,0.0,39975.22118425369,40932.20456266403,9547.2,0.0,857460.0,954720.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,33650.91728317022,126.67440366744995,252623.58410024643,3365091.7283170223,33389.888131530286,0.0,252423.48666238785,3338988.8131530285,805807.8,0.0,5872260.0,8.058078E7,1.4501619535552135,0.7037466870413887,2.317062587208218,145.01619535552135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,217942.00556045532,0.0,447575.69540429115,2.1794200556045532E7,217942.00556045532,0.0,447575.69540429115,2.1794200556045532E7,5090940.0,0.0,1.049082E7,5.09094E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,34935.50733703136,634.61754322052,156562.75214123726,3493550.7337031364,33511.27810446024,0.0,155025.19705462456,3351127.810446024,815269.8,0.0,3732240.0,8.152698E7,7.912384625395143,3.132879564497206,12.569387311405606,791.2384625395143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,92572.87958456994,17899.575444698334,216432.920419693,9257287.958456993,59159.15319818258,0.0,169778.64105296135,5915915.319818258,2165094.0,425160.0,5065320.0,2.165094E8,185.6318132577075,83.31668835083643,290.40655444728003,18563.18132577075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,83585.10499998309,659.0960202217102,260909.02159547806,4430010.564999104,73505.5628021843,0.0,251784.15056538582,3895794.828515768,1943309.433962264,0.0,6146040.0,1.029954E8,55.99745665443767,2.7252324806319344,173.79328645070393,2967.8652026851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6116327.884708643,2.8306496610329878E7,3.580415140472674E7
Process Cycle Time excluding out of timetable hours (s),249566.73717093468,1159861.0908189917,1467949.4343669415
Process Waiting Time (s),133134.3209848404,1009333.4163667917,1344976.357029438
Accumulated Process Duration (s),6116327.884708643,2.8306496610329878E7,3.580415140472674E7
Cost,327.5006076335906,837.953039259301,1485.0421820574336


Process Cycle Time (s) distribution
From,To,Count
6116327,9085109,1
9085110,12053892,4
12053893,15022675,5
15022676,17991458,7
17991459,20960241,11
20960242,23929024,6
23929025,26897807,5
26897808,29866590,0
29866591,32835373,0
32835374,35804156,61

Process Waiting Time (s) distribution
From,To,Count
133134,254318,3
254319,375503,5
375504,496688,1
496689,617873,5
617874,739058,14
739059,860243,10
860244,981428,1
981429,1102613,0
1102614,1223798,14
1223799,1344983,47

Accumulated Process Duration (s) distribution
From,To,Count
6116327,9085109,1
9085110,12053892,4
12053893,15022675,5
15022676,17991458,7
17991459,20960241,11
20960242,23929024,6
23929025,26897807,5
26897808,29866590,0
29866591,32835373,0
32835374,35804156,61

Process Cost distribution
From,To,Count
327,442,6
443,558,16
559,674,12
675,790,14
791,906,12
907,1022,9
1023,1138,13
1139,1254,10
1255,1370,5
1371,1486,3

In-timetable Cycle time (s) distribution
From,To,Count
249566,371404,1
371405,493243,4
493244,615082,5
615083,736921,7
736922,858760,11
858761,980599,6
980600,1102438,5
1102439,1224277,0
1224278,1346116,0
1346117,1467955,61



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9453230.206894398,391669.20689439774,207846.26810956,1023.4126004722384
2,1.3018255968635082E7,536085.8274848461,303530.47307920456,1294.8186690727869
3,1.4429265836755753E7,593188.361282587,352974.94059443474,1335.6841346912913
4,1.0274214875209093E7,418159.7534365654,223461.00454878807,1083.902307709058
5,6116327.884708643,249566.73717093468,133134.3209848404,647.5973927881984
6,1.1520811874331713E7,476154.0083408356,323821.7503607273,847.5678630842103
7,2.3432363946902037E7,961442.5614156723,837337.1859302521,691.112469620175
8,1.4360536671451569E7,590189.8221371174,382100.5369849205,1156.351237475872
9,2.0851535932848692E7,857950.0560235977,685212.9609823227,963.3828344199394
10,3.51024448251431E7,1441170.11522007,1329739.6788682938,619.9685744987594
11,3.535188347652435E7,1451463.5929021835,1290793.733452797,894.7612366318705
12,1.7208265885679245E7,709225.3814251423,564536.8714969158,805.8581044250064
13,3.5234742877394915E7,1440217.5799458027,1308826.2058429718,732.6563665681416
14,1.9440273329351664E7,793736.9678957462,714795.1467268467,439.67571455240244
15,1.8276182545625687E7,747432.9691808224,645167.1701686382,568.1976358665361
16,1.798299106411791E7,736264.0508372784,646993.6975824833,496.32654933399624
17,1.3746089839040041E7,561091.1681444645,361122.56904768944,1112.5049075126644
18,3.5512556821423054E7,1451968.932570219,1184975.8465270996,1485.0421820574336
19,2.4255537383082867E7,991615.2737379074,853327.0441615582,769.7138840980001
20,3.518452528095889E7,1441535.2081451416,1257409.8422429562,1025.2487199611135
21,1.5539107334040403E7,634571.2186665535,513964.01410651207,671.9941710220444
22,2.424821639688778E7,992959.0881705284,840869.6016495228,845.8513827456368
23,9314334.372234106,378883.9875495434,290823.6623930931,489.8214921593666
24,2.097889403640294E7,862751.0075933933,648311.6000106335,1191.7532871272826
25,1.8149939554677963E7,743454.5692894459,621719.4777882099,677.8369487139914
26,2.2332296161322355E7,914551.4344165325,673152.7325985432,1341.3353182633716
27,2.458157679070449E7,1006688.5144071579,920114.9893021584,481.9303527262475
28,1.8515947636664867E7,759657.0418577194,679315.6178529263,446.5821367118093
29,1.4699991331923485E7,600405.6202600002,515425.8298370838,472.2461755130026
30,2.0540679745527506E7,840893.3521950245,766239.9287724495,416.9745444721645
31,3.4769782685714245E7,1419786.7285518646,1328429.6732468605,509.57386660575867
32,2.4494663602241516E7,1002260.0873470306,811376.606140852,1062.2398223453097
33,3.580415140472674E7,1464556.5968658924,1205409.40558362,1440.0055728952088
34,3.467451097340417E7,1418667.9850301743,1185982.7592616081,1294.1252586298515
35,2.0480895370957136E7,842290.9611480236,746225.7825427055,534.1656962725851
36,2.443558883035302E7,1001419.9778094292,810711.9366664886,1061.758004044162
37,2.062626259859228E7,842742.143453598,767788.8312423229,417.1281097465091
38,3.4693313977086544E7,1425417.4212727547,1210309.845618248,1195.6578925198976
39,3.468274006379032E7,1422830.6762750149,1307155.3271028996,643.0901927497653
40,3.4673414110673666E7,1423883.060930729,1208836.7609632015,1196.6239098125031
41,3.5799908101575375E7,1467949.4343669415,1285810.1597943306,1012.5682898667125
42,3.567391565031743E7,1460617.3257808685,1329649.0266423225,728.7773644619518
43,3.460370134774208E7,1422397.8288543224,1342859.6549506187,442.3226860192087
44,1.7644350596683025E7,723174.0758309364,598275.7654561996,694.2914060380724
45,1.7553989363364458E7,721679.0354270935,621093.663285017,559.3131275018056
46,3.4827622718235254E7,1432021.9034564495,1292788.3019156456,775.2695644683309
47,1.7620229294974566E7,722368.6157729626,609090.7831742764,630.7881497899691
48,1.6668193195262194E7,685333.5499978065,626611.7826957703,327.5006076335906
49,3.562126816703367E7,1459169.1838407516,1318482.2253677845,782.050320295493
50,3.534454699379897E7,1450047.7965683937,1247144.5127584934,1131.424596654044
51,3.4984653022361755E7,1426871.1270251274,1276478.2296128273,836.3651093734636
52,3.488619502416992E7,1426270.4077796936,1253250.6553413868,966.5859754019314
53,3.4723761669941664E7,1420126.0935294628,1235907.2100875378,1026.186939573288
54,1.8877563700092793E7,769282.3197550774,630650.7923898697,773.970889921983
55,3.5465593729583025E7,1451189.9722516537,1255400.6963334084,1090.5720812055797
56,2.0065841075706005E7,818823.9584665298,706574.4122731686,623.9691249860658
57,2.18773320354836E7,892279.7015376091,679350.3138041496,1183.989577753014
58,3.4298513186134815E7,1405152.9234156609,1296693.1895964146,603.5459429303806
59,3.4535124128391266E7,1414086.6959581375,1315530.413134575,548.2208728896246
60,3.52375831417315E7,1445632.527519703,1314241.8425655365,732.0888985620604
61,3.436304776568627E7,1407198.2449076176,1218828.444938898,1049.9326244142317
62,2.0259843465321064E7,829067.8052835464,657515.7708711624,953.6259465773901
63,3.461264690503979E7,1422149.7384397984,1298170.1522409916,692.852858286434
64,3.511677888901472E7,1440708.1469943523,1228430.5021893978,1183.118751369582
65,3.43341142179966E7,1406306.9954872131,1273223.597174406,740.1938425633643
66,3.454811037421036E7,1418171.5614540577,1304681.4395821095,632.7487301561569
67,3.448323566432047E7,1415149.0964291096,1266246.5746905804,829.7301955686676
68,3.4523566815802574E7,1417528.495675087,1313829.768785715,577.0001954211131
69,3.506933858623886E7,1436519.7635502815,1289503.416503191,824.1240517192418
70,3.510280005975962E7,1438375.995250225,1213554.772840023,1250.0163058373664
71,2.17315711823802E7,889133.6466617584,752611.5764017105,758.7493093291919
72,3.507387516660547E7,1434458.0933167934,1284227.0848817825,835.1157358354993
73,3.4503001589654684E7,1413723.8163654804,1167150.5924315453,1370.956881863541
74,3.450359865345883E7,1415828.6680533886,1344976.357029438,397.07100031773246
75,3.4197418154370785E7,1397583.5980482101,1308276.9615981579,499.1034308844142
76,3.4381560678700686E7,1407922.0440356731,1159447.1883795261,1382.4312412950728
77,3.503517117273712E7,1436704.9320452213,1315843.1432378292,671.5807052546077
78,3.429111196244049E7,1401979.104520321,1308248.532365799,525.7758474296995
79,3.4233188857780695E7,1402631.2042212486,1316698.1603856087,480.1567989044719
80,3.40520999230144E7,1397999.9230144024,1201802.1384165287,1092.5332426879138
81,3.5247594330174446E7,1441236.3435864449,1250569.2762806416,1060.924387794071
82,3.489725047003102E7,1430651.3910355568,1278164.5965385437,853.5400746014384
83,3.5031976626516104E7,1433935.821677208,1333533.4888534546,558.9317917174762
84,3.513151494947004E7,1440522.5789573193,1289880.6559066772,837.0915296845966
85,3.5097548371932745E7,1439008.7689652443,1217874.9733719826,1229.6404328346252
86,2.364895140471077E7,971952.6363227367,806497.9966156483,921.6530471735531
87,3.4925043739613056E7,1431528.726407051,1243714.3030076027,1045.811353797383
88,3.471031176883793E7,1426432.1843459606,1294675.487488985,733.5769265188111
89,3.4089193071541786E7,1398547.4407925606,1316617.668791294,456.1906479199727
90,3.408880031823063E7,1401148.729562521,1255074.3828642368,812.6575784815683
91,3.3517197012066603E7,1370149.7371690273,1216388.7576813698,855.113194015291
92,3.4880881407818794E7,1424160.2050905228,1212847.3660178185,1175.0838098022673
93,3.401664942330694E7,1389798.8044896126,1180220.0423066616,1166.1169751432203
94,3.468276244705224E7,1422116.4908521175,1256944.8601424694,920.0634201659097
95,3.492439872616625E7,1426741.45718503,1255561.176263094,952.3049102544785
96,3.465999828767562E7,1421474.096856594,1255757.7288303375,923.49903654125
97,3.490904575033045E7,1428015.0145213604,1237090.3948693275,1060.9305742555193
98,3.3361703075285673E7,1369864.639389038,1264732.4312708378,586.0242790314886
99,3.456600071482587E7,1418460.9730348587,1328280.3580052853,502.2915671547254
100,3.4548529406280756E7,1417948.6434876919,1320494.2550759315,542.7616480840577
