Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,48
Role 2,77
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1447.2488251264813,5.280623435974121,7445.60210776329,149066.62898802757,0.0,0.0,0.0,0.0,29210.09708737864,0.0,162120.0,3008640.0,8.040271250702675,0.029336796866522893,41.3644561542405,828.1479388223755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
Amend Request for Quotation,645.6906571608323,113.29602193832397,1117.3828766345978,41969.8927154541,0.0,0.0,0.0,0.0,19232.30769230769,0.0,158460.0,1250100.0,3.5871703175601795,0.6294223441017999,6.207682647969988,233.16607064141166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
Analyze Purchase Requisition,402.5067899039226,240.06226229667664,539.7478828430176,81708.87835049629,0.0,0.0,0.0,0.0,5910.738916256158,0.0,158460.0,1199880.0,2.23614883279957,1.333679234981537,2.9985993491278755,453.9382130583128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
Analyze Quotation Comparison Map,1266.4339862108232,374.72517442703247,2037.3346977233887,126643.3986210823,0.0,0.0,0.0,0.0,26083.2,0.0,158460.0,2608320.0,7.035744367837908,2.081806524594625,11.31852609846327,703.5744367837908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,37401.38331401854,839.259773015976,147235.4986565113,6171228.246813059,35990.70952630332,0.0,145966.83125209808,5938467.071840048,872904.0,0.0,3408060.0,1.4402916E8,7.8526561005589155,0.0,16.588743325074514,1295.688256592221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
Approve Purchase Order for payment,32446.76903726816,60.0,149245.3193473816,3244676.903726816,32386.76903726816,0.0,149185.3193473816,3238676.903726816,756798.6,0.0,3480120.0,7.567986E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1419.4386770749093,0.0,11815.190650224686,141943.86770749092,1419.4386770749093,0.0,11815.190650224686,141943.86770749092,29325.6,0.0,252180.0,2932560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,83972.20246801377,361.5136926174164,153417.42092251778,8397220.246801376,83386.64853870869,0.0,152836.37016439438,8338664.853870869,1964898.0,0.0,3638580.0,1.964898E8,3.2530773850282038,2.008409403430091,4.323662731382582,325.30773850282037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1814.1438184142112,360.18338346481323,3377.263968229294,181414.38184142113,0.0,0.0,0.0,0.0,59179.892532172205,0.0,158070.05651187897,5917989.25321722,10.078576768967844,2.0010187970267403,18.762577601273854,1007.8576768967845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,92458.77083745241,3288.9053139686584,168113.1590166092,9245877.083745241,80564.19219096898,0.0,152356.09047460556,8056419.219096899,2162397.0,93720.0,3962880.0,2.162397E8,66.08099248046348,13.467026240295834,120.2959059940444,6608.099248046348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,323.83200877666474,8.605142831802368,1114.1707866191864,32383.200877666473,0.0,0.0,0.0,0.0,3568.8,0.0,72060.0,356880.0,3.598133430851832,0.09561269813113743,12.37967540687985,359.8133430851832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,242759.81813239097,13570.267825841904,638045.1417579651,2.4275981813239098E7,151773.1824145341,0.0,466824.0315721035,1.517731824145341E7,5677427.4,255840.0,1.500846E7,5.6774274E8,505.4813095436493,75.3903768102328,977.8100711901983,50548.130954364926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
Pay Invoice,2927.4773674464227,248.87470316886902,12816.077918052673,292747.73674464226,2364.3263071751594,0.0,12011.276686191559,236432.63071751595,78672.0,0.0,252180.0,7867200.0,3.1286170015070187,1.3826372398270501,4.926882179578145,312.8617001507019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,24.0,24.0,24.0,2400.0,0.0,0.0,0.0,0.0,972.6,0.0,97260.0,97260.0,0.13333333333333325,0.13333333333333333,0.13333333333333333,13.333333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,602.6173743987083,123.45098447799683,10285.853606462479,60261.737439870834,330.5571850013733,0.0,10042.556140184402,33055.71850013733,5540.4,0.0,252180.0,554040.0,1.5114454966518611,0.6858388026555379,2.327390212482876,151.1445496651861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,204762.45166941403,0.0,470502.5436620712,2.0476245166941404E7,204762.45166941403,0.0,470502.5436620712,2.0476245166941404E7,4786383.0,0.0,1.102038E7,4.786383E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,57813.85687964916,549.5472025871277,147900.21768450737,5781385.687964916,56403.53086175919,0.0,146519.90946865082,5640353.086175919,1351913.4,0.0,3480120.0,1.3519134E8,7.8351445438332,2.4609248770607843,12.625580689642165,783.5144543833201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,128142.83044297934,28787.125699043274,193687.37350034714,1.2814283044297934E7,96261.88840672016,0.0,147319.54375195503,9626188.840672016,3011200.2,630480.0,4478040.0,3.0112002E8,177.11634464588434,82.07033323446909,291.18388497299617,17711.634464588435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13943.301085099942,922.8134250640869,39543.16450428963,571675.3444890976,1633.8426088763447,0.0,11042.278436660767,66987.54696393013,350920.9756097561,0.0,987060.0,1.438776E7,68.38588042346443,3.4396609014934962,180.8594564623303,2803.8210973620417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5217499.8939733505,2.2474006625145227E7,2.987144668224573E7
Process Cycle Time excluding out of timetable hours (s),216078.89397335052,920891.132613051,1219264.2968108654
Process Waiting Time (s),125171.65635585785,769707.5314766646,1008737.2076489925
Accumulated Process Duration (s),5217499.8939733505,2.2474006625145227E7,2.987144668224573E7
Cost,268.29156750175684,841.7336680961057,1420.0234711898697


Process Cycle Time (s) distribution
From,To,Count
5217499,7682893,4
7682894,10148288,4
10148289,12613683,4
12613684,15079078,2
15079079,17544473,7
17544474,20009868,7
20009869,22475263,4
22475264,24940658,5
24940659,27406053,60
27406054,29871448,3

Process Waiting Time (s) distribution
From,To,Count
125171,213527,5
213528,301884,5
301885,390241,2
390242,478598,2
478599,566955,8
566956,655312,5
655313,743669,3
743670,832026,6
832027,920383,34
920384,1008740,30

Accumulated Process Duration (s) distribution
From,To,Count
5217499,7682893,4
7682894,10148288,4
10148289,12613683,4
12613684,15079078,2
15079079,17544473,7
17544474,20009868,7
20009869,22475263,4
22475264,24940658,5
24940659,27406053,60
27406054,29871448,3

Process Cost distribution
From,To,Count
268,383,3
384,499,10
500,615,12
616,731,10
732,847,15
848,963,16
964,1079,14
1080,1195,11
1196,1311,5
1312,1427,4

In-timetable Cycle time (s) distribution
From,To,Count
216078,316396,4
316397,416715,4
416716,517034,4
517035,617353,2
617354,717672,7
717673,817991,7
817992,918310,3
918311,1018629,6
1018630,1118948,59
1118949,1219267,4



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5217499.8939733505,216078.89397335052,125171.65635585785,506.68019765747914
2,7571275.696269035,314198.9537565708,170738.72992944717,798.914752319124
3,6950706.275063276,287645.45560359955,162579.89193606377,695.1029296570354
4,9357678.381994009,385070.6514430046,197478.25313830376,1047.3988774696984
5,1.2419200316649437E7,510100.97733330727,287607.45262670517,1240.2203891780641
6,1.9402447251101255E7,799274.0361731052,610636.245288372,1049.6078966591094
7,1.5361545191399336E7,630771.2475683689,375772.8308405876,1420.0234711898697
8,1.0907209655475378E7,452312.1390476227,243584.80988001823,1161.6094785981709
9,7868126.19634366,324206.19634366035,230524.8095884323,522.0814087933963
10,1.769481235354185E7,722154.8064420223,532098.3118348122,1059.6087990058795
11,9470696.954007387,383620.3448808193,242637.38011407852,784.2891303380333
12,6220631.410879374,252965.41350483894,149498.31352472305,575.1471825997036
13,1.6442515041592836E7,671803.0859425068,511848.89277911186,890.2434921767976
14,2.696886043885398E7,1103228.5609662533,909465.6480174065,1076.926355491744
15,1.4437890810269117E7,593743.0007810593,496476.9636414051,542.2561720132828
16,8292045.377685785,337826.2750096321,289542.3980021477,268.29156750175684
17,1.5779020144580364E7,644472.8417651653,520251.7235226631,691.9081540637546
18,1.405433289328146E7,580075.8326480389,395292.0042068958,1030.4982358853024
19,1.2381982980539799E7,506880.5015399456,377841.7191684246,717.1359463413557
20,1.1552996235571623E7,477189.7589428425,397139.32280755043,446.9604759547445
21,2.6365470095179558E7,1078770.0951795578,872477.5690813065,1148.8967176119486
22,2.2410033013695955E7,918331.546557188,774512.0502283573,802.326284980774
23,2.2395935268416166E7,918249.5270812511,728787.1290330887,1054.0639155666033
24,2.5190371598928213E7,1032006.6554665565,933580.8479037285,547.3482845756743
25,1.5508345665078163E7,637088.0156087875,525522.6854877472,625.6594791743491
26,2.448256657143402E7,1000745.8919124603,856990.0795609951,799.386010143492
27,2.4368040068452835E7,997521.8968150616,780953.1194458008,1204.02963796854
28,1.809143958484316E7,740457.2254946232,565568.0686402321,971.9554074313904
29,1.908039130667925E7,781546.2372207642,627248.7687299252,857.733525300026
30,2.6743903890416622E7,1091851.2328960896,933673.1517620087,882.7625422120094
31,1.7833360361311436E7,726359.685243845,625657.1698429585,561.2434767961503
32,2.6715965900901794E7,1091956.9192812443,913614.2942163944,993.882181470924
33,1.5604204332980156E7,639837.1820194721,555386.2131590843,469.3251795199182
34,1.7402266972623825E7,711892.805255413,584096.8589303493,712.4170570876863
35,2.667309753324318E7,1091154.2578704357,1008664.0336174965,458.87827174266175
36,1.5515191434021235E7,636215.8860189915,551268.4902238846,473.5248934825261
37,2.4618437290115118E7,1009942.7583048344,811992.205113411,1101.0044880284204
38,1.8954249746471882E7,781639.9445326328,633398.8570179939,823.9274765160349
39,2.006433139245653E7,821347.6650526524,692244.4235987663,718.1212498943011
40,2.457650221976137E7,1006415.2173476219,830538.7064185143,979.1971372127533
41,2.642997747584796E7,1083363.7000014782,839922.0072758198,1353.5209497412047
42,2.641825237778616E7,1085675.3055975437,997437.4398846626,491.96021900971726
43,2.6560608899126053E7,1087153.7613887787,888358.3109507561,1107.1291004141171
44,1.939186047421956E7,795409.6769635677,710527.8603484631,473.6366679443254
45,2.6534324236724854E7,1088900.6004908085,918699.8808391094,948.1009136385386
46,2.2073679290901184E7,907734.3166091442,810797.4922754765,539.1471568385759
47,2.629528018481922E7,1079661.531143427,924749.9758255482,866.5418146371843
48,2.6334970605482817E7,1082940.1068294048,879841.7242872715,1128.573880902926
49,2.6477442117625475E7,1084479.1923732758,986287.4744534492,546.6948412921693
50,2.3281510824360132E7,957520.4514770508,827578.9421496391,725.2326324449646
51,2.644943116920781E7,1084487.518908739,915521.6232397556,939.0525701893702
52,2.627624002021122E7,1079540.0202112198,878883.2736399174,1116.426200123628
53,2.591728635064578E7,1055934.1555974483,974804.5236947536,451.33410856591325
54,2.6407409062644005E7,1077347.747226715,848675.449472189,1270.6143144302898
55,2.639238599727416E7,1076326.9783930779,965508.6604795456,616.0952200505468
56,2.622147932683134E7,1074315.6850569248,1001843.1202652454,403.0704086899757
57,2.620709955361271E7,1073955.1609418392,875286.5107235909,1105.1943843099805
58,2.619408501861024E7,1074904.8857741356,1008737.2076489925,367.71866550445554
59,2.618062956935382E7,1075506.0362098217,909421.2909419537,924.5449417511624
60,2.611133289649892E7,1070651.633357048,973690.3597619534,544.8635798984104
61,2.6410332787423372E7,1081060.355205536,945498.8444154263,754.4598611513773
62,2.6295087115097284E7,1077009.534693718,936758.2537522316,782.4132978863187
63,2.628050455883646E7,1076330.791538477,919101.1321322918,874.7646330687736
64,2.6268270437282562E7,1078080.017320633,888900.7896459103,1051.4215552939309
65,2.6645511897325277E7,1091035.937426567,944425.8820824623,817.664742591646
66,2.6240027647618532E7,1074274.2075855732,907750.966407299,926.5318863087231
67,2.596566542383766E7,1062529.422954321,961033.7551279068,565.0746388395628
68,2.660476924480939E7,1088791.774941206,973090.5121879578,643.1196538064214
69,2.6038696848790407E7,1066247.2647020817,861370.2574734688,1138.319650373194
70,2.602545262544608E7,1067063.46900177,852057.1734573841,1194.9426146652963
71,2.651505750837326E7,1084326.7662968636,986257.4447615147,547.030583026674
72,2.5999234569319487E7,1065262.6711175442,905671.5836837292,889.4441499034565
73,2.987144668224573E7,1219264.2968108654,966975.8387594223,1406.4364693204564
74,2.5917124844493628E7,1061561.9807374477,888644.8183429241,962.1268212424385
75,2.6114259293076277E7,1067379.4689426422,931666.8464887142,755.246056218942
76,2.594095690645933E7,1062901.2235281467,932870.1074774265,724.4185251447891
77,2.6791738388272047E7,1095559.7738690376,951397.8762180805,801.3693514095413
78,2.585875166481328E7,1059157.5595664978,983854.9074356556,419.1977351453569
79,2.605847974711609E7,1067472.4306573868,874257.3372318745,1077.3799969156582
80,2.6045313807340145E7,1068334.110581398,995127.6950864792,407.7375136733055
81,2.58714349398551E7,1063254.2101535797,921964.8909163475,785.7481720765433
82,2.6016850896846533E7,1067822.8924405575,859235.138346672,1160.783652706941
83,2.5742234699714184E7,1052238.9005873203,986124.1673510075,369.2421953399975
84,2.583152215183282E7,1061798.2287056446,908698.4014527798,851.8057973570294
85,2.615155107832837E7,1071596.827043295,911081.2646920681,894.3689437866212
86,2.7354402442519426E7,1124707.3935682774,895476.6145677567,1274.799802017212
87,2.689643408153367E7,1102282.8800849915,915689.5045249462,1037.2616458627913
88,2.653734208248806E7,1088584.038418293,928207.3729631901,892.8721863441997
89,2.6019069001484156E7,1067098.3782098293,929654.8393936157,765.5729746050305
90,2.5902747756072998E7,1059147.756072998,915713.2031362057,798.4397746483486
91,2.5732859991807938E7,1057496.8421344757,886443.8849205971,951.7567926486334
92,2.587539328396821E7,1059079.465938568,914815.1724815369,805.1986615975698
93,2.5862515349585295E7,1060186.0825722218,871751.096316576,1048.999835311042
94,2.5688982698839426E7,1055503.066158533,929475.8101043701,701.6645019451778
95,2.583368177218151E7,1059310.4062299728,872376.9867088795,1040.2018446789846
96,2.592267088253665E7,1057920.8260247707,846586.3199977875,1175.7024422698553
97,2.564849356567502E7,1049912.8577070236,903877.9134867191,813.4269492930837
98,2.8388392351648092E7,1159464.5732295513,934492.6389474869,1252.7987489898999
99,2.8978168568535566E7,1183210.814653635,944959.5869281292,1324.069697370794
100,2.6158369723226786E7,1072095.6805171967,918481.1108884811,859.5117547869684
