Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,45
Role 2,77
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1693.7180771884464,8.535229444503784,7095.053516864777,213408.47772574425,0.0,0.0,0.0,0.0,33945.23809523809,0.0,205320.0,4277100.0,9.409544873269155,0.04741794135835436,39.41696398258209,1185.6026540319135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126
Amend Request for Quotation,625.837118192361,181.51896786689758,1302.2408533096313,65087.06029200554,0.0,0.0,0.0,0.0,12506.538461538461,0.0,158460.0,1300680.0,3.4768728788464505,1.0084387103716532,7.23467140727573,361.59477940003086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
Analyze Purchase Requisition,394.5618327761118,240.64920163154602,539.9068608283997,89170.97420740128,0.0,0.0,0.0,0.0,8258.761061946903,0.0,158460.0,1866480.0,2.1920101820895104,1.3369400090641446,2.9994825601577757,495.3943011522294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226
Analyze Quotation Comparison Map,1166.6068501114846,414.1747610569,2029.088383436203,116660.68501114845,0.0,0.0,0.0,0.0,27811.8,0.0,158460.0,2781180.0,6.481149167286024,2.300970894760556,11.272713241312239,648.1149167286025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,46321.432639258746,0.0,166395.9795525074,9449572.258408785,44964.98453913016,0.0,163835.6302409172,9172856.845982552,1084650.5882352942,0.0,3808020.0,2.2126872E8,7.545681408274925,0.0,17.171690116988287,1539.3190072880848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
Approve Purchase Order for payment,26703.2689153862,60.0,147372.2061934471,2670326.89153862,26643.2689153862,0.0,147312.2061934471,2664326.89153862,623143.2,0.0,3480120.0,6.231432E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,2535.6001702785493,0.0,15690.26430439949,253560.01702785492,2535.6001702785493,0.0,15690.26430439949,253560.01702785492,62358.6,0.0,331440.0,6235860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,75566.16715695857,408.48248386383057,164708.4551665783,7556616.715695858,74995.66560784816,0.0,164228.3466773033,7499566.560784817,1765136.4,0.0,3854820.0,1.7651364E8,3.169453050613403,2.149679132302602,4.330403750472598,316.9453050613403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1986.6889138507843,300.18105149269104,3419.834260225296,198668.89138507843,0.0,0.0,0.0,0.0,58881.26995257616,0.0,156656.70747089386,5888126.995257616,11.037160632504358,1.667672508292728,18.999079223473867,1103.7160632504358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,83731.56427090407,3853.6269614696503,175827.3225631714,8373156.427090406,71412.90567741632,0.0,163178.2736942768,7141290.567741632,1951215.0,3660.0,4103400.0,1.951215E8,68.436992186043,14.640732079082065,121.22222364213732,6843.6992186043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,315.815443789959,7.342949390411377,1783.3577010631561,31581.544378995895,0.0,0.0,0.0,0.0,5259.6,0.0,154860.0,525960.0,3.5090604865551,0.0815883265601264,19.815085567368403,350.90604865551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,325787.06517154217,14679.063241004944,680125.918967247,3.2578706517154217E7,221981.2235375309,0.0,536715.6311826706,2.219812235375309E7,7628775.6,331440.0,1.590912E7,7.6287756E8,576.6991201889516,81.55035133891636,979.6915489064322,57669.912018895164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226
Pay Invoice,3517.4731276464463,240.52573776245117,16023.112721920013,351747.3127646446,2949.344466812611,0.0,15198.467562913895,294934.44668126106,72203.4,0.0,331440.0,7220340.0,3.1562703379657533,1.3362540986802842,4.988418507575989,315.62703379657535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1189.8,0.0,72060.0,118980.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,832.8158047771453,123.19945740699768,13414.582902669907,83281.58047771454,549.0492525529861,0.0,13056.538418531418,54904.925255298615,65584.8,0.0,234180.0,6558480.0,1.5764808456897728,0.67327501906289,2.324315514829424,157.64808456897728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,240452.2135675621,0.0,551306.0678083897,2.404522135675621E7,240452.2135675621,0.0,551306.0678083897,2.404522135675621E7,5591373.0,0.0,1.28109E7,5.591373E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58972.2150970459,801.7103922367096,165178.53299713135,5897221.50970459,57628.14158066749,0.0,164142.66913485527,5762814.15806675,1387251.6,0.0,3854820.0,1.3872516E8,7.467075090991127,1.1414176543553671,13.115444670783148,746.7075090991127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,121861.42508532286,15372.89472913742,201976.56855797768,1.2186142508532286E7,87036.75355944395,0.0,162821.08057069778,8703675.355944395,2857764.6,374640.0,4798620.0,2.8577646E8,193.47039736599393,83.67233730951945,291.75594757795335,19347.039736599392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13714.134626393048,691.9985573291779,59434.30838537216,726849.1351988316,1749.9913938945194,0.0,13487.499263048172,92749.54387640953,310848.679245283,0.0,1329360.0,1.647498E7,66.46746240276961,2.1136433760325115,327.5462914678786,3522.7755073467893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5363157.199052572,2.559875689683161E7,3.14471622308712E7
Process Cycle Time excluding out of timetable hours (s),220896.03485918045,1048928.6268790292,1286599.3500728607
Process Waiting Time (s),126307.6291077137,878840.2302340888,1139407.3341066837
Accumulated Process Duration (s),5363157.199052572,2.559875806858608E7,3.14471622308712E7
Cost,407.12230245272315,946.7166885114514,1521.5471894635093


Process Cycle Time (s) distribution
From,To,Count
5363157,7971557,3
7971558,10579958,8
10579959,13188359,0
13188360,15796760,2
15796761,18405161,4
18405162,21013562,1
21013563,23621963,3
23621964,26230364,10
26230365,28838765,8
28838766,31447166,61

Process Waiting Time (s) distribution
From,To,Count
126307,227616,6
227617,328926,5
328927,430236,3
430237,531546,1
531547,632856,3
632857,734166,2
734167,835476,5
835477,936786,6
936787,1038096,37
1038097,1139406,32

Accumulated Process Duration (s) distribution
From,To,Count
5363157,7971557,3
7971558,10579958,8
10579959,13188359,0
13188360,15796760,2
15796761,18405161,4
18405162,21013562,1
21013563,23621963,3
23621964,26230364,10
26230365,28838765,8
28838766,31447166,61

Process Cost distribution
From,To,Count
407,518,4
519,630,16
631,742,9
743,854,10
855,966,17
967,1078,7
1079,1190,10
1191,1302,16
1303,1414,8
1415,1526,3

In-timetable Cycle time (s) distribution
From,To,Count
220896,327466,3
327467,434037,8
434038,540608,0
540609,647179,2
647180,753750,4
753751,860321,1
860322,966892,3
966893,1073463,10
1073464,1180034,8
1180035,1286605,61



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,8241438.144126415,339917.14412641525,170882.71060490608,940.6712933182719
2,5363157.199052572,220896.03485918045,126307.6291077137,529.2661820133528
3,6736714.147353411,279190.37250328064,178085.1314611435,562.9645575284959
4,9744456.911988974,397333.65500092506,253268.05946874619,802.8608816438252
5,7526676.5831410885,308330.80237698555,175489.1680445671,741.4531142738132
6,2.5657297864238024E7,1052391.9307880402,895027.5349764824,875.5066428197756
7,9920499.330054045,410069.3976006508,183299.46952819824,1260.6607794337801
8,1.0117632668919802E7,415884.7042930126,186914.07750582695,1272.3795957366624
9,8995482.005175352,367242.0051753521,278829.0435397625,492.4337497499254
10,1.7134465094675064E7,698717.6461498737,533622.4766001701,917.8130955576898
11,2.5372239662980795E7,1035586.9073543549,795826.9683411121,1333.9524376114207
12,8693593.623818398,355659.3360674381,254100.44386291504,564.7907871789404
13,9789650.559556723,399417.3376085758,283654.1853091717,646.3264724824164
14,2.2314038203523874E7,915785.2649440765,717016.4755747318,1106.20479057365
15,2.0907043672344208E7,855830.2954919338,598490.647382021,1430.4340331130554
16,2.6512335285023212E7,1085617.2795760632,858648.1135447025,1262.051142746872
17,1.401262980077529E7,574918.6672480106,385709.3595919609,1052.0189989142948
18,1.339347880465293E7,549828.6518881321,408719.3018465042,784.3679699076547
19,9751203.65276742,401613.5170247555,298977.48617720604,573.7690045913062
20,1.5996972017390728E7,655857.9376416206,413385.480748415,1348.605422957738
21,3.0341628131866217E7,1246908.1318662167,1002602.770147562,1358.4588582754131
22,1.6676161789055109E7,682220.1458272934,433408.9941585064,1383.6355079770085
23,3.0916837011461258E7,1268600.038197279,1031675.4897267818,1319.0870979600481
24,2.56174641681149E7,1048445.2880864143,942980.5803518295,590.6492227541077
25,2.5175192502137184E7,1027331.7198030949,855231.8743360043,957.4204661925634
26,2.2307822742259026E7,911949.029696703,747680.803966999,914.603018494447
27,1.72930655378325E7,709849.8707273006,544348.7211103439,920.465788696872
28,3.058501907973361E7,1255323.9768559933,1024627.9335212708,1284.4599793116251
29,3.03861579757936E7,1239895.776971817,1000863.743571043,1328.3806427041688
30,2.510595625848818E7,1024531.1634297371,869159.8975992203,863.7927238212692
31,3.0146330592006445E7,1233380.5074121952,1079206.0888605118,859.4270309289296
32,2.105955739834118E7,860906.0235042572,689579.6033809185,953.7552427927653
33,2.990093900383091E7,1221323.1166677475,1004354.5805163383,1206.8968307707044
34,2.82897172982862E7,1158783.8962156773,1050280.368127346,604.7193541063203
35,2.3749323585268974E7,970086.8154990673,771372.574539423,1105.0403091245225
36,2.6842919815303802E7,1101982.776074171,874397.4737956524,1265.4723097059461
37,2.7855319357643843E7,1141299.428495407,968637.8691210747,959.6460985620818
38,2.5604676106877804E7,1051793.866972208,832928.4025533199,1216.8826488693555
39,2.4543902484406233E7,1006597.3542990685,801257.8407094479,1141.4389439066247
40,3.0076065039166212E7,1235330.3555920124,1115747.4020688534,665.8233465724521
41,2.698252414411831E7,1106291.7914304733,941702.4820067883,916.6701798597974
42,3.0551844458507538E7,1252660.8430051804,1029437.863150835,1241.7684880707
43,2.431927431322694E7,996456.2812461853,885045.3578190804,619.2880264785557
44,2.974820159423256E7,1219241.82822299,998392.857719183,1228.124824549092
45,3.026361438683772E7,1240652.0596895218,1054311.7942278385,1037.387730489837
46,2.6360524234934807E7,1083906.8095273972,969818.3908755779,640.2174682882097
47,3.02364424892385E7,1238080.891377449,1091203.4453670979,816.9627463512952
48,2.598908088457203E7,1064895.6635181904,961699.5647647381,574.1650751696693
49,2.9948333392454624E7,1230182.8554883003,998944.2753534317,1285.1603255934183
50,2.9663712493340015E7,1215315.6679902077,999832.5238583088,1199.6588628596728
51,2.986529517364621E7,1225457.1260504723,986120.487433672,1332.0738282163936
52,3.04097278127892E7,1246607.8127892017,972785.0157597065,1521.5471894635093
53,2.86813958388865E7,1172068.8316383362,1066200.6994066238,589.5628419121107
54,2.6250646207707644E7,1075439.5228214264,973506.0357699394,567.2456288456916
55,3.0204886907276392E7,1235702.2667467594,1093687.1368386745,792.3518332958223
56,2.9586578235777378E7,1211456.5427958965,1040884.9630112648,949.2895696931415
57,2.9572246536103725E7,1211133.6121065617,996857.6967449188,1191.1169593665331
58,2.95521691004529E7,1208709.6075046062,1076881.3712844849,733.4644381523133
59,2.946400976368022E7,1206635.4434428215,997297.3492054939,1165.44526781506
60,2.9532053540002823E7,1213016.7511126995,1058949.9943273067,856.0182608074613
61,2.99398139674747E7,1227766.921033144,1086153.0573627949,786.79224148194
62,2.992302801414776E7,1224969.6576387882,997909.541573286,1261.8975779506895
63,2.9753541680423975E7,1224312.7984888554,1133432.652323246,505.6615783254305
64,2.9895359009082317E7,1225348.963965416,1107554.3618819714,654.6167043712405
65,2.9723357110652447E7,1218659.4183282852,1006281.7171099186,1180.264282063643
66,2.9610316514723063E7,1213286.756282568,1122150.6938245296,509.70909220112685
67,2.959376708187914E7,1210732.5733513832,1101784.565959692,606.8852546493214
68,2.9628661578670025E7,1212796.617184639,1111858.963579893,560.8055364118684
69,2.9825155961218357E7,1217971.5886404514,1026428.221976757,1066.5353042218421
70,2.9391371806750536E7,1205261.8169167042,1097634.932855606,600.3247385025026
71,2.9641008772378206E7,1216781.6136000156,1115936.1496078968,563.2290631837316
72,2.957150724218321E7,1208147.9240410328,1081426.4697716236,707.7228778998058
73,2.9769778312550306E7,1215154.5190746784,983719.93166852,1288.5756657163301
74,2.9328621234596014E7,1198685.41954875,1063720.7617387772,752.4041978306241
75,2.9484947992841244E7,1206905.198568821,1005801.4421019554,1119.6186878442763
76,2.972728665078473E7,1214694.488003254,1022714.7253856659,1067.5171786824862
77,2.9555884422932863E7,1212284.2484734058,1139407.3341066837,407.12230245272315
78,2.954377938643241E7,1214179.3785274029,1048629.0072815418,921.2549778607155
79,2.918304689068055E7,1195378.644376278,1024142.9247441292,951.6950386047364
80,2.9243139380461693E7,1197394.6447556019,1009093.0505008698,1052.1402471807266
81,2.9399256626153708E7,1205382.1111235619,1100626.6130509377,583.2589418358275
82,2.9485179229928255E7,1211596.7303714752,1025727.2568371296,1033.1958320816357
83,2.9472173884536505E7,1209063.9356389046,987932.8664348125,1230.9432624763913
84,2.9800914397752285E7,1224027.522306919,1005138.2667570114,1216.9552919891144
85,2.978492794408989E7,1222053.2351176739,1010625.1356196404,1175.6084974262446
86,2.943067035618949E7,1209654.9724144936,1073368.510734558,757.6825543006263
87,2.941466369683051E7,1207706.0185291767,1104816.9120213985,572.609942150116
88,2.973702379823804E7,1219932.2078530788,1020718.6048212051,1109.5061275747087
89,2.9728341359954834E7,1221614.578196764,1097967.4511053562,688.9989665124152
90,3.14471622308712E7,1286599.3500728607,1048761.7151255608,1322.8547346128357
91,2.9361259909138918E7,1206930.0397303104,975866.7494387627,1293.5924888478382
92,2.9502565381727934E7,1207330.1073963642,1074170.2772655487,746.5247814748024
93,2.9489023682670355E7,1207863.5230777264,953210.0361740589,1415.403801217344
94,2.904803901590085E7,1191602.2695281506,1048743.0400533676,796.4429372270904
95,2.9251160693665504E7,1203353.6075365543,1050020.8739743233,853.5745329260826
96,2.9288760858570337E7,1197424.1510994434,1035757.6099779606,899.1915509038503
97,3.0216872489113808E7,1235309.1203370094,1067907.3289830685,931.9102196852368
98,2.9259924161939383E7,1196526.7060830593,1080749.6889970303,644.4327679024804
99,2.9194871897752285E7,1195982.7949705124,1011179.5465271473,1027.4683367994098
100,2.939190244005537E7,1201656.1373023987,994797.9538509846,1150.6348168068457
