Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,44
Role 2,61
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1606.2595393016775,5.302422285079956,8235.846403121948,149382.137155056,0.0,0.0,0.0,0.0,30067.09677419355,0.0,205320.0,2796240.0,8.923664107231538,0.029457901583777535,45.75470223956638,829.900761972533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Amend Request for Quotation,635.5728453537997,85.01171040534973,1092.1779115200043,64828.43022608757,0.0,0.0,0.0,0.0,17446.470588235294,0.0,158460.0,1779540.0,3.5309602519655527,0.47228728002972076,6.067655064000023,360.1579457004864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
Analyze Purchase Requisition,386.0672611708468,240.25605368614197,535.9745857715607,74510.98140597343,0.0,0.0,0.0,0.0,6142.694300518135,0.0,158460.0,1185540.0,2.1448181176158148,1.3347558538118998,2.9776365876197817,413.9498966998523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Analyze Quotation Comparison Map,1214.5049872374534,368.33185386657715,2039.0688354969025,121450.49872374535,0.0,0.0,0.0,0.0,26875.2,0.0,158460.0,2687520.0,6.747249929096962,2.04628807703654,11.328160197205014,674.7249929096962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,40292.29763300938,355.7343168258667,174065.66315221786,8139044.121867895,38882.13167519144,0.0,171630.13234066963,7854190.598388672,938945.6435643565,0.0,4060140.0,1.8966702E8,7.834255321210766,0.7873545593685574,14.230108337932164,1582.5195748845747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
Approve Purchase Order for payment,34105.95875917911,60.0,169002.38397049904,3410595.8759179115,34045.95875917911,0.0,168942.38397049904,3404595.8759179115,796608.0,0.0,3890820.0,7.96608E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,905.8810692715645,0.0,6850.298762321472,90588.10692715645,905.8810692715645,0.0,6850.298762321472,90588.10692715645,10812.0,0.0,162120.0,1081200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,79079.48161715508,373.3273243904114,176097.1313700676,7907948.1617155075,78508.53544471026,0.0,175380.82822918892,7850853.5444710255,1849293.6,0.0,4132200.0,1.8492936E8,3.171923180249002,2.0320403986506994,4.315906818707784,317.1923180249002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1802.1248717999458,306.40680503845215,3391.3324415683746,180212.48717999458,0.0,0.0,0.0,0.0,59121.073547523025,0.0,158274.76719975471,5912107.354752302,10.011804843333033,1.7022600279914009,18.84073578649097,1001.1804843333034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,87504.2155260539,7087.944460391998,192119.2171804905,8750421.55260539,75358.14492694855,0.0,174603.09165620804,7535814.492694855,2054457.0,93720.0,4542900.0,2.054457E8,67.47816999502979,13.959133021036784,120.37122005754047,6747.816999502978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,291.4849834918976,9.807678461074829,1378.0591068267822,29148.49834918976,0.0,0.0,0.0,0.0,8394.0,0.0,158460.0,839400.0,3.2387220387988624,0.10897420512305366,15.311767853630913,323.87220387988623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,226321.35773053885,11817.504189014435,523336.6288537979,2.2632135773053885E7,140924.02271323442,0.0,404183.42766165733,1.4092402271323442E7,5289752.4,345840.0,1.218408E7,5.2897524E8,474.4296389850244,65.6528010500802,981.207562798924,47442.963898502436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Pay Invoice,1970.544983074665,253.3157603740692,7299.421325683594,197054.4983074665,1412.0527711892128,0.0,6633.964235782623,141205.27711892128,39813.6,0.0,201720.0,3981360.0,3.1027345104747353,1.40730977985594,4.86162849134869,310.27345104747354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1441.2,0.0,72060.0,144120.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,382.54700270414355,125.94991946220398,1027.4048023223877,38254.70027041435,121.23856025695801,0.0,671.9026153087616,12123.8560256958,4863.6,0.0,154860.0,486360.0,1.4517135691510301,0.6997217747900221,2.2993298371632895,145.17135691510302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,172588.81460454225,0.0,412141.2474036217,1.7258881460454226E7,172588.81460454225,0.0,412141.2474036217,1.7258881460454226E7,4064345.4,0.0,9698220.0,4.0643454E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,57103.44591666222,998.1505510807037,176552.3443248272,5710344.591666222,55659.44716832876,0.0,175192.75761771202,5565944.716832876,1331419.2,0.0,4063800.0,1.3314192E8,8.022215268519188,2.9416322032610576,13.11745567454232,802.2215268519188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,122377.23470852851,18192.938053369522,220171.5400288105,1.2237723470852852E7,88274.55680167675,0.0,176312.60524487495,8827455.680167675,2867818.2,374700.0,5122920.0,2.8678182E8,189.45932170473202,80.03523133993149,291.046919020017,18945.932170473203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10385.290474463482,325.390727519989,38913.206862449646,508879.23324871063,698.155829668045,0.0,6380.656215667725,34209.63565373421,222564.48979591837,0.0,925860.0,1.090566E7,53.81741469330798,1.807726263999939,216.1844825691647,2637.0533199720912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3719752.0616316795,2.13434285193468E7,2.8319198047848463E7
Process Cycle Time excluding out of timetable hours (s),157955.11541843414,875074.0457992768,1162552.4722747803
Process Waiting Time (s),93991.35057020187,726682.6551597619,988371.2729332447
Accumulated Process Duration (s),3719752.0616316795,2.13434285193468E7,2.8319198047848463E7
Cost,254.68678102493288,826.0159756833713,1411.788245337539


Process Cycle Time (s) distribution
From,To,Count
3719752,6179696,3
6179697,8639641,4
8639642,11099586,6
11099587,13559531,3
13559532,16019476,3
16019477,18479421,7
18479422,20939366,5
20939367,23399311,7
23399312,25859256,51
25859257,28319201,11

Process Waiting Time (s) distribution
From,To,Count
93991,183428,7
183429,272866,3
272867,362304,5
362305,451742,3
451743,541180,4
541181,630618,4
630619,720056,9
720057,809494,6
809495,898932,28
898933,988370,31

Accumulated Process Duration (s) distribution
From,To,Count
3719752,6179696,3
6179697,8639641,4
8639642,11099586,6
11099587,13559531,3
13559532,16019476,3
16019477,18479421,7
18479422,20939366,5
20939367,23399311,7
23399312,25859256,51
25859257,28319201,11

Process Cost distribution
From,To,Count
254,369,4
370,485,9
486,601,15
602,717,8
718,833,18
834,949,10
950,1065,14
1066,1181,6
1182,1297,10
1298,1413,6

In-timetable Cycle time (s) distribution
From,To,Count
157955,258414,3
258415,358874,4
358875,459334,7
459335,559794,2
559795,660254,3
660255,760714,8
760715,861174,4
861175,961634,7
961635,1062094,52
1062095,1162554,10



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6931307.498744249,283546.49874424934,181011.32223176956,570.384777502219
2,3733139.9643337727,157955.11541843414,95225.34715795517,349.8879388756222
3,3719752.0616316795,158529.56571650505,93991.35057020187,362.34135740995407
4,6935954.379970789,283366.7963273525,170474.87076425552,629.7841685652734
5,1.11094934454453E7,454036.1054253578,263045.2069914341,1062.8751347369619
6,8171996.388545752,336952.80639624596,159857.1657629013,984.2301287836499
7,5477158.856647968,228394.51276040077,137379.39885163307,506.0244093669785
8,2.6793970671415567E7,1100007.1101109982,872997.5767922401,1263.5879292792742
9,8465136.618167877,344856.6181678772,175144.59763097763,943.6534570389325
10,1.492972055831647E7,608439.5479512215,399468.3335850239,1164.2615424527062
11,1.1073732804320812E7,451903.1058111191,347405.4693529606,580.8941641542648
12,1.871353763556075E7,767186.5826971531,633726.8086929321,741.5702894594934
13,2.2319614915910244E7,910848.5738191605,693517.9539301395,1209.1815754400359
14,9773918.46222949,397446.1521089077,254981.97264528275,795.0571279154885
15,1.2437997221290827E7,506902.782572031,330564.071167469,981.0993092709118
16,9586153.45690918,396190.0492360592,282591.3312904835,631.859955848588
17,1.6386125074570179E7,671478.3645348549,465246.5487127304,1147.3308209154338
18,9976977.78060174,407973.18986940384,265314.2991454601,793.329181471136
19,2.526053689566636E7,1035757.5870218277,809346.1740591526,1260.9358761257593
20,2.606724339364457E7,1071096.805681944,988371.2729332447,460.35368279086225
21,2.099980934991932E7,861229.3499193192,745146.1271660328,646.4832347326809
22,1.0920245069362164E7,448960.48231577873,313652.87504053116,754.3800600621437
23,1.06152034858706E7,435345.002620697,330135.1375825405,584.726808181074
24,1.854621248197508E7,764310.3115258217,621770.8566200733,792.3646056307687
25,2.638685076380515E7,1078785.7071213722,939396.5003108978,774.4389693829748
26,1.3940047175989628E7,570555.6172037125,413406.0035059452,874.5434226817555
27,1.3827820789729118E7,566005.8627209663,493979.231931448,403.2712414251433
28,1.7702186429108143E7,725698.7148725986,475318.60719275475,1392.533392425378
29,2.5942218495099068E7,1061208.3491516113,923378.0627286434,765.8912255459364
30,2.1483544807482958E7,878356.793917656,705891.5130572319,958.1986811863052
31,1.8448054951975346E7,756991.5957365036,625977.4995512962,729.0706702258854
32,2.5689483915775537E7,1052197.9226682186,863506.0464413166,1051.8864403671685
33,2.7149244869948387E7,1113706.8485925198,892555.6916484833,1230.3481984443133
34,2.5220430943330288E7,1032680.4329464436,927960.3470380306,588.0708442396588
35,1.6134545835478783E7,661080.5478663445,562259.5235674381,551.3682087527382
36,1.1933946610345364E7,491324.4612855911,398099.6871705055,518.1402122709485
37,1.8525180287311792E7,759567.2954852581,588102.7378849983,955.2271582841875
38,2.58677355080359E7,1062147.311797142,944003.9657683372,657.923714237743
39,1.772300179692602E7,727456.5057752132,532698.30691576,1082.1584577745864
40,2.5578200459027052E7,1049178.949858904,938180.1850092411,618.6335314154626
41,2.5773605281241655E7,1056879.2955417633,903098.354518652,861.994445166323
42,1.724403317052722E7,704803.913844347,651130.373143673,299.51429096857703
43,2.2170865310091734E7,911748.7923052311,705256.871979475,1148.548918542597
44,2.5731934700983286E7,1057075.469648838,870724.0211062431,1035.809462138017
45,2.57723746603415E7,1061075.1708898544,824827.9057941437,1314.501200846831
46,2.238935677149248E7,920103.2332203388,706851.1068785191,1188.7541336973509
47,1.8223966238332987E7,749565.3092193604,664544.9067528248,472.8458236032061
48,2.5675155400510788E7,1052802.6199097633,815847.2937185764,1319.28207337194
49,2.545292314349699E7,1046304.9872224331,906323.0433897972,778.8954525563452
50,2.6463087881249666E7,1083452.147194624,952879.7612559795,726.551720796691
51,1.9376031409355402E7,797626.2743694782,679927.272217989,655.7795491509968
52,2.0388391716246605E7,836931.10902524,683596.0204622746,852.8068489842946
53,2.5659794021989822E7,1049956.7169370651,819314.6241173744,1282.1211140672365
54,2.598614613839531E7,1062526.307009697,883213.1532700062,997.9430790980657
55,2.5577223825852633E7,1045851.3157052994,890489.9796946049,864.3420350008541
56,2.5564396751318216E7,1046978.4032816887,828816.571921587,1214.537572402424
57,2.292006454798293E7,938463.2664775848,807514.0222213268,727.6968303826122
58,2.584728385790944E7,1055325.7233018875,829137.9130029678,1257.946234834194
59,2.531300164679575E7,1039324.0993797779,868118.6099367142,952.485508489609
60,2.5561928391130924E7,1050061.7100992203,826322.3023965359,1245.2833799693317
61,2.554572571487212E7,1047841.3674407005,812181.0859639645,1310.311238818698
62,2.5480960883446455E7,1047546.589111805,793658.5322132111,1411.788245337539
63,2.1022101152306795E7,864572.1144661903,757674.7881505489,596.0132853627207
64,2.463770016474414E7,1014086.765342474,911741.174153328,569.6211385210356
65,2.539088082869196E7,1039225.2111001015,946600.3341162205,516.1962811589241
66,2.5422395182218313E7,1041429.4881806374,851238.9874453545,1058.2323981775176
67,2.5461763460969448E7,1044330.8124482632,960369.7562570572,467.88614380492106
68,2.5186175797588825E7,1031383.6141822338,936463.7501788139,530.1215029199919
69,2.576883352440262E7,1051723.340590477,904634.470074892,817.3994903789627
70,2.4763550426400423E7,1015010.312964201,879919.6770219803,751.0152781407038
71,2.51456878633399E7,1032829.5559024811,837421.763045311,1086.057254848215
72,2.513029984769845E7,1027909.0791959763,944503.0980288982,463.9932169040043
73,2.5327135015197754E7,1037043.0488431454,928161.3350195885,607.3806222438814
74,2.449042833702278E7,999676.5870804787,954657.0778353214,254.68678102493288
75,2.5297897301710606E7,1035825.5033493042,900420.6007728577,752.6956853018868
76,2.7050963019893408E7,1106049.4192905426,934125.0240244865,957.5438516285685
77,2.4011840518254995E7,981056.2418663502,882328.292121172,550.095849021276
78,2.525643474723816E7,1036370.3315036297,828353.0184366703,1156.4975984334942
79,2.8319198047848463E7,1162552.4722747803,942047.4966294765,1225.2231678406395
80,2.5228267502053976E7,1036099.7747344971,871774.3016872406,913.9987846453985
81,2.521501521467352E7,1036834.9326505661,893035.033310175,799.862403828568
82,2.541084019200158E7,1041346.9923846722,884672.9655730724,873.8103145466912
83,2.49773152529006E7,1025334.2738106251,845213.3785016537,1002.021694967482
84,2.512579378209281E7,1029378.1342997551,897431.1365749836,735.127284942733
85,2.6156698858014345E7,1072620.846225977,899753.0972528458,961.8721921192275
86,2.5142133476508856E7,1030383.4593575001,929070.5946257114,563.4392005085946
87,2.5129235433968782E7,1031469.6690590382,900406.4120984077,728.7721767134137
88,2.511677358589053E7,1033001.7890913486,871275.6625425816,901.2093180908097
89,2.4893871661736965E7,1025818.1374680996,941529.914501667,469.27342195378407
90,2.508918051889348E7,1030920.5188934803,861160.5306882858,945.9776201314397
91,2.5026745758081913E7,1024735.7804338932,789008.0058994293,1310.960498944918
92,2.48504146804893E7,1020836.2366893291,939100.1842393875,454.9327151907814
93,2.5000358508378506E7,1026320.5398590565,926107.699867487,557.2078786108231
94,2.498548859360552E7,1025517.2257766724,917819.9317510128,600.4717559258144
95,2.5574600503362417E7,1048562.0254263878,933032.0627295971,642.889271402359
96,2.4794826969026804E7,1014192.2018270493,940626.3161447048,409.00764343871003
97,2.538707180915332E7,1040387.2388627529,909290.4151594639,733.1083270695476
98,2.4766244191474438E7,1013640.1899957657,928604.6631836891,473.6227042767736
99,2.5273203516525745E7,1030293.9442873001,871557.7330589294,882.2379410889415
100,2.4899803116336346E7,1016737.0153238773,838281.1289176941,993.0938113345042
