Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,42
Role 2,60
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1860.38063915437,15.942834854125977,13443.59561753273,221385.29605937004,0.0,0.0,0.0,0.0,41904.705882352944,0.0,407040.0,4986660.0,10.335447995302061,0.08857130474514431,74.68664231962627,1229.9183114409452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119
Amend Request for Quotation,646.2673059133725,0.0,1221.5956692695618,69150.60173273087,0.0,0.0,0.0,0.0,17673.644859813085,0.0,158460.0,1891080.0,3.5903739217409587,0.0,6.786642607053121,384.1700096262826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Analyze Purchase Requisition,383.79655745475804,240.59930324554443,539.9405033588409,84051.44608259201,0.0,0.0,0.0,0.0,8702.465753424658,0.0,158460.0,1905840.0,2.132203096970878,1.3366627958085802,2.999669463104672,466.9524782366223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
Analyze Quotation Comparison Map,1195.4847590613365,365.34954595565796,2039.1222033500671,119548.47590613365,0.0,0.0,0.0,0.0,22450.2,0.0,158460.0,2245020.0,6.641581994785202,2.0297196997536555,11.328456685278152,664.1581994785203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,43690.461665654526,726.1567645072937,147542.0380203724,9043925.564790487,42287.00658220139,0.0,146399.17674613,8753410.362515688,1017158.8405797102,0.0,3476460.0,2.1055188E8,7.798345994539815,0.0,14.979956761995952,1614.2576208697417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Approve Purchase Order for payment,33948.21692264795,60.0,147833.95480275154,3394821.6922647953,33888.21692264795,0.0,147773.95480275154,3388821.6922647953,787999.8,0.0,3480120.0,7.879998E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,619.5791365242004,0.0,5215.873856782913,61957.913652420044,619.5791365242004,0.0,5215.873856782913,61957.913652420044,19341.6,0.0,252120.0,1934160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,74940.0317235446,361.5273334980011,150471.49342989922,7494003.17235446,74363.40302529097,0.0,149750.39270973206,7436340.302529097,1757097.6,0.0,3523380.0,1.7570976E8,3.203492768075733,2.008485186100006,4.326226209269629,320.3492768075733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2088.8564721012117,400.11478757858276,3406.485799074173,208885.64721012115,0.0,0.0,0.0,0.0,58878.30256594181,0.0,157605.77075910568,5887830.256594181,11.604758178340067,2.2228599309921266,18.924921105967627,1160.4758178340066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,81259.42965106964,3642.4549469947815,161016.9981045723,8125942.965106964,69580.19470175981,0.0,148498.05247449875,6958019.4701759815,1903471.8,43260.0,3804300.0,1.9034718E8,64.88463860727683,14.069627622763315,119.26039236783981,6488.463860727682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,320.097785987854,9.223917245864868,1394.7002296447754,32009.7785987854,0.0,0.0,0.0,0.0,5152.8,0.0,154860.0,515280.0,3.5566420665317096,0.10248796939849854,15.496669218275283,355.66420665317094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,221560.51124917268,12247.606083393097,571633.6646506786,2.215605112491727E7,134097.71256931068,0.0,399385.9904258251,1.3409771256931067E7,5187759.0,205380.0,1.334046E7,5.187759E8,485.90443711034465,68.04225601885054,974.6920386287901,48590.443711034466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
Pay Invoice,1423.5026787257195,241.80697798728943,6046.207090854645,142350.26787257195,836.4786800646782,0.0,5186.204313516617,83647.86800646782,56658.6,0.0,252120.0,5665860.0,3.2612444370057854,1.3433720999293857,4.99354667796029,326.1244437005785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,937.2,0.0,50460.0,93720.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,458.9420396065712,126.08635711669922,4294.923738479614,45894.20396065712,173.42695194721222,0.0,4011.3240711688995,17342.695194721222,6952.2,0.0,154860.0,695220.0,1.5861949314408834,0.7004797617594402,2.292785474989149,158.61949314408835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,165164.02274813174,0.0,397436.61024832726,1.6516402274813175E7,165164.02274813174,0.0,397436.61024832726,1.6516402274813175E7,3851199.6,0.0,9280320.0,3.8511996E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56827.83400327921,470.0177412033081,148101.0601928234,5682783.400327921,55455.41432738781,0.0,146957.2038373947,5545541.432738781,1332244.2,0.0,3480120.0,1.3322442E8,7.6245537549522195,0.6782164110077752,13.904889920022752,762.4553754952219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,116723.2606210637,26769.354504823685,195719.66873455048,1.167232606210637E7,82104.69637907982,0.0,146824.4900856018,8210469.637907982,2732539.8,580020.0,4564440.0,2.7325398E8,192.32535689991045,79.8358279797766,292.50648345152536,19232.535689991044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13057.034597001177,247.32069396972656,54941.150294065475,613680.6260590553,631.0381933374608,0.0,5253.759924650192,29658.795086860657,337630.21276595746,0.0,1412160.0,1.586862E7,69.03331335368733,1.3740038553873697,303.44819185336434,3244.5657276233046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4254843.168893576,2.0931634924383685E7,2.928133484500456E7
Process Cycle Time excluding out of timetable hours (s),179911.85521769524,856911.4218177414,1195039.7740294933
Process Waiting Time (s),97766.98692011833,704113.8370181704,956225.541563034
Accumulated Process Duration (s),4254843.168893576,2.09316352077041E7,2.928133484500456E7
Cost,319.42872685856287,850.658208893299,1399.749651134014


Process Cycle Time (s) distribution
From,To,Count
4254843,6757492,5
6757493,9260142,4
9260143,11762792,4
11762793,14265442,5
14265443,16768092,7
16768093,19270742,6
19270743,21773392,7
21773393,24276042,6
24276043,26778692,54
26778693,29281342,2

Process Waiting Time (s) distribution
From,To,Count
97766,183611,4
183612,269457,8
269458,355303,2
355304,441149,2
441150,526995,5
526996,612841,6
612842,698687,7
698688,784533,7
784534,870379,31
870380,956225,28

Accumulated Process Duration (s) distribution
From,To,Count
4254843,6757492,5
6757493,9260142,4
9260143,11762792,4
11762793,14265442,5
14265443,16768092,7
16768093,19270742,6
19270743,21773392,7
21773393,24276042,6
24276043,26778692,54
26778693,29281342,2

Process Cost distribution
From,To,Count
319,427,4
428,536,14
537,645,6
646,754,17
755,863,14
864,972,10
973,1081,10
1082,1190,14
1191,1299,4
1300,1408,7

In-timetable Cycle time (s) distribution
From,To,Count
179911,281423,5
281424,382936,4
382937,484449,4
484450,585962,5
585963,687475,7
687476,788988,6
788989,890501,7
890502,992014,6
992015,1093527,54
1093528,1195040,2



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9711873.58026576,398192.5802657604,187131.22845864296,1173.5316857298217
2,6571928.122749805,269590.58113503456,135675.4889266491,744.7491125822069
3,1.5977233394673347E7,657068.7862935066,415405.8169374466,1344.340360132853
4,9743957.822258234,396554.5298216343,207854.58203792572,1049.311023738649
5,1.6308590915416718E7,667078.1824162006,483691.3077452183,1019.4219697382716
6,8725165.968224287,360427.14699816704,239783.48293590546,671.1401858356262
7,9918746.95224142,407991.5039989948,226785.4952044487,1007.0178850425615
8,4254843.168893576,179911.85521769524,97766.98692011833,456.66169549889025
9,2.5928725942804337E7,1059925.9428043365,933968.5816485882,701.743282626735
10,8982372.53431964,363886.20485663414,270910.529958725,518.3236347595852
11,8966320.08511734,361819.9150607586,233373.99117279053,713.9196235603757
12,9632654.106954575,390060.87025237083,250778.84116387367,775.5005334721671
13,1.2861483554558516E7,527416.0667104721,362371.7430422306,917.7256764676836
14,1.971007285433936E7,804494.1802997589,709675.7569406033,527.8100552532409
15,1.3826990507140875E7,566394.1612868309,446231.4775388241,670.7753666268457
16,5512207.763730288,223796.9048576355,167454.87880039215,319.42872685856287
17,1.3620891058130264E7,557562.612585783,444637.7821736336,628.1755824234751
18,6741234.445791483,277424.52502322197,153898.65806794167,689.286135735777
19,6177168.224678516,256927.66976571083,184676.98989129066,406.42009307146066
20,8842042.030588388,363595.4103112221,239346.98104190826,691.5333457324241
21,1.2529967385717869E7,511667.3857178688,320831.66236543655,1060.3275718013444
22,1.6674281337479353E7,680088.2627315521,532974.8693556786,819.1146193570563
23,1.8822469787287712E7,774294.5404202938,624278.9387555122,834.2343222551877
24,2.5794146985563755E7,1055570.5834612846,850235.8956093788,1142.5905095563994
25,1.5926794542959929E7,648315.0851614475,475721.4033100605,962.3703562233183
26,1.6260565079244852E7,664715.6511354446,538472.421861887,701.4025177266864
27,2.575193115918851E7,1051915.9708526134,821875.5028746128,1278.6623637596765
28,2.590726706135845E7,1059093.122193098,920934.6400809288,769.33794630501
29,1.8292891086291075E7,746918.464764595,600987.3255457878,811.7067374904951
30,1.9226966606168985E7,783520.7712795734,548460.2138264179,1310.327687883377
31,2.5519617254960537E7,1041325.4681375027,933761.176299572,597.9708089338409
32,2.5683831808506966E7,1050226.0028350353,956225.541563034,524.8519738528463
33,2.5667648102202415E7,1047996.0076160431,853027.6081383228,1084.863789317343
34,1.322501531304574E7,543946.9332191944,452890.9224843979,507.69227635198166
35,2.5306741360646963E7,1039271.121114254,802551.4944293499,1315.8221094912951
36,1.5772986350281239E7,644971.8464787006,550128.2636334896,528.3555212603675
37,2.5538756064301968E7,1047146.846460104,846592.1755187511,1116.1573091334762
38,2.06838954752326E7,846461.803591013,646689.4950759411,1111.5617615805731
39,2.196202506978798E7,902840.8338441849,699226.4216680527,1138.9395133654275
40,2.5393968146710396E7,1038070.9147570133,898113.5971872807,778.5711768216557
41,1.847039843851018E7,757296.8474824429,623403.0277280807,744.8940873530178
42,2.0098718621623993E7,821624.0922288895,651758.931147337,946.4801229106057
43,2.5528162874364853E7,1044925.0287520885,940968.6974132061,580.1545441230139
44,1.903040614405465E7,779337.6664147377,697424.982115984,456.0004641042815
45,2.429751065955448E7,998714.7507865429,747037.6306009293,1399.749651134014
46,2.5312285649842262E7,1040331.5878665447,834108.9863114357,1147.3840157906213
47,1.7534687761976242E7,716214.0898115635,638285.7849919796,433.18050566911694
48,2.1497316975162268E7,884868.426974535,725874.228114605,883.8778054886395
49,2.526886044919491E7,1035496.6339733601,822993.8297293186,1182.0608643743724
50,1.6182624332397938E7,663514.4439032078,589327.7650380135,413.13060098224213
51,2.5416630593656063E7,1041881.7725050449,923167.8388626575,661.0341170112293
52,2.540261917741847E7,1041779.1774184704,843210.5811617374,1107.5656608621277
53,2.0116134341267824E7,820363.8603718281,689594.9730775356,727.6500635796125
54,2.537455823147273E7,1034714.7057516575,886033.6391386986,826.8750714063644
55,2.552878571731925E7,1040834.0708675385,906278.9845969677,750.4631690065067
56,2.0516811895459652E7,841418.5014066696,757298.897746563,471.03965257803594
57,2.4998809674544096E7,1025092.6292686462,873313.341340065,846.0647882196639
58,2.289886047523403E7,935112.5548274517,803195.2584247589,734.2031330241098
59,2.530362400930667E7,1033853.8342673779,917096.4422032833,650.6097055474918
60,2.5461353565872908E7,1043473.2555935383,894267.3494517803,829.0364710874028
61,2.20752739711926E7,902995.1277954578,776158.4379620552,705.2428091473049
62,1.9826355253767967E7,815147.5256290436,746508.875193119,382.0543600347306
63,2.5257050800834417E7,1039703.1426701546,890795.9198772907,827.657907966773
64,2.5233389515656233E7,1033705.1638174057,955761.7168822289,439.2622354335254
65,2.2203091207902193E7,910346.3138546944,826460.4143190384,466.3233429908751
66,2.3922082564024925E7,978974.3443074226,797345.3741028309,1010.1611323740747
67,2.5016970014858246E7,1025100.0519845486,944952.3829963207,447.83667398956084
68,2.6604279001124382E7,1088098.0926241875,850941.9730136395,1318.7243827104564
69,2.5593088541452408E7,1045633.638127327,813242.3974883556,1293.6697406556868
70,2.2656580174816847E7,925962.6856741905,817239.9926583767,607.4833950334125
71,2.496162188040185E7,1022254.5370554924,888587.7245118618,743.7032824556034
72,2.928133484500456E7,1195039.7740294933,943660.1100478172,1398.102807509899
73,2.5713077464173794E7,1048798.5108747482,832288.7514858246,1206.161245502366
74,2.691544903109932E7,1101542.8359901905,940506.4425065517,895.5365357875826
75,2.52973895898726E7,1035897.8846986294,823969.8559911251,1179.366154728995
76,2.499151364587736E7,1021494.8747279644,908937.4061348438,625.7022253208692
77,2.5051297981826782E7,1023228.7822964191,851663.668859005,956.4468859526847
78,2.503740880940032E7,1023358.8641221523,871325.2593843937,845.2338677273856
79,2.529488004057622E7,1038997.4736871719,797236.8493003845,1348.017352361149
80,2.493434479500532E7,1020369.7481200695,823362.5805177689,1095.3361792551145
81,2.4922368868232965E7,1022338.4157342911,903028.2670321465,665.2967638413112
82,2.4808155631802082E7,1019440.4460353851,910746.227458477,608.3665289176836
83,2.5239782865088463E7,1036369.1547796726,898296.2356958389,768.1704452315968
84,2.4620140204132795E7,1010711.1629180908,928556.4832961559,456.73798666530183
85,2.486678843004465E7,1019183.3822162151,828730.1063945293,1059.62894450691
86,2.475136461275935E7,1015024.8364214897,870154.6131339073,805.8301792462667
87,2.4911688824231386E7,1019997.7637076378,849768.3486394882,947.1446309712198
88,2.489800872362566E7,1020346.5687139034,832058.6566390991,1049.9998025311363
89,2.4708189566284418E7,1013844.7588059902,788691.8200149536,1251.319965803623
90,2.479588875194025E7,1015068.7519402504,842547.8046879768,961.1154694649908
91,2.4782329204542637E7,1015242.3548629284,877423.5644712448,766.2289856473606
92,2.658141974697876E7,1088330.6087021828,890019.3038990498,1102.2224307947686
93,2.475177922491026E7,1012642.4932804108,931802.7937922478,451.51557833618585
94,2.6630744175909042E7,1093496.309281826,896670.1241374016,1096.2629624048868
95,2.4725602607857704E7,1014454.2076683044,857459.8209507465,873.2612433963352
96,2.461233565097475E7,1005349.8802156448,823411.5371725559,1012.2147691633966
97,2.477216330263734E7,1009855.7986185551,851717.0917110443,879.7994956705305
98,2.4583344833500624E7,1004420.839063406,818144.5391397476,1035.6994109034536
99,2.587805793867278E7,1055787.275903225,862042.4011387825,1079.203782644537
100,2.5261431547326565E7,1033262.6246132851,819126.4897928238,1190.6476546433237
