Resource utilization
Resource,Utilization %
Role 1,3
SYSTEM,0
Role 4,0
Role 6,0
Role 3,8
Role 2,13
Role 5,37

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,43046.71288057212,2330.116857767105,74081.09798264503,3917250.872132063,41375.382466104005,1168.0685639381409,72328.31611967087,3765159.8044154644,1001409.2307692308,43260.0,1740060.0,9.112824E7,9.285168969267312,0.02988610929912991,39.22592380974028,844.9503762033254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
Amend Request for Quotation,28001.354338982524,234.34570288658142,72489.1316792965,2380115.1188135147,27384.93036650209,0.0,71974.7268474102,2327719.0811526775,666732.0,0.0,1736400.0,5.667222E7,3.427033396000954,0.0,5.9486710257000395,291.2978386600811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
Analyze Purchase Requisition,394.1944686630009,240.1115951538086,539.9034507274628,75291.14351463318,1.6742015633907619,0.0,158.5101752281189,319.7724986076355,11637.486910994765,0.0,158460.0,2222760.0,2.18066815055339,1.3339533064100477,2.999463615152571,416.5076167556975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Analyze Quotation Comparison Map,30118.924808318614,399.7467803955078,73568.51894593239,3011892.4808318615,28909.18315630436,0.0,72101.74349141121,2890918.315630436,713024.4,0.0,1740060.0,7.130244E7,6.720786955634754,2.0687221712536283,11.305639131863911,672.0786955634754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,35790.45625134416,245.28562188148499,182780.09549832344,6621234.406498671,34461.316375746595,0.0,181645.5795352459,6375343.529513121,831192.1958825331,0.0,4384320.0,1.537705562382686E8,7.384110419986482,1.2959891186820136,17.485496089193557,1366.060427697499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Approve Purchase Order for payment,18882.13927442789,60.0,171265.30455875397,1888213.927442789,18822.13927442789,0.0,171205.30455875397,1882213.927442789,433289.4,0.0,3901680.0,4.332894E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,97354.68696543932,0.0,302783.7846522331,9735468.696543932,97354.68696543932,0.0,302783.7846522331,9735468.696543932,2274114.0,0.0,7165560.0,2.274114E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,20761.35177181959,0.0,67587.91119289398,2076135.1771819592,20761.35177181959,0.0,67587.91119289398,2076135.1771819592,477423.0,0.0,1505880.0,4.77423E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,68608.54628383875,425.8654761314392,181701.26790499687,6860854.628383875,68032.72893051624,0.0,180959.60460948944,6803272.893051624,1601000.4,0.0,4265460.0,1.6010004E8,3.1989852962361436,2.014004760318332,4.31368285814921,319.89852962361437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,32510.422231247427,1960.168433189392,71442.03785300255,3251042.2231247425,30733.592619037627,0.0,68364.15693688393,3073359.261903763,759247.865569663,24792.0914144516,1729974.803128004,7.59247865569663E7,9.871275623387762,1.8013981991344028,18.72977747917175,987.1275623387761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,32094.15684317589,2721.5450117588043,180795.42472410202,3209415.684317589,19865.917725276948,0.0,169126.53014993668,1986591.7725276947,740844.6,0.0,4135860.0,7.408446E7,67.93466176610524,12.918620386388566,120.68905157910453,6793.466176610524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,307.46258543252947,17.56174659729004,1106.646465063095,30746.258543252945,0.0,0.0,0.0,0.0,7744.2,0.0,158460.0,774420.0,3.416250949250326,0.1951305177476671,12.29607183403439,341.6250949250326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,342214.3142991281,15281.594839334488,716493.2692072392,3.4221431429912806E7,245155.05737530708,0.0,546032.1458847523,2.451550573753071E7,8023399.2,486300.0,1.666212E7,8.0233992E8,539.2180940212278,66.50614877939225,972.6792579862806,53921.80940212277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Pay Invoice,67920.27321590901,276.7493975162506,304620.72533750534,6792027.3215909,67372.55618261338,0.0,303975.9773256779,6737255.618261337,1603300.2,0.0,7165560.0,1.6033002E8,3.0428724071979527,1.3351034190919664,4.960638689994812,304.28724071979525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,576.759185397625,60.0,42802.86358523369,57675.9185397625,516.759185397625,0.0,42742.86358523369,51675.9185397625,13078.2,0.0,997920.0,1307820.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,36973.10936784029,156.67879557609558,290903.01595282555,3697310.936784029,36705.22360861063,0.0,290575.4475953579,3670522.360861063,832069.2,0.0,6790920.0,8.320692E7,1.488254217942556,0.682042830520206,2.32863626215193,148.8254217942556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,269953.1220172167,0.0,556622.6058003902,2.699531220172167E7,269953.1220172167,0.0,556622.6058003902,2.699531220172167E7,6351784.8,0.0,1.299462E7,6.3517848E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,28696.4839326787,858.9009108543396,183839.78855371475,2869648.39326787,27265.637064049242,0.0,182994.42930722237,2726563.7064049244,675954.6,0.0,4384320.0,6.759546E7,7.9491492701636375,2.267661678791046,12.649110927846696,794.9149270163638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,103252.15277316808,25833.63340330124,234685.2946214676,1.0325215277316809E7,70438.25802737713,0.0,181977.01555156708,7043825.802737713,2424444.6,655740.0,5393160.0,2.4244446E8,182.29941525439412,80.34981205860774,292.8237726105584,18229.94152543941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,106789.82286721052,178.84364414215088,303148.6067197323,4591962.383290052,96660.53542394417,0.0,289130.7935295105,4156403.023229599,2497862.7906976743,0.0,7165560.0,1.074081E8,56.273819129257525,0.145546469423506,172.75631000465816,2419.7742225580737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5344585.485383749,3.2368819872749873E7,3.900103765826321E7
Process Cycle Time excluding out of timetable hours (s),221204.47173905373,1326082.807180214,1597479.9768593311
Process Waiting Time (s),148600.02981114388,1168135.6660114885,1509613.4343135357
Accumulated Process Duration (s),5344585.485383749,3.2368819872749873E7,3.900103765826321E7
Cost,307.0917835593223,879.1923172469537,1434.1961823741592


Process Cycle Time (s) distribution
From,To,Count
5344585,8710230,1
8710231,12075876,3
12075877,15441522,3
15441523,18807168,3
18807169,22172814,4
22172815,25538460,12
25538461,28904106,5
28904107,32269752,1
32269753,35635398,0
35635399,39001044,68

Process Waiting Time (s) distribution
From,To,Count
148600,284701,2
284702,420803,3
420804,556905,5
556906,693007,1
693008,829109,12
829110,965211,7
965212,1101313,1
1101314,1237415,1
1237416,1373517,33
1373518,1509619,35

Accumulated Process Duration (s) distribution
From,To,Count
5344585,8710230,1
8710231,12075876,3
12075877,15441522,3
15441523,18807168,3
18807169,22172814,4
22172815,25538460,12
25538461,28904106,5
28904107,32269752,1
32269753,35635398,0
35635399,39001044,68

Process Cost distribution
From,To,Count
307,419,6
420,532,10
533,645,9
646,758,11
759,871,11
872,984,8
985,1097,17
1098,1210,12
1211,1323,11
1324,1436,5

In-timetable Cycle time (s) distribution
From,To,Count
221204,358831,1
358832,496459,3
496460,634087,3
634088,771715,3
771716,909343,4
909344,1046971,12
1046972,1184599,5
1184600,1322227,1
1322228,1459855,0
1459856,1597483,68



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.3026362997442245E7,535141.9974422455,304631.8483655453,1282.289972286754
2,1.670110741670084E7,687875.3252863884,535646.160115242,847.7603235085805
3,1.201473752136445E7,493153.0475027561,391842.36899495125,563.3078176193767
4,2.0920327210483074E7,863458.4301698208,726286.7894561291,764.0735974722438
5,2.7569808544443607E7,1133286.1558074951,910534.508523941,1238.1446156925624
6,5344585.485383749,221204.47173905373,148600.02981114388,403.5463622728983
7,9562999.021448374,389961.10592126846,246598.89892363548,797.1749434431395
8,3.89265144606874E7,1594924.5613203049,1377131.2097153664,1211.3402548776733
9,1.3274960335676908E7,541744.9594728947,431701.77993035316,613.6848340193433
10,2.4725910726269722E7,1012618.7141108513,772178.2068881989,1341.9286315984195
11,1.1894696380080462E7,482176.08893060684,355772.0430319309,704.7130129390293
12,1.7120702155269384E7,697649.1718661785,501563.1335179806,1090.1236417571704
13,1.7057827949506283E7,697168.9837462902,549807.6628627777,821.1880263818634
14,3.847961787344313E7,1574938.3777236938,1345122.592909336,1278.0065949082373
15,3.8866881196273565E7,1589492.746217966,1371508.0932946205,1212.5361492143736
16,3.8564078231395006E7,1575373.9153914452,1381494.1770355701,1079.205521865686
17,3.793751049352622E7,1553179.2666578293,1361274.5663878918,1071.5277310848235
18,2.2816586749765635E7,933175.2035360336,764237.66984725,939.3743640859922
19,3.900103765826321E7,1597479.9768593311,1509613.4343135357,489.50957372453473
20,3.857472166672778E7,1582872.1701672077,1367010.9327557087,1201.2334869358274
21,3.836490350689554E7,1574044.1672477722,1365148.081467867,1164.0540543860857
22,3.875608441248512E7,1591544.4124851227,1362166.4637374878,1274.4195027457342
23,3.880575759229612E7,1591033.8614125252,1372025.8280436993,1219.3443711227837
24,2.583311704741597E7,1059029.242670536,900887.7448122501,880.4335414131483
25,1.9096532523974895E7,781601.0633025169,603562.7325651646,990.9548338227804
26,3.850983315200806E7,1578982.759200573,1424277.97457695,861.2988193247054
27,1.3689791350248814E7,559379.2252795696,474250.51134109497,475.4042947596974
28,3.8747491418282986E7,1586104.1410593987,1386250.517821312,1111.918186293708
29,1.992736293033123E7,817099.6728928089,736482.0182855129,449.3192300836246
30,2.2657341996477604E7,925343.6229915619,734934.8372139931,1058.4056743078766
31,2.2654221979455233E7,924705.0358097553,745821.9130971432,998.0833517736859
32,2.4354377959383488E7,996412.1166250706,791820.1650679111,1140.746915532483
33,2.252930226104021E7,920368.5388162136,737611.6365909576,1016.024693049325
34,3.761752952168393E7,1539357.3340497017,1349855.5960481167,1058.172543062104
35,3.771469374735618E7,1539949.999228239,1382916.0658245087,872.8332588328257
36,3.7707933724220514E7,1540783.5826165676,1362816.333215952,990.7507583591674
37,2.4293321776236534E7,993938.6193599701,791813.975982666,1123.6711068961351
38,3.798468616364503E7,1554291.5539960861,1433931.7926614285,670.3217574861316
39,3.859045910802364E7,1582180.3802261353,1344139.4745628834,1324.5311411672167
40,3.796314379467535E7,1554630.8278570175,1420692.1675121784,745.2946084141731
41,3.816901780147314E7,1561566.468912363,1431626.7799842358,722.8200679659845
42,2.0613751525048494E7,842587.4238915443,713933.0927062035,716.2630473693212
43,2.2514215773661137E7,923206.5466425419,825545.2693748474,546.0906939082677
44,3.762052889688873E7,1543152.4853811264,1406363.6738212109,760.6675635046429
45,3.882640038751984E7,1590043.5437328815,1355605.132032156,1302.8570478558538
46,3.849396582448053E7,1578005.8244805336,1466769.2757632732,619.2200180437829
47,3.7926779271336794E7,1554903.5862987041,1454516.86384964,560.3383010784786
48,3.755065440667987E7,1538126.3516936302,1391331.9736950397,816.6450691315863
49,3.752908141127968E7,1537565.7006466389,1459325.360657692,436.15303462213933
50,2.4118160328090906E7,990643.1020145416,895563.9823479652,529.2948566728169
51,3.8024641288232565E7,1559047.6669068336,1492754.2937533855,369.0973936306106
52,2.2445716612900734E7,916929.7437009811,742681.1993076801,970.4362916416594
53,3.844090704093814E7,1575965.6121356487,1376337.6257104874,1109.3986997365948
54,3.777744127881384E7,1549644.2356481552,1356318.8946845531,1075.6272598968612
55,3.816476223015523E7,1563958.2259969711,1446543.8454260826,652.8427010854086
56,3.78258772647388E7,1550780.7930066586,1362579.1508870125,1046.2609598928027
57,3.7721782657891035E7,1548444.3865542412,1463181.9165976048,474.4044324212604
58,3.772095088675046E7,1548713.8241825104,1365694.3186991215,1018.1101430363126
59,3.772239478011727E7,1550382.2968645096,1418634.8507153988,732.99758582645
60,3.853450752408552E7,1581563.051659584,1356392.6513466835,1251.4439587222205
61,2.6853796752985477E7,1099259.7616271973,955456.084694624,800.180144306024
62,3.829031173979664E7,1566829.4117958546,1490070.1935772896,430.3229710141817
63,3.7605228819565296E7,1538887.2888288498,1416059.6209614277,683.2703655587302
64,3.802481079694414E7,1554872.7677893639,1297121.790241003,1434.1961823741592
65,3.844771687893486E7,1573944.5224368572,1392384.7138671875,1009.957033677896
66,3.740944794339371E7,1529943.7140393257,1422697.7750365734,595.9138121565184
67,3.7670154845257044E7,1546536.927606821,1398584.4435272217,822.8431461334229
68,3.851980615153742E7,1575353.9080221653,1443278.4767010212,734.4600810620519
69,3.852049900953603E7,1577146.5711083412,1366459.4757277966,1171.9582569122313
70,2.6749456268393755E7,1099780.317318201,962878.9071815014,760.8667880137763
71,3.7755163515009165E7,1545343.5150091648,1388554.5589966774,872.5182649638917
72,3.7145583810506105E7,1519890.8554282188,1357483.2553515434,904.4608800583416
73,3.773558261033511E7,1545964.4858632088,1293763.524768114,1401.5204343464638
74,3.756524841282773E7,1541225.5751280785,1362702.7837769985,993.1016118380759
75,2.4251303611893654E7,996431.0714583397,931109.0065469742,363.3811317139201
76,3.754285672535372E7,1538456.012255907,1413493.6896550655,697.1887692968053
77,3.806511471926093E7,1558123.745181799,1355257.7155766487,1127.9612577915193
78,3.8371748705694675E7,1569251.0211715698,1353221.7899625301,1201.176282371415
79,3.705489622297263E7,1515706.789135456,1350417.2512059212,919.3697690288226
80,3.781588698592043E7,1545375.8769569397,1325127.2023432255,1225.3583919432426
81,3.808294487479687E7,1560527.9821071625,1495189.9337449074,365.6120591971609
82,3.8214204059690475E7,1562963.4106841087,1343831.2547650337,1219.635444917944
83,3.795584928081298E7,1553412.7821855545,1383136.0684168339,949.8649465918542
84,2.6534446078268766E7,1087843.693933487,982602.7865741253,584.8394393881164
85,3.756288851989913E7,1537507.3302958012,1335314.4351320267,1125.0470653533932
86,3.729466842734623E7,1528689.3407096863,1445591.4437623024,462.42106887499483
87,3.797810735453701E7,1559752.2121145725,1451449.959517002,602.7435593300396
88,2.438595066042924E7,1001773.0558142662,946827.7236940861,307.0917835593223
89,3.689408529368496E7,1512865.2936849594,1368908.626506567,800.6264586329462
90,3.782745760381079E7,1549319.906459093,1338997.042210579,1170.6288457552591
91,3.685981376867652E7,1509692.6506145,1425173.663665533,471.42590706348415
92,3.730139964174175E7,1532018.8958194256,1350281.6874706745,1011.5291173736256
93,3.701555520053744E7,1515192.1818606853,1334769.0222194195,1005.4330871568786
94,3.8037043336431265E7,1557675.178334713,1358842.8067507744,1110.360311700238
95,3.787224890246582E7,1555170.7104969025,1306019.7837769985,1385.2251418617034
96,2.9043167796680927E7,1191197.4965176582,1130033.8532261848,341.19596133761934
97,3.7799502388453245E7,1553576.1141228676,1465097.9724490643,494.6780934082137
98,3.757564126409793E7,1542341.264097929,1365172.655483961,987.153641945786
99,3.777661254914427E7,1548017.746016264,1421170.5273280144,706.737619094054
100,3.755538851599336E7,1537533.6366426945,1433371.0062849522,579.3553730262652
