Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,35
Role 2,63
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1398.1437043574724,30.10398817062378,7087.16876411438,123036.64598345757,0.0,0.0,0.0,0.0,32592.954545454544,0.0,205320.0,2868180.0,7.767465024208179,0.16724437872568768,39.37315980063544,683.5369221303198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
Amend Request for Quotation,246.1711596614436,0.0,781.7073695659637,23386.260167837143,0.0,0.0,0.0,0.0,5385.473684210527,0.0,158460.0,511620.0,1.367617553674687,0.0,4.34281871981091,129.92366759909527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
Analyze Purchase Requisition,386.0819298155764,241.23242688179016,538.2359726428986,72583.40280532837,0.0,0.0,0.0,0.0,9714.893617021276,0.0,158460.0,1826400.0,2.144899610086538,1.3401801493432788,2.990199848016103,403.24112669626913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Analyze Quotation Comparison Map,1239.0432453346252,360.8328287601471,2025.3932764530182,123904.32453346252,0.0,0.0,0.0,0.0,29722.8,0.0,158460.0,2972280.0,6.883573585192363,2.0046268264452616,11.252184869183434,688.3573585192363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41046.79329780065,614.9795625209808,177733.99082803726,8004124.693071127,39644.67174512545,0.0,176812.58527708054,7730710.990299463,954585.3978753603,0.0,4110600.0,1.8614415258569527E8,7.7895641815288865,0.5467800935109456,14.031322789192199,1518.965015398133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
Approve Purchase Order for payment,30151.406908390523,60.0,178749.77280330658,3015140.690839052,30091.406908390523,0.0,178689.77280330658,3009140.690839052,700564.2,0.0,4063800.0,7.005642E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1347.0096273565293,0.0,12508.272820472717,134700.96273565292,1347.0096273565293,0.0,12508.272820472717,134700.96273565292,25979.4,0.0,277440.0,2597940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,78981.48552590131,442.6155776977539,178954.91154837608,7898148.552590132,78419.06110961914,0.0,178382.9779469967,7841906.110961914,1851704.4,0.0,4215000.0,1.8517044E8,3.1245800904565386,2.0501712958017984,4.2499366256925795,312.45800904565385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1977.7623283982277,303.45478224754333,3406.6184215545654,197776.23283982277,0.0,0.0,0.0,0.0,58797.049911670685,0.0,156763.0786702633,5879704.9911670685,10.987568491101255,1.6858599013752407,18.92565789752536,1098.7568491101256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,79075.57239383936,2975.6967782974243,195076.91891527176,7907557.239383936,67416.56156884671,0.0,176995.96264839172,6741656.15688467,1853502.6,43260.0,4481700.0,1.8535026E8,64.7722823610703,12.785215236081017,118.53199245929719,6477.22823610703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,327.20213433027266,5.3799614906311035,1327.657028913498,32720.213433027267,0.0,0.0,0.0,0.0,4720.8,0.0,97260.0,472080.0,3.635579270336363,0.05977734989590115,14.751744765705533,363.5579270336363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,319130.06930418254,12565.041425228119,726526.9594316483,3.1913006930418253E7,215029.71719466685,0.0,588392.0023419857,2.1502971719466686E7,7467634.8,172980.0,1.69827E7,7.4676348E8,578.3352894973092,69.80578569571178,976.9504364503755,57833.52894973092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Pay Invoice,3665.2616342282295,272.59094071388245,13040.80541563034,366526.16342282295,3097.3171429395675,0.0,12508.272820472717,309731.71429395676,72066.6,0.0,277440.0,7206660.0,3.1552471738259005,1.338396720091502,4.955385300848219,315.52471738259004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,469.2,0.0,43260.0,46920.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,570.3728655600548,125.46322131156921,6485.737860202789,57037.28655600548,294.5420604944229,0.0,6125.511250972748,29454.20604944229,5475.6,0.0,158460.0,547560.0,1.5323933614757335,0.6970178961753846,2.332941699028015,153.23933614757334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,242230.84649971724,0.0,588665.6841378212,2.4223084649971724E7,242230.84649971724,0.0,588665.6841378212,2.4223084649971724E7,5687315.4,0.0,1.384476E7,5.6873154E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,50325.37036983013,1000.2310819625854,174591.84746789932,5032537.036983013,48946.46778856754,0.0,173029.49577140808,4894646.778856754,1174558.8,0.0,4060140.0,1.1745588E8,7.66056989590327,2.881005499098036,14.545224930180444,766.056989590327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,125921.82011955738,25146.051718473434,213118.0906701088,1.2592182011955738E7,93800.2172093463,0.0,175722.28018331528,9380021.72093463,2951217.0,580020.0,5047200.0,2.951217E8,178.45334950117274,81.08501500818464,287.69744713836246,17845.334950117274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13737.332030940563,690.4046628475189,37790.95642209053,645654.6054542065,1180.7707456020598,0.0,12154.463021993637,55496.225043296814,319954.4680851064,0.0,857460.0,1.503786E7,69.75867380743613,1.6111520224147373,206.75993202527363,3278.6576689494977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5601327.42315197,2.4971285625398993E7,3.319154713430381E7
Process Cycle Time excluding out of timetable hours (s),233412.26594495773,1023675.7754873299,1356317.1379122734
Process Waiting Time (s),169176.3051993847,858535.2192633725,1148245.6069850922
Accumulated Process Duration (s),5601327.42315197,2.4971301854800068E7,3.3192053889941454E7
Cost,313.6265308128462,919.3503439022435,1423.3450455400678


Process Cycle Time (s) distribution
From,To,Count
5601327,8360348,8
8360349,11119370,5
11119371,13878392,2
13878393,16637414,2
16637415,19396436,2
19396437,22155458,3
22155459,24914480,7
24914481,27673502,3
27673503,30432524,66
30432525,33191546,2

Process Waiting Time (s) distribution
From,To,Count
169176,267082,13
267083,364989,2
364990,462896,1
462897,560803,2
560804,658710,3
658711,756617,4
756618,854524,1
854525,952431,5
952432,1050338,46
1050339,1148245,23

Accumulated Process Duration (s) distribution
From,To,Count
5601327,8360399,8
8360400,11119472,5
11119473,13878545,2
13878546,16637618,2
16637619,19396691,2
19396692,22155764,3
22155765,24914837,7
24914838,27673910,3
27673911,30432983,66
30432984,33192056,2

Process Cost distribution
From,To,Count
313,423,2
424,534,5
535,645,9
646,756,18
757,867,13
868,978,11
979,1089,11
1090,1200,15
1201,1311,8
1312,1422,8

In-timetable Cycle time (s) distribution
From,To,Count
233412,345702,8
345703,457993,5
457994,570284,2
570285,682575,2
682576,794866,2
794867,907157,3
907158,1019448,6
1019449,1131739,4
1131740,1244030,66
1244031,1356321,2



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6932228.96053791,284467.96053791046,169251.42381215096,640.1919771128231
2,1.0908466188674927E7,448696.4232931137,210655.06380081177,1325.3074574033417
3,7770188.128617525,321743.75165200233,169176.3051993847,848.0683100488452
4,8099359.863916397,329932.4552266598,206005.00661826134,689.8588119837972
5,8520824.790775776,347538.1719441414,217264.96842432022,723.7699082295101
6,8332786.1901061535,342823.9205470085,193707.863250494,830.4115012976858
7,1.0232050560578585E7,418783.00382757187,229253.2719848156,1054.5725013017652
8,1.167443410384345E7,480892.130440712,270776.7025139332,1172.902541334099
9,8029281.042580605,326901.04258060455,179139.13582277298,822.197023165226
10,6906682.010118961,280564.25234246254,201346.62201213837,441.0945400940047
11,1.7175064492259264E7,702582.8044857979,535245.1426100731,933.8315572182338
12,2.4074440414806843E7,983682.1418008804,866792.7785019875,649.999747510751
13,9230423.979177475,376661.2926161289,264129.47123456,626.9165161993768
14,3.319154713430381E7,1356317.1379122734,1148245.6069850922,1163.7496337917114
15,7946115.598183155,323712.7419064045,235076.55083227158,497.1935754564073
16,2.1679870560707092E7,889522.108080864,653273.0776033401,1316.0086872087584
17,5601327.42315197,233412.26594495773,177106.70981383324,313.6265308128462
18,1.2580568324202538E7,518623.217897892,304971.4837088585,1188.658351641231
19,1.0914821836543083E7,448462.45299339294,263568.2338523865,1027.797360865275
20,1.539345789664054E7,632415.8619532585,458817.3563630581,964.5489451871979
21,2.973560530731392E7,1220905.307313919,980042.4153456688,1338.8076095859208
22,2.6855562671254635E7,1098673.2601964474,962564.2410848141,759.57354716195
23,2.3918094006456852E7,977979.2304263115,740197.9516987801,1321.2789368788399
24,2.969344671603322E7,1219286.9916393757,1044804.4794874191,970.9465543005201
25,2.96796575238657E7,1215965.101851225,1049266.9262502193,926.9670957909691
26,2.956399710809183E7,1208049.5416243076,1074412.5274689198,743.3872574223412
27,2.3156457873285294E7,946186.2633481026,697940.9009065628,1382.026720274819
28,3.1451816063114405E7,1290118.9029920101,1112217.4888193607,990.5440474351246
29,2.9622425330710173E7,1211290.531771183,1094335.8949298859,651.0223050170474
30,2.4772831101606607E7,1015911.7551987171,875777.0354888439,779.8400212380623
31,2.932547555552578E7,1198320.1718542576,996327.2358467579,1122.9940762334397
32,1.9803758254351854E7,808785.5153632164,657990.0536613464,839.1459344320828
33,2.956792560309124E7,1212910.807991743,1001164.1703059673,1176.6564429667258
34,2.9500149697197676E7,1209669.5746805668,962877.5066273212,1371.9108626961709
35,2.9485248567396164E7,1208696.073076725,1057330.8424479961,848.2938203202355
36,2.121648320127535E7,868952.1095378399,661006.4610512257,1156.1054730971653
37,2.2513226061561346E7,922324.7957568169,705251.095236063,1207.8828797923193
38,1.6451392525965929E7,674666.5650846958,548333.4305324554,702.6491722967891
39,1.6782943768188477E7,692299.353055954,594038.7375080585,546.6208172612721
40,2.336861863147998E7,958669.1155164242,850480.5785872936,601.6862069606782
41,2.9454289178192854E7,1207705.7009942532,989377.4545269012,1213.9935089018609
42,2.9990732187758446E7,1228657.1145846844,1012447.6859343052,1202.116011794408
43,2.9978779208132982E7,1230658.0360224247,991508.9747223854,1332.538942433728
44,2.9360579260210276E7,1206503.3043503761,987796.2268743515,1216.8261354009308
45,2.4901355310359E7,1023093.1791343689,870154.4708657265,852.9811139649815
46,2.912272540906334E7,1198347.8000986576,1043533.903752327,866.5984658373727
47,2.9100591995843172E7,1190430.6340093613,1041404.0091414452,831.3904774480396
48,3.0295998478079796E7,1239907.8010611534,1086254.8379883766,855.7974550882976
49,2.9342224289292336E7,1204264.249718666,986769.1532599926,1210.4176656643547
50,2.9276456832651377E7,1202834.5281362534,968565.4752953053,1304.2227913763786
51,2.9314029931524515E7,1204081.4679450989,1044336.6989600658,888.3890334857834
52,2.6278908801115513E7,1082208.8011155128,946862.2527973652,754.8604658789105
53,2.923364104579878E7,1195079.760033846,1013013.0869767666,1015.2963620848127
54,2.9220311681176424E7,1195804.4450771809,1096661.7684307098,551.1569570355945
55,2.6577775221534014E7,1089017.619102478,954180.7437193394,749.8723656720585
56,2.8981348584040403E7,1186535.6485259533,946049.3746333122,1337.174663084083
57,2.94906795519979E7,1205530.8568308353,966819.7500069141,1326.333146838347
58,2.895462090881443E7,1187642.982233286,1093058.2721626759,527.3739910576079
59,2.893422970706463E7,1184947.3623449802,981270.0132160187,1133.1130204982228
60,2.9739303187864304E7,1218623.5204279423,1089021.1735022068,720.661724600527
61,2.8125656676858425E7,1153703.5020611286,1020425.2790749073,741.4199429127907
62,2.9106939840264797E7,1194269.0080490112,1136180.0363605022,323.6369925525453
63,2.8877864915111065E7,1184584.4308109283,976785.9341289997,1155.3474500152795
64,2.9132626198320866E7,1197568.4087052345,1066206.3024377823,732.4718440903558
65,2.8856314083372355E7,1183881.3556745052,1026027.813116312,877.6411146097714
66,2.91037416717031E7,1193155.9110963345,1087445.1896693707,590.3269626498223
67,2.9434762203564882E7,1210370.778774023,998290.8184800148,1178.5458725214003
68,2.9076869575442553E7,1190828.3703677654,1010290.0850098133,1006.1129512415993
69,2.9063134290115595E7,1191135.3688452244,1082182.5643808842,605.9370384838847
70,2.9554590831670523E7,1210234.753721714,954340.6724934578,1423.3450455400678
71,2.9193283185760736E7,1194399.252302885,1082269.144488573,624.8084454933802
72,2.8966659878178358E7,1183576.067636013,965786.0275745392,1214.160801009337
73,2.9006327124181986E7,1186827.026894331,1010978.7667741776,977.449908941322
74,2.872985793161559E7,1176549.568268299,997913.4082584381,996.887641530567
75,2.9742044949967384E7,1215688.746739626,1103314.1830852032,629.2364711907176
76,2.8911782950875282E7,1184705.4902780056,1057370.9464473724,708.2629335125288
77,2.929145756473899E7,1200147.8524823189,1039992.1111750603,889.8945554441876
78,2.927865917824197E7,1201277.3625004292,1068484.3286664486,740.0413986470963
79,2.892205977850604E7,1186563.370029211,997515.2828552723,1053.1576355285113
80,2.8809230256375074E7,1181379.1076557636,952776.1606383324,1272.5152236739793
81,2.889465831931281E7,1187096.482066393,1057393.3033542633,724.598357890712
82,2.8828783675438166E7,1185670.5061347485,990713.4688735008,1084.7302670730483
83,2.8865552943122387E7,1182528.9293439388,1021713.9615941048,896.6677577839959
84,2.879794138810873E7,1179403.4209811687,1034378.1889936924,806.4726826111477
85,2.883978470061326E7,1184914.2280807495,978150.1707594395,1149.0273031499648
86,2.872412591914463E7,1176996.930422306,997471.697357893,999.1382090330125
87,2.8548886043298006E7,1174175.005806446,997464.5730109215,985.8452210028967
88,2.879707755289316E7,1184165.605505228,976236.8721573353,1158.8287318030993
89,2.851969095761156E7,1172934.3137509823,988358.2577102184,1025.8549128002592
90,2.871549989747882E7,1177566.7773873806,1000457.5815782547,984.4000091579226
91,2.875418185491848E7,1179812.416735649,1052135.5169684887,711.0843773576948
92,2.8641440923316956E7,1174861.1374485493,1087532.8326096535,486.0346134305
93,2.9881956708837748E7,1226039.6659920216,1021985.1139807701,1136.4560837361546
94,2.8712463803665876E7,1180109.8908128738,1096992.8413403034,462.3867474092377
95,2.8646219281277657E7,1178323.911157608,1035208.37210989,798.0599698861441
96,2.9624749318650484E7,1209126.2399802208,1092286.199538231,649.83770132992
97,2.861623565602231E7,1169346.048539877,1001889.3274827003,932.0043004645241
98,2.916238379690218E7,1192759.1019563675,1067788.2519357204,694.6034431086646
99,2.85888994038167E7,1170012.957682848,1022356.88620615,822.828918932544
100,2.85765314725976E7,1171617.3280436993,969185.3786642551,1124.8149955021008
