Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,52
Role 2,81
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1768.2576386598078,10.180419206619263,10959.601615667343,178594.02150464058,0.0,0.0,0.0,0.0,41841.9801980198,0.0,277440.0,4226040.0,9.823653548110045,0.056557884481218124,60.88667564259635,992.1890083591145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,607.8357364677247,22.27155566215515,1131.020408630371,51058.20186328888,0.0,0.0,0.0,0.0,17840.714285714286,0.0,158460.0,1498620.0,3.3768652025984713,0.12373086478975084,6.283446714613173,283.6566770182716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
Analyze Purchase Requisition,388.31163960784227,240.91703295707703,538.1019723415375,78050.6395611763,0.0,0.0,0.0,0.0,5413.731343283582,0.0,154860.0,1088160.0,2.1572868867102355,1.3384279608726501,2.9894554018974304,433.61466422875736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,1237.6889315462113,394.1560890674591,1989.2712721824646,123768.89315462112,0.0,0.0,0.0,0.0,26407.2,0.0,158460.0,2640720.0,6.876049619701178,2.189756050374773,11.051507067680358,687.6049619701178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,42358.92367778524,966.5491917133331,136146.52394771576,7794041.956712484,40996.43160077022,0.0,134864.2460951805,7543343.414541721,983928.9130434783,0.0,3224280.0,1.8104292E8,7.573288853790447,0.0,14.894491337405311,1393.4851490974422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
Approve Purchase Order for payment,37672.24809788466,60.0,152234.40748143196,3767224.8097884655,37612.24809788466,0.0,152174.40748143196,3761224.8097884655,877776.6,0.0,3577380.0,8.777766E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,889.3791133832932,0.0,6993.5851447582245,88937.91133832932,889.3791133832932,0.0,6993.5851447582245,88937.91133832932,9046.8,0.0,158460.0,904680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,82032.9309435153,451.7241327762604,155395.64898967743,8203293.09435153,81470.58818840742,0.0,154673.15442419052,8147058.818840742,1924079.4,0.0,3681840.0,1.9240794E8,3.124126417265997,2.0012752294540403,4.2832526405652365,312.4126417265997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1854.8208434176445,307.0782516002655,3411.938192844391,185482.08434176445,0.0,0.0,0.0,0.0,59305.47912741899,0.0,157915.32682418823,5930547.9127418995,10.30456024120914,1.7059902866681418,18.955212182468838,1030.456024120914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,86326.97594094276,8519.304037094116,161373.74148488045,8632697.594094276,75017.16653928757,0.0,150121.83513188362,7501716.653928757,2019910.2,201720.0,3728700.0,2.0199102E8,62.83227445363998,12.74004369046953,120.85843437247806,6283.227445363998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,301.09342415332793,12.0547616481781,1098.2138011455536,30109.342415332794,0.0,0.0,0.0,0.0,3280.2,0.0,72060.0,328020.0,3.345482490592532,0.1339417960908678,12.202375568283928,334.5482490592532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,243326.14126590014,15261.59351348877,564140.1625344753,2.4332614126590014E7,151471.4145812416,0.0,421730.6591320038,1.514714145812416E7,5696228.4,345840.0,1.317834E7,5.6962284E8,510.3040371369916,70.27235012584262,944.194260875384,51030.40371369916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,1767.9333973503112,242.8015878200531,7402.4338409900665,176793.33973503113,1221.830269691944,0.0,7110.284932851791,122183.02696919441,35384.4,0.0,158460.0,3538440.0,3.033906264768705,1.3488977101114061,4.9582826707098215,303.3906264768705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3061.8,0.0,158460.0,306180.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,490.08378792762755,124.22834205627441,6604.048686981201,49008.378792762756,218.36614446878434,0.0,6462.657065868378,21836.614446878433,44993.4,0.0,97260.0,4499340.0,1.50954246366024,0.6901574558681912,2.3201533357302346,150.954246366024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,180132.77328334807,0.0,422918.1893773079,1.801327732833481E7,180132.77328334807,0.0,422918.1893773079,1.801327732833481E7,4211478.6,0.0,1.00188E7,4.2114786E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58008.12298674822,961.540197134018,147369.98260045052,5800812.298674822,56596.96730358124,0.0,146008.64825487137,5659696.730358124,1362685.8,0.0,3476460.0,1.3626858E8,7.839753795372116,0.2102495789527893,13.168588548236423,783.9753795372116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,125338.71718047858,32090.316384792328,196521.2793765068,1.2533871718047857E7,89912.37509962083,0.0,151512.19482421875,8991237.509962082,2939725.2,742140.0,4481700.0,2.9397252E8,196.81301156032086,87.44246987634234,291.2851854337586,19681.301156032085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11267.001511866847,947.133777141571,37509.43219733238,540816.0725696087,935.6405436048905,0.0,6540.193676948547,44910.746093034744,226453.75,0.0,911460.0,1.086978E7,57.39644982367755,2.258364917172326,208.38573442962434,2755.0295915365223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5468476.2142624855,2.2106483197246127E7,2.902008651112151E7
Process Cycle Time excluding out of timetable hours (s),223198.59058141708,905864.5181187082,1188612.6111729145
Process Waiting Time (s),119661.69136047363,750425.650227263,1022105.1536612511
Accumulated Process Duration (s),5468476.2142624855,2.2106483197246127E7,2.902008651112151E7
Cost,383.05961965322484,865.2291620125906,1383.5293820699053


Process Cycle Time (s) distribution
From,To,Count
5468476,7823637,4
7823638,10178799,7
10178800,12533961,4
12533962,14889123,7
14889124,17244285,2
17244286,19599447,3
19599448,21954609,4
21954610,24309771,8
24309772,26664933,39
26664934,29020095,22

Process Waiting Time (s) distribution
From,To,Count
119661,209905,6
209906,300150,7
300151,390395,3
390396,480640,5
480641,570885,4
570886,661130,3
661131,751375,2
751376,841620,8
841621,931865,37
931866,1022110,25

Accumulated Process Duration (s) distribution
From,To,Count
5468476,7823637,4
7823638,10178799,7
10178800,12533961,4
12533962,14889123,7
14889124,17244285,2
17244286,19599447,3
19599448,21954609,4
21954610,24309771,8
24309772,26664933,39
26664934,29020095,22

Process Cost distribution
From,To,Count
383,483,8
484,584,13
585,685,8
686,786,9
787,887,16
888,988,11
989,1089,11
1090,1190,11
1191,1291,10
1292,1392,3

In-timetable Cycle time (s) distribution
From,To,Count
223198,319739,4
319740,416281,7
416282,512823,4
512824,609365,7
609366,705907,2
705908,802449,3
802450,898991,4
898992,995533,8
995534,1092075,40
1092076,1188617,21



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6934456.449923515,286695.4499235153,165340.1816122532,674.9108719799254
2,7958059.043514252,326328.43095231056,180714.31139707565,810.230591650804
3,7610325.421414614,316803.7136416435,155784.01637673378,895.2736436287563
4,7936951.41554594,326039.5260593891,175704.24259662628,835.5089368780456
5,8347306.818439722,343328.4087560177,211029.78160858154,736.7580272316932
6,2.7265085194476843E7,1121485.9814505577,981910.1166379452,777.6694898181491
7,5468476.2142624855,223198.59058141708,119661.69136047363,575.7411423828867
8,7439059.034236908,305679.9098062515,157796.26612186432,823.4690416667197
9,1.2968569728139639E7,532309.7281396389,441801.60311460495,503.57671209043923
10,9225043.080273628,372494.48649692535,292226.92559432983,446.6045754936005
11,9212306.958425522,373747.7221491337,261226.69296360016,626.4305144098068
12,1.1446305037520409E7,463782.2815077305,298110.85096359253,921.5525236235726
13,1.196225494173789E7,485764.4645795822,390478.7778866291,530.9265078809527
14,1.3837938020801067E7,563354.4166824818,325770.8382861614,1324.031526561578
15,9597135.586401224,393098.9770989418,248601.26957082748,804.1970263255968
16,1.4340483446198702E7,585994.3886239529,337183.49321198463,1383.5293820699053
17,2.752982019786334E7,1126113.487360239,999590.9145894051,703.627552746402
18,2.8298260537450552E7,1159257.6612725258,975892.4363524914,1021.4905501908728
19,1.3777849156534433E7,569637.4129629135,425372.59712457657,802.6994784010782
20,8135531.913461924,334460.73575639725,251907.84015250206,463.423171116246
21,1.1320630081062078E7,462370.0810620785,317329.3614985943,808.776057750649
22,1.4859460988648176E7,605384.3078463078,485479.24965167046,666.558618191878
23,1.1822369086746931E7,482357.5150692463,299869.49653315544,1015.0849517054028
24,2.338395815873885E7,961927.0906744003,751876.5933439732,1167.0141782893074
25,2.2368680389476776E7,915455.7449734211,802223.303501606,629.980881187651
26,2.3618208236058474E7,968554.0241205692,736344.5811910629,1291.8798179944356
27,1.810516420513034E7,740119.7318732738,560798.659009695,997.114626010259
28,1.598692955766201E7,653420.9646914005,478686.52786397934,973.1487635970118
29,2.694263036158824E7,1103515.6365699768,975517.5804417133,712.5784350328977
30,2.7191199666916132E7,1113936.5721096992,912305.7634727955,1122.3577340576385
31,2.707460068151045E7,1105048.1745650768,963279.588242054,789.6799875934921
32,2.171934179053855E7,890144.0167057514,688276.8720579147,1122.8643757780392
33,2.3258464586392403E7,955426.1281805038,780265.3125174046,974.5652111424341
34,2.703252290043235E7,1104880.2032029629,876957.6046125889,1269.1284175660871
35,2.5307315055419445E7,1040001.0627589226,830237.6377983093,1166.8307282527287
36,2.70511751820395E7,1108259.7956779003,899470.1118063927,1161.9823739488918
37,2.703730892488408E7,1108413.0335366726,974004.8437101841,747.7484459559123
38,1.9765649349612236E7,811058.223691225,627786.5859780312,1022.5316581381693
39,1.4264343835368872E7,587232.8984396458,471105.10499453545,647.4256503621739
40,1.8529730777631044E7,759650.663777113,660652.778737545,550.9368505146768
41,1.604984255447483E7,657118.771062851,552638.0025539398,581.4205413937569
42,2.67600512186594E7,1099426.4106476307,943642.1589779854,867.6055005378194
43,1.9303022569589853E7,789580.2930622101,633712.5240135193,867.5956804090076
44,2.3869779330866337E7,978706.6150393486,909041.9680578709,388.81729960176676
45,1.4537417198280096E7,594777.7465481758,519727.92804932594,417.428796810574
46,2.6703684420707464E7,1098867.3242912292,952479.7454321384,816.5383956458834
47,2.06425260468297E7,848364.1132779121,755296.3616821766,519.392546778255
48,2.6677029700777292E7,1096650.048908949,866251.4037239552,1282.7515343878006
49,2.3034279841016054E7,948012.0613446236,771251.4470872879,983.2913015935156
50,2.162569590898323E7,886512.9962842464,768013.0668346882,661.3198331567977
51,2.321487250334215E7,954928.1441235542,762740.2857043743,1069.0583213064403
52,2.6619572773715258E7,1095032.7737152576,921953.0369782448,964.3214456531738
53,2.6767501364881516E7,1091612.6940836906,895195.0271799564,1091.5800985945593
54,2.5904139108648777E7,1056414.3168475628,917729.8167998791,770.6625313745606
55,2.7100665841528177E7,1106882.2555673122,955705.3032763004,841.5598335491287
56,2.6558541926006794E7,1086752.728930235,898722.1423621178,1044.9800009515548
57,2.4896882686655045E7,1017037.5727937222,874333.6552200317,794.1297095457713
58,2.6697203000775814E7,1091273.159291029,1007107.9127426147,468.2179926249716
59,2.6682307615622282E7,1090426.2690076828,920311.9149572849,945.8864678912693
60,2.650769166245365E7,1088257.148139,913720.0191907883,970.7093882375294
61,2.6495535844519377E7,1090144.9489438534,1022105.1536612511,383.05961965322484
62,2.4872935179814577E7,1019912.5553810596,869461.3990840912,836.3434932139186
63,2.6283492905742884E7,1079122.6001751423,896676.4002730846,1017.5687591724926
64,2.2821382205991745E7,938110.7258973122,844756.0336973667,519.3291127549278
65,2.902008651112151E7,1188612.6111729145,977179.7825558186,1178.5562994678814
66,2.6633048207916975E7,1092423.5397546291,930687.9883093834,901.0160684625307
67,2.778104299223113E7,1137625.217244625,917702.1211104393,1223.0406893995075
68,2.655682648046398E7,1083911.1554613113,927679.970382452,872.2337350514201
69,2.637547891436863E7,1078617.2842869759,960228.8600180149,659.7576750106282
70,2.568023074297285E7,1049469.0812129974,922958.4962584972,705.2503194305632
71,2.634703192127514E7,1078191.8758854866,869803.1762926579,1158.8942689312828
72,2.633393265021825E7,1075518.6792955399,894083.1175508499,1008.2877951608764
73,2.648643918003106E7,1079937.4634473324,857845.3055024147,1239.414591986603
74,2.7338117487781763E7,1117065.221367836,887460.8168838024,1276.0105974912642
75,2.6505984944313526E7,1084303.460760355,844376.7869646549,1333.0542659507857
76,2.6445595525680304E7,1081172.6333034039,878298.1526315212,1130.1055194060007
77,2.6430836759130478E7,1080324.603751421,903441.7246358395,984.1747630847825
78,2.624797366629219E7,1073650.3565893173,886734.8446145058,1039.856923172209
79,2.650296178167987E7,1086835.3476588726,894391.9334690571,1069.9064827415675
80,2.6229108081538677E7,1079076.3354160786,885851.7698585987,1075.9266750269464
81,2.637659288890767E7,1082092.1431064606,977500.0284330845,582.2624435411561
82,2.6201550881216526E7,1079537.007114172,922777.5583760738,871.7846950968107
83,2.6178427313034296E7,1070594.2998273373,873102.7174015045,1098.351777214474
84,2.6164901585351467E7,1071067.3541994095,968490.1033072472,575.9748038517105
85,2.6158164482469797E7,1074706.189721346,981136.3952865601,520.973036573993
86,2.6145546969619513E7,1076090.912605524,983199.9822969437,518.1027602129511
87,2.639206999716878E7,1084419.1509609222,946188.7667882442,768.9728374348747
88,2.6276369310261488E7,1076453.882188797,860493.521389246,1202.837372022205
89,2.6707106513198137E7,1099554.4674546719,925883.8521773815,966.2297783692678
90,2.8506649146710634E7,1169989.1467106342,954046.1817085743,1201.3733714686498
91,2.6075053284207344E7,1071987.448912859,985276.4130289555,481.97626235352624
92,2.606009687352562E7,1071011.4742250443,874499.9111623764,1093.5950803928902
93,2.6040073258882046E7,1068585.347960472,951433.5212137699,651.9908545361625
94,2.6031399927528143E7,1070264.9992308617,970169.6427752972,556.3520368205177
95,2.6016630210705042E7,1069432.4469044209,940880.2031900883,715.1488097296821
96,2.6004568752099037E7,1064253.425274849,961887.8812189102,569.392181207074
97,2.598347762626362E7,1060788.4994194508,984048.4534144402,426.6360818200641
98,2.5977646602142096E7,1065346.7921087742,848487.4136753082,1205.8326445539792
99,2.5956008546692133E7,1061345.5089504719,915709.0599265099,809.3861584001118
100,2.792433428525114E7,1141540.5316939354,917483.4568915367,1246.849311828613
