Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,49
Role 2,85
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1745.7801746085006,13.333552837371826,10645.09902048111,185052.69850850105,0.0,0.0,0.0,0.0,43470.56603773585,0.0,205380.0,4607880.0,12.123473434781259,0.09259411692619324,73.92429875334103,1285.0881840868135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Amend Request for Quotation,612.397405354873,0.0,1196.1184630393982,56340.561292648315,0.0,0.0,0.0,0.0,11708.478260869566,0.0,158460.0,1077180.0,4.252759759408836,0.0,8.306378215551376,391.25389786561294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92
Analyze Purchase Requisition,395.10270103204596,240.4066276550293,538.9975161552429,81391.15641260147,0.0,0.0,0.0,0.0,7224.174757281553,0.0,158460.0,1488180.0,2.1950150057335875,1.3355923758612738,2.994430645306905,452.17309118111905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Analyze Quotation Comparison Map,1213.256209142208,361.10275959968567,2003.938146829605,121325.62091422081,0.0,0.0,0.0,0.0,32782.8,0.0,158460.0,3278280.0,8.425390341265336,2.5076580527755947,13.916237130761147,842.5390341265336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,39481.02467362458,875.9560949802399,143504.42971253395,7580356.73733592,38166.98686500142,0.0,142382.46652698517,7328061.478080273,915799.6875,0.0,3404400.0,1.7583354E8,7.30318479252358,0.0,17.075106831391654,1402.2114801645273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
Approve Purchase Order for payment,30053.508648319243,60.0,141642.37594246864,3005350.8648319244,29993.508648319243,0.0,141582.37594246864,2999350.8648319244,705028.2,0.0,3404400.0,7.050282E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,776.0223513793945,0.0,7013.400121212006,77602.23513793945,776.0223513793945,0.0,7013.400121212006,77602.23513793945,15382.8,0.0,162120.0,1538280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,74514.42702424288,401.8429219722748,143636.08924126625,7451442.702424288,73945.74366501093,0.0,143048.56267523766,7394574.366501093,1750363.8,0.0,3310800.0,1.7503638E8,3.159351995733049,2.027410638332367,4.306135760413276,315.9351995733049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1848.8810609745979,354.17458724975586,3390.5883860588074,184888.1060974598,0.0,0.0,0.0,0.0,58389.08805618286,0.0,157496.9876999855,5838908.805618286,12.839451812323592,2.4595457447899713,23.54575268096394,1283.9451812323591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,75232.42639322758,6453.889125347137,161278.26564598083,7523242.639322758,63851.30115193367,0.0,140524.266269207,6385130.115193367,1752385.8,43260.0,3887160.0,1.7523858E8,63.22847356274393,14.28077010711034,118.9132934888204,6322.847356274393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,313.474187874794,0.27819156646728516,1359.3747363090515,31347.4187874794,0.0,0.0,0.0,0.0,4649.4,0.0,97260.0,464940.0,3.483046531942156,0.003091017405192057,15.104163736767239,348.3046531942156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,277707.8977397943,15667.512907505035,615855.826117754,2.7770789773979425E7,179597.44670226573,0.0,475652.082873106,1.7959744670226574E7,6500403.0,277440.0,1.445724E7,6.500403E8,545.058061319603,70.24059269428253,975.6705407354567,54505.8061319603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Pay Invoice,1843.8139985489845,247.10041332244873,7351.921402931213,184381.39985489845,1271.1405345797539,0.0,6960.890758514404,127114.05345797539,41509.8,0.0,201720.0,4150980.0,3.181519244273503,1.372780074013604,4.949667656421662,318.1519244273503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,2017.2,0.0,158460.0,201720.0,0.4166666666666665,0.4166666666666667,0.4166666666666667,41.66666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,419.3547535204887,120.05322575569153,1065.4064853191376,41935.475352048874,168.48698637723922,0.0,733.4475119113922,16848.698637723923,1584.6,0.0,158460.0,158460.0,1.393709817462497,0.6669623653093973,2.310369008117252,139.3709817462497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,198342.3035815835,0.0,467025.0297510624,1.983423035815835E7,198342.3035815835,0.0,467025.0297510624,1.983423035815835E7,4662087.0,0.0,1.101672E7,4.662087E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,50277.00315334082,1268.9065945148468,143551.04374074936,5027700.315334082,48902.87735823155,0.0,141889.616740942,4890287.735823154,1187199.0,0.0,3325260.0,1.187199E8,7.634032195051514,1.067622168858846,14.588973451985254,763.4032195051514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,112704.93645599842,27596.872186422348,188340.52002477646,1.1270493645599842E7,80769.46971325636,2819.2489907741547,142210.01986193657,8076946.971325636,2635557.0,580020.0,4405980.0,2.635557E8,177.41925968190034,79.37306628359688,290.84475548267363,17741.925968190033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10966.047328327013,124.1732075214386,44101.80772089958,504438.1771030426,807.9511377707771,0.0,6754.057121515274,37165.75233745575,234426.52173913043,0.0,1087980.0,1.078362E7,56.43386772531243,0.6898511528968811,243.3696638557646,2595.9579153643717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),3907450.1204271317,2.219662598393542E7,2.893191670352459E7
Process Cycle Time excluding out of timetable hours (s),159789.12042713165,909382.4958792329,1184185.8781530857
Process Waiting Time (s),82650.08322644234,751270.5729971146,1003743.8507695198
Accumulated Process Duration (s),3907450.1204271317,2.2196626586920656E7,2.893197700204873E7
Cost,261.4647799289889,887.8391421889235,1433.082070792715


Process Cycle Time (s) distribution
From,To,Count
3907450,6409896,3
6409897,8912343,4
8912344,11414790,7
11414791,13917237,5
13917238,16419684,1
16419685,18922131,3
18922132,21424578,4
21424579,23927025,7
23927026,26429472,51
26429473,28931919,15

Process Waiting Time (s) distribution
From,To,Count
82650,174759,4
174760,266869,7
266870,358979,4
358980,451089,4
451090,543199,2
543200,635309,3
635310,727419,4
727420,819529,6
819530,911639,36
911640,1003749,30

Accumulated Process Duration (s) distribution
From,To,Count
3907450,6409902,3
6409903,8912355,4
8912356,11414808,7
11414809,13917261,5
13917262,16419714,1
16419715,18922167,3
18922168,21424620,4
21424621,23927073,7
23927074,26429526,51
26429527,28931979,15

Process Cost distribution
From,To,Count
261,378,2
379,496,8
497,614,6
615,732,14
733,850,8
851,968,20
969,1086,18
1087,1204,13
1205,1322,7
1323,1440,4

In-timetable Cycle time (s) distribution
From,To,Count
159789,262228,3
262229,364668,4
364669,467108,7
467109,569548,5
569549,671988,1
671989,774428,3
774429,876868,3
876869,979308,9
979309,1081748,50
1081749,1184188,15



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,3907450.1204271317,159789.12042713165,82650.08322644234,435.49458800289364
2,6750277.646260262,278577.56103134155,154283.50985360146,698.2428035080432
3,8557104.45548892,355712.3744342327,178422.23941659927,991.5650168945391
4,8542064.281189203,351143.812019825,166525.34664273262,1033.06282204224
5,9294950.164747715,379633.01236605644,190324.47000694275,1058.2889097415737
6,1.416767168626523E7,582830.1426255703,462709.8903245926,681.9508802168898
7,4259626.552876234,174471.70176196098,112947.93074727058,354.2139982793066
8,1.1068541355459452E7,455158.7075572014,248891.65259170532,1153.7242342713807
9,2.3509280918592215E7,960560.9185922146,837029.1543252468,698.82433491283
10,2.236254562680745E7,911896.9502193928,735401.0829102993,996.5921914074157
11,1.0075396781333208E7,408496.69256711006,229022.81519770622,999.8439123378859
12,9034595.341307402,368696.9369983673,215363.0708284378,855.9817356854677
13,1.3172700681017637E7,536449.1334807873,363703.3464245796,967.2240376674467
14,6405289.572308779,260524.21395754814,187443.04337143898,411.65563411348404
15,2.0401126296663284E7,832668.6780207157,684966.7228214741,826.5240661395919
16,1.0956306812446356E7,448042.94247436523,298254.17898344994,838.6095147659381
17,1.6988611219955683E7,694219.5332345963,521857.06502461433,966.2646469824846
18,1.3705621560002804E7,559518.565425396,396358.26955485344,910.6433335777785
19,1.3591901711862326E7,557041.6443998814,338384.54471206665,1219.0450037509202
20,7922493.397344828,327186.16513061523,232661.99582839012,531.0107586046059
21,2.3687899859656096E7,973399.8596560955,728436.7812781334,1372.5689933670894
22,9317578.978211641,381432.5527536869,287000.840831995,529.6440223756763
23,9907141.35650444,404936.2458612919,358638.0013051033,261.4647799289889
24,1.3310338812077284E7,547299.9354538918,426169.688839674,678.6044262491994
25,1.2140132410109997E7,497180.44719290733,411394.36857008934,484.45892433093655
26,1.670027248397398E7,683342.2514750957,551474.1765520573,739.4077469696601
27,2.393788224443674E7,978394.3667860031,722155.6402690411,1433.082070792715
28,2.893191670352459E7,1184185.8781530857,984780.3994846344,1130.6308261427614
29,2.6759597876603365E7,1093811.4857354164,861138.9876368046,1311.7544086224502
30,2.6486175308144093E7,1082932.8577075005,887175.646291256,1107.05262746546
31,1.800234278200841E7,733454.2051699162,559123.5998065472,972.6967177768547
32,2.6817631882097006E7,1096624.018282175,980440.4396288395,657.7917835113075
33,1.9788358365448713E7,807416.7695178986,612897.8552656174,1084.221733118428
34,2.647524812516427E7,1084810.5376303196,1003743.8507695198,465.87268368138206
35,2.3825971446292162E7,975064.2537903786,809700.1753799915,934.111911486917
36,2.6446302450677633E7,1083914.6554450989,887432.2622106075,1105.7549896289906
37,2.622499211053872E7,1078307.0633523464,909458.887016058,950.9084508130946
38,2.137395268760562E7,881389.1040387154,671823.9796078205,1172.6958995292584
39,2.619766956412196E7,1078978.7686200142,902737.1195344925,987.0140968071089
40,2.255397010088706E7,925863.5191800594,729848.3226509094,1096.6367095768453
41,2.0540490642781734E7,839365.0131194592,674773.7667584419,919.8136310815812
42,2.6317599481072187E7,1078794.9934260845,907864.6482212543,956.8486648238369
43,2.6300969954793215E7,1076206.52014637,980014.2114379406,543.0524065540898
44,2.853761514599514E7,1168895.0512850285,931321.1597018242,1327.463786183132
45,2.6276106956609964E7,1079345.6943588257,923272.6874318123,873.2274394876428
46,2.2026798758032322E7,904140.014670372,738390.9497368336,933.6065214713415
47,2.5294566533716917E7,1033711.7067267895,863306.6913785934,964.4546700798803
48,2.6071394887928963E7,1071473.9416306019,876375.0490369797,1102.9696965999074
49,2.466364423311448E7,1010765.0856878757,880132.4822328091,734.2820540775855
50,2.6043797002238274E7,1072002.9124512672,962825.9775559902,616.3370267960761
51,2.360195891579628E7,967848.6955349445,774284.4820942879,1081.5236698538065
52,2.60161965006454E7,1071676.500645399,906531.0823132992,934.4421633293232
53,2.6162365548977852E7,1067002.6367516518,985749.5403058529,460.61853573289187
54,2.598596505786729E7,1063086.0340688229,940093.8134174347,694.8130270262559
55,2.613290318865013E7,1065688.887339592,956034.6934566498,616.2779152449635
56,2.655470760542178E7,1083582.109767437,892325.269906044,1064.9734202742575
57,2.5944171579411983E7,1063466.618140459,857161.1020088196,1153.7914384663106
58,2.613933832713461E7,1070936.1158144474,869783.1787803173,1123.4740029063491
59,2.6438822671120644E7,1081835.8277943134,863432.2959139347,1231.6927289370035
60,2.6323971504853487E7,1078305.481226921,976394.4298036098,577.7917614016268
61,2.570366859374261E7,1052000.996650219,916384.1656708717,762.217855876353
62,2.829244674324107E7,1161790.3760969639,911410.3052251339,1402.2341442323393
63,2.5860069150789738E7,1063589.09857893,954488.3314058781,625.7847012314531
64,2.5839948672492743E7,1061166.4289298058,883120.8916530609,994.0776339146826
65,2.609543700955987E7,1071329.422100544,840123.5232591629,1290.0051694479255
66,2.5817396648183346E7,1059460.5338010788,876401.1403479576,1023.0035335593753
67,2.6011510302655697E7,1065812.069810629,870243.7585716248,1096.7064909037617
68,2.605405223698187E7,1068320.1928350925,914744.8352534771,863.9823874781529
69,2.5985197907706976E7,1063928.6391210556,952898.6877896786,636.8404927445782
70,2.5969959515741587E7,1062704.639754057,960503.066826582,574.8313038425313
71,2.5746827338885546E7,1055293.1476397514,893618.6998124123,907.0294246640472
72,2.5944269456668377E7,1061525.9044713974,893806.3748333454,938.1518186781142
73,2.774378427261901E7,1134947.4848706722,971028.8234610558,926.0758659273386
74,2.5869012686855793E7,1057432.3046312332,906529.8705337048,853.4533596419626
75,2.6818968109389067E7,1095501.2318577766,939754.6782617569,871.8695574114721
76,2.5886170455864906E7,1059192.913561821,895913.3754253387,912.1475641058552
77,2.5826615765231848E7,1056875.4115235806,857973.0648300648,1114.6663952049282
78,2.5812839687115192E7,1057155.413680315,880767.7562246323,987.8916819691658
79,2.579948932986188E7,1057761.8270630836,917211.0659241676,793.0115621457497
80,2.5886745634690523E7,1065233.795325756,931051.0451812744,752.4242085576057
81,2.577090903053069E7,1057171.535516262,847650.1954450607,1172.4288669069608
82,2.580272869388485E7,1059838.4214053154,964708.0539064407,533.9941637121968
83,2.8812138860274553E7,1179594.5763690472,967330.1153683662,1186.1571950597897
84,2.5773974637034416E7,1055497.838120699,876209.597995758,1005.4269147684178
85,2.615821759751463E7,1075408.3093225956,899048.7694628239,987.0656537277831
86,2.5701535877051592E7,1054295.0306665897,943515.7859735489,625.7550382471748
87,2.568813380598378E7,1054820.3023843765,927854.337280035,715.9109125167132
88,2.571904661883235E7,1056426.8554906845,902566.6876177788,859.6781308482092
89,2.868200739821005E7,1176452.4070982933,946243.7555437088,1293.1266651130384
90,2.5644089357007742E7,1049069.357007742,929132.6613256931,681.3862308250533
91,2.567599369375992E7,1051662.4479107857,866783.6071724892,1031.4680323875616
92,2.5662908555891275E7,1052512.7193391323,977708.2307562828,421.96624303526346
93,2.5648493533523083E7,1052065.583108902,976908.2292840481,433.9843436555729
94,2.594900341697073E7,1063941.775242567,883951.8940672874,1005.3305833501948
95,2.5620834305080652E7,1052337.7490270138,876097.0090651512,986.6617831713623
96,2.5607754449240923E7,1046157.4615409374,898287.9002673626,836.271255040831
97,2.5592146065384865E7,1044496.1661777496,913763.6658899784,733.0026170548465
98,2.5533158867906094E7,1042794.3816409111,825627.3304536343,1210.9714461492167
99,2.556504800475931E7,1045403.0951366425,973408.6542253494,408.8527667042282
100,2.715774987981987E7,1113794.32000041,879448.4109051228,1311.4794396748143
