Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,24
Role 6,0
Role 2,93
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1605.6510692557245,9.388650894165039,8337.300852298737,117212.52805566788,0.0,0.0,0.0,0.0,29222.465753424658,0.0,248580.0,2133240.0,8.920283718087358,0.05215917163425022,46.31833806832631,651.1807114203772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
Amend Request for Quotation,671.2908573845058,0.0,1143.4876871109009,69142.9583106041,0.0,0.0,0.0,0.0,17104.660194174758,0.0,158460.0,1761780.0,3.7293936521361437,0.0,6.352709372838338,384.1275461700228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
Analyze Purchase Requisition,9235.940071767465,243.94153118133545,27467.725875854492,1597817.6324157715,8849.819179315788,0.0,27207.642902851105,1531018.7180216312,206936.5317919075,0.0,677280.0,3.580002E7,2.1451160691759874,1.349620262781779,2.9962260484695435,371.1050799674458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173
Analyze Quotation Comparison Map,1075.6045260429382,374.27409505844116,2007.9770822525024,107560.45260429382,0.0,0.0,0.0,0.0,22987.8,0.0,158460.0,2298780.0,5.975580700238545,2.079300528102451,11.155428234736124,597.5580700238545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,14548.471964900717,287.99492168426514,35116.293983221054,2953339.8088748455,13127.710244733125,0.0,33788.84454321861,2664925.1796808243,337988.5714285714,0.0,832200.0,6.861168E7,7.9009866860504046,0.0,15.6472780585289,1603.9002972682322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
Approve Purchase Order for payment,2622.22024251461,60.0,31501.428638219833,262222.024251461,2562.22024251461,0.0,31441.428638219833,256222.02425146103,68805.6,0.0,781740.0,6880560.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,4820.238649265766,0.0,17490.855476140976,482023.8649265766,4820.238649265766,0.0,17490.855476140976,482023.8649265766,100234.2,0.0,417900.0,1.002342E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,14581.424901530743,363.6612868309021,35573.6986219883,1458142.4901530743,14020.226961796283,0.0,34826.33017754555,1402022.6961796284,338433.6,0.0,882600.0,3.384336E7,3.1177663318581064,2.012557007206811,4.331636440753937,311.7766331858106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1618.92639023304,301.490442276001,3334.4116520881653,161892.639023304,0.0,0.0,0.0,0.0,58463.90017410278,0.0,156996.00060606003,5846390.017410278,8.99403550129466,1.6749469015333387,18.524509178267586,899.403550129466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,27044.37573544502,3381.6399908065796,54689.99930882454,2704437.5735445023,14927.408913011552,0.0,34785.212841272354,1492740.891301155,628802.4,43260.0,1365360.0,6.288024E7,67.31648234685261,13.319525639216105,118.64985104799271,6731.648234685261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,319.2969219493866,2.924448013305664,1201.327672958374,31929.69219493866,0.0,0.0,0.0,0.0,5909.4,0.0,158460.0,590940.0,3.547743577215407,0.03249386681450738,13.348085255093045,354.7743577215407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,402442.5169510555,22081.411212444305,775604.1849148273,4.024425169510555E7,307368.0138440919,0.0,645182.2403767109,3.073680138440919E7,9418228.8,580020.0,1.807434E7,9.4182288E8,528.1916839275759,68.9843620273802,975.5540569199457,52819.16839275759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173
Pay Invoice,5840.276390161514,302.30354285240173,17967.113584518433,584027.6390161514,5226.644171984196,0.0,17468.639008522034,522664.4171984196,152060.4,0.0,417900.0,1.520604E7,3.409067878762881,1.4656817767355177,4.940147921774122,340.9067878762881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,3133.2,0.0,158460.0,313320.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,658.1563772177697,130.58301615715027,1468.2661383152008,65815.63772177696,388.36007113456725,0.0,1162.8913400173187,38836.007113456726,1548.6,0.0,154860.0,154860.0,1.4988683671289025,0.6900907066133287,2.323295413123237,149.88683671289024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,297880.40592478274,0.0,645905.5685887337,2.9788040592478275E7,297880.40592478274,0.0,645905.5685887337,2.9788040592478275E7,6990742.2,0.0,1.508052E7,6.9907422E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,15270.8094220376,537.125702381134,33339.89916372299,1527080.9422037601,13845.202727019787,0.0,32355.598148584366,1384520.2727019787,361987.2,0.0,742140.0,3.619872E7,7.920037194543417,1.4825326124827067,14.928955274158055,792.0037194543416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,49317.15701085568,17451.23276400566,80708.80572271347,4931715.7010855675,15384.557003884316,0.0,32959.03075361252,1538455.7003884315,1160898.0,378300.0,1992180.0,1.160898E8,188.51444448317423,81.29910690652,288.7004514786932,18851.444448317423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12811.7579252405,51.803107023239136,44751.00992703438,679023.1700377464,3481.1584126409493,0.0,16422.895996570587,184501.39586997032,284555.09433962265,0.0,1001580.0,1.508142E7,51.83666395888639,0.2877950390179952,198.24925516843797,2747.3431898209788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),1875998.6358935833,2.1423833382708315E7,2.453647068911791E7
Process Cycle Time excluding out of timetable hours (s),79293.42757487297,877716.6825342107,1008037.6111097336
Process Waiting Time (s),19808.92064523697,720227.7314452099,881066.2703287601
Accumulated Process Duration (s),1875998.6358935833,2.142383347059414E7,2.453647068911791E7
Cost,330.19630088143873,876.7289452217816,1437.0082866350808


Process Cycle Time (s) distribution
From,To,Count
1875998,4142045,1
4142046,6408093,1
6408094,8674141,4
8674142,10940189,0
10940190,13206237,0
13206238,15472285,4
15472286,17738333,4
17738334,20004381,2
20004382,22270429,0
22270430,24536477,84

Process Waiting Time (s) distribution
From,To,Count
19808,105933,1
105934,192059,2
192060,278185,3
278186,364311,0
364312,450437,5
450438,536563,3
536564,622689,1
622690,708815,4
708816,794941,44
794942,881067,37

Accumulated Process Duration (s) distribution
From,To,Count
1875998,4142045,1
4142046,6408093,1
6408094,8674141,4
8674142,10940189,0
10940190,13206237,0
13206238,15472285,4
15472286,17738333,4
17738334,20004381,2
20004382,22270429,0
22270430,24536477,84

Process Cost distribution
From,To,Count
330,440,11
441,551,11
552,662,8
663,773,10
774,884,7
885,995,10
996,1106,16
1107,1217,12
1218,1328,12
1329,1439,3

In-timetable Cycle time (s) distribution
From,To,Count
79293,172167,1
172168,265042,1
265043,357917,4
357918,450792,0
450793,543667,0
543668,636542,4
636543,729417,4
729418,822292,2
822293,915167,0
915168,1008042,84



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.747246511819482E7,715784.1181948185,493142.04765605927,1237.8653621594112
2,1.7031009360797405E7,699054.2626116276,480265.88935923576,1215.7859123349187
3,7946577.066300154,328886.3858778477,220025.22956466675,609.349382434951
4,1.4585404174979687E7,597907.3651247025,403331.526304245,1082.8465594622821
5,1875998.6358935833,79293.42757487297,19808.92064523697,331.4545742021666
6,1.714561419924903E7,703915.0406620502,480797.59532642365,1241.685602545738
7,5897392.005877733,241504.32319164276,157114.81923413277,473.41088048352134
8,1.3931623236477137E7,576447.6275737286,425045.42680335045,842.6276924676366
9,7425284.385801554,302924.3858015537,207634.1651866436,532.913781215085
10,2.263249363353157E7,925875.6332418919,759004.6477556229,928.5014393369357
11,1.3880605962515354E7,564124.9942047596,429419.58919525146,750.9984007967844
12,7213754.63795042,291554.4085729122,190368.40528202057,566.1625614113277
13,2.3699506761120558E7,968685.1242985725,736504.0722167492,1290.785547059112
14,2.3683298785403013E7,966468.9238040447,809892.2897553444,870.3262238939604
15,1.5646181091021538E7,642013.0009803772,444394.0411989689,1099.1051438000468
16,2.365589931306672E7,967029.6581916809,745552.4734203815,1230.7161866002612
17,1.3618947983703375E7,555895.2801578045,422818.68764591217,739.4409354011219
18,2.3674691262000084E7,970605.2762115002,758952.4669883251,1177.8623744328818
19,2.345211302682638E7,963710.7439055443,737986.0538537502,1257.1338758601082
20,1.98037632997427E7,813126.3819744587,605452.7750508785,1154.3206636402342
21,2.263511929646778E7,925799.2964677811,699067.9915208817,1259.8486820287171
22,2.3229122879018307E7,952178.0315477848,724000.9227244854,1271.3649767094187
23,1.9760580957906008E7,808521.2642655373,656000.3877055645,849.7413215213353
24,2.3545083373970985E7,964809.8080546856,706249.0408525467,1437.0082866350808
25,2.3286212360744E7,950603.3799133301,815721.0955796242,751.2361281169786
26,2.3272746361186266E7,951253.7663948536,753453.6362941265,1100.2359241604804
27,8036734.9072647095,326889.50529789925,233504.93519496918,521.4936261336009
28,2.3487540647106647E7,959766.4245305061,841568.527682066,657.025264951918
29,2.347416198927903E7,956790.5506711006,721601.4125146866,1307.3974214103484
30,2.32923929442935E7,951118.2230148315,743277.9797120094,1155.3281374229323
31,2.320109959773898E7,945939.4203593731,822429.9685790539,686.3141255458198
32,2.327217146639347E7,955348.1208207607,769848.4405982494,1034.7207296066813
33,2.3417735446613073E7,956463.4740915298,756478.8962790966,1111.4581719252799
34,2.3403288153609753E7,955960.9821925163,877586.1331160069,436.23436902629
35,2.3227722916099787E7,952790.85384655,766381.3238275051,1037.9909894824025
36,2.3216509747024536E7,955566.3038289547,774534.700594902,1007.05795917511
37,2.3362726572924376E7,957350.1644237041,785246.6386129856,956.4872785303329
38,2.3179804418969154E7,950523.0863249302,789239.0505242348,898.3703010982937
39,2.308973156812191E7,946489.0873177052,865823.6727035046,448.5333140174547
40,2.3150575296685696E7,945773.2129867077,749952.5349752903,1088.1471223248373
41,2.31390753507874E7,948324.2653319836,846119.8730368614,570.9204135391448
42,2.3125172790301323E7,948527.303912878,862800.0316512585,480.26242955128345
43,2.3035079764616728E7,944533.1059703827,771947.781922102,960.941978814867
44,2.310415814955592E7,951893.4019355774,796200.5289409161,865.7731838663419
45,2.3080056318906546E7,945497.5109503269,750665.8143982887,1086.0753544939887
46,2.3074274914503813E7,950064.3627855778,881066.2703287601,385.8773102945751
47,2.3055068085353613E7,944925.7308692932,799617.3514466286,808.4199637691181
48,2.356731489752245E7,963253.4326016903,714427.0721065998,1383.1517829868528
49,2.319392458674097E7,949786.1138601303,823413.946618557,705.2661913964483
50,2.317955069285679E7,949466.4938194752,850437.5769209862,550.5794007844396
51,2.316746041865492E7,951323.1424090862,823562.2042136192,712.6602180507448
52,2.3151656628650427E7,948776.6286504269,744239.071413517,1136.8651328245799
53,2.2968991832689285E7,935876.707144022,738747.8818089962,1097.476631670528
54,2.322373939830494E7,948778.6507136822,847892.0250499249,561.8476983692912
55,2.2948752696361065E7,940054.5579440594,761796.1786699295,991.1584528260762
56,2.3094858179405212E7,941702.2673285007,858513.2979090214,462.65728444523273
57,2.3083025591992617E7,943952.0585665703,768108.6843471527,977.5664687633513
58,2.290031034335804E7,937408.8293368816,737852.2864983082,1109.166947183344
59,2.289316568287301E7,940596.1061255932,869421.0612792969,395.77129897011645
60,2.2878773201467276E7,940194.6892023087,754074.2303984165,1035.338522113694
61,2.3026573037816763E7,943490.5387830734,734814.3776926994,1159.378782391548
62,2.301278590406537E7,943623.9647212029,869306.018684864,415.79662999841906
63,2.2997071913161993E7,941927.8218207359,864399.6641654968,433.41533823543114
64,2.298304691469431E7,941856.7486937046,865864.6644408703,424.94084687895236
65,2.280727741431117E7,935054.3983027935,813860.1215672493,676.6816848887339
66,2.2794780200087547E7,936535.215241909,727309.7236847878,1163.1183811200988
67,2.278157929958892E7,937321.8951334953,756147.2979559898,1011.9096108171675
68,2.2928246537327766E7,936004.8250145912,782783.9615955353,857.1292778240311
69,2.296271694010091E7,941177.7710363865,844786.734338522,536.5286328236261
70,2.290133714181471E7,937038.725984335,757846.4741728306,995.5287569973204
71,2.2725539895050287E7,933772.0439910889,758388.7682926655,975.8831598308352
72,2.3307152150646687E7,949466.2415602207,814970.4877083302,747.4285424338449
73,2.2696806241912127E7,929483.9170250893,818966.882576704,614.8939250402982
74,2.268223825389552E7,928893.8802967072,758867.9685852528,949.8748257239661
75,2.2667038613629103E7,927617.1547574997,849835.5419163704,432.99563726054294
76,2.2655422563031197E7,930085.1365618706,828218.9559431076,568.2725785719025
77,2.2639036327937603E7,927700.6739113331,867762.5347027779,334.38225114213094
78,2.375370350262761E7,972071.1215040684,754295.0479424,1211.7060743702782
79,2.2612696016098976E7,929395.1376204491,838304.6226825714,507.2672397613525
80,2.2760606503926277E7,932873.9011015892,754742.456817627,991.611052342256
81,2.2746318485304356E7,932627.0508756638,844323.7661612034,493.2927281512154
82,2.3989056184560537E7,986110.4448096752,761628.4187903404,1250.1147778669992
83,2.2718574388749123E7,929387.1331412792,799354.8952152729,723.7804171946315
84,2.2541882959602356E7,925149.080789566,804433.2457692623,674.6791022446421
85,2.2790421583586693E7,935527.468906641,721190.6663341522,1192.3466534839733
86,2.2515760829867363E7,927062.2734510899,736794.461006403,1057.6094880700111
87,2.2661437701712847E7,928342.0890066624,843119.1165773869,474.0452373213238
88,2.4294481365054607E7,997387.0704398155,767560.5684771538,1278.631797719002
89,2.449419810018778E7,1005790.9718029499,807994.8049271107,1102.7159172442225
90,2.453647068911791E7,1008037.6111097336,761212.2966649532,1377.9257895429928
91,2.2605731774879456E7,925092.6856799126,708181.164317131,1205.2647667553688
92,2.424513429813671E7,996909.6500151157,803690.1668510437,1073.8668925550246
93,2.257859057133293E7,926026.4934604168,866794.3930706978,330.19630088143873
94,2.2403187260356188E7,923042.195858717,804833.4968934059,658.3666112926272
95,2.2550935082708836E7,926338.5485839844,732607.457711935,1078.2982788629001
96,2.2979733491318464E7,940437.4907124043,755184.4976012707,1030.775292184618
97,2.338471459375143E7,952385.9240517616,721841.6204926968,1281.7469756099913
98,2.2951269870177507E7,940011.4046311378,720248.0780949593,1221.3647168676057
99,2.2541540721622944E7,922565.5531084538,770440.680737257,847.663745850987
100,2.2480148580305338E7,918369.321958065,849485.462366581,384.4019099500444
